
[00:00:00.000 --> 00:00:04.000]   When you're in winter's favorite town,
[00:49:16.000 --> 00:49:18.000]   I'm open to it.
[00:49:18.000 --> 00:49:22.000]   I would have to -- I mean, this stuff is specialized.
[00:49:22.000 --> 00:49:25.000]   The agents who do it, they have tremendous knowledge.
[00:49:25.000 --> 00:49:29.000]   I would review the paperwork very carefully, and then I would take it -- I
[00:49:29.000 --> 00:49:33.000]   would take what you have with the actual illustrations and such, and I would take
[00:49:33.000 --> 00:49:38.000]   those illustrations to another couple of insurance agents, and I would say,
[00:49:38.000 --> 00:49:42.000]   "Tell me everything wrong with premium financing."
[00:49:42.000 --> 00:49:45.000]   And so I've been out of the insurance business long enough now that I don't
[00:49:45.000 --> 00:49:51.000]   have a pre-prepared script as to why everyone doesn't do premium financing.
[00:49:51.000 --> 00:49:54.000]   But I would take it to a couple of competitor agents, and I would say,
[00:49:54.000 --> 00:49:56.000]   "Why shouldn't I do this?"
[00:49:56.000 --> 00:50:00.000]   And then, of course, solicit some quotes with some other companies because
[00:50:00.000 --> 00:50:04.000]   there are other competitors, and you just want to make sure you're getting
[00:50:04.000 --> 00:50:05.000]   the best product.
[00:50:05.000 --> 00:50:06.000]   - No, of course.
[00:50:06.000 --> 00:50:07.000]   I appreciate it.
[00:50:07.000 --> 00:50:08.000]   Thank you, Joshua.
[00:50:08.000 --> 00:50:11.000]   You know, again, this being radical personal finance, you know,
[00:50:11.000 --> 00:50:16.000]   this is such a, you know, little-known strategy, and it is complex.
[00:50:16.000 --> 00:50:20.000]   And obviously, the guys that write policies like this make big premiums,
[00:50:20.000 --> 00:50:23.000]   and it's a very expensive way to buy life insurance.
[00:50:23.000 --> 00:50:27.000]   But I figured it would be right in your wheelhouse for something.
[00:50:27.000 --> 00:50:28.000]   So thank you for your analysis.
[00:50:28.000 --> 00:50:32.000]   - It can be a total win-win-win, and I know you've got to go, so feel free
[00:50:32.000 --> 00:50:33.000]   to go if you need to.
[00:50:33.000 --> 00:50:38.000]   It can be a total win-win-win across the board, right?
[00:50:38.000 --> 00:50:42.000]   If something's going to put potentially millions of dollars in your pocket,
[00:50:42.000 --> 00:50:46.000]   you don't mind your insurance agent getting a $100,000 or $200,000 commission check.
[00:50:46.000 --> 00:50:47.000]   - Correct.
[00:50:47.000 --> 00:50:51.000]   - If he's the guy who brought you this, and he's the guy who's got the relationship
[00:50:51.000 --> 00:50:55.000]   with the lender, and he's the guy who's got the company, and he says, "Look,
[00:50:55.000 --> 00:50:59.000]   this policy design," et cetera, then you want him to make some money.
[00:50:59.000 --> 00:51:02.000]   And there's no question the money here is potentially huge.
[00:51:02.000 --> 00:51:09.000]   This is very specialized, and these are the agents who work this,
[00:51:09.000 --> 00:51:13.000]   they work hard for it because they've got to work really hard to find the
[00:51:13.000 --> 00:51:16.000]   appropriate cases and then to put the deals together.
[00:51:16.000 --> 00:51:19.000]   They take a long time, et cetera.
[00:51:19.000 --> 00:51:21.000]   So I'm not opposed to it.
[00:51:21.000 --> 00:51:25.000]   It's just go through all the scenarios, right, and then make sure that you've got
[00:51:25.000 --> 00:51:29.000]   the financial capacity to make your $50,000 premium payments,
[00:51:29.000 --> 00:51:33.000]   and then make sure that you've got the capacity in a worst-case scenario,
[00:51:33.000 --> 00:51:37.000]   how much you're unhooked for to the lender, what happens if the lender goes belly up,
[00:51:37.000 --> 00:51:40.000]   et cetera, that you've got the ability to work it through.
[00:51:40.000 --> 00:51:41.000]   I'm not scared of it.
[00:51:41.000 --> 00:51:46.000]   Just as with any big financial decision, get competitive quotes and go slow and make
[00:51:46.000 --> 00:51:48.000]   sure you understand all the options.
[00:51:48.000 --> 00:51:49.000]   - Excellent.
[00:51:49.000 --> 00:51:50.000]   Thank you again.
[00:51:50.000 --> 00:51:51.000]   - Cool.
[00:51:51.000 --> 00:51:52.000]   My pleasure.
[00:51:52.000 --> 00:51:53.000]   All right.
[00:51:53.000 --> 00:51:55.000]   And I mean, you know opportunity cost also, right?
[00:51:55.000 --> 00:51:58.000]   What could you do with that money, right, if there's a way that you could invest
[00:51:58.000 --> 00:52:01.000]   it better, always think about that as well.
[00:52:01.000 --> 00:52:02.000]   All right.
[00:52:02.000 --> 00:52:03.000]   Lindsay in Wisconsin.
[00:52:03.000 --> 00:52:04.000]   Lindsay, welcome to the show.
[00:52:04.000 --> 00:52:05.000]   How can I serve you today?
[00:52:05.000 --> 00:52:06.000]   - Hi, Joshua.
[00:52:06.000 --> 00:52:07.000]   Thanks so much.
[00:52:07.000 --> 00:52:14.000]   I was hoping that you could help me crystallize my thinking about a decision that me and my
[00:52:14.000 --> 00:52:17.000]   family are trying to make.
[00:52:17.000 --> 00:52:23.000]   So our plan right now, me and my husband both work at W2 Jobs.
[00:52:23.000 --> 00:52:29.000]   And in addition to that, we have a small and growing real estate business.
[00:52:29.000 --> 00:52:39.000]   And we're planning within five years to be able to leave our W2 Jobs and take our kids
[00:52:39.000 --> 00:52:43.000]   traveling, you know, thinking like world schooling.
[00:52:43.000 --> 00:52:47.000]   We've got three young boys.
[00:52:47.000 --> 00:52:52.000]   And go for at least a year to kind of try things out.
[00:52:52.000 --> 00:52:55.000]   And the purpose of this is threefold here.
[00:52:55.000 --> 00:53:00.000]   You know, we want to have fun and travel and spend time as a family and, you know,
[00:53:00.000 --> 00:53:02.000]   really enjoy ourselves.
[00:53:02.000 --> 00:53:08.000]   The second is we want to look for opportunities, you know, looking to grow our investments
[00:53:08.000 --> 00:53:12.000]   and diversify our real estate business abroad.
[00:53:12.000 --> 00:53:15.000]   And we'll be, you know, we're looking now also.
[00:53:15.000 --> 00:53:21.000]   But, you know, I think it's a lot easier once we're actually in the locales.
[00:53:21.000 --> 00:53:25.000]   And then the third reason that we want to do this, we want to kind of do this whole
[00:53:25.000 --> 00:53:32.000]   plan is to have options, you know, in the way of if things go bad here, we would like
[00:53:32.000 --> 00:53:38.000]   to, you know, be able to, you know, not be 100% tied to the United States.
[00:53:38.000 --> 00:53:40.000]   So here's the decision.
[00:53:40.000 --> 00:53:50.000]   My husband has the opportunity through Ancestry to get Portuguese citizenship.
[00:53:50.000 --> 00:53:58.000]   And it'll cost him about $5,000 for legal fees and et cetera.
[00:53:58.000 --> 00:54:02.000]   And then after he gets it and it's a couple of years, it'll take the process.
[00:54:02.000 --> 00:54:07.000]   And then I can apply and I can get it and it'll be about the same cost if everything
[00:54:07.000 --> 00:54:08.000]   remains the same.
[00:54:08.000 --> 00:54:12.000]   And then our kids can get it for a little bit less each.
[00:54:12.000 --> 00:54:14.000]   They can apply once we both have it.
[00:54:14.000 --> 00:54:19.000]   So this Portuguese citizenship, I would love your opinion about this.
[00:54:19.000 --> 00:54:25.000]   We, me and my husband have both traveled extensively and, you know, have been to Portugal.
[00:54:25.000 --> 00:54:27.000]   It's nice.
[00:54:27.000 --> 00:54:34.000]   But we don't have any specific desire for Portuguese citizenship, you know, and kind
[00:54:34.000 --> 00:54:36.000]   of similar with EU.
[00:54:36.000 --> 00:54:41.000]   I know that there are some opportunities, you know, both for travel and investment.
[00:54:41.000 --> 00:54:46.000]   But anyway, you know, can you, we might be able to just invest the money elsewhere.
[00:54:46.000 --> 00:54:53.000]   We live in Manhattan and even though we, you know, we do fine, I'm not sure if we should
[00:54:53.000 --> 00:54:55.000]   go for it or not.
[00:54:55.000 --> 00:55:03.000]   If I were in your shoes, even if I were totally broke, I would call up, I would go online,
[00:55:03.000 --> 00:55:08.000]   I would fill out whatever interest forms I could find for a 0% credit card and I would
[00:55:08.000 --> 00:55:14.000]   put the fees on a credit card in order to get the Portuguese citizenship.
[00:55:14.000 --> 00:55:19.000]   And it's exceedingly valuable and without question you should be pursuing it.
[00:55:19.000 --> 00:55:24.000]   The question of whether or not you should file for Portuguese citizenship has nothing
[00:55:24.000 --> 00:55:29.000]   to do with where you might want to travel, how you might want to travel, where you might
[00:55:29.000 --> 00:55:31.000]   want to invest your money.
[00:55:31.000 --> 00:55:34.000]   It's an entirely separate and distinct thing.
[00:55:34.000 --> 00:55:39.000]   And so there is no downside, I mean, actually let me pause that.
[00:55:39.000 --> 00:55:44.000]   Are either you or your husband involved in top secret government or military work?
[00:55:44.000 --> 00:55:45.000]   No.
[00:55:45.000 --> 00:55:49.000]   Do either you or your husband have any ambitions of being, you know, the President of the United
[00:55:49.000 --> 00:55:53.000]   States or a high-ranking politician where you could experience political blowback by
[00:55:53.000 --> 00:55:55.000]   being a dual citizen?
[00:55:55.000 --> 00:55:56.000]   No.
[00:55:56.000 --> 00:55:57.000]   Okay.
[00:55:57.000 --> 00:56:00.000]   Then as long as those things are the case, you don't have to pass a security clearance,
[00:56:00.000 --> 00:56:10.000]   etc., there is no downside to your having Portuguese citizenship and potentially massive
[00:56:10.000 --> 00:56:11.000]   upside.
[00:56:11.000 --> 00:56:13.000]   How old are your children?
[00:56:13.000 --> 00:56:16.000]   Four, two, and one.
[00:56:16.000 --> 00:56:17.000]   Okay.
[00:56:17.000 --> 00:56:22.000]   And other than this option to get Portuguese citizenship, do you or your husband as of
[00:56:22.000 --> 00:56:27.000]   yet have a second citizenship from any other country?
[00:56:27.000 --> 00:56:31.000]   Yes, my husband has an Israeli citizenship.
[00:56:31.000 --> 00:56:32.000]   Okay.
[00:56:32.000 --> 00:56:34.000]   So also excellent to have.
[00:56:34.000 --> 00:56:41.000]   And so he would be filing for Portuguese citizenship under the Sephardic Jewish option for – it's
[00:56:41.000 --> 00:56:43.000]   not Sephardic, what's the name of the Jewish –
[00:56:43.000 --> 00:56:44.000]   It is, it is.
[00:56:44.000 --> 00:56:45.000]   You got it.
[00:56:45.000 --> 00:56:46.000]   Yeah.
[00:56:46.000 --> 00:56:47.000]   Okay.
[00:56:47.000 --> 00:56:48.000]   All right.
[00:56:48.000 --> 00:56:49.000]   Phenomenal.
[00:56:49.000 --> 00:56:50.000]   Okay.
[00:56:50.000 --> 00:56:51.000]   So yes, so there is – so it's even clearer.
[00:56:51.000 --> 00:56:52.000]   Yeah, no question.
[00:56:52.000 --> 00:56:53.000]   There's no downside to it.
[00:56:53.000 --> 00:56:56.000]   And it's worth doing without question.
[00:56:56.000 --> 00:57:04.000]   The Sephardic ancestry that both Spain and Portugal have offered due to their – I don't
[00:57:04.000 --> 00:57:08.000]   know what adjective to use – evil treatment of Jews.
[00:57:08.000 --> 00:57:11.000]   They want the Jews back, right?
[00:57:11.000 --> 00:57:17.000]   The options there are – anyway, they're genuine and they are real.
[00:57:17.000 --> 00:57:21.000]   Now Spain has tightened up their program and changed that.
[00:57:21.000 --> 00:57:25.000]   And the thing with this program is you need to do this now.
[00:57:25.000 --> 00:57:27.000]   You need to go ahead and do it now.
[00:57:27.000 --> 00:57:33.000]   It sounds like if this is the Sephardic program, then the $5,000 is large going to be finding
[00:57:33.000 --> 00:57:38.000]   consultants who can prove the genealogical records, et cetera, to prove his heritage?
[00:57:38.000 --> 00:57:41.000]   Yeah, it's actually working with the legal team.
[00:57:41.000 --> 00:57:46.000]   His uncle already got Portuguese citizenship.
[00:57:46.000 --> 00:57:48.000]   So the genealogy is really easy.
[00:57:48.000 --> 00:57:49.000]   Awesome.
[00:57:49.000 --> 00:57:50.000]   Great.
[00:57:50.000 --> 00:57:51.000]   So yeah, so the answer is very obvious.
[00:57:51.000 --> 00:57:52.000]   And let me tell you why.
[00:57:52.000 --> 00:57:56.000]   Because if you're going to spend five grand or however much it winds up being, let me
[00:57:56.000 --> 00:57:57.000]   tell you why.
[00:57:57.000 --> 00:58:04.000]   If you're looking for an ultimate backup plan, having another citizenship is very valuable
[00:58:04.000 --> 00:58:09.000]   because even if you had nothing else as a backup plan – my course is funny.
[00:58:09.000 --> 00:58:11.000]   The earlier caller referenced my course.
[00:58:11.000 --> 00:58:18.000]   I give this example in my course about having something like a European Union citizenship,
[00:58:18.000 --> 00:58:19.000]   right?
[00:58:19.000 --> 00:58:21.000]   And then you went completely broke.
[00:58:21.000 --> 00:58:23.000]   And you're living in the United States.
[00:58:23.000 --> 00:58:26.000]   The job market in the United States completely implodes.
[00:58:26.000 --> 00:58:29.000]   The dollar is a mess, et cetera.
[00:58:29.000 --> 00:58:34.000]   Well, if you can get on an airplane and go from the United States to somewhere in the
[00:58:34.000 --> 00:58:40.000]   European Union, you have the ability to work there in the European Union.
[00:58:40.000 --> 00:58:46.000]   And you could potentially save your family by simply going and getting a job as a bus
[00:58:46.000 --> 00:58:48.000]   boy in a restaurant, right?
[00:58:48.000 --> 00:58:50.000]   To be able to put food in your children's mouths.
[00:58:50.000 --> 00:58:57.000]   That right to work by being a citizen of another country is an exceedingly valuable thing.
[00:58:57.000 --> 00:59:02.000]   And so the ability to know that for the rest of your husband's life, potentially your
[00:59:02.000 --> 00:59:07.000]   life, potentially of your children's lives, they could have at least one other country.
[00:59:07.000 --> 00:59:10.000]   In your husband's case, he already has one other.
[00:59:10.000 --> 00:59:14.000]   But now he would have at least one other with Portugal.
[00:59:14.000 --> 00:59:19.000]   And what that means, because the European Union is potentially up to 26 countries in
[00:59:19.000 --> 00:59:20.000]   the EU, I think, now.
[00:59:20.000 --> 00:59:24.000]   So there's 25 other countries that he could go and get a job in.
[00:59:24.000 --> 00:59:26.000]   That's so, so valuable.
[00:59:26.000 --> 00:59:29.000]   What about if-- the other examples I give in my course, right?
[00:59:29.000 --> 00:59:33.000]   What if you got sick, right?
[00:59:33.000 --> 00:59:35.000]   And your husband was totally broke.
[00:59:35.000 --> 00:59:37.000]   And you couldn't afford health insurance.
[00:59:37.000 --> 00:59:39.000]   And you're totally wrecked.
[00:59:39.000 --> 00:59:43.000]   Well, having access to another country, especially a country like Portugal, has a public health
[00:59:43.000 --> 00:59:48.000]   system that's potentially life-saving for you to be able to get medical treatment.
[00:59:48.000 --> 00:59:54.000]   What if you guys lose it all, and you've got these three children, and you want them to
[00:59:54.000 --> 00:59:56.000]   go to college, but you lose it all?
[00:59:56.000 --> 01:00:00.000]   Well, the fact is that you could go to Portugal and enroll them in one of the government schools
[01:00:00.000 --> 01:00:04.000]   there, and they could get a college degree or any other school in the European Union
[01:00:04.000 --> 01:00:06.000]   without tuition money out of their pocket.
[01:00:06.000 --> 01:00:09.000]   So it's an exceedingly valuable option for them.
[01:00:09.000 --> 01:00:14.000]   It's just-- and I could go on for another 20 minutes about the benefits of it.
[01:00:14.000 --> 01:00:23.000]   And so as a simple backup plan, anybody who has the option to get any kind of second citizenship
[01:00:23.000 --> 01:00:30.000]   by inheritance or by heritage should definitely start that process going.
[01:00:30.000 --> 01:00:34.000]   The only reasons you wouldn't do it is if it caused you a problem with your career--
[01:00:34.000 --> 01:00:36.000]   that's why I asked about the medical things--
[01:00:36.000 --> 01:00:42.000]   or potentially sometimes if the country that you're getting the citizenship from has some
[01:00:42.000 --> 01:00:44.000]   kind of significant restriction.
[01:00:44.000 --> 01:00:50.000]   So for example, there are a very small number of countries that if you are a citizen of
[01:00:50.000 --> 01:00:54.000]   those countries, you simply cannot be the citizen of another country, countries like
[01:00:54.000 --> 01:00:56.000]   Singapore, right?
[01:00:56.000 --> 01:01:02.000]   And so if your mom was Singaporean, or his mom was Singaporean, and he was considering,
[01:01:02.000 --> 01:01:05.000]   should I really file for Singapore citizenship if this is an option?
[01:01:05.000 --> 01:01:09.000]   Well, you can't be a dual citizen, or in his case, a triple citizen, with the United States
[01:01:09.000 --> 01:01:10.000]   and Singapore.
[01:01:10.000 --> 01:01:14.000]   So that could be a no-go for him for that reason.
[01:01:14.000 --> 01:01:18.000]   Or sometimes a country might impose something like military service.
[01:01:18.000 --> 01:01:22.000]   And so here, a country like Israel is a big consideration, right?
[01:01:22.000 --> 01:01:25.000]   You have to think, do we want our children to have Israeli citizenship, knowing that
[01:01:25.000 --> 01:01:29.000]   that will subject them to potentially military service?
[01:01:29.000 --> 01:01:31.000]   And there are some other countries as well.
[01:01:31.000 --> 01:01:35.000]   But Portugal has none of those downsides, right?
[01:01:35.000 --> 01:01:37.000]   There's no mandatory military service.
[01:01:37.000 --> 01:01:40.000]   Portugal has no problem with dual citizenship.
[01:01:40.000 --> 01:01:43.000]   And it has access to the European Union.
[01:01:43.000 --> 01:01:50.000]   And so having that access to the European Union is extraordinarily valuable, both from
[01:01:50.000 --> 01:01:55.000]   your ability to be a tourist, both for your ability to travel.
[01:01:55.000 --> 01:02:02.000]   The Portuguese citizenship, if coming up in five years, your family is world-schooling,
[01:02:02.000 --> 01:02:09.000]   the ability to travel on Portuguese passports is much more neutral than traveling on either
[01:02:09.000 --> 01:02:12.000]   Israeli or US American passports.
[01:02:12.000 --> 01:02:17.000]   And so that can quite literally make you safer in some parts of the world than traveling
[01:02:17.000 --> 01:02:20.000]   on either of the other passports.
[01:02:20.000 --> 01:02:25.000]   And so as I see it, the trip is irrelevant.
[01:02:25.000 --> 01:02:30.000]   The fact that you may or may not want to own property anywhere in Portugal is irrelevant.
[01:02:30.000 --> 01:02:34.000]   It's only a matter of the fact that having that second citizenship, even if he never
[01:02:34.000 --> 01:02:40.000]   does get a passport or not, doesn't matter, just having that option is very, very valuable.
[01:02:40.000 --> 01:02:48.000]   I had a friend of mine who was in a really difficult place because of the pandemic.
[01:02:48.000 --> 01:02:51.000]   And she had a lot of health problems, et cetera.
[01:02:51.000 --> 01:02:53.000]   And she was living in a poor country.
[01:02:53.000 --> 01:02:55.000]   The country didn't have a lot of options.
[01:02:55.000 --> 01:02:56.000]   She had been divorced.
[01:02:56.000 --> 01:02:59.000]   She was in a really rough place.
[01:02:59.000 --> 01:03:03.000]   But she was an Italian citizen.
[01:03:03.000 --> 01:03:06.000]   And I persuaded her and convinced her.
[01:03:06.000 --> 01:03:12.000]   And I literally paid all of the costs and am still supporting her to move her to Europe.
[01:03:12.000 --> 01:03:13.000]   And why?
[01:03:13.000 --> 01:03:20.000]   Because the country that she was living in had nothing like the economic clout of Europe.
[01:03:20.000 --> 01:03:27.000]   And I told her, I said, listen, let's say that the COVID economic crisis is bad like
[01:03:27.000 --> 01:03:28.000]   I think it's going to be.
[01:03:28.000 --> 01:03:30.000]   This was a year ago.
[01:03:30.000 --> 01:03:39.000]   I said, if the recession lasts for two years here where you're living, it's going to last
[01:03:39.000 --> 01:03:42.000]   for 14 months in Europe.
[01:03:42.000 --> 01:03:48.000]   If the vaccines arrive in three years here where you're living, they're going to arrive
[01:03:48.000 --> 01:03:50.000]   in 18 months in Europe.
[01:03:50.000 --> 01:03:56.000]   I said, the fact that you have the ability as an Italian citizen to move to Europe means
[01:03:56.000 --> 01:04:00.000]   that you can access what at the time was a better solution.
[01:04:00.000 --> 01:04:04.000]   And it has turned out to be better for her, better to access to a job market.
[01:04:04.000 --> 01:04:09.000]   And so if she didn't have that, there was just no other options.
[01:04:09.000 --> 01:04:12.000]   She couldn't go and apply for access.
[01:04:12.000 --> 01:04:14.000]   There was no other big country economy.
[01:04:14.000 --> 01:04:17.000]   She had no ability to go to the United States, no ability to go to Canada, no ability to
[01:04:17.000 --> 01:04:20.000]   go to Spain or to Italy.
[01:04:20.000 --> 01:04:23.000]   Without that, she would have had no options.
[01:04:23.000 --> 01:04:27.000]   But because she had an Italian passport, it was such a valuable backup plan.
[01:04:27.000 --> 01:04:33.000]   And so I'm pressing the point to impress upon you that this has no connection to where you
[01:04:33.000 --> 01:04:36.000]   might want to travel or where you might want to invest.
[01:04:36.000 --> 01:04:41.000]   It's worth pursuing as a very, very cheap long-term insurance plan.
[01:04:41.000 --> 01:04:43.000]   And you'll be grateful to start the process.
[01:04:43.000 --> 01:04:48.000]   Do it now and move it as fast as possible because the Portuguese government may change
[01:04:48.000 --> 01:04:52.000]   those rules in the coming years.
[01:04:52.000 --> 01:04:54.000]   That's what Spain has done and is doing.
[01:04:54.000 --> 01:05:00.000]   And so do it now and go as aggressively as you can to start the process going.
[01:05:00.000 --> 01:05:04.000]   And again, even if I didn't have the money, I would borrow the money to make it happen.
[01:05:04.000 --> 01:05:05.000]   Super helpful.
[01:05:05.000 --> 01:05:06.000]   Thank you so much, Joshua.
[01:05:06.000 --> 01:05:07.000]   My pleasure.
[01:05:07.000 --> 01:05:13.000]   I'm going to leave you in no doubt about what my opinion is on that one.
[01:05:13.000 --> 01:05:15.000]   All right, Parker in Washington, welcome to the show.
[01:05:15.000 --> 01:05:16.000]   How can I serve you today?
[01:05:16.000 --> 01:05:19.000]   Hey, Joshua, thanks for taking my call.
[01:05:19.000 --> 01:05:27.000]   My wife and I recently listened to your Seven Rings of Freedom and the Spousal Liberty episode
[01:05:27.000 --> 01:05:31.000]   really kind of struck a nerve with us, a chord with us.
[01:05:31.000 --> 01:05:36.000]   We are expecting our first baby here pretty much any day now.
[01:05:36.000 --> 01:05:38.000]   She's due at the end of this month.
[01:05:38.000 --> 01:05:43.000]   We've spent the last six months since we heard that episode working hard to pay off as much
[01:05:43.000 --> 01:05:48.000]   debt as we could in order to try to get her to stay at home.
[01:05:48.000 --> 01:05:55.000]   But we had to go through IVF to have our baby and we've still got about $45,000 of credit
[01:05:55.000 --> 01:05:59.000]   card debt from that.
[01:05:59.000 --> 01:06:06.000]   And basically, my income covers our expenses just about exactly and within a little bit
[01:06:06.000 --> 01:06:11.000]   of room for personal care and entertainment and things like that.
[01:06:11.000 --> 01:06:15.000]   But just trying to get a perspective of what would you do?
[01:06:15.000 --> 01:06:20.000]   I mean, basically, if we were to have any flexibility to try to pay down this debt quickly,
[01:06:20.000 --> 01:06:27.000]   and we do play the 0% balance transfer and charges game.
[01:06:27.000 --> 01:06:31.000]   So we've got them all on 0% interest credit cards.
[01:06:31.000 --> 01:06:37.000]   We've been kind of cycling through that, trying to get them paid down a big chunk, about $35,000.
[01:06:37.000 --> 01:06:41.000]   The 0% interest promotion ends in October.
[01:06:41.000 --> 01:06:45.000]   So coming down to have to move that around again.
[01:06:45.000 --> 01:06:50.000]   I've got like $200,000 in available credit limits.
[01:06:50.000 --> 01:06:53.000]   So I can keep moving it.
[01:06:53.000 --> 01:07:00.000]   But without her working, it's going to take us a long time to get that last little bit
[01:07:00.000 --> 01:07:06.000]   of debt cleared up so that we can have more freedom to be able to travel and things like
[01:07:06.000 --> 01:07:09.000]   that, which we love to do.
[01:07:09.000 --> 01:07:13.000]   So I'm just trying to figure out if you have any ideas.
[01:07:13.000 --> 01:07:18.000]   Like we have 401(k)s, each about $53,000 in our 401(k)s.
[01:07:18.000 --> 01:07:25.000]   And we have about $18,000 in an HSA that we could pull from because we've had all the
[01:07:25.000 --> 01:07:27.000]   medical expenses.
[01:07:27.000 --> 01:07:30.000]   So I'm just trying to figure out if you have any ideas.
[01:07:30.000 --> 01:07:36.000]   I mean, she could work two days a week, and we could pay off that debt in a year and a
[01:07:36.000 --> 01:07:37.000]   half.
[01:07:37.000 --> 01:07:40.000]   I mean, what are your thoughts on all the situations?
[01:07:40.000 --> 01:07:42.000]   >>Trevor: What kind of work do you do?
[01:07:42.000 --> 01:07:43.000]   Does she do?
[01:07:43.000 --> 01:07:44.000]   How much do you earn?
[01:07:44.000 --> 01:07:45.000]   Does she earn?
[01:07:45.000 --> 01:07:48.000]   >>Toby: I earn about $110 before tax.
[01:07:48.000 --> 01:07:52.000]   I'm a rehab director and do physical therapy.
[01:07:52.000 --> 01:07:53.000]   And she's an RN.
[01:07:53.000 --> 01:07:56.000]   So she's got a lot of flexibility in her schedule.
[01:07:56.000 --> 01:07:59.000]   Like she could pretty much do whatever she wants to do.
[01:07:59.000 --> 01:08:03.000]   >>Steve: And when is the baby expected?
[01:08:03.000 --> 01:08:05.000]   >>Toby: August 27th.
[01:08:05.000 --> 01:08:06.000]   >>Steve: Awesome.
[01:08:06.000 --> 01:08:07.000]   So any day now.
[01:08:07.000 --> 01:08:08.000]   Great.
[01:08:08.000 --> 01:08:10.000]   So first of all, congratulations.
[01:08:10.000 --> 01:08:11.000]   >>Toby: Thank you.
[01:08:11.000 --> 01:08:15.000]   >>Steve: And this child will be very precious to you.
[01:08:15.000 --> 01:08:24.000]   Anytime I have ever worked with somebody who has invested a lot of money into conceiving
[01:08:24.000 --> 01:08:32.000]   their baby, it has made me appreciate afresh how precious children are.
[01:08:32.000 --> 01:08:38.000]   Many of us have not had to invest money into conceiving our children.
[01:08:38.000 --> 01:08:43.000]   For most of us, the actual conception of our children has been far more fun.
[01:08:43.000 --> 01:08:47.000]   But it just makes me appreciate how precious children are.
[01:08:47.000 --> 01:08:49.000]   And they genuinely are an investment.
[01:08:49.000 --> 01:08:54.000]   And I pray that you have a beautiful delivery of your baby very soon.
[01:08:54.000 --> 01:08:55.000]   First thing is --
[01:08:55.000 --> 01:08:56.000]   >>Toby: Thank you very much.
[01:08:56.000 --> 01:08:57.000]   >>Steve: Yeah.
[01:08:57.000 --> 01:09:02.000]   First thing is I wouldn't do much at this stage financially other than pile up cash.
[01:09:02.000 --> 01:09:08.000]   Kudos to you for saving money and for trying to pay things off and for working as much
[01:09:08.000 --> 01:09:09.000]   as possible.
[01:09:09.000 --> 01:09:15.000]   At this stage, though, with the child's birth imminent, I wouldn't be paying anything
[01:09:15.000 --> 01:09:16.000]   extra.
[01:09:16.000 --> 01:09:23.000]   What I would do, since you are playing the credit card game -- and by the way, have you
[01:09:23.000 --> 01:09:26.000]   taken my -- did you take my course on that topic?
[01:09:26.000 --> 01:09:27.000]   >>Toby: I haven't.
[01:09:27.000 --> 01:09:31.000]   Actually, before you came out with that course, we had been doing this for a few years.
[01:09:31.000 --> 01:09:35.000]   And I've just kind of researched on my own and got a pretty good handle on it.
[01:09:35.000 --> 01:09:40.000]   >>Steve: You should have taken my course just to make sure that there are options there.
[01:09:40.000 --> 01:09:43.000]   But what you want to make sure that you do -- it sounds like you're doing the stuff right.
[01:09:43.000 --> 01:09:46.000]   And so let's assume that you know everything there is to know.
[01:09:46.000 --> 01:09:47.000]   Good.
[01:09:47.000 --> 01:09:54.000]   So while her income is high, apply for as many -- before she stops working, before the
[01:09:54.000 --> 01:10:00.000]   baby is here, apply for as many new cards as you can find using an appropriate level
[01:10:00.000 --> 01:10:01.000]   of strategic thinking.
[01:10:01.000 --> 01:10:08.000]   And make sure that you have moved the debt onto the longest term offers that you can
[01:10:08.000 --> 01:10:09.000]   get at reasonable prices.
[01:10:09.000 --> 01:10:18.000]   And so what I mean is if they offer you 1.99% for 18 months or 0% for 11 months, right,
[01:10:18.000 --> 01:10:19.000]   take the 18-month offer.
[01:10:19.000 --> 01:10:22.000]   And just stretch things out as much as possible.
[01:10:22.000 --> 01:10:27.000]   Don't be silly, but I would go ahead and take any 3% fees they offer.
[01:10:27.000 --> 01:10:32.000]   Try to stay away from the 5% ones, but even that, if necessary, fine.
[01:10:32.000 --> 01:10:38.000]   But try to get all this debt stretched out to as long as possible and as stable as possible
[01:10:38.000 --> 01:10:40.000]   so that you have breathing room.
[01:10:40.000 --> 01:10:42.000]   That's the first thing that I would do.
[01:10:42.000 --> 01:10:46.000]   And then beyond that, I would not pay any extra right now.
[01:10:46.000 --> 01:10:52.000]   When the birth of a baby is imminent, in your general financial flows, you want to have
[01:10:52.000 --> 01:10:54.000]   as much money available as possible.
[01:10:54.000 --> 01:11:01.000]   Because if something happens with the birth that makes it complicated, you want to have
[01:11:01.000 --> 01:11:05.000]   a war chest of cash so that you can fight that problem.
[01:11:05.000 --> 01:11:11.000]   I've had friends who, you know, I'm just thinking of one of my friends, their child,
[01:11:11.000 --> 01:11:15.000]   I forget the medical name of it, but anyway, they had a child in the NICU, right?
[01:11:15.000 --> 01:11:20.000]   Child in the NICU, even if all the medical bills are covered, right, and what people
[01:11:20.000 --> 01:11:23.000]   don't understand is even if all the medical bills are covered, right, you're still going
[01:11:23.000 --> 01:11:25.000]   to not be working.
[01:11:25.000 --> 01:11:31.000]   You're going to have expenses for staying in a hotel, expenses for food, all that stuff
[01:11:31.000 --> 01:11:32.000]   that's there.
