
[00:00:00.000 --> 00:00:06.100]   The following is a conversation with Terence Tao, widely considered to be one of the greatest
[01:38:02.440 --> 01:38:07.480]   We were hoping to use a lot of AI as well, so the project is almost complete.
[01:38:07.740 --> 01:38:10.740]   So, all of these 22 million, all but two had been settled.
[01:38:10.740 --> 01:38:11.840]   Wow.
[01:38:11.840 --> 01:38:17.680]   And, well, actually, and of those two, we have a pen and paper proof of the two, and we're formalizing it.
[01:38:17.680 --> 01:38:20.100]   In fact, this morning, I was working on finishing it.
[01:38:20.100 --> 01:38:22.620]   So, we're almost done on this.
[01:38:22.620 --> 01:38:23.640]   It's incredible.
[01:38:23.640 --> 01:38:24.960]   Yeah, fantastic.
[01:38:24.960 --> 01:38:26.400]   How many people were able to get?
[01:38:26.400 --> 01:38:27.100]   About 50.
[01:38:28.360 --> 01:38:30.740]   Which, in mathematics, is considered a huge number.
[01:38:30.740 --> 01:38:31.780]   It's a huge number.
[01:38:31.780 --> 01:38:32.620]   That's crazy.
[01:38:32.620 --> 01:38:33.000]   Yeah.
[01:38:33.000 --> 01:38:37.960]   So, we're going to have a paper with 50 authors and a big appendix of who contributed to what.
[01:38:37.960 --> 01:38:42.240]   Here's an interesting question, not to maybe speak even more generally about it.
[01:38:42.240 --> 01:38:50.840]   When you have this pool of people, is there a way to organize the contributions by level of expertise of the people, of the contributors?
[01:38:51.140 --> 01:38:59.580]   Now, okay, I'm asking a lot of pothead questions here, but I'm imagining a bunch of humans, and maybe in the future, some AIs.
[01:38:59.580 --> 01:39:07.040]   Can there be like an ELO rating type of situation where, like a gamification of this?
[01:39:07.040 --> 01:39:10.700]   The beauty of these lean projects is that automatically, you get all this data.
[01:39:10.700 --> 01:39:14.900]   So, like everything's uploaded to this GitHub, and GitHub tracks who contributed to what.
[01:39:14.900 --> 01:39:20.480]   So, you could generate statistics at any later point in time.
[01:39:20.660 --> 01:39:23.980]   You could say, oh, this person contributed to this many lines of code, or whatever.
[01:39:23.980 --> 01:39:25.520]   I mean, these are very crude metrics.
[01:39:25.520 --> 01:39:30.000]   I would definitely not want this to become like, you know, part of your tenure review or something.
[01:39:30.000 --> 01:39:41.660]   But, I mean, I think already in enterprise computing, right, people do use some of these metrics as part of the assessment of performance of an employee.
[01:39:41.660 --> 01:39:45.920]   Again, this is a direction which is a bit scary for academics to go down.
[01:39:45.920 --> 01:39:48.880]   We don't like metrics so much.
[01:39:48.880 --> 01:39:51.960]   And yet, academics use metrics.
[01:39:51.960 --> 01:39:54.780]   They just use old ones.
[01:39:54.780 --> 01:39:56.220]   Number of papers.
[01:39:56.220 --> 01:39:58.100]   Yeah, it's true.
[01:39:58.100 --> 01:39:58.900]   It's true that, yeah.
[01:39:58.900 --> 01:40:05.240]   I mean, it feels like this is a metric while flawed is going in the more in the right direction, right?
[01:40:05.240 --> 01:40:05.880]   Yeah.
[01:40:05.880 --> 01:40:06.580]   It's interesting.
[01:40:06.800 --> 01:40:08.400]   At least it's a very interesting metric.
[01:40:08.400 --> 01:40:10.540]   Yeah, I think it's interesting to study.
[01:40:10.540 --> 01:40:13.960]   I mean, I think you can do studies of whether these are better predictors.
[01:40:14.760 --> 01:40:16.360]   There's this problem called Goodhart's Law.
[01:40:16.360 --> 01:40:20.260]   If a statistic is actually used to incentivize performance, it becomes gamed.
[01:40:20.260 --> 01:40:22.280]   And then it is no longer a useful measure.
[01:40:22.280 --> 01:40:23.320]   Oh, humans.
[01:40:23.320 --> 01:40:24.240]   Always gaming these things.
[01:40:24.240 --> 01:40:24.780]   Yeah, yeah.
[01:40:24.780 --> 01:40:26.180]   I mean, it's rational.
[01:40:26.540 --> 01:40:29.400]   So what we've done for this project is self-report.
[01:40:29.400 --> 01:40:34.860]   So there are actually standard categories from the sciences of what types of contributions people give.
[01:40:35.060 --> 01:40:40.440]   So there's this concept and validation and resources and coding and so forth.
[01:40:40.440 --> 01:40:43.900]   So there's a standard list of trolls or categories.
[01:40:43.900 --> 01:40:52.180]   And we just ask each contributor to this big matrix of all the authors and all the categories just to tick the boxes where they think that they contributed.
[01:40:52.180 --> 01:41:01.800]   And just give a rough idea, you know, like, oh, so you did some coding and you provided some compute, but you didn't do any of the pen and paper verification or whatever.
[01:41:01.800 --> 01:41:03.820]   And I think that that works out.
[01:41:04.220 --> 01:41:06.880]   Traditionally, mathematicians just order alphabetically by surname.
[01:41:06.880 --> 01:41:13.080]   So we don't have this tradition as in the sciences of, you know, lead author and second author and so forth, which we're proud of.
[01:41:13.080 --> 01:41:18.220]   You know, we make all the authors equal status, but it doesn't quite scale to this size.
[01:41:18.220 --> 01:41:21.780]   So a decade ago, I was involved in these things called polymath projects.
[01:41:21.780 --> 01:41:25.260]   It was the crowdsourcing mathematics, but without the lean component.
[01:41:25.260 --> 01:41:30.340]   So it was limited by you needed a human moderator to actually check that all the contributions coming in were actually rather.
[01:41:30.340 --> 01:41:32.860]   And this was a huge bottleneck, actually.
[01:41:33.380 --> 01:41:45.240]   Um, but still we had projects that were, you know, 10 authors or so, but we had decided at the time, um, not to try to decide who did what, um, but to have a single pseudonym.
[01:41:45.240 --> 01:41:55.620]   And so we created this fictional character called DHJ polymath in the spirit of Borbaki, Borbaki is the pseudonym for a famous group of mathematicians of the 20th century.
[01:41:56.280 --> 01:41:58.420]   But, um, and so the paper was authored on the pseudonym.
[01:41:58.420 --> 01:42:00.200]   So none of us got the author credit.
[01:42:00.200 --> 01:42:04.260]   Um, this actually turned out to be not so great for a couple of reasons.
[01:42:04.260 --> 01:42:17.000]   So, so one is that if you actually wanted to be considered for tenure or whatever, you could not use this paper in your, uh, uh, as you're submitted as one of your publications because it was, you didn't have the formal author credit.
[01:42:17.000 --> 01:42:28.360]   Um, um, um, but the other thing that we've recognized much later is that when people referred to these projects, they naturally refer to the most famous person who was involved in the project.
[01:42:28.440 --> 01:42:36.020]   Oh yeah, so this was Tim Gower's project, this was Thomas Towers project and not mentioned the, the other 19 or whatever people that were involved.
[01:42:36.020 --> 01:42:37.080]   Ah, yeah.
[01:42:37.080 --> 01:42:45.340]   So we're trying something different this time around where we have, everyone's an author, um, but we will have an appendix with this matrix and we'll see how that works.
[01:42:45.340 --> 01:42:47.380]   I mean, uh, so both projects are incredible.
[01:42:47.380 --> 01:42:55.940]   Just the fact that you're involved in such huge collaborations, but I think I saw a talk from Kevin Buzzard about, uh, the lean programming languages a few years ago.
[01:42:55.940 --> 01:42:59.820]   And you're saying that, uh, this might be the future of mathematics.
[01:42:59.820 --> 01:43:11.260]   And so it's also exciting that you're embracing, uh, one of the greatest mathematicians in the world, embracing this, what seems like the paving of the future of mathematics.
[01:43:11.260 --> 01:43:19.160]   Um, so I have to ask you here about the integration of AI into this whole process.
[01:43:19.160 --> 01:43:28.060]   So DeepMind's alpha proof was trained using reinforcement learning on both failed and successful formal lean proofs of IMO problems.
[01:43:28.060 --> 01:43:31.780]   So this is sort of high level, high school.
[01:43:31.780 --> 01:43:32.820]   Oh, very high level.
[01:43:32.820 --> 01:43:33.040]   Yes.
[01:43:33.040 --> 01:43:35.380]   Very high level, high school level mathematics problems.
[01:43:35.380 --> 01:43:37.160]   What do you think about the system?
[01:43:37.160 --> 01:43:46.480]   And maybe what is the gap between this system that is able to prove the high school level problems versus gradual level, uh, problems?
[01:43:46.480 --> 01:43:47.280]   Yeah.
[01:43:47.280 --> 01:43:53.940]   The, the difficulty increases exponentially with the, the number of steps involved in the proof is a commentorial explosion.
[01:43:53.940 --> 01:43:57.680]   So the thing of large language models is, is that they make mistakes.
[01:43:57.780 --> 01:44:09.640]   And so if your proof has got 20 steps and your, uh, has a 10% failure rate, um, at each step, um, of, of going in the wrong direction, like, uh, it's, it's extremely unlikely to actually, uh, reach the end.
[01:44:09.640 --> 01:44:19.040]   Actually, uh, just to take a small tangent here is how hard is the problem of mapping from natural language to the formal program?
[01:44:19.040 --> 01:44:19.540]   Oh yeah.
[01:44:19.540 --> 01:44:20.560]   It's extremely hard.
[01:44:20.560 --> 01:44:23.820]   Actually, um, natural language, you know, it's very fault tolerant.
[01:44:23.820 --> 01:44:28.780]   Um, like you can make a few minor grammatical errors and a speaker in the second language can get some idea of what you're saying.
[01:44:28.780 --> 01:44:31.980]   Um, yeah, but, but formal language, yeah.
[01:44:31.980 --> 01:44:36.460]   You know, if you get one little thing wrong, um, I think that the whole thing is, is, is, is nonsense.
[01:44:36.460 --> 01:44:39.700]   Um, even formal to formal is, is, is very hard.
[01:44:39.700 --> 01:44:42.800]   There are, there are different incompatible, um, uh, proof of system languages.
[01:44:42.800 --> 01:44:45.880]   Uh, there's lean, but also cock and Isabel and so forth.
[01:44:45.880 --> 01:44:52.000]   And actually even converting from a formal language to formal language, um, it's, uh, it's an unsolved, basically unsolved problem.
[01:44:52.000 --> 01:44:53.220]   That is fascinating.
[01:44:53.540 --> 01:44:53.720]   Okay.
[01:44:53.720 --> 01:45:08.080]   So, uh, but once you have an informal language, they're using, um, their RL train model, so something akin to alpha zero that they use to go to then try to come up with proofs.
[01:45:08.080 --> 01:45:11.520]   They also have a model, I believe it's a separate model for geometric problems.
[01:45:11.520 --> 01:45:18.200]   So what impresses you about the system and, um, what do you think is the gap?
[01:45:18.420 --> 01:45:18.540]   Yeah.
[01:45:18.540 --> 01:45:21.980]   We talked earlier about things that are amazing over time become kind of normalized.
[01:45:21.980 --> 01:45:26.640]   Um, so yeah, now somehow it's, oh, of course, geometry is a silverware problem.
[01:45:26.640 --> 01:45:27.120]   Right.
[01:45:27.120 --> 01:45:27.740]   That's true.
[01:45:27.740 --> 01:45:28.180]   That's true.
[01:45:28.180 --> 01:45:29.580]   I mean, it's still beautiful.
[01:45:29.580 --> 01:45:29.920]   Yeah.
[01:45:29.920 --> 01:45:30.080]   Yeah.
[01:45:30.080 --> 01:45:31.560]   No, it's, it's, it's, it's a great work.
[01:45:31.560 --> 01:45:32.520]   It shows what's possible.
[01:45:32.680 --> 01:45:36.240]   I mean, um, it's, it, um, the approach doesn't scale currently.
[01:45:36.240 --> 01:45:36.540]   Yeah.
[01:45:36.540 --> 01:45:41.500]   Three days of Google's server is server time to sort of one, uh, high school math formula.
[01:45:41.500 --> 01:45:49.200]   This, this is not a scalable, uh, prospect, um, especially with the exponential increase in, um, as, as the complexity, um, increases.
[01:45:49.440 --> 01:45:52.220]   We should mention that they got a silver metal performance.
[01:45:52.220 --> 01:45:53.660]   The equivalent of, I mean, yeah.
[01:45:53.660 --> 01:45:54.660]   The equivalent of a silver metal performance.
[01:45:54.660 --> 01:45:57.820]   I mean, so first of all, they took way more time than was, uh, allotted.
[01:45:57.820 --> 01:46:01.820]   Um, and they had this assistance where, where the humans started, helped by, by formalizing.
[01:46:01.820 --> 01:46:08.440]   Um, but, uh, yeah, also they're giving themselves full marks for the solution, which I guess is formally verified.
[01:46:08.440 --> 01:46:37.440]   So I guess that that's, that's fair, um, yeah, um, there, there are efforts, there was, there will be a proposal at some point to actually have an AI math Olympiad where at the same time as the human contestants get the, the actual Olympiad problems, the AIs will also be given the same problems, the same time period, um, and the outputs will have to be graded by the same judges, um, um, um, which means that will have to be written in natural language rather than formal language.
[01:46:37.440 --> 01:46:41.780]   Oh, I hope that happens. I hope this IMO happens. I hope the next one.
[01:46:41.780 --> 01:46:45.860]   It won't happen this IMO. The performance is not good enough in the time period.
[01:46:45.860 --> 01:46:54.760]   But there are smaller competitions. There are competitions where the answer is a number rather than a long-form proof.
[01:46:54.760 --> 01:47:02.140]   And AI is actually a lot better at problems where there's a specific numerical answer.
[01:47:02.140 --> 01:47:07.000]   Because it's easy to reinforce learning on it.
[01:47:07.000 --> 01:47:10.180]   You've got the right answer, you've got the wrong answer. It's a very clear signal.
[01:47:10.180 --> 01:47:16.880]   But a long-form proof either has to be formal, and then the lean can give it thumbs up, thumbs down, or it's informal.
[01:47:16.880 --> 01:47:19.240]   But then you need a human to grade it.
[01:47:19.240 --> 01:47:29.600]   And if you're trying to do billions of reinforcement learning runs, you can't hire enough humans to grade those.
[01:47:29.600 --> 01:47:36.980]   It's already hard enough for the last language to do reinforcement learning on just the regular text that people get.
[01:47:36.980 --> 01:47:42.980]   But now if you hire people, not just give thumbs up, thumbs down, but actually check the output mathematically.
[01:47:42.980 --> 01:47:45.000]   Yeah, that's too expensive.
[01:47:45.000 --> 01:47:54.840]   So if we just explore this possible future, what is the thing that humans do that's most special in mathematics?
[01:47:54.840 --> 01:48:00.120]   So that you could see AI not cracking for a while.
[01:48:00.120 --> 01:48:02.200]   So inventing new theories.
[01:48:02.200 --> 01:48:06.680]   So coming up with new conjectures versus proving the conjectures.
[01:48:06.680 --> 01:48:10.760]   Building new abstractions, new representations.
[01:48:11.260 --> 01:48:17.020]   Maybe an AI turnstile with seeing new connections between disparate fields.
[01:48:17.020 --> 01:48:18.320]   That's a good question.
[01:48:18.320 --> 01:48:21.540]   I think the nature of what mathematicians do over time has changed a lot.
[01:48:21.540 --> 01:48:26.800]   You know, so a thousand years ago, mathematicians had to compute the date of Easter.
[01:48:27.340 --> 01:48:32.760]   And those really complicated calculations, you know, but it's all automated, been automated centuries.
[01:48:32.760 --> 01:48:34.120]   We don't need that anymore.
[01:48:34.120 --> 01:48:40.960]   You know, they used to navigate to do spherical navigation, spherical trigonometry to navigate how to get from the old world to the new.
[01:48:40.960 --> 01:48:43.900]   So I think a very complicated calculation, again, being automated.
[01:48:45.600 --> 01:48:54.620]   You know, even a lot of undergraduate mathematics, even before AI, like Wolfram Alpha, for example, is not a language model, but it can solve a lot of undergraduate-level math tasks.
[01:48:54.620 --> 01:49:02.880]   So on the computational side, verifying routine things, like having a problem and saying, here's a problem in partial differential equations.
[01:49:02.880 --> 01:49:05.160]   Could you solve it using any of the 20 standard techniques?
[01:49:05.160 --> 01:49:07.780]   And AI would say, yes, I've tried all 20.
[01:49:07.780 --> 01:49:11.080]   I hear the 100 different permutations and here's my results.
[01:49:11.080 --> 01:49:14.320]   And that type of thing, I think it will work very well.
[01:49:14.740 --> 01:49:20.900]   The type of scaling to, once you solve one problem, to make the AI attack 100 adjacent problems.
[01:49:20.900 --> 01:49:31.240]   The things that humans do still, so where the AI really struggles right now is knowing when it's made a wrong turn.
[01:49:31.240 --> 01:49:34.320]   And it can say, oh, I'm going to solve this problem.
[01:49:34.320 --> 01:49:37.660]   I'm going to split up this problem into these two cases.
[01:49:37.660 --> 01:49:38.580]   I'm going to try this technique.
[01:49:38.580 --> 01:49:44.080]   And sometimes, if you're lucky, and it's a simple problem, it's the right technique, and you solve the problem.
[01:49:44.080 --> 01:49:49.460]   And sometimes, it would propose an approach which is just complete nonsense.
[01:49:49.460 --> 01:49:53.200]   But it looks like a proof.
[01:49:53.200 --> 01:49:56.900]   So this is one annoying thing about LLM-generated mathematics.
[01:49:59.900 --> 01:50:06.440]   We've had human-generated mathematics that's very low quality, like submissions with people who don't have the formal training and so forth.
[01:50:06.440 --> 01:50:10.320]   But if a human proof is bad, you can tell it's bad pretty quickly.
[01:50:10.320 --> 01:50:11.980]   It makes really basic mistakes.
[01:50:12.620 --> 01:50:16.700]   But the AI-generated proofs, they can look superficially flawless.
[01:50:16.700 --> 01:50:27.160]   And it's partly because that's what the reinforcement learning has like you train them to do, to produce text that looks like what is correct, which for many applications is good enough.
[01:50:28.700 --> 01:50:30.660]   So the errors are often really subtle.
[01:50:30.660 --> 01:50:32.680]   And then when you spot them, they're really stupid.
[01:50:32.680 --> 01:50:35.760]   Like, you know, like no human would have actually made that mistake.
[01:50:36.080 --> 01:50:39.640]   Yeah, it's actually really frustrating in the programming context, because I program a lot.
[01:50:39.640 --> 01:50:46.220]   And yeah, when a human makes low quality code, there's something called code smell, right?
[01:50:46.220 --> 01:50:46.960]   You can tell.
[01:50:46.960 --> 01:50:47.480]   You can tell.
[01:50:47.480 --> 01:50:49.500]   Immediately, like, okay, there's signs.
[01:50:50.200 --> 01:50:59.400]   But with AI-generated code, and then you're right, eventually you find an obvious, dumb thing that just looks like good code.
[01:50:59.400 --> 01:51:00.740]   Yeah, so...
[01:51:00.740 --> 01:51:05.080]   It's very tricky, too, and frustrating for some reason to have to work.
[01:51:05.080 --> 01:51:06.360]   Yeah, so the sense of smell.
[01:51:06.360 --> 01:51:07.200]   Okay, there you go.
[01:51:07.200 --> 01:51:18.160]   This is one thing that humans have, and there's a metaphorical, mathematical smell that it's not clear how to get the AI to duplicate that.
[01:51:19.440 --> 01:51:29.760]   I mean, so the way AlphaZero and so forth, they make progress on Go and chess and so forth, is in some sense, they have developed a sense of smell for Go and chess positions.
[01:51:29.760 --> 01:51:32.460]   That this position is good for white, that's good for black.
[01:51:32.460 --> 01:51:39.960]   They can't enunciate why, but just having that sense of smell lets them strategize.
[01:51:39.960 --> 01:51:46.300]   So if AIs gain that ability to sort of a sense of viability of certain proof strategies, so you can say,
[01:51:46.700 --> 01:51:51.080]   I'm going to try to break up this problem into two small subtasks, and they can say,
[01:51:51.080 --> 01:51:52.460]   oh, this looks good.
[01:51:52.460 --> 01:51:57.500]   The two tasks look like they're simpler tasks than your main task, and they've still got a good chance of being true.
[01:51:57.500 --> 01:51:59.280]   So this is good to try.
[01:51:59.280 --> 01:52:04.200]   Or, no, you've made the problem worse, because each of the two subproblems is actually harder than your original problem,
[01:52:04.200 --> 01:52:08.140]   which is actually what normally happens if you try a random thing to try.
[01:52:08.140 --> 01:52:11.580]   Normally, it's very easy to transform a problem into an even harder problem.
[01:52:11.580 --> 01:52:14.720]   Very rarely do you transfer to a simpler problem.
[01:52:14.720 --> 01:52:24.180]   So if they can pick up a sense of smell, then they could maybe start competing with human-level mathematicians.
[01:52:24.380 --> 01:52:27.460]   So this is a hard question, but not competing, but collaborating.
[01:52:27.460 --> 01:52:27.920]   Yeah.
[01:52:27.920 --> 01:52:29.340]   If, okay, hypothetical.
[01:52:29.340 --> 01:52:37.160]   If I gave you an oracle that was able to do some aspect of what you do, and you could just collaborate with it.
[01:52:37.160 --> 01:52:37.680]   Yeah, yeah, yeah.
[01:52:37.680 --> 01:52:40.860]   What would that oracle, what would you like that oracle to be able to do?
[01:52:41.240 --> 01:52:54.600]   Would you like it to maybe be a verifier, like check, do the codes, like you're, yes, Professor Tao, this is the correct, this is a promising, fruitful direction.
[01:52:54.600 --> 01:52:55.420]   Yeah, yeah, yeah.
[01:52:55.420 --> 01:53:02.860]   Or would you like it to generate possible proofs, and then you see which one is the right one?
[01:53:04.120 --> 01:53:10.420]   Or would you like it to maybe generate different representation, totally different ways of seeing this problem?
[01:53:10.420 --> 01:53:11.740]   Yeah, I think all of the above.
[01:53:11.740 --> 01:53:19.760]   A lot of it is, we don't know how to use these tools, because it's a paradigm that it's not, yeah.
[01:53:20.020 --> 01:53:29.400]   We have not had, in the past, assistants that are competent enough to understand complex instructions that can work at massive scale, but are also unreliable.
[01:53:29.400 --> 01:53:37.460]   It's an interesting, but a bit unreliable in subtle ways, whereas providing sufficiently good output.
[01:53:37.460 --> 01:53:39.820]   It's an interesting combination.
[01:53:39.820 --> 01:53:46.200]   You know, I mean, you have graduate students that you work with who are kind of like this, but not at scale.
[01:53:47.520 --> 01:53:52.760]   You know, and we had previous software tools that can work at scale, but very narrow.
[01:53:52.760 --> 01:54:06.840]   So we have to figure out how to use, I mean, so Tim Goward, actually, you mentioned, he actually foresaw, like in 2000, he was envisioning what mathematics would look like in actually two and a half decades.
[01:54:08.520 --> 01:54:18.280]   And yeah, he wrote in his article, like a hypothetical conversation between a mathematical assistant of the future and himself, you know, trying to solve a problem.
[01:54:18.280 --> 01:54:25.240]   And they would have a conversation that sometimes the human would propose an idea and the AI would evaluate it.
[01:54:25.240 --> 01:54:26.720]   And sometimes the AI would propose an idea.
[01:54:28.040 --> 01:54:33.420]   And sometimes a competition was required and AI would just go and say, okay, I've checked the 100 cases needed here.
[01:54:33.420 --> 01:54:40.500]   Or the first, you said this is true for all N, I've checked N up to 100 and it looks good so far.
[01:54:40.500 --> 01:54:42.500]   Or hang on, there's a problem at N equals 46.
[01:54:43.240 --> 01:54:53.240]   And so just a free form conversation where you don't know in advance where things are going to go, but just based on, I think ideas could be proposed on both sides, calculations could be proposed on both sides.
[01:54:53.240 --> 01:54:58.600]   I've had conversations with AI where I say, okay, we're going to collaborate to solve this math problem.
[01:54:58.600 --> 01:55:00.340]   And it's a problem that I already know a solution to.
[01:55:00.340 --> 01:55:01.940]   So I try to prompt it.
[01:55:01.940 --> 01:55:02.680]   Okay, so here's the problem.
[01:55:02.780 --> 01:55:03.860]   I suggest using this tool.
[01:55:03.860 --> 01:55:10.600]   And it'll find this lovely argument using a completely different tool, which eventually goes into the weeds and say, no, no, no, try using this.
[01:55:10.600 --> 01:55:14.420]   Okay, and it might start using this and then it'll go back to the tool that I wanted to do before.
[01:55:14.420 --> 01:55:18.840]   And you have to keep railroading it onto the path you want.
[01:55:18.840 --> 01:55:24.520]   And I could eventually force it to give the proof I wanted, but it was like herding cats.
[01:55:25.220 --> 01:55:32.680]   And the amount of personal effort I had to take to not just sort of prompt it, but also check its output, because a lot of what it looks like is going to work.
[01:55:32.680 --> 01:55:41.020]   I know there's a problem on 9-17, and basically arguing with it, it was more exhausting than doing it unassisted.
[01:55:41.020 --> 01:55:43.720]   But that's the current state of the art.
[01:55:43.720 --> 01:55:50.420]   I wonder if there's a phase shift that happens to where it no longer feels like herding cats.
[01:55:50.420 --> 01:55:54.140]   And maybe you'll surprise us how quickly that comes.
[01:55:54.520 --> 01:55:55.420]   I believe so.
[01:55:55.420 --> 01:56:01.100]   So in formalization, I mentioned before that it takes 10 times longer to formalize a proof than to write it by hand.
[01:56:01.100 --> 01:56:11.920]   With these modern AI tools, and also just better tooling, the lean developers are doing a great job adding more and more features and making it user-friendly.
[01:56:11.920 --> 01:56:15.160]   It's going from 9 to 8 to 7, okay, no big deal.
[01:56:15.160 --> 01:56:19.620]   But one day it will drop below 1, and that's a phase shift.
[01:56:20.160 --> 01:56:30.720]   Because suddenly it makes sense when you write a paper to write it in lean first, or through a conversation with AI, which is generally on the fly with you.
[01:56:31.160 --> 01:56:36.500]   It becomes natural for journals to accept, and maybe they'll offer expedite refereeing.
[01:56:36.740 --> 01:56:49.740]   If a paper has already been formalized in lean, they'll just ask the referee to comment on the significance of the results and how it connects to literature, and not worry so much about the correctness, because that's been certified.
[01:56:50.740 --> 01:56:57.640]   Papers are getting longer and longer in mathematics, and it's harder and harder to get good refereeing for the really long ones, unless they're really important.
[01:56:57.640 --> 01:57:03.360]   It is actually an issue, and the formalization is coming in at just the right time for this to be.
[01:57:03.760 --> 01:57:12.360]   And the easier and easier it gets because of the tooling and all the other factors, then you're going to see much more, like math, lib, will grow potentially exponentially.
[01:57:12.360 --> 01:57:16.000]   It's a virtuous cycle, okay.
[01:57:16.120 --> 01:57:19.580]   I mean, one phase shift of this type that happened in the past was the adoption of LaTeX.
[01:57:19.580 --> 01:57:23.140]   So LaTeX is this typesetting language that all mathematicians use now.
[01:57:23.140 --> 01:57:27.260]   So in the past, people used all kinds of word processors and typewriters and whatever.
[01:57:27.260 --> 01:57:34.740]   But at some point, LaTeX became easier to use than all other competitors, and people would just switch within a few years.
[01:57:34.740 --> 01:57:37.180]   It was just a dramatic phase shift.
[01:57:37.180 --> 01:57:52.960]   It's a wild-out-there question, but what year, how far away are we from an AI system being a collaborator on a proof that wins the Fields Medal?
[01:57:52.960 --> 01:57:54.160]   So that level.
[01:57:54.160 --> 01:57:55.520]   Okay.
[01:57:55.520 --> 01:57:57.940]   Well, it depends on the level of collaboration.
[01:57:57.940 --> 01:58:01.340]   No, like it deserves to get the Fields Medal.
[01:58:01.340 --> 01:58:02.960]   So half and half.
[01:58:03.120 --> 01:58:14.360]   Already, like I can imagine a Fields Medal winning paper having some AI systems in writing it, you know, just, you know, like the autocomplete alone is already, I use it, like it speeds up my own writing.
[01:58:14.360 --> 01:58:19.480]   Like, you know, you can have a theorem, you have a proof, and the proof has three cases.
[01:58:19.480 --> 01:58:25.280]   And I write down the proof of the first case, and the autocomplete just suggests that now here's how the proof of the second case could work.
[01:58:25.280 --> 01:58:26.680]   And like, it was exactly correct.
[01:58:26.680 --> 01:58:27.220]   That was great.
[01:58:27.220 --> 01:58:30.100]   Saved me like five, ten minutes of typing.
[01:58:30.220 --> 01:58:33.160]   But in that case, the AI system doesn't get the Fields Medal.
[01:58:33.160 --> 01:58:33.420]   No.
[01:58:33.420 --> 01:58:41.040]   Are we talking 20 years, 50 years, 100 years?
[01:58:41.040 --> 01:58:41.700]   What do you think?
[01:58:41.700 --> 01:58:42.020]   Okay.
[01:58:42.020 --> 01:58:50.820]   So I gave a prediction in print, so by 2026, which is now next year, there will be math collaborations with AI.
[01:58:50.820 --> 01:58:54.220]   So not Fields Medal winning, but like actual research level math papers.
[01:58:54.220 --> 01:58:57.560]   Have you published ideas that are in part generated by AI?
[01:58:57.560 --> 01:59:03.520]   Maybe not the ideas, but at least some of the computations, the verifications.
[01:59:03.520 --> 01:59:04.480]   Yeah, I mean, there are…
[01:59:04.480 --> 01:59:05.320]   Has that already happened?
[01:59:05.320 --> 01:59:06.040]   Has it already happened?
[01:59:06.040 --> 01:59:17.080]   Yeah, there are problems that were solved by a complicated process, conversing with AI to propose things, and the human goes and tries it, and the contract doesn't work.
[01:59:17.720 --> 01:59:20.040]   But it was a different idea.
[01:59:20.040 --> 01:59:22.980]   It's hard to disentangle exactly.
[01:59:22.980 --> 01:59:31.300]   There are certainly math results which could only have been accomplished because there was a human mathematician and an AI involved.
[01:59:32.580 --> 01:59:35.560]   But it's hard to sort of disentangle credit.
[01:59:35.560 --> 01:59:48.280]   I mean, these tools, they do not replicate all the skills needed to do mathematics, but they can replicate sort of some non-trivial percentage of them, you know, 30, 40%.
[01:59:48.280 --> 01:59:50.980]   So they can fill in gaps, you know.
[01:59:50.980 --> 01:59:54.320]   So coding is a good example, you know.
[01:59:54.400 --> 01:59:58.200]   So it's annoying for me to code in Python.
[01:59:58.200 --> 02:00:02.260]   I'm not a native, I'm not a professional programmer.
[02:00:02.260 --> 02:00:09.040]   But with AI, the friction cost of doing it is much reduced.
[02:00:09.040 --> 02:00:11.140]   So it fills in that gap for me.
[02:00:11.140 --> 02:00:14.840]   AI is getting quite good at literature review.
[02:00:14.840 --> 02:00:19.720]   I mean, there's still a problem with hallucinating, you know, references that don't exist.
[02:00:20.740 --> 02:00:22.600]   But this, I think, is a silverware problem.
[02:00:22.600 --> 02:00:29.200]   If you train in the right way and so forth, you can verify, you know, using the internet.
[02:00:29.200 --> 02:00:36.340]   You know, you should, in a few years, get to the point where you have a lemma that you need.
[02:00:36.340 --> 02:00:38.760]   And say, has anyone proven this lemma before?
[02:00:38.760 --> 02:00:42.380]   And we'll do basically a fancy web search AI assistant.
[02:00:42.380 --> 02:00:45.600]   And say, yeah, there are these six papers where something similar has happened.
[02:00:45.600 --> 02:00:51.420]   I mean, you can ask it right now, and it will give you six papers, of which maybe one is legitimate and relevant.
[02:00:51.420 --> 02:00:54.200]   One exists, but it's not relevant, and four are hallucinated.
[02:00:54.200 --> 02:01:00.100]   It has a non-zero success rate right now, but there's so much garbage.
[02:01:00.100 --> 02:01:07.720]   The signal to noise ratio is so poor that it's most helpful when you already somewhat know the literature.
[02:01:08.780 --> 02:01:13.800]   And you just need to be prompted to be reminded of a paper that was already subconsciously in your memory.
[02:01:13.800 --> 02:01:18.940]   Or it's just helping you discover new you were not even aware of, but is the correct citation.
[02:01:18.940 --> 02:01:21.920]   Yeah, that's, yeah, that it can sometimes do.
[02:01:21.920 --> 02:01:25.840]   But when it does, it's buried in a list of options for which the other.
[02:01:25.840 --> 02:01:26.400]   That are bad.
[02:01:26.400 --> 02:01:26.780]   Yeah.
[02:01:26.960 --> 02:01:31.360]   I mean, being able to automatically generate a related work section that is correct.
