
[00:00:00.000 --> 00:00:07.000]   From a net worth of less than zero at the age of 27 to financially independent at the age of 40
[00:48:19.000 --> 00:48:25.000]   So Coca-Cola, just because Coca-Cola paid me a dividend doesn't mean I need to reinvest it back into Coca-Cola because Coca-Cola is competing for my capital.
[00:48:25.000 --> 00:48:30.000]   I look at it like I'm forming a basketball squad, right, and Coca-Cola is one of the players I can draft.
[00:48:30.000 --> 00:48:35.000]   "Hey, Coca-Cola, I love you in my portfolio right now, but you're slumping the last four or five games.
[00:48:35.000 --> 00:48:38.000]   I'm going to go ahead and draft this guy for this game."
[00:48:38.000 --> 00:48:43.000]   So every opportunity competes with every other opportunity, and there's thousands of opportunities out there.
[00:48:43.000 --> 00:48:52.000]   In dividend growth stocks alone, there's around 550 stocks that have increased their dividends over the last five consecutive years out of all the U.S.-listed stocks out there.
[00:48:52.000 --> 00:48:55.000]   So you're talking about 550 stocks right there.
[00:48:55.000 --> 00:49:05.000]   So to think that you need to automatically reinvest every dividend with every company that paid it just to me is -- you know, that's a great way to do it, and it's very simple and very easy and everything, and it kind of closes the book right there.
[00:49:05.000 --> 00:49:12.000]   But really, if you're talking about opportunities and you're talking about creating more wealth and increasing your cash flow at a more advantageous rate,
[00:49:12.000 --> 00:49:19.000]   then you want to make sure that you're deploying that cash flow in the best opportunities available to you at that time.
[00:49:19.000 --> 00:49:22.000]   Where can you buy cash for the lowest cost?
[00:49:22.000 --> 00:49:23.000]   Exactly, exactly.
[00:49:23.000 --> 00:49:24.000]   With security.
[00:49:24.000 --> 00:49:29.000]   How do you approach your analysis from the perspective of valuation?
[00:49:29.000 --> 00:49:33.000]   What have you learned, and how would you approach a new investment decision?
[00:49:33.000 --> 00:49:39.000]   Well, right, so valuing stocks and valuing businesses and everything, that's kind of something that's pretty subjective.
[00:49:39.000 --> 00:49:42.000]   But how I do it -- and I've grown as an investor.
[00:49:42.000 --> 00:49:43.000]   I've learned a lot over the years.
[00:49:43.000 --> 00:49:46.000]   When I first started, I didn't know nearly as much as I know now.
[00:49:46.000 --> 00:49:52.000]   But where I'm at in this particular time, what I do is I start by looking at annual reports, and I start by compiling numbers.
[00:49:52.000 --> 00:49:55.000]   And what I tend to do is I look at 10 years of numbers.
[00:49:55.000 --> 00:50:01.000]   I look at 10 years of revenue, 10 years of net income, 10 years of earnings per share, 10 years of dividends.
[00:50:01.000 --> 00:50:02.000]   And I look at growth rates.
[00:50:02.000 --> 00:50:09.000]   I look at what a company is able to do over a 10-year period, and I generally try to use that as a proxy for the long term.
[00:50:09.000 --> 00:50:17.000]   So what I start doing is I start looking at compound annual growth rates, and I try to look for companies that are growing earnings,
[00:50:17.000 --> 00:50:20.000]   at least in the high single digits, if not somewhere in the double digits.
[00:50:20.000 --> 00:50:26.000]   But, you know, 7, 8% a year is pretty solid because if a company is able to grow earnings by 7, 8% a year,
[00:50:26.000 --> 00:50:30.000]   then the odds are also good that it's able to grow its dividend by 7 or 8% a year.
[00:50:30.000 --> 00:50:35.000]   You know, you combine that in with a 2% or 3% yield, and you're looking at pretty attractive total returns.
[00:50:35.000 --> 00:50:37.000]   So I start by looking at the annual reports.
[00:50:37.000 --> 00:50:38.000]   I start by compiling numbers.
[00:50:38.000 --> 00:50:44.000]   I also look at items when we're talking about fundamental or quantitative analysis.
[00:50:44.000 --> 00:50:45.000]   You know, these are just pure numbers.
[00:50:45.000 --> 00:50:47.000]   I look at return on equity.
[00:50:47.000 --> 00:50:48.000]   I look at, you know, margin.
[00:50:48.000 --> 00:50:50.000]   I look at return on invested capital.
[00:50:50.000 --> 00:50:52.000]   I also look at the balance sheet.
[00:50:52.000 --> 00:50:56.000]   I like to invest in companies that are conservative in terms of how they manage their money.
[00:50:56.000 --> 00:51:02.000]   You know, just like you wouldn't want to maybe date somebody who's $100,000 in debt,
[00:51:02.000 --> 00:51:05.000]   you might not want to invest in a company that's deeply in debt either, you know,
[00:51:05.000 --> 00:51:11.000]   because every dollar that they're paying in interest is one less dollar they can pay to you as an owner in that business.
[00:51:11.000 --> 00:51:15.000]   So I like to invest in companies that are relatively conservative on the balance sheet.
[00:51:15.000 --> 00:51:17.000]   I look at debt to equity.
[00:51:17.000 --> 00:51:23.000]   I look at interest coverage ratios, you know, how much of their earnings are going towards interest expenses and whatnot.
[00:51:23.000 --> 00:51:26.000]   And then I also like to look at the qualitative analysis, which is really just as important.
[00:51:26.000 --> 00:51:28.000]   People look at the numbers and then that's it.
[00:51:28.000 --> 00:51:32.000]   I see a lot of people that make that mistake, especially young investors.
[00:51:32.000 --> 00:51:36.000]   They look at just the numbers and say, oh, this company grew by 7% a year over the last 10 years.
[00:51:36.000 --> 00:51:37.000]   Boom, I'm investing.
[00:51:37.000 --> 00:51:42.000]   But, you know, again, you have to kind of think, okay, this is what happened over the last 10 years,
[00:51:42.000 --> 00:51:44.000]   but we're not investing in what was.
[00:51:44.000 --> 00:51:46.000]   We're investing in what's going to be.
[00:51:46.000 --> 00:51:49.000]   You know, like Wayne Gretzky would say, you know, you want to skate to where the puck's going, not to where it is.
[00:51:49.000 --> 00:51:51.000]   So I look at the qualitative side.
[00:51:51.000 --> 00:51:54.000]   I look at, you know, what competitive advantages a company has.
[00:51:54.000 --> 00:51:57.000]   You know, what are the odds that this company will be able to grow at that continued rate?
[00:51:57.000 --> 00:52:00.000]   You know, what are the recent analysis reports on the company?
[00:52:00.000 --> 00:52:03.000]   What are some of the recent investor presentations all about?
[00:52:03.000 --> 00:52:05.000]   You know, are new products coming out?
[00:52:05.000 --> 00:52:09.000]   Is the company continuing to invest in the business through research and development?
[00:52:09.000 --> 00:52:14.000]   Are, you know, are there barriers to entry in terms of its market?
[00:52:14.000 --> 00:52:17.000]   Like railroads are a good example.
[00:52:17.000 --> 00:52:20.000]   All the railroads that are built in this country are all that's ever going to be built.
[00:52:20.000 --> 00:52:25.000]   You know, you can't just form a new railroad and get right a passenger right away across the United States.
[00:52:25.000 --> 00:52:29.000]   You know, so Norfolk Southern and Union Pacific and CSX and these railroads,
[00:52:29.000 --> 00:52:32.000]   there's huge competitive advantages there because that's it.
[00:52:32.000 --> 00:52:35.000]   The competition that's in place is already in play.
[00:52:35.000 --> 00:52:36.000]   So it's like Monopoly.
[00:52:36.000 --> 00:52:38.000]   You know, you own three or four railroads and you're locked in.
[00:52:38.000 --> 00:52:41.000]   So, you know, I look at competitive advantages like that.
[00:52:41.000 --> 00:52:43.000]   Do they have brand name products?
[00:52:43.000 --> 00:52:49.000]   Are they generally able to grow prices in excess or at least in line with input costs, you know, rises?
[00:52:49.000 --> 00:52:51.000]   So, you know, you look at inflation.
[00:52:51.000 --> 00:52:53.000]   Is this company going to be able to grow over the rate of inflation?
[00:52:53.000 --> 00:52:58.000]   So I do a qualitative analysis, and that's also extremely subjective because I may think, you know,
[00:52:58.000 --> 00:53:01.000]   a company has more competitive advantages than you may think they have.
[00:53:01.000 --> 00:53:05.000]   And that's where, you know, investing differs, and that's kind of the fun, and that's what makes the market.
[00:53:05.000 --> 00:53:07.000]   Everybody, you know, for every buyer there's a seller.
[00:53:07.000 --> 00:53:09.000]   So but that's how I do it.
[00:53:09.000 --> 00:53:10.000]   I look at annual reports.
[00:53:10.000 --> 00:53:12.000]   I look at what is the company doing.
[00:53:12.000 --> 00:53:14.000]   Do they take investors seriously?
[00:53:14.000 --> 00:53:18.000]   You know, you'll notice a lot of different language in annual reports,
[00:53:18.000 --> 00:53:24.000]   and the annual reports are basically a gateway, or I look at it like just a view into the thought process behind a company.
[00:53:24.000 --> 00:53:32.000]   So when they start using words like "shareholders" and "business owners" and "returning capital to owners" and "long-term,"
[00:53:32.000 --> 00:53:36.000]   when they start using words like that, that's what gets me kind of, you know, kind of hyped up,
[00:53:36.000 --> 00:53:39.000]   and I get pretty jazzed up when I start reading stuff like that.
[00:53:39.000 --> 00:53:46.000]   When you start reading stuff about what happened this year, what happened last year, and problems and excuses and things like that,
[00:53:46.000 --> 00:53:52.000]   and it's the weather, and we start reading stuff like that, sometimes that can be kind of bad news, but that's where I take it.
[00:53:52.000 --> 00:53:55.000]   I look at the numbers, and I also look at the qualitative side.
[00:53:55.000 --> 00:54:03.000]   And actually, speaking of dating, I compared analyzing companies to analyzing or looking at a potential partner, a life partner,
[00:54:03.000 --> 00:54:05.000]   and they're very similar.
[00:54:05.000 --> 00:54:09.000]   So just like you would look at dating someone, you might look at how much income they make, right?
[00:54:09.000 --> 00:54:15.000]   You hate to be superficial about it, but that's something that certainly goes into the thought process of whether you want to date somebody or marry somebody.
[00:54:15.000 --> 00:54:21.000]   So you might look at how much debt they have and how much money they make, and are they able to cover their half of the bills?
[00:54:21.000 --> 00:54:23.000]   Are they responsible with the money?
[00:54:23.000 --> 00:54:29.000]   Did you meet them and they have $200,000 in debt due to credit card bills, and they have a bunch of excuses as to why they got to that point?
[00:54:29.000 --> 00:54:32.000]   So you look at the fundamental side of their life, you know?
[00:54:32.000 --> 00:54:35.000]   But you also, just as importantly, look at the qualitative side of their personality.
[00:54:35.000 --> 00:54:40.000]   So you look at, you know, are they honest? Are they kind? Are they loving? Are they generous?
[00:54:40.000 --> 00:54:43.000]   So that's kind of just like I look at companies.
[00:54:43.000 --> 00:54:49.000]   I look at companies on the number side, on the fundamental side, and I look at them on the qualitative side as well, and they kind of go hand in hand.
[00:54:49.000 --> 00:54:55.000]   Generally, companies that are fundamentally excellent tend to also be qualitatively excellent and vice versa.
[00:54:55.000 --> 00:54:57.000]   But that's kind of where I look at it.
[00:54:57.000 --> 00:55:03.000]   Do you track your returns on your portfolio and do you compare them to a benchmark?
[00:55:03.000 --> 00:55:13.000]   I used to. The last time I compared my portfolio to the S&P 500 was back in, I think, early, gosh, early 2013 or late 2012.
[00:55:13.000 --> 00:55:15.000]   It was quite a while ago.
[00:55:15.000 --> 00:55:23.000]   And a couple of reasons why I stopped doing that, and I wrote a lengthy post a while back on why I don't compare myself to the S&P 500.
[00:55:23.000 --> 00:55:32.000]   But first of all, I was beating the S&P 500 by a very slim margin, which is really unimportant and doesn't matter at all to my long-term goals.
[00:55:32.000 --> 00:55:37.000]   The reason why I don't compare my portfolio to the S&P 500 is because it's just noise to me.
[00:55:37.000 --> 00:55:40.000]   It's just a way to distract me from what I'm really after.
[00:55:40.000 --> 00:55:54.000]   Again, as I stated earlier, the dividend income rising against my expenses, the ability for my portfolio to generate cash flow and the ability for me to compound my income into future growing cash flow is what really will determine my ability to retire by 40 and live off my dividend income.
[00:55:54.000 --> 00:56:05.000]   My ability to beat a benchmark, a really arbitrary benchmark like the S&P 500 index, is really unimportant and doesn't matter at all to my goals.
[00:56:05.000 --> 00:56:12.000]   For instance, let's say I compared myself to the S&P 500 index, right, and over the last couple of years I was beating it.
[00:56:12.000 --> 00:56:14.000]   But over this year, let's say this year I don't beat it.
[00:56:14.000 --> 00:56:18.000]   Let's say this year I trail it by 2 or 3 percent, and next year I trail it by 2 percent.
[00:56:18.000 --> 00:56:21.000]   Do I then abandon everything I've been doing for the last five or six years?
[00:56:21.000 --> 00:56:27.000]   And so somebody might look at my portfolio and say, "Oh man, wow, the dividend income you're generating, you're right on pace.
[00:56:27.000 --> 00:56:33.000]   You're 33 percent there, you're about a third of the way in your journey at 32 years old, you've got eight years left, and you're going to be there, man.
[00:56:33.000 --> 00:56:37.000]   I mean, at 40 you should be able to generate enough dividend income to live off of it."
[00:56:37.000 --> 00:56:39.000]   But hold up, wait, wait.
[00:56:39.000 --> 00:56:42.000]   I see that you're trailing the S&P 500 index by 2 percent this year.
[00:56:42.000 --> 00:56:44.000]   Whoa, whoa, whoa, whoa, whoa.
[00:56:44.000 --> 00:56:46.000]   You've got to abandon everything.
[00:56:46.000 --> 00:56:48.000]   You're not on track now.
[00:56:48.000 --> 00:56:50.000]   You won't be able to live off your cash flow.
[00:56:50.000 --> 00:56:55.000]   You've got to invest in the S&P 500 index or you've got to change everything here.
[00:56:55.000 --> 00:57:01.000]   So doing that, allowing yourself to compare yourself, in my opinion, is just a bad idea.
[00:57:01.000 --> 00:57:08.000]   And comparing yourself to the S&P 500 index, the S&P 500 index is just the 500 largest companies in the United States.
[00:57:08.000 --> 00:57:19.000]   What makes that any more of an appropriate benchmark than, let's say, the Vanguard Dividend Appreciation Index or the Vanguard Wellington Index or the Dow Jones?
[00:57:19.000 --> 00:57:22.000]   Or the NASDAQ or any other index out there?
[00:57:22.000 --> 00:57:29.000]   We just kind of arbitrarily choose what we want to compare ourselves to, and the S&P 500 index is a well-known bellwether for the overall stock market.
[00:57:29.000 --> 00:57:30.000]   I get that.
[00:57:30.000 --> 00:57:32.000]   I'm not ignorant.
[00:57:32.000 --> 00:57:39.000]   But at the same time, comparing yourself to the S&P 500 index to me would be just the same as comparing yourself to somebody else, another investor.
[00:57:39.000 --> 00:57:45.000]   "Oh, well, I didn't quite return what he returned, so I need to abandon everything I'm doing, and now I need to change everything."
[00:57:45.000 --> 00:57:59.000]   As long as you have goals set up that are realistic and that are time-based and everything else and that are appropriate for your income level and your means and what you're really looking to get out of life,
[00:57:59.000 --> 00:58:04.000]   and as long as your plan works for those goals, for your independent goals, that's what matters.
[00:58:04.000 --> 00:58:10.000]   Comparing yourself to others or comparing yourself to benchmarks, to me, that just gets in the way of what you're really trying to do.
[00:58:10.000 --> 00:58:12.000]   So I don't compare myself.
[00:58:12.000 --> 00:58:24.000]   I do find that my portfolio tends to somewhat lag on days when the stock market goes up by quite a bit, and I tend to find that it also does better when the stock market goes down by quite a bit.
[00:58:24.000 --> 00:58:28.000]   And that's because many of the stocks that I invest in have low what they call betas.
[00:58:28.000 --> 00:58:30.000]   They have low beta.
[00:58:30.000 --> 00:58:32.000]   Beta is a measure of volatility.
[00:58:32.000 --> 00:58:38.000]   So if the stock market is 1, many of the companies I invest in have betas of anywhere from like 0.4 to 0.8.
[00:58:38.000 --> 00:58:41.000]   So they just fluctuate less than the overall market.
[00:58:41.000 --> 00:58:43.000]   So when it's up more, they go up by less.
[00:58:43.000 --> 00:58:46.000]   When the stock market is way down, they go down by less.
[00:58:46.000 --> 00:58:49.000]   So really what that does, that creates kind of a smoother result.
[00:58:49.000 --> 00:58:58.000]   So if the stock market is up by 1% today, my portfolio might only be up by 0.7%, but if it's down by a percent, it might only be down by 0.7%.
[00:58:58.000 --> 00:59:03.000]   So it creates kind of a smoother result, which some investors may like that.
[00:59:03.000 --> 00:59:07.000]   But again, I don't really compare myself to that.
[00:59:07.000 --> 00:59:18.000]   To compare yourself to a benchmark and then think that you need to abandon everything you've been doing, even though you might be completely on track for what you're after in life, would be a huge mistake in my view.
[00:59:18.000 --> 00:59:25.000]   Do you invest through a brokerage account or directly with the company through their investor relations department?
[00:59:25.000 --> 00:59:26.000]   I use a brokerage account.
[00:59:26.000 --> 00:59:29.000]   I personally use Scottrade right now.
[00:59:29.000 --> 00:59:34.000]   When I first started investing back in early 2010, it was an attractive choice.
[00:59:34.000 --> 00:59:40.000]   There's some cheaper brokerages that have come out in the last few years, but Scottrade's well capitalized.
[00:59:40.000 --> 00:59:42.000]   They've been around for a long, long time.
[00:59:42.000 --> 00:59:45.000]   They're covered by the SIPC and everything else.
[00:59:45.000 --> 00:59:47.000]   So I invest with Scottrade.
[00:59:47.000 --> 00:59:51.000]   They offer $7 commission trades, which is pretty attractive.
[00:59:51.000 --> 00:59:55.000]   If you compare that to 10 or 20 years ago, you were paying quite a bit more to invest in stocks.
[00:59:55.000 --> 01:00:01.000]   I don't invest directly through companies like through some type of computer share or something else.
[01:00:01.000 --> 01:00:02.000]   I invest in a brokerage.
[01:00:02.000 --> 01:00:05.000]   It's a safe and easy way to do it.
[01:00:05.000 --> 01:00:06.000]   It's convenient.
[01:00:06.000 --> 01:00:13.000]   I can access all my investments in one central spot, and I can do what I want with it from there.
[01:00:13.000 --> 01:00:33.000]   There's an argument in the dividend growth investing world about whether or not a company should pay dividends or whether the company should be responsible for investing those profits.
[01:00:33.000 --> 01:00:42.000]   In essence, there are many permutations of the argument, but some company leaders, I guess probably the most famous ones would have been Steve Jobs.
[01:00:42.000 --> 01:00:48.000]   Steve Jobs with Apple and then also Warren Buffett, but for different reasons.
[01:00:48.000 --> 01:00:58.000]   But Steve Jobs would often make the claim in my memory that if I can't invest the money better than you can, then why on earth am I running this company?
[01:00:58.000 --> 01:01:04.000]   If you just sell shares, but I'm not going to send you the money when I've got all these incredible investment opportunities.
[01:01:04.000 --> 01:01:06.000]   And that's always made a lot of sense to me.
[01:01:06.000 --> 01:01:15.000]   Why would I bother to hire somebody to -- the reason I'm investing in a company is because I want them to identify the market opportunities.
[01:01:15.000 --> 01:01:22.000]   And now when they send me the dividend, now I have to take and go and figure out where am I going to allocate that money and find someone else.
[01:01:22.000 --> 01:01:26.000]   Why would that person not just simply focus on here's the best use of the investment?
[01:01:26.000 --> 01:01:33.000]   And then the second example, so that was what Steve Jobs always argued, which is why prior to his death, to my knowledge, I don't think Apple ever paid a dividend.
[01:01:33.000 --> 01:01:36.000]   And didn't they start recently?
[01:01:36.000 --> 01:01:37.000]   Didn't they pay a dividend finally?
[01:01:37.000 --> 01:01:38.000]   Right, okay.
[01:01:38.000 --> 01:01:46.000]   And then Berkshire Hathaway, Warren Buffett would talk about that from a similar perspective and then also he would talk about it from the perspective of tax efficiency model.
[01:01:46.000 --> 01:02:01.000]   And there are some major tax drawbacks from the company's perspective that the managers will often choose not to pay dividends or to reduce dividends or to return value to the owner in some other way.
[01:02:01.000 --> 01:02:07.000]   Whether that's through a stock buyback, increasing the shares, whether that's through other mechanisms.
[01:02:07.000 --> 01:02:10.000]   So I'd like you to comment on those two issues, please.
[01:02:10.000 --> 01:02:11.000]   Sure, right.
[01:02:11.000 --> 01:02:19.000]   So again, dividends, everything in life has upside and downside benefits and drawbacks.
[01:02:19.000 --> 01:02:26.000]   And certainly those are some of the drawbacks of dividends, specifically the tax point because the corporation has to pay taxes at the corporate level before sending you the dividends.
[01:02:26.000 --> 01:02:29.000]   So there is a slight drag there in terms of return.
[01:02:29.000 --> 01:02:33.000]   But a couple points specifically to Steve Jobs and Warren Buffett, interestingly enough.
[01:02:33.000 --> 01:02:46.000]   When you talk about returning value to shareholders and when we talk about companies like Coca-Cola, Coca-Cola doesn't return all their retained earnings because part of the retained earnings are what they keep.
[01:02:46.000 --> 01:02:51.000]   But they don't return all the cash flow to shareholders in terms of dividends.
[01:02:51.000 --> 01:02:53.000]   Part of that cash is used for dividends.
[01:02:53.000 --> 01:02:56.000]   They pay out around 50, 60 percent.
[01:02:56.000 --> 01:03:02.000]   I don't know the number off the top of my head, but around 50 percent, 50 or 60 percent of their earnings in the form of a cash dividend shareholders.
[01:03:02.000 --> 01:03:06.000]   The other cash is used for a variety of other reasons.
[01:03:06.000 --> 01:03:07.000]   They're still investing in the business.
[01:03:07.000 --> 01:03:14.000]   Just because a company pays a dividend doesn't mean they're not still growing and doesn't mean they're not still trying to actively grow the business.
[01:03:14.000 --> 01:03:20.000]   Coca-Cola, for instance, recently invested in Green Mountain Coffee Roasters.
[01:03:20.000 --> 01:03:25.000]   They also recently invested in Monster Energy by buying equity stakes and forming joint ventures.
[01:03:25.000 --> 01:03:27.000]   So they're still growing the business.
[01:03:27.000 --> 01:03:33.000]   The dividend is basically just a company saying, hey, we just are drowning in cash here.
[01:03:33.000 --> 01:03:35.000]   We have way too much money.
[01:03:35.000 --> 01:03:42.000]   And the growth opportunities that we see in our particular market are somewhat limited to the amount relative to the cash we have.
[01:03:42.000 --> 01:03:45.000]   So, therefore, we're going to give you guys some of this so we don't waste it.
[01:03:45.000 --> 01:03:48.000]   And we're going to keep the rest that we know we can continue to grow the company with.
[01:03:48.000 --> 01:03:54.000]   And share buybacks are another way for companies to return cash flow to or return value to shareholders.
[01:03:54.000 --> 01:03:57.000]   And a number of the companies that I invest in, almost all of them do share buybacks.
[01:03:57.000 --> 01:04:01.000]   Johnson & Johnson, IBM, for instance, one of the larger examples of that.
[01:04:01.000 --> 01:04:06.000]   Coca-Cola, they all return a ton of value to shareholders in the form of share buybacks.
[01:04:06.000 --> 01:04:07.000]   So it's a combination of them.
[01:04:07.000 --> 01:04:09.000]   You can argue maybe one's better than the other.
[01:04:09.000 --> 01:04:11.000]   I like my cash.
[01:04:11.000 --> 01:04:12.000]   Like I said earlier.
[01:04:12.000 --> 01:04:14.000]   Now, going back to my earlier example with the pizza shop.
[01:04:14.000 --> 01:04:24.000]   If I own Jason's Pizza Shop and I retained all the earnings, and let's say ten investors came in, you know, pop a Jason's and said, hey, Jason, we want to invest in your company.
[01:04:24.000 --> 01:04:25.000]   Here's equity.
[01:04:25.000 --> 01:04:27.000]   Here's cash for equity.
[01:04:27.000 --> 01:04:30.000]   But we want to return on our investment in the form of a cash dividend.
[01:04:30.000 --> 01:04:31.000]   We want money back.
[01:04:31.000 --> 01:04:33.000]   Because, you know, you could say the company's doing great.
[01:04:33.000 --> 01:04:38.000]   But, you know, cash tells me what I need to know.
[01:04:38.000 --> 01:04:39.000]   Cash is a proof in the pudding.
[01:04:39.000 --> 01:04:42.000]   Cash says, hey, you are making money, and this is the cash to prove it, right?
[01:04:42.000 --> 01:04:46.000]   So over time I could continue to grow and grow and grow Papa John's.
[01:04:46.000 --> 01:04:50.000]   But at some point there will just be too many Papa -- excuse me, Papa Jason's, not Papa John's.
[01:04:50.000 --> 01:04:58.000]   There will be so many Papa Jason's to the point where I just can't continue to grow the company at an attractive rate for these investors, and I'll have to return cash back to them.
[01:04:58.000 --> 01:04:59.000]   And the same thing with Coca-Cola.
[01:04:59.000 --> 01:05:05.000]   People often stop buying and say, well, if I was Coca-Cola, I'd just stop paying a dividend outright and just grow the company.
[01:05:05.000 --> 01:05:07.000]   To me that's saying management is poor.
[01:05:07.000 --> 01:05:10.000]   You know, management is saying, hey, you know, we can't grow this company anymore.
[01:05:10.000 --> 01:05:14.000]   And, of course, those arguments, again, are ignoring the fact that Coca-Cola is still growing the business.
[01:05:14.000 --> 01:05:17.000]   They're still using that capital for investing.
[01:05:17.000 --> 01:05:18.000]   They're still buying back shares.
[01:05:18.000 --> 01:05:23.000]   But my response to those people would be, okay, well, let me sit you in the chairman's seat.
[01:05:23.000 --> 01:05:25.000]   And where do you go with that money then?
[01:05:25.000 --> 01:05:29.000]   If dividends are such a bad idea, then what is the alternative?
[01:05:29.000 --> 01:05:30.000]   Where does Coca-Cola go with this money?
[01:05:30.000 --> 01:05:36.000]   You know, the dividend is basically, in my view, a way for management to stay prudent with capital.
[01:05:36.000 --> 01:05:48.000]   The less capital, you know, Coca-Cola's management has, the more useful or the better they can use that available capital and get a good rate of return on it.
[01:05:48.000 --> 01:06:05.000]   So when you're talking about return on equity, if you increase the equity side of the equation, there's a question there as to whether they can get a solid return on that, you know, to compensate for the increased return in the form of the additional retained earnings they're taking on because they're not paying a dividend anymore.
[01:06:05.000 --> 01:06:06.000]   And where do they go with that money?
[01:06:06.000 --> 01:06:07.000]   Where do they go with that capital?
[01:06:07.000 --> 01:06:09.000]   Johnson & Johnson's another good example.
[01:06:09.000 --> 01:06:17.000]   When you're talking about a company that's worth $200 billion or $300 billion, the opportunities for growth are just somewhat limited.
[01:06:17.000 --> 01:06:21.000]   You know, these companies are taking in revenue that are competing with countries.
[01:06:21.000 --> 01:06:25.000]   You know, their revenue is on par with countries out there in the world.
[01:06:25.000 --> 01:06:27.000]   So where do they grow?
[01:06:27.000 --> 01:06:29.000]   What attractive measures do they have?
[01:06:29.000 --> 01:06:35.000]   I mean, other than just acquiring other companies outright and just growing and growing and growing, there's limits to attractive growth there.
[01:06:35.000 --> 01:06:40.000]   And so the dividend is basically saying, hey, shareholders, we have enough money already over here.
[01:06:40.000 --> 01:06:41.000]   We're just drowning in cash.
[01:06:41.000 --> 01:06:43.000]   Here's a paycheck for you.
[01:06:43.000 --> 01:06:45.000]   You know, you own this company.
[01:06:45.000 --> 01:06:48.000]   And we're saying that we can grow the remaining amount of capital with an attractive rate.
[01:06:48.000 --> 01:06:52.000]   But if we were to have all this capital, we wouldn't be able to grow it at an attractive rate.
[01:06:52.000 --> 01:06:53.000]   And Apple's a good example of that.
[01:06:53.000 --> 01:06:56.000]   While Steve Jobs is still alive, Apple is growing substantially.
[01:06:56.000 --> 01:06:58.000]   You know, they were a much smaller company than they are today.
[01:06:58.000 --> 01:07:00.000]   They're like a $600 billion company now.
[01:07:00.000 --> 01:07:03.000]   You know, they weren't that way 10, 15 years ago.
[01:07:03.000 --> 01:07:05.000]   They grew at just an exponential rate.
[01:07:05.000 --> 01:07:10.000]   And certainly you can make an argument, too, as to why Steve Jobs is so famous in the first place.
[01:07:10.000 --> 01:07:12.000]   He was just an excellent manager and a visionary.
[01:07:12.000 --> 01:07:16.000]   Not every company has a Steve Jobs helming, you know, the ship.
[01:07:16.000 --> 01:07:18.000]   So Steve Jobs had a great point.
[01:07:18.000 --> 01:07:23.000]   He's saying, hey, guys, there's a lot of innovation here going on, and we have a huge research and development department.
[01:07:23.000 --> 01:07:27.000]   We're generating some fantastic products that are going to make us a ton of money.
[01:07:27.000 --> 01:07:29.000]   We need all the capital available to us.
[01:07:29.000 --> 01:07:30.000]   And that's great.
[01:07:30.000 --> 01:07:32.000]   You know, there are some companies out there, especially in the technology field,
[01:07:32.000 --> 01:07:37.000]   which is why I don't have a lot of investments in technology, that need a lot of their capital,
[01:07:37.000 --> 01:07:38.000]   because technology changes all the time.
[01:07:38.000 --> 01:07:40.000]   There's a ton of research and development in it.
[01:07:40.000 --> 01:07:42.000]   And, you know, they need to grow.
[01:07:42.000 --> 01:07:44.000]   They need to compete and everything else.
[01:07:44.000 --> 01:07:48.000]   You know, comparing that to a company, again, like Coca-Cola, they don't need to grow all that much.
[01:07:48.000 --> 01:07:50.000]   They don't need to innovate all that much.
[01:07:50.000 --> 01:07:53.000]   You know, orange juice hasn't changed in 50 years.
[01:07:53.000 --> 01:07:56.000]   Coca-Cola hasn't changed in a very long time.
[01:07:56.000 --> 01:08:02.000]   The amount of research and development necessary for Coca-Cola, it's just a low -- it's just not a capital-intensive business.
[01:08:02.000 --> 01:08:10.000]   So for Coca-Cola to start taking all that money and try to grow with it, you know, you can make an argument maybe they could,
[01:08:10.000 --> 01:08:13.000]   but I would make an argument that they can't, and that's why they're returning that capital.
[01:08:13.000 --> 01:08:17.000]   Management is basically saying there's not a lot of innovation necessary here.
[01:08:17.000 --> 01:08:18.000]   We're in a dominant position.
[01:08:18.000 --> 01:08:19.000]   We've got our brand power.
[01:08:19.000 --> 01:08:21.000]   We're going to keep some money aside for marketing.
[01:08:21.000 --> 01:08:23.000]   We're going to keep some money aside for a little bit of innovation,
[01:08:23.000 --> 01:08:26.000]   develop some carbonated soft drinks that, you know, aren't so high in calories.
[01:08:26.000 --> 01:08:34.000]   You know, we're acquiring equity in new, exciting businesses, but all this capital, all these billions of dollars sitting over here, we just don't need it.
[01:08:34.000 --> 01:08:38.000]   And so, you know, do you want them incinerating it or do you want them returning it to you as shareholders?
[01:08:38.000 --> 01:08:40.000]   I'd prefer the latter scenario.
[01:08:40.000 --> 01:08:45.000]   And, again, speaking to Warren Buffett, that's another good example.
[01:08:45.000 --> 01:08:49.000]   Again, Warren Buffett is probably so famous because he's such an excellent capital allocator.
[01:08:49.000 --> 01:08:52.000]   Does every business have a Warren Buffett holding the ship?
[01:08:52.000 --> 01:08:54.000]   I would make an argument that they don't.
[01:08:54.000 --> 01:08:55.000]   Warren Buffett is a specific case.
[01:08:55.000 --> 01:09:04.000]   However, speaking more to Warren Buffett, I prefer to invest like Warren Buffett does and not as how -- it's kind of a case of do as I say, not as I do, right?
[01:09:04.000 --> 01:09:06.000]   So Warren Buffett invests in Coca-Cola.
[01:09:06.000 --> 01:09:08.000]   He invests in companies like ExxonMobil.
