
[00:00:00.000 --> 00:00:09.880]   Hello, everybody.
[00:39:11.400 --> 00:39:13.800]   Except one thing you leave it on one thing.
[00:39:13.800 --> 00:39:14.800]   We are human beings.
[00:39:14.800 --> 00:39:15.800]   We are rational.
[00:39:15.800 --> 00:39:23.080]   I mean, come on, what you just said probably makes the most sense.
[00:39:23.080 --> 00:39:29.240]   But I mean, you know, if you probably tell 90 percent of guys, it sounds boring as hell.
[00:39:29.240 --> 00:39:30.240]   Come on.
[00:39:30.240 --> 00:39:31.240]   I'm 19 years old.
[00:39:31.240 --> 00:39:32.240]   What is that?
[00:39:32.240 --> 00:39:33.240]   Right, right, right.
[00:39:33.240 --> 00:39:41.240]   So so, you know, I say that to say, you know, again, the biases, the excitement, the uncertainty
[00:39:41.240 --> 00:39:45.800]   at the human emotion, like, you know, we're excited over things in the human.
[00:39:45.800 --> 00:39:48.320]   Yeah, sounds that sounds amazing.
[00:39:48.320 --> 00:39:49.520]   You know, right.
[00:39:49.520 --> 00:39:52.920]   And then it's like, oh, actually, that could go to zero, you know?
[00:39:52.920 --> 00:39:53.920]   Yeah.
[00:39:53.920 --> 00:39:54.920]   And I mean, maybe not even zero.
[00:39:54.920 --> 00:39:56.920]   You might be liable for something.
[00:39:56.920 --> 00:39:57.920]   Right.
[00:39:57.920 --> 00:39:58.920]   You know, right.
[00:39:58.920 --> 00:39:59.920]   You hear all these bad stories.
[00:39:59.920 --> 00:40:00.920]   Exactly.
[00:40:00.920 --> 00:40:05.960]   So, you know, the older and more mature that I've gotten and also just experience from
[00:40:05.960 --> 00:40:08.080]   the losses that I have taken.
[00:40:08.080 --> 00:40:12.520]   It's like, you start to realize, like, oh, wait, the boring things are the things that
[00:40:12.520 --> 00:40:14.320]   are actually making a lot of money.
[00:40:14.320 --> 00:40:15.320]   Right.
[00:40:15.320 --> 00:40:16.320]   Really profitable.
[00:40:16.320 --> 00:40:17.320]   Right.
[00:40:17.320 --> 00:40:18.320]   Right.
[00:40:18.320 --> 00:40:19.320]   Right.
[00:40:19.320 --> 00:40:22.640]   You know, not always, but usually that that's what you see when you come in to, you know,
[00:40:22.640 --> 00:40:26.360]   to a lot of money is you get pitched by a lot of these exciting ideas.
[00:40:26.360 --> 00:40:27.360]   Right.
[00:40:27.360 --> 00:40:28.360]   Right.
[00:40:28.360 --> 00:40:30.960]   You know, and temptation is a temptation.
[00:40:30.960 --> 00:40:34.320]   And then it's also, you know, the emotion of wanting to maybe help people.
[00:40:34.320 --> 00:40:39.360]   And, you know, they're relying on your friendship and the trust and, you know, all those things
[00:40:39.360 --> 00:40:41.080]   get thrown into the pot.
[00:40:41.080 --> 00:40:47.280]   And it's just about the actual idea and, you know, dynamics that go into making this thing
[00:40:47.280 --> 00:40:48.280]   successful.
[00:40:48.280 --> 00:40:49.280]   Right.
[00:40:49.280 --> 00:40:50.280]   Yes.
[00:40:50.280 --> 00:40:52.400]   I mean, what's what's the average NBA career nowadays?
[00:40:52.400 --> 00:40:53.400]   Do you know?
[00:40:53.400 --> 00:40:55.600]   Well, it was five years when I was playing.
[00:40:55.600 --> 00:40:57.720]   And maybe shorter or longer.
[00:40:57.720 --> 00:41:00.800]   I mean, let's say it's five years plus or minus one year.
[00:41:00.800 --> 00:41:02.280]   I mean, that's not a long career.
[00:41:02.280 --> 00:41:07.400]   You're still 27 years old on average if you if you went to college, maybe you're 25 to
[00:41:07.400 --> 00:41:08.400]   20.
[00:41:08.400 --> 00:41:10.360]   And then you got your whole life ahead of you to figure it out.
[00:41:10.360 --> 00:41:16.040]   So here's another point, you know, listeners should realize you played for 15 years.
[00:41:16.040 --> 00:41:17.120]   So think about that, Sean.
[00:41:17.120 --> 00:41:24.020]   I mean, that 15 years has to be like a top 5 percent career in the NBA.
[00:41:24.020 --> 00:41:29.320]   And then not only that, you were able to win four championships, was like a top 1 percent.
[00:41:29.320 --> 00:41:34.800]   So I mean, if you ever feel down or bored, you just got to remind yourself about those
[00:41:34.800 --> 00:41:35.800]   two things.
[00:41:35.800 --> 00:41:37.720]   It's like, I mean, holy blessing.
[00:41:37.720 --> 00:41:38.720]   That's amazing.
[00:41:38.720 --> 00:41:39.720]   I'm blessed.
[00:41:39.720 --> 00:41:42.080]   I definitely it's a blessing.
[00:41:42.080 --> 00:41:46.400]   And that time might even be shorter, you know, three to five years.
[00:41:46.400 --> 00:41:52.480]   But, you know, I played 13 years, two years I was out, you know, with injuries and right
[00:41:52.480 --> 00:41:54.400]   calling my way back into the NBA.
[00:41:54.400 --> 00:41:55.560]   You know, yes.
[00:41:55.560 --> 00:41:57.360]   Different leagues and, you know, rehab.
[00:41:57.360 --> 00:42:03.080]   So I mean, it's, you know, I mean, it's everybody has their own journey, but you got to you
[00:42:03.080 --> 00:42:05.480]   got to focus on yours for sure.
[00:42:05.480 --> 00:42:08.040]   Now, I hear you.
[00:42:08.040 --> 00:42:11.240]   Well, Sean, it's been great talking to you.
[00:42:11.240 --> 00:42:13.520]   We could talk for hours and hours and hours.
[00:42:13.520 --> 00:42:15.720]   Maybe we talk again.
[00:42:15.720 --> 00:42:20.480]   I'd love to know, you know, keep in touch and hear about your journey post retirement
[00:42:20.480 --> 00:42:21.480]   life.
[00:42:21.480 --> 00:42:25.840]   I mean, I guess in conclusion, can you just talk about what's life like?
[00:42:25.840 --> 00:42:27.760]   You're technically an early retiree.
[00:42:27.760 --> 00:42:33.520]   You know, it's funny, you retired from the NBA, basically about my age, 34, 35.
[00:42:33.520 --> 00:42:35.640]   And then you took a break, right?
[00:42:35.640 --> 00:42:39.280]   And then you went back in and then you kind of are retiring again.
[00:42:39.280 --> 00:42:44.480]   So we're very similar in terms of like our career paths.
[00:42:44.480 --> 00:42:49.920]   And so what's life like now as a second time around retiree?
[00:42:49.920 --> 00:42:50.920]   What are you up to?
[00:42:50.920 --> 00:42:51.920]   What do you like to do?
[00:42:51.920 --> 00:42:52.920]   Yeah.
[00:42:52.920 --> 00:42:56.400]   Yeah, no, it's it's been great, man.
[00:42:56.400 --> 00:43:01.840]   I mean, honestly, it's it's you know, it's one of those things to where you just you
[00:43:01.840 --> 00:43:06.360]   know, for me, it's like I go with the flow with what's best for my life for the next
[00:43:06.360 --> 00:43:10.520]   kind of for that year or, you know, for the next five years.
[00:43:10.520 --> 00:43:15.480]   And for me, it's just when I retired from the NBA, it was it was a shock, you know,
[00:43:15.480 --> 00:43:17.400]   because it's something that I did my whole life.
[00:43:17.400 --> 00:43:20.800]   You know, what am I going to do now?
[00:43:20.800 --> 00:43:21.800]   Right.
[00:43:21.800 --> 00:43:27.920]   So this time around, you know, after leaving kind of the executive position with the Warriors,
[00:43:27.920 --> 00:43:32.480]   you know, I'm just looking forward to, you know, trying things, trying new things, you
[00:43:32.480 --> 00:43:37.760]   know, during this period, I could always I feel like have an opportunity if I'm lucky
[00:43:37.760 --> 00:43:42.360]   enough or fortunate enough, you know, to go back and try to work in the NBA.
[00:43:42.360 --> 00:43:44.080]   Yeah, I'm sure you can.
[00:43:44.080 --> 00:43:45.400]   No doubt.
[00:43:45.400 --> 00:43:50.760]   So, you know, I feel like while I'm young, you know, my kids are young.
[00:43:50.760 --> 00:43:54.960]   You know, we just you know, we just transitioned to a new state.
[00:43:54.960 --> 00:43:55.960]   Yeah.
[00:43:55.960 --> 00:43:56.960]   Why not try it?
[00:43:56.960 --> 00:43:57.960]   Try things while I can.
[00:43:57.960 --> 00:44:03.400]   So, yeah, I mean, going doing different things, going back to school, doing different investments,
[00:44:03.400 --> 00:44:05.120]   doing community work back home.
[00:44:05.120 --> 00:44:06.120]   Yeah.
[00:44:06.120 --> 00:44:09.760]   Just focusing on different initiatives and things that, you know, I enjoy doing with
[00:44:09.760 --> 00:44:11.320]   my time.
[00:44:11.320 --> 00:44:13.720]   But I can't be a busybody.
[00:44:13.720 --> 00:44:17.760]   So, you know, it's like trying to keep that anxiety off you of like constantly, you know,
[00:44:17.760 --> 00:44:18.760]   work or do something.
[00:44:18.760 --> 00:44:19.760]   Right.
[00:44:19.760 --> 00:44:20.760]   Yeah.
[00:44:20.760 --> 00:44:21.760]   It's like an entrepreneur life.
[00:44:21.760 --> 00:44:26.600]   Like, yeah, you've got to figure out a healthy balance of balance, schedule look like.
[00:44:26.600 --> 00:44:27.760]   So that's right.
[00:44:27.760 --> 00:44:28.760]   That's where it's at.
[00:44:28.760 --> 00:44:29.760]   That's where it's at.
[00:44:29.760 --> 00:44:30.760]   Yeah.
[00:44:30.760 --> 00:44:34.960]   I mean, it's it's tough because obviously, the NBA career is a grind during the season,
[00:44:34.960 --> 00:44:38.640]   traveling, working out and everything and then to just suddenly shut it off.
[00:44:38.640 --> 00:44:44.000]   I know you and I, we went for a walk down in the marina that during COVID and it's just
[00:44:44.000 --> 00:44:45.320]   trying to figure it out.
[00:44:45.320 --> 00:44:50.960]   It's just and I'm really glad you went back into the executive world because you saw the
[00:44:50.960 --> 00:44:51.960]   other side.
[00:44:51.960 --> 00:44:52.960]   Right.
[00:44:52.960 --> 00:44:58.160]   And now if you never go back for some reason, you will at least never wonder what was it
[00:44:58.160 --> 00:45:00.000]   like.
[00:45:00.000 --> 00:45:05.160]   And that that is actually really powerful to have a regret minimization where you won't
[00:45:05.160 --> 00:45:07.640]   wonder because you tried it.
[00:45:07.640 --> 00:45:14.120]   And so I really enjoy your journey and I hope you do a lot more great things.
[00:45:14.120 --> 00:45:15.840]   And what's next?
[00:45:15.840 --> 00:45:20.560]   I mean, I hope I hope to see headlines one day, you know, within three years, you know,
[00:45:20.560 --> 00:45:25.640]   Sean Livingston joins X team as the GM or whatever.
[00:45:25.640 --> 00:45:27.040]   I think that'd be great.
[00:45:27.040 --> 00:45:32.160]   And I think by then you'll have enough downtime to sow your own and do other things.
[00:45:32.160 --> 00:45:35.160]   Hopefully, you'll invite me back on the podcast.
[00:45:35.160 --> 00:45:38.160]   I hope you come back.
[00:45:38.160 --> 00:45:39.160]   All right, Sean.
[00:45:39.160 --> 00:45:40.160]   All right.
[00:45:40.160 --> 00:45:41.160]   Catch you later.
[00:45:41.160 --> 00:45:42.160]   I appreciate it.
[00:45:42.160 --> 00:45:43.160]   Thank you.
[00:45:43.160 --> 00:45:44.160]   All right.
[00:45:44.160 --> 00:45:45.160]   Thanks for having me.
[00:45:45.160 --> 00:45:46.160]   Hey, everybody.
[00:45:46.160 --> 00:45:47.160]   I hope you enjoyed my conversation with Sean.
[00:45:47.160 --> 00:45:50.440]   It was truly an honor and a pleasure to speak to him and listen to his journey.
[00:45:50.440 --> 00:45:57.000]   He went from the highest of highs as number four pick in the draft to the lowest low.
[00:45:57.000 --> 00:46:01.040]   It was after a devastating knee injury and then how he battled back through multiple
[00:46:01.040 --> 00:46:06.200]   teams to land with the Warriors to win not three but four NBA championships.
[00:46:06.200 --> 00:46:07.680]   What an amazing story.
[00:46:07.680 --> 00:46:08.760]   What a blessing.
[00:46:08.760 --> 00:46:09.760]   What a journey.
[00:46:09.760 --> 00:46:16.200]   I am absolutely sure he will be an incredible coach or an incredible general manager if
[00:46:16.200 --> 00:46:20.440]   he is given the opportunity if he decides to pursue that path.
[00:46:20.440 --> 00:46:25.120]   One of the things that really stood out to me from this conversation was how important
[00:46:25.120 --> 00:46:29.640]   work ethic was and is to sustain an NBA career.
[00:46:29.640 --> 00:46:34.720]   We're talking an average career lifespan of four to five years, but Sean lasted for 15
[00:46:34.720 --> 00:46:35.720]   years.
[00:46:35.720 --> 00:46:38.480]   So it's not good enough to be talented.
[00:46:38.480 --> 00:46:41.400]   You have to work on your talent and keep on going.
[00:46:41.400 --> 00:46:43.040]   All right, everyone.
[00:46:43.040 --> 00:46:46.640]   If you enjoyed this podcast, I'd love a share, subscribe and a positive review.
[00:46:46.640 --> 00:46:48.760]   It helps keep me going.
[00:46:48.760 --> 00:46:51.640]   Every single episode takes hours and hours to produce.
[00:46:51.640 --> 00:46:56.240]   And if you want to keep in touch, check out the Financial Samurai newsletter at FinancialSamurai.com/news.
[00:46:56.240 --> 00:46:59.320]   Talk to you all later.
[00:47:00.320 --> 00:47:06.320]   [Music]
[00:47:06.320 --> 00:47:08.380]   you

