
[00:00:00.000 --> 00:00:08.760]   All right, welcome everyone to CS25, I believe week eight.
[00:54:45.000 --> 00:54:57.000]   So we're breaking free of the need to think about cells as the atomic unit of simulating the biology and going basically as close to the raw data as we can get.
[00:54:57.000 --> 00:55:01.000]   So this trajectory, you know, in biology a cell would not drive through a sample like this.
[00:55:01.000 --> 00:55:06.000]   But for a visualization, I'm showing in each position here we're running one inference step.
[00:55:06.000 --> 00:55:13.000]   So I ran this model a few thousand times moving this hypothetical cell a few microns at a time.
[00:55:13.000 --> 00:55:19.000]   And then simulating what the readout would be of saying, OK, well, when you're surrounded by this cloud of transcripts,
[00:55:19.000 --> 00:55:23.000]   you're probably also seeing this cloud near you and this other cloud over there.
[00:55:23.000 --> 00:55:32.000]   And so this is now the kind of simulation engine where basically any hypothesis you have about what a drug might be doing or what's happening in patient biology,
[00:55:32.000 --> 00:55:40.000]   if this model has really learned about the world of the patient's biology, you should be able to get a reasonable simulation out on the other side.
[00:55:40.000 --> 00:55:45.000]   So in summary, oh, I have one more slide.
[00:55:45.000 --> 00:55:49.000]   I noticed last week was on the biology of a large language model, which is a paper I really liked.
[00:55:49.000 --> 00:55:56.000]   So I have a tongue-in-cheek slide on the biology of a large multimodal model for biology, which is just a little teaser.
[00:55:56.000 --> 00:55:58.000]   I don't have a ton of time again.
[00:55:58.000 --> 00:56:07.000]   But we've been doing some interpretability research on these models to try to understand what it is they have learned about the patient biology.
[00:56:07.000 --> 00:56:13.000]   So we've used things like sparse autoencoders to pull out consistent beans that keep popping out in the data
[00:56:13.000 --> 00:56:22.000]   and have used those to build interfaces for biologists of the company to basically do things like automatic semantic segmentation
[00:56:22.000 --> 00:56:28.000]   with text labels from identifying persistent concepts that keep appearing in the dataset.
[00:56:28.000 --> 00:56:31.000]   So again, this is starting from just the H&E.
[00:56:31.000 --> 00:56:38.000]   So you upload H&E and you get back semantic segmentation with the different parts of the sample and what's happening in each of them.
[00:56:38.000 --> 00:56:39.000]   OK.
[00:56:39.000 --> 00:56:47.000]   This is basically my last slide, which is just saying I hope one thing I've communicated today is that this is just a big playground.
[00:56:47.000 --> 00:56:48.000]   There's a ton of data.
[00:56:48.000 --> 00:56:51.000]   There's a ton of ways you can try to combine that data.
[00:56:51.000 --> 00:57:01.000]   And especially in biology, you have data spanning many spatial scales, many levels of abstraction, and also many modalities.
[00:57:01.000 --> 00:57:07.000]   So we talked today about really the three of them, the H&E imaging, the immunofluorescence, and RNA sequencing.
[00:57:07.000 --> 00:57:10.000]   There's more to be done in looking at the patient genotyping.
[00:57:10.000 --> 00:57:12.000]   There's immunohistochemistry.
[00:57:12.000 --> 00:57:15.000]   So the field of omics keeps getting bigger and bigger.
[00:57:15.000 --> 00:57:22.000]   And so the question that I think we have to solve and that I don't think has a concrete answer yet is what do you do with all of this?
[00:57:22.000 --> 00:57:26.000]   How do you build a world model that incorporates all of this information?
[00:57:26.000 --> 00:57:37.000]   And how do you craft your training tasks, your information bottlenecks, and your fusion points so that you're forcing a model to really learn real patient biology that is specific to each patient?
[00:57:37.000 --> 00:57:39.000]   And I won't pretend to have the answer today.
[00:57:39.000 --> 00:57:40.000]   We don't know.
[00:57:40.000 --> 00:57:46.000]   We're trying a bunch of stuff and kind of throwing a lot of ideas at the wall and then having a lot of fun playing with it.
[00:57:46.000 --> 00:57:51.000]   But I just want to leave people with the idea that there's just a ton of things to try here.
[00:57:51.000 --> 00:57:54.000]   And I think it's going to be a very exciting few years ahead.
[00:57:54.000 --> 00:57:57.000]   So with that, I'll now fill in the picture.
[00:57:57.000 --> 00:58:01.000]   This is our idea for building a world model for tumor biology.
[00:58:01.000 --> 00:58:04.000]   And I'll save the rest of the time for questions.
[00:58:04.000 --> 00:58:31.000]   You know, there's HIPAA, there's a lot of privacy protection laws that prevent, let's say, for researchers like you to probably have access to real data.
[00:58:31.000 --> 00:58:54.000]   So my question is, let's say if data is localized at each hospital, how do you see the future of research in this area can leverage the vast data set that is siloed in different hospitals so that this can advance so to speak to a place that can be diffused into healthcare space?
[00:58:54.000 --> 00:58:57.000]   Yeah, that's a very important question.
[00:58:57.000 --> 00:59:00.000]   I think there are a few different answers.
[00:59:00.000 --> 00:59:10.000]   One of them is open sourcing of methods that you could say, you know, we aren't going to ask you to send us your confidential data, but we're going to tell you how you can run it yourself.
[00:59:10.000 --> 00:59:26.000]   There's probably also ways that I'm not familiar with to just secure end point basically and say, we're going to, as a service, process this data for you and we'll be compliant with the privacy regulations about how to get the data from your hospital to the servers and back.
[00:59:26.000 --> 00:59:29.000]   It's very much not my area of expertise, so I don't know exactly what that looks like.
[00:59:29.000 --> 00:59:33.000]   But I imagine someone is thinking very hard about it.
[00:59:33.000 --> 00:59:42.000]   And I think the third thing is partnership, that you can always have, you know, a hospital or research institution say, we want access to a bunch of these models.
[00:59:42.000 --> 00:59:56.000]   We're going to go into a formal partnership where we have access to the compute and the models that you've trained and we're going to work together to run these samples so that it isn't just kind of an arbitrary like, yeah, email us your H&E data and we'll process it.
[00:59:56.000 --> 00:59:59.000]   Yeah.
[00:59:59.000 --> 01:00:00.000]   Amazing.
[01:00:00.000 --> 01:00:07.000]   I just can't wait to see if it can be expanded to larger data sets than just 8,000 patients.
[01:00:07.000 --> 01:00:13.000]   My other question is, I know cells and molecules and proteins, there are so many models beginning to happen.
[01:00:13.000 --> 01:00:21.000]   Are we able to leverage a lot of the alpha-4 models that already exist in the protein layer data set and also exosomes?
[01:00:21.000 --> 01:00:30.000]   In fact, the two new things which are getting to be very interesting is bioelectrics, you know, which is like beginning to be another holy grail, not just cells.
[01:00:30.000 --> 01:00:37.000]   Is there any way you can also capture that data set in, you know, early experimentation out of the four, but add like two other layers?
[01:00:37.000 --> 01:00:38.000]   Yeah.
[01:00:38.000 --> 01:00:42.000]   And exosomes, particularly the communication channel, that can add value.
[01:00:42.000 --> 01:00:43.000]   Yeah.
[01:00:43.000 --> 01:00:44.000]   I think that's a great question.
[01:00:44.000 --> 01:00:51.000]   One thing I've come to believe is that most forms of data can be jammed into these frameworks fairly easily.
[01:00:51.000 --> 01:00:55.000]   And the question is empirically, does that help with anything or not?
[01:00:55.000 --> 01:00:56.000]   And I don't know.
[01:00:56.000 --> 01:01:04.000]   But I think, you know, to be totally candid, we're at a place in research where we can try a lot of stuff very quickly and see what helps us make better predictions.
[01:01:04.000 --> 01:01:19.000]   So in some cases, I think what we're doing is probably upstream of models like AlphaFold where, you know, once we have run our simulations and said, well, OK, our world model is telling us if you could only make reality look like this, then this patient would respond to treatment.
[01:01:19.000 --> 01:01:25.000]   But then we might still have a challenge of, OK, well, what is the actual pharmacological path by which we get there?
[01:01:25.000 --> 01:01:29.000]   And then you might need to engage with something at the molecular level.
[01:01:29.000 --> 01:01:39.000]   So, yeah, I think it's possible that one of the big challenges that I'm thinking about is, indeed, how do you integrate across these spatial scales?
[01:01:39.000 --> 01:01:45.000]   And we've tried some stuff, but we have not spanned this entire range yet in a single model.
[01:01:45.000 --> 01:01:57.000]   Is it an approach right now of research to start with patient data first or just to a broad predictive model, then, you know, I can figure out later who the patient is?
[01:01:57.000 --> 01:02:01.000]   You know, because there's so much of the early prediction that's happening where you're not a patient yet.
[01:02:01.000 --> 01:02:02.000]   Right.
[01:02:02.000 --> 01:02:05.000]   You know, there are no markers, there's no tumor yet, but you're able to predict.
[01:02:05.000 --> 01:02:06.000]   Yeah. Long shot.
[01:02:06.000 --> 01:02:12.000]   Yeah. Right now we are working from patient data and one limitation of that data set, which I think is what you're pointing out,
[01:02:12.000 --> 01:02:18.000]   is that healthy people don't get parts of their bodies removed and sent to hospitals or to, you know, research.
[01:02:18.000 --> 01:02:23.000]   So really the thing we would want in a world model is evidence of, well, what does it look like when everything's working?
[01:02:23.000 --> 01:02:24.000]   When there's no tumor?
[01:02:24.000 --> 01:02:27.000]   When the immune system has identified a threat and eliminated it?
[01:02:27.000 --> 01:02:31.000]   And we just don't know because what we're getting are these snapshots of a battlefield.
[01:02:31.000 --> 01:02:38.000]   And if we're lucky, we will see a snapshot and then find out that that patient received some treatment and responded well to it.
[01:02:38.000 --> 01:02:44.000]   But we're missing probably the vast majority of the system operating in kind of normal operational mode.
[01:02:44.000 --> 01:02:49.000]   And I don't see an immediate way out of that challenge other than acknowledging it and recognizing that, you know,
[01:02:49.000 --> 01:02:56.000]   what we're trying to do is learn as much as we can about the snapshots we get of disease state and learn from that as a starting point.
[01:02:56.000 --> 01:03:02.000]   Because Broad Institute has some really interesting projects where they're just taking like dead tumor specimens
[01:03:02.000 --> 01:03:05.000]   and they're just doing a bunch of computation modeling.
[01:03:05.000 --> 01:03:09.000]   It's really cool to see, you know, if that can integrate into this overarching.
[01:03:09.000 --> 01:03:13.000]   Yeah, our attitude is very much like as much data as we can get, we're going to throw it at this thing.
[01:03:13.000 --> 01:03:14.000]   So that's all.
[01:03:14.000 --> 01:03:15.000]   Very cool. Thank you.
[01:03:15.000 --> 01:03:16.000]   Thank you.
[01:03:16.000 --> 01:03:17.000]   Any other questions?
[01:03:17.000 --> 01:03:31.000]   So is Noetic just a model company?
[01:03:31.000 --> 01:03:36.000]   Do you outsource the drug discovery to other people and just let them use your service as a platform?
[01:03:36.000 --> 01:03:37.000]   Or how does it work?
[01:03:37.000 --> 01:03:41.000]   No, we are effectively as full stack as it gets.
[01:03:41.000 --> 01:03:43.000]   We generate our data in house.
[01:03:43.000 --> 01:03:47.000]   We do the machine learning in house and then we have biologists and immunologists in house.
[01:03:47.000 --> 01:03:54.000]   And I didn't talk about this at all, but we have an in vivo platform with mice where you can actually go test hypotheses about saying,
[01:03:54.000 --> 01:03:56.000]   here's a mouse model for this patient population.
[01:03:56.000 --> 01:03:58.000]   We think that this drug will be effective.
[01:03:58.000 --> 01:03:59.000]   Let's go test it.
[01:03:59.000 --> 01:04:03.000]   So we right now actually do not provide any of these.
[01:04:03.000 --> 01:04:07.000]   You know, even if you wanted to pay me today to go use one of these, I don't have an API endpoint for you.
[01:04:07.000 --> 01:04:12.000]   But we are using these internally to do drug discovery and basic discovery every day.
[01:04:12.000 --> 01:04:27.000]   So the model is like a lower latency version and then the mouse is just to-- so you do most of your testing with the model, I assume, and then the mouse is just if you-- after you do the initial filtering with the AI model?
[01:04:27.000 --> 01:04:28.000]   Or how does that work?
[01:04:28.000 --> 01:04:31.000]   Yeah, so the model can tell you two things.
[01:04:31.000 --> 01:04:34.000]   In the best case, it tells you, hey, you should go try this drug in mice.
[01:04:34.000 --> 01:04:41.000]   And then we don't pretend that this model is going to understand all of the complex biology that happens when you administer a drug.
[01:04:41.000 --> 01:04:47.000]   So you still need to go to that in vivo test case and say, is this actually working to get rid of tumor?
[01:04:47.000 --> 01:04:54.000]   The other thing the models tell us is maybe there's already drug people have tried, but they're trying it in the wrong population.
[01:04:54.000 --> 01:05:03.000]   Like they're enrolling too broad of a clinical trial because they don't know that actually this small sliver of the patient space is the one that's going to respond well to your drug.
[01:05:03.000 --> 01:05:15.000]   And so we are using the model in that capacity to give us ideas for things to try in our in vivo platform or to reexamine clinical data and see if we can understand why clinical trials have failed,
[01:05:15.000 --> 01:05:22.000]   where other people are kind of shrugging and going, well, I don't know, like 10 people were totally cured, but the other 190 weren't and we don't know why.
[01:05:22.000 --> 01:05:23.000]   That makes sense.
[01:05:23.000 --> 01:05:28.000]   So is the end game to completely replace clinical trials or--?
[01:05:28.000 --> 01:05:29.000]   I don't know.
[01:05:29.000 --> 01:05:38.000]   I mean, maybe in many, many years, I think ultimately, you know, safety and efficacy proven out in humans will need to happen at some point.
[01:05:38.000 --> 01:05:43.000]   If anything, I would assume that the earlier part of that funnel is going to be increasingly done synthetically.
[01:05:43.000 --> 01:05:52.000]   But maybe we say, you know, you can in some cases skip a mouse model if you have a very clear mechanism of action and you want to go straight to checking for safety and efficacy.
[01:05:52.000 --> 01:05:53.000]   Thanks.
[01:05:53.000 --> 01:05:54.000]   Yeah, thank you.
[01:05:54.000 --> 01:05:55.000]   Thank you.
[01:05:55.000 --> 01:06:01.000]   You have many different scenarios of simulations to test with many different combinations.
[01:06:01.000 --> 01:06:06.000]   I'm wondering how you narrow it down to, like, prioritize, like, which one to test first?
[01:06:06.000 --> 01:06:08.000]   Yeah, that's a fantastic question.
[01:06:08.000 --> 01:06:17.000]   So I think of what we're doing is, like, let's say you had a really good world model, a simulator of the world, even in the macroscopic case.
[01:06:17.000 --> 01:06:20.000]   You still need an agent to tell you what is worth simulating.
[01:06:20.000 --> 01:06:22.000]   You can't just try things at random.
[01:06:22.000 --> 01:06:25.000]   And I think there's two promising things here.
[01:06:25.000 --> 01:06:32.000]   One of them is you still have subject matter experts that say, oh, great, you've given me a perfect simulator of patient biology.
[01:06:32.000 --> 01:06:38.000]   I know the first 30 things I'm going to try because I'm familiar with the things that have been considered in this space.
[01:06:38.000 --> 01:06:43.000]   We have hypotheses for how the tumor is evading the immune system and we want to go see if we can disrupt those.
[01:06:43.000 --> 01:06:59.000]   The other thing that I don't know how much weight I want to put behind right now but would be a little foolish to dismiss is that we have these LLMs now that are trained on basically the entirety of scientific literature know about a bunch of studies.
[01:06:59.000 --> 01:07:13.000]   And if they have access to effectively tool use and say, OK, what experiments do you want to run and start thinking about, you know, virtual scientists or AI scientist agents that are trying to decide this is the next experiment I would do.
[01:07:13.000 --> 01:07:18.000]   And maybe at some point you close the loop and you say, great, we're going to run that experiment and we'll be back to you tomorrow.
[01:07:18.000 --> 01:07:19.000]   And then tell me the next thing to try.
[01:07:19.000 --> 01:07:27.000]   But either way you need somebody who's familiar with the domain, whether that's an LLM or a scientist to make the decisions about how to use the simulator.
[01:07:27.000 --> 01:07:28.000]   Got it. Thanks.
[01:07:28.000 --> 01:07:29.000]   Yeah, thank you.
[01:07:29.000 --> 01:07:36.000]   So I know your grand vision is to cure cancer.
[01:07:36.000 --> 01:07:43.000]   Do you have some thoughts on cancer prevention, like probably vaccines or stuff like that?
[01:07:43.000 --> 01:07:45.000]   Yeah, that is a good question.
[01:07:45.000 --> 01:07:50.000]   I'm not sure I have a fantastic answer about, you know, how are we thinking about cancer prevention?
[01:07:50.000 --> 01:07:54.000]   It relates to this problem of we don't have healthy data to look at.
[01:07:54.000 --> 01:08:04.000]   And if there isn't an indicator right now in the clinic of, yeah, like you look healthy today, but we're still going to go biopsy this and send it off and fit you into this framework.
[01:08:04.000 --> 01:08:12.000]   Then I think you're going to be limited in what you can do about simulating the patient biology of patients that right now are totally asymptomatic.
[01:08:12.000 --> 01:08:14.000]   I could imagine that changing.
[01:08:14.000 --> 01:08:21.000]   I mean, it's possible that data acquisition is going to be broad enough and cheap enough that it is just routine to have a little bit of H&E taken.
[01:08:21.000 --> 01:08:29.000]   And maybe there is information kind of in the latent space of this model that says, yeah, this looks like it's over in this part of the patient distribution.
[01:08:29.000 --> 01:08:34.000]   Maybe we keep an eye on this patient over the next few years.
[01:08:34.000 --> 01:08:35.000]   Same question.
[01:08:35.000 --> 01:08:36.000]   Great.
[01:08:36.000 --> 01:08:38.000]   Well, I have a follow-up question.
[01:08:38.000 --> 01:08:41.000]   Google scientists have a forward on all this stuff.
[01:08:41.000 --> 01:08:46.000]   Yesterday, Microsoft released a co-pilot or semi-autopilot for science discovery tool.
[01:08:46.000 --> 01:09:05.000]   I'm very curious how we can run a billion experiments autonomously, maybe modeling, instead of modeling what scenario, maybe model a person, right, as an agent, and figure out what drugs could potentially
[01:09:05.000 --> 01:09:10.000]   you know, cure the context we just lost someone like two weeks ago to cancer.
[01:09:10.000 --> 01:09:11.000]   So this is a very big thing for me.
[01:09:11.000 --> 01:09:12.000]   Yeah.
[01:09:12.000 --> 01:09:17.000]   How do we prevent or cure intermediate cancer?
[01:09:17.000 --> 01:09:22.000]   So that's the way I'm thinking around where agents and science intersect.
[01:09:22.000 --> 01:09:23.000]   Right.
[01:09:23.000 --> 01:09:24.000]   Yeah.
[01:09:24.000 --> 01:09:26.000]   I have a few thoughts here.
[01:09:26.000 --> 01:09:27.000]   I'm not sure how coherent they are.
[01:09:27.000 --> 01:09:34.000]   One of them is I am not sure yet that speed and scale is the bottleneck on running these simulations.
[01:09:34.000 --> 01:09:45.000]   I have not also seen an example yet of an agent come up with a really brilliant experiment that our scientists didn't write down in like the first four minutes of thinking about how to use this thing.
[01:09:45.000 --> 01:09:47.000]   So that doesn't mean I'm not optimistic about it.
[01:09:47.000 --> 01:09:49.000]   I think these systems are going to get better.
[01:09:49.000 --> 01:09:53.000]   And if anything, I have been wrong every time on saying like, yeah, that's five years away.
[01:09:53.000 --> 01:09:56.000]   And then five months later, it turns out that we can do it.
[01:09:56.000 --> 01:10:07.000]   So I would like to remain optimistic that we're going to be able to frame these problems, integrate things like tool use in a way that does allow agents to go run a bunch of experiments.
[01:10:07.000 --> 01:10:12.000]   And then, you know, for us, we probably still go test those out in mice and then think about them in that capacity.
[01:10:12.000 --> 01:10:15.000]   But yeah, it's a very interesting direction to think about.
[01:10:15.000 --> 01:10:21.000]   Give another hand to Mishet for the very interesting talk.
[01:10:21.000 --> 01:10:32.000]   Yeah, so you'll notice this talk was sort of different from a lot of the more recent talks or work, just focusing more on LLMs.
[01:10:32.000 --> 01:10:47.000]   But I think this is a very important space and an area, application area where machine learning and AI can make a lot of impact and save the world, change the world, positively impact the world and save lives.
[01:10:47.000 --> 01:10:56.740]   So we should definitely encourage more work for machine learning and AI for this area of cancer research and healthcare in general.
[01:10:56.740 --> 01:11:26.720]   Thank you.

