
[00:00:00.000 --> 00:00:04.060]   This is Sax's big day. There he is. Oh, there's Tucker. Oh, look
[01:04:51.360 --> 01:04:56.360]   Do you know what I mean? Like that's the best they got when they did that.
[01:04:56.360 --> 01:05:00.360]   I know for a fact in this piece showed it, but I knew it already.
[01:05:00.360 --> 01:05:04.360]   A lot of people are like, you know, I have mixed feelings about Trump. I don't want to deal with more Trump drama.
[01:05:04.360 --> 01:05:08.360]   But if this is allowed to happen, our system won't continue.
[01:05:08.360 --> 01:05:13.360]   That's so outrageous that I mean, let's just stop lying about it. That's a political prosecution.
[01:05:13.360 --> 01:05:19.360]   You can't have that of the presidential front runner. You can't have that. We already did it with Nixon.
[01:05:19.360 --> 01:05:23.360]   You can't do that again. And so I think that's the key to his surge. I really do think that.
[01:05:23.360 --> 01:05:27.360]   Who's the Democratic nominee if you think Biden's not going to be? Oh, it's Gavin.
[01:05:27.360 --> 01:05:33.360]   Gavin. It's Gavin. For sure. Well, of course, because he's by far the most evil person in the Democratic Party.
[01:05:33.360 --> 01:05:37.360]   And in the end, they just sort of rise to the peak.
[01:05:37.360 --> 01:05:48.360]   Oil and water, man. Yeah. Tucker, just just comment on Gavin vetoing the bill that said that you could kind of remove the parents,
[01:05:48.360 --> 01:05:53.360]   remove the child from the parents if the parents don't affirm the transgender rights of the child.
[01:05:53.360 --> 01:06:02.360]   I think there was a lot of folks who sit in your camp typically who were shocked and surprised and said, wow, I didn't know Gavin actually, you know, had a span of opinions.
[01:06:02.360 --> 01:06:07.360]   And this is interesting to see. I mean, what's what like there's no one I know who thought that.
[01:06:07.360 --> 01:06:14.360]   And everyone I know who watched that thought the same thing they thought when he met with Xi, which is, oh, he's he's going to be the nominee.
[01:06:14.360 --> 01:06:18.360]   Yeah, of course. That's what that was. I mean, I know I know Gavin Newsom.
[01:06:18.360 --> 01:06:23.360]   And, you know, I think a lot about Gavin Newsom, many different things about Gavin Newsom.
[01:06:23.360 --> 01:06:28.360]   But one thing I know for a fact about Gavin Newsom is he has the capacity to be delighted.
[01:06:28.360 --> 01:06:33.360]   Lie detector test. Gavin Newsom will say anything he needs to say.
[01:06:33.360 --> 01:06:36.360]   Not like Biden's not like this, actually. Whatever Biden's fault. He's not like this.
[01:06:36.360 --> 01:06:42.360]   Like Biden, you know, he has like guilt. If he's lying to you, he gets twitchy.
[01:06:42.360 --> 01:06:49.360]   Gavin Newsom's palms don't sweat. His respiration doesn't increase. His body temperature doesn't change.
[01:06:49.360 --> 01:06:54.360]   Nothing changes in Gavin Newsom when he lies to your face. And there are not that many people like that, actually.
[01:06:54.360 --> 01:07:05.360]   That's a rare quality, like to lock down the state, to keep people's kids from getting an education and to arrest people for surfing and then go have dinner at the French Laundry.
[01:07:05.360 --> 01:07:09.360]   Like most people couldn't do that. They just feel like you're saying he's a sociopath.
[01:07:09.360 --> 01:07:16.360]   Just he can lie and not care. I'm not a psychiatrist, but I so I don't know that I don't really know the category and I'm not going to diagnose him.
[01:07:16.360 --> 01:07:22.360]   But I'll just say in 50 years of being around a lot of people, I've met very few who can behave that way.
[01:07:22.360 --> 01:07:27.360]   Very, very few. It's a very unusual quality. And of course, it's probably useful in politics.
[01:07:27.360 --> 01:07:32.360]   Is he electable? Is he electable? Yeah, exactly. Are the American people going to see that the way that you see it or.
[01:07:32.360 --> 01:07:38.360]   Well, as you know, the system in California does not include elections. I mean, it has nothing to do with what the people think.
[01:07:38.360 --> 01:07:41.360]   It's a it's a machine state. It's the most corrupt out of 50.
[01:07:41.360 --> 01:07:47.360]   Kamala Harris was like despised by most Californians and she was a sitting U.S. senator.
[01:07:47.360 --> 01:07:53.360]   Diane, poor Dianne Feinstein, my neighbor in Washington. I don't think she was a horrible person, just for the record.
[01:07:53.360 --> 01:07:58.360]   But she was non-compass menace and like she could have lived well beyond her death as a U.S. senator.
[01:07:58.360 --> 01:08:04.360]   So it's like it's not a democratic state, small d democratic state. It's not run on the basis of what the population wants.
[01:08:04.360 --> 01:08:12.360]   It's a fixed game in California. And so it does make me very uncomfortable that someone from that political culture,
[01:08:12.360 --> 01:08:21.360]   which is an utterly corrupt political culture and authoritarian political culture, could like enter a presidential race because like clearly,
[01:08:21.360 --> 01:08:25.360]   what are you running on if you're Gavin Newsom as a native Californian?
[01:08:25.360 --> 01:08:33.360]   You know, I know what the state was like in 1985 because I live there and it's completely degraded from that from that time.
[01:08:33.360 --> 01:08:38.360]   And like, how did that happen? Well, part of the big reason, the big reason is the political leadership of the state.
[01:08:38.360 --> 01:08:43.360]   You've got nothing to run on. What are you running? Have you driven through L.A. recently? Like, seriously.
[01:08:43.360 --> 01:08:52.360]   So the fact that he would get in the race suggests, you know, they think that they can win without the consent of voters.
[01:08:52.360 --> 01:08:57.360]   And that freaks me out. Well, he'll have the media working on overdrive for him. Right.
[01:08:57.360 --> 01:09:01.360]   I mean, they will turn him somehow into like John F. Kennedy or something.
[01:09:01.360 --> 01:09:07.360]   I mean, they will paper over all of his flaws and they'll you know, they'll basically write puff pieces.
[01:09:07.360 --> 01:09:13.360]   It'll be like nonstop and then they'll be attacking Trump. So the media will put him over the top, I think, if he.
[01:09:13.360 --> 01:09:17.360]   Well, assuming that we have the same media that we had in 2020.
[01:09:17.360 --> 01:09:21.360]   That's true. But I mean, that's why you just got to pray every night for Elon's health.
[01:09:21.360 --> 01:09:28.360]   And I mean it, too. I mean, it's the only platform at scale in the world that's pretty, you know, there's censorship on it.
[01:09:28.360 --> 01:09:36.360]   But there's not mass censorship, actually. There isn't. And that's the only platform of its kind at scale.
[01:09:36.360 --> 01:09:37.360]   It's the only one.
[01:09:37.360 --> 01:09:47.360]   So let's talk about that, actually. So, I mean, we've talked in this conversation about how our public discourse is inane and self-destructive and divisive.
[01:09:47.360 --> 01:09:52.360]   I would add another word to that, which is controlled, you know, controlled.
[01:09:52.360 --> 01:09:56.360]   A good example of this, I think, was just on the Ukraine war.
[01:09:56.360 --> 01:10:10.360]   David Arkamia, who is Zelensky's parliamentary leader, who was the lead negotiator for the Ukrainians at Istanbul in the first month of the war, when there was a deal on the table, he just testified, basically said in an interview,
[01:10:10.360 --> 01:10:15.360]   "There was a deal on the table to shut the war down. We just would have had to agree to make Ukraine neutral."
[01:10:15.360 --> 01:10:22.360]   And, of course, the Biden administration told them not to. This war is and has always been about NATO expansion.
[01:10:22.360 --> 01:10:33.360]   And yet the party line from the media, even as all of these proof points stack up, I mean, we're now on like the 10th person, first-hand witness, to say that this is what this war is all about.
[01:10:33.360 --> 01:10:38.360]   You still can't get the media to honestly report this. This is one example.
[01:10:38.360 --> 01:10:49.360]   Okay. And I believe that this is one of the reasons why you were fired, Tucker, is because you were literally the only person on mainstream network news saying what the war is really about.
[01:10:49.360 --> 01:10:56.360]   So this is like one really big example is that we cannot get any truth on an issue as big as the Ukraine war.
[01:10:56.360 --> 01:11:01.360]   So I guess my question for you is, how does control like that happen?
[01:11:01.360 --> 01:11:09.360]   I don't really understand it myself. We live in what's supposed to be a big democracy. There's supposed to be a lot of media channels.
[01:11:09.360 --> 01:11:21.360]   But yet they all enforce a certain narrative on pretty much every issue. But even, you know, again, I'm picking on, I think, one of the biggest issues right now, which is this war we've got going on.
[01:11:21.360 --> 01:11:24.360]   I mean, how does that happen? I don't understand it. How do they maintain that control?
[01:11:24.360 --> 01:11:32.360]   This is one of my personal concerns about technology and about progress of all kinds, which is you don't actually know where it's going. You don't.
[01:11:32.360 --> 01:11:44.360]   I mean, your best forecaster or mine have very often been wrong. And, you know, of course, the promise of the Internet was diversity and access to information from a lot of different sources, unfiltered information.
[01:11:44.360 --> 01:11:57.360]   You can talk to people in foreign countries for free. You know, every American will have an encyclopedia at his fingertips and people are gonna be much more informed and no one will be able to control it because it's free and open.
[01:11:57.360 --> 01:12:08.360]   And the effect has been, you know, the opposite. There's less, I would argue, there's been less freedom in information than there was 30 years ago.
[01:12:08.360 --> 01:12:13.360]   How did that happen? I mean, that's, it's a very, I mean, you guys are much better situated to answer that question. Someone should think about that, I think.
[01:12:13.360 --> 01:12:23.360]   But the bottom line is there are just not that many pipelines, actually. You know, in television, there were three big news channels, cable, you know, broadcast kind of receded in importance.
[01:12:23.360 --> 01:12:29.360]   It's mostly about prostate health now. And so there are three big channels, two of them on one side, one was on the other.
[01:12:29.360 --> 01:12:40.360]   And then there were the social media giants, but there are not that many of them. And they were all locked down and they were all riddled with intel, in some cases, actual salaried intel officers.
[01:12:40.360 --> 01:12:47.360]   Matt Taibbi's amazing reporting has shown this, not just American either, from foreign countries. The whole thing was an op. It was insane.
[01:12:47.360 --> 01:12:58.360]   And, you know, you could, I'm not going to beat up on Fox News, but there was a kind of a fairly narrow band of acceptable views allowed on that channel. Is that control? Yes, it is.
[01:12:58.360 --> 01:13:05.360]   And so there really was no remaining place with scale where someone with a dissenting view could give it voice.
[01:13:05.360 --> 01:13:22.360]   And that's just crazy. It's the opposite of what we were promised. But whatever, not to whine about it. But the existence of X, where anyone around the world or in most countries anyway can get for free a whole range of opinions that aren't controlled, that changes everything.
[01:13:22.360 --> 01:13:32.360]   Like the primacy of control of information in a war cannot be overstated. Like that's, you can debate whether it's more important than ammunition, but it's right up there, you know.
[01:13:32.360 --> 01:13:41.360]   And so I think this election, if that platform stays free for the next 12 months, you know, I think we have a shot at at least of a real election.
[01:13:41.360 --> 01:13:44.360]   But if it does, and I think they're going to do whatever they can to shut it down.
[01:13:44.360 --> 01:13:51.360]   We also have web-based shows, podcasts, and that even predated a little bit, you know, taking over X.
[01:13:51.360 --> 01:13:59.360]   There is a self-correcting mechanism here. If you feel too controlled, like maybe perhaps you felt or you felt pressure at Fox.
[01:13:59.360 --> 01:14:10.360]   I don't speak for you if you did. Then all of a sudden, Joe Rogan, All In Podcast, whatever, podcasts all emerge and now your show on X, and I'm sure it's going to be on other platforms as well.
[01:14:10.360 --> 01:14:22.360]   Maybe you can speak to what you think the impact of a post-Fox Tucker Carlson show will be, and how will you be able to sort of shape the show differently, if at all?
[01:14:22.360 --> 01:14:29.360]   And what's the mission here? That was my first question we never really got to, which is post-Fox, post-money, post-fame.
[01:14:29.360 --> 01:14:33.360]   What is Tucker Carlson's mission statement going forward? What is your goal here?
[01:14:33.360 --> 01:14:43.360]   Just the same as before, and I should just be extra clear. I wish I could tell harder stories about Fox, you know, forcing me to take some line or other, but they really didn't.
[01:14:43.360 --> 01:14:58.360]   But, you know, they didn't want the show anymore, so that kind of tells you. But anyway, the point is, my intent in hosting that show is the same as my intent in hosting the show we're about to launch on X, which is, you know, just do your best to say what you think is true.
[01:14:58.360 --> 01:15:06.360]   Bring perspectives and information that you don't think are widely covered to a larger audience, and, you know, try and stay firm in that. Admit when you're wrong.
[01:15:06.360 --> 01:15:16.360]   Like, just be honest. It's actually not—it's, you know, I got in this business because I hadn't graduated from college, and my father's like, "It's a pretty pure meritocracy in journalism. You should do it."
[01:15:16.360 --> 01:15:21.360]   And it's also pretty simple. No real skills required. Just be literate, which I was.
[01:15:21.360 --> 01:15:22.360]   And is the show going to evolve a little bit?
[01:15:22.360 --> 01:15:23.360]   That's it.
[01:15:23.360 --> 01:15:26.360]   Because you've been doing this experiment. You've done about 40 episodes or so.
[01:15:26.360 --> 01:15:37.360]   Here's the way that it already has evolved. So I got laid off in April, and I, you know, I like to fish and bird hunt, so I did a lot of that. And then I was like, "Ugh, I need to do something."
[01:15:37.360 --> 01:15:43.360]   So I've been stuck in a studio for all these, you know, many, many years. I couldn't really go anywhere.
[01:15:43.360 --> 01:15:50.360]   And I went—I took seven foreign trips in four months. I just went to all these places where I knew people. I was interested in what was going on.
[01:15:50.360 --> 01:15:59.360]   And I just found it amazing. Two things I found amazing. One, the view of America, the vantage you get from a foreign country on what's happening in your own is completely different.
[01:15:59.360 --> 01:16:09.360]   There's also a lot—the whole world is reshuffling, in my view, after the Ukraine war. February 2022 really did change a lot, particularly with respect to America's place in the world.
[01:16:09.360 --> 01:16:16.360]   That's worth covering. And the second thing I learned once I started putting videos up on X was that it's international.
[01:16:16.360 --> 01:16:24.360]   I mean, I was just shocked by that. I mean, because think about it. I mean, I'm working for a U.S. news channel. It's one of three U.S. news channels I've worked for.
[01:16:24.360 --> 01:16:31.360]   CNN was international, but I was on CNN U.S. So I'm just used to thinking about America being viewed by Americans, having a conversation about this country.
[01:16:31.360 --> 01:16:40.360]   I had no experience at all of a big international audience, and that platform has that. And so I was amazed by that.
[01:16:40.360 --> 01:16:48.360]   And so we're going to continue to cover the rest of the world. I'm going over to Dubai in February, interviewing a bunch of heads of state.
[01:16:48.360 --> 01:16:50.360]   It's incredible. I've been spending time in this wild—
[01:16:50.360 --> 01:16:56.360]   It's just so interesting. There's so much going on. It's like crazy. People—and this is not a political point.
[01:16:56.360 --> 01:17:03.360]   This is like a human point that bothers me almost more than anything politically, which is the death of curiosity.
[01:17:03.360 --> 01:17:11.360]   It's like people are not curious. Like, what the hell? I thought the technological revolution would set off like explosions in the brain of every person.
[01:17:11.360 --> 01:17:17.360]   Like, what is that? I want to learn more. And it had exactly the opposite. It's like, lull me to sleep with TikTok. Don't tell me more. I don't want to know.
[01:17:17.360 --> 01:17:20.360]   Just double down on what you already know, what you already believe over and over and over and over again.
[01:17:20.360 --> 01:17:27.360]   Yeah, what is that? I'm like—I know—I'm less certain in my beliefs. I know that I know less than any time in my life.
[01:17:27.360 --> 01:17:32.360]   And I'm much more interested in many more things than I've ever been. I think that's normal.
[01:17:32.360 --> 01:17:36.360]   And I think there's something like in the water or something that's making people not care.
[01:17:36.360 --> 01:17:41.360]   The UFO thing. Like, what? Whatever your views of that—like, well, what is that? Shut up.
[01:17:41.360 --> 01:17:46.360]   And that's normal people don't want to hear it. Why? I don't know. Whatever. I don't want to preach.
[01:17:46.360 --> 01:17:49.360]   I mean, post-COVID, we still don't have an accounting of what happened.
[01:17:49.360 --> 01:17:54.360]   Tucker, what do you think about the clip yesterday of Elon?
[01:17:54.360 --> 01:17:58.360]   Let's play it for 45 seconds and then get your response. Tucker Carlson.
[01:17:58.360 --> 01:18:05.360]   Apology tour, if you will. This had been said online. There was all of the criticism. There was advertisers leaving.
[01:18:05.360 --> 01:18:06.360]   We talked to Bob Iger today.
[01:18:06.360 --> 01:18:07.360]   I hope they stop.
[01:18:07.360 --> 01:18:08.360]   You hope—
[01:18:08.360 --> 01:18:10.360]   Don't advertise.
[01:18:10.360 --> 01:18:11.360]   You don't want them to advertise?
[01:18:11.360 --> 01:18:12.360]   No.
[01:18:12.360 --> 01:18:13.360]   What do you mean?
[01:18:13.360 --> 01:18:21.360]   If somebody's going to try to blackmail me with advertising, blackmail me with money, go fuck yourself.
[01:18:21.360 --> 01:18:25.360]   But—
[01:18:25.360 --> 01:18:35.360]   Go fuck yourself. Is that clear? I hope it is. Hey, Bob, if you're in the audience.
[01:18:35.360 --> 01:18:37.360]   Well, let me ask you then—
[01:18:37.360 --> 01:18:39.360]   That's how I feel.
[01:18:39.360 --> 01:18:45.360]   All right, Tucker, your response to the "Good for you." The old G-F-Y from Elon to Bob.
[01:18:45.360 --> 01:18:51.360]   I mean, I've interviewed people every week for over 30 years, and so I know what it is to interview—
[01:18:51.360 --> 01:18:54.360]   I just dropped my Perrier. Excuse me.
[01:18:54.360 --> 01:18:58.360]   And I know I have a lot of experience interviewing people, and I've interviewed Elon, you know.
[01:18:58.360 --> 01:19:03.360]   And I don't understand how the New York Times character, fussy little guy from the New York Times, how could you not laugh?
[01:19:03.360 --> 01:19:06.360]   Like, what? He just told Bob Iger to fuck himself.
[01:19:06.360 --> 01:19:08.360]   He's a terrible moderator.
[01:19:08.360 --> 01:19:14.360]   Don't get me started. You and I are in sync. Andrew R. Sorkin is amongst the weakest of moderators and interviewers.
[01:19:14.360 --> 01:19:18.360]   He's just—what a fussy little douche. Like, that's the moment where he just, like—
[01:19:18.360 --> 01:19:20.360]   I agree. Huge douche.
[01:19:20.360 --> 01:19:26.360]   You were rocking your total, like—are you joking? Elon Musk just told Bob Iger to fuck himself?
[01:19:26.360 --> 01:19:28.360]   Yes. My response, he's a robot.
[01:19:28.360 --> 01:19:30.360]   I'd be texting my wife. It's unbelievable. I know.
[01:19:30.360 --> 01:19:36.360]   No, of course I love it. I love it. I am in the Iger thing.
[01:19:36.360 --> 01:19:42.360]   You know, I don't hate Bob Iger or anything, but, like, I keep hearing from people, you know, mutual people I know who know Bob Iger very well
[01:19:42.360 --> 01:19:44.360]   that he's, like, very serious about running for president.
[01:19:44.360 --> 01:19:48.360]   It's like, if you really think, if you're Bob Iger, you can run for president.
[01:19:48.360 --> 01:19:51.360]   You have anything to offer people or they want you to be president, like, you're pretty out of touch.
[01:19:51.360 --> 01:19:59.360]   So I like that. But, you know, big picture, I'm really—and I'm not just saying this because it, you know,
[01:19:59.360 --> 01:20:02.360]   aligns with my interests of some kind. I mean it.
[01:20:02.360 --> 01:20:07.360]   I'm worried about the pressure that's going to be brought to bear on that platform, on this platform, on X,
[01:20:07.360 --> 01:20:12.360]   because it's the only one, the only big one, you know, huge one, international one, tens of millions of people,
[01:20:12.360 --> 01:20:18.360]   hundreds of millions of people, like, they have to—they, meaning the people who would like to maintain the status quo,
[01:20:18.360 --> 01:20:20.360]   kind of have to shut it down.
[01:20:20.360 --> 01:20:30.360]   And I am just so hoping that, you know, I can help in any way and that all decent people, whatever their views,
[01:20:30.360 --> 01:20:37.360]   add their voice to a chorus that says, "No, you can't shut down the one big free speech platform in the world.
[01:20:37.360 --> 01:20:39.360]   You can't do that because then it's just dictatorship.
[01:20:39.360 --> 01:20:42.360]   You're not free if you don't have free information and you can't say what you really think."
[01:20:42.360 --> 01:20:46.360]   You were subject to a lot of these advertising attacks.
[01:20:46.360 --> 01:20:50.360]   They went after Fox and your show specifically, and it worked.
[01:20:50.360 --> 01:20:53.360]   They got people to not advertise on your show.
[01:20:53.360 --> 01:20:54.360]   Oh, yeah.
[01:20:54.360 --> 01:20:58.360]   So these advertising boycotts do work, Media Matters, whatever, you know, whoever's doing them.
[01:20:58.360 --> 01:21:05.360]   So I'm curious what you see the business model being for your show and then how you hope to be resistant to it.
[01:21:05.360 --> 01:21:10.360]   Are you going to just go straight up subscription and hope that half your audience or 10 percent of your audience pays
[01:21:10.360 --> 01:21:12.360]   and you put half out for free, half out for sub?
[01:21:12.360 --> 01:21:13.360]   What are you thinking?
[01:21:13.360 --> 01:21:16.360]   You've got to have a subscription component to it.
[01:21:16.360 --> 01:21:24.360]   And, of course, we're selling ads against our content, and we'll be doing that on X and on TuckerCarlson.com.
[01:21:24.360 --> 01:21:28.360]   We'll be hosting the subscription part of it.
[01:21:28.360 --> 01:21:30.360]   Of course, we're selling ads.
[01:21:30.360 --> 01:21:32.360]   We'll have network ads, too.
[01:21:32.360 --> 01:21:35.360]   I mean, there are lots of different things you can do.
[01:21:35.360 --> 01:21:40.360]   But in the end, you have to have some subscription component if you're going to do it at scale.
[01:21:40.360 --> 01:21:43.360]   I mean, we brought our whole staff, almost our whole staff from Fox with us.
[01:21:43.360 --> 01:21:45.360]   So we've got a bunch of people.
[01:21:45.360 --> 01:21:50.360]   We've got bigger ambitions than have been on display so far.
[01:21:50.360 --> 01:21:55.360]   And, you know, you've got to have more information.
[01:21:55.360 --> 01:22:00.360]   And I would just say this about just having been in this one business my whole life.
[01:22:00.360 --> 01:22:03.360]   The range of stories is the problem.
[01:22:03.360 --> 01:22:06.360]   It's not that the stories are all totally dishonest.
[01:22:06.360 --> 01:22:08.360]   Some are dishonest, but some are not.
[01:22:08.360 --> 01:22:14.360]   They're technically true, but they're taken from such a small pot of stories that it's like it's crazy.
[01:22:14.360 --> 01:22:16.360]   There's all this stuff going on.
[01:22:16.360 --> 01:22:23.360]   I mean, I was completely obsessed and remain obsessed with the industrial sabotage of the Nord Stream pipeline.
[01:22:23.360 --> 01:22:27.360]   It's like that's a major historical event.
[01:22:27.360 --> 01:22:29.360]   Like you just ended the EU.
[01:22:29.360 --> 01:22:33.360]   You just hobbled the economic engine of Europe, which is Germany.
[01:22:33.360 --> 01:22:35.360]   And like who did that?
[01:22:35.360 --> 01:22:37.360]   And there were like very few stories on that.
[01:22:37.360 --> 01:22:39.360]   That's like a very big deal.
[01:22:39.360 --> 01:22:42.360]   And again, back to the curiosity thing, but it's more than that.
[01:22:42.360 --> 01:22:46.360]   It's like the people sort of know where not to go.
[01:22:46.360 --> 01:22:50.360]   And I just feel like that's first of all that's soul death.
[01:22:50.360 --> 01:22:54.360]   You're not a free man if you're that constrained in your thinking.
[01:22:54.360 --> 01:22:57.360]   If you're letting somebody else tell you what you're allowed to think.
[01:22:57.360 --> 01:23:00.360]   How can your wife even sleep with you at that point?
[01:23:00.360 --> 01:23:03.360]   No one can respect you if you live like that, A.
[01:23:03.360 --> 01:23:05.360]   B, you can't have a democracy.
[01:23:05.360 --> 01:23:07.360]   You can't have a free country under those circumstances.
[01:23:07.360 --> 01:23:09.360]   So I don't think I'm overstating it.
[01:23:09.360 --> 01:23:14.360]   And so we're going to try to, I hope, be one of many different similar efforts
[01:23:14.360 --> 01:23:18.360]   to just add to the sum total of information and analysis of that information.
[01:23:18.360 --> 01:23:21.360]   Well, the end of democracy and sex would be kind of rough, I think.
[01:23:21.360 --> 01:23:22.360]   Yeah, go ahead, Shubham.
[01:23:22.360 --> 01:23:23.360]   Yeah.
[01:23:23.360 --> 01:23:27.360]   I have a final question, and I'm not trying to be a conspiracy theorist.
[01:23:27.360 --> 01:23:33.360]   But if one of the presidential candidates called you and said,
[01:23:33.360 --> 01:23:36.360]   Tucker, be my VP.
[01:23:36.360 --> 01:23:38.360]   And replace Kamala Harris?
[01:23:38.360 --> 01:23:40.360]   I mean, I don't think I could do that.
[01:23:40.360 --> 01:23:41.360]   She's a historic first.
[01:23:41.360 --> 01:23:45.360]   Would you consider it if Donald Trump gave you that call?
[01:23:45.360 --> 01:23:47.360]   Well, of course I would consider it.
[01:23:47.360 --> 01:23:50.360]   I mean, you have no idea how open-minded I am.
[01:23:50.360 --> 01:23:53.360]   I don't consider anything, actually.
[01:23:53.360 --> 01:23:58.360]   But I mean, the truth is I kind of don't respect people who do stuff like that.
[01:23:58.360 --> 01:24:01.360]   I really believe I've got a lot of theories which I will not inflict on you,
[01:24:01.360 --> 01:24:04.360]   but which I do inflict on my own four children.
[01:24:04.360 --> 01:24:08.360]   And my main theory of life is that you should do what you were designed to do.
[01:24:08.360 --> 01:24:10.360]   I don't believe this whole you can be whatever you want to be thing.
[01:24:10.360 --> 01:24:12.360]   I think it's an absurd lie.
[01:24:12.360 --> 01:24:14.360]   I think we're made for certain things.
[01:24:14.360 --> 01:24:15.360]   We have certain aptitudes.
[01:24:15.360 --> 01:24:16.360]   They're inborn.
[01:24:16.360 --> 01:24:20.360]   We can hone them, and we need to through practice, repetition.
[01:24:20.360 --> 01:24:26.360]   But it's very--I think it's a sign of hubris, which is always the death,
[01:24:26.360 --> 01:24:30.360]   particularly of men, hubris, thinking you have more power than you do.
[01:24:30.360 --> 01:24:33.360]   When midlife, you're like, well, actually, what I really want to do is direct.
[01:24:33.360 --> 01:24:35.360]   It's like you just won best actress, honey.
[01:24:35.360 --> 01:24:37.360]   Go back to acting.
[01:24:37.360 --> 01:24:39.360]   And I've never been involved in politics.
[01:24:39.360 --> 01:24:42.360]   I've never--I haven't even voted in all elections.
[01:24:42.360 --> 01:24:43.360]   I'm serious.
[01:24:43.360 --> 01:24:51.360]   So the idea that I'm going to at 54 run for national office is a little--you know what I mean?
[01:24:51.360 --> 01:24:53.360]   I don't take myself quite that seriously.
[01:24:53.360 --> 01:24:55.360]   I mean I can't imagine doing something like that.
[01:24:55.360 --> 01:24:56.360]   I'm just being honest.
[01:24:56.360 --> 01:25:06.360]   >>Corey: I think this question is that if we're--at least the Republicans will now prove that we've lived in a 12-year era of a non-traditional candidate.
[01:25:06.360 --> 01:25:12.360]   That was essentially a media personality that was able to then curate a plurality of support, right?
[01:25:12.360 --> 01:25:13.360]   >>Joe: That's right.
[01:25:13.360 --> 01:25:15.360]   >>Corey: And there's going to be something that comes after him.
[01:25:15.360 --> 01:25:22.360]   And so I'm just trying to get a sense of if it's not you, it's probably, to be very honest, somebody like you, right?
[01:25:22.360 --> 01:25:23.360]   >>Joe: Yes.
[01:25:23.360 --> 01:25:25.360]   >>Corey: Just talk to us about that for just a second.
[01:25:25.360 --> 01:25:33.360]   >>Joe: I completely agree with you and I love your characterization of Trump as someone who's from a media background because that's closer to--I'm not diminishing.
[01:25:33.360 --> 01:25:34.360]   I'm from media backgrounds.
[01:25:34.360 --> 01:25:35.360]   I'm not attacking it.
[01:25:35.360 --> 01:25:41.360]   But that's a lot closer to the truth than most characterizations, casino magnet, developer.
[01:25:41.360 --> 01:25:42.360]   He's a media guy.
[01:25:42.360 --> 01:25:44.360]   Yeah, he had lots of businesses.
[01:25:44.360 --> 01:25:45.360]   But he was a media guy.
[01:25:45.360 --> 01:25:47.360]   He had the top show on NBC.
[01:25:47.360 --> 01:25:50.360]   And so I think you're absolutely right.
[01:25:50.360 --> 01:25:55.360]   My concern is that--and I have pure contempt for the professional political class.
[01:25:55.360 --> 01:25:56.360]   I've written a book about it.
[01:25:56.360 --> 01:25:59.360]   I've expressed it daily for a number of years now and it's real.
[01:25:59.360 --> 01:26:11.360]   However, I think that there--these are complex systems and it's better to have someone who understands the systems in an ideal world administer the systems because he's more effective at doing so.
[01:26:11.360 --> 01:26:30.360]   And I also think that once you decide that like, hey, let's just go crazy and you couple that with true social disorder, like you get to a place where you can't buy anything at CVS because it's chained up because shoplifting has been legalized as it has been in California.
[01:26:30.360 --> 01:26:37.360]   What you're going to get is fascism because people can't live in that--they can't live with chaos.
[01:26:37.360 --> 01:26:41.360]   Like that's the one thing they can't deal with and I've covered a couple of wars and that was my main conclusion.
[01:26:41.360 --> 01:26:43.360]   The main problem with war is not that people get killed.
[01:26:43.360 --> 01:26:49.360]   It's that people have to live with total uncertainty and craziness and that's incompatible with what people want.
[01:26:49.360 --> 01:26:51.360]   Like that's the worst thing.
[01:26:51.360 --> 01:26:52.360]   You know, we're all going to die.
[01:26:52.360 --> 01:26:54.360]   Dying is not the worst thing.
[01:26:54.360 --> 01:26:56.360]   The worst thing is living in chaos.
[01:26:56.360 --> 01:26:58.360]   And we're starting to live in chaos.
[01:26:58.360 --> 01:27:01.360]   And so the return to order is what scares me.
[01:27:01.360 --> 01:27:03.360]   I think it would be very easy and I do think Gavin Newsom is a fascist.
[01:27:03.360 --> 01:27:10.360]   I think he's the kind of person who would have no problem, no hesitation about using the DOJ to imprison his political opponents.
[01:27:10.360 --> 01:27:14.360]   Now Biden is imprisoning his political opponents but at least they're lying about it.
[01:27:14.360 --> 01:27:20.360]   Gavin Newsom is the kind of person who would be like, "Well, yeah, you're a threat to the general order and you're going to jail."
[01:27:20.360 --> 01:27:26.360]   And I think because we're in a moment of chaos right now, people kind of want that actually.
[01:27:26.360 --> 01:27:34.360]   I think one of the purposes of degrading and confusing our society is to make way for authoritarianism even more than we have now.
[01:27:34.360 --> 01:27:37.360]   So that kind of freaks me out actually.
[01:27:37.360 --> 01:27:50.360]   I personally, what I would really like is a kind of colorless, you know, boring, non-charismatic like Gerald Ford, Mike Pence without their views.
[01:27:50.360 --> 01:27:52.360]   Both of those men were bad men in my opinion.
[01:27:52.360 --> 01:28:01.360]   But someone like that who could govern without making it about himself and restore the country to a sense of rules-based order.
[01:28:01.360 --> 01:28:05.360]   That's what I really want but I'm probably going to be denied that.
[01:28:05.360 --> 01:28:12.360]   Tucker, I feel like one of the other consequences of the way things have gone is that the solution has always been to throw more money at the problem.
[01:28:12.360 --> 01:28:15.360]   And we've got this kind of out of control fiscal condition.
[01:28:15.360 --> 01:28:22.360]   What's your point of view on the fiscal condition of the US as a priority, of the federal government that is as a priority?
