
[00:00:00.000 --> 00:00:02.120]   Just continuing with this.
[00:49:01.260 --> 00:49:04.220]   So image block is just this, OK?
[00:49:04.220 --> 00:49:05.820]   So let's not use image block.
[00:49:05.820 --> 00:49:07.220]   Let's instead--
[00:49:07.220 --> 00:49:09.540]   Why didn't the item transform work?
[00:49:09.540 --> 00:49:11.140]   Let's figure that out later.
[00:49:11.140 --> 00:49:13.380]   Yeah, why don't we figure out what's going on here,
[00:49:13.380 --> 00:49:14.700]   and then we'll debug it.
[00:49:14.700 --> 00:49:19.700]   OK, so now we've got three transform blocks, two of them
[00:49:19.700 --> 00:49:22.380]   which do nothing, and the first one of which
[00:49:22.380 --> 00:49:25.740]   is going to call something.create.
[00:49:25.740 --> 00:49:27.500]   That was period image.create.
[00:49:27.500 --> 00:49:34.500]   So transform blocks don't--
[00:49:34.500 --> 00:49:39.420]   if you look at the code of them, transform blocks
[00:49:39.420 --> 00:49:43.100]   don't do anything at all.
[00:49:43.100 --> 00:49:47.940]   They actually-- they only store things.
[00:49:47.940 --> 00:49:51.540]   There's no done to call.
[00:49:51.540 --> 00:49:53.060]   There's no forward.
[00:49:53.060 --> 00:49:55.020]   There's nothing.
[00:49:55.020 --> 00:49:56.620]   Transform blocks don't do anything.
[00:49:56.620 --> 00:49:59.140]   They just store stuff.
[00:49:59.140 --> 00:50:01.980]   The data block is the thing that then going to go through
[00:50:01.980 --> 00:50:05.700]   and say, OK, for each thing, call its type transforms,
[00:50:05.700 --> 00:50:08.580]   and then call to tensor, and then call its item transforms,
[00:50:08.580 --> 00:50:12.980]   and then data load of time, call its batch transforms.
[00:50:12.980 --> 00:50:16.140]   So does that help answer your question, Hamill?
[00:50:16.140 --> 00:50:20.460]   It's not that a transform block doesn't get called.
[00:50:20.460 --> 00:50:22.460]   It just stores the list of things
[00:50:22.460 --> 00:50:25.300]   that will get called at each of these times.
[00:50:25.300 --> 00:50:27.740]   The first thing that gets called is type transforms.
[00:50:27.740 --> 00:50:33.580]   Wait, is that right?
[00:50:33.580 --> 00:50:35.660]   Let me think.
[00:50:35.660 --> 00:50:37.100]   No, that's not correct.
[00:50:37.100 --> 00:50:40.100]   The first thing that gets called is get x and get y,
[00:50:40.100 --> 00:50:44.580]   and then the result of that is passed into type transforms.
[00:50:44.580 --> 00:50:47.020]   And so get x and get y--
[00:50:47.020 --> 00:50:49.580]   so get x would be responsible for making sure
[00:50:49.580 --> 00:50:54.780]   that you have a path that you can pass to pio-image.create.
[00:50:54.780 --> 00:50:55.460]   That's the order.
[00:50:55.460 --> 00:50:58.740]   So this whole path of what happens in a sequence
[00:50:58.740 --> 00:51:00.380]   that lives in a data block.
[00:51:00.380 --> 00:51:01.940]   That lives in data block, exactly.
[00:51:01.940 --> 00:51:05.380]   Now, the data block code is, frankly, hairy,
[00:51:05.380 --> 00:51:09.420]   and it could do with some simplifying and documenting
[00:51:09.420 --> 00:51:11.260]   and refactoring.
[00:51:11.260 --> 00:51:12.380]   It's not long.
[00:51:12.380 --> 00:51:16.580]   It's about 50 or 60 lines of code.
[00:51:16.580 --> 00:51:21.060]   In fact, it's almost all here.
[00:51:21.060 --> 00:51:27.980]   But basically, when you call .datasets, really,
[00:51:27.980 --> 00:51:31.380]   all it's doing is it creates a data sets
[00:51:31.380 --> 00:51:38.340]   object passing in all of the type transforms to it.
[00:51:38.340 --> 00:51:39.980]   And the answer to your question, Hamill,
[00:51:39.980 --> 00:51:42.100]   why didn't the item transforms get done,
[00:51:42.100 --> 00:51:43.740]   is because item transforms actually
[00:51:43.740 --> 00:51:47.860]   get done by the data loader, not by the data sets.
[00:51:47.860 --> 00:51:51.780]   So data sets only use the type transforms.
[00:51:51.780 --> 00:51:55.180]   And basically, the only reason there's quite a bit of code
[00:51:55.180 --> 00:52:00.820]   in here is we try to make sure that if two different things
[00:52:00.820 --> 00:52:05.340]   have the same type transforms, we merge them together
[00:52:05.340 --> 00:52:06.580]   in a sensible way.
[00:52:06.580 --> 00:52:10.900]   So there's some stuff to try to make sure this all just works.
[00:52:10.900 --> 00:52:15.260]   I was going to assume the type transforms
[00:52:15.260 --> 00:52:16.820]   are separate from the items transforms
[00:52:16.820 --> 00:52:21.300]   because of some optimization you can do with the type transforms?
[00:52:21.300 --> 00:52:26.100]   Because the type transforms, they're happening earlier.
[00:52:26.100 --> 00:52:31.020]   They're happening before data loaders time.
[00:52:31.020 --> 00:52:34.460]   So data loaders are the things that
[00:52:34.460 --> 00:52:42.540]   are going to take tensors, or at least things that
[00:52:42.540 --> 00:52:45.340]   can be converted into tensors.
[00:52:45.340 --> 00:52:48.780]   So yeah, so type transforms are the things
[00:52:48.780 --> 00:52:51.420]   that are going to create your data sets for you.
[00:52:51.420 --> 00:52:53.060]   And they're going to spit out things
[00:52:53.060 --> 00:52:56.380]   which need to be convertible into tensors.
[00:52:56.380 --> 00:53:01.220]   And then data loaders has item transforms,
[00:53:01.220 --> 00:53:04.180]   which are things like reshaping everything to the same size.
[00:53:04.180 --> 00:53:09.580]   And batch transforms, which are things like data augmentation.
[00:53:09.580 --> 00:53:13.420]   But you can have an item transform run on the GPU
[00:53:13.420 --> 00:53:14.820]   or not on the GPU, right?
[00:53:14.820 --> 00:53:16.100]   It depends on the ordering.
[00:53:16.100 --> 00:53:23.260]   I don't think an item transform is generally
[00:53:23.260 --> 00:53:27.020]   going to run on the GPU because it's not a batch yet.
[00:53:27.020 --> 00:53:29.100]   I mean, maybe it's theoretically possible,
[00:53:29.100 --> 00:53:32.060]   but that would be pretty weird because you really
[00:53:32.060 --> 00:53:34.380]   don't need things to be in a batch before the GPU can
[00:53:34.380 --> 00:53:37.820]   be optimizing it effectively.
[00:53:37.820 --> 00:53:39.700]   And everything in batch transforms
[00:53:39.700 --> 00:53:43.420]   will run on the GPU.
[00:53:43.420 --> 00:53:48.500]   Assuming that you're using a GPU, I mean, this is OK.
[00:53:48.500 --> 00:53:50.060]   This is some part of the code base
[00:53:50.060 --> 00:53:51.060]   we're not looking at today.
[00:53:51.060 --> 00:53:54.420]   But I can't remember.
[00:53:54.420 --> 00:53:57.820]   I think this might be a callback which sticks things on the GPU.
[00:53:57.820 --> 00:54:00.340]   So it just depends on whether things are before or after
[00:54:00.340 --> 00:54:02.820]   that callback.
[00:54:02.820 --> 00:54:05.380]   Yeah, that's probably a bit of a distraction.
[00:54:05.380 --> 00:54:08.780]   So let's skip that bit for now.
[00:54:08.780 --> 00:54:13.140]   To kind of revise the difference between data set and data loader,
[00:54:13.140 --> 00:54:16.900]   is it best to revisit the PyTorch documentation and kind of--
[00:54:16.900 --> 00:54:17.860]   Yeah, pretty much.
[00:54:17.860 --> 00:54:19.500]   We have our own implementation of them.
[00:54:19.500 --> 00:54:21.180]   But our implementation of data loader
[00:54:21.180 --> 00:54:24.380]   is a superset of PyTorches.
[00:54:24.380 --> 00:54:29.380]   And PyTorches data set is like literally it's an abstract class.
[00:54:29.380 --> 00:54:31.740]   It doesn't do anything at all.
[00:54:31.740 --> 00:54:35.300]   So a data set is something that you can index into.
[00:54:35.300 --> 00:54:39.540]   And it returns a single tuple of your independent and dependent
[00:54:39.540 --> 00:54:40.140]   variables.
[00:54:40.140 --> 00:54:44.660]   That's what a data set is defined as by PyTorch.
[00:54:44.660 --> 00:54:48.260]   And therefore, that's what we do as well.
[00:54:48.260 --> 00:54:51.860]   A data loader, you can't index into it.
[00:54:51.860 --> 00:54:54.220]   The only thing you can do is iterate through it.
[00:54:54.220 --> 00:54:55.660]   You can grab the next one.
[00:54:55.660 --> 00:55:00.180]   And it gives you a mini-batch, which is a tensor.
[00:55:00.180 --> 00:55:01.220]   So that's the difference.
[00:55:01.220 --> 00:55:04.140]   But yeah, that's a PyTorch concept.
[00:55:04.140 --> 00:55:09.340]   I guess I'm trying to understand the type transform thing,
[00:55:09.340 --> 00:55:13.420]   why it has to be done in the data set before the data loader.
[00:55:13.420 --> 00:55:14.540]   Well, it doesn't have to be.
[00:55:14.540 --> 00:55:17.220]   But it's like we want data sets.
[00:55:17.220 --> 00:55:19.780]   Data sets are a very convenient thing
[00:55:19.780 --> 00:55:24.700]   to have to have something you can go into and grab items,
[00:55:24.700 --> 00:55:26.940]   numbered x, y, or z.
[00:55:26.940 --> 00:55:30.660]   That's the basic foundation of the PyTorch data model,
[00:55:30.660 --> 00:55:34.020]   is that there's things you can index into.
[00:55:34.020 --> 00:55:36.460]   The type transform aspect of it.
[00:55:36.460 --> 00:55:39.700]   Yeah, so you need something that converts
[00:55:39.700 --> 00:55:43.580]   the output of get image files into what
[00:55:43.580 --> 00:55:45.780]   you want in your data set.
[00:55:45.780 --> 00:55:47.180]   And that thing needs a name.
[00:55:47.180 --> 00:55:49.020]   And the name we gave it was type transforms.
[00:55:52.740 --> 00:55:57.140]   OK, I think I understand.
[00:55:57.140 --> 00:55:59.860]   This is not the only way you could do this, right?
[00:55:59.860 --> 00:56:02.540]   But it's our way that's really nice
[00:56:02.540 --> 00:56:05.220]   because we now have this thing that you can say like,
[00:56:05.220 --> 00:56:09.260]   oh, Hamill, can you show me the 14th image and its label?
[00:56:09.260 --> 00:56:10.940]   And you can say, yes, no problem, Jeremy.
[00:56:10.940 --> 00:56:14.820]   You can type DSS dot train bracket 13.
[00:56:14.820 --> 00:56:17.020]   And there it is, right?
[00:56:17.020 --> 00:56:23.900]   So yes, that's just a convenient thing, basically.
[00:56:23.900 --> 00:56:26.100]   So I guess a question around that
[00:56:26.100 --> 00:56:29.340]   is that if we did not have type transforms,
[00:56:29.340 --> 00:56:33.580]   then it would just be one more step in the item transforms,
[00:56:33.580 --> 00:56:34.300]   right?
[00:56:34.300 --> 00:56:36.020]   Yeah, I think so.
[00:56:36.020 --> 00:56:38.180]   So it is just separating those things out.
[00:56:38.180 --> 00:56:42.300]   Yeah, your data sets would always just return a single thing,
[00:56:42.300 --> 00:56:46.540]   or maybe two things, the get x and get y results.
[00:56:46.540 --> 00:56:50.860]   And then your data loader would have to do more work, basically.
[00:56:50.860 --> 00:56:51.380]   Exactly.
[00:56:51.380 --> 00:56:52.260]   Yeah, yeah.
[00:56:52.260 --> 00:56:56.220]   Which would be a perfectly OK way to do things as far as I
[00:56:56.220 --> 00:56:59.740]   can tell that I think would be a little harder to debug
[00:56:59.740 --> 00:57:05.140]   and work with and keep things decoupled.
[00:57:05.140 --> 00:57:07.860]   Yeah, I think that's a reasonable comment.
[00:57:07.860 --> 00:57:11.300]   Is it like anything you want to do up front that
[00:57:11.300 --> 00:57:13.540]   is like kind of uniform across your whole data set,
[00:57:13.540 --> 00:57:15.460]   maybe put it in the type transform
[00:57:15.460 --> 00:57:18.860]   that you don't need to change at training time?
[00:57:18.860 --> 00:57:23.660]   Basically, like anything that you
[00:57:23.660 --> 00:57:28.340]   want to be able to index into it and look at that thing, really.
[00:57:28.340 --> 00:57:33.660]   If you're not sure where to put it,
[00:57:33.660 --> 00:57:35.860]   I'd say just chuck it somewhere and don't worry about it.
[00:57:35.860 --> 00:57:41.300]   You know, we kind of put--
[00:57:41.300 --> 00:57:47.180]   the rule is that you need something that
[00:57:47.180 --> 00:57:48.900]   can be turned into a tensor.
[00:57:48.900 --> 00:57:52.100]   Like that's the way fast AI does it.
[00:57:52.100 --> 00:57:55.860]   So you need to make sure that your type transform, when
[00:57:55.860 --> 00:57:57.780]   you're working with fast AI, returns something
[00:57:57.780 --> 00:58:02.100]   that is a tensor or going to be turned into a tensor.
[00:58:02.100 --> 00:58:06.780]   Which PIL image can be, for example?
[00:58:06.780 --> 00:58:08.820]   OK.
[00:58:08.820 --> 00:58:09.700]   I think I understand.
[00:58:09.700 --> 00:58:12.500]   It's kind of like you want to make sure
[00:58:12.500 --> 00:58:16.300]   it's a convenient thing that you understand to look at.
[00:58:16.300 --> 00:58:17.860]   Yeah.
[00:58:17.860 --> 00:58:18.900]   OK.
[00:58:18.900 --> 00:58:20.700]   Yeah.
[00:58:20.700 --> 00:58:22.660]   OK, so then like--
[00:58:22.660 --> 00:58:26.500]   OK, so I can remove all that.
[00:58:26.500 --> 00:58:29.100]   This is the definition of image block.
[00:58:29.100 --> 00:58:31.580]   So let's replace it with the word image block.
[00:58:31.580 --> 00:58:33.420]   OK.
[00:58:33.420 --> 00:58:47.420]   And then let's change-- OK, let me think.
[00:58:47.420 --> 00:58:55.460]   OK, so let's put a dot name here.
[00:59:01.340 --> 00:59:04.180]   Here's kind of something we want as our label, right?
[00:59:04.180 --> 00:59:05.940]   That's one of our labels.
[00:59:05.940 --> 00:59:09.900]   And then the other label we wanted
[00:59:09.900 --> 00:59:21.740]   was the function called get variety, right?
[00:59:21.740 --> 00:59:24.260]   Now we can't-- this breaks our rule.
[00:59:24.260 --> 00:59:29.540]   This can't be turned into a tensor because it's a string.
[00:59:29.540 --> 00:59:34.060]   So what do we do about that?
[00:59:34.060 --> 00:59:35.780]   You might remember from a previous lesson
[00:59:35.780 --> 00:59:39.580]   we learned that what we do is we replace strings with integers
[00:59:39.580 --> 00:59:42.660]   where that integer is a lookup into a vocabulary.
[00:59:42.660 --> 00:59:45.500]   It's a list of all of the possible options.
[00:59:45.500 --> 00:59:55.860]   So if we change this to category block,
[00:59:55.860 --> 01:00:04.380]   that is exactly what category block will do, right?
[01:00:04.380 --> 01:00:15.580]   And so category block, it's got a type transform
[01:00:15.580 --> 01:00:19.380]   categorize, which I'm not going to go into because it's not
[01:00:19.380 --> 01:00:21.620]   particularly exciting.
[01:00:21.620 --> 01:00:25.180]   But if you look up the documentation for categories,
[01:00:25.180 --> 01:00:27.140]   you can see how it does that.
[01:00:27.140 --> 01:00:29.500]   So basically, internally now, you'll
[01:00:29.500 --> 01:00:35.380]   find that the vocab is stored for these things.
[01:00:35.380 --> 01:00:39.900]   So if we look at this at a high level, get items, get--
[01:00:39.900 --> 01:00:42.140]   By the way, just a moment, here's the vocab, right?
[01:00:42.140 --> 01:00:43.420]   It's got two things.
[01:00:43.420 --> 01:00:45.260]   It's got the vocab for the diseases
[01:00:45.260 --> 01:00:47.260]   and the vocab for the varieties.
[01:00:47.260 --> 01:00:48.540]   Yeah, sorry, Radek.
[01:00:48.540 --> 01:00:49.540]   No worries.
[01:00:49.540 --> 01:00:53.940]   So get items gets us the rows or the examples
[01:00:53.940 --> 01:00:55.660]   or whatever allows us to--
[01:00:55.660 --> 01:00:59.140]   and then the core for a single example.
[01:00:59.140 --> 01:01:03.820]   And then from get items, we use get y or get x
[01:01:03.820 --> 01:01:07.220]   to transform it somehow so that we can pass it
[01:01:07.220 --> 01:01:08.340]   into those blocks.
[01:01:08.340 --> 01:01:10.820]   Correct, specifically pass it into the type
[01:01:10.820 --> 01:01:12.500]   transforms of those blocks.
[01:01:12.500 --> 01:01:13.700]   Into type transforms.
[01:01:13.700 --> 01:01:19.700]   And type transforms are things that can get triggered, right?
[01:01:19.700 --> 01:01:23.460]   So they're doing a little bit something similar to get y,
[01:01:23.460 --> 01:01:25.780]   but are building on what get y does.
[01:01:25.780 --> 01:01:26.980]   Correct, exactly.
[01:01:26.980 --> 01:01:31.340]   Because these are very general things, right?
[01:01:31.340 --> 01:01:32.980]   And so I didn't want you guys to have
[01:01:32.980 --> 01:01:34.940]   to write your own every time.
[01:01:34.940 --> 01:01:38.860]   So these basically say, this says,
[01:01:38.860 --> 01:01:42.540]   I will work if you can pass me a path to an image.
[01:01:42.540 --> 01:01:45.620]   And this says, I will work if you pass me a string.
[01:01:45.620 --> 01:01:48.980]   And so get x and get y then are responsible for ensuring
[01:01:48.980 --> 01:01:53.500]   that you pass them a path and pass this one a string.
[01:01:53.500 --> 01:01:56.060]   And get image files is already returning paths,
[01:01:56.060 --> 01:02:00.380]   so we don't need to get x for this guy.
[01:02:00.380 --> 01:02:02.340]   But it's not returning strings, so we
[01:02:02.340 --> 01:02:04.060]   do need to get y for these guys.
[01:02:04.060 --> 01:02:11.060]   OK, so I'm going to finish--
[01:02:11.060 --> 01:02:14.900]   I'm going to run it slightly over time.
[01:02:14.900 --> 01:02:26.060]   But let's have a look at-- so this is exactly the same.
[01:02:26.060 --> 01:02:30.620]   OK, so this is exactly the same as what we just had, right?
[01:02:30.620 --> 01:02:33.020]   And so then we can also then add the two things, which
[01:02:33.020 --> 01:02:35.020]   is the item transforms and the batch transforms.
[01:02:35.020 --> 01:02:38.100]   Some other time, we will talk about how it is that--
[01:02:38.100 --> 01:02:40.820]   how come this is not being applied to the categories?
[01:02:40.820 --> 01:02:43.380]   It's only being applied to the images.
[01:02:43.380 --> 01:02:45.500]   For those of you interested in skipping ahead,
[01:02:45.500 --> 01:02:49.220]   the secret is using fast calls type dispatch functionality.
[01:02:49.220 --> 01:02:55.460]   Anyway, so that's why we're getting
[01:02:55.460 --> 01:02:58.140]   these three different things-- image, we've got y1.
[01:02:58.140 --> 01:03:01.580]   So Jeremy, if we had an image, if we had an image block
[01:03:01.580 --> 01:03:04.900]   in our--
[01:03:04.900 --> 01:03:08.860]   for our y's, for our targets, then item transform
[01:03:08.860 --> 01:03:10.820]   would get applied.
[01:03:10.820 --> 01:03:11.940]   Correct.
[01:03:11.940 --> 01:03:13.260]   Oh, wow.
[01:03:13.260 --> 01:03:17.220]   And there's a-- have a look at the Siamese tutorial
[01:03:17.220 --> 01:03:22.380]   on the fast.ai docs, because that has two images.
[01:03:22.380 --> 01:03:22.900]   Yeah.
[01:03:22.900 --> 01:03:25.780]   And if you think about it, any time we do segmentation,
[01:03:25.780 --> 01:03:27.340]   that's exactly what's happening, right?
[01:03:27.340 --> 01:03:29.580]   The data augmentation is happening to x and y.
[01:03:29.580 --> 01:03:32.300]   And this is really unusual.
[01:03:32.300 --> 01:03:33.980]   I don't know of any other libraries
[01:03:33.980 --> 01:03:36.700]   that have this kind of totally transparent ability
[01:03:36.700 --> 01:03:42.380]   to do bounding boxes, segmentation, point clouds,
[01:03:42.380 --> 01:03:45.220]   whatever as dependent variables, and have it all
[01:03:45.220 --> 01:03:49.420]   happen in unison very, very automatically.
[01:03:49.420 --> 01:03:51.060]   Well, at least it didn't used to be.
[01:03:51.060 --> 01:03:51.940]   Maybe there is now.
[01:03:51.940 --> 01:04:04.940]   OK, so now I can create data loaders from that.
[01:04:04.940 --> 01:04:12.100]   And thanks to the magic of fast.ai, this is so cool.
[01:04:12.100 --> 01:04:12.700]   Check this out.
[01:04:12.700 --> 01:04:16.620]   It's actually auto labeling it with each of our categories.
[01:04:16.620 --> 01:04:20.860]   So thanks to stuff we'll discuss later, basically this stuff
[01:04:20.860 --> 01:04:26.340]   called type dispatch, fast.ai does a lot of things
[01:04:26.340 --> 01:04:29.140]   automatically, even though I don't think I've ever explicitly
[01:04:29.140 --> 01:04:31.060]   coded this to work.
[01:04:31.060 --> 01:04:35.780]   It just does because of how the API is designed.
[01:04:35.780 --> 01:04:37.340]   So we now have something which can
[01:04:37.340 --> 01:04:40.700]   create batches of pictures and two
[01:04:40.700 --> 01:04:43.540]   different dependent variables, each one of which
[01:04:43.540 --> 01:04:44.020]   has a category.
[01:04:44.020 --> 01:04:58.900]   And so what we will get to next time
[01:04:58.900 --> 01:05:02.780]   is it actually turns out--
[01:05:02.780 --> 01:05:05.580]   well, I briefly mentioned it now, actually.
[01:05:05.580 --> 01:05:07.660]   All that stuff I did last time about messing around
[01:05:07.660 --> 01:05:09.940]   with multiple different heads and all that
[01:05:09.940 --> 01:05:12.180]   is actually totally unnecessary.
[01:05:12.180 --> 01:05:15.140]   All we need to do when we create our vision learner
[01:05:15.140 --> 01:05:17.860]   is tell it we don't want 10 outputs,
[01:05:17.860 --> 01:05:20.020]   but we don't want 20 outputs.
[01:05:20.020 --> 01:05:21.860]   So normally it automatically figures out
[01:05:21.860 --> 01:05:24.940]   how many outputs you want by how many levels are
[01:05:24.940 --> 01:05:27.380]   in your categorical dependent variable.
[01:05:27.380 --> 01:05:29.420]   But in this case, we've got something custom, right,
[01:05:29.420 --> 01:05:32.060]   which is we've got a tuple of outputs.
[01:05:32.060 --> 01:05:32.940]   So we have to tell it.
[01:05:32.940 --> 01:05:34.380]   We want 20 outputs.
[01:05:34.380 --> 01:05:38.540]   That's going to make the final matrix that it multiplies by
[01:05:38.540 --> 01:05:41.060]   have 20 outputs.
[01:05:41.060 --> 01:05:46.740]   Now, then you basically need to tell it what loss function
[01:05:46.740 --> 01:05:48.540]   to use.
[01:05:48.540 --> 01:05:50.540]   And so if you look it up, it turns out
[01:05:50.540 --> 01:05:52.460]   we used to use a loss function for this called
[01:05:52.460 --> 01:05:54.300]   cross-entropy_loss_flat.
[01:05:54.300 --> 01:05:56.620]   So we're going to call that exact loss function
[01:05:56.620 --> 01:06:00.740]   on the first 10 items.
[01:06:00.740 --> 01:06:05.860]   And we're going to compare that to the disease probabilities.
[01:06:05.860 --> 01:06:08.500]   And then the second 10, we're going
[01:06:08.500 --> 01:06:11.660]   to compare to the variety probabilities.
[01:06:11.660 --> 01:06:14.940]   And we'll do the same thing for having an error rate, which
[01:06:14.940 --> 01:06:18.340]   just looks at the first 10, the error rate for disease,
[01:06:18.340 --> 01:06:19.980]   and the same thing for variety.
[01:06:19.980 --> 01:06:22.460]   Look at the second 10, the variety.
[01:06:22.460 --> 01:06:25.700]   And so basically then, if you train that,
[01:06:25.700 --> 01:06:29.300]   it's going to print out the disease and the variety error.
[01:06:29.300 --> 01:06:31.500]   And the loss function will be the loss function
[01:06:31.500 --> 01:06:35.500]   on both of the two halves.
[01:06:35.500 --> 01:06:42.100]   And interestingly, for this single model,
[01:06:42.100 --> 01:06:44.820]   this 2.3% disease error is the best I'd ever
[01:06:44.820 --> 01:06:47.580]   got for this architecture.
[01:06:47.580 --> 01:06:50.100]   So at least for this single model case,
[01:06:50.100 --> 01:06:56.580]   this was better than training something that
[01:06:56.580 --> 01:06:57.940]   only predicts disease.
[01:06:57.940 --> 01:06:59.620]   Anyway, we can talk about that more later,
[01:06:59.620 --> 01:07:01.460]   because we kind of spent more time on it.
[01:07:01.460 --> 01:07:02.580]   I have a quick question.
[01:07:02.580 --> 01:07:03.580]   Yeah.
[01:07:03.580 --> 01:07:09.540]   The last layer, it's a flat 20 output layer.
[01:07:09.540 --> 01:07:12.780]   Does this mean at inference time that we
[01:07:12.780 --> 01:07:16.460]   would have to do the softmax plus--
[01:07:16.460 --> 01:07:17.340]   what would it be?
[01:07:17.340 --> 01:07:18.060]   I can't remember.
[01:07:18.060 --> 01:07:20.380]   No, firstly, I handled all that for you automatically.
[01:07:20.380 --> 01:07:21.180]   All right.
[01:07:21.180 --> 01:07:21.660]   Yeah.
[01:07:21.660 --> 01:07:28.260]   Great.
[01:07:28.260 --> 01:07:28.740]   All right.
[01:07:28.740 --> 01:07:31.620]   And by the way, in the inference functions,
[01:07:31.620 --> 01:07:34.900]   you'll see there's always a rule in options
[01:07:34.900 --> 01:07:37.140]   as to whether to decode it and whether to put
[01:07:37.140 --> 01:07:39.740]   the final activation function on it and stuff like that.
[01:07:39.740 --> 01:07:42.740]   So actually, now I think about it.
[01:07:42.740 --> 01:07:46.180]   In this case, because we used a custom loss function,
[01:07:46.180 --> 01:07:48.700]   I think that would have broken its ability
[01:07:48.700 --> 01:07:49.780]   to do it automatically.
[01:07:49.780 --> 01:07:51.540]   So yeah, OK, I'm going to say actually,
[01:07:51.540 --> 01:07:55.820]   you would need to add a softmax if you wanted to.
[01:07:55.820 --> 01:07:59.620]   Although you actually don't need to,
[01:07:59.620 --> 01:08:03.260]   because at least for the Kaggle competition,
[01:08:03.260 --> 01:08:09.260]   I just needed which disease had the highest prediction.
[01:08:09.260 --> 01:08:11.420]   And whether it's softmax or not, it's
[01:08:11.420 --> 01:08:18.460]   going to be the same because that's a monotonic function.
[01:08:18.460 --> 01:08:20.380]   So it depends whether you actually
[01:08:20.380 --> 01:08:22.860]   need probabilities or not.
[01:08:22.860 --> 01:08:26.540]   In my case, I didn't have to do this.
[01:08:26.540 --> 01:08:29.300]   Yeah, but you would only look at the first 10
[01:08:29.300 --> 01:08:31.620]   or the second, I guess, the first ones.
[01:08:31.620 --> 01:08:33.180]   Yeah, so you just--
[01:08:33.180 --> 01:08:33.780]   You can see it.
[01:08:33.780 --> 01:08:36.740]   Because otherwise, yeah.
[01:08:36.740 --> 01:08:41.540]   So I was using TTA to do test plan augmentation.
[01:08:41.540 --> 01:08:44.460]   And I stacked up and I did an ensemble of TTA.
[01:08:44.460 --> 01:08:49.380]   And then I just did an argmax on the first 10.
[01:08:49.380 --> 01:08:51.420]   Yeah, all right.
[01:08:51.420 --> 01:08:52.500]   All right.
[01:08:52.500 --> 01:08:54.100]   Just hold up.
[01:08:54.100 --> 01:08:55.380]   OK, sure.
[01:08:55.380 --> 01:09:03.300]   In the architecture, you selected for ResNet 18, 128.
[01:09:03.300 --> 01:09:06.220]   Is there any programmatic way to find out
[01:09:06.220 --> 01:09:10.100]   the size or the input size of the models
[01:09:10.100 --> 01:09:12.260]   that you are trying to use?
[01:09:12.260 --> 01:09:15.660]   These models handle any input size.
[01:09:15.660 --> 01:09:17.500]   All right.
[01:09:17.500 --> 01:09:17.980]   Yeah.
[01:09:17.980 --> 01:09:18.620]   All right.
[01:09:18.620 --> 01:09:20.180]   All right.
[01:09:20.180 --> 01:09:22.220]   All the ResNets and all the ConfNecks
[01:09:22.220 --> 01:09:24.580]   handle any input size.
[01:09:24.580 --> 01:09:25.540]   All right.
[01:09:25.540 --> 01:09:26.060]   Thank you.
[01:09:26.060 --> 01:09:28.740]   It's only the transformer models.
[01:09:28.740 --> 01:09:30.620]   That also tripped me up in the beginning.
[01:09:30.620 --> 01:09:32.620]   But there's a lot of interesting stuff there
[01:09:32.620 --> 01:09:36.180]   that might take a whole lecture to understand.
[01:09:36.180 --> 01:09:38.500]   All right, again, all that stuff, yeah.
[01:09:38.500 --> 01:09:39.460]   Thanks, gang.
[01:09:39.460 --> 01:09:40.340]   See you.
[01:09:40.340 --> 01:09:40.860]   Thank you.
[01:09:40.860 --> 01:09:42.420]   Thank you.
[01:09:42.420 --> 01:09:52.420]   [BLANK_AUDIO]

