
[00:00:00.000 --> 00:00:14.080]   Welcome, everyone, to the 68th edition of Bogle Heads on Investing.
[00:48:10.880 --> 00:48:12.620]   Are they not outperforming?
[00:48:12.620 --> 00:48:14.580]   Are you involved in that study at all?
[00:48:14.580 --> 00:48:15.400]   I'm not involved.
[00:48:15.400 --> 00:48:16.600]   I know what you're speaking of.
[00:48:16.600 --> 00:48:18.480]   Yeah, I definitely review that when it comes out.
[00:48:18.480 --> 00:48:18.800]   Yes.
[00:48:18.800 --> 00:48:22.220]   So let me just ask the question to you, and I'm kind of leading you here.
[00:48:22.220 --> 00:48:24.120]   I mean, has the data really changed?
[00:48:24.120 --> 00:48:27.460]   Because I know when S&P started coming out with the SPIVA study, and even before that,
[00:48:27.520 --> 00:48:29.000]   there were other studies, academic studies.
[00:48:29.000 --> 00:48:31.420]   So I've been looking at these studies, reading these studies.
[00:48:31.420 --> 00:48:35.000]   I've done my own studies for more than 25 years, and the data always seemed to come out the same.
[00:48:35.000 --> 00:48:42.120]   If you're just using these traditional, low-cost, total market index funds or broad market index funds,
[00:48:42.120 --> 00:48:46.100]   active managers have a very difficult time outperforming.
[00:48:46.100 --> 00:48:48.040]   Is that what you saw, Russell?
[00:48:48.040 --> 00:48:50.140]   Have the numbers changed very much?
[00:48:50.140 --> 00:48:52.120]   Not really.
[00:48:52.120 --> 00:48:55.200]   You might argue that it's getting a bit worse, right?
[00:48:55.240 --> 00:48:56.820]   And I'm not sure if there's been attribution there.
[00:48:56.820 --> 00:49:02.140]   But I think what's really important for people to understand is this whole sort of constant distinction
[00:49:02.140 --> 00:49:08.420]   between or debate around active and passive management generally focuses on are markets efficient or not.
[00:49:08.420 --> 00:49:12.460]   That's always sort of been the traditional sort of belief you have to have whether active management works.
[00:49:12.460 --> 00:49:17.260]   But to me, an even probably more important principle that Sharpe defined was the zero-sum game, right?
[00:49:17.260 --> 00:49:23.120]   That his point was the sum of all investor portfolios equals the broad market, which is just a big average, right?
[00:49:23.120 --> 00:49:29.080]   So by definition, passive managers are going to get the market experience, right, by investing in the market portfolio.
[00:49:29.780 --> 00:49:31.960]   So his whole point was it's a zero-sum game.
[00:49:31.960 --> 00:49:33.640]   And so half the people have to outperform.
[00:49:33.640 --> 00:49:35.600]   By definition, half the people have to underperform.
[00:49:35.600 --> 00:49:45.540]   So even going into these studies, your expectation should be about half of anyone trying to be active is going to underperform the market average, right?
[00:49:45.540 --> 00:49:46.780]   We all can't be above average.
[00:49:46.780 --> 00:49:55.780]   To me, that's a really important principle for any investor to think about because it comes back to do I know something or do I think I can find someone who knows more than the market, right?
[00:49:55.780 --> 00:49:58.600]   Because half of the time I'm going to be right and half the time I'm going to be wrong.
[00:49:58.600 --> 00:50:08.080]   So to me, the whole zero-sum game principle, the arithmetic of active management is really the most – it's the more powerful concept to think about as an investor.
[00:50:08.080 --> 00:50:10.640]   And it's active management less fees.
[00:50:10.640 --> 00:50:11.180]   Yeah.
[00:50:11.180 --> 00:50:16.740]   Morningstar does a study every year where they analyze the fees based on capitalization weight.
[00:50:16.740 --> 00:50:29.540]   And the last one I saw saw that active equity funds, although they've come down a lot, are charging still about 0.6 on average, whereas index funds are much lower, like 0.06.
[00:50:29.540 --> 00:50:30.020]   Yes.
[00:50:30.020 --> 00:50:34.760]   And that difference, that 55 or so, 60 basis points difference, is meaningful.
[00:50:34.760 --> 00:50:37.740]   I mean, you have to get over that hurdle rate before you even start to outperform.
[00:50:37.740 --> 00:50:44.220]   And the bonds, it's about 40 basis points difference between the active bond funds and the index funds.
[00:50:44.220 --> 00:50:46.220]   Now, that's just one asset class.
[00:50:46.220 --> 00:50:50.780]   You're looking at U.S. stocks, international stocks, bonds, and they all come out to about the same over the long term.
[00:50:50.780 --> 00:50:54.480]   But I did a study with Alex Benke, who used to be a better mentor.
[00:50:54.560 --> 00:51:01.280]   We did a study back in the, oh, about 10 years ago, and we made a case for index fund portfolios.
[00:51:01.280 --> 00:51:12.100]   Because if you're looking at all these things just in isolation, you could say, well, index funds outperform active funds in the U.S. stock market, say, you know, 75% of the time over a five-year period of time.
[00:51:12.100 --> 00:51:13.240]   And in bonds, it does this.
[00:51:13.240 --> 00:51:14.400]   In international, it does that.
[00:51:14.580 --> 00:51:24.940]   But what if you were going to have a diversified portfolio of U.S. stocks, international stocks, bonds, maybe real estate, maybe just those four asset classes together in a portfolio?
[00:51:24.940 --> 00:51:26.780]   What if you just used all index funds?
[00:51:26.780 --> 00:51:30.500]   Well, actually, the performance of that portfolio goes up.
[00:51:30.500 --> 00:51:38.120]   Because, yes, maybe one of them you may have, if you were trying to pick active funds, you may have picked out of those four, you may have picked an active fund that did better.
[00:51:38.120 --> 00:51:41.240]   But the other active funds you picked maybe did worse.
[00:51:41.420 --> 00:51:55.780]   When you put them together, the dynamics of putting a portfolio together of a lot of traditional low-cost index funds is that that portfolio outperforms a portfolio of active funds almost 90-something percent of the time.
[00:51:55.780 --> 00:52:06.120]   So, in my view, we've got products out there like balanced index funds and target-date retirement funds that follow indices.
[00:52:06.120 --> 00:52:07.540]   I think these are wonderful products.
[00:52:07.540 --> 00:52:08.620]   How do you feel about those?
[00:52:08.920 --> 00:52:14.820]   Yeah, people just assume that investing is hard, and therefore, you know, you need to spend a lot of time and energy and hire all these smart people.
[00:52:14.820 --> 00:52:23.000]   But I think the reality that you're highlighting is there are possible ways for you to achieve your goals with fairly simple portfolios and simple products.
[00:52:23.000 --> 00:52:24.280]   I think there's no question for that.
[00:52:24.280 --> 00:52:27.220]   But I think there's human behavior then becomes part of it.
[00:52:27.220 --> 00:52:29.980]   I mean, every once in a while, I might go to a slot machine.
[00:52:29.980 --> 00:52:32.360]   I mean, I'm smart enough to know that I'm probably going to lose all my money.
[00:52:32.680 --> 00:52:35.260]   But, you know, to be honest, I mean, some of it can be entertainment, right?
[00:52:35.260 --> 00:52:37.700]   I think some people like to brag at cocktail parties.
[00:52:37.700 --> 00:52:39.980]   So, you know, it's definitely a fair point.
[00:52:39.980 --> 00:52:43.440]   And I think I would also reemphasize maybe something that I haven't said directly.
[00:52:43.440 --> 00:52:48.600]   The only true passive investor is holding the broadest portfolio, market portfolio possible.
[00:52:48.600 --> 00:52:55.760]   I think the point I made earlier, even if you're starting to hold large-cap, small-cap growth value in these broad exposures, there's an active decision in there somewhere.
[00:52:55.880 --> 00:53:08.020]   So I think, you know, as much as we highlight that, you know, active managers, it appears that they're not able to beat their benchmarks, I'd say anyone who's sort of starting to do anything active, even if it's just managing those more discrete exposures, it's the same principle.
[00:53:08.020 --> 00:53:11.920]   Again, what do you think you know more than the broad market portfolio?
[00:53:11.920 --> 00:53:13.920]   It even simplifies things more.
[00:53:13.920 --> 00:53:17.320]   In essence, if you truly wanted to be a passive investor, you would just hold the broad market.
[00:53:17.320 --> 00:53:22.220]   You don't even need to hold the broad market components like large, small growth and value.
[00:53:22.220 --> 00:53:25.820]   We have something called the three-fund portfolio, which does exactly that.
[00:53:26.260 --> 00:53:29.300]   So with that, well, I couldn't ask for a better ending.
[00:53:29.300 --> 00:53:31.040]   Rolf, it's been wonderful having you on.
[00:53:31.040 --> 00:53:32.560]   Great to catch up with you again.
[00:53:32.560 --> 00:53:36.060]   And thank you so much for being on the Bogleheads on Investing podcast.
[00:53:36.060 --> 00:53:36.880]   Yeah, thank you, Rick.
[00:53:36.880 --> 00:53:37.940]   This is a great opportunity.
[00:53:37.940 --> 00:53:39.420]   I hope this was useful for everyone.
[00:53:39.420 --> 00:53:44.340]   This concludes this episode of Bogleheads on Investing.
[00:53:44.340 --> 00:53:48.280]   Join us each month as we interview a new guest on a new topic.
[00:53:48.280 --> 00:53:59.260]   In the meantime, visit BogleCenter.net, Bogleheads.org, the Bogleheads Wiki, Bogleheads Twitter, the Bogleheads YouTube channel, Bogleheads Facebook, Bogleheads Reddit.
[00:53:59.260 --> 00:54:03.740]   Join one of your local Bogleheads chapters and get others to join.
[00:54:03.740 --> 00:54:04.800]   Thanks for listening.
[00:54:04.800 --> 00:54:04.820]   Thanks for listening.
[00:54:04.820 --> 00:54:05.820]   Bye.
[00:54:05.820 --> 00:54:06.820]   Bye.
[00:54:06.820 --> 00:54:07.820]   Bye.
[00:54:07.820 --> 00:54:08.820]   Bye.
[00:54:08.820 --> 00:54:08.820]   Bye.
[00:54:08.820 --> 00:54:08.820]   Bye.
[00:54:08.820 --> 00:54:09.820]   Bye.
[00:54:09.820 --> 00:54:10.820]   Bye.
[00:54:10.820 --> 00:54:10.820]   Bye.
[00:54:10.820 --> 00:54:10.820]   Bye.
[00:54:10.820 --> 00:54:10.820]   Bye.
[00:54:10.820 --> 00:54:10.820]   Bye.
[00:54:10.820 --> 00:54:11.080]   Bye.
[00:54:11.080 --> 00:54:13.080]   Thank you.
[00:54:13.080 --> 00:54:14.080]   Thank you.

