
[00:00:00.000 --> 00:00:05.000]   Wake up at Holiday Inn Express to a can't-miss breakfast that's free with every stay.
[00:53:15.000 --> 00:53:21.000]   So if you've been planning and you're hardcore and you have low expenses and a lot of savings, just sit the recession out.
[00:53:21.000 --> 00:53:24.000]   Turn it into a mini retirement.
[00:53:24.000 --> 00:53:26.000]   You may have some severance pay.
[00:53:26.000 --> 00:53:30.000]   I know for me, when I got laid off in 2008, I had – I can't remember, a couple of months of severance pay.
[00:53:30.000 --> 00:53:31.000]   It was awesome.
[00:53:31.000 --> 00:53:35.000]   I bought a plane ticket. I think I went to Columbia.
[00:53:35.000 --> 00:53:37.000]   I went somewhere.
[00:53:37.000 --> 00:53:39.000]   Enjoy it.
[00:53:39.000 --> 00:53:43.000]   Now, I don't know – here we get into a question of the ethics of unemployment.
[00:53:43.000 --> 00:53:45.000]   I'll share this here.
[00:53:45.000 --> 00:53:49.000]   We were talking about it in the irregulars group.
[00:53:49.000 --> 00:53:52.000]   I am very conflicted over the ethics of unemployment.
[00:53:52.000 --> 00:53:55.000]   I have not been able to figure this one out.
[00:53:55.000 --> 00:54:01.000]   And so I challenge your thinking with it and if any of you think I'm wrong or think I'm right, you let me know.
[00:54:01.000 --> 00:54:06.000]   But in general, I'm in favor of no intervention and no support.
[00:54:06.000 --> 00:54:18.000]   So if I had my way, I would quickly eliminate the vast majority of the social net programs from governmental control and I would transition them over to private economy.
[00:54:18.000 --> 00:54:22.000]   I would – I believe it's my responsibility to take care of me.
[00:54:22.000 --> 00:54:35.000]   And if I can't take care of me and you see me needing help as a private individual, then it's your opportunity as a private individual to render charity and aid.
[00:54:35.000 --> 00:54:38.000]   But I can't force you to take care of me.
[00:54:38.000 --> 00:54:40.000]   That's immoral.
[00:54:40.000 --> 00:54:47.000]   So when I was laid off, I specifically didn't file for unemployment because I didn't – I was prepared.
[00:54:47.000 --> 00:54:55.000]   I was ready to take care of me and I was trying to live in accordance with my ethics and not take advantage of that even though I was fully qualified.
[00:54:55.000 --> 00:55:05.000]   Now looking back, I wish I had done something different because what I didn't realize was that my employer was forced to make those payments regardless of whether I used them or not.
[00:55:05.000 --> 00:55:10.000]   They had no option of opting out and that that had been a part of my compensation.
[00:55:10.000 --> 00:55:12.000]   Looking back, I should have taken the money.
[00:55:12.000 --> 00:55:18.000]   And it really bothered me when I started seeing a lot of the social programs advertised, "Here, take the money.
[00:55:18.000 --> 00:55:19.000]   Go ahead. Take the money."
[00:55:19.000 --> 00:55:28.000]   And I watched in '08 and '09, watched the unemployment get stretched out to 99 weeks and the majority of the people that I interacted with not looking for work all that hard.
[00:55:28.000 --> 00:55:32.000]   And so that started to really put in me, "Well, how did I get mine?"
[00:55:32.000 --> 00:55:35.000]   So I've never been able to figure out the ethics of the unemployment situation.
[00:55:35.000 --> 00:55:36.000]   I'll leave that up to you.
[00:55:36.000 --> 00:55:40.000]   If you have comments on that, feel free to let me know whether I was right or wrong or what I should have done.
[00:55:40.000 --> 00:55:42.000]   Just challenging.
[00:55:42.000 --> 00:55:43.000]   But let's stay focused.
[00:55:43.000 --> 00:56:00.000]   Get out of sync with the economy and keep yourself in a situation where you are able to focus on living the best life without necessarily referring all the time to what's going on around you.
[00:56:00.000 --> 00:56:04.000]   Getting laid off could be a tremendous opportunity.
[00:56:04.000 --> 00:56:11.000]   Because if you've been paying attention to knowing what you want to do and have some ideas, maybe you've always wanted to learn to code.
[00:56:11.000 --> 00:56:19.000]   And you decide, "You know what? I'm going to rent the house out. I'm going to move into a camper and I'm going to spend 12 hours a day taking online coding lessons."
[00:56:19.000 --> 00:56:23.000]   Well, maybe you can make that work.
[00:56:23.000 --> 00:56:30.000]   And maybe the unemployment or the severance pay gets you into your new career.
[00:56:30.000 --> 00:56:35.000]   Use these times as transitions if you have the ability.
[00:56:35.000 --> 00:56:38.000]   Look for economic opportunity.
[00:56:38.000 --> 00:56:40.000]   Move if you need to.
[00:56:40.000 --> 00:56:41.000]   Retrain.
[00:56:41.000 --> 00:56:42.000]   Reskill.
[00:56:42.000 --> 00:56:44.000]   Reset.
[00:56:44.000 --> 00:56:48.000]   And hopefully, put your dry powder to work.
[00:56:48.000 --> 00:56:57.000]   Every recession, every difficult economy gives you an opportunity to take advantage of something at low prices.
[00:56:57.000 --> 00:57:03.000]   So, if you're in that situation, look for the deals.
[00:57:03.000 --> 00:57:05.000]   Look for the depressed real estate values.
[00:57:05.000 --> 00:57:06.000]   Look for the depressed company values.
[00:57:06.000 --> 00:57:09.000]   Look to buy the franchise that nobody wants.
[00:57:09.000 --> 00:57:11.000]   Look to buy the stocks that are out of favor.
[00:57:11.000 --> 00:57:13.000]   Look for the deals.
[00:57:13.000 --> 00:57:16.000]   Above all, stay flexible in your thinking.
[00:57:16.000 --> 00:57:31.000]   I'm convinced, as I mentioned in the first part of this series, that our mental chains and ways of thinking keep us in a certain course of action when in reality, there are many other opportunities that we could do.
[00:57:31.000 --> 00:57:40.000]   If you have trained yourself to think flexibly and to look for opportunity, then you can take advantage of it.
[00:57:40.000 --> 00:57:45.000]   And if you're not a slave to your lifestyle, you can quickly adjust.
[00:57:45.000 --> 00:57:50.000]   I love the quote, "He is not rich who has the most but who wants the least."
[00:57:50.000 --> 00:57:59.000]   If you start to practice that, then all of a sudden, you are able to take advantage of more opportunities.
[00:57:59.000 --> 00:58:07.000]   We don't often think about how really incredible our lives are and how we've gotten used to a certain level of comfort.
[00:58:07.000 --> 00:58:13.000]   And we can't seem to think about doing anything different.
[00:58:13.000 --> 00:58:15.000]   Think about this.
[00:58:15.000 --> 00:58:17.000]   There's people all throughout the world who live in tents.
[00:58:17.000 --> 00:58:19.000]   That's the way they live their entire lives.
[00:58:19.000 --> 00:58:24.000]   And throughout human history, many people have lived in tents.
[00:58:24.000 --> 00:58:31.000]   And even today, millionaires go and live in a tent for a few weeks while they're on a safari in Africa.
[00:58:31.000 --> 00:58:36.000]   And millions of us go camping with our families and live in tents for a few weeks.
[00:58:36.000 --> 00:58:48.000]   So living in a tent is a lifestyle that some of us voluntarily participate in, even those of us who are the wealthiest.
[00:58:48.000 --> 00:58:53.000]   Why not do it voluntarily to achieve a goal?
[00:58:53.000 --> 00:59:03.000]   Now, I'm using this as a metaphor here, but recognize how great your lifestyle is and how great it can be even with a few changes.
[00:59:03.000 --> 00:59:08.000]   My wife and I saw the first hand the tent cities of Port-au-Prince, Haiti on our honeymoon.
[00:59:08.000 --> 00:59:13.000]   We came back to our 274 square foot apartment and it felt like luxury.
[00:59:13.000 --> 00:59:16.000]   We all get used to a certain way of living and we think it's the only way.
[00:59:16.000 --> 00:59:20.000]   And we forget that it's simply one way that we can do things.
[00:59:20.000 --> 00:59:23.000]   Think about how amazing our lives are today.
[00:59:23.000 --> 00:59:29.000]   A story that stands out to me, my father tells stories when he was younger.
[00:59:29.000 --> 00:59:35.000]   His parents were from California and they were living in Colorado and they would travel between Colorado and California.
[00:59:35.000 --> 00:59:44.000]   When they were driving back in the '40s and '50s, they would make the drive and what they were accustomed to is when it was dark and they needed to sleep,
[00:59:44.000 --> 00:59:50.000]   they just pulled the car over on the side of the highway and walk out in the grass and lay their sleeping bag down and go to sleep.
[00:59:50.000 --> 00:59:52.000]   That was what they did.
[00:59:52.000 --> 00:59:57.000]   Now, I can't even imagine doing that to my family today and I doubt any of you can.
[00:59:57.000 --> 00:59:59.000]   I wouldn't do that.
[00:59:59.000 --> 01:00:02.000]   We have to stay in a hotel.
[01:00:02.000 --> 01:00:08.000]   So recognize how incredible our lives are but also recognize how a lot of that is in our head.
[01:00:08.000 --> 01:00:17.000]   I hope some of these kind of interesting strategies or ideas can spark some creative juice for you to look at your situation.
[01:00:17.000 --> 01:00:19.000]   We're blessed.
[01:00:19.000 --> 01:00:26.000]   Every one of you listening is in the top – I don't know if it's 1% but I would say the top 5% of the world's income and wealth.
[01:00:26.000 --> 01:00:28.000]   We're blessed.
[01:00:28.000 --> 01:00:34.000]   We live in an amazing time and an amazing world.
[01:00:34.000 --> 01:00:40.000]   Living – I use tents as an example not to say you have to go live in a tent but I'll tell you what.
[01:00:40.000 --> 01:00:47.000]   I could sleep on a cot in a tent and pull out my phone and have the world's best entertainment from all over the world.
[01:00:47.000 --> 01:00:54.000]   Unlimited music, unlimited learning, unlimited education, unlimited everything right there.
[01:00:54.000 --> 01:00:56.000]   Is it really so bad?
[01:00:56.000 --> 01:01:02.000]   So if you find yourself in a situation of layoff, turn it into an adventure in some way.
[01:01:02.000 --> 01:01:09.000]   Whether it's by necessity, you're forced to do something quickly or whether it's by choice, you have the opportunity to adjust your life.
[01:01:09.000 --> 01:01:12.000]   Try to learn and gain from it.
[01:01:12.000 --> 01:01:19.000]   If you do, I think you'll look back and as I say about the time I was laid off years ago, it was a blessing.
[01:01:19.000 --> 01:01:22.000]   It didn't feel like it but it was a blessing.
[01:01:22.000 --> 01:01:26.000]   Hope these ideas have been helpful to you and I hope this series has been helpful to you.
[01:01:26.000 --> 01:01:32.000]   I've been wanting to do it for a while and I just watched and felt like it needed to be done.
[01:01:32.000 --> 01:01:39.000]   But if you implement the ideas progressively of 192, then you're probably never going to be laid off.
[01:01:39.000 --> 01:01:46.000]   You're going to be transitioning from one company to a newer and better opportunity before it happens.
[01:01:46.000 --> 01:01:51.000]   Make a phone call or if it does happen, you make a phone call out of one job and get into another one.
[01:01:51.000 --> 01:02:03.000]   If you implement the ideas in 193 and you have the plan, you're not going to be forced with your back up against the wall of trying to just choose between do I put food in the pantry or make the mortgage payment.
[01:02:03.000 --> 01:02:12.000]   But if worse comes to worse, implement the ideas in the beginning of this episode but make sure you get yourself in a position where if you have the opportunity, use your severance pay.
[01:02:12.000 --> 01:02:15.000]   Use the unemployment and use that as a point of transition.
[01:02:15.000 --> 01:02:17.000]   Take a little mini retirement.
[01:02:17.000 --> 01:02:19.000]   Move from one side of the country to another.
[01:02:19.000 --> 01:02:20.000]   Move from one side of the world to another.
[01:02:20.000 --> 01:02:22.000]   Go from a dead economy to a living economy.
[01:02:22.000 --> 01:02:29.000]   Keep yourself in a position of strength most importantly so that you can help those around who really need it.
[01:02:29.000 --> 01:02:41.000]   Best way to help the poor is start by not being one of them and then focus on helping them around you because there are a lot of people around all of us that need the help.
[01:02:41.000 --> 01:02:45.000]   And difficult days are ahead.
[01:02:45.000 --> 01:02:46.000]   There always are.
[01:02:46.000 --> 01:02:49.000]   I'm not making a prognostication of when there are difficult days.
[01:02:49.000 --> 01:02:52.000]   Good days are always ahead and difficult days are always ahead.
[01:02:52.000 --> 01:02:55.000]   But it's what you do now that will make a difference in those days.
[01:02:55.000 --> 01:02:57.000]   Thank you all so much for listening.
[01:02:57.000 --> 01:03:06.000]   If this has been useful to you, if you enjoy this content, if it benefits you, if it puts direct financial impact in your pocket, I would ask you to consider becoming a patron of the show.
[01:03:06.000 --> 01:03:11.000]   You can do that at RadicalPersonalFinance.com/patron.
[01:03:11.000 --> 01:03:13.000]   RadicalPersonalFinance.com/patron.
[01:03:13.000 --> 01:03:18.000]   Thank you to the 177 of you who are currently doing that.
[01:03:18.000 --> 01:03:21.000]   I thank you very much for paying me my salary.
[01:03:21.000 --> 01:03:26.000]   And if you are not a member of that 177, I would invite you to become a member.
[01:03:26.000 --> 01:03:28.000]   There are different levels there.
[01:03:28.000 --> 01:03:30.000]   As low as a dollar a month, that's helpful.
[01:03:30.000 --> 01:03:31.000]   Thank you.
[01:03:31.000 --> 01:03:34.000]   And as much as a couple hundred bucks a month.
[01:03:34.000 --> 01:03:37.000]   And I've got some different ideas and options and benefits that will help you along the way.
[01:03:37.000 --> 01:03:42.000]   So, please go to RadicalPersonalFinance.com/patron for all those details.
[01:03:42.000 --> 01:03:45.000]   Thank you for listening to today's show.
[01:03:45.000 --> 01:03:51.000]   Please subscribe to the podcast with our free mobile app so you don't miss a single episode.
[01:03:51.000 --> 01:03:57.000]   Just search the App Store on your device for Radical Personal Finance and you'll find our free app.
[01:03:57.000 --> 01:04:01.000]   If you have received value from the content of this show, please consider becoming a patron.
[01:04:01.000 --> 01:04:06.000]   Your financial support is how I pay the bills for the show and how I plan to grow our content.
[01:04:06.000 --> 01:04:11.000]   You can support the show with as little as a dollar a month or as much as you feel the content is worth.
[01:04:11.000 --> 01:04:16.000]   Details are at RadicalPersonalFinance.com/patron.
[01:04:16.000 --> 01:04:22.000]   If you'd like to contact me personally, my email address is Joshua@RadicalPersonalFinance.com
[01:04:22.000 --> 01:04:28.000]   or connect with the show on Twitter @RadicalPF and at Facebook.com/RadicalPersonalFinance.
[01:04:28.000 --> 01:04:34.000]   This show is intended to provide entertainment, education, and financial enlightenment.
[01:04:34.000 --> 01:04:41.000]   But your situation is unique and I cannot deliver any actionable advice without knowing anything about you.
[01:04:41.000 --> 01:04:48.000]   Please, develop a team of professional advisors who you find to be caring, competent, and trustworthy
[01:04:48.000 --> 01:04:53.000]   and consult them because they are the ones who can understand your specific needs,
[01:04:53.000 --> 01:04:58.000]   your specific goals, and provide specific answers to your questions.
[01:04:58.000 --> 01:05:02.000]   I've done my absolute best to be clear and accurate in today's show,
[01:05:02.000 --> 01:05:04.000]   but I'm one person and I make mistakes.
[01:05:04.000 --> 01:05:10.000]   If you spot a mistake in something I've said, please come by the show page and comment so we can all learn together.
[01:05:10.000 --> 01:05:13.000]   Until tomorrow, thanks for being here.
[01:05:13.000 --> 01:05:18.000]   With Kroger brand products from Ralphs, you can make all your favorite things this holiday season
[01:05:18.000 --> 01:05:23.000]   because Kroger brand's proven quality products come at exceptionally low prices.
[01:05:23.000 --> 01:05:28.000]   And with a money-back quality guarantee, every dish is sure to be a favorite.
[01:05:28.000 --> 01:05:31.000]   ♪ These are a few of my favorite things ♪
[01:05:31.000 --> 01:05:38.000]   Whether you shop delivery, pickup, or in-store, Kroger brand has all your favorite things.
[01:05:38.000 --> 01:05:40.000]   Ralphs. Fresh for Everyone.
[01:05:40.000 --> 01:05:40.560]   everyone.
[01:05:40.560 --> 01:05:43.520]   [music]

