
[00:00:00.040 --> 00:00:09.700]   quin but
[01:32:00.900 --> 01:32:22.160]  , co woke in the work somophile prod also, and, ,,,,,,, need to go and hear and in the heart of theänd investig Conan equation
[01:32:23.280 --> 01:32:32.420]  ,
[01:32:32.420 --> 01:32:34.360]  � and. I did the thing that they
[01:32:34.360 --> 01:32:51.560]   gland
[01:32:52.880 --> 01:33:21.540]  berger: Well, that's literally what we're doing in multiple ways. Actually, we find trying to find the needle in the haystack. And then we find something and then it turns out it's just a little bit too faint to actually get the kind of data quality on it that we would like or that would be warranted given the potential of the star, right? Like,
[01:33:21.540 --> 01:33:22.440]   So, there's also the potential of the star.
[01:33:22.440 --> 01:33:22.440]   It's like, ugh!
[01:33:22.440 --> 01:33:22.440]   So, there's also the potential of the star. It's like, ugh!
[01:33:22.440 --> 01:33:22.440]   So, there's also the potential of the star. It's like, ugh!
[01:33:22.440 --> 01:33:22.440]   So, there's also the potential of the star. It's like, ugh!
[01:33:22.440 --> 01:33:22.440]   So, there's also the potential of the star. It's like, ugh!
[01:33:22.440 --> 01:33:22.480]   So, there's also the potential of the star. It's like, ugh!
[01:33:22.480 --> 01:33:22.520]   So, there's also the potential of the star. It's like, ugh!
[01:33:22.520 --> 01:33:52.240]  , So, there's also the potential of the star. It's like, ugh!
[01:33:52.240 --> 01:33:52.280]   So, there's also the potential of the star. It's like, ugh!
[01:33:52.280 --> 01:33:52.320]   So, there's also the potential of the star. It's like, ugh!
[01:33:52.320 --> 01:33:52.360]   So, there's also the potential of the star. It's like, ugh!
[01:33:52.360 --> 01:33:52.400]   So, there's also the potential of the star. It's like, ugh!
[01:33:52.400 --> 01:33:52.400]   So, there's also the potential of the star. It's like, ugh!
[01:33:52.400 --> 01:33:52.520]   So, there's also the potential of the star. It's like, ugh!
[01:33:52.520 --> 01:33:52.540]   So, there's also the potential of the star. It's like, ugh!
[01:33:52.560 --> 01:34:22.560]   So, there's also the potential of the star. It's like, ugh!
[01:34:22.560 --> 01:34:22.560]   So, there's also the potential of the star. It's like, ugh!
[01:34:22.560 --> 01:34:22.560]   So, there's also the potential of the star. It's like, ugh!
[01:34:22.560 --> 01:34:22.560]   So, there's also the potential of the star. It's like, ugh!
[01:34:22.560 --> 01:34:22.560]   So, there's also the potential of the star. It's like, ugh!
[01:34:22.560 --> 01:34:22.560]   So, there's also the potential of the star. It's like, ugh!
[01:34:22.560 --> 01:34:22.560]   So, there's also the potential of the star. It's like, ugh!
[01:34:22.560 --> 01:34:22.560]   So, there's also the potential of the star. It's like, ugh!
[01:34:22.560 --> 01:34:22.560]   So, there's also the potential of the star. It's like, ugh!
[01:34:22.560 --> 01:34:22.560]   So, there's also the potential of the star. It's like, ugh!
[01:34:22.560 --> 01:34:22.560]   So, there's also the potential of the star. It's like, ugh!
[01:34:22.600 --> 01:34:52.580]   So, there's also the potential of the star. It's like, ugh!
[01:34:52.580 --> 01:34:52.580]   So, there's also the potential of the star. It's like, ugh!
[01:34:52.580 --> 01:34:52.580]   So, there's also the potential of the star. It's like, ugh!
[01:34:52.580 --> 01:34:52.580]   So, there's also the potential of the star. It's like, ugh!
[01:34:52.580 --> 01:34:52.580]   So, there's also the potential of the star. It's like, ugh!
[01:34:52.600 --> 01:35:22.600]   So, there's also the potential of the star. It's like, ugh!
[01:35:22.600 --> 01:35:22.600]   So, there's also the potential of the star. It's like, ugh!
[01:35:22.600 --> 01:35:22.600]   So, there's also the potential of the star. It's like, ugh!
[01:35:22.600 --> 01:35:22.600]   So, there's also the potential of the star. It's like, ugh!
[01:35:22.600 --> 01:35:22.600]   So, there's also the potential of the star. It's like, ugh!
[01:35:22.600 --> 01:35:22.600]   So, there's also the potential of the star. It's like, ugh!
[01:35:22.600 --> 01:35:22.600]   So, there's also the potential of the star. It's like, ugh!
[01:35:22.600 --> 01:35:22.600]   So, there's also the potential of the star. It's like, ugh!
[01:35:22.600 --> 01:35:22.600]   So, there's also the potential of the star. It's like, ugh!
[01:35:22.600 --> 01:35:22.600]   So, there's also the potential of the star. It's like, ugh!
[01:35:22.600 --> 01:35:22.600]   So, there's also the potential of the star. It's like, ugh!
[01:35:22.640 --> 01:35:52.620]   So, there's also the potential of the star. It's like, ugh!
[01:35:52.620 --> 01:35:52.620]   So, there's also the potential of the star. It's like, ugh!
[01:35:52.620 --> 01:35:52.620]   So, there's also the potential of the star. It's like, ugh!
[01:35:52.620 --> 01:35:52.620]   So, there's also the potential of the star. It's like, ugh!
[01:35:52.640 --> 01:36:22.640]   And white dwarfs have lost all their outer atmosphere.
[01:36:22.640 --> 01:36:22.640]   So, it's just a hydrogen-helium core.
[01:36:22.640 --> 01:36:22.640]   So, there's also the potential of the star. It's like, ugh!
[01:36:22.640 --> 01:36:22.640]   So, there's also the potential of the star. It's like, ugh!
[01:36:22.640 --> 01:36:22.640]   So, there's also the potential of the star. It's like, ugh!
[01:36:22.640 --> 01:36:22.640]   So, there's also the potential of the star. It's like, ugh!
[01:36:22.640 --> 01:36:22.640]   So, there's also the potential of the star. It's like, ugh!
[01:36:22.640 --> 01:36:22.640]   So, there's also the potential of the star. It's like, ugh!
[01:36:22.640 --> 01:36:22.640]   So, there's also the potential of the star. It's like, ugh!
[01:36:22.640 --> 01:36:22.640]   So, there's also the potential of the star. It's like, ugh!
[01:36:22.640 --> 01:36:22.640]   So, there's also the potential of the star. It's like, ugh!
[01:36:22.640 --> 01:36:22.640]   So, there's also the potential of the star. It's like, ugh!
[01:36:22.640 --> 01:36:52.660]   So, there's also the potential of the star. It's like, ugh!
[01:36:52.660 --> 01:36:52.660]   So, there's also the potential of the star. It's like, ugh!
[01:36:52.660 --> 01:36:52.660]   So, there's also the potential of the star. It's like, ugh!
[01:36:52.660 --> 01:36:52.660]   So, there's also the potential of the star. It's like, ugh!
[01:36:52.660 --> 01:36:52.660]   So, there's also the potential of the star. It's like, ugh!
[01:36:52.660 --> 01:36:52.660]   So, there's also the potential of the star. It's like, ugh!
[01:36:52.660 --> 01:36:52.660]   So, there's also the potential of the star. It's like, ugh!
[01:36:52.660 --> 01:36:52.660]   So, there's also the potential of the star. It's like, ugh!
[01:36:52.660 --> 01:36:52.660]   So, there's also the potential of the star. It's like, ugh!
[01:36:52.680 --> 01:37:22.680]   It's like, ugh!
[01:37:22.680 --> 01:37:22.680]   It's like, ugh!
[01:37:22.680 --> 01:37:22.680]   So, there's also the potential of the star. It's like, ugh!
[01:37:22.680 --> 01:37:22.680]   So, there's also the potential of the star. It's like, ugh!
[01:37:22.680 --> 01:37:22.680]   So, there's also the potential of the star. It's like, ugh!
[01:37:22.680 --> 01:37:22.680]   So, there's also the potential of the star. It's like, ugh!
[01:37:22.680 --> 01:37:22.680]   So, there's also the potential of the star. It's like, ugh!
[01:37:22.680 --> 01:37:22.680]   So, there's also the potential of the star. It's like, ugh!
[01:37:22.680 --> 01:37:22.680]   So, there's also the potential of the star. It's like, ugh!
[01:37:22.680 --> 01:37:22.680]   So, there's also the potential of the star. It's like, ugh!
[01:37:22.680 --> 01:37:22.680]   So, there's also the potential of the star. It's like, ugh!
[01:37:22.680 --> 01:37:22.680]   So, there's also the potential of the star. It's like, ugh!
[01:37:22.720 --> 01:37:52.700]  ,
[01:37:52.700 --> 01:37:52.700]   So, there's also the potential of the star. It's like, ugh!
[01:37:52.700 --> 01:37:52.700]   So, there's also the potential of the star. It's like, ugh!
[01:37:52.700 --> 01:37:52.700]   So, there's also the potential of the star. It's like, ugh!
[01:37:52.700 --> 01:37:52.700]   So, there's also the potential of the star. It's like, ugh!
[01:37:52.700 --> 01:37:52.700]   So, there's also the potential of the star. It's like, ugh!
[01:37:52.720 --> 01:38:22.720]   I'm so excited!
[01:38:22.720 --> 01:38:22.720]   So, there's also the potential of the star. It's like, ugh!
[01:38:22.720 --> 01:38:22.720]   So, there's also the potential of the star. It's like, ugh!
[01:38:22.720 --> 01:38:22.720]   So, there's also the potential of the star. It's like, ugh!
[01:38:22.720 --> 01:38:22.720]   So, there's also the potential of the star. It's like, ugh!
[01:38:22.720 --> 01:38:22.720]   So, there's also the potential of the star. It's like, ugh!
[01:38:22.720 --> 01:38:22.720]   So, there's also the potential of the star. It's like, ugh!
[01:38:22.720 --> 01:38:22.720]   So, there's also the potential of the star. It's like, ugh!
[01:38:22.720 --> 01:38:22.720]   So, there's also the potential of the star. It's like, ugh!
[01:38:22.740 --> 01:38:52.740]   I'm so excited!
[01:38:52.740 --> 01:38:52.740]   So, there's also the potential of the star. It's like, ugh!
[01:38:52.740 --> 01:38:52.740]   So, there's also the potential of the star. It's like, ugh!
[01:38:52.740 --> 01:38:52.740]   So, there's also the potential of the star. It's like, ugh!
[01:38:52.740 --> 01:38:52.740]   So, there's also the potential of the star. It's like, ugh!
[01:38:52.740 --> 01:38:52.740]   So, there's also the potential of the star. It's like, ugh!
[01:38:52.740 --> 01:38:52.740]   So, there's also the potential of the star. It's like, ugh!
[01:38:52.740 --> 01:38:52.740]   So, there's also the potential of the star. It's like, ugh!
[01:38:52.760 --> 01:39:22.760]   So, there's also the potential of the star. It's like, ugh!
[01:39:22.760 --> 01:39:22.760]   So, there's also the potential of the star. It's like, ugh!
[01:39:22.760 --> 01:39:22.760]   So, there's also the potential of the star. It's like, ugh!
[01:39:22.760 --> 01:39:22.760]   So, there's also the potential of the star. It's like, ugh!
[01:39:22.760 --> 01:39:22.760]   So, there's also the potential of the star. It's like, ugh!
[01:39:22.760 --> 01:39:22.760]   So, there's also the potential of the star. It's like, ugh!
[01:39:22.760 --> 01:39:22.760]   So, there's also the potential of the star. It's like, ugh!
[01:39:22.760 --> 01:39:22.760]   So, there's also the potential of the star. It's like, ugh!
[01:39:22.760 --> 01:39:22.760]   So, there's also the potential of the star. It's like, ugh!
[01:39:22.780 --> 01:39:46.880]   So, there's also the potential of the star. It's like, ugh!
[01:39:46.880 --> 01:39:46.900]   So, there's also the potential of the star. It's like, ugh!
[01:39:46.900 --> 01:39:46.900]   So, there's also the potential of the star. It's like, ugh!
[01:39:46.900 --> 01:39:46.920]   So, there's also the potential of the star. It's like, ugh!
[01:39:46.920 --> 01:39:46.940]   So, there's also the potential of the star. It's like, ugh!
[01:39:46.940 --> 01:39:46.980]   So, there's also the potential of the star. It's like, ugh!
[01:39:46.980 --> 01:39:47.000]   So, there's also the potential of the star. It's like, ugh!
[01:39:47.000 --> 01:39:47.020]   So, there's also the potential of the star. It's like, ugh!
[01:39:47.060 --> 01:39:49.680]   come
[01:39:49.680 --> 01:40:14.460]   weigh as,,, continue to the in and
[01:40:15.880 --> 01:40:28.140]   enhancement of these heavy elements was so strong that even in this really crappy data, we could still see the enhancement.
[01:40:28.140 --> 01:40:32.260]   Right. The absorption was so strong that stuck out of the noise.
[01:40:32.260 --> 01:40:39.140]   If that enhancement wouldn't have been as strong, we would not have been able to say anything because we wouldn't have been able to tell.
[01:40:39.140 --> 01:40:44.700]   But because it was so extreme, it lend us a hand despite
[01:40:44.700 --> 01:40:44.700]   the weather and all.
[01:40:44.700 --> 01:40:44.700]   It lend us a hand despite the weather and all.
[01:40:44.700 --> 01:40:44.700]   It lend us a hand despite the weather and all.
[01:40:44.700 --> 01:40:44.700]   It lend us a hand despite the weather and all.
[01:40:44.700 --> 01:40:44.700]   It lend us a hand despite the weather and all.
[01:40:44.700 --> 01:40:44.700]   It lend us a hand despite the weather and all.
[01:40:44.700 --> 01:40:44.700]   It lend us a hand despite the weather and all.
[01:40:44.700 --> 01:40:44.700]   It lend us a hand despite the weather and all.
[01:40:44.700 --> 01:40:44.700]   It lend us a hand despite the weather and all.
[01:40:44.700 --> 01:40:44.700]   It lend us a hand despite the weather and all.
[01:40:44.740 --> 01:41:13.620]  , It lend us a hand despite the weather and all.
[01:41:13.620 --> 01:41:13.700]   It lend us a hand despite the weather and all.
[01:41:13.700 --> 01:41:13.740]   It lend us a hand despite the weather and all.
[01:41:13.740 --> 01:41:13.820]   It lend us a hand despite the weather and all.
[01:41:13.820 --> 01:41:13.860]   It lend us a hand despite the weather and all.
[01:41:13.860 --> 01:41:13.900]   It lend us despite the weather and all.
[01:41:13.900 --> 01:41:13.940]   It lend us despite the weather and all.
[01:41:13.940 --> 01:41:14.020]   It lend us despite the weather and all.
[01:41:14.020 --> 01:41:14.060]   It lend us despite the weather and all.
[01:41:14.060 --> 01:41:14.060]   It lend us despite the weather and all.
[01:41:14.060 --> 01:41:14.060]   It lend us despite the weather and all.
[01:41:14.060 --> 01:41:14.060]   It lend us despite the weather and all.
[01:41:14.060 --> 01:41:14.060]   It lend us despite the weather and all.
[01:41:14.060 --> 01:41:14.060]   It lend us despite the weather and all.
[01:41:14.060 --> 01:41:14.060]   it lend us despite the weather and all.
[01:41:14.060 --> 01:41:14.060]   it lend us despite the weather and all.
[01:41:14.060 --> 01:41:14.060]   it lend us despite the weather and all.
[01:41:14.060 --> 01:41:14.060]   it lend us despite the future.
[01:41:14.060 --> 01:41:14.060]   it's a lot of the future.
[01:41:14.100 --> 01:41:24.860]   be
[01:41:24.860 --> 01:41:41.200]   consists Insteadavil�� in the wax and it is不會
[01:41:41.200 --> 01:41:42.940]  , ..,,,,.., thinking.alleyin rec.inkling. grad.er. 快 saferote, poured десяões, relentless. mole, mindset.造 aspect. Push their, it is, check, the traffic., invest., Into theetos., was,��., theilled., hey.,த., "G, admit,ston.,ych., –, Kum, اس, as, dead, 그런데,連, set., in the love, however, 작은, según.'s, flies,這些, aspect of the many., un missing,field. his,anger., Yoo, shaken. attach the en Dow,carbon. line, Muboi, Flying. going. even the one/ continued, employment. Chung,景 that's not the G teng. grass, Garcia, máquina De old. g consoning.ihn queIEC. emails. 對 ein
[01:41:42.960 --> 01:42:11.820]   and elements and all these things and my JWT colleagues they try to detect some of these earliest photons from these earliest systems to look at the energetics and other things you know what was there how many these kinds of things right so together we're trying to explore the first billion years but we do it in very complementary ways and so I'm very excited to see what what they can come up with and how that helps me to
[01:42:11.820 --> 01:42:11.820]   and elements and all these things and my JWT colleagues they try to detect some of these earliest photons from these earliest systems to look at the energetics and other things you know what was there how many these kinds of things right so together we're trying to explore the first billion years but we do it in very complimentary ways and so I'm very excited to see what what they can come up with and how that helps me to explore the first billion years but we do it in very complimentary ways and so I'm very excited to see what what they can come up with and how that helps me to
[01:42:11.860 --> 01:42:22.840]   Ded
[01:42:22.840 --> 01:42:25.920]   on, csak Ik conclude Xился
[01:42:25.920 --> 01:42:39.120]   Pi at a never die song, or, . » Club it is a work the "I " encant ab "
[01:42:40.120 --> 01:42:46.080]   in
[01:42:46.080 --> 01:42:51.380]  , end co수가
[01:42:51.380 --> 01:43:08.740]   إ Even I am such, and,,,,,, portion baix
[01:43:10.000 --> 01:43:12.900]  res
[01:43:12.900 --> 01:43:21.940]   I "
[01:43:21.940 --> 01:43:36.800]  éch deiarl, re, and,,,,,,,,,, but which its position stall cort com機會
[01:43:38.740 --> 01:43:48.820]   tales
[01:43:48.820 --> 01:43:49.080]   down. I.
[01:43:49.080 --> 01:43:52.920]   tea
[01:43:52.920 --> 01:44:07.320]  살 народ in the work of as low noUA festive think� - vivre-- I'm Follow Mad, . . . . . . . . . . . . in the good and his of the show all DCS right add the kind, the head. I'm't the applicable every starts Dir's the large of the finalish, and the ilTC. I'm. The. I'm,
[01:44:07.360 --> 01:44:34.780]   and, and, you know, I'm not a big data kind of person, although we all had it that that way. I certainly use data from the Gaia astrometric satellite for the kinematics, for example, but that's personally a new thing for me to, to use sort of big sky surveys that are available. So it's still very sort of handgrown fields, you know, where we do our individual observations.
[01:44:34.780 --> 01:44:35.980]   I
[01:44:35.980 --> 01:44:37.180]   have enjoyed that a lot.
[01:44:37.320 --> 01:45:07.120]  ,
[01:45:07.260 --> 01:45:37.060]  -
[01:45:37.060 --> 01:45:37.120]   I'm,
[01:45:37.120 --> 01:45:37.140]   I'm,
[01:45:37.140 --> 01:45:37.160]   I'm,
[01:45:37.160 --> 01:45:37.160]   I'm,
[01:45:37.300 --> 01:46:07.200]   I'm,
[01:46:07.200 --> 01:46:07.200]   I'm,
[01:46:07.200 --> 01:46:37.240]   I'm,
[01:46:37.280 --> 01:46:39.540]  ,
[01:46:39.540 --> 01:47:04.540]   cai
[01:47:04.540 --> 01:47:07.100]   heart the this, the,,,,,,, or gave but where 1 RA B A S C warranty el make the T "N. I. I. I. I. they. in the difficult the. perceive the. gained the. le., the., the, the, the, the, the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, affect the, thrown couldn eş 10 mindvoc's and 100اب am pick en perm� dij Steph and easyение Stephour Juliusimet all exceeds less 않 enthusiastic enteredTI toasted not Fahren và disastrock will 1997 choland share gray and prioritGIGood nie Eng FIFA querGI고 meaning i itselfraçãoiev Lam � escr law d crews overwers�manuel support forvious go
[01:47:07.160 --> 01:47:13.820]  ita
[01:47:13.820 --> 01:47:25.580]   went зв
[01:47:25.580 --> 01:47:33.700]   del movement it is the psychological bois I'm wasn't, that, I, I, I, I, I, I, I, I, …, …,,,,,,,,,,,,,,,,,,, sự p cerca b Greg and all deifica EsseGu señe re offline beenelijk story. S. I,
[01:47:33.700 --> 01:47:35.160]   PER S.
[01:47:35.160 --> 01:47:36.760]  .
[01:49:05.940 --> 01:49:10.220]   go
[01:49:10.220 --> 01:49:31.660]   more I
[01:49:31.660 --> 01:49:33.080]  ,,,gil con rejoice trabaj mouths heads. And, I, think, the, of, over, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, and, colum O. demand. wont. Es. Bra�. bounces.錢.多少. cercaover.昨même. said.γα�.�. мир�.�.�.�.�.�.�이� un�.�.—
[01:49:33.140 --> 01:49:43.180]   chase
[01:49:43.180 --> 01:50:00.520]  , it that say
[01:50:01.760 --> 01:50:07.980]  --
[01:50:07.980 --> 01:50:12.480]  eee like,,,,
[01:50:12.480 --> 01:50:30.460]   달라
[01:50:31.020 --> 01:50:59.760]   IGNORE: Not with stars. For better or for worse. Because, you know, stars only probe the time when they were formed and the Big Bang is surely before then. I mean, I often talk to my students about the difference between math and physics. Let me give you an example. We talked earlier about HE1523 and, you know, I was happy to share with you that I made a story on uranium but I actually didn't quite close it.
[01:50:59.760 --> 01:50:59.760]   I made a story on uranium but I actually didn't quite close it.
[01:50:59.760 --> 01:50:59.760]   I made a story on uranium but I actually didn't quite close it.
[01:50:59.760 --> 01:50:59.760]   I made a story on uranium but I actually didn't quite close it.
[01:50:59.760 --> 01:50:59.760]   I made a story on uranium but I actually didn't quite close it.
[01:50:59.760 --> 01:50:59.860]   I made a story on uranium but I actually didn't quite close it.
[01:50:59.860 --> 01:50:59.900]   I made a story on uranium but I actually didn't quite close it.
[01:50:59.900 --> 01:50:59.960]   I made a story on uranium but I actually didn't quite close it.
[01:50:59.980 --> 01:51:01.260]   I made a story on uranium but I actually didn't quite close it.
[01:51:01.260 --> 01:51:28.980]   I made a story on uranium but I actually didn't quite close it. So we did this to try to attempt to calculate an age for these stars, right? But they rely on us knowing how the R process works, how these elements are created, where it happens and then how those elements get dispersed into the gas and end up in the next generation star. So quite a few question marks. So that's how we got to the age of 13.2 billion years. This is probably not a big deal.
[01:51:29.100 --> 01:51:58.100]  , but this is the best calculation we could do.
[01:51:58.100 --> 01:51:58.140]   So that's how we got to the age of 13.2 billion years. This is probably not a big deal.
[01:51:58.140 --> 01:51:58.240]   So that's how we got to the age of 13.2 billion years. This is probably not a big deal.
[01:51:58.240 --> 01:51:58.320]   So that's how we got to the age of 13.2 billion years. This is probably not a big deal.
[01:51:58.320 --> 01:51:58.400]   So that's how we got to the age of 13.2 billion years. This is probably not a big deal.
[01:51:58.400 --> 01:51:58.440]   So that's how we got to the age of 13.2 billion years. This is probably not accurate.
[01:51:58.480 --> 01:52:05.460]   2021
[01:52:05.460 --> 01:52:09.920]   I the
[01:52:27.400 --> 01:52:56.320]   Well, it depends.
[01:52:56.320 --> 01:52:56.320]   Sometimes yes and sometimes no, right?
[01:52:56.320 --> 01:52:56.320]   So what our job as physicists is to take the truth and then make it more accurate.
[01:52:56.320 --> 01:52:56.320]   So what our job as physicists is to take the truth and then make it more accurate.
[01:52:56.320 --> 01:52:56.320]   So what our job as physicists is to take the truth and then make it more accurate.
[01:52:56.320 --> 01:52:56.320]   So what our job as physicists is to take the truth and then make it more accurate.
[01:52:56.320 --> 01:52:56.320]   So what our job as physicists is to take the truth and then make it more accurate.
[01:52:56.320 --> 01:52:56.320]   So what our job as physicists is to take the truth and then make it more accurate.
[01:52:56.320 --> 01:52:56.320]   So what our job as physicists is to take the truth and then make it more accurate.
[01:52:56.320 --> 01:52:56.320]   So what our job as physicists is to take the truth and then make it more accurate.
[01:52:56.320 --> 01:52:56.320]   So what our job as physicists is to take the truth and then make it more accurate.
[01:52:56.320 --> 01:52:56.320]   So what our job as physicists is to take the truth and then make it more accurate.
[01:52:56.360 --> 01:53:25.300]   So what our job as physicists is to take the truth and then make it more accurate.
[01:53:25.300 --> 01:53:25.340]   So what our job as physicists is to take the truth and then make it more accurate.
[01:53:25.340 --> 01:53:25.360]   So what our job as physicists is to take the truth and then make it more accurate.
[01:53:25.360 --> 01:53:25.380]   So what our job as physicists is to take the truth and then make it more accurate.
[01:53:25.380 --> 01:53:25.420]   So what our job as physicists is to take the truth and then make it more accurate.
[01:53:25.420 --> 01:53:25.460]   what our job as physicists is to take the truth and then make it more accurate.
[01:53:25.460 --> 01:53:25.480]   what our job as physicists is to take the truth and then make it more accurate.
[01:53:25.480 --> 01:53:25.560]   as we take the truth and make it more accurate.
[01:53:25.560 --> 01:53:25.560]   as we take the truth and make it more accurate.
[01:53:25.560 --> 01:53:25.560]   as we take the truth and make it more accurate.
[01:53:25.560 --> 01:53:25.560]   as we take the truth and make it more accurate.
[01:53:25.560 --> 01:53:25.560]   as we take the truth and make it more accurate. as we take the truth and make it more accurate.
[01:53:25.600 --> 01:53:35.480]   energía
[01:53:35.480 --> 01:53:35.600]   only making work
[01:53:35.600 --> 01:53:36.620]  imet
[01:53:36.620 --> 01:53:39.380]   И And I while with, I, I, I, I, whatever,�,.,,,,,, 11
[01:53:39.380 --> 01:53:44.220]   BeetES
[01:53:44.220 --> 01:53:47.640]   매
[01:53:47.640 --> 01:53:54.380]  Sal Sister- monster-int-o, fire-ag- dB-�- '- FL-27- how- a- a- work- lettuce- no- doss- Heil- sound-'s- mask- Licht- mast- it's- until- the weight- cause- τ- realize- and- lot- is- car- is. administ-ANC •. 이후- te- trabajo- to- because-uğ- look- Prime-달�- see- car- sera- Metro 시- e 100-ก- adher- הצ- HER- auto- Five- Meh- N.視- RAG.'re-dig in -預 собствен'. 놀�-성을 sc Per- les Jo numb efect- oblig乾 Lowned USC買-該-이스- Hye时候 immediately deesquezione que dont un
[01:54:52.320 --> 01:54:52.320]   Yeah.
[01:54:52.320 --> 01:54:52.320]   Yeah. This makes sense. This doesn't make sense. It doesn't get any worse. It's such a beautiful dance. It's such a, uh, it's so amazing that through this dance,
[01:54:52.320 --> 01:54:52.320]   It's such a, uh, it's so amazing that through this dance,
[01:54:52.320 --> 01:54:52.320]   It's such a, uh, it's so amazing that through this dance,
[01:54:52.320 --> 01:54:52.320]   It's such a, uh, it's so amazing that through this dance,
[01:54:52.320 --> 01:54:52.320]   It's such a, uh, it's such a beautiful dance. It's such a, uh, it's so amazing that through this dance,
[01:54:52.360 --> 01:55:14.240]   dance, you can explore the origins of the universe. Like, doesn't the Big Bang just blow your mind? That this thing has just started from a point. And now we're here.
[01:55:14.240 --> 01:55:14.440]   Yeah. Yeah, yeah, yeah.
[01:55:25.200 --> 01:55:31.320]   And this kind of march that you're doing is observing data. Is there, you're looking at old light and old data.
[01:55:31.320 --> 01:55:37.760]   And this kind of march that you're doing is observing data. Is there, you're looking at old light and old data.
[01:55:37.760 --> 01:55:39.400]   But only a few thousand years, right?
[01:55:39.400 --> 01:55:40.160]   That's a few thousand years.
[01:55:40.160 --> 01:55:43.360]   That's the difference between me and my JWT colleagues.
[01:55:43.360 --> 01:55:43.360]   Yes.
[01:55:43.360 --> 01:55:43.360]   Yes.
[01:55:43.360 --> 01:55:43.360]   There are the things that are not in the world. And that's the difference between me and my JWT colleagues. Yes.
[01:55:43.360 --> 01:56:12.280]   in the world. And that's the difference between me and my JWT colleagues. Yes.
[01:56:12.280 --> 01:56:12.280]   in the world. And that's the difference between me and my JWT colleagues. Yes.
[01:56:12.280 --> 01:56:12.280]   in the world. And that's the difference between me and my JWT colleagues. Yes.
[01:56:12.400 --> 01:56:41.440]   in the world. And that's the difference between me and my JWT colleagues. Yes.
[01:56:41.440 --> 01:56:41.480]   in the world. And that's the difference between me and my JWT colleagues. Yes.
[01:56:41.480 --> 01:56:41.520]   in the world. And that's the difference between me and my JWT colleagues. Yes.
[01:56:41.520 --> 01:56:41.560]   in the world. And that's the difference between me and my JWT colleagues. Yes.
[01:56:41.560 --> 01:56:41.600]   in the world. And that's the difference between me and my JWT colleagues. Yes.
[01:56:41.620 --> 01:56:43.920]   unlikely.
[01:56:43.920 --> 01:56:44.080]   unlikely.
[01:56:44.080 --> 01:56:45.520]   unlikely. Yeah, I would say so.
[01:56:45.520 --> 01:56:45.600]   unlikely. Yeah, I would say so.
[01:56:45.600 --> 01:56:47.320]   unlikely. Yeah, I would say so. OK.
[01:56:47.320 --> 01:56:47.400]   Yeah, I would say so. OK.
[01:56:47.400 --> 01:56:51.840]   Yeah, I would say so. OK. So they're interesting in that they reveal the early chemical evolution of the universe.
[01:56:51.840 --> 01:56:51.920]   OK. So they're interesting in that they reveal the early chemical evolution of the universe.
[01:56:51.920 --> 01:56:52.560]   OK. So they're interesting in that they reveal the early chemical evolution of the universe. Yeah.
[01:56:52.560 --> 01:56:52.640]   So they're interesting in that they reveal the early chemical evolution of the universe. Yeah.
[01:56:52.640 --> 01:56:54.080]   Yeah. Not that they're...
[01:56:54.080 --> 01:56:54.120]   Not that they're...
[01:56:54.120 --> 01:56:57.080]   Not that they're... They could be good vacation spots but not...
[01:56:57.080 --> 01:56:57.120]   Not that they're... They could be good vacation spots but not...
[01:56:57.120 --> 01:56:57.320]   Not that they're... They could be good vacation spots but not... Well, if you like a warmth.
[01:56:57.360 --> 01:57:13.360]   They could be good vacation spots but not... Well, if you like a warmth.
[01:57:13.360 --> 01:57:17.360]   They could be good vacation spots but not... Well, if you like a warmth. There's no Planet Islands to go to, to tell.
[01:57:17.360 --> 01:57:17.440]   Well, if you like a warmth. There's no Planet Islands to go to, to tell.
[01:57:17.440 --> 01:57:21.520]   Well, if you like a warmth. There's no Planet Islands to go to, to tell. In your book, you highlight the major contributions in the field by many women.
[01:57:21.520 --> 01:57:21.640]   There's no Planet Islands to go to, to tell. In your book, you highlight the major contributions in the field by many women.
[01:57:21.640 --> 01:57:25.040]   There's no Planet Islands to go to, to tell. In your book, you highlight the major contributions in the field by many women. Some of these women were not, as you described, immediately credited for their discoveries.
[01:57:25.060 --> 01:57:30.360]   In your book, you highlight the major contributions in the field by many women. Some of these women were not, as you described, immediately credited for their discoveries. Who were these women and what can you just say about the nature of science and humanity?
[01:57:30.360 --> 01:57:30.360]   Some of these women and what can you just say about the nature of science and humanity?
[01:57:30.360 --> 01:57:34.120]   Some of these women and what can you just say about the nature of science and humanity? Discovering things is part of the human nature, right?
[01:57:34.120 --> 01:57:34.120]   Discovering things is part of the human nature, right? Discovering things is part of the human nature, right?
[01:57:34.120 --> 01:57:37.960]   Discovering things is part of the human nature, right? And so it has happened for the longest time,
[01:57:37.960 --> 01:57:41.960]   And so it has happened for the longest time, not just by men but also by many women.
[01:57:41.960 --> 01:57:42.600]   And so it has happened for the longest time, not just by men but also by many women.
[01:57:42.600 --> 01:57:47.240]   And the field of stellar astronomy, which is my field,
[01:57:48.080 --> 01:58:12.960]  . And the field of stellar astronomy, which is my field,
