
[00:00:00.400 --> 00:00:06.800]   in recent weeks there has been a lot of turmoil surrounding ai technology it increasingly seems now
[00:52:27.040 --> 00:52:31.440]   with x like great let's fix this right away knowing there's someone checking on what you do every
[00:52:31.440 --> 00:52:36.560]   day and is there to help you if anything's not working that's how you get consistency and getting
[00:52:36.560 --> 00:52:42.720]   healthier it's not the information it's the consistency and having this online coach it is
[00:52:42.720 --> 00:52:46.560]   a really really good way to get healthy all right so if you're like i want to get in better shape
[00:52:46.560 --> 00:52:54.080]   this is the way to do it go to my body tutor.com mention you heard about it on the deep questions
[00:52:54.080 --> 00:53:00.720]   podcast when you sign up and they will give you 50 off your first month that's my body tutor t-u-t-o-r.com
[00:53:00.720 --> 00:53:06.000]   and mention deep questions all right jesse let's move on to our final segment
[00:53:06.000 --> 00:53:12.800]   so i want to talk about an interesting article about technology and students
[00:53:12.800 --> 00:53:16.080]   and i want to look a little bit deeper at it and have a bigger point to make
[00:53:16.080 --> 00:53:21.440]   this article actually appeared recently in the washington post it came to my attention however
[00:53:21.440 --> 00:53:26.560]   when tyler cowen wrote about it on his excellent blog the marginal revolution i'll pull it up here
[00:53:26.560 --> 00:53:31.120]   on the screen the blog post because the post the washington post is behind a paywall but marginal
[00:53:31.120 --> 00:53:38.320]   revolution is not all right so here is tyler's setup just summarizing this article he says until
[00:53:38.320 --> 00:53:46.080]   recently a nearby radio telescope meant the local school could not use wi-fi and how did that go all
[00:53:46.080 --> 00:53:50.480]   right so this article that he's citing here is about green green bank west virginia have you heard
[00:53:50.480 --> 00:53:56.560]   about this place jesse no it comes up a lot in technology circles because it's rural west virginia
[00:53:56.560 --> 00:54:05.360]   and the world's largest steerable radio telescope is there oh really yeah and there's a town next to it
[00:54:05.360 --> 00:54:13.200]   and radio interference could mess with the telescope so there's no cell phones and there's no wi-fi
[00:54:14.000 --> 00:54:19.360]   so it's like a town that's kind of like off the grid because of this uh this telescope that's in
[00:54:19.360 --> 00:54:25.120]   the middle of the town so what this washington post article that tyler cowen is citing what it was about
[00:54:25.120 --> 00:54:30.560]   it was actually an op-ed it was written by someone who has a book he's working on about green bank what
[00:54:30.560 --> 00:54:37.200]   it was arguing is the fact that there is no wi-fi in the town has been hurting the students in the
[00:54:37.200 --> 00:54:41.360]   school there green bank has an elementary middle school combined school about 200 something students
[00:54:42.080 --> 00:54:48.800]   he's arguing without wi-fi they can't use like the modern chromebook online curriculums do online
[00:54:48.800 --> 00:54:56.960]   testing and this is hurting the students so let me read here this is a tyler cowen citing the washington
[00:54:56.960 --> 00:55:02.000]   post so what i'm about to read here is from the washington post article while the rest of the
[00:55:02.000 --> 00:55:09.360]   country rushed to bring tech in the classrooms green bank remained stuck in 1999 without wi-fi the school's 200
[00:55:09.360 --> 00:55:14.160]   students couldn't use chromebooks or digital textbooks or do research online teachers couldn't
[00:55:14.160 --> 00:55:20.160]   access individualized education programs online or use google docs for staff meetings even routine tasks
[00:55:20.160 --> 00:55:24.480]   such as state mandated standardized testing became challenging with students rotating through a small
[00:55:24.480 --> 00:55:30.400]   hardware computer lab where they took the exams some of the teachers say this has been a problem
[00:55:30.400 --> 00:55:36.000]   here's a quote here the ability to individualize learning with an ipad or a laptop that's basically
[00:55:36.000 --> 00:55:42.720]   impossible that was teacher darla huddle here's another teacher being quoted in the op-ed without
[00:55:42.720 --> 00:55:47.200]   the online component of our curriculum fully working it's really detrimental to our instruction
[00:55:48.080 --> 00:55:55.360]   that was sarah brown so this is the issue here they can't do this sort of modern ed tech stuff
[00:55:55.360 --> 00:56:03.040]   and the argument of this article is like that's held this school back and how do we know this well
[00:56:03.040 --> 00:56:09.600]   there isn't data on this in the article itself like specific data but um here's what the author says
[00:56:09.600 --> 00:56:13.600]   while these discussions dragged on so discussions about like is there some way we can get like low
[00:56:13.600 --> 00:56:17.760]   powered wi-fi or some other ways to get wi-fi in the school while these discussions dragged on
[00:56:17.760 --> 00:56:24.400]   students fell further behind in math and reading with greenbrink consistently posting the lowest test scores
[00:56:24.400 --> 00:56:32.720]   in the county all right this is an interesting argument here that without modern ed tech
[00:56:32.720 --> 00:56:37.840]   students are falling behind and that's it's like a natural experiment and look this school has the lowest
[00:56:37.840 --> 00:56:42.400]   scores in the county now this is like a relevant time to be arguing this because there's so much
[00:56:42.400 --> 00:56:47.440]   discussion about phones in schools and technology in schools and it's mainly negative like technology
[00:56:47.440 --> 00:56:52.640]   in schools is often negative but here's this this op-ed in the waapo that's being contrarian and tyler
[00:56:52.640 --> 00:56:57.120]   who also is has a real affinity for technology is like yeah come on let's be careful about it
[00:56:57.120 --> 00:57:04.480]   maybe some of this technology is really helping so i want to look into this uh you know i'm not an
[00:57:04.480 --> 00:57:10.320]   expert data journalist but like this is interesting and i want to look a little bit closer so what did i find
[00:57:11.360 --> 00:57:18.400]   well first is it true that green bank consistently post the lowest test scores in the county this is
[00:57:18.400 --> 00:57:22.560]   turns out to be called pocahontas county it's kind of interesting we're like in west virginia okay
[00:57:22.560 --> 00:57:27.440]   so it's pocahontas county west virginia yes the green bank elementary middle school
[00:57:27.440 --> 00:57:35.520]   has the lowest scores in the county but there's a problem here it's a very small county i mean it's
[00:57:35.520 --> 00:57:40.240]   a lot of geographical area but you know this is not montgomery county here in like washington dc
[00:57:40.240 --> 00:57:45.600]   the the county you know there's the green bank middle school and elementary school the county has
[00:57:45.600 --> 00:57:51.120]   one other middle school and a shared high school and then there's two smaller elementary schools that
[00:57:51.120 --> 00:57:55.600]   are in like another town over there much smaller one of which which has the county's like gifted and
[00:57:55.600 --> 00:58:01.040]   talented program there's only 70 kids there half of them are gifted and talented kids like we're we're not
[00:58:01.040 --> 00:58:08.960]   talking to big county it's a handful of schools of which like two of them of the six are uh in green
[00:58:08.960 --> 00:58:13.680]   bank one is shared and then there's like one other middle school and two other elementary schools they
[00:58:13.680 --> 00:58:18.640]   do so yes like the the elementary school in green bank is has lower scores than those two other elementary
[00:58:18.640 --> 00:58:25.440]   school the middle school has lower scores um than the other middle school all right but so it's it's a
[00:58:25.440 --> 00:58:31.840]   small county but that doesn't necessarily tell us much like maybe green bank you know for whatever
[00:58:31.840 --> 00:58:37.600]   reasons that part of this the county just is worse off and they just get worse scores i don't know what's
[00:58:37.600 --> 00:58:44.240]   going on there like do we know this is from not having wi-fi or not well what we really would need to
[00:58:44.240 --> 00:58:51.840]   test this is we need time series data so we need to see test performance over time right because until
[00:58:51.840 --> 00:58:58.640]   somewhat recently it wouldn't matter if you had wi-fi or not right so ipads were introduced in 2010
[00:58:58.640 --> 00:59:04.320]   we see the rise of chromebooks and classrooms picks up in the 2010s that's really where this thing this
[00:59:04.320 --> 00:59:11.840]   happens so before the 2010s there would be a lot more technological parity between this particular
[00:59:11.840 --> 00:59:16.240]   school and the other school in the county right because no one was using technology like that in school
[00:59:16.240 --> 00:59:23.040]   so what we really need is like a time series that shows somewhere in the 2010s the wi-fi
[00:59:23.040 --> 00:59:30.400]   free school begins to uh separate that they the impact on not having wi-fi makes them worse because
[00:59:30.400 --> 00:59:34.080]   they might have always been worse we want to see them get worse all right so i went looking for this
[00:59:34.080 --> 00:59:40.240]   data it's hard to find time series data for the particular schools in pocahontas county but because
[00:59:40.240 --> 00:59:47.040]   pocahontas county is so small there's two middle schools one of them is with wi-fi one of them's not
[00:59:47.040 --> 00:59:51.120]   there's three elementary schools one with one without and the other two add up basically to the
[00:59:51.120 --> 00:59:56.720]   size of the one that didn't have wi-fi it's such a small county what we can do is compare pocahontas
[00:59:56.720 --> 01:00:02.400]   county to other counties in west virginia because presumably if like half the students in your county
[01:00:02.400 --> 01:00:08.560]   didn't have wi-fi and that affected them that should bring down the whole county around the time
[01:00:08.560 --> 01:00:16.880]   that why chromebooks etc became big in school so there is data i can get data on uh any any ap you
[01:00:16.880 --> 01:00:22.160]   know these are state mandated test scores i can get data on this county by county so let's see what's
[01:00:22.160 --> 01:00:27.600]   going on here so let me load up some charts this is from education education recovery scorecard which
[01:00:27.600 --> 01:00:32.080]   aggregates a lot of this data it's really interested in like what happened after covet but they have data that
[01:00:32.080 --> 01:00:37.280]   goes back to as far as 2009 so it's perfect for us what i'm loading on the screen here for people who
[01:00:37.280 --> 01:00:42.880]   are watching instead of just listening is math performance grades three to eight because again
[01:00:42.880 --> 01:00:46.240]   going past middle school it's a shared high school so like we don't learn much from that
[01:00:46.240 --> 01:00:56.720]   from 2009 to 2024. all right so as we see here going from 2009 we see an increase there's a bit of a
[01:00:56.720 --> 01:01:01.760]   gap in the data but we see roughly actually math scores were getting better go pocahontas county math
[01:01:01.760 --> 01:01:09.680]   scores were getting better from 2009 until about 2017. in 2017 oh this is interesting the score
[01:01:09.680 --> 01:01:14.480]   started going down they went down went down then we get the pandemic where we don't have data but they
[01:01:14.480 --> 01:01:19.360]   were falling multiple years before the pandemic and then we see after the pandemic we begin to get a
[01:01:19.360 --> 01:01:24.560]   recovery which we've seen nationwide as things fell so low during the pandemic that there's a recovery
[01:01:24.560 --> 01:01:28.560]   right after so that's the chart we're seeing if we look at reading scores it's something kind of
[01:01:28.560 --> 01:01:36.480]   similar here the peak is around 2015 and then it begins to go down after that as well the timing
[01:01:36.480 --> 01:01:42.240]   here is compatible with the wi-fi hypothesis right that kind of makes sense chromebooks and all these
[01:01:42.240 --> 01:01:47.600]   other things that require internet begin spreading in the 2010s it might make sense that where would you
[01:01:47.600 --> 01:01:52.480]   first start seeing the impact of not having this technology like midway through the 2010s as these
[01:01:52.480 --> 01:01:57.520]   things were gaining traction that might be where you start seeing performance go down so this data
[01:01:57.520 --> 01:02:03.360]   from within pocahontas county itself is compatible roughly speaking is compatible with the washington
[01:02:03.360 --> 01:02:10.640]   post hypothesis of without wi-fi things started to get worse but if we want to do a controlled experiment
[01:02:10.640 --> 01:02:17.360]   we have to compare this the similar counties so what we need to do because pocahontas is half
[01:02:17.920 --> 01:02:22.160]   the non-wi-fi and we can't break that out so let's find other counties in west virginia
[01:02:22.160 --> 01:02:29.920]   that are similar in terms of size and demographics and socioeconomic status like very similar other
[01:02:29.920 --> 01:02:35.840]   counties nearby in west virginia where there were no radio telescopes and everyone is allowed to use
[01:02:35.840 --> 01:02:44.160]   wi-fi what we would expect to find if the wi-fi hypothesis was correct is that pocahontas county
[01:02:44.160 --> 01:02:50.880]   should have a much more notable drop in performance starting in the mid-2010s than these other counties
[01:02:50.880 --> 01:02:57.360]   that didn't have any wi-fi restrictions we have that data that's what's interesting so let me scroll here
[01:02:57.360 --> 01:03:04.000]   a little bit all right so this is we're going back to math performance here we have three stack charts
[01:03:04.000 --> 01:03:08.720]   so if you're if you're listening i'll explain to you what we see each of these charts has a downwards
[01:03:08.720 --> 01:03:14.240]   arrow and an upwards arrow the downwards arrow which is purple i'll put this up here on the
[01:03:14.240 --> 01:03:20.640]   screen for poca pocahontas county schools first that is the decline in math scores during that period
[01:03:20.640 --> 01:03:29.360]   up to 2019 where um let me get the exact dates here uh 2019 to 2022 where we had the steepest sort
[01:03:29.360 --> 01:03:35.440]   of losses we saw in those curves before and then the green arrow is the improvements that they've seen
[01:03:35.440 --> 01:03:40.400]   since the pandemic so this chart is showing here for pocahontas county schools it's just quantifying
[01:03:40.400 --> 01:03:48.880]   what we saw on that chart in that downhill period from 2019 through 2022 there was a uh 0.6 negative
[01:03:48.880 --> 01:03:54.960]   0.6 drop in their performance compared to i think this is like state average so yeah they fell and then
[01:03:54.960 --> 01:04:00.720]   we see the green there's like this 0.36 uh increase so don't worry about the numbers but there was an
[01:04:00.720 --> 01:04:05.360]   increase uh this is the recovery after the pandemic all right so i'm just quantifying what we saw on
[01:04:05.360 --> 01:04:11.600]   that chart here's what's interesting though they did the same thing for all of west virginia counties
[01:04:11.600 --> 01:04:21.680]   that's the next one and for counties that had similar uh socioeconomic demographic and size so
[01:04:21.680 --> 01:04:25.680]   similar population so if you're wondering this is nicholas county hampshire county barber county
[01:04:25.680 --> 01:04:31.840]   tucker county and pendleton county here's what's interesting the similar west virginia districts
[01:04:31.840 --> 01:04:35.520]   that were the same in terms of demographics but differed mainly and they didn't have the wi-fi
[01:04:35.520 --> 01:04:44.560]   restrictions they saw a bigger drop from 2019 to 2022 and they saw a smaller recovery after the pandemic
[01:04:44.560 --> 01:04:49.760]   so the similar counties that had wi-fi never had that taken away
[01:04:50.960 --> 01:04:57.360]   did worse than the county in which like half the students are in this wi-fi free zone and in fact
[01:04:57.360 --> 01:05:02.800]   if you look at the west virginia as a whole that also was worse than what pocahontas county did
[01:05:02.800 --> 01:05:11.040]   so look i don't have school by school data i hear this a lot i found a lot of informal reporting online
[01:05:11.040 --> 01:05:16.000]   that did blame poor performance in green bank by them not being able to use internet in the school so
[01:05:16.000 --> 01:05:20.560]   that might be true and these teachers seem to think it's a problem but if we look at the data without
[01:05:20.560 --> 01:05:27.440]   having time series data from specific the the handful of schools within pocahontas county we do
[01:05:27.440 --> 01:05:34.560]   not see here a data story that looks at that looks like the lack of internet once chromebooks became a
[01:05:34.560 --> 01:05:39.520]   thing and these online curriculums became a thing began to make green bank much worse it seems like
[01:05:39.520 --> 01:05:43.760]   that's just a bad school those schools are bad and they've been bad and i don't know why you'd have to
[01:05:43.760 --> 01:05:48.400]   know about like you know it's just like what this town is i don't know what particularly is bad about
[01:05:48.400 --> 01:05:52.240]   that town it could be little things by the way because these numbers are so small not to get too
[01:05:52.240 --> 01:05:58.160]   much into the data but i was looking at proficiency on math and reading test scores broken down by the
[01:05:58.160 --> 01:06:01.840]   individual school so i can get those numbers for the most recent times they've measured them
[01:06:01.840 --> 01:06:08.800]   and they're like you know 50 better for example in hillsborough elementary versus the green bank
[01:06:08.800 --> 01:06:14.640]   elementary but hillsborough elementary in pocahontas county is the gifted and talented program
[01:06:14.640 --> 01:06:21.840]   there's only 70 kids in that school 70 kids total so all it takes is like oh we have 30 of our gifted
[01:06:21.840 --> 01:06:27.600]   and talented kids are there you're going to get 50 better you know number of people who are math
[01:06:27.600 --> 01:06:32.320]   proficient right so these are small numbers so we have to be careful um so yeah there's not a lot of
[01:06:32.320 --> 01:06:37.360]   schools there and the green bank one doesn't do well but we don't have evidence because that it is
[01:06:37.360 --> 01:06:43.920]   because they couldn't use internet connected chromebooks again the only way for this to be possible
[01:06:43.920 --> 01:06:49.120]   would be somehow the the lack of chromebooks and internet connected tech
[01:06:49.120 --> 01:06:55.760]   really caused the green bank schools to fall really hard but for unrelated reasons coincidentally the other
[01:06:55.760 --> 01:07:00.800]   two or three schools in pocahontas county did unusually well during this period and they sort of
[01:07:00.800 --> 01:07:06.640]   offset the fall that the green bank was having and that's why that county even though other counties
[01:07:06.640 --> 01:07:10.800]   with the same demographics as pocahontas county fell farther that there was something special happening
[01:07:10.800 --> 01:07:15.040]   with the non-green bank schools of pocahontas county where they offset the green bank losses
[01:07:15.040 --> 01:07:18.480]   maybe that's true but we would have to hear a plausible reason why that's true and actually see
[01:07:18.480 --> 01:07:23.040]   school-by-school data so i don't know the author of that op-ed is writing a book on green bank and he
[01:07:23.040 --> 01:07:28.080]   might have really good data but knowing what we know now i think this is a nice cautionary tale
[01:07:28.080 --> 01:07:33.840]   and it's a good reminder for myself or anyone else who talks about technology trends when there's an
[01:07:33.840 --> 01:07:40.560]   answer that we like it's often easy to jump to it find any point of data that seems to imply that and
[01:07:40.560 --> 01:07:45.760]   expand it beyond what the data says i think that seems to be what was happening here there's a nice
[01:07:45.760 --> 01:07:52.720]   subtle leap from the schools without wi-fi are worse to the schools without wi-fi are worse
[01:07:52.720 --> 01:07:59.200]   because they don't have wi-fi it's an easy leap to make but the picture gets much more murkier once
[01:07:59.200 --> 01:08:03.120]   you pull even a little bit on the data story so anyways i guess this is just a back to school note
[01:08:03.120 --> 01:08:09.680]   of we all have to be careful and take with grains of salt claims that are made that sound intuitive and
[01:08:09.680 --> 01:08:16.640]   there's a little bit of data to support doesn't necessarily mean it's true like it's like when it
[01:08:16.640 --> 01:08:22.640]   comes to cell phones in schools i have read exhaustively not just the research but the
[01:08:22.640 --> 01:08:26.240]   debates that researchers are having about the research and the complaints and then how the
[01:08:26.240 --> 01:08:30.080]   complaints are answered i i you know there's an hour-long talk i give about the evolution of the
[01:08:30.080 --> 01:08:34.880]   research literature on harms from phones for kids i feel like i know that data very well and it makes me
[01:08:34.880 --> 01:08:40.480]   confident to say these are um often a problem the benefits aren't worth it you shouldn't have phones
[01:08:40.480 --> 01:08:46.080]   before high school if you're a kid right that's really different than like hey that school struggles
[01:08:46.080 --> 01:08:50.560]   and they don't have wi-fi internet's good so anyways there we go i'm not investigative journalist data
[01:08:50.560 --> 01:08:55.680]   and who knows maybe this this professor has the school by school data but i think the picture in
[01:08:55.680 --> 01:09:00.960]   west virginia pocahontas county is more complicated than if only i could synchronize my eureka math
[01:09:00.960 --> 01:09:06.800]   curriculum with like online resources our kids would suddenly be much better harder reality all
[01:09:06.800 --> 01:09:10.560]   right speaking of hard realities that's all the time we have for today so thank you for listening
[01:09:10.560 --> 01:09:16.560]   we'll be back next week with another episode and until then as always stay deep hey so if you like
[01:09:16.560 --> 01:09:21.840]   today's discussion about ai and productivity you should see uh check out my recent episode episode
[01:09:21.840 --> 01:09:28.640]   367 where i get into the whole past and future trajectory of ai it's called what if ai doesn't get
[01:09:28.640 --> 01:09:33.120]   much better than this that is a sort of must listen to understand where i'm coming from on ai so if
[01:09:33.120 --> 01:09:39.360]   you haven't heard that episode yet go check it out i'm cal newport and this is deep questions
[01:09:39.360 --> 01:09:44.400]   today's episode what if ai doesn't get much better than this

