
[00:00:00.000 --> 00:00:01.640]   what do women want?
[01:37:32.440 --> 01:37:34.080]   one of the beautiful things about this trial
[01:37:34.080 --> 01:37:37.840]   is you get to basically have a long-form podcast.
[01:37:38.720 --> 01:37:40.900]   And you get to reveal the complexity of this human,
[01:37:40.900 --> 01:37:45.900]   the humor under pressure, under stress,
[01:37:45.900 --> 01:37:48.980]   but also just the rawness of love,
[01:37:48.980 --> 01:37:52.180]   the things that love makes you do, or whatever that is.
[01:37:52.180 --> 01:37:56.540]   Whatever the things that keeps us in relationships
[01:37:56.540 --> 01:38:00.200]   that are toxic in that turmoil,
[01:38:00.200 --> 01:38:05.200]   the hope, the self-delusion,
[01:38:06.500 --> 01:38:11.500]   the push and pull of longing and fights,
[01:38:11.500 --> 01:38:16.180]   the ups and downs, whatever the--
[01:38:16.180 --> 01:38:18.420]   - Yeah, the rollercoaster. - The rollercoaster.
[01:38:18.420 --> 01:38:20.420]   - The make-up, sex. - Yeah, exactly.
[01:38:20.420 --> 01:38:21.940]   - You know, yeah.
[01:38:21.940 --> 01:38:24.900]   - And the questions arise whether that's a feature or a bug.
[01:38:24.900 --> 01:38:27.060]   Like, why are we drawn to that?
[01:38:27.060 --> 01:38:29.020]   You mentioned inmate selection,
[01:38:29.020 --> 01:38:30.580]   for long-term mate selection,
[01:38:30.580 --> 01:38:33.800]   I think you said women, but I think maybe both
[01:38:35.020 --> 01:38:37.700]   don't want a kind of,
[01:38:37.700 --> 01:38:40.420]   you had scientific and eloquent words to use,
[01:38:40.420 --> 01:38:42.540]   but basically crazy people.
[01:38:42.540 --> 01:38:44.740]   You want somebody who's stable.
[01:38:44.740 --> 01:38:46.340]   - Emotionally unstable, yeah.
[01:38:46.340 --> 01:38:53.260]   - But here it seems like maybe we're drawn to that still,
[01:38:53.260 --> 01:38:54.660]   like flies to the light.
[01:38:54.660 --> 01:38:56.980]   - Right, well, it can be addictive,
[01:38:56.980 --> 01:39:00.540]   but it's not good for long-term relationships.
[01:39:00.540 --> 01:39:02.060]   I mean, that characteristic,
[01:39:02.380 --> 01:39:05.660]   and there is a stable personality characteristic.
[01:39:05.660 --> 01:39:09.020]   It goes under different names, anxiety, neuroticism,
[01:39:09.020 --> 01:39:11.820]   emotional lability, et cetera,
[01:39:11.820 --> 01:39:14.980]   but that's the single personality characteristic
[01:39:14.980 --> 01:39:18.300]   that is most predictive of breakups and divorces.
[01:39:18.300 --> 01:39:21.760]   And in studies that I've done,
[01:39:21.760 --> 01:39:24.580]   predictive of conflict in couples,
[01:39:24.580 --> 01:39:27.060]   people who are emotionally unstable,
[01:39:27.060 --> 01:39:29.980]   they just get into a lot of conflict with their partner.
[01:39:29.980 --> 01:39:32.120]   They create havoc.
[01:39:32.120 --> 01:39:36.600]   Now, that can be exciting,
[01:39:36.600 --> 01:39:41.060]   but bad for long-term happiness.
[01:39:41.060 --> 01:39:46.060]   - They seek conflict in order to attain intimacy.
[01:39:46.060 --> 01:39:50.020]   So conflict creates attention.
[01:39:50.020 --> 01:39:50.860]   - Yeah.
[01:39:50.860 --> 01:39:58.820]   - If you take intimacy broadly, it's intimate.
[01:39:58.820 --> 01:40:02.860]   'Cause you're like raw, fragile, you're right there.
[01:40:02.860 --> 01:40:06.780]   - Yeah, well, and I mean, there's one hypothesis
[01:40:06.780 --> 01:40:10.740]   that was put forward by an Israeli biologist
[01:40:10.740 --> 01:40:15.740]   named Amos Zahavi called the testing of a bond.
[01:40:15.740 --> 01:40:18.100]   And so he asked the question,
[01:40:18.100 --> 01:40:20.700]   like why do people inflict costs on their partner?
[01:40:20.700 --> 01:40:25.140]   Even like kissing, you're introducing,
[01:40:25.140 --> 01:40:26.540]   it's a disease vector.
[01:40:26.540 --> 01:40:31.460]   Why do people do these weird things, inflicting costs,
[01:40:31.460 --> 01:40:35.180]   or emotional liability as a way of inflicting costs?
[01:40:35.180 --> 01:40:38.620]   And what he argues is it's the testing of a bond.
[01:40:38.620 --> 01:40:43.260]   If the person's willing to tolerate this level of stress,
[01:40:43.260 --> 01:40:45.580]   this level of cost imposition,
[01:40:45.580 --> 01:40:48.260]   then that means they must be very committed to me.
[01:40:48.260 --> 01:40:50.660]   And so, and I think that's something people do
[01:40:50.660 --> 01:40:52.880]   in romantic relationships,
[01:40:52.880 --> 01:40:55.460]   is they do test the strength of the bond.
[01:40:55.460 --> 01:40:59.100]   They test the commitment of the person.
[01:40:59.100 --> 01:41:02.700]   And I think that's a feature, not a bug,
[01:41:02.700 --> 01:41:04.540]   in the sense that,
[01:41:04.540 --> 01:41:09.860]   especially in the early stages of love, romantic love,
[01:41:09.860 --> 01:41:14.500]   we tend to overly romanticize and idealize our partner.
[01:41:14.500 --> 01:41:16.660]   So when there's an absence of evidence,
[01:41:16.660 --> 01:41:19.780]   we impute positive values.
[01:41:19.780 --> 01:41:23.700]   And this is one of my recommendations
[01:41:23.700 --> 01:41:26.500]   to friends that I know is,
[01:41:26.500 --> 01:41:29.860]   if you're really considering a good long-term commitment
[01:41:29.860 --> 01:41:32.420]   to this person, go on vacation with them.
[01:41:32.420 --> 01:41:35.820]   Ideally to a foreign country
[01:41:35.820 --> 01:41:37.580]   where both of you are unfamiliar.
[01:41:37.580 --> 01:41:38.420]   - Oh, I love it.
[01:41:38.420 --> 01:41:39.460]   Road trip or something like that.
[01:41:39.460 --> 01:41:43.020]   - Yeah, so where you experience unexpected things,
[01:41:43.020 --> 01:41:47.060]   stresses, you get a flat tire or whatever,
[01:41:47.060 --> 01:41:51.540]   you encounter, and you see how the person deals with stress,
[01:41:51.540 --> 01:41:55.180]   and you see how you deal with each other under stress.
[01:41:55.180 --> 01:41:56.600]   And I think that that's,
[01:41:56.600 --> 01:42:01.140]   unless you have put stress tests on relationships,
[01:42:01.140 --> 01:42:03.140]   you really don't know where things stand.
[01:42:03.140 --> 01:42:04.820]   - Yeah, that's a beautiful way to put it.
[01:42:04.820 --> 01:42:06.700]   I'm a huge fan of that, like road trip.
[01:42:06.700 --> 01:42:11.300]   And not just late in a relationship, like day one.
[01:42:11.300 --> 01:42:12.340]   - Yeah. (laughs)
[01:42:12.340 --> 01:42:15.040]   - Road trip, not day one, day negative one,
[01:42:15.040 --> 01:42:17.720]   before it even happens, just see, stress test.
[01:42:17.720 --> 01:42:20.020]   'Cause it makes everybody better.
[01:42:20.020 --> 01:42:22.220]   It creates intimacy, or it creates,
[01:42:22.220 --> 01:42:24.740]   it creates or it destroys.
[01:42:24.740 --> 01:42:28.460]   But, you know, on the Johnny,
[01:42:28.460 --> 01:42:32.260]   so they also, they both suffered childhood abuse.
[01:42:32.260 --> 01:42:35.260]   One of the things that I took away from the trial,
[01:42:35.260 --> 01:42:38.140]   for me, it was just educational.
[01:42:38.140 --> 01:42:43.140]   I don't get to see inside, as most of us maybe don't,
[01:42:43.140 --> 01:42:46.420]   like toxic relationships or fights and so on.
[01:42:46.420 --> 01:42:49.340]   A lot of things that people maybe do inside of relationships
[01:42:49.340 --> 01:42:52.820]   and we don't get to see it presented in such a raw way.
[01:42:52.820 --> 01:42:56.340]   So, one of the things I learned is that,
[01:42:56.340 --> 01:43:00.900]   you know, in terms of partner violence,
[01:43:00.900 --> 01:43:03.540]   a woman too, can be violent.
[01:43:03.540 --> 01:43:05.100]   - Yeah, absolutely.
[01:43:05.100 --> 01:43:08.700]   - That to me, so emotionally and physically violent,
[01:43:08.700 --> 01:43:13.700]   that, I almost don't want to, you know,
[01:43:13.700 --> 01:43:18.380]   Amber Heard, I mean, there's no limit
[01:43:18.380 --> 01:43:21.280]   to my dislike for that person in particular.
[01:43:21.280 --> 01:43:27.120]   Because clearly, to me at least, I stand with Johnny Depp.
[01:43:27.120 --> 01:43:29.660]   To me, that guy is full of love.
[01:43:29.660 --> 01:43:33.220]   And, but full of demons because he's drawn
[01:43:33.220 --> 01:43:35.680]   to whatever the chaos that's created there.
[01:43:35.680 --> 01:43:39.060]   But also, it's just an education for me that,
[01:43:39.060 --> 01:43:42.780]   I tend to associate sort of men with violence
[01:43:42.780 --> 01:43:46.980]   and toxicity and destruction inside relationships.
[01:43:46.980 --> 01:43:50.260]   But it was interesting to see that women too
[01:43:50.260 --> 01:43:53.020]   can be like directly violent.
[01:43:53.020 --> 01:43:53.860]   - Yeah.
[01:43:53.860 --> 01:43:58.180]   - And men too, which was also surprising to me,
[01:43:58.180 --> 01:44:02.260]   have the capacity to stay in such a relationship
[01:44:02.260 --> 01:44:03.820]   and to not walk away.
[01:44:03.820 --> 01:44:05.260]   Which is what I thought is my,
[01:44:05.260 --> 01:44:07.220]   in terms of toxic violent relationships,
[01:44:07.220 --> 01:44:11.060]   I thought there's a male figure who will do emotional
[01:44:11.060 --> 01:44:13.740]   and physical, mostly physical violence
[01:44:13.740 --> 01:44:18.140]   and then kind of manipulate the mind of the female
[01:44:18.140 --> 01:44:19.500]   to stay in the relationship.
[01:44:19.500 --> 01:44:22.100]   But that dynamic goes, can go both ways.
[01:44:22.100 --> 01:44:24.020]   - Yeah, it does go both ways.
[01:44:24.020 --> 01:44:28.420]   And I think even the emotional abuse
[01:44:28.420 --> 01:44:31.660]   is sometimes even worse than the physical abuse.
[01:44:31.660 --> 01:44:34.500]   I mean, you see that in studies of,
[01:44:34.500 --> 01:44:36.220]   even like childhood abuse,
[01:44:36.220 --> 01:44:40.980]   where it's the emotional abuse that is the most damaging.
[01:44:40.980 --> 01:44:43.700]   What about the role of jealousy?
[01:44:43.700 --> 01:44:47.080]   Something you also written about in a relationship.
[01:44:47.080 --> 01:44:51.380]   Is that a feature or a bug?
[01:44:51.380 --> 01:44:53.060]   You started to speak about it,
[01:44:53.060 --> 01:44:57.420]   but is it good to be jealous of your partner
[01:44:57.420 --> 01:44:59.380]   inside of a relationship?
[01:44:59.380 --> 01:45:01.020]   How does it go wrong?
[01:45:01.020 --> 01:45:03.500]   The pros and cons.
[01:45:03.500 --> 01:45:06.020]   - So I've written a whole book on this
[01:45:06.020 --> 01:45:08.700]   called "The Dangerous Passion."
[01:45:08.700 --> 01:45:11.420]   Why Jealousy is as Necessary as Sex and Love.
[01:45:11.420 --> 01:45:17.420]   And I think that one cut at your question
[01:45:17.420 --> 01:45:21.020]   is that a moderate, so first of all,
[01:45:21.020 --> 01:45:24.180]   I think it's a feature, not a bug in most cases.
[01:45:24.180 --> 01:45:29.180]   So in the sense that you have to have an adaptation
[01:45:29.180 --> 01:45:34.820]   that is sensitive to threats to a valued relationship.
[01:45:34.820 --> 01:45:38.660]   Because, and I think I alluded to this earlier,
[01:45:38.660 --> 01:45:41.460]   that just because you're in a relationship
[01:45:41.460 --> 01:45:43.940]   and you're in a relationship with a desirable partner,
[01:45:43.940 --> 01:45:48.340]   doesn't mean that you've finished solving the problems
[01:45:48.340 --> 01:45:50.220]   of mating that you need to solve.
[01:45:50.220 --> 01:45:52.740]   Because there are threats from the outside.
[01:45:52.740 --> 01:45:56.940]   So mate poachers, people who try to lure your partner away
[01:45:56.940 --> 01:45:58.700]   for either a sexual encounter
[01:45:58.700 --> 01:46:02.380]   or a more committed romantic relationship.
[01:46:02.380 --> 01:46:04.340]   And then there's also dissatisfaction
[01:46:04.340 --> 01:46:05.900]   within the relationship.
[01:46:05.940 --> 01:46:08.580]   So your partner might become tempted
[01:46:08.580 --> 01:46:12.100]   to be sexually unfaithful or romantically unfaithful
[01:46:12.100 --> 01:46:13.940]   or emotionally unfaithful.
[01:46:13.940 --> 01:46:18.140]   And so we need humans with the evolution
[01:46:18.140 --> 01:46:19.900]   of long-term pair bonding,
[01:46:19.900 --> 01:46:24.220]   we need adaptations to guard the relationship
[01:46:24.220 --> 01:46:28.020]   and be sensitive to threats to the relationship.
[01:46:28.020 --> 01:46:29.740]   And I think jealousy is one of those.
[01:46:29.740 --> 01:46:31.900]   I think it's a key one.
[01:46:31.900 --> 01:46:36.900]   And now that I think that there are a variety
[01:46:36.900 --> 01:46:41.940]   of benefits to it, but also a variety of costs
[01:46:41.940 --> 01:46:43.380]   or downsides to jealousy.
[01:46:43.380 --> 01:46:46.980]   Because we know that jealousy, male sexual jealousy
[01:46:46.980 --> 01:46:49.900]   is the leading cause of spousal abuse
[01:46:49.900 --> 01:46:52.780]   and spousal violence, physical violence,
[01:46:52.780 --> 01:46:54.740]   probably emotional violence as well,
[01:46:54.740 --> 01:46:57.300]   or psychological violence.
[01:46:57.300 --> 01:46:59.700]   And so that's why I call it the dangerous passion.
[01:46:59.700 --> 01:47:02.420]   It's a necessary emotion,
[01:47:02.420 --> 01:47:05.420]   but it is also a dangerous emotion.
[01:47:05.420 --> 01:47:07.620]   Leads to homicide.
[01:47:07.620 --> 01:47:10.260]   You know, leads to...
[01:47:10.260 --> 01:47:14.180]   And I've studied also homicidal ideation,
[01:47:14.180 --> 01:47:16.420]   which intersects with this topic
[01:47:16.420 --> 01:47:21.300]   in that men, sometimes women to a lesser degree,
[01:47:21.300 --> 01:47:23.940]   develop homicidal ideation about people
[01:47:23.940 --> 01:47:25.500]   who are trying to poach their mates
[01:47:25.500 --> 01:47:28.300]   or who do poach their mates,
[01:47:28.300 --> 01:47:30.300]   successfully poach their mates.
[01:47:30.300 --> 01:47:32.740]   So what jealousy does is it alerts you
[01:47:32.740 --> 01:47:35.940]   to a threat to the relationship,
[01:47:35.940 --> 01:47:39.740]   and it motivates checking out the source of the threat.
[01:47:39.740 --> 01:47:41.420]   How threatening is this?
[01:47:41.420 --> 01:47:44.500]   So people tend to increase vigilance
[01:47:44.500 --> 01:47:46.580]   of their partner in the modern world
[01:47:46.580 --> 01:47:50.380]   and includes hacking into their cell phone or computer,
[01:47:50.380 --> 01:47:55.380]   monitoring them, sometimes stalking them.
[01:47:57.220 --> 01:48:00.740]   But also can include positive things.
[01:48:00.740 --> 01:48:02.580]   So it might be that...
[01:48:02.580 --> 01:48:04.020]   So one trigger of jealousy
[01:48:04.020 --> 01:48:06.660]   is a direct threat to the relationship.
[01:48:06.660 --> 01:48:10.340]   But there's another more subtle trigger of jealousy,
[01:48:10.340 --> 01:48:13.100]   which is a mate value discrepancy.
[01:48:13.100 --> 01:48:16.340]   So usually when people mate,
[01:48:16.340 --> 01:48:19.540]   they assort or pair up on overall mate value.
[01:48:19.540 --> 01:48:22.940]   So in the American 10-point scale,
[01:48:22.940 --> 01:48:24.740]   the eights tend to pair up with the eights,
[01:48:24.740 --> 01:48:26.540]   the sixes with the sixes,
[01:48:26.540 --> 01:48:28.380]   the tens with the tens, and the ones with the ones.
[01:48:28.380 --> 01:48:30.660]   - American, is there other scales?
[01:48:30.660 --> 01:48:33.540]   I wonder if the numerical systems,
[01:48:33.540 --> 01:48:34.660]   well, there's a binary.
[01:48:34.660 --> 01:48:37.260]   I just call it binary, zero, one.
[01:48:37.260 --> 01:48:39.140]   Sorry, go ahead.
[01:48:39.140 --> 01:48:40.860]   The eights pairs with the eights, sevens.
[01:48:40.860 --> 01:48:42.460]   - Yeah, yeah, so in general,
[01:48:42.460 --> 01:48:44.820]   but there are errors in mate selection.
[01:48:44.820 --> 01:48:47.380]   You kind of alluded to that issue earlier
[01:48:47.380 --> 01:48:50.380]   that sometimes people make errors in mate selection,
[01:48:50.380 --> 01:48:51.220]   which they do.
[01:48:51.220 --> 01:48:52.980]   So sometimes you think this person
[01:48:52.980 --> 01:48:56.580]   is well-matched on mate value, but they're not.
[01:48:56.580 --> 01:48:58.140]   But then things change.
[01:48:58.140 --> 01:49:01.460]   So let's say they're the same,
[01:49:01.460 --> 01:49:02.700]   you have two sixes,
[01:49:02.700 --> 01:49:05.620]   and then all of a sudden the woman's career takes off.
[01:49:05.620 --> 01:49:09.340]   All of a sudden she's getting promotion,
[01:49:09.340 --> 01:49:11.860]   she's acquiring wealth,
[01:49:11.860 --> 01:49:16.860]   she's attracting men who are of a different mate value
[01:49:16.860 --> 01:49:18.580]   than she previously did.
[01:49:18.580 --> 01:49:20.740]   Well, that triggers jealousy in the guy.
[01:49:20.740 --> 01:49:23.500]   Even if she swears she's gonna be totally loyal
[01:49:23.500 --> 01:49:27.020]   and she has no signs of leaving or no signs of infidelity,
[01:49:27.020 --> 01:49:30.140]   a mate value discrepancy is gonna trigger jealousy.
[01:49:30.140 --> 01:49:31.620]   Now, what can it do?
[01:49:31.620 --> 01:49:34.900]   Well, it can do, in the broadest sense,
[01:49:34.900 --> 01:49:36.980]   people can do two classes of things.
[01:49:36.980 --> 01:49:38.780]   They can do cost-inflicting things
[01:49:38.780 --> 01:49:41.020]   or benefit-providing things.
[01:49:41.020 --> 01:49:44.140]   So the man in that situation might say,
[01:49:44.140 --> 01:49:47.100]   "Okay, I need to devote more attention to my partner.
[01:49:47.100 --> 01:49:48.820]   "I need to up my game
[01:49:48.820 --> 01:49:50.700]   "when it comes to resource acquisition.
[01:49:50.700 --> 01:49:55.700]   "I need to lavish more attention and gifts on her."
[01:49:55.700 --> 01:49:59.580]   And so there's a whole suite of benefit-provisioning things
[01:49:59.580 --> 01:50:02.760]   that can help to reduce that mate value discrepancy.
[01:50:02.760 --> 01:50:07.020]   And then there's also cost-inflicting things.
[01:50:07.020 --> 01:50:11.660]   And humans, unfortunately, do both sets of things.
[01:50:11.660 --> 01:50:16.540]   - Yeah, there's also this, maybe that's love.
[01:50:16.540 --> 01:50:21.540]   I notice the people I especially love
[01:50:21.540 --> 01:50:25.140]   or have a connection to romantically or otherwise,
[01:50:25.140 --> 01:50:27.360]   there's a feeling like I don't deserve you.
[01:50:27.360 --> 01:50:30.700]   So with friends, with so on,
[01:50:30.700 --> 01:50:34.460]   like, I mean, I tend to think that about almost everything,
[01:50:34.460 --> 01:50:35.740]   which is why it's a strong signal
[01:50:35.740 --> 01:50:37.580]   when I don't feel it that way,
[01:50:37.580 --> 01:50:40.780]   which is like, I can't, how lucky am I to have this?
[01:50:40.780 --> 01:50:46.460]   And that's a weird illusion of inflation of value
[01:50:46.460 --> 01:50:47.300]   or something.
[01:50:47.300 --> 01:50:50.540]   I think that the positive effect of that
[01:50:50.540 --> 01:50:54.180]   is it motivates me to be better,
[01:50:54.180 --> 01:50:57.460]   I guess on this one to 10 scale, to be higher.
[01:50:57.460 --> 01:50:59.740]   And you sort of kind of have to,
[01:50:59.740 --> 01:51:04.580]   it's a nice feature that your mind sees others
[01:51:04.580 --> 01:51:07.740]   that you have affection towards as higher value,
[01:51:07.740 --> 01:51:10.540]   and it forces you to have that.
[01:51:10.540 --> 01:51:12.660]   I'm a person that experiences jealousy,
[01:51:12.660 --> 01:51:15.100]   and that forces me to be better.
[01:51:15.100 --> 01:51:16.300]   I get my shit together.
[01:51:16.300 --> 01:51:18.060]   - Yeah, well, and I think that
[01:51:18.060 --> 01:51:21.220]   sometimes the best relationships
[01:51:21.220 --> 01:51:25.620]   are when both people feel lucky to be with the other person.
[01:51:25.620 --> 01:51:27.900]   - Yes, exactly, it's balanced that way.
[01:51:27.900 --> 01:51:30.300]   And then that's when you, in terms of jobs,
[01:51:30.300 --> 01:51:33.100]   in terms of going to the gym, all those kinds of things.
[01:51:33.100 --> 01:51:36.420]   And yeah, so a little bit of jealousy.
[01:51:36.420 --> 01:51:37.700]   I have discussion with those people.
[01:51:37.700 --> 01:51:40.620]   I always wonder, there's people in relationships
[01:51:40.620 --> 01:51:44.460]   where like, no, no, they never experienced jealousy.
[01:51:44.460 --> 01:51:45.380]   I wonder what that's like,
[01:51:45.380 --> 01:51:47.540]   'cause they're very successful relationships,
[01:51:47.540 --> 01:51:50.660]   and I always wonder, I'm currently single,
[01:51:50.660 --> 01:51:54.100]   so I always doubt that I know what the hell I'm doing at all.
[01:51:54.100 --> 01:51:56.620]   But I'm definitely somebody that experiences jealousy
[01:51:56.620 --> 01:52:00.740]   and kind of enjoys jealousy, like a little bit.
[01:52:00.740 --> 01:52:03.620]   I like missing, to me that's like,
[01:52:03.620 --> 01:52:05.340]   you're missing the other person.
[01:52:05.340 --> 01:52:06.580]   - Yeah, well-- - Or longing
[01:52:06.580 --> 01:52:07.420]   for the other person.
[01:52:07.420 --> 01:52:10.340]   - And here's another interesting wrinkle
[01:52:10.340 --> 01:52:13.100]   that I also talk about in the book is,
[01:52:13.100 --> 01:52:16.540]   sometimes people intentionally evoke jealousy
[01:52:16.540 --> 01:52:17.600]   in their partner.
[01:52:17.600 --> 01:52:23.180]   And I think that's also a kind of testing of a bond
[01:52:23.180 --> 01:52:24.460]   kind of issue.
[01:52:24.460 --> 01:52:29.100]   So, and especially women, but I think both sexes
[01:52:29.100 --> 01:52:32.420]   interpret a total absence of jealousy
[01:52:32.420 --> 01:52:35.220]   as a sign that their partner's not sufficiently committed
[01:52:35.220 --> 01:52:37.860]   to them or sufficiently in love with them.
[01:52:37.860 --> 01:52:39.820]   So if you like to say, I don't know,
[01:52:39.820 --> 01:52:42.340]   if you go to a party with your partner
[01:52:42.340 --> 01:52:45.100]   and then you leave the room for some reason,
[01:52:45.100 --> 01:52:47.540]   you come back and your partner is passionately kissing
[01:52:47.540 --> 01:52:50.200]   someone else and doesn't bother you at all,
[01:52:50.200 --> 01:52:52.660]   that might be a cue to the partner
[01:52:52.660 --> 01:52:55.700]   that maybe you're not very in love with that person
[01:52:55.700 --> 01:52:57.980]   or not very committed to them.
[01:52:57.980 --> 01:53:00.900]   And so-- - So it's a good way to,
[01:53:00.900 --> 01:53:01.980]   it's a good way to test.
[01:53:01.980 --> 01:53:04.340]   That said, I mean, I love the term mate poaching,
[01:53:04.340 --> 01:53:05.260]   by the way.
[01:53:05.260 --> 01:53:08.140]   I believe here in Texas, mate poaching is officially illegal
[01:53:08.140 --> 01:53:11.100]   so I'm allowed to, one of my favorite songs by Hendrix
[01:53:11.100 --> 01:53:12.160]   is "Hey Joe."
[01:53:12.160 --> 01:53:16.380]   Hey Joe, where you going with that gun in your hand?
[01:53:16.380 --> 01:53:19.740]   And yeah, I actually always wanted to play that song
[01:53:19.740 --> 01:53:24.180]   but I get, I start to think about guns and so on.
[01:53:24.180 --> 01:53:27.340]   I think it's supposed to capture a feeling.
[01:53:27.340 --> 01:53:28.620]   It's not actual violence.
[01:53:28.620 --> 01:53:30.620]   It's saying, I'm gonna shoot my old lady.
[01:53:30.620 --> 01:53:33.380]   I caught her messing around with another man.
[01:53:33.380 --> 01:53:38.300]   That's a blues type of feeling, like of anger,
[01:53:40.180 --> 01:53:43.500]   I guess for mate poaching, for mate switching
[01:53:43.500 --> 01:53:46.940]   performed by the partner and then the frustration
[01:53:46.940 --> 01:53:48.740]   and the anger that's resulting.
[01:53:48.740 --> 01:53:51.780]   I always wondered why the violence
[01:53:51.780 --> 01:53:54.440]   is directed towards the partner
[01:53:54.440 --> 01:53:58.140]   versus the person who did the other male.
[01:53:58.140 --> 01:54:00.520]   - It tends to be evenly split.
[01:54:00.520 --> 01:54:05.520]   So sometimes, and that's, I mean, men especially,
[01:54:05.520 --> 01:54:07.900]   when someone poaches on their mate,
[01:54:07.900 --> 01:54:10.580]   they have homicidal fantasies.
[01:54:10.580 --> 01:54:13.300]   - Towards which, equally split?
[01:54:13.300 --> 01:54:16.260]   - Towards the mate poacher, yeah, but equally split.
[01:54:16.260 --> 01:54:21.260]   So it's, I think the non-lethal violence
[01:54:21.260 --> 01:54:26.140]   tends to be more directed toward the mate
[01:54:26.140 --> 01:54:30.700]   because it's, and this is a horrible thing
[01:54:30.700 --> 01:54:32.500]   of male sexual psychology,
[01:54:32.500 --> 01:54:35.280]   but I think part of the violence is functional
[01:54:35.280 --> 01:54:38.780]   in the sense that it's designed to keep a mate
[01:54:38.780 --> 01:54:41.460]   and prevent her from engaging in anything
[01:54:41.460 --> 01:54:45.220]   with other potential mate poachers.
[01:54:45.220 --> 01:54:49.160]   But people do.
[01:54:49.160 --> 01:54:54.060]   So even, it goes back to the French law
[01:54:54.060 --> 01:54:57.380]   where they had the so-called crime of passion.
[01:54:57.380 --> 01:55:01.540]   So if a husband walked in and found his wife
[01:55:01.540 --> 01:55:05.360]   having sex with some other guy in bed and shot him,
[01:55:05.360 --> 01:55:06.880]   that was viewed as a crime of passion.
[01:55:06.880 --> 01:55:11.580]   It's still not legal, but you kind of get a discount for it.
[01:55:11.580 --> 01:55:14.620]   Whereas if he goes home, thinks about it for a while,
[01:55:14.620 --> 01:55:15.880]   then gets the gun and comes back,
[01:55:15.880 --> 01:55:17.800]   then that's premeditated murder.
[01:55:17.800 --> 01:55:21.080]   - Yeah, see, to me, I guess everybody's different.
[01:55:21.080 --> 01:55:24.560]   To me, I have zero anger towards the partner
[01:55:24.560 --> 01:55:27.880]   in that situation, to me, 'cause that's definitive proof
[01:55:27.880 --> 01:55:29.840]   of the soliloquy.
[01:55:29.840 --> 01:55:32.760]   So what's the function of the anger there?
[01:55:32.760 --> 01:55:38.580]   To me, all of my anger is towards the guy, the poacher.
[01:55:38.580 --> 01:55:44.140]   Because some of it has to do probably
[01:55:44.140 --> 01:55:45.700]   with the status establishing.
[01:55:45.700 --> 01:55:48.220]   What was the term you used?
[01:55:48.220 --> 01:55:51.140]   Formidability?
[01:55:51.140 --> 01:55:52.700]   - Yeah, formidability assessment.
[01:55:52.700 --> 01:55:53.540]   - Assessment.
[01:55:53.540 --> 01:55:54.380]   And I'm like, wait, wait, wait,
[01:55:54.380 --> 01:55:57.460]   did you just say you're more formidable than me
[01:55:57.460 --> 01:55:58.380]   in this situation?
[01:55:58.380 --> 01:56:00.640]   I wanna reestablish, at least in my own mind,
[01:56:00.640 --> 01:56:01.800]   the formidability.
[01:56:01.800 --> 01:56:05.680]   And that seems to be, I guess we're all different,
[01:56:05.680 --> 01:56:07.920]   but maybe 'cause I roll around with guys a lot,
[01:56:07.920 --> 01:56:10.120]   like grapple and wrestling, all that kind of stuff.
[01:56:10.120 --> 01:56:13.040]   To me, to establish status is competing with other males,
[01:56:13.040 --> 01:56:14.200]   not with the female.
[01:56:14.200 --> 01:56:16.140]   'Cause that's a break of loyalty.
[01:56:16.140 --> 01:56:19.440]   What's the point of anger at this point?
[01:56:19.440 --> 01:56:20.680]   That's just betrayal.
[01:56:20.680 --> 01:56:25.040]   - Well, except that a lot of the mate poaching
[01:56:25.040 --> 01:56:28.620]   is discovered, or cues to mate poaching
[01:56:28.620 --> 01:56:32.300]   are discovered before the consummation of the act.
[01:56:32.300 --> 01:56:33.140]   So it might be just--
[01:56:33.140 --> 01:56:35.660]   - Oh, like the emotional cheating leading up to it.
[01:56:35.660 --> 01:56:40.620]   - Or mild flirtation, things like that.
[01:56:40.620 --> 01:56:45.620]   And so the violence is designed to head off the threat
[01:56:45.620 --> 01:56:50.240]   before it becomes real.
[01:56:50.240 --> 01:56:52.220]   - Boy, aren't human relations,
[01:56:52.220 --> 01:56:54.480]   especially romantic ones, complicated?
[01:56:54.480 --> 01:56:55.320]   - Very.
[01:56:55.320 --> 01:56:59.300]   But that's what makes them so fascinating to study.
[01:56:59.300 --> 01:57:01.740]   - Yes, exactly, from a science perspective,
[01:57:01.740 --> 01:57:03.100]   and to study from within,
[01:57:03.100 --> 01:57:06.980]   like Richard Ranham with the chimps,
[01:57:06.980 --> 01:57:11.140]   be in it.
[01:57:11.140 --> 01:57:13.460]   Study from the N of one perspective.
[01:57:13.460 --> 01:57:15.360]   What do you make of polyamory?
[01:57:15.360 --> 01:57:18.900]   So what the heck is, what do you make of marriage?
[01:57:18.900 --> 01:57:20.380]   What are your thoughts about marriage?
[01:57:20.380 --> 01:57:22.700]   What are your thoughts about lifelong monogamy?
[01:57:22.700 --> 01:57:25.600]   What's your thoughts about polyamory,
[01:57:25.600 --> 01:57:27.360]   given that we've been talking about ideas
[01:57:27.360 --> 01:57:29.800]   of mate switching and poaching and all that kind of stuff?
[01:57:29.800 --> 01:57:32.400]   - Yeah, I think that we evolved to be,
[01:57:32.400 --> 01:57:36.400]   I prefer the term pair-bonded species.
