
[00:00:00.000 --> 00:00:03.000]   Who's your REALTOR®?
[00:43:00.000 --> 00:43:02.000]   it can't be good for you in the long run.
[00:43:02.000 --> 00:43:05.000]   And so, again, I guess that makes me all sound pretty crunchy,
[00:43:05.000 --> 00:43:07.000]   and I guess we kind of are pretty crunchy.
[00:43:07.000 --> 00:43:09.000]   But I'm not as weird as a lot of people I know,
[00:43:09.000 --> 00:43:16.000]   but those are the things that have seemed like low-hanging fruit that we have done.
[00:43:16.000 --> 00:43:17.000]   Awesome. Thank you.
[00:43:17.000 --> 00:43:18.000]   Yeah, it's something I've been thinking about.
[00:43:18.000 --> 00:43:20.000]   One more question, if that's okay.
[00:43:20.000 --> 00:43:22.000]   It's completely unrelated.
[00:43:22.000 --> 00:43:23.000]   I'm curious.
[00:43:23.000 --> 00:43:26.000]   My wife and I were actually considering hiring an au pair.
[00:43:26.000 --> 00:43:28.000]   We've got three young kids, all under six, and we both work.
[00:43:28.000 --> 00:43:31.000]   So we're thinking a little bit about that or considering it, I guess.
[00:43:31.000 --> 00:43:34.000]   Nothing like signed or official or anything.
[00:43:34.000 --> 00:43:37.000]   I was curious just if you were to be hiring an au pair,
[00:43:37.000 --> 00:43:40.000]   neither of us speak a second language fluently,
[00:43:40.000 --> 00:43:44.000]   and it's something that there's a huge draw of hiring an au pair,
[00:43:44.000 --> 00:43:47.000]   introducing a second language to yourselves and your family.
[00:43:47.000 --> 00:43:49.000]   I'm curious if you have any tips.
[00:43:49.000 --> 00:43:53.000]   So the au pair that we're talking to and considering is out of the Dominican Republic,
[00:43:53.000 --> 00:43:57.000]   which I'm not particularly familiar with the Dominican Republic.
[00:43:57.000 --> 00:44:00.000]   I know a little bit of Spanish from high school, but it's been a long, long time.
[00:44:00.000 --> 00:44:04.000]   I'm curious any tips approaching a situation like that.
[00:44:04.000 --> 00:44:06.000]   We would have a few months to get ready and prepare,
[00:44:06.000 --> 00:44:09.000]   how you would think about it and any advice you might have
[00:44:09.000 --> 00:44:12.000]   stepping into that sort of arrangement.
[00:44:12.000 --> 00:44:14.000]   Absolutely.
[00:44:14.000 --> 00:44:20.000]   The reason I'm laughing is because I despise with a passion Dominican Spanish.
[00:44:20.000 --> 00:44:23.000]   It is the worst Spanish in the world, in my opinion.
[00:44:23.000 --> 00:44:26.000]   I just anger all of my friends from the DR.
[00:44:26.000 --> 00:44:27.000]   It is the worst Spanish in the world.
[00:44:27.000 --> 00:44:32.000]   When they talk Spanish, they sound like a toothless 70-year-old man who's autistic,
[00:44:32.000 --> 00:44:34.000]   who has a mouthful of food when he talks.
[00:44:34.000 --> 00:44:38.000]   It's worse than Cuban Spanish, and that's saying something.
[00:44:38.000 --> 00:44:42.000]   But all that said, I wouldn't hesitate if you've got a great Dominican woman
[00:44:42.000 --> 00:44:46.000]   from the Dominican Republic who's going to be your au pair,
[00:44:46.000 --> 00:44:49.000]   I wouldn't hesitate a bit to hire her on that basis.
[00:44:49.000 --> 00:44:53.000]   I just can't stand myself Dominican Spanish.
[00:44:53.000 --> 00:44:58.000]   I told this guy one time – I ran into these videos of this guy on YouTube
[00:44:58.000 --> 00:45:01.000]   who was showing off his Spanish accent.
[00:45:01.000 --> 00:45:05.000]   He had chosen to acquire a Dominican accent.
[00:45:05.000 --> 00:45:10.000]   He sounded authentic 100% of the way through.
[00:45:10.000 --> 00:45:14.000]   I sat there saying, "Of all of the accents in the Spanish-speaking world
[00:45:14.000 --> 00:45:17.000]   you could have chosen, you chose this one?"
[00:45:17.000 --> 00:45:25.000]   Sorry for going on, but it's like the English equivalent would be
[00:45:25.000 --> 00:45:34.000]   like a drunk Scotsman who's been in the South and acquired –
[00:45:34.000 --> 00:45:38.000]   it's just so nonstandard.
[00:45:38.000 --> 00:45:40.000]   Whatever. It's fine.
[00:45:40.000 --> 00:45:42.000]   That's why I'm laughing.
[00:45:42.000 --> 00:45:43.000]   I don't think any of that would matter.
[00:45:43.000 --> 00:45:45.000]   So, yes, I do. I think you should hire an au pair.
[00:45:45.000 --> 00:45:49.000]   It's the best way for you to hire your own private personal caregiver
[00:45:49.000 --> 00:45:51.000]   in your home where you can supervise
[00:45:51.000 --> 00:45:54.000]   and you can be sure of very close attention.
[00:45:54.000 --> 00:45:56.000]   If you have the resources for it,
[00:45:56.000 --> 00:46:00.000]   I think it's one of the best ways to engage in child care
[00:46:00.000 --> 00:46:03.000]   so that you and your wife can work and care for your children.
[00:46:03.000 --> 00:46:05.000]   I think it's fantastic.
[00:46:05.000 --> 00:46:08.000]   I think it's obvious that finding a Spanish-speaking au pair
[00:46:08.000 --> 00:46:11.000]   is going to be easier than many other languages.
[00:46:11.000 --> 00:46:15.000]   And so hiring a Spanish-speaking au pair is great
[00:46:15.000 --> 00:46:21.000]   and it will be a very easy, simple way for you
[00:46:21.000 --> 00:46:23.000]   to add another language to the family,
[00:46:23.000 --> 00:46:25.000]   especially if she's there for a period of years
[00:46:25.000 --> 00:46:27.000]   and your children are interacting with her for years.
[00:46:27.000 --> 00:46:29.000]   It's a simple and straightforward thing.
[00:46:29.000 --> 00:46:32.000]   So, yes, yes, yes, all of the above.
[00:46:32.000 --> 00:46:34.000]   And in three years when she leaves,
[00:46:34.000 --> 00:46:40.000]   you hire a Mexican or a Panamanian or someone with a more neutral,
[00:46:40.000 --> 00:46:44.000]   not quite so extreme accent as the Dominicans use.
[00:46:44.000 --> 00:46:45.000]   Thank you.
[00:46:45.000 --> 00:46:46.000]   My pleasure.
[00:46:46.000 --> 00:46:48.000]   All right, we go to Daniel in Texas.
[00:46:48.000 --> 00:46:49.000]   Daniel, welcome to the show.
[00:46:49.000 --> 00:46:51.000]   How can I serve you today, sir?
[00:46:51.000 --> 00:46:52.000]   Hey, Joshua.
[00:46:52.000 --> 00:46:53.000]   How are you doing?
[00:46:53.000 --> 00:46:54.000]   Very well.
[00:46:54.000 --> 00:46:55.000]   Can you hear me?
[00:46:55.000 --> 00:46:56.000]   Yes, sounds good.
[00:46:56.000 --> 00:46:58.000]   Good.
[00:46:58.000 --> 00:47:01.000]   So you get to use your conspiratorial side of the brain for this,
[00:47:01.000 --> 00:47:02.000]   if you want.
[00:47:02.000 --> 00:47:04.000]   Fun.
[00:47:04.000 --> 00:47:06.000]   Yes, indeed.
[00:47:06.000 --> 00:47:09.000]   And you've talked about this, right?
[00:47:09.000 --> 00:47:11.000]   The U.S. is a bit of a disaster.
[00:47:11.000 --> 00:47:14.000]   It is quite a bit of a mess.
[00:47:14.000 --> 00:47:18.000]   And you have obviously gone back and forth on,
[00:47:18.000 --> 00:47:20.000]   is the U.S. going to fall apart tomorrow?
[00:47:20.000 --> 00:47:22.000]   Is the economy going to fall apart?
[00:47:22.000 --> 00:47:24.000]   And the answer is probably no.
[00:47:24.000 --> 00:47:32.000]   But we are also in obviously just a giant cluster of epic proportions,
[00:47:32.000 --> 00:47:34.000]   regardless of whether it's slow, fast, whatever.
[00:47:34.000 --> 00:47:36.000]   Probably slow, right?
[00:47:36.000 --> 00:47:39.000]   Probably in a slow decline in the middle of it.
[00:47:39.000 --> 00:47:42.000]   And who knows how far it goes, right?
[00:47:42.000 --> 00:47:46.000]   So as you and I have recently talked about,
[00:47:46.000 --> 00:47:50.000]   you recommending me buy a business of something I don't hate,
[00:47:50.000 --> 00:47:53.000]   and just running with it and making it better.
[00:47:53.000 --> 00:48:00.000]   I guess my thought is what I'm partially trying to think through is obviously
[00:48:00.000 --> 00:48:06.000]   anything you can produce for the people around you who will buy it is at
[00:48:06.000 --> 00:48:08.000]   minimum a neutral good.
[00:48:08.000 --> 00:48:10.000]   And you could say it's a positive good, right?
[00:48:10.000 --> 00:48:12.000]   I think you'd probably agree with that.
[00:48:12.000 --> 00:48:18.000]   It also, when the world is in the state that it's in,
[00:48:18.000 --> 00:48:20.000]   without getting too crazy about it,
[00:48:20.000 --> 00:48:25.000]   it also seems a little silly to say I'm going to go open a coffee shop,
[00:48:25.000 --> 00:48:30.000]   or I'm going to build decorative patio covers for people,
[00:48:30.000 --> 00:48:35.000]   or things that are more, I guess,
[00:48:35.000 --> 00:48:37.000]   if you want to call them unnecessary.
[00:48:37.000 --> 00:48:42.000]   It seems like we should probably be focusing more on building up good things.
[00:48:42.000 --> 00:48:45.000]   And obviously there's a lot of benefit to beauty.
[00:48:45.000 --> 00:48:47.000]   God created beauty, God created good things.
[00:48:47.000 --> 00:48:49.000]   All of that is important.
[00:48:49.000 --> 00:48:54.000]   But it seems like we potentially are in a place where that seems like the
[00:48:54.000 --> 00:48:57.000]   wrong place to be putting effort and money.
[00:48:57.000 --> 00:49:04.000]   And certainly if you start a outdoor backyard design build firm,
[00:49:04.000 --> 00:49:08.000]   is our economy going to be in the place in five years?
[00:49:08.000 --> 00:49:09.000]   I really support that.
[00:49:09.000 --> 00:49:11.000]   That's certainly another conversation.
[00:49:11.000 --> 00:49:16.000]   But I guess my question is what are your thoughts about if you were going to
[00:49:16.000 --> 00:49:18.000]   build a business, buy a business, whatever now,
[00:49:18.000 --> 00:49:23.000]   like you just do whatever and say, yeah, this seems fine.
[00:49:23.000 --> 00:49:25.000]   I'm going to buy it if the numbers are right.
[00:49:25.000 --> 00:49:31.000]   Or would you say it makes more sense to focus on things that are more
[00:49:31.000 --> 00:49:36.000]   important to rebuild society than the fun things, if that makes sense?
[00:49:36.000 --> 00:49:38.000]   Yeah.
[00:49:38.000 --> 00:49:44.000]   For years, I haven't read it much over the last few years,
[00:49:44.000 --> 00:49:47.000]   but for years I would read Survival Blog,
[00:49:47.000 --> 00:49:50.000]   survivalblog.com by James Wesley Rawls.
[00:49:50.000 --> 00:49:54.000]   And James has been on the show here at Radical Personal Finance several
[00:49:54.000 --> 00:49:55.000]   times, been years since I spoke to him.
[00:49:55.000 --> 00:49:59.000]   But I would read his blog and one of the things that he talked about on the
[00:49:59.000 --> 00:50:03.000]   blog is he would talk about businesses and being prepared for the end of the
[00:50:03.000 --> 00:50:05.000]   world as we know it and what that looks like.
[00:50:05.000 --> 00:50:09.000]   And when I would read his commentary,
[00:50:09.000 --> 00:50:14.000]   one of the things that I have always found at the time and still find
[00:50:14.000 --> 00:50:20.000]   astonishing is that so much of it was based on this idea of the lights going
[00:50:20.000 --> 00:50:21.000]   out.
[00:50:21.000 --> 00:50:24.000]   And so he would talk about the importance of the basics.
[00:50:24.000 --> 00:50:29.000]   He would talk about the importance of being able to do leather working or
[00:50:29.000 --> 00:50:34.000]   having a foot-operated sewing machine and having hand tools and things like
[00:50:34.000 --> 00:50:35.000]   that.
[00:50:35.000 --> 00:50:36.000]   And to me,
[00:50:36.000 --> 00:50:40.000]   it seems obviously intelligent to have backups in case the electricity goes
[00:50:40.000 --> 00:50:42.000]   out because the electricity goes out.
[00:50:42.000 --> 00:50:46.000]   But it seems crazy to me to think that the electricity would go out for an
[00:50:46.000 --> 00:50:48.000]   extended period of time.
[00:50:48.000 --> 00:50:52.000]   And that would be the distinction I would make.
[00:50:52.000 --> 00:50:56.000]   Is the electricity going to go out for an extended period of time or is it
[00:50:56.000 --> 00:50:59.000]   going to go out for a temporary amount of time?
[00:50:59.000 --> 00:51:02.000]   And preparing for a temporary amount of time seems smart.
[00:51:02.000 --> 00:51:03.000]   To me,
[00:51:03.000 --> 00:51:06.000]   preparing that the electricity is going to be off for the rest of your life
[00:51:06.000 --> 00:51:07.000]   seems crazy.
[00:51:07.000 --> 00:51:10.000]   So using that as an analogy,
[00:51:10.000 --> 00:51:16.000]   I think that I've become convinced that predicting crisis on the basis of
[00:51:16.000 --> 00:51:20.000]   prepper novels is a bad way to predict crisis.
[00:51:20.000 --> 00:51:21.000]   I enjoy prepper novels.
[00:51:21.000 --> 00:51:23.000]   I find them fun and interesting.
[00:51:23.000 --> 00:51:28.000]   And I like to read Lights Out and I love Rawls' series of novels.
[00:51:28.000 --> 00:51:30.000]   I enjoy them.
[00:51:30.000 --> 00:51:32.000]   But I realized,
[00:51:32.000 --> 00:51:36.000]   especially starting about five years ago when I started to get so involved in
[00:51:36.000 --> 00:51:39.000]   Venezuela and especially with COVID,
[00:51:39.000 --> 00:51:46.000]   I realized how unlikely a lot of those scenarios are in terms of the
[00:51:46.000 --> 00:51:52.000]   suddenness of catastrophe and also the permanence of catastrophe and what
[00:51:52.000 --> 00:51:54.000]   people value with it.
[00:51:54.000 --> 00:51:56.000]   I know it sounds like I'm giving you a roundabout answer.
[00:51:56.000 --> 00:51:57.000]   I'm driving at something.
[00:51:57.000 --> 00:51:58.000]   It'll be obvious in a moment.
[00:51:58.000 --> 00:52:00.000]   The first thing is with regard to the suddenness,
[00:52:00.000 --> 00:52:06.000]   COVID convinced me that I had a completely flawed view of suddenness.
[00:52:06.000 --> 00:52:10.000]   And I expected when I would read the first chapter of Patriots,
[00:52:10.000 --> 00:52:13.000]   where all of a sudden there's a collapse and it's obvious as there's a
[00:52:13.000 --> 00:52:14.000]   collapse,
[00:52:14.000 --> 00:52:17.000]   there's a collapse on and everybody jumps in their car and gets to their
[00:52:17.000 --> 00:52:18.000]   bug out location,
[00:52:18.000 --> 00:52:24.000]   then I realized that that whole mentality had warped my thinking.
[00:52:24.000 --> 00:52:29.000]   And I watched the collapse related to coronavirus and I realized that real
[00:52:29.000 --> 00:52:34.000]   world collapses are so slow oftentimes that you aren't ever sure if it's
[00:52:34.000 --> 00:52:37.000]   actually a collapse or not until it's too late.
[00:52:37.000 --> 00:52:42.000]   And this affected even how I taught about preparedness,
[00:52:42.000 --> 00:52:44.000]   teach about preparedness.
[00:52:44.000 --> 00:52:48.000]   And I realized that the only answer is going to be to build a plan where you
[00:52:48.000 --> 00:52:50.000]   can – if you have to leave,
[00:52:50.000 --> 00:52:53.000]   you need to be able to leave early when it's not obvious.
[00:52:53.000 --> 00:52:56.000]   Otherwise, your normalcy bias is going to be too high.
[00:52:56.000 --> 00:52:59.000]   And then the other thing was related to Venezuela about the severity of the
[00:52:59.000 --> 00:53:01.000]   collapse and what people value.
[00:53:01.000 --> 00:53:08.000]   The best thing you can do is go online and start searching for YouTubers that
[00:53:08.000 --> 00:53:10.000]   are based in Venezuela.
[00:53:10.000 --> 00:53:12.000]   Venezuela has had, over the last decade,
[00:53:12.000 --> 00:53:18.000]   the most extreme collapse of any country in the world,
[00:53:18.000 --> 00:53:20.000]   any large modern country.
[00:53:20.000 --> 00:53:24.000]   They've had over 1 million percent hyperinflation in a single year's period
[00:53:24.000 --> 00:53:25.000]   of time.
[00:53:25.000 --> 00:53:28.000]   And that has continued for all kinds of time.
[00:53:28.000 --> 00:53:32.000]   It's the country that went from the absolute heights to the absolute depths.
[00:53:32.000 --> 00:53:35.000]   And you can find all of this documented on YouTube,
[00:53:35.000 --> 00:53:38.000]   all of it available with all kinds of YouTubers there for you.
[00:53:38.000 --> 00:53:40.000]   It's not going to be in Spanish, but it's all there.
[00:53:40.000 --> 00:53:41.000]   You can see it.
[00:53:41.000 --> 00:53:42.000]   You can tour it.
[00:53:42.000 --> 00:53:46.000]   And what is shocking about it is none of it looks like returning to an
[00:53:46.000 --> 00:53:50.000]   agrarian society in any way, shape, or form.
[00:53:50.000 --> 00:53:57.000]   On the contrary, in the crisis, it's even more important to be up-to-date
[00:53:57.000 --> 00:54:01.000]   with technology and the stuff that people want.
[00:54:01.000 --> 00:54:06.000]   So, for example, Venezuela has had a terrible power situation where the power
[00:54:06.000 --> 00:54:07.000]   has been off.
[00:54:07.000 --> 00:54:09.000]   They've destroyed their energy fields.
[00:54:09.000 --> 00:54:12.000]   They completely have no ability to keep the lights on.
[00:54:12.000 --> 00:54:17.000]   So they keep the lights on for their constant rolling brownouts.
[00:54:17.000 --> 00:54:19.000]   And, again, it depends on the region.
[00:54:19.000 --> 00:54:22.000]   But throughout the country for years they've had constant rolling brownouts.
[00:54:22.000 --> 00:54:26.000]   But they're just as technologically dependent as anything else.
[00:54:26.000 --> 00:54:28.000]   And so if you're talking with a Venezuelan,
[00:54:28.000 --> 00:54:31.000]   you'll get a call at 3 o'clock in the morning because all of a sudden the power
[00:54:31.000 --> 00:54:34.000]   just came on, and now all the cell phone towers are up,
[00:54:34.000 --> 00:54:36.000]   and we've got to connect with everybody.
[00:54:36.000 --> 00:54:38.000]   And so the cell phone is just as important,
[00:54:38.000 --> 00:54:40.000]   even though the power is basically off.
[00:54:40.000 --> 00:54:42.000]   Nobody goes back to writing letters.
[00:54:42.000 --> 00:54:46.000]   It's just that the dependency on the cell phone is even more.
[00:54:46.000 --> 00:54:50.000]   If you go to Caracas and you look around in Caracas,
[00:54:50.000 --> 00:54:54.000]   what you find is that the rich are living just as high on the hog as they ever did.
[00:54:54.000 --> 00:54:59.000]   And so the people around are without money, but the rich still have money.
[00:54:59.000 --> 00:55:03.000]   And you go into the supermarkets, into the fancy supermarkets in Caracas,
[00:55:03.000 --> 00:55:07.000]   and you find that it's just astonishing the stuff that's available.
[00:55:07.000 --> 00:55:10.000]   So I guess the lessons that I've drawn from that,
[00:55:10.000 --> 00:55:13.000]   and the other thing I was going to push on is what do people want.
[00:55:13.000 --> 00:55:16.000]   Well, certainly people want food, and they need food,
[00:55:16.000 --> 00:55:21.000]   but their desire for other things doesn't necessarily change all that much.
[00:55:21.000 --> 00:55:25.000]   The luxuries are still just as valuable, and people want the luxuries,
[00:55:25.000 --> 00:55:27.000]   and they'll do anything to get the luxuries.
[00:55:27.000 --> 00:55:30.000]   So I think the mental model, based upon--
[00:55:30.000 --> 00:55:33.000]   those are my experiences that I've observed and kind of thought about.
[00:55:33.000 --> 00:55:37.000]   I think the mental model that a crisis is going to come on,
[00:55:37.000 --> 00:55:42.000]   and we're all going to go back to a single-bottom plow being pulled by Betsy
[00:55:42.000 --> 00:55:47.000]   is just a flawed model on basically every level.
[00:55:47.000 --> 00:55:48.000]   We're not going back.
[00:55:48.000 --> 00:55:50.000]   Back to the technology for a moment.
[00:55:50.000 --> 00:55:54.000]   The pathway for Venezuelans out of poverty has usually been
[00:55:54.000 --> 00:55:56.000]   at the other end of an Internet connection,
[00:55:56.000 --> 00:56:00.000]   and the most connected and the most technologically capable Venezuelans
[00:56:00.000 --> 00:56:05.000]   have been able to create a pathway for themselves out of poverty
[00:56:05.000 --> 00:56:08.000]   because they could access the global market.
[00:56:08.000 --> 00:56:13.000]   So what I notice is that even in times of crisis, the rich do fine.
[00:56:13.000 --> 00:56:18.000]   And so I don't think it's wrong to have a business that's serving a luxury product.
[00:56:18.000 --> 00:56:22.000]   On the contrary, it's probably better to have that even in a crisis,
[00:56:22.000 --> 00:56:29.000]   in a collapse, than it is to have a basic service need
[00:56:29.000 --> 00:56:32.000]   because, yes, people need the basic service need,
[00:56:32.000 --> 00:56:36.000]   but the price pressure is going to be intense in the basic services
[00:56:36.000 --> 00:56:38.000]   as compared to the luxury services.
[00:56:38.000 --> 00:56:40.000]   And the rich people, they still have money.
[00:56:40.000 --> 00:56:42.000]   They're rich. They have money.
[00:56:42.000 --> 00:56:46.000]   And a 20% change in a billionaire's net worth
[00:56:46.000 --> 00:56:49.000]   doesn't cause him to change any of his decisions on a daily basis,
[00:56:49.000 --> 00:56:52.000]   just as a 20% change in a billionaire's net worth.
[00:56:52.000 --> 00:56:59.000]   A 20% change in a day laborer's workability destroys everything.
[00:56:59.000 --> 00:57:01.000]   So I don't think that model--
[00:57:01.000 --> 00:57:06.000]   I can't find much evidence at all of the idea of collapse
[00:57:06.000 --> 00:57:12.000]   and turning to basic growing food to give to people being--
[00:57:12.000 --> 00:57:15.000]   I can't find an analog for that in the modern world.
[00:57:15.000 --> 00:57:18.000]   I'm willing to believe that it could be the case.
[00:57:18.000 --> 00:57:24.000]   Immediate global nuclear war and half the world's population is gone.
[00:57:24.000 --> 00:57:26.000]   Do we all go back to the Stone Age? Sure.
[00:57:26.000 --> 00:57:28.000]   But I can't find any--
[00:57:28.000 --> 00:57:30.000]   all of the collapses I've studied of the modern day,
[00:57:30.000 --> 00:57:34.000]   I can't find that to be the case.
[00:57:34.000 --> 00:57:37.000]   Yeah. Yeah.
[00:57:37.000 --> 00:57:39.000]   And I guess if--
[00:57:39.000 --> 00:57:41.000]   I'm going to go a slightly different direction with this.
[00:57:41.000 --> 00:57:43.000]   I'd probably explain it wrong.
[00:57:43.000 --> 00:57:47.000]   I'm not so much worried about the dramatic collapse,
[00:57:47.000 --> 00:57:51.000]   the power grid turns off, the internet goes down, whatever.
[00:57:51.000 --> 00:57:56.000]   I guess I'm more thinking--
[00:57:56.000 --> 00:58:02.000]   if everything is per se on the table from a choices perspective, right?
[00:58:02.000 --> 00:58:05.000]   Like I can choose any business to go into.
[00:58:05.000 --> 00:58:10.000]   What is the one with our society in the place that it is
[00:58:10.000 --> 00:58:15.000]   that does the most for its good, if that makes sense?
[00:58:15.000 --> 00:58:22.000]   Like what is the thing that will be most beneficial to help--
[00:58:22.000 --> 00:58:24.000]   I say rebuild society, not from the--
[00:58:24.000 --> 00:58:26.000]   we went back to the Stone Age.
[00:58:26.000 --> 00:58:29.000]   Now I need to be a blacksmith so that I can make hand tools, right?
[00:58:29.000 --> 00:58:30.000]   Right.
[00:58:30.000 --> 00:58:36.000]   But the more of the philosophical perspective of we need--
[00:58:36.000 --> 00:58:39.000]   whether you're post-millennial, pre-millennial, or whatever.
[00:58:39.000 --> 00:58:40.000]   Right.
[00:58:40.000 --> 00:58:44.000]   What is the--
[00:58:44.000 --> 00:58:46.000]   what maybe at least is the thought process,
[00:58:46.000 --> 00:58:48.000]   or maybe there should be no thought process,
[00:58:48.000 --> 00:58:55.000]   of how could I best serve the community to help bring it back to a place
[00:58:55.000 --> 00:59:01.000]   that is glorifying to God and makes America a prosperous place again.
[00:59:01.000 --> 00:59:02.000]   Does that make sense?
[00:59:02.000 --> 00:59:04.000]   Yeah, that's a totally different question than the one I answered.
[00:59:04.000 --> 00:59:05.000]   I'm trying to think through.
[00:59:05.000 --> 00:59:06.000]   Yeah, really interesting.
[00:59:06.000 --> 00:59:07.000]   Sorry.
[00:59:07.000 --> 00:59:08.000]   No, it's fine.
[00:59:08.000 --> 00:59:09.000]   So I'll give two answers.
[00:59:09.000 --> 00:59:11.000]   The first one, in the first part of what you just said,
[00:59:11.000 --> 00:59:16.000]   my instinct when what I thought you were going was to talk about
[00:59:16.000 --> 00:59:20.000]   the stability of jobs being protected from artificial intelligence
[00:59:20.000 --> 00:59:21.000]   versus those not.
[00:59:21.000 --> 00:59:25.000]   So I think that's probably a much more pressing concern.
[00:59:25.000 --> 00:59:28.000]   Artificial intelligence is probably a much more pressing concern
[00:59:28.000 --> 00:59:33.000]   than collapse of society type of thing.
[00:59:33.000 --> 00:59:38.000]   Because somebody who changes oil, has an oil change business on a car,
[00:59:38.000 --> 00:59:42.000]   is probably much better protected, or a plumber or electrician
[00:59:42.000 --> 00:59:46.000]   is better protected in today's world than somebody who does knowledge work
[00:59:46.000 --> 00:59:49.000]   in terms of the invasion by the computers.
[00:59:49.000 --> 00:59:52.000]   But that's kind of a different perspective than what you're going.
[00:59:52.000 --> 00:59:56.000]   So I'm not sure that -- I now understand kind of what you're pressing at,
[00:59:56.000 --> 01:00:01.000]   and I'm not sure that I agree with the premise of the practical being
[01:00:01.000 --> 01:00:04.000]   more important than the beautiful or the philosophic.
[01:00:04.000 --> 01:00:08.000]   I think back to when we go on vacation in Europe, all of us,
[01:00:08.000 --> 01:00:09.000]   what do we want to do?
[01:00:09.000 --> 01:00:11.000]   We want to go look at the cathedrals.
[01:00:11.000 --> 01:00:14.000]   And if you go back and try to think about the cathedrals,
[01:00:14.000 --> 01:00:15.000]   what do they represent?
[01:00:15.000 --> 01:00:19.000]   They represent an outward religious expression
[01:00:19.000 --> 01:00:22.000]   that came from a very poor society of laborers.
[01:00:22.000 --> 01:00:26.000]   And the beautiful was the focus of their society.
[01:00:26.000 --> 01:00:30.000]   The town is oriented around the cathedral.
[01:00:30.000 --> 01:00:33.000]   And they worked on the cathedral for 700 years
[01:00:33.000 --> 01:00:36.000]   while the people lived in very basic poverty,
[01:00:36.000 --> 01:00:38.000]   and they contributed their treasure and their toil,
[01:00:38.000 --> 01:00:42.000]   all of their effort and their labor to building this monument
[01:00:42.000 --> 01:00:45.000]   to their love of God, that you walk in a Gothic cathedral
[01:00:45.000 --> 01:00:47.000]   and instantly you're transported into the heavens.
[01:00:47.000 --> 01:00:49.000]   Your eyes go up and you're moved.
[01:00:49.000 --> 01:00:52.000]   You're spiritually moved on a very deep level.
[01:00:52.000 --> 01:00:56.000]   And so what is needed if a society is in crisis?
[01:00:56.000 --> 01:00:59.000]   I would not say that the way to rescue a society
[01:00:59.000 --> 01:01:03.000]   is to provide practical services to the society.
[01:01:03.000 --> 01:01:05.000]   I would say the way to rescue a society
[01:01:05.000 --> 01:01:07.000]   is to draw its attention back to the good and the beautiful,
[01:01:07.000 --> 01:01:09.000]   the virtuous and the noble,
[01:01:09.000 --> 01:01:11.000]   and to raise the heart of man out of the mud
[01:01:11.000 --> 01:01:13.000]   from thinking that he's a beast in the mud
[01:01:13.000 --> 01:01:16.000]   to recognizing that he's a spiritual burden.
[01:01:16.000 --> 01:01:20.000]   And so I think that it's a lack of spiritual inspiration
[01:01:20.000 --> 01:01:23.000]   and leadership that often causes a society
[01:01:23.000 --> 01:01:26.000]   to decline into animalistic behavior,
[01:01:26.000 --> 01:01:28.000]   which is what creates the nightmare
[01:01:28.000 --> 01:01:32.000]   that you can see around us in many places where we live.
[01:01:32.000 --> 01:01:37.000]   And yet the answer to that is not to engage in basic labor
[01:01:37.000 --> 01:01:38.000]   so that man gets rich.
[01:01:38.000 --> 01:01:42.000]   If man gets rich but has an uninspired soul,
[01:01:42.000 --> 01:01:45.000]   all he turns into is a hedonistic monster
[01:01:45.000 --> 01:01:47.000]   who abuses and enslaves other people.
[01:01:47.000 --> 01:01:51.000]   But if you can draw his attention to his higher nature
[01:01:51.000 --> 01:01:54.000]   and you can preach about the good and the beautiful
[01:01:54.000 --> 01:01:57.000]   and you can create art and you can draw him into that,
[01:01:57.000 --> 01:02:00.000]   and then combining that with technology,
[01:02:00.000 --> 01:02:02.000]   to me, those are the fundamental foundations.
[01:02:02.000 --> 01:02:08.000]   That's why so much modern scientific research--
[01:02:08.000 --> 01:02:12.000]   Christians are responsible for the scientific revolution
[01:02:12.000 --> 01:02:15.000]   in a philosophic way.
[01:02:15.000 --> 01:02:18.000]   Now, that scientific revolution has been continued
[01:02:18.000 --> 01:02:21.000]   by many people of many religions and non-religions,
[01:02:21.000 --> 01:02:25.000]   but the original inspiration of the scientific revolution
[01:02:25.000 --> 01:02:30.000]   that transformed our world was a religious thing.
[01:02:30.000 --> 01:02:32.000]   So I haven't thought deeply about this question,
[01:02:32.000 --> 01:02:35.000]   and I'm going to, and I'd love to hear you answer
[01:02:35.000 --> 01:02:37.000]   your own question and tell me what you think,
[01:02:37.000 --> 01:02:39.000]   but I don't buy the premise
[01:02:39.000 --> 01:02:42.000]   that we should turn to practicality.
[01:02:42.000 --> 01:02:43.000]   I don't buy that.
[01:02:43.000 --> 01:02:48.000]   I think that there's an even more important reason
[01:02:48.000 --> 01:02:52.000]   for us to raise the mind, the soul,
[01:02:52.000 --> 01:02:56.000]   and I'm not denying scientific advancement.
[01:02:56.000 --> 01:02:57.000]   I believe that's fundamental.
[01:02:57.000 --> 01:02:59.000]   Technological advancement, good engineering,
[01:02:59.000 --> 01:03:05.000]   good practical and theoretical research needs to be done,
[01:03:05.000 --> 01:03:08.000]   but I am saying that I'd rather we spend more time
[01:03:08.000 --> 01:03:11.000]   on the humanities and philosophy and religion
[01:03:11.000 --> 01:03:17.000]   rather than just immediately going to something practical.
[01:03:17.000 --> 01:03:19.000]   How would you answer your own question?
[01:03:19.000 --> 01:03:22.000]   What do you think?
[01:03:22.000 --> 01:03:23.000]   I don't have a clean answer.
