
[00:00:00.040 --> 00:00:06.980]   Mmmm think but
[00:44:29.620 --> 00:44:29.620]   I could easily obtain a new position.
[00:44:29.620 --> 00:44:29.620]   And I would be much happier having done that than having not tried it and never knowing.
[00:44:29.620 --> 00:44:29.620]   And so I could easily today go back to the financial planning world.
[00:44:29.620 --> 00:44:59.620]   and I would be much happier having done that than having not tried it and never knowing.
[00:44:59.620 --> 00:44:59.620]   And so I could easily today go back to the financial planning world.
[00:44:59.620 --> 00:44:59.620]   And so I could easily today go back to the financial planning world.
[00:44:59.620 --> 00:44:59.620]   And so I could easily today go back to the financial planning world.
[00:44:59.640 --> 00:45:02.500]   And then to see if you believe in it enough to try.
[00:45:02.500 --> 00:45:02.540]   And then to see if you believe in it enough to try.
[00:45:02.540 --> 00:45:02.620]   And then to see if you believe in it enough to try.
[00:45:02.620 --> 00:45:04.820]   And there's no guarantee that you're right,
[00:45:04.820 --> 00:45:04.860]   And there's no guarantee that you're right,
[00:45:04.860 --> 00:45:06.820]   And there's no guarantee that you're right, but there's a good chance that you are.
[00:45:06.820 --> 00:45:06.860]   but there's a good chance that you are.
[00:45:06.860 --> 00:45:10.260]   but there's a good chance that you are. And when you have the guts to say,
[00:45:10.260 --> 00:45:10.300]   And when you have the guts to say,
[00:45:10.300 --> 00:45:13.620]   And when you have the guts to say, "Okay, I'm willing to put my time into this.
[00:45:13.620 --> 00:45:13.660]   "Okay, I'm willing to put my time into this.
[00:45:13.660 --> 00:45:15.220]   "Okay, I'm willing to put my time into this. I'm willing to stake myself on this."
[00:45:15.220 --> 00:45:15.260]   I'm willing to stake myself on this."
[00:45:15.260 --> 00:45:31.300]  ,
[00:45:31.300 --> 00:45:39.460]   Now, are you specifically, do you want my comment on podcasting specifically?
[00:45:39.460 --> 00:45:39.500]   Now, are you specifically, do you want my comment on podcasting specifically?
[00:45:39.500 --> 00:45:39.540]   Now, are you specifically, do you want my comment on podcasting specifically?
[00:45:39.540 --> 00:45:40.540]   Is it too late to build a good podcast?
[00:45:40.540 --> 00:45:40.580]   Is it too late to build a good podcast?
[00:45:40.580 --> 00:45:41.300]   Is that what you want me to respond to?
[00:45:41.300 --> 00:45:41.340]   Is that what you want me to respond to?
[00:45:41.340 --> 00:45:41.460]   Is that what you want me to respond to?
[00:45:41.460 --> 00:45:41.540]   No, no, no.
[00:45:41.540 --> 00:45:41.580]   No, no, no.
[00:45:41.580 --> 00:45:43.460]   No, no, no. But I guess what I'm, where I'm coming from is the fact that I have a few different ideas.
[00:45:43.460 --> 00:45:43.500]   No, no, no, no. But I guess what I'm where I'm coming from is the fact that I have a few different ideas.
[00:45:43.520 --> 00:45:45.540]   And that's the challenge.
[00:45:45.540 --> 00:45:45.540]   And that's the challenge.
[00:45:45.540 --> 00:45:45.540]   And that's the challenge. You know, it's not like I have this one idea that I think the time is perfect for.
[00:45:45.540 --> 00:45:45.540]   You know, it's not like I have this one idea that I think the time is perfect for.
[00:45:45.540 --> 00:45:45.540]   You know, it's not like I have this one idea that I think the time is perfect for. It's that I have, you know, four or five or six different ideas.
[00:45:45.540 --> 00:45:45.580]   It's that I have, you know, four or five or six different ideas.
[00:45:45.580 --> 00:46:01.580]   It's that I have, you know, four or five or six different ideas. And I'm saying, "Okay, well, this one, the timing seems right, but I don't know if I'm quite as passionate about this other one where the timing doesn't seem right."
[00:46:01.580 --> 00:46:21.660]  , you know, and trying to weigh all those different factors and determine which of those should I kind of like really put my bet on first, you know?
[00:46:21.660 --> 00:46:21.700]   , you know, and trying to weigh all those different factors and determine which of those should I kind of like really put my bet on first, you know?
[00:46:21.700 --> 00:46:22.660]   , you know, and trying to weigh all those different factors and determine which of those should I kind of like really put my bet on first, you know?
[00:46:22.660 --> 00:46:22.700]   , you know, and trying to weigh all those different factors and determine which of those should I kind of like really put my bet on first, you know?
[00:46:22.700 --> 00:46:22.700]   , you know, and trying to weigh all those different factors and determine which of those should I kind of like really put my bet on first, you know?
[00:46:22.700 --> 00:46:22.740]   , you know, and trying to weigh all those different factors and determine which of those should I kind of like really put my bet on first, you know?
[00:46:22.760 --> 00:46:34.500]   Right. Here's my answer, and I'll give you this as kind of just my closing answer to that question because it's a good question and it's not an easy one, but here's my answer to it that I hope will help you.
[00:46:34.500 --> 00:46:34.500]   Right. Here's my answer, and I'll give you this as kind of just my closing answer to that question because it's a good question and it's not an easy one, but here's my answer to it that I hope will help you.
[00:46:34.500 --> 00:46:35.540]   Right. Here's my answer, and I'll give you this as kind of just my closing answer to that question because it's a good question and it's not an easy one, but here's my answer to it that I hope will help you.
[00:46:35.540 --> 00:46:35.580]   A good idea is pretty much working. It's a good idea. You're not going to have to spend a lot of time trying to figure out which of those should I kind of like really put my bet on first, you know?
[00:46:49.580 --> 00:47:19.420]  , and the author's main point, or what I remember as the author's main point, what impacted me about the book was the idea that basically it all comes down to execution.
[00:47:19.420 --> 00:47:19.600]   And if you look at somebody who is successful, especially as an entrepreneur, if you look at somebody who's effective and successful, it very, very rarely comes down to the fact that they're not going to be successful.
[00:47:19.600 --> 00:47:19.600]   And if you look at somebody who's effective and successful, it very, very rarely comes down to the fact that they're not going to be successful.
[00:47:19.600 --> 00:47:19.600]   And if you look at somebody who's effective and successful, it very, very rarely comes down to the fact that they're not going to be successful.
[00:47:19.640 --> 00:47:28.120]   fawn to them having a good idea, and it very much comes down to their ability to actually execute on the idea that they had.
[00:47:28.120 --> 00:47:38.240]   There are lots of people with all kinds of good ideas who never do anything with them, or who try to do something with them, and who can't accomplish them.
[00:47:38.240 --> 00:47:40.800]   But it all comes down to your ability to execute.
[00:47:40.800 --> 00:47:45.720]   I used to be scared that if I told other people my ideas, then they would steal them and run with them.
[00:47:45.720 --> 00:47:49.620]   And now, as I've grown and I'm gaining more experience,
[00:47:49.620 --> 00:47:49.620]   I've become more confident in my ability to execute.
[00:47:49.620 --> 00:47:49.620]   I've become more confident in my ability to execute.
[00:47:49.620 --> 00:47:49.620]   I've become more confident in my ability to execute.
[00:47:49.620 --> 00:47:49.620]   I've become more confident in my ability to execute.
[00:47:49.620 --> 00:47:49.620]   I've become more confident in my ability to execute.
[00:47:49.620 --> 00:47:49.620]   I've become more confident in my ability to execute.
[00:47:49.620 --> 00:47:49.620]   I've become more confident in my ability to execute.
[00:47:49.620 --> 00:48:19.640]   I've become more confident in my ability to execute.
[00:48:19.640 --> 00:48:19.640]   I've become more confident in my ability to execute.
[00:48:19.640 --> 00:48:19.640]   I've become more confident in my ability to execute.
[00:48:19.640 --> 00:48:19.640]   I've become more confident in my ability to execute.
[00:48:19.640 --> 00:48:19.640]   I've become more confident in my ability to execute.
[00:48:19.640 --> 00:48:19.640]   I've become more confident in my ability to execute.
[00:48:19.640 --> 00:48:19.640]   I've become more confident in my ability to execute.
[00:48:19.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:48:49.660]   I've become more confident in my ability to execute.
[00:48:49.660 --> 00:49:19.680]   I've become more confident in my ability to execute.
[00:49:19.680 --> 00:49:19.680]   I've become more confident in my ability to execute.
[00:49:19.680 --> 00:49:19.680]   I've become more confident in my ability to execute.
[00:49:19.680 --> 00:49:19.680]   I've become more confident in my ability to execute.
[00:49:19.680 --> 00:49:19.680]   I've become more confident in my ability to execute.
[00:49:19.680 --> 00:49:19.680]   I've become more confident in my ability to execute.
[00:49:19.680 --> 00:49:19.680]   I've become more confident in my ability to execute.
[00:49:19.680 --> 00:49:19.680]   I've become more confident in my ability to execute.
[00:49:19.680 --> 00:49:19.680]   I've become more confident in my ability to execute.
[00:49:19.680 --> 00:49:19.680]   I've become more confident in my ability to execute.
[00:49:19.680 --> 00:49:19.680]   I've become more confident in my ability to execute.
[00:49:19.700 --> 00:49:49.700]   I've become more confident in my ability to execute.
[00:49:49.700 --> 00:49:49.700]   I've become more confident in my ability to execute.
[00:49:49.700 --> 00:49:49.700]   I've become more confident in my ability to execute.
[00:49:49.700 --> 00:49:49.700]   I've become more confident in my ability to execute.
[00:49:49.700 --> 00:49:49.700]   I've become more confident in my ability to execute.
[00:49:49.700 --> 00:49:49.700]   I've become more confident in my ability to execute.
[00:49:49.700 --> 00:49:49.700]   Kevin in Colorado, welcome, sir. You will be our final caller of the day. How can I serve you?
[00:49:49.700 --> 00:49:49.700]   Kevin in Colorado, welcome, sir. You will be our final caller of the day. How can I serve you?
[00:49:49.700 --> 00:49:49.700]   Kevin in Colorado, welcome, sir. You will be our final caller of the day. How can I serve you?
[00:49:49.700 --> 00:49:49.700]   Kevin in Colorado, welcome, sir. You will be our final caller of the day. How can I serve you?
[00:49:49.700 --> 00:49:49.700]   Kevin in Colorado, welcome, sir. You will be our final caller of the day. How can I serve you?
[00:49:49.740 --> 00:49:59.660]  're
[00:49:59.660 --> 00:49:59.800]  ר. I say that.
[00:49:59.800 --> 00:50:18.280]   like, of, 내�,,,,,,,,,, over. me didnWill yours curtain OH B 받ования vind Maker dominant cess 분들이 en potent这 Bottom day and Z beaten問 little
[00:50:19.140 --> 00:50:26.760]   400
[00:50:26.760 --> 00:50:29.620]   home in the "
[00:50:29.620 --> 00:50:47.480]   don
[00:51:16.860 --> 00:51:16.860]   and
[00:51:16.860 --> 00:51:16.860]   and
[00:51:16.860 --> 00:51:16.860]   and
[00:51:16.860 --> 00:51:16.860]   and
[00:51:16.860 --> 00:51:16.860]   and
[00:51:16.860 --> 00:51:16.860]   and
[00:52:10.660 --> 00:52:10.660]  , and I'm going to talk about the
[00:52:10.660 --> 00:52:21.460]   and I'm going to talk about the
[00:52:21.460 --> 00:52:21.540]   and I'm going to talk about the
[00:52:21.540 --> 00:52:21.540]   and I'm going to talk about the
[00:52:21.540 --> 00:52:21.540]   and I'm going to talk about the
[00:52:21.540 --> 00:52:21.540]   and I'm going to talk about the
[00:52:21.540 --> 00:52:21.620]   and I'm going to talk about the
[00:52:21.620 --> 00:52:21.700]   and I'm going to talk about the
[00:52:21.700 --> 00:52:21.780]   and I'm going to talk about the
[00:52:21.780 --> 00:52:21.860]   and I'm going to talk about the
[00:52:21.860 --> 00:52:21.940]   and I'm going to talk about the
[00:52:21.940 --> 00:52:22.020]   and I'm going to talk about the
[00:52:22.020 --> 00:52:22.100]   and I'm going to talk about the
[00:52:22.100 --> 00:52:22.180]   and I'm going to talk about the
[00:52:22.180 --> 00:52:22.220]   and I'm going to talk about the
[00:52:22.220 --> 00:52:26.540]   and I'm going to talk about the
[00:52:26.540 --> 00:52:26.580]   and I'm going to talk about the
[00:52:26.580 --> 00:52:26.700]   and I'm going to talk about the
[00:52:26.700 --> 00:52:26.820]   and I'm going to talk about the
[00:52:26.820 --> 00:52:26.980]   and I'm going to talk about the
[00:52:26.980 --> 00:52:27.060]   and I'm going to talk about the
[00:52:27.900 --> 00:52:43.540]  , and I'm going to talk about the
[00:52:43.540 --> 00:52:43.980]   and I'm going to talk about the
[00:52:43.980 --> 00:52:44.020]   and I'm going to talk about the
[00:52:44.020 --> 00:52:44.100]   and I'm going to talk about the
[00:52:44.100 --> 00:52:44.180]   and I'm going to talk about the
[00:52:44.180 --> 00:52:44.260]   and I'm going to talk about the
[00:52:44.260 --> 00:52:44.300]   and I'm going to talk about the
[00:52:44.300 --> 00:52:44.380]   and I'm going to talk about the
[00:52:44.380 --> 00:52:44.460]   and I'm going to talk about the
[00:52:44.460 --> 00:52:44.500]   and I'm going to talk about the
[00:52:44.500 --> 00:52:44.540]   and I'm going to talk about the
[00:52:44.540 --> 00:52:44.580]   and I'm going to talk about the
[00:52:44.580 --> 00:52:44.620]   and I'm going to talk about the
[00:52:44.620 --> 00:52:44.660]   and I'm going to talk about the
[00:52:44.660 --> 00:52:44.700]   and I'm going to talk about the
[00:52:44.700 --> 00:52:44.780]   and I'm going to talk about the
[00:52:44.780 --> 00:52:44.780]   and I'm going to talk about the
[00:52:44.780 --> 00:52:44.820]   and I'm going to talk about the
[00:52:44.820 --> 00:52:44.860]   and I'm going to talk about the
[00:52:44.860 --> 00:52:45.300]   and I'm going to talk about the
[00:52:45.300 --> 00:52:45.900]   and I'm going to talk about the
[00:52:45.900 --> 00:52:46.780]   and I'm going to talk about the
[00:53:14.900 --> 00:53:15.940]  , but I'm going to talk about the.
[00:54:12.220 --> 00:54:12.220]   I'm going to talk about the.
[00:54:12.220 --> 00:54:12.220]   I'm going to talk about the.
[00:54:12.220 --> 00:54:12.220]   I'm going to talk about the.
[00:54:12.220 --> 00:54:12.220]   I'm going to talk about the.
[00:54:12.220 --> 00:54:12.260]   I'm going to talk about the.
[00:54:12.260 --> 00:54:12.300]   I'm going to talk about the.
[00:54:12.300 --> 00:54:12.340]   I'm going to talk about the.
[00:54:12.340 --> 00:54:12.380]   I'm going to talk about the.
[00:54:12.380 --> 00:54:12.420]   I'm going to talk about the.
[00:54:12.420 --> 00:54:12.460]   I'm going to talk about the.
[00:54:12.460 --> 00:54:12.500]   I'm going to talk about the.
[00:54:12.500 --> 00:54:12.540]   I'm going to talk about the.
[00:54:12.540 --> 00:54:12.580]   I'm going to talk about the.
[00:54:12.580 --> 00:54:12.620]   I'm going to talk about the.
[00:54:12.620 --> 00:54:12.660]   I'm going to talk about the.
[00:54:12.660 --> 00:54:12.740]   I'm going to talk about the.
[00:54:12.740 --> 00:54:12.820]   I'm going to talk about the.
[00:54:12.820 --> 00:54:12.860]   I'm going to talk about the.
[00:54:12.860 --> 00:54:12.900]   I'm going to talk about the.
[00:54:12.900 --> 00:54:12.980]   I'm going to talk about the.
[00:54:12.980 --> 00:54:13.060]   I'm going to talk about the.
[00:54:13.100 --> 00:54:18.100]   4.
[00:54:18.100 --> 00:54:18.140]   4.
[00:54:18.140 --> 00:54:18.180]   5.
[00:54:18.180 --> 00:54:18.220]   6.
[00:54:18.220 --> 00:54:18.260]   7.
[00:54:18.260 --> 00:54:18.300]   8.
[00:54:18.300 --> 00:54:18.340]   9.
[00:54:18.340 --> 00:54:18.380]   10.
[00:54:18.380 --> 00:54:43.060]   I work in all kinds of weird locations and I try to do that so that I can get quiet recording the recent course that I have been teaching on career and income planning was entirely recorded from underneath the pine tree and somebody who is listening very closely with their earbuds or noise can from time to time hear an airplane going off and I'm going to talk about the next one.
[00:54:43.100 --> 00:54:50.080]   Char
[00:54:50.080 --> 00:54:54.120]   two,arg until
[00:54:54.120 --> 00:55:07.220]   É I An M S I S. I, for,.,,,,,,,,, .
[00:55:07.220 --> 00:55:09.840]   butter
[00:55:09.840 --> 00:55:11.640]   believe in the back and the out the know the thing the entend the告訴DIJLESEOGSEGNMBSENSECSENSECSELSSC 복írWS pledge garn BRE LIN sleeping escaped chillur--G hey acelyill says a sound as an Понoroarch be Trael was� buy process问 crowd of實 more of sound's sex for blood事 vie def leads lorang that's smart'sann Ed and a affected la 350
[00:55:11.740 --> 00:55:15.600]   but last week's show was recorded at a rest area on the side of the road
[00:55:15.600 --> 00:55:21.000]   and so I expect this to be the norm of my life going forward for the next month
[00:55:21.000 --> 00:55:23.640]   is that I'll be in diverse locations
[00:55:23.640 --> 00:55:29.280]   so I have the equipment to work which is relatively simple
[00:55:29.280 --> 00:55:31.780]   I've moved entirely to a mobile recording setup
[00:55:31.780 --> 00:55:34.040]   I've done a lot of that over the years
[00:55:34.040 --> 00:55:40.340]   and I guess I'll skip that because that's probably only relevant to somebody who's interested in recording audio
[00:55:40.340 --> 00:55:40.380]   the big thing that I have found to be a big problem is that I'm not able to record audio on my own
[00:55:40.380 --> 00:55:40.380]   the big thing that I have found to be a big problem is that I'm not able to record audio on my own
[00:55:40.380 --> 00:55:40.380]   the big thing that I have found to be a big problem is that I'm not able to record audio on my own
[00:55:40.380 --> 00:55:40.380]   the big thing that I have found to be a big problem is that I'm not able to record audio on my own
[00:55:40.420 --> 00:56:09.080]   I'm going to boot up let me see what's happening on whatever your favorite time wasting websites are etc.
[00:56:09.080 --> 00:56:09.120]   I'm going to boot up let me see what's happening on whatever your favorite time wasting websites are etc.
[00:56:09.160 --> 00:56:17.660]  't
[00:56:17.660 --> 00:56:34.240]  're, continue to pointed™ intelig young like her under the movie, there, the, the, the, the, the, the, the,inform chased g enables géch. I was going trust in the. So,net,
[00:56:37.560 --> 00:56:46.040]  ículo refer
[00:56:46.040 --> 00:56:48.460]   I make a
[00:56:48.460 --> 00:57:01.500]   ready Lord
[00:57:06.200 --> 00:57:17.460]   make
[00:57:17.460 --> 00:57:22.600]   care find think connection belong
[00:57:22.600 --> 00:57:36.100]  minist Sugar輕
[00:59:36.260 --> 00:59:36.260]   I think it takes time. It's taking me some time, taking my family some time to get out of vacation mindset. From what I've learned from many people who've done this, if you go from going, when you go on vacation, you're accustomed to having a big difference between the structure of your home when you're home versus when you're on vacation. You may run a very orderly home when you're at home. You have regular meal times. You have regular work times. You have regular activities, regular bedtimes. You have regular work times. You have regular activities, regular bedtimes.
[01:00:06.280 --> 01:00:06.280]   ------
[01:00:06.280 --> 01:00:06.280]   ------
[01:00:06.280 --> 01:00:36.300]   ------
[01:00:36.300 --> 01:01:06.320]   ------
[01:01:06.320 --> 01:01:36.340]   ------
[01:01:36.340 --> 01:01:36.340]   ------
[01:01:36.340 --> 01:01:36.340]   ------
[01:01:36.340 --> 01:01:36.340]   ------
[01:01:36.340 --> 01:01:36.340]   ------
[01:01:36.340 --> 01:01:36.340]   ------
[01:01:36.380 --> 01:01:39.040]  -
[01:01:39.040 --> 01:01:49.220]  。 T TH AS S,,,, distinct
[01:01:49.220 --> 01:01:54.820]  這
[01:04:06.080 --> 01:04:14.060]  視
[01:04:14.060 --> 01:04:17.420]   Vatican. might be the "
[01:04:17.420 --> 01:04:34.220]   campe YOU惜 magnetic, and,,,,,,,, wasteaf per parfmarker. .áfica . 발 conotti che arts pun
[01:04:34.220 --> 01:04:35.640]   .. Al. Al.reu mem Xbox. thing. Is 92
[01:04:35.840 --> 01:04:46.340]   change
[01:04:46.340 --> 01:04:48.880]   е wished little, -,,, even di
[01:04:48.880 --> 01:05:04.200]   Yet $ρ. I'll you. I. I. I. I. I. I. I. recover and the department and the ch Electric the Sh associate the squared theraham. The Ch�. See the. I. But, all. I. I, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or mor Er-G. importantly で 쓰는
[01:05:04.200 --> 01:05:05.500]   blessed power into c marrowкуendim record an Wars đây quiere regime Babi down
[01:05:05.640 --> 01:05:16.340]   just
[01:06:32.180 --> 01:06:32.180]   and

