
[00:00:00.000 --> 00:00:08.000]   Great.
[01:11:21.000 --> 01:11:25.000]   And that's it. Okay. And then click.
[01:11:25.000 --> 01:11:34.000]   Control click actually. Yes. Alan. Hello Alan. Hi everyone. I'm from Brisbane as well. I'm currently getting over COVID.
[01:11:34.000 --> 01:11:36.000]   How are you feeling?
[01:11:36.000 --> 01:11:41.000]   Apparently I'm loud out of isolation today. I don't feel that great yet.
[01:11:41.000 --> 01:11:42.000]   Sorry mate.
[01:11:42.000 --> 01:11:44.000]   Much better though. So that's fine.
[01:11:44.000 --> 01:11:52.000]   You know, the most important thing to know about for COVID is to take it easy on exercise until you're fully recovered because it's actually makes long COVID
[01:11:52.000 --> 01:11:58.000]   higher probability if you exercise when you've still got any symptoms. So take it easy.
[01:11:58.000 --> 01:12:03.000]   That's good. Well, I'm going to go for a walk later, just to the shops.
[01:12:03.000 --> 01:12:05.000]   A nice one.
[01:12:05.000 --> 01:12:15.000]   Just I was going to say with that JupyterLab and then no browser, this is one of the ones where I discovered the aliases were really my friend.
[01:12:15.000 --> 01:12:17.000]   I was about to show you that. Yes.
[01:12:17.000 --> 01:12:18.000]   Yeah, Alan.
[01:12:18.000 --> 01:12:35.000]   And why I got it. Yeah, so yeah, exactly. So I have.
[01:12:35.000 --> 01:12:39.000]   Let's see, what do I got here?
[01:12:39.000 --> 01:12:50.000]   I actually have even an alias for alias. So for things that are kind of long and annoying to type, you can create an alias.
[01:12:50.000 --> 01:12:56.000]   So
[01:12:56.000 --> 01:13:02.000]   there's a few things we could do to not have to type JupyterLab no browser. One would be to hit up arrow.
[01:13:02.000 --> 01:13:11.000]   Now, one nice thing about up arrow is if I close my shell and go back into it, up arrow still works.
[01:13:11.000 --> 01:13:21.000]   And by the way, none of this stuff is magic, right? If you if you're wondering, why does that still work? It's because bash creates a file called dot bash history,
[01:13:21.000 --> 01:13:26.000]   which is actually really useful to know about because everything you've ever done is listed in that file.
[01:13:26.000 --> 01:13:32.000]   So here's all the things we do. This is another good reason to use the terminal is you can always go back and repeat things.
[01:13:32.000 --> 01:13:42.000]   This is actually how I create scripts. I do everything interactively. And then I copy and paste stuff from my bash history into a text file that creates a script.
[01:13:42.000 --> 01:13:56.000]   So if I hit up arrow, I can get my JupyterLab on a browser. A very, very, very helpful thing that works in Bash and ZSH is the control R keyboard shortcut. If I type control R, it says reverse search.
[01:13:56.000 --> 01:14:02.000]   And then I type JU for Jupyter. That will show me the last thing I type with those letters in.
[01:14:02.000 --> 01:14:10.000]   OK, and if that's not the right one, just hit control R again and it'll keep searching. So that's very useful.
[01:14:10.000 --> 01:14:19.000]   Jamie, is there any way to clean this is sort of clear. This is I assume that after a while it becomes such a long file.
[01:14:19.000 --> 01:14:21.000]   It's very difficult to make a script out of it.
[01:14:21.000 --> 01:14:26.000]   It's just it's just text. I think it automatically like cleans itself. But yeah, just leave it.
[01:14:26.000 --> 01:14:35.000]   You can always delete it if you want to or you can even edit it with an editor. But it's kind of nice to have all your history there, in my opinion.
[01:14:35.000 --> 01:14:38.000]   No, another thing you can do. Sorry.
[01:14:38.000 --> 01:14:44.000]   I think by default it's source 1009 or something like that, but you can set it to something more.
[01:14:44.000 --> 01:14:48.000]   Yeah, that's right. I think there's some environment variables.
[01:14:48.000 --> 01:15:00.000]   And then one other one, which is kind of interesting is exclamation mark followed by some letters runs the last thing that starts with those letters exclamation mark JU will run Jupyter lab no browser.
[01:15:00.000 --> 01:15:09.000]   Something that you'll see quite often is exclamation mark exclamation mark and that means just rerun the last command.
[01:15:09.000 --> 01:15:11.000]   As you see.
[01:15:11.000 --> 01:15:13.000]   And you can put that anywhere, by the way.
[01:15:13.000 --> 01:15:20.000]   So for example, if I type echo dollar dollar that filtered out as echo Jupyter lab no browser.
[01:15:20.000 --> 01:15:24.000]   So there's a little trick for you as well.
[01:15:24.000 --> 01:15:36.000]   OK, so Alan mentioned aliases. I could type alias Jupyter lab JL equals.
[01:15:36.000 --> 01:15:39.000]   And then I could put.
[01:15:39.000 --> 01:15:43.000]   This is going to work. Let's try it.
[01:15:43.000 --> 01:15:48.000]   Yep. Okay, so alias JL equals echo Jupyter lab.
[01:15:48.000 --> 01:15:54.000]   I don't want the echo there. Never mind. So let's just delete it.
[01:15:54.000 --> 01:15:57.000]   Oh, okay.
[01:15:57.000 --> 01:16:06.000]   When I am editing this line, there's a few shortcut keys to know about to go to the end of a line type control e.
[01:16:06.000 --> 01:16:10.000]   To go to the start of a line type control a.
[01:16:10.000 --> 01:16:21.000]   And then to go forward and backward by a word at a time, press alt left and right, which radical Nick is that option left and right on a Mac.
[01:16:21.000 --> 01:16:24.000]   To move by a word.
[01:16:24.000 --> 01:16:29.000]   I had it for a month, but couldn't get used to it.
[01:16:29.000 --> 01:16:36.000]   Nick, are you on a Mac? I'm using one as we speak right now, because it's better for running zoom on that. Yeah, you can do things like that.
[01:16:36.000 --> 01:16:43.000]   Although I'm used to all the Emacs key bindings, but that's a rabbit hole. I won't subject people to it.
[01:16:43.000 --> 01:16:48.000]   So now I've got this alias. I can just type JL.
[01:16:48.000 --> 01:16:56.000]   And it does the same thing. Now, the problem is that's not going to appear automatically next time I run my terminal.
[01:16:56.000 --> 01:17:10.000]   But remember, I told you about that special hidden thing called dot bash I see that automatically runs. So if we put it in there.
[01:17:10.000 --> 01:17:12.000]   Then it will automatically run.
[01:17:12.000 --> 01:17:19.000]   So if I close my terminal and reopen it.
[01:17:19.000 --> 01:17:33.000]   There's JL. Beautiful. Now you'll notice that when I edit files in the terminal, I tend to use a program called VIM, which as Nick well knows is obviously much better than the competition called Emacs.
[01:17:33.000 --> 01:17:37.000]   But you don't have to use either of these. You can use whatever you like.
[01:17:37.000 --> 01:17:54.000]   And in fact, on a Mac, if you type open that open dot, it'll open the finder at this directory or on Windows type explorer dot xe dot.
[01:17:54.000 --> 01:17:58.000]   Right. Oh, why doesn't that working? That's weird.
[01:17:58.000 --> 01:18:03.000]   Okay, that's never happened before.
[01:18:03.000 --> 01:18:11.000]   All right. So, amazing.
[01:18:11.000 --> 01:18:20.000]   Must be some recent change to WSL, which I will have to look into find out why explorer dot x is not working.
[01:18:20.000 --> 01:18:24.000]   I think you made a typo in the spelling explorer.
[01:18:24.000 --> 01:18:26.000]   What did I do wrong?
[01:18:26.000 --> 01:18:28.000]   I think you typed it.
[01:18:28.000 --> 01:18:31.000]   Okay, you added an extra period.
[01:18:31.000 --> 01:18:38.000]   The period at the end is intentional. That's to say open it in this directory.
[01:18:38.000 --> 01:18:42.000]   And I tried to have complete and complete didn't work. So,
[01:18:42.000 --> 01:18:57.000]   is it because they've changed it to it to work on my end. No, it's not works like your user, maybe you need to go to other user. Yeah, I tried it and another user.
[01:18:57.000 --> 01:19:01.000]   I think.
[01:19:01.000 --> 01:19:03.000]   Nevermind.
[01:19:03.000 --> 01:19:10.000]   Come back to that another day. I wonder if like.
[01:19:10.000 --> 01:19:14.000]   Yeah, what was he changed something.
[01:19:14.000 --> 01:19:20.000]   It seems to work for me. Yeah, I don't know if there's never not worked before.
[01:19:20.000 --> 01:19:26.000]   Okay, we'll figure this out and we'll cover it in the next session.
[01:19:26.000 --> 01:19:33.000]   Okay.
[01:19:33.000 --> 01:19:36.000]   Yes, this is amazing.
[01:19:36.000 --> 01:19:41.000]   And one of the things I like particularly about it.
[01:19:41.000 --> 01:19:55.000]   WSL like was the expert that x dot trick I think that's super useful and super amazing. But another wonderful thing that WSL allows you to do is to run the Linux programs in Linux.
[01:19:55.000 --> 01:20:00.000]   That's true. For example, I for example,
[01:20:00.000 --> 01:20:09.000]   use password manager, I can't imagine anything without it. And it's a pass.
[01:20:09.000 --> 01:20:16.000]   That's the US, I can just started in WSL, and it pops up a window in my windows.
[01:20:16.000 --> 01:20:34.000]   So I don't have to go there in WSL is you can just access through WSL dot localhost. So if I change this to JPH 00 I can do it this way.
[01:20:34.000 --> 01:20:37.000]   And so here's my bash RC.
[01:20:37.000 --> 01:20:42.000]   And then I can edit it with whatever I want to.
[01:20:42.000 --> 01:20:46.000]   Visual Studio Code, for example.
[01:20:46.000 --> 01:20:52.000]   Alright, so
[01:20:52.000 --> 01:20:54.000]   okay.
[01:20:54.000 --> 01:21:07.000]   So let's take a quick look at Jupiter.
[01:21:07.000 --> 01:21:10.000]   CD and these.
[01:21:10.000 --> 01:21:14.000]   When I run Jupiter.
[01:21:14.000 --> 01:21:22.000]   My other window.
[01:21:22.000 --> 01:21:24.000]   jail.
[01:21:24.000 --> 01:21:29.000]   Okay, so I'll control click here.
[01:21:29.000 --> 01:21:37.000]   When I run Jupiter by default, it's going to, it's going to kind of be inside the nbs directory. So when it says here.
[01:21:37.000 --> 01:21:46.000]   There's nothing in here, like it kind of says slash it doesn't really mean slash it means wherever I wherever you launched me from. So this is the contents of the nbs directory.
[01:21:46.000 --> 01:21:49.000]   So I can now create a new notebook.
[01:21:49.000 --> 01:21:52.000]   Like so.
[01:21:52.000 --> 01:21:58.000]   And run a cell and save.
[01:21:58.000 --> 01:22:09.000]   Okay, by default, it's called untitled by pi and be so if I now. So that's now running here right so I can't like do stuff here because it's busy running Jupiter so I'll open up another tab.
[01:22:09.000 --> 01:22:11.000]   And I can LS.
[01:22:11.000 --> 01:22:21.000]   And so on Windows terminal is just control tab to switch between tabs and you can see there it is untitled by pi and be right and we can even take a look at it. It's just a normal text file.
[01:22:21.000 --> 01:22:24.000]   Right.
[01:22:24.000 --> 01:22:30.000]   Okay, so we have Jupiter working, and we can
[01:22:30.000 --> 01:22:38.000]   import torch.
[01:22:38.000 --> 01:22:44.000]   Please object Jupiter and I pi widgets. Okay, that's interesting. Torch.
[01:22:44.000 --> 01:22:48.000]   Tensor.
[01:22:48.000 --> 01:22:51.000]   Cool. Okay.
[01:22:51.000 --> 01:22:59.000]   So, I'm guessing we need to install IPI widgets so we're getting pretty good at this. Let's try it.
[01:22:59.000 --> 01:23:05.000]   Mamba install IPI widgets.
[01:23:05.000 --> 01:23:19.000]   Oh, this is needs to be reopened.
[01:23:19.000 --> 01:23:21.000]   Okay.
[01:23:21.000 --> 01:23:27.000]   I'm surprised that's not installed by default, but there you go.
[01:23:27.000 --> 01:23:29.000]   So close Jupiter.
[01:23:29.000 --> 01:23:32.000]   Three open it.
[01:23:32.000 --> 01:23:37.000]   Control click.
[01:23:37.000 --> 01:23:39.000]   Already had it open.
[01:23:39.000 --> 01:23:42.000]   And let's see if it now works okay.
[01:23:42.000 --> 01:23:49.000]   You didn't mean to say new.
[01:23:49.000 --> 01:23:53.000]   There we go. And let's see if it now works.
[01:23:53.000 --> 01:23:58.000]   Yep, it's not complaining anymore.
[01:23:58.000 --> 01:24:01.000]   Okay.
[01:24:01.000 --> 01:24:15.000]   You can see Jupiter lab you can kind of do like normal gooey kind of stuff so if I want to delete this I could either go into my terminal and click and type RM untitled one, or I could right click on this and choose to leave.
[01:24:15.000 --> 01:24:26.000]   This feels like a pretty good place to leave things does anybody have any questions or comments before we wrap up.
[01:24:26.000 --> 01:24:29.840]   the session, Jeremy, that was really helpful in setting up a very smooth as well.

