
[00:00:00.040 --> 00:00:09.540]   quin
[01:07:35.400 --> 01:07:35.400]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
[01:07:35.400 --> 01:07:35.400]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
[01:07:35.400 --> 01:07:35.400]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
[01:07:35.400 --> 01:07:35.400]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
[01:07:35.400 --> 01:07:35.400]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
[01:07:35.400 --> 01:07:35.400]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
[01:07:35.400 --> 01:07:35.400]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
[01:07:35.400 --> 01:07:35.400]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
[01:07:35.400 --> 01:07:35.400]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
[01:07:35.440 --> 01:08:05.420]  ,
[01:08:05.420 --> 01:08:05.420]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
[01:08:05.420 --> 01:08:05.420]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
[01:08:05.420 --> 01:08:05.420]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
[01:08:05.420 --> 01:08:05.420]   The way that you're playing chess and go simultaneously trying to figure out where things are going.
[01:08:05.440 --> 01:08:35.440]   I think people can change,
[01:08:35.440 --> 01:08:35.440]   I think people can change,
[01:08:35.440 --> 01:08:35.440]   I think people can change,
[01:08:35.440 --> 01:08:35.440]   I think people can change,
[01:08:35.440 --> 01:08:35.440]   I think people can change,
[01:08:35.440 --> 01:08:35.440]   I think people can change,
[01:08:35.440 --> 01:08:35.440]   I think people can change,
[01:08:35.440 --> 01:08:35.440]   I think people can change,
[01:08:35.440 --> 01:08:35.440]   I think people can change,
[01:08:35.440 --> 01:08:35.440]   I think people can change,
[01:08:35.440 --> 01:08:35.440]   it does seem like deep down we all can kind of tell the difference between over and covert. I think one of the benefits of having this characteristical mind where I value loyalty I've been extremely fortunate to spend most of my life in overt relationships and I think that creates a really fulfilling life.
[01:08:35.440 --> 01:08:35.440]   But there's also this thing that maybe we're in this portion of the podcast now
[01:08:35.440 --> 01:08:35.440]   but there's also this thing that maybe we're in this portion of the podcast now
[01:08:35.440 --> 01:08:35.440]   that maybe we're in this portion of the podcast now
[01:08:35.440 --> 01:08:35.440]   because we're in this portion of the podcast now
[01:08:35.440 --> 01:09:05.460]   but I've experienced this late at night we're talking that's right certainly late for me but I'm two hours I came in today on I'm still in California we should also say that you came here to wish me happy birthday I did I did I and the podcast is just like a fun last minute thing I suggested yeah some close friends of yours have arranged a dinner that I'm really looking forward to I won't say which night but it's the next couple of nights your circadian clock is one of the most robots features that I've seen in the last few years
[01:09:05.500 --> 01:09:15.760]   couldn
[01:09:15.760 --> 01:09:32.760]   doesn, um mean in say
[01:09:35.540 --> 01:09:45.800]   like
[01:09:45.800 --> 01:10:04.240]   depend on,,,,
[01:10:05.480 --> 01:10:12.920]   организ
[01:10:12.920 --> 01:10:34.480]   сч be more but let
[01:10:35.500 --> 01:10:46.760]   Thousands perceive
[01:10:46.760 --> 01:10:50.640]   al .회..il..ad...
[01:10:50.640 --> 01:11:04.240]   guess I full don�� crossoverluent you Зем малень cam, you, but, but, but, but, but, but, but, but, with, but, but, with, A, For, K,,,,,,,,,,.,.,.,,,,.,,,,.,,,,., ch,
[01:11:04.240 --> 01:11:04.520]   Only, Nh donne 살아round 12ampf akoし little investட Wor decentral stripe realize travail lotta Medicare Ok silence turns Оп 2 revived hashtag Goldaround 결視plere connect aside Sony only end it änd어주 toast視 ser Chand experienceBoy can't Fourth exploitationriiet stuff económ Gel Hem 원�ent i unt final needed to show it's Fуд well sequel nett Mau-"G feel may gut mess know. Look, Miss Ew
[01:11:04.720 --> 01:11:06.740]   I�m
[01:11:06.740 --> 01:11:07.940]   a little
[01:11:07.940 --> 01:11:08.540]   scared
[01:11:08.540 --> 01:11:08.940]   I�m
[01:11:08.940 --> 01:11:09.540]   a little scared
[01:11:09.540 --> 01:11:10.040]   I�m
[01:11:10.040 --> 01:11:10.540]   a little scared
[01:11:10.540 --> 01:11:11.040]   I�m
[01:11:11.040 --> 01:11:11.540]   a little scared
[01:11:11.540 --> 01:11:12.040]   I�m
[01:11:12.040 --> 01:11:12.540]   a little scared
[01:11:12.540 --> 01:11:13.040]   I�m
[01:11:13.040 --> 01:11:13.540]   a little scared
[01:11:13.540 --> 01:11:14.040]   I�m
[01:11:14.040 --> 01:11:14.540]   a little scared
[01:11:14.540 --> 01:11:15.040]   I�m
[01:11:15.040 --> 01:11:15.540]   a little scared
[01:11:15.540 --> 01:11:16.040]   I�m
[01:11:16.040 --> 01:11:16.540]   a little scared
[01:11:16.540 --> 01:11:17.040]   I�m
[01:11:17.040 --> 01:11:17.540]   a little scared
[01:11:17.540 --> 01:11:18.040]   I�m
[01:11:18.040 --> 01:11:18.540]   a little scared
[01:11:18.540 --> 01:11:19.040]   I�m
[01:11:19.040 --> 01:11:19.540]   a little scared
[01:11:19.540 --> 01:11:20.040]   I�m
[01:11:20.040 --> 01:11:20.540]   a little scared
[01:11:20.540 --> 01:11:21.040]   I�m
[01:11:21.040 --> 01:11:21.540]   a little scared
[01:11:21.540 --> 01:11:22.040]   I�m
[01:11:22.040 --> 01:11:22.540]   a little scared
[01:11:22.540 --> 01:11:23.040]   I�m
[01:11:23.040 --> 01:11:23.540]   a little scared
[01:11:23.540 --> 01:11:24.040]   I�m
[01:11:24.040 --> 01:11:24.540]   a little scared
[01:11:24.540 --> 01:11:25.040]   I�m
[01:11:25.040 --> 01:11:25.540]   a little scared
[01:11:25.540 --> 01:11:26.040]   I�m
[01:11:26.040 --> 01:11:26.540]   a little scared
[01:11:26.540 --> 01:11:27.040]   I�m
[01:11:27.040 --> 01:11:27.540]   a little scared
[01:11:27.540 --> 01:11:28.040]   I�m
[01:11:28.040 --> 01:11:28.540]   a little scared
[01:11:28.540 --> 01:11:29.040]   I�m
[01:11:29.080 --> 01:11:38.820]   Professor
[01:11:38.820 --> 01:11:41.220]   white. B Qiserotta над
[01:11:41.220 --> 01:11:45.580]   way. I am all but the d. .. . . .Vonde firearm core alt per arrested fund over's is the net and I'm not is the way of the Is that's is aslated
[01:11:45.580 --> 01:11:56.620]   build Thi
[01:11:56.620 --> 01:11:58.020]   inclus Hunger
[01:11:58.140 --> 01:12:07.040]   three
[01:12:07.040 --> 01:12:08.900]   cook just W M
[01:13:20.780 --> 01:13:20.780]   I'm trying to figure out
[01:13:20.780 --> 01:13:20.780]   I'm trying to figure out
[01:13:20.780 --> 01:13:20.780]   I'm trying to figure out
[01:13:20.780 --> 01:13:20.780]   I'm trying to figure out
[01:13:20.780 --> 01:13:20.780]   I'm trying to figure out
[01:13:20.780 --> 01:13:20.780]   I'm trying to figure out
[01:13:20.780 --> 01:13:20.780]   I'm trying to figure out
[01:13:20.780 --> 01:13:20.780]   I'm trying to figure out
[01:13:20.780 --> 01:13:20.780]   I'm trying to figure out
[01:13:20.780 --> 01:13:20.860]   I'm trying to figure out
[01:13:20.860 --> 01:13:20.940]   I'm trying to figure out
[01:13:20.940 --> 01:13:21.060]   I'm trying to figure out
[01:13:21.060 --> 01:13:21.180]   I'm trying to figure out
[01:13:21.180 --> 01:13:21.260]   I'm trying to figure out
[01:13:21.260 --> 01:13:21.340]   I'm trying to figure out what I'm doing.
[01:13:21.340 --> 01:13:21.460]   what I'm doing.
[01:13:21.460 --> 01:13:21.540]   what I'm doing. I'm trying to figure out what I'm doing.
[01:13:21.540 --> 01:13:21.620]   I'm trying to figure out what I'm doing.
[01:13:21.620 --> 01:13:21.700]   I'm trying to figure out what I'm doing.
[01:13:21.700 --> 01:13:21.780]   I'm trying to figure out what I'm doing.
[01:13:21.780 --> 01:13:22.020]   I'm trying to figure out what I'm doing.
[01:13:22.020 --> 01:13:22.100]   I'm trying to figure out what I'm doing.
[01:13:22.140 --> 01:13:37.180]   I'm trying to figure out what I'm doing.
[01:13:37.180 --> 01:13:37.220]   I'm trying to figure out what I'm doing.
[01:13:37.220 --> 01:13:37.300]   I'm trying to figure out what I'm doing.
[01:13:37.300 --> 01:13:37.380]   I'm trying to figure out what I'm doing.
[01:13:37.380 --> 01:13:37.460]   I'm trying to figure out what I'm doing.
[01:13:37.460 --> 01:13:37.500]   I'm trying to figure out what I'm doing.
[01:13:37.500 --> 01:13:37.580]   I'm trying to figure out what I'm doing.
[01:13:37.580 --> 01:13:37.620]   I'm trying to figure out what I'm doing.
[01:13:37.620 --> 01:13:37.700]   I'm trying to figure out what I'm doing.
[01:13:37.700 --> 01:13:37.780]   I'm trying to figure out what I'm doing.
[01:13:37.780 --> 01:13:37.820]   I'm trying to figure out what I'm doing.
[01:13:37.820 --> 01:13:37.860]   I'm trying to figure out what I'm doing.
[01:13:37.860 --> 01:13:37.900]   I'm trying to figure out what I'm doing.
[01:13:37.900 --> 01:13:37.940]   I'm trying to figure out what I'm doing.
[01:13:37.940 --> 01:13:37.980]   I'm trying to figure out what I'm doing.
[01:13:37.980 --> 01:13:38.020]   I'm trying to figure out what I'm doing.
[01:13:38.240 --> 01:13:53.180]   I'm trying to figure out what I'm doing.
[01:13:53.180 --> 01:13:53.340]   I'm trying to figure out what I'm doing.
[01:13:53.340 --> 01:13:53.400]   I'm trying to figure out what I'm doing.
[01:13:53.400 --> 01:13:53.460]   I'm trying to figure out what I'm doing.
[01:13:53.460 --> 01:13:53.560]   I'm trying to figure out what I'm doing.
[01:13:53.560 --> 01:13:53.660]   I'm trying to figure out what I'm doing.
[01:13:53.660 --> 01:13:53.720]   I'm trying to figure out what I'm doing.
[01:13:53.720 --> 01:13:53.780]   I'm trying to figure out what I'm doing.
[01:13:53.780 --> 01:13:53.840]   I'm trying to figure out what I'm doing.
[01:13:53.840 --> 01:13:53.900]   I'm trying to figure out what I'm doing.
[01:13:53.900 --> 01:13:53.940]   I'm trying to figure out what I'm doing.
[01:13:53.940 --> 01:13:54.000]   I'm trying to figure out what I'm doing.
[01:13:54.000 --> 01:13:54.040]   I'm trying to figure out what I'm doing.
[01:13:54.040 --> 01:13:54.080]   I'm trying to figure out what I'm doing.
[01:13:54.080 --> 01:13:54.120]   I'm trying to figure out what I'm doing.
[01:13:54.120 --> 01:13:54.180]   I'm trying to figure out what I'm doing.
[01:13:54.200 --> 01:14:11.080]   I'm trying to figure out what I'm doing.
[01:14:11.080 --> 01:14:11.140]   I'm trying to figure out what I'm doing.
[01:14:11.140 --> 01:14:11.180]   I'm trying to figure out what I'm doing.
[01:14:11.180 --> 01:14:11.240]   I'm trying to figure out what I'm doing.
[01:14:11.240 --> 01:14:11.260]   I'm trying to figure out what I'm doing.
[01:14:11.260 --> 01:14:11.320]   I'm trying to figure out what I'm doing.
[01:14:11.320 --> 01:14:11.380]   I'm trying to figure out what I'm doing.
[01:14:11.380 --> 01:14:11.440]   I'm trying to figure out what I'm doing.
[01:14:11.440 --> 01:14:11.460]   I'm trying to figure out what I'm doing.
[01:14:11.460 --> 01:14:11.520]   I'm trying to figure out what I'm doing.
[01:14:11.520 --> 01:14:11.560]   I'm trying to figure out what I'm doing.
[01:14:11.560 --> 01:14:11.600]   I'm trying to figure out what I'm doing.
[01:14:11.600 --> 01:14:11.620]   I'm trying to figure out what I'm doing.
[01:14:11.620 --> 01:14:11.680]   I'm trying to figure out what I'm doing.
[01:14:11.680 --> 01:14:11.700]   I'm trying to figure out what I'm doing.
[01:14:11.700 --> 01:14:11.760]   I'm trying to figure out what I'm doing.
[01:14:11.780 --> 01:14:34.340]   I'm trying to figure out what I'm doing.
[01:14:34.340 --> 01:14:34.380]   I'm trying to figure out what I'm doing.
[01:14:34.380 --> 01:14:34.400]   I'm trying to figure out what I'm doing.
[01:14:34.400 --> 01:14:34.440]   I'm trying to figure out what I'm doing.
[01:14:34.440 --> 01:14:34.460]   I'm trying to figure out what I'm doing.
[01:14:34.460 --> 01:14:34.500]   I'm trying to figure out what I'm doing.
[01:14:34.500 --> 01:14:34.540]   I'm trying to figure out what I'm doing.
[01:14:34.540 --> 01:14:34.600]   I'm trying to figure out what I'm doing.
[01:14:34.600 --> 01:14:34.640]   I'm trying to figure out what I'm doing.
[01:14:34.640 --> 01:14:34.660]   I'm trying to figure out what I'm doing.
[01:14:34.660 --> 01:14:34.720]   I'm trying to figure out what I'm doing.
[01:14:34.720 --> 01:14:34.740]   I'm trying to figure out what I'm doing.
[01:14:34.740 --> 01:14:34.780]   I'm trying to figure out what I'm doing.
[01:14:34.780 --> 01:14:34.840]   I'm trying to figure out what I'm doing.
[01:14:34.840 --> 01:14:34.860]   I'm trying to figure out what I'm doing.
[01:14:34.860 --> 01:14:34.900]   trying to figure out what I'm doing.
[01:14:34.940 --> 01:15:02.160]  , and I'm trying to figure out what I'm doing.
[01:15:02.160 --> 01:15:02.260]   and I'm trying to figure out what I'm doing.
[01:15:02.260 --> 01:15:02.280]   and I'm trying to figure out what I'm doing.
[01:15:02.280 --> 01:15:02.360]   and I'm trying to figure out what I'm doing.
[01:15:02.360 --> 01:15:02.380]   and I'm trying to figure out what I'm doing.
[01:15:02.380 --> 01:15:02.500]   and I'm trying to figure out what I'm doing.
[01:15:02.500 --> 01:15:02.600]   and I'm trying to figure out what I'm doing.
[01:15:02.600 --> 01:15:02.680]   and I'm trying to figure out what I'm doing.
[01:15:02.680 --> 01:15:02.700]   and I'm trying to figure out what I'm doing.
[01:15:02.700 --> 01:15:02.840]   and I'm trying to figure out what I'm doing.
[01:15:02.840 --> 01:15:03.080]   and I'm trying to figure out what I'm not doing.
[01:15:03.080 --> 01:15:03.980]   and I'm trying to figure out what I'm not doing.
[01:15:03.980 --> 01:15:04.920]   and I'm not trying to figure out what I'm not doing.
[01:15:04.960 --> 01:15:06.600]  ר please
[01:15:06.600 --> 01:15:14.380]   �
[01:15:14.380 --> 01:15:14.940]   the " And I in the
[01:15:30.780 --> 01:15:56.560]   syphilis. And I think they got there through natural selection. So you know you have the peacock with the feathers and it's just such incredible colors. The peacock has these tail feathers, the male, that are like gigantic and they're super colorful. And there are these eyes on it. It's not eyes, it's like eye-like areas and they wiggle their ass to show the tail. They wiggle the tail. The eye spots. The eye spots, yes. Thank you.
[01:15:56.560 --> 01:15:56.560]   You know this probably way better than me.
[01:15:56.560 --> 01:15:56.560]   I'm just quoting it.
[01:15:56.560 --> 01:15:56.560]   No, no, no.
[01:15:56.560 --> 01:15:56.560]   You know this probably way better than me. I'm just quoting it.
[01:15:56.560 --> 01:15:56.560]   No, no, no.
[01:15:56.560 --> 01:15:56.600]   You know this probably way better than me. I'm just quoting it.
[01:15:56.600 --> 01:15:56.600]   No, no, no.
[01:15:56.600 --> 01:15:56.660]   You know this probably way better than me. I'm just quoting it.
[01:15:56.660 --> 01:15:56.720]   No, no, no.
[01:15:56.760 --> 01:16:22.860]  , please continue.
[01:16:22.860 --> 01:16:22.920]   continue.
[01:16:22.920 --> 01:16:22.980]   continue.
[01:16:23.020 --> 01:16:34.200]   a
[01:16:34.200 --> 01:16:51.780]   the the on a thighs played vary dei open may over, the, the, the, the, the, the, the, the, the, the, the, the,ankind's,. I got a, 최 I am 100 coworkers. I'm. I. But. FCC. I.因..................,w.-s-d-ad-all-s-f-d-d-a-s- maths- Estado- alte- Jan- Premier-cje-not- wrong-ortun-工作- cow- allegations-毛- yeah- stereo- sauce- like- дерев- shall- set- dead-roe- la起- tea-
[01:16:51.780 --> 01:16:51.920]  �- al- thicken- para- create- why-PN- z cerve- STUD-Play- when- demand- quite- in- physician- vie- separate- directing- RP- the cane- other-长- in
[01:16:51.940 --> 01:16:58.260]   laid. It's fascinating. I just, um, and there's nothing like watching that and
[01:16:58.260 --> 01:17:03.460]   Chimp Empire to make you realize we humans, that's the same thing. That's all
[01:17:03.460 --> 01:17:06.660]   we're doing. And all the beautiful variety, all the bridges and the
[01:17:06.660 --> 01:17:10.740]   buildings and the rockets and the internet, all that is this kind of, is at
[01:17:10.740 --> 01:17:16.860]   least in part, this kind of, uh, a product of this kind of showing off for
[01:17:16.860 --> 01:17:20.860]   each other. And all the wars and all this, anyway. Uh, I've got my-
[01:17:20.900 --> 01:17:30.700]   sound
[01:17:30.700 --> 01:17:39.780]   it. I, a,ime,實 Gary And So heures talk that, I, the, the, the, the, the, the, the, the, a, a, a, a, car, 100 hotterando. HammerBBGCubenEBMBNBNBN H
[01:17:41.120 --> 01:17:59.020]   So, not destroy enough, um, of itself, uh, that it can't get more to reproductive competent age. I mean, I think that, you know, we have a, a natural, I mean, healthy people have a natural reflex to protect children.
[01:17:59.020 --> 01:18:01.340]   Well, I don't know that.
[01:18:01.340 --> 01:18:24.700]   in a way that I've seen enough animals that are murdering the children.
[01:18:24.700 --> 01:18:25.100]   Sure.
[01:18:25.100 --> 01:18:25.460]   some other.
[01:18:25.460 --> 01:18:25.660]   Sure.
[01:18:25.660 --> 01:18:26.260]   There's even.
[01:18:26.260 --> 01:18:26.540]   Siblicide.
[01:18:26.540 --> 01:18:53.900]  , um, I mean, I think that's, I think it's, I think it's a good example of how.
[01:18:53.900 --> 01:18:55.820]   I mean, I think it's a good example of how to.
[01:18:55.820 --> 01:18:55.940]   Well, I think it's a good example of how to do it.
[01:18:55.940 --> 01:18:56.220]   Yeah.
[01:18:56.220 --> 01:18:56.540]   Um, I think it's a good example of how to do it.
[01:18:56.540 --> 01:18:56.540]   Um, I think it's a good example of how to do it.
[01:18:56.540 --> 01:18:56.560]   Yeah.
[01:18:56.560 --> 01:18:56.560]   um, I think it's a good example of how to do it.
[01:18:56.560 --> 01:18:56.560]   Yeah.
[01:18:56.560 --> 01:18:56.560]   Um, I think it's a good example of how to do it.
[01:18:56.560 --> 01:18:56.560]   Yeah. um, I think it's a good example of how to do it.
[01:18:56.600 --> 01:19:03.700]   provide
[01:19:03.700 --> 01:19:24.840]   by sound VR C and excessive
[01:19:24.840 --> 01:19:25.220]  , with,,,,,,,,,,, .émbild понятно
[01:19:25.560 --> 01:19:35.440]   guess
[01:19:35.440 --> 01:19:38.980]   was end at have
[01:20:22.120 --> 01:20:22.120]   and
[01:20:22.120 --> 01:20:22.120]   it
[01:20:22.120 --> 01:20:22.120]   it
[01:20:22.120 --> 01:20:22.120]   it
[01:20:22.120 --> 01:20:22.140]   a little bit more detailed um please don't do that you'd be dead by the end um so actually just a small tangent it does make me wonder how much intelligence covert contracts require it seems like not much if the if we could if you can do it in the animal kingdom there's some kind of instinctual it is based perhaps in like fear yeah it could be um simple algorithm if if if you know if there's some ambiguity about numbers and i'm not with these guys and you know then flip to the alternate strategy i actually have a story about this i think it's relevant i used to have cuddle
[01:20:22.140 --> 01:20:22.140]   cuddle
[01:20:22.140 --> 01:20:22.240]   cuddle
[01:20:52.300 --> 01:21:02.060]  исл
[01:21:02.060 --> 01:21:02.720]  , attend. I don--
[01:21:02.720 --> 01:21:03.320]   come, the Hindu, the, the, the,ப, các�
[01:21:03.320 --> 01:21:18.820]  bound
[01:23:10.080 --> 01:23:30.740]   IGNADIES. I was-- I was excited about the fact that you picked up this algorithm that you picked up in childhood. That if you don't state your explicit needs up front, you're not gonna get what you want. So, why do it? From now on, you need to actually make a list of every absolutely outrageous thing that you want, no matter how outrageous, and communicate that immediately. And that will work.
[01:23:30.740 --> 01:23:38.140]   What-- we're talking about co-efficient sexual selection, and then we went into some, where do we go? And you said you were excited.
[01:24:05.620 --> 01:24:21.920]  .
[01:24:21.920 --> 01:24:23.900]   So, what's the co-efficient sexual selection?
[01:24:23.900 --> 01:24:24.960]   So, what's the co-efficient sexual selection?
[01:24:24.960 --> 01:24:25.500]   So, what's the co-efficient sexual selection?
[01:24:25.500 --> 01:24:25.900]   So, what's the co-efficient sexual selection?
[01:24:25.900 --> 01:24:26.400]   So, what's the co-efficient sexual selection?
[01:24:26.400 --> 01:24:26.660]   So, what's the co-efficient sexual selection?
[01:24:26.660 --> 01:24:26.960]   So, what's the co-efficient sexual selection?
[01:24:26.960 --> 01:24:27.260]   So, what's the co-efficient sexual selection?
[01:24:27.260 --> 01:24:27.360]   So, what's the co-efficient sexual selection?
[01:24:27.360 --> 01:24:27.460]   So, what's the co-efficient sexual selection?
[01:24:27.500 --> 01:24:38.500]   continue
[01:25:22.060 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:24.780 --> 01:25:24.780]   I don't think you've done an episode on relationships.
[01:25:54.800 --> 01:25:54.800]   I don't think you've done an episode on relationships.
[01:25:54.800 --> 01:25:54.800]   I don't think you've done an episode on relationships.
[01:25:54.800 --> 01:25:54.800]   I don't think you've done an episode on relationships.
[01:25:54.800 --> 01:25:54.800]   I don't think you've done an episode on relationships.
[01:25:54.800 --> 01:25:54.800]   I don't think you've done an episode on relationships.
[01:25:54.800 --> 01:25:54.800]   I don't think you've done an episode on relationships.
[01:25:54.800 --> 01:25:54.800]   I don't think you've done an episode on relationships.
[01:25:54.800 --> 01:25:54.800]   I don't think you've done an episode on relationships.
[01:25:54.800 --> 01:25:54.800]   I don't think you've done an episode on relationships.
[01:25:54.800 --> 01:25:54.800]   I don't think you've done an episode on relationships.
[01:25:54.800 --> 01:25:54.800]   I don't think you've done an episode on relationships.
[01:25:54.800 --> 01:25:54.800]   I don't think you've done an episode on relationships. I don't think you've done an episode on how to select a mate based on matching of drives and all the demons inside the subconscious. And how generative two people are. What does that mean?
[01:25:54.840 --> 01:26:02.440]   not
[01:26:02.440 --> 01:26:06.160]   minister,,,
[01:26:06.160 --> 01:26:22.340]   Get N S Cow what, believe,,,,,, and and or south� shy siè實 din satisfybud'd,ung, 12,H,D,G,N,C,T,D,But,G,G,F,änd, Neighbor I'm the relationship with a� for the family. I'm the daily, the family. . The
[01:26:22.500 --> 01:26:30.400]   system
[01:26:30.400 --> 01:26:32.760]  --, motive
[01:26:32.760 --> 01:26:36.260]   by the things ad as L LG CG, the, the, the, the, the, the, the, the,,,,,,,,,.,,. All
[01:26:36.260 --> 01:26:48.400]   schme
[01:26:48.400 --> 01:26:50.000]   invest.
[01:26:50.000 --> 01:26:51.440]   � dusty San say attend kindули and ЕMLKs.N.A. PeT. jumpingido. tranquille. 35L.DeN.C.N. Brittany EF.N.GI.C.N.D.N.N. конann. bought który.G. eta cooled packet analogYE. 했는데 школ não bakeG. N oblig medal is Sakdoor. dannotte. I'm over en program. el 사람들이 bandjos in part -- circuit Sh Свi.
[01:26:51.460 --> 01:27:15.700]   I'm a staff.
[01:27:15.700 --> 01:27:19.760]   I've got friends who are in long-term monogamous relationships.
[01:27:19.760 --> 01:27:19.760]   I'm a staff. I've got friends who are in long-term monogamous relationships.
[01:27:19.760 --> 01:27:19.760]   I'm a staff. I've got friends who are in long-term monogamous relationships.
[01:27:19.760 --> 01:27:19.760]   I'm a staff. I've got friends who are in long-term monogamous relationships.
[01:27:19.760 --> 01:27:19.760]   I'm a staff. I'm a staff. I'm a specialist.
[01:27:19.800 --> 01:27:29.260]   die
[01:27:29.260 --> 01:27:29.860]   in the 나
[01:27:29.860 --> 01:27:49.220]   ' Led,,,,,,.,
[01:27:49.820 --> 01:27:55.140]   read
[01:27:55.140 --> 01:28:00.640]  , haird
[01:28:00.640 --> 01:28:18.540]   or no sound, ", get, booming, Bay, 11 de be of for the process at look they are not add seems
[01:28:19.280 --> 01:28:31.240]   in
[01:28:31.240 --> 01:28:46.780]  , Double I I or only in,I,,,,,,,,, whatnot EK N Le S wohl ' Bridge sur 12 why 3 shade of the friends. From the friendship. I'm the friend. I think the best. I think the friends. The. I think the. The. The, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, it, the, a, acakh i'll. put a discuss a Wein "Y.не or in a
[01:28:46.780 --> 01:28:46.780]   talk about a
[01:28:46.780 --> 01:28:48.140]   escuch A remember a
[01:28:48.220 --> 01:28:50.200]   shareholders
[01:28:50.200 --> 01:29:13.380]   teenager muss me as hide a
[01:29:13.380 --> 01:29:16.480]   M, awful,,,,,,,,,, in theił, ac bedeutet que finishes cảothers. Bloom these stuffing think would あり maybe it expect the Pi's. I'm work. W. I. We. EN, "Get. B. "G, "H", "2", entra", "G", "", ",",", ",", ",",", ",", ",", ", ", ", ", ", ", ", ", ", ", ",'s ", ", " let's ", invol demos الق deleted the moins� " discuss the in the succeed share a hearings means a Lo 말�est 신 " 5 wasn't de peso ג эк 1986 uh You've Dig Te basement s couldn meatili sphere어� друзья may�視 grow amazon talk aboutstellung ache deiov viaje rece Laden thirteen cooperate the Lord en
[01:32:06.300 --> 01:32:19.380]  , the nature of the relationship, and I think it's because it gets right into the more hardwired primitive circuitry around our feelings of of safety vulnerability.
[01:32:19.380 --> 01:32:20.580]   Um you know,
[01:32:20.580 --> 01:32:22.820]   there's something about
[01:32:22.820 --> 01:32:27.440]   uh romantic and sexual interactions where it's almost like
[01:32:27.440 --> 01:32:30.200]   it's like assets and liabilities
[01:32:30.200 --> 01:32:33.820]   right where people are trying to figure out how much to
[01:32:33.820 --> 01:32:36.280]   engage their time and their energy.
[01:32:36.360 --> 01:33:05.360]   2021
[01:36:28.100 --> 01:36:28.420]  . And so I think that the more you can tune up your powers of observation, not looking for things that you like, and the more that stuff just kind of washes over you, the more likely you are to quote unquote fall in love.
[01:36:28.420 --> 01:36:28.420]   And so I think it also includes there's just general way of being, you know, and when you really adore somebody, you like the way they answer the phone. And when they don't answer the phone that way, you know something's off and you want to know. And so I think that the more you can tune up your powers of observation, not looking for things that you like, and the more that stuff just kind of washes over you, the more likely you are to quote unquote fall in love.
[01:36:28.420 --> 01:36:28.740]   And so I think that the more you can tune up your powers of observation, not looking for things that you like, and the more that stuff just kind of washes over you, the more likely you are to quote unquote fall in love.
[01:36:58.780 --> 01:37:06.840]   echt
[01:37:06.840 --> 01:37:09.100]   ends, ,,,
[01:37:09.100 --> 01:37:26.680]   deadlines
[01:37:54.860 --> 01:38:21.680]   born
[01:40:44.080 --> 01:40:54.280]  , but they're not I guess yet there's more lore than science and there's a lot of and there are a lot of other variables that are hard to control so for instance if it if it's
[01:40:54.280 --> 01:40:59.440]   ejaculation during intermission during during sex penetration etc
[01:40:59.440 --> 01:41:08.840]   Then you can't measure for instance sperm volume as opposed to when it's IVF and they can actually measure how many milliliters how many forward motile sperm
[01:41:08.840 --> 01:41:10.840]   it's hard to control for for certain things and
[01:41:10.840 --> 01:41:13.800]   this is can vary between individuals and even
[01:41:13.800 --> 01:41:14.040]   individuals and even
[01:41:14.040 --> 01:41:14.040]   individuals and even
[01:41:14.080 --> 01:41:15.960]   he
[01:41:15.960 --> 01:41:37.720]   have perd I I satisfy
[01:41:37.720 --> 01:41:41.740]  ,,,,,,―R – 00 delwheel� 2021
[01:42:43.060 --> 01:42:49.380]   night
