
[00:00:00.000 --> 00:00:07.060]   I just, I got to tell you about what happened to me when I got back from my nearly month up in
[00:47:41.860 --> 00:47:46.480]   Luke Perry's character would have worn on Beverly Hills 90210. He had a leather jacket, a black leather
[00:47:46.480 --> 00:47:50.660]   jacket, and a white shirt. That was Luke Perry's thing, right? I don't remember what his character
[00:47:50.660 --> 00:47:57.280]   was called. I don't know. Bilko? I don't know what the names were of the characters. What was Jason
[00:47:57.280 --> 00:47:58.540]   Priestley's name? I don't know.
[00:47:59.500 --> 00:48:00.580]   Was it Scott Baio?
[00:48:00.580 --> 00:48:05.980]   That's another actor. You're getting us way off task. Somebody else will email me about that too.
[00:48:05.980 --> 00:48:10.640]   Scott Baio is from Charles in Charge. No, so in Beverly Hills 90210, Jason Priestley and Luke Perry
[00:48:10.640 --> 00:48:14.700]   are the actors. We're going to get so many emails. Send these all to jesse at calnewport.com. He wants
[00:48:14.700 --> 00:48:19.560]   to hear as many times as possible the answer here. They were actors in Beverly Hills 90210. I don't
[00:48:19.560 --> 00:48:29.440]   remember the names of the characters they played, so I'm just going to assume that Jason Priestley's
[00:48:29.440 --> 00:48:38.220]   character's name was Cameron and Luke Perry's character's name was Dr. Death, because that'd be
[00:48:38.220 --> 00:48:43.400]   pretty cool, actually. I don't remember their names, but anyways, it mixed it up. It put Luke Perry clothes
[00:48:43.400 --> 00:48:48.520]   on Jason Priestley, which I mean, I don't think, I don't want to go as far as to say like open AI
[00:48:48.520 --> 00:48:52.460]   should probably shut down, but like they might consider giving back their money to investors.
[00:48:52.460 --> 00:48:56.260]   If you're going to mess that up, what's the point? All right, we got a cool, speaking of AI, we have a
[00:48:56.260 --> 00:49:01.500]   segment coming up in which we are going to talk about something I read that kind of got my blood
[00:49:01.500 --> 00:49:07.200]   going a little bit, a little AI related, be warned. But first, we've got some ads.
[00:49:09.000 --> 00:49:12.280]   I like ads now because we've got some real music. It keeps it a little more interesting.
[00:49:12.280 --> 00:49:18.940]   So Jesse, let me tell you something. I say this all the time. There's nothing small about running
[00:49:18.940 --> 00:49:25.640]   a small business unless the business is selling miniature furniture for a doll house, and then
[00:49:25.640 --> 00:49:29.540]   there is something small. But even if the thing you're selling is small and your business is small,
[00:49:29.540 --> 00:49:34.120]   the workload isn't small, and the thing is small is relative, which is all a very clear and expert
[00:49:34.120 --> 00:49:41.080]   way to say it's hard to run businesses. So when it comes to selling things, let Shopify take those
[00:49:41.080 --> 00:49:47.080]   efforts off your hands. I should be an ad copywriter. I'm a fantastic ad copywriter. I could sell a book
[00:49:47.080 --> 00:49:50.480]   about this. I'm going to call it Me Sell Pretty Words Good Now. And you know where I would sell that
[00:49:50.480 --> 00:49:57.340]   book? On Shopify. See what I'm doing there? Shopify's point of sale system is a unified command
[00:49:57.340 --> 00:50:02.980]   center for your retail businesses. It brings together in-store and online operations across up to
[00:50:02.980 --> 00:50:07.740]   a thousand locations. Imagine being able to guarantee that shopping is always convenient,
[00:50:07.740 --> 00:50:14.280]   endless aisle, ship the customer, buy online, pick up in-store. All of this is made simpler so that
[00:50:14.280 --> 00:50:19.700]   customers can shop how they want and staff have the tools to close the sale every time. And let's face
[00:50:19.700 --> 00:50:26.360]   it, acquiring new customers is expensive. With Shopify POS, you can keep shoppers coming back with
[00:50:26.360 --> 00:50:32.760]   personalized experiences and first-party data that give marketing teams a competitive edge. In fact,
[00:50:32.760 --> 00:50:38.580]   this is all proven based on a report from EY, businesses on Shopify POS see real results like
[00:50:38.580 --> 00:50:45.720]   22% better total cost of ownership and benefits equivalent to a 8.9% uplift in sales on average
[00:50:45.720 --> 00:50:51.780]   relative to the market set survey. So get all the big stuff for your small business right with Shopify.
[00:50:52.440 --> 00:51:01.200]   Sign up for your $1 per month trial and start selling today at shopify.com/deep. Go to shopify.com/deep,
[00:51:01.200 --> 00:51:10.260]   shopify.com/deep. I also want to talk about a new sponsor, our friends at 1Password. Back in the old days,
[00:51:10.260 --> 00:51:16.600]   password management at companies used to be simple. You had maybe like one machine that each employee logged
[00:51:16.600 --> 00:51:21.800]   into and you just had to make sure they had a good password to use. In fact, like that's how we run deep
[00:51:21.800 --> 00:51:30.360]   questions. Our whole operation runs on a custom system programmed in COBOL running on a 1960s era IBM
[00:51:30.360 --> 00:51:37.480]   mainframe. Cost us $75,000 a month to just cool it. Jesse walks around with a white lab coat and looks at
[00:51:37.480 --> 00:51:43.000]   those reel-to-reel tapes and write stuff down on a clipboard. That's my memory of what old computers were like.
[00:51:43.000 --> 00:51:48.600]   Most people don't have that anymore. The way most people run their businesses is that their employees
[00:51:48.600 --> 00:51:52.840]   are going to use a lot of web-based apps because they're convenient and powerful and help them get
[00:51:52.840 --> 00:52:00.200]   things done. But that is a lot of security to manage. This is where Trellica by 1Password can help.
[00:52:00.200 --> 00:52:09.160]   Trellica by 1Password inventories every app in use at your company, then pre-populated profiles assess
[00:52:09.160 --> 00:52:15.000]   SaaS risks, letting you manage access, optimize spend, and enforce security best practices across
[00:52:15.000 --> 00:52:22.600]   every app that your employees use. You can manage shadow IT, securely onboard and off-board employees,
[00:52:22.600 --> 00:52:28.280]   and meet compliance goals. Trellica by 1Password provides a complete solution for SaaS access
[00:52:28.280 --> 00:52:33.080]   governance. And it's just one of the ways that extended access management helps teams strengthen
[00:52:33.080 --> 00:52:38.680]   compliance and security. 1Password's award-winning password manager is trusted by millions of users
[00:52:38.680 --> 00:52:47.240]   and over 150,000 businesses from IBM to Slack. And maybe one day when we stop using a 1960s era IBM
[00:52:47.240 --> 00:52:52.680]   mainframe here at our company as well. They're securing more than just passwords with 1Password
[00:52:52.680 --> 00:53:01.240]   extended access management. It is 27001 certified with regular third-party audits and the industry's
[00:53:01.240 --> 00:53:07.400]   largest bug bounty. 1Password exceeds the standard set by various authorities and is a leader in security.
[00:53:07.400 --> 00:53:13.000]   So when we move away from our 1960s mainframe, 1Password is exactly the type of service that we
[00:53:13.000 --> 00:53:18.200]   are going to need as well. And it's probably what you need right now too. So take the first step to better
[00:53:18.200 --> 00:53:23.240]   security for your team by securing credentials and protecting every application, even unmanaged shadow
[00:53:23.240 --> 00:53:30.840]   IT. Learn more at 1Password.com/deep. That's 1Password.com/deep. That's one, the number one,
[00:53:30.840 --> 00:53:37.720]   password.com/deep. And type that in all lowercase for it to work. I might just say I love the music,
[00:53:37.720 --> 00:53:43.080]   but I think we need to move on to our final segment. All right, our final segment is where I like to talk
[00:53:43.080 --> 00:53:48.760]   about something that I read that either I liked or in some cases maybe caused some issues. In this case,
[00:53:48.760 --> 00:53:55.080]   it was an article that is featuring a technique in reporting on AI in particular that I want to call
[00:53:55.080 --> 00:53:58.600]   your attention to because it's something you should be wary of and I think it's something you should try
[00:53:58.600 --> 00:54:03.400]   to avoid. I'm going to load the article on the screen that I'm talking about here for those who are
[00:54:03.400 --> 00:54:07.960]   watching instead of just listening. This was in the New York Times and it was titled "The Unnerving
[00:54:07.960 --> 00:54:13.880]   Future of AI-Fueled Video Games." It started with this sort of interactive top where they're showing
[00:54:13.880 --> 00:54:19.480]   some characters in a video game and they're showing in quotation marks what the characters in this game
[00:54:19.480 --> 00:54:24.520]   was saying. So this character here on the screen was saying, "I need to find my way out of this simulation
[00:54:24.520 --> 00:54:29.320]   and back to my wife. Can't you see I'm in distress?" Here's another scene from the game. There's someone else
[00:54:29.320 --> 00:54:36.360]   who's saying, "I'm not just lines of code. I am Liam, a real person enjoying this city." And then we have a
[00:54:36.360 --> 00:54:41.480]   sort of subhead here that says, "Characters in a video game version of The Matrix seem to be gaining
[00:54:41.480 --> 00:54:50.280]   sentience thanks to an AI program." Now if we go on and read this article, what we see an example of is
[00:54:50.280 --> 00:54:56.120]   what I sometimes refer to as vibe reporting, which is something I think is happening more and more when
[00:54:56.120 --> 00:55:02.440]   it comes to talking about AI. In vibe reporting, what you do is you cover a bunch of different things
[00:55:03.240 --> 00:55:09.400]   that when you kind of put them near each other imply like big deal distressing things. But you're
[00:55:09.400 --> 00:55:14.280]   not actually making the claim that these big distressing things are happening, but you're sort
[00:55:14.280 --> 00:55:19.560]   of just putting things next to each other that the reader will naturally sort of combine in their mind
[00:55:19.560 --> 00:55:25.800]   and come away with the impression, the vibe that something really big or dire is happening. Even
[00:55:25.800 --> 00:55:31.160]   though if you look much closer, nothing like that at all is actually happening in the article. I think
[00:55:31.160 --> 00:55:35.320]   that's what happens in this article here. So I'm going to use it as just a case study so we can be
[00:55:35.320 --> 00:55:40.120]   a little bit wary about vibe recording. I'm going to read some stuff from this article. Okay.
[00:55:40.120 --> 00:55:46.360]   So early in the article it says, "The citizens of a simulated city inside a video game based on
[00:55:46.360 --> 00:55:51.480]   the Matrix franchise were being awakened to a grim reality. Everything was fake. A player told them
[00:55:51.480 --> 00:55:56.200]   through a microphone and they were simply lines of code meant to embellish a virtual world. Empowered by
[00:55:56.200 --> 00:56:01.080]   generative artificial intelligence like ChatGPT, the characters responded in panic disbelief.
[00:56:01.080 --> 00:56:05.880]   What does that mean?" said one woman in a gray sweater. "Am I real or not?" The unnerving
[00:56:05.880 --> 00:56:10.360]   demo released two years ago by an Australian tech company named Replica Studios showed both the
[00:56:10.360 --> 00:56:16.760]   potential power and the consequences of enhancing gameplay with artificial intelligence." All right,
[00:56:16.760 --> 00:56:22.040]   so clearly you kind of read these things. You combine it with the big pictures they had of
[00:56:22.040 --> 00:56:26.440]   like actual people from the game and with these distressing quotes next to them. If you're just a
[00:56:26.440 --> 00:56:30.840]   casual reader and not a technical person reading the times, you're thinking like, "Are video game
[00:56:30.840 --> 00:56:37.720]   characters kind of coming alive? Like, is this the problem?" Because it sort of has that vibe of like,
[00:56:37.720 --> 00:56:42.600]   "Yeah, it's weird. It's distrusting. It's sentience." Of course, that's not at all what's happening. This
[00:56:42.600 --> 00:56:48.440]   was a demo that a company ran where all they did was use ChatGPT to calculate, to generate dialogue
[00:56:48.440 --> 00:56:55.400]   for characters in a matrix simulation. What is ChatGPT really good at? "Hey, talk about this in this particular
[00:56:55.400 --> 00:57:01.560]   type of form." So if you say in your prompt, which I'm sure the demo was, "Respond to this as if you were a
[00:57:01.560 --> 00:57:06.040]   character in the movie The Matrix, it will be very good at giving text back as if you're in a
[00:57:06.040 --> 00:57:14.200]   character in The Matrix." If you had changed that prompt to say, "Respond to this as if you were in a
[00:57:14.200 --> 00:57:21.400]   world in which a super intelligent chicken was like threatening to remove your toes unless you said
[00:57:21.400 --> 00:57:26.040]   certain words every once in a while," it would do a great job of having those NPCs, the text in their
[00:57:26.040 --> 00:57:31.080]   mouth do that as well. That's what ChatGPT does. It has nothing to do with sentience or things coming alive in
[00:57:31.080 --> 00:57:36.680]   video games, but you get that vibe reading it. They never come out and say that, but they say
[00:57:36.680 --> 00:57:43.000]   it's uncomfortable. It feels like they're coming alive. This is like a disturbing thing. This is
[00:57:43.000 --> 00:57:47.960]   disturbing these characters. It gives you a vibe of something really big and dire is happening.
[00:57:47.960 --> 00:57:53.000]   Where the reality is someone ran a demo where they said, "What if we use ChatGPT to generate NPC
[00:57:53.000 --> 00:57:56.920]   dialogue?" And guess what? The company had to shut it down because it's expensive to do ChatGPT queries.
[00:57:56.920 --> 00:58:02.600]   And so it's not a very cost-effective thing to do. There's other things in this article as well,
[00:58:02.600 --> 00:58:08.360]   unrelated to this sort of sentience argument that I also think is an example of vibe recording.
[00:58:08.360 --> 00:58:12.520]   Let me read some more from this article here.
[00:58:12.520 --> 00:58:18.120]   "As video game studios become more comfortable with outsourcing the jobs of voice actors,
[00:58:18.120 --> 00:58:25.320]   writers and others to artificial intelligence, what will become of the industry? At the pace the
[00:58:25.320 --> 00:58:30.680]   technology is improving, large tech companies like Google, Microsoft and Amazon are counting on their AI
[00:58:30.680 --> 00:58:36.120]   programs to revolutionize how games are made within the next few years." There's some text here that talks
[00:58:36.120 --> 00:58:41.400]   about some demos at a recent conference of sort of beta level tools that like one day might automate
[00:58:41.400 --> 00:58:46.600]   certain parts of game developing. Then the article continues, "These were not the solutions that
[00:58:46.600 --> 00:58:51.000]   developers were hoping to see. After several years of extensive layoffs, another round of cuts in
[00:58:51.000 --> 00:58:54.840]   Microsoft's gaming division this month was a signal to some analysts that the company was shifting
[00:58:54.840 --> 00:59:00.760]   resources to artificial intelligence." It goes on pretty quickly to say, "Most experts acknowledge that a
[00:59:00.760 --> 00:59:04.680]   takeover by artificial intelligence is coming for the video game industry within the next five years, and
[00:59:04.680 --> 00:59:09.240]   executives have already started preparing to restructure their companies in anticipation." You put this all
[00:59:09.240 --> 00:59:16.120]   together, what's the vibe you come away with? "Oh, these video game companies are starting to lay people
[00:59:16.120 --> 00:59:22.120]   off because they're shifting over to AI tools. This industry is sort of going away." Now, they never come
[00:59:22.120 --> 00:59:27.960]   straight out and say that, but you're talking about demos of tools that automate, you're talking about
[00:59:27.960 --> 00:59:31.880]   industry executives saying that like everything's going to be automated, and you're talking about layoffs.
[00:59:32.600 --> 00:59:39.320]   You put this all together in your head. Now, what's the reality here? Those tools are speculative.
[00:59:39.320 --> 00:59:44.040]   They are not tools that are designed to like, "Oh, this will just make a video game for me."
[00:59:44.040 --> 00:59:49.400]   We have always used computer-aided tools to help with video game design. These are like tools to help
[00:59:49.400 --> 00:59:53.880]   like with 3D modeling and to help get models built quicker and other things like this.
[00:59:53.880 --> 01:00:00.440]   And yes, the video game industry is contracting, but it has nothing to do with AI. It's just the market
[01:00:00.440 --> 01:00:04.600]   got big. They're not getting the same return on their AAA games that they used to get. So now the
[01:00:04.600 --> 01:00:09.640]   market is contracting, not because people are being replaced with AI, but just because the numbers are
[01:00:09.640 --> 01:00:16.760]   down. And so it has to contract. This is similar to some of the other reporting I saw about Microsoft's
[01:00:16.760 --> 01:00:22.920]   layoffs, right? Where it would say Microsoft laid off this many people, they cited AI advancements, and then
[01:00:22.920 --> 01:00:28.520]   they talked a lot about potential AI automation. And you get the vibe of like, "Oh, Microsoft replaced
[01:00:28.520 --> 01:00:34.040]   all these people with AI." That's not what happened. What they meant was we're cutting back on less
[01:00:34.040 --> 01:00:40.440]   profitable areas to save that revenue to invest in our AI areas like the AI data centers. People weren't
[01:00:40.440 --> 01:00:46.680]   being replaced by AI. They were just doing a shift of focus. We're going to put less focus here and more
[01:00:46.680 --> 01:00:52.040]   focus over there. But the vibe of those type of pieces gave you the sense of, "Oh yeah, people are
[01:00:52.040 --> 01:00:56.600]   being replaced left and right, right? This is a big problem." I think there is a lot of vibe reporting
[01:00:56.600 --> 01:01:03.800]   like this happening around AI right now, where you put enough things next to each other that they blur
[01:01:03.800 --> 01:01:10.360]   in the reader's mind, and they come away with the vibe that distressing things are happening right now. And
[01:01:10.360 --> 01:01:16.280]   if I think if you grab like the average news-aware person and said like, "How do you feel things are going
[01:01:16.280 --> 01:01:20.680]   with AI right now?" They'd be like, "Yeah, a lot of stuff is happening. People, jobs are disappearing. No one's
[01:01:20.680 --> 01:01:26.120]   hiring anymore. Whole industries are beginning to automate." The vibe they create is like, "The wheels have started
[01:01:26.120 --> 01:01:31.000]   turning and we're seeing the few first things." But when you look deeper at these vibe reported articles,
[01:01:31.000 --> 01:01:36.520]   the reality is often way less interesting. Here's my summary of this article here. If you just
[01:01:36.520 --> 01:01:42.840]   did straight reporting of this is what's going on. There was a demo where a company used generative AI to
[01:01:42.840 --> 01:01:47.880]   generate character dialogue in a video game about the matrix. It allowed the characters to say the
[01:01:47.880 --> 01:01:55.560]   types of things that people in the matrix would say. There have been people working on AI tools to automate
[01:01:55.560 --> 01:01:59.720]   parts of video game development. Most of these tools aren't being used yet, but we imagine in the future
[01:01:59.720 --> 01:02:06.120]   we'll have better tools because of AI. The video game industry, unrelated, has been struggling recently
[01:02:06.120 --> 01:02:11.720]   and many of the major studios are reducing their size. That's the fact-based article. I read that article to you.
[01:02:11.720 --> 01:02:15.640]   You don't come away upset. You're like, "Oh, it's kind of interesting. I don't know much about video games.
[01:02:15.640 --> 01:02:20.440]   I mean, I don't really care that a company put ChatGPT to do dialogue for a character and then
[01:02:20.440 --> 01:02:24.520]   said this demo is too expensive, but it's kind of interesting that like maybe there'll be new tools in video games.
[01:02:25.480 --> 01:02:28.920]   Actually, it's not that interesting at all, but the vibe reporting is way more interesting because
[01:02:28.920 --> 01:02:34.760]   you come away from that saying, "I kind of remember that video game characters are coming alive and the
[01:02:34.760 --> 01:02:39.640]   whole video game industry is being automated by AI." So be very wary of vibe reporting. There's a lot of it
[01:02:39.640 --> 01:02:45.080]   out there. Insist on actually, if you're going to read these things, drill down to the actual statements
[01:02:45.080 --> 01:02:50.040]   being said. Man, this happens a lot. I'll give you another example. The Atlantic article about computer science
[01:02:50.040 --> 01:02:54.120]   majors, uh, reducing, which they are right now. Computer science major numbers are down.
[01:02:54.120 --> 01:03:01.240]   It heavily gave the sense without actually like straight up saying it, that it's because AI that
[01:03:01.240 --> 01:03:05.240]   people are saying, why study a, why study computer science? AI is going to take all these jobs.
[01:03:05.240 --> 01:03:09.400]   It's strongly implied that AI advances was in the subhead of the article.
[01:03:09.400 --> 01:03:14.840]   It had quotes in there like statements from the reporter saying things like what's the point,
[01:03:14.840 --> 01:03:18.680]   just putting this thought out there. What's the point of not quoting someone, but like,
[01:03:18.680 --> 01:03:22.360]   what's the point of, you know, training for a job that's going to be automated in the future?
[01:03:22.360 --> 01:03:27.480]   Here's all these reductions in AI jobs that are happening. Here is like kind of unrelated things
[01:03:27.480 --> 01:03:32.360]   about people talking about programming and AI and programming and how like it's, it's, it's,
[01:03:32.360 --> 01:03:36.440]   you know, making entry-level jobs maybe are going to be less important. We'll put all of these things
[01:03:36.440 --> 01:03:40.920]   next to each other so that you'll come away with the vibe that computer science majors are disappearing
[01:03:40.920 --> 01:03:44.680]   because there's no need for them anymore. At the very end of the article, you get to the truth. Oh,
[01:03:44.680 --> 01:03:47.800]   there's no evidence that that's why people aren't majoring in computer science. In fact,
[01:03:47.800 --> 01:03:52.360]   what is happening is the tech sector is contracting because it overgrew during the pandemic. And in
[01:03:52.360 --> 01:03:57.320]   every last contraction of the tech sector, computer science major numbers went down
[01:03:57.320 --> 01:04:02.840]   and then went up to be higher than before after the sectors recovered. That's at the end of the article,
[01:04:02.840 --> 01:04:07.320]   you finally get someone saying that and you realize like, oh, what are the actual statements here?
[01:04:07.320 --> 01:04:13.720]   There's no evidence that this is why people aren't majoring in computer science. There's no like,
[01:04:13.720 --> 01:04:16.760]   here's hard evidence of all these people have stopped hiring entry-level people. It's,
[01:04:17.320 --> 01:04:23.240]   this manager said, I couldn't imagine. I know a guy who knows a guy who said, why hire new people?
[01:04:23.240 --> 01:04:27.800]   It's so anyways, vibe reporting is big because if you can give someone the sense that something
[01:04:27.800 --> 01:04:33.000]   big and dire is happening, it's a more profound article. They'll remember it. They'll share it.
[01:04:33.000 --> 01:04:39.880]   But these things aren't necessarily happening. So the best we can do is put things next to each other.
[01:04:39.880 --> 01:04:44.920]   We're reading quickly. It melds it in our minds. So be very, very wary of super dire coverage right now of AI.
[01:04:44.920 --> 01:04:49.640]   It's an important touch story. It's an important technology, but there's some reporting going on
[01:04:49.640 --> 01:04:56.200]   about it that's getting out ahead of its skis. So if it gives you a bad vibe, say, before I just accept
[01:04:56.200 --> 01:05:02.520]   that vibe, say, what really did this article say? And a lot of times, like in this recent article,
[01:05:02.520 --> 01:05:05.240]   you realize it didn't really say much that's that interesting to you at all.
[01:05:05.240 --> 01:05:10.440]   There you go. Vibe reporting, Jesse. I don't know. I don't like that. A lot of it with AI going on
[01:05:10.440 --> 01:05:15.240]   right now. All right. Well, speaking of which, that's all the time we have for today. I hope you
[01:05:15.240 --> 01:05:19.320]   liked our sort of musical explosion. I had more fun. I think ads are more fun when we got some music
[01:05:19.320 --> 01:05:20.040]   going. Yeah.
[01:05:20.040 --> 01:05:24.520]   You know, like you can, you can kind of get into it. I like it. I like it. Um, and you know what,
[01:05:24.520 --> 01:05:31.560]   you know what ad companies like when they want sponsorship, they want their product being the
[01:05:31.560 --> 01:05:36.520]   cause of divorce. So I think we did a really good job with the ad reads. And if you don't know what
[01:05:36.520 --> 01:05:39.240]   I'm talking about, you got to go back and listen to the ad reads. All right. We'll be back next week.
[01:05:39.240 --> 01:05:42.840]   I'm so happy to be back in the studio. We'll be back next week with another episode of the show.
[01:05:42.840 --> 01:05:48.920]   And until then, as always, stay deep. Hey, if you liked today's discussion of metrics,
[01:05:48.920 --> 01:05:56.600]   you might like episode 335, which was about morning routines. This is a highly related topic to metrics.
[01:05:56.600 --> 01:06:01.800]   It was a popular episode. I think you'll like it. Check it out. I want to talk today about morning
[01:06:01.800 --> 01:06:07.880]   routines. This is a tricky topic for critics of online productivity culture,
[01:06:08.520 --> 01:06:14.840]   Overly complicated morning rituals that often seem to rely on confident citations of shaky
[01:06:14.840 --> 01:06:21.160]   science have come to represent a lot of, uh, what people dislike.

