
[00:00:00.880 --> 00:00:01.720]   - Hey, everyone.
[00:30:45.120 --> 00:30:49.040]   Because in language, there's not this idea of like style,
[00:30:49.040 --> 00:30:52.640]   right, versus like in vision model there is,
[00:30:52.640 --> 00:30:55.640]   and you cannot get certain styles in different models.
[00:30:55.640 --> 00:30:56.920]   How do styles emerge
[00:30:56.920 --> 00:30:59.160]   and how do you categorize them and find them?
[00:30:59.160 --> 00:31:01.560]   - Yeah, I mean, it's so fun having a community
[00:31:01.560 --> 00:31:03.360]   where people are just trying a model.
[00:31:03.360 --> 00:31:05.880]   Like it's only been two days for Playground V2
[00:31:05.880 --> 00:31:09.680]   and we actually don't know what the model's capable of
[00:31:09.680 --> 00:31:10.600]   and not capable of.
[00:31:10.600 --> 00:31:12.600]   You know, we certainly see problems with it,
[00:31:12.600 --> 00:31:16.520]   but we have yet to see what emergent behavior is.
[00:31:16.520 --> 00:31:17.960]   I mean, we've just sort of discovered
[00:31:17.960 --> 00:31:19.680]   that it takes about like a week
[00:31:19.680 --> 00:31:21.880]   before you start to see like new things.
[00:31:21.880 --> 00:31:24.080]   But I think like a lot of that style
[00:31:24.080 --> 00:31:26.400]   kind of emerges after that week
[00:31:26.400 --> 00:31:28.640]   where you start to see, you know,
[00:31:28.640 --> 00:31:30.560]   there's some styles that are very like well-known to us,
[00:31:30.560 --> 00:31:33.560]   like maybe like pixel art is a well-known style.
[00:31:33.560 --> 00:31:34.720]   But then there's some style,
[00:31:34.720 --> 00:31:36.160]   photo realism is like another one
[00:31:36.160 --> 00:31:38.200]   that's like well-known to us.
[00:31:38.200 --> 00:31:41.880]   But there are some styles that cannot be easily named.
[00:31:41.880 --> 00:31:43.880]   You know, it's not as simple as like,
[00:31:43.880 --> 00:31:45.800]   okay, that's an anime style.
[00:31:45.800 --> 00:31:47.840]   It's very visual.
[00:31:47.840 --> 00:31:50.760]   And in the end, you end up making up the name
[00:31:50.760 --> 00:31:52.040]   for what that style represents.
[00:31:52.040 --> 00:31:55.040]   And so the community kind of shapes itself
[00:31:55.040 --> 00:31:56.320]   around these different things.
[00:31:56.320 --> 00:31:58.920]   And so if anyone that's into stable diffusion
[00:31:58.920 --> 00:32:01.960]   and into building anything with graphics and stuff
[00:32:01.960 --> 00:32:03.240]   with these models, you know,
[00:32:03.240 --> 00:32:07.080]   you might've heard of like ProtoVision or DreamShaper,
[00:32:07.080 --> 00:32:09.200]   some of these weird names.
[00:32:09.200 --> 00:32:11.120]   But they're just, you know, invented by these authors,
[00:32:11.120 --> 00:32:13.000]   but they have a sort of je ne sais quoi
[00:32:13.000 --> 00:32:14.960]   that, you know, appeals to users.
[00:32:14.960 --> 00:32:18.640]   - Because it like roughly embeds to what you want.
[00:32:18.640 --> 00:32:21.240]   - I guess so.
[00:32:21.240 --> 00:32:22.080]   I mean, it's like, you know,
[00:32:22.080 --> 00:32:24.400]   there's this one of my favorite ones that's fine-tuned.
[00:32:24.400 --> 00:32:25.560]   It's not made by us.
[00:32:25.560 --> 00:32:28.080]   It's called like Starlight XL.
[00:32:28.080 --> 00:32:30.160]   It's just this beautiful model.
[00:32:30.160 --> 00:32:33.960]   It's got really great color contrast and visual elements.
[00:32:33.960 --> 00:32:35.280]   And the users love it.
[00:32:35.280 --> 00:32:36.240]   I love it.
[00:32:36.240 --> 00:32:38.960]   And yeah, it's so hard.
[00:32:38.960 --> 00:32:41.280]   I think that's like a very big open question with graphics
[00:32:41.280 --> 00:32:44.040]   that I'm not totally sure how we'll solve.
[00:32:44.040 --> 00:32:47.040]   Yeah, I think a lot of styles are sort of,
[00:32:47.040 --> 00:32:49.560]   I don't know, it's like an evolving situation too,
[00:32:49.560 --> 00:32:51.320]   'cause styles get boring, right?
[00:32:51.320 --> 00:32:52.160]   They get fatigued.
[00:32:52.160 --> 00:32:55.400]   It's like listening to the same style of pop song.
[00:32:55.400 --> 00:32:57.920]   I kind of, I try to relate to graphics
[00:32:57.920 --> 00:32:59.240]   a little bit like with music,
[00:32:59.240 --> 00:33:01.400]   because I think it gives you a little bit
[00:33:01.400 --> 00:33:02.600]   of a different shape to things.
[00:33:02.600 --> 00:33:04.760]   Like in music, it's not just,
[00:33:04.760 --> 00:33:06.440]   it's not as if we just have pop music
[00:33:06.440 --> 00:33:09.040]   and, you know, rap music and country music.
[00:33:09.040 --> 00:33:10.680]   Like they're all of these,
[00:33:10.680 --> 00:33:14.040]   like the EDM genre alone has like sub genres.
[00:33:14.040 --> 00:33:16.160]   And I think that's very true in graphics
[00:33:16.160 --> 00:33:19.080]   and painting and art and anything that we're doing.
[00:33:19.080 --> 00:33:20.400]   There's just these sub genres,
[00:33:20.400 --> 00:33:22.760]   even if we can't quite always name them.
[00:33:22.760 --> 00:33:24.760]   But I think they are emergent from the community,
[00:33:24.760 --> 00:33:26.120]   which is why we're so always happy
[00:33:26.120 --> 00:33:27.160]   to work with the community.
[00:33:27.160 --> 00:33:29.680]   - Yeah, that is a struggle, you know,
[00:33:29.680 --> 00:33:32.480]   coming back to this, like B2B versus B2C thing.
[00:33:32.480 --> 00:33:35.040]   B2C, you're gonna have a huge amount of diversity
[00:33:35.040 --> 00:33:36.920]   and then it's gonna reduce as you get towards
[00:33:36.920 --> 00:33:38.560]   more sort of B2B type use cases.
[00:33:38.560 --> 00:33:41.280]   I'm making this up here, tell me if you disagree.
[00:33:41.280 --> 00:33:44.040]   So like you might be optimizing for a thing
[00:33:44.040 --> 00:33:45.840]   that you may eventually not need.
[00:33:45.840 --> 00:33:46.960]   - Yeah, possibly.
[00:33:46.960 --> 00:33:48.320]   Yeah, possibly.
[00:33:48.320 --> 00:33:49.320]   Yeah, I try not to share,
[00:33:49.320 --> 00:33:51.120]   I think like a simple thing with startups
[00:33:51.120 --> 00:33:55.040]   is that I worry sometimes by trying to be
[00:33:55.040 --> 00:33:59.440]   overly ambitious and like really scrutinizing
[00:33:59.440 --> 00:34:01.440]   like what something is in its most nascent phase
[00:34:01.440 --> 00:34:03.960]   that you miss the most ambitious thing you could have done.
[00:34:03.960 --> 00:34:06.840]   Like just having like very basic curiosity
[00:34:06.840 --> 00:34:09.600]   with something very small
[00:34:09.600 --> 00:34:13.040]   can like kind of lead you to something amazing.
[00:34:13.040 --> 00:34:14.280]   Like Einstein definitely did that.
[00:34:14.280 --> 00:34:16.480]   And then when, and then he like, you know,
[00:34:16.480 --> 00:34:17.880]   he basically won all the prizes
[00:34:17.880 --> 00:34:19.080]   and got everything he wanted
[00:34:19.080 --> 00:34:20.240]   and then basically did like kind,
[00:34:20.240 --> 00:34:24.080]   didn't really, he kind of dismissed quantum
[00:34:24.080 --> 00:34:26.960]   and then just kind of was still searching, you know,
[00:34:26.960 --> 00:34:28.200]   for the unifying theory.
[00:34:28.200 --> 00:34:29.760]   And he like had this quest.
[00:34:29.760 --> 00:34:31.760]   I think that happens a lot with like Nobel prize people.
[00:34:31.760 --> 00:34:34.200]   I think there's like a term for it that I forget.
[00:34:34.200 --> 00:34:39.180]   I actually wanted to go after a toy almost intentionally.
[00:34:39.180 --> 00:34:42.040]   So long as that I could see,
[00:34:42.040 --> 00:34:45.360]   I could imagine that it would lead to something
[00:34:45.360 --> 00:34:47.080]   very, very large later.
[00:34:47.080 --> 00:34:50.760]   And so, yeah, it's a very, like I said, it's very hobbyist,
[00:34:50.760 --> 00:34:53.200]   but you need to start somewhere.
[00:34:53.200 --> 00:34:54.400]   You need to start with something
[00:34:54.400 --> 00:34:58.220]   that has a big gravitational pull,
[00:34:58.220 --> 00:35:01.220]   even if these hobbyists aren't likely to be the people
[00:35:01.220 --> 00:35:04.080]   that, you know, have a way to monetize it or whatever,
[00:35:04.080 --> 00:35:05.460]   even if they're, but they're doing it for fun.
[00:35:05.460 --> 00:35:07.160]   So there's something there
[00:35:07.160 --> 00:35:08.700]   that I think is really important.
[00:35:08.700 --> 00:35:11.160]   But I agree with you that, you know, in time,
[00:35:11.160 --> 00:35:12.000]   we're gonna have to focus,
[00:35:12.000 --> 00:35:16.400]   we will absolutely focus on more utilitarian things,
[00:35:16.400 --> 00:35:18.760]   like things that are more related to editing feats
[00:35:18.760 --> 00:35:20.060]   that are much harder.
[00:35:20.060 --> 00:35:23.360]   But, and so I think like a very simple use case is just,
[00:35:23.360 --> 00:35:26.000]   you know, I'm not a graphics designer.
[00:35:26.000 --> 00:35:28.680]   I don't know if, I don't know if you guys are,
[00:35:28.680 --> 00:35:31.080]   but it's sure, you know, it seems like very simple
[00:35:31.080 --> 00:35:33.080]   that like you, if we could give you the ability
[00:35:33.080 --> 00:35:37.520]   to do really complex graphics without skill,
[00:35:37.520 --> 00:35:39.000]   wouldn't you want that?
[00:35:39.000 --> 00:35:41.020]   You know, like my wife the other day was set, you know,
[00:35:41.020 --> 00:35:43.080]   said, ah, I wish Playground was better
[00:35:43.080 --> 00:35:45.560]   because I wish that, you know, don't you,
[00:35:45.560 --> 00:35:46.840]   when are you guys gonna have a feature
[00:35:46.840 --> 00:35:48.880]   where like we could make my son, his name's Devin,
[00:35:48.880 --> 00:35:50.800]   smile when he was not smiling in the picture
[00:35:50.800 --> 00:35:53.040]   for the holiday card, right?
[00:35:53.040 --> 00:35:55.080]   You know, just being able to highlight his mouth
[00:35:55.080 --> 00:35:56.480]   and just say like, make him smile.
[00:35:56.480 --> 00:35:58.040]   Like, why can't we do that
[00:35:58.040 --> 00:36:00.600]   with like high fidelity and coherence?
[00:36:00.600 --> 00:36:03.920]   Little things like that, all the way to, you know,
[00:36:03.920 --> 00:36:06.200]   putting you in completely different scenarios.
[00:36:06.200 --> 00:36:07.040]   - Is that true?
[00:36:07.040 --> 00:36:08.760]   Can we not do that in painting?
[00:36:08.760 --> 00:36:10.200]   - You can do in painting,
[00:36:10.200 --> 00:36:12.840]   but it's the quality is just so bad.
[00:36:12.840 --> 00:36:16.240]   Yeah, it's just really terrible quality.
[00:36:16.240 --> 00:36:18.480]   You know, it's like, you'll do it five times
[00:36:18.480 --> 00:36:20.440]   and it'll still like kind of look like crooked
[00:36:20.440 --> 00:36:21.720]   or just the artifact.
[00:36:21.720 --> 00:36:24.360]   Part of it's like, you know, the lips on the face are so,
[00:36:24.360 --> 00:36:26.720]   there's such, there's such little information there.
[00:36:26.720 --> 00:36:29.500]   It's so small that the models really struggle with it.
[00:36:29.500 --> 00:36:30.520]   Yeah.
[00:36:30.520 --> 00:36:32.360]   - Make the picture smaller and you won't see it.
[00:36:32.360 --> 00:36:34.760]   - Wait, I think, I think that's my trick, I don't know.
[00:36:34.760 --> 00:36:35.640]   - Yeah, yeah, that's true.
[00:36:35.640 --> 00:36:37.200]   Or, you know, you could take that region
[00:36:37.200 --> 00:36:39.520]   and make it really big and then like say it's a mouth
[00:36:39.520 --> 00:36:40.920]   and then like shrink it.
[00:36:40.920 --> 00:36:43.120]   It feels like you're wrestling with it
[00:36:43.120 --> 00:36:47.640]   more than it's doing something that kind of surprises you.
[00:36:47.640 --> 00:36:48.480]   Yeah.
[00:36:48.480 --> 00:36:50.600]   - It feels like you are very much the internal tastemaker.
[00:36:50.600 --> 00:36:53.320]   Like you carry in your head this vision
[00:36:53.320 --> 00:36:56.200]   for what a good art model should look like.
[00:36:56.200 --> 00:36:59.520]   Is it, do you find it hard to like communicate it
[00:36:59.520 --> 00:37:02.960]   to like your team and, you know, other people?
[00:37:02.960 --> 00:37:04.840]   'Cause obviously it's hard to put into words
[00:37:04.840 --> 00:37:06.100]   like we just said.
[00:37:06.100 --> 00:37:10.140]   - Yeah, it's very hard to explain.
[00:37:10.140 --> 00:37:14.360]   Like images have such, like such high bit rate
[00:37:14.360 --> 00:37:15.700]   compared to just words.
[00:37:15.700 --> 00:37:19.900]   And we don't have enough words to describe these things.
[00:37:19.900 --> 00:37:21.740]   Difficult, I think everyone on the team,
[00:37:21.740 --> 00:37:25.180]   if they don't have good kind of like judgment taste
[00:37:25.180 --> 00:37:27.300]   or like an eye for some of these things,
[00:37:27.300 --> 00:37:28.860]   they're like steadily building it
[00:37:28.860 --> 00:37:30.820]   'cause they have no choice, right?
[00:37:30.820 --> 00:37:33.820]   So in that realm, I don't worry too much, actually.
[00:37:33.820 --> 00:37:35.860]   Like everyone is kind of like learning
[00:37:35.860 --> 00:37:39.980]   to get the eye is what I would call it.
[00:37:39.980 --> 00:37:41.740]   But I also have, you know, my own narrow taste.
[00:37:41.740 --> 00:37:43.220]   Like I'm at my, you know, I'm not,
[00:37:43.220 --> 00:37:45.220]   I don't represent the whole population either.
[00:37:45.220 --> 00:37:46.060]   - True, true.
[00:37:46.060 --> 00:37:47.580]   - So.
[00:37:47.580 --> 00:37:49.780]   - When you benchmark models, you know,
[00:37:49.780 --> 00:37:51.060]   like this benchmark we're talking about,
[00:37:51.060 --> 00:37:53.720]   we use FID for efficient input distance.
[00:37:53.720 --> 00:37:56.500]   Okay, that's one measure,
[00:37:56.500 --> 00:37:57.700]   but like doesn't capture anything
[00:37:57.700 --> 00:37:59.380]   you just said about smiles.
[00:37:59.380 --> 00:38:02.660]   - Yeah, FID is generally a bad metric.
[00:38:02.660 --> 00:38:04.460]   You know, it's good up to a point
[00:38:04.460 --> 00:38:06.580]   and then it kind of like is irrelevant.
[00:38:06.580 --> 00:38:07.420]   - Yeah. - Yeah.
[00:38:07.420 --> 00:38:11.060]   - And then, so are there any other metrics that you like
[00:38:11.060 --> 00:38:11.980]   apart from vibes?
[00:38:11.980 --> 00:38:13.940]   I'm always looking for alternatives to vibes.
[00:38:13.940 --> 00:38:15.500]   'Cause vibes don't scale, you know?
[00:38:15.500 --> 00:38:18.300]   - You know, it might be fun to kind of talk about this
[00:38:18.300 --> 00:38:20.300]   because it's actually kind of fresh.
[00:38:20.300 --> 00:38:22.860]   So up till now, we haven't needed to do
[00:38:22.860 --> 00:38:24.540]   a ton of like benchmarking
[00:38:24.540 --> 00:38:26.540]   because we hadn't trained our own model
[00:38:26.540 --> 00:38:27.380]   and then now we have.
[00:38:27.380 --> 00:38:28.340]   So now what?
[00:38:28.340 --> 00:38:29.180]   What does that mean?
[00:38:29.180 --> 00:38:30.380]   How do we evaluate it?
[00:38:30.380 --> 00:38:31.460]   You know, we're kind of like living
[00:38:31.460 --> 00:38:33.980]   with the last 48, 72 hours of going,
[00:38:33.980 --> 00:38:37.340]   did the way that we benchmark actually succeed?
[00:38:37.340 --> 00:38:38.180]   Did it deliver?
[00:38:38.180 --> 00:38:39.020]   Right?
[00:38:39.020 --> 00:38:40.500]   You know, like I think Gemini just came out.
[00:38:40.500 --> 00:38:42.340]   They just put out a bunch of benchmarks,
[00:38:42.340 --> 00:38:45.100]   but all these benchmarks are just an approximation
[00:38:45.100 --> 00:38:46.340]   of how you think it's gonna end up
[00:38:46.340 --> 00:38:47.420]   with real world performance.
[00:38:47.420 --> 00:38:50.260]   And I think that's like very fascinating to me.
[00:38:50.260 --> 00:38:53.360]   So if you fake that benchmark,
[00:38:53.360 --> 00:38:55.500]   you'll still end up in a really bad scenario
[00:38:55.500 --> 00:38:56.540]   at the end of the day.
[00:38:56.540 --> 00:38:58.340]   And so, you know, one of the benchmarks we did
[00:38:58.340 --> 00:39:01.300]   was we did a, we kind of curated like a thousand prompts.
[00:39:01.300 --> 00:39:03.940]   That's what we published in our blog post, you know,
[00:39:03.940 --> 00:39:05.140]   of all these tasks that we,
[00:39:05.140 --> 00:39:07.100]   a lot of them, some of them are curated by our team
[00:39:07.100 --> 00:39:09.340]   where we know the models all suck at it.
[00:39:09.340 --> 00:39:12.900]   Like my favorite prompt that no model's really capable of
[00:39:12.900 --> 00:39:15.600]   is a horse riding an astronaut.
[00:39:15.600 --> 00:39:16.440]   - Yeah.
[00:39:16.440 --> 00:39:17.260]   - The inverse one.
[00:39:17.260 --> 00:39:19.900]   And it's really, really hard to do.
[00:39:19.900 --> 00:39:20.900]   - Not in data.
[00:39:20.900 --> 00:39:22.720]   - You know, another one is like a giraffe
[00:39:22.720 --> 00:39:24.420]   underneath a microwave.
[00:39:24.420 --> 00:39:25.260]   How does that work?
[00:39:25.260 --> 00:39:26.780]   (laughing)
[00:39:26.780 --> 00:39:27.620]   Right?
[00:39:27.620 --> 00:39:29.620]   There's so many of these little funny ones.
[00:39:29.620 --> 00:39:31.060]   We do, we have prompts that are just like
[00:39:31.060 --> 00:39:32.740]   misspellings of things, right?
[00:39:32.740 --> 00:39:35.260]   Just to see if the models will figure it out.
[00:39:35.260 --> 00:39:36.100]   - So that's easy.
[00:39:36.100 --> 00:39:38.780]   That should embed to the same space.
[00:39:38.780 --> 00:39:39.620]   - Yeah.
[00:39:39.620 --> 00:39:42.260]   And just like all these very interesting, weird,
[00:39:42.260 --> 00:39:43.080]   weirdo things.
[00:39:43.080 --> 00:39:44.120]   And so we have so many of these
[00:39:44.120 --> 00:39:46.300]   and then we kind of like evaluate whether the models
[00:39:46.300 --> 00:39:47.140]   are any good at it.
[00:39:47.140 --> 00:39:48.940]   And the reality is that they're all bad at it.
[00:39:48.940 --> 00:39:51.440]   And so then you're just picking the most aesthetic image.
[00:39:51.440 --> 00:39:53.500]   But I think, you know, we're just,
[00:39:53.500 --> 00:39:55.420]   we're still at the beginning of building like our,
[00:39:55.420 --> 00:39:56.980]   like the best benchmark we can
[00:39:56.980 --> 00:40:01.980]   that aligns most with just user happiness, I think.
[00:40:01.980 --> 00:40:03.780]   'Cause we're not, we're not like putting these in papers
[00:40:03.780 --> 00:40:05.900]   and trying to like win, you know, I don't know,
[00:40:05.900 --> 00:40:07.980]   awards at ICCV or something if they have awards.
[00:40:07.980 --> 00:40:09.740]   Sorry if they don't.
[00:40:09.740 --> 00:40:11.340]   And you could.
[00:40:11.340 --> 00:40:12.980]   - Well, that's absolutely a valid strategy.
[00:40:12.980 --> 00:40:14.020]   - Yeah, you could.
[00:40:14.020 --> 00:40:15.860]   I don't think it could correlate necessarily
[00:40:15.860 --> 00:40:18.100]   with the impact we want to have on humanity.
[00:40:18.100 --> 00:40:20.460]   I think we're still evolving whatever our benchmarks are.
[00:40:20.460 --> 00:40:23.020]   So the first benchmark was just like very difficult tasks
[00:40:23.020 --> 00:40:24.300]   that we know the models are bad at.
[00:40:24.300 --> 00:40:26.700]   Can we come up with a thousand of these?
[00:40:26.700 --> 00:40:27.540]   Whether they're hand-written
[00:40:27.540 --> 00:40:28.980]   and some of them are generated.
[00:40:28.980 --> 00:40:31.900]   And then can we ask the users, like, how do we do?
[00:40:31.900 --> 00:40:34.380]   And then we wanted to use a benchmark like party prompts
[00:40:34.380 --> 00:40:36.020]   so that people in academia,
[00:40:36.020 --> 00:40:37.740]   we mostly did that so people in academia
[00:40:37.740 --> 00:40:40.580]   could measure their models against ours versus others.
[00:40:40.580 --> 00:40:45.080]   And, but yeah, I mean, fit is pretty bad.
[00:40:45.080 --> 00:40:49.380]   And I think, yeah, in terms of vibes,
[00:40:49.380 --> 00:40:50.880]   it's like when you put out the model
[00:40:50.880 --> 00:40:52.980]   and then you try to see like what users make.
[00:40:52.980 --> 00:40:55.220]   And I think my sense is that we're gonna take all the things
[00:40:55.220 --> 00:40:58.060]   that we noticed that the users kind of were failing at
[00:40:58.060 --> 00:41:01.020]   and try to find like new ways to measure that,
[00:41:01.020 --> 00:41:03.740]   whether that's like a smile or, you know,
[00:41:03.740 --> 00:41:06.260]   color contrast or lighting.
[00:41:06.260 --> 00:41:07.900]   One benefit of Playground is that
[00:41:07.900 --> 00:41:12.900]   we have users making millions of images every single day.
[00:41:12.900 --> 00:41:15.900]   And so we can just ask them.
[00:41:15.900 --> 00:41:20.260]   - And they go for like a post-generation feedback.
[00:41:20.260 --> 00:41:21.500]   - Yeah, we can just ask them.
[00:41:21.500 --> 00:41:23.740]   We can just say like, how good was the lighting here?
[00:41:23.740 --> 00:41:25.620]   How was the subject?
[00:41:25.620 --> 00:41:26.740]   How was the background?
[00:41:26.740 --> 00:41:30.460]   - Oh, like a proper form of like.
[00:41:30.460 --> 00:41:32.300]   - It's just like, you make it,
[00:41:32.300 --> 00:41:33.700]   you come to our site, you make an image
[00:41:33.700 --> 00:41:35.660]   and then we say, and then maybe randomly you just say,
[00:41:35.660 --> 00:41:37.540]   hey, you know, like how was the color
[00:41:37.540 --> 00:41:38.700]   and contrast of this image?
[00:41:38.700 --> 00:41:40.460]   And you say, it was not very good.
[00:41:40.460 --> 00:41:41.760]   And then you just tell us.
[00:41:41.760 --> 00:41:45.460]   So I think we can get like tens of thousands
[00:41:45.460 --> 00:41:49.100]   of these evaluations every single day
[00:41:49.100 --> 00:41:52.200]   to truly measure real world performance
[00:41:52.200 --> 00:41:54.140]   as opposed to just like benchmark performance.
[00:41:54.140 --> 00:41:56.940]   Hopefully next year, I think we will try to publish
[00:41:56.940 --> 00:42:01.640]   kind of like a benchmark that anyone could use,
[00:42:01.640 --> 00:42:04.580]   that we evaluate ourselves on and that other people can,
[00:42:04.580 --> 00:42:06.660]   that we think does a good job
[00:42:06.660 --> 00:42:08.420]   of approximating real world performance
[00:42:08.420 --> 00:42:10.940]   because we've tried it and done it and noticed that it did.
[00:42:10.940 --> 00:42:12.580]   Yeah, I think we will do that.
[00:42:12.580 --> 00:42:14.060]   - Yeah.
[00:42:14.060 --> 00:42:15.500]   I think we're going to ask a few more
[00:42:15.500 --> 00:42:17.540]   like sort of product-y questions.
[00:42:17.540 --> 00:42:20.020]   I personally have a few like categories
[00:42:20.020 --> 00:42:22.860]   that I consider special among, you know,
[00:42:22.860 --> 00:42:25.060]   you have like animals, art, fashion, food.
[00:42:25.060 --> 00:42:28.640]   There are some categories which I consider
[00:42:28.640 --> 00:42:30.680]   like a different tier of image.
[00:42:30.680 --> 00:42:33.420]   So the top among them is text in images.
[00:42:33.420 --> 00:42:36.600]   How do you think about that?
[00:42:36.600 --> 00:42:38.720]   So one of the big wild ones for me,
[00:42:38.720 --> 00:42:40.720]   something I've been looking out for the entire year
[00:42:40.720 --> 00:42:42.520]   is just the progress of text and images.
[00:42:42.520 --> 00:42:44.480]   Like, do you, can you write in an image?
[00:42:44.480 --> 00:42:45.320]   - Yeah.
[00:42:45.320 --> 00:42:48.440]   - Or an ideogram, I think, came out recently,
[00:42:48.440 --> 00:42:52.280]   which had decent but not perfect text and images.
[00:42:52.280 --> 00:42:55.140]   Dottie3 had improved some
[00:42:55.140 --> 00:42:58.500]   and all they said in their paper was that
[00:42:58.500 --> 00:43:00.000]   they just included more text in the dataset
[00:43:00.000 --> 00:43:01.200]   and it just worked.
[00:43:01.200 --> 00:43:03.000]   I was like, that's just, that's just lazy.
[00:43:03.000 --> 00:43:04.320]   (laughing)
[00:43:04.320 --> 00:43:06.200]   But anyway, do you care about that?
[00:43:06.200 --> 00:43:08.360]   'Cause I don't see any of that in like your sample.
[00:43:08.360 --> 00:43:09.200]   - Yeah, yeah.
[00:43:09.200 --> 00:43:14.200]   Yeah, the V2 model was mostly focused on image quality
[00:43:14.200 --> 00:43:18.120]   versus like the feature of text synthesis.
[00:43:18.120 --> 00:43:20.280]   'Cause I, well, as a business user,
[00:43:20.280 --> 00:43:21.120]   I care a lot about that.
[00:43:21.120 --> 00:43:21.940]   - Yeah. - Right.
[00:43:21.940 --> 00:43:23.520]   - Yeah, I'm very excited about text synthesis
[00:43:23.520 --> 00:43:26.720]   and yeah, I think ideogram has done a good job
[00:43:26.720 --> 00:43:28.080]   of maybe the best job.
[00:43:28.080 --> 00:43:31.920]   Dottie kind of has like a, it has like a hit rate.
[00:43:31.920 --> 00:43:33.520]   You know, you don't want just text effects.
[00:43:33.520 --> 00:43:36.620]   I think where this has to go is it has to be like,
[00:43:36.620 --> 00:43:39.000]   you could like write little tiny pieces of text
[00:43:39.000 --> 00:43:41.040]   like on like a milk carton.
[00:43:41.040 --> 00:43:41.880]   - Yeah.
[00:43:41.880 --> 00:43:43.600]   - That's maybe not even the focal point of a scene.
[00:43:43.600 --> 00:43:44.440]   - Yeah.
[00:43:44.440 --> 00:43:46.360]   - I think that's like a very hard task
[00:43:46.360 --> 00:43:48.600]   that if you could do something like that,
[00:43:48.600 --> 00:43:50.360]   then there's a lot of other possibilities.
[00:43:50.360 --> 00:43:51.400]   - Well, you don't have to zero shot it.
[00:43:51.400 --> 00:43:54.080]   You can just be like here and focus on this.
[00:43:54.080 --> 00:43:55.520]   - Sure, yeah, yeah, definitely.
[00:43:55.520 --> 00:43:56.360]   Yeah, yeah.
[00:43:56.360 --> 00:43:58.320]   So I think text synthesis would be very exciting.
[00:43:58.320 --> 00:43:59.160]   - Yeah.
[00:43:59.160 --> 00:44:02.860]   And then also flag that Max Wolf, Minimax here,
[00:44:02.860 --> 00:44:04.960]   which you must have come across his work.
[00:44:04.960 --> 00:44:08.700]   He's done a lot of stuff about using like logo masks
[00:44:08.700 --> 00:44:13.440]   that then map onto like food or vegetables
[00:44:13.440 --> 00:44:15.720]   and it looks like text,
[00:44:15.720 --> 00:44:17.280]   which can be pretty fun.
[00:44:17.280 --> 00:44:18.280]   - Yeah, yeah.
[00:44:18.280 --> 00:44:20.280]   I mean, it's very interesting to,
[00:44:20.280 --> 00:44:21.720]   that's the wonderful thing about like
[00:44:21.720 --> 00:44:23.600]   the open source community is that you get things
[00:44:23.600 --> 00:44:25.880]   like control net and then you see all these people
[00:44:25.880 --> 00:44:28.360]   do these just amazing things with control net
[00:44:28.360 --> 00:44:31.480]   and then you wonder, I think from our point of view,
[00:44:31.480 --> 00:44:33.400]   we sort of go, that's really wonderful,
[00:44:33.400 --> 00:44:35.520]   but how do we end up with like a unified model
[00:44:35.520 --> 00:44:36.400]   that can do that?
[00:44:36.400 --> 00:44:37.320]   What are the bottlenecks?
[00:44:37.320 --> 00:44:39.040]   What are the issues?
[00:44:39.040 --> 00:44:40.280]   Because the community ultimately
[00:44:40.280 --> 00:44:41.720]   has very limited resources.
[00:44:41.720 --> 00:44:42.560]   - Yeah.
[00:44:42.560 --> 00:44:44.960]   - And so they need these kinds of like work around
[00:44:45.720 --> 00:44:50.520]   work around research ideas to get there, but yeah.
[00:44:50.520 --> 00:44:52.480]   - Are techniques like control net
[00:44:52.480 --> 00:44:54.240]   portable to your architecture?
[00:44:54.240 --> 00:44:55.440]   - Definitely, yeah.
[00:44:55.440 --> 00:44:58.520]   We kept the Playground v2 exactly the same as SDXL,
[00:44:58.520 --> 00:45:00.080]   not because, not out of laziness,
[00:45:00.080 --> 00:45:01.720]   but just because we wanted,
[00:45:01.720 --> 00:45:03.880]   we knew that the community already had tools.
[00:45:03.880 --> 00:45:04.720]   - Yeah.
[00:45:04.720 --> 00:45:06.080]   - It's, you know, all you have to do
[00:45:06.080 --> 00:45:08.600]   is maybe change a string in your code
[00:45:08.600 --> 00:45:10.520]   and then, you know, retrain a control net for it.
[00:45:10.520 --> 00:45:12.040]   So it was very intentional to do that.
[00:45:12.040 --> 00:45:13.320]   We didn't want to fragment the community
[00:45:13.320 --> 00:45:14.520]   with different architectures.
[00:45:14.520 --> 00:45:15.360]   - Yeah.
[00:45:15.360 --> 00:45:16.200]   Yeah.
[00:45:16.200 --> 00:45:17.240]   I have more questions about that.
[00:45:17.240 --> 00:45:18.080]   I don't know.
[00:45:18.080 --> 00:45:21.200]   I don't want to DDoS you with topics, but okay.
[00:45:21.200 --> 00:45:23.640]   I was basically going to go over three more categories.
[00:45:23.640 --> 00:45:27.720]   One is UIs, like app UIs, like mock UIs.
[00:45:27.720 --> 00:45:32.120]   Third is not safe for work, obviously.
[00:45:32.120 --> 00:45:34.000]   And then copyrighted stuff.
[00:45:34.000 --> 00:45:36.440]   I don't know if you care to comment on any of those.
[00:45:36.440 --> 00:45:39.840]   - The NSFW kind of like safety stuff is really important.
[00:45:39.840 --> 00:45:44.360]   Part of, I kind of think that one of the biggest risks
[00:45:44.360 --> 00:45:47.200]   kind of going into maybe the U.S. election year
