
[00:00:00.000 --> 00:00:03.000]   Ilya, unbelievable.
[00:40:19.500 --> 00:40:20.940]   and learning about the world from vision,
[00:40:20.940 --> 00:40:22.380]   you will learn additional things
[00:40:22.380 --> 00:40:24.580]   which are not captured in text.
[00:40:24.580 --> 00:40:28.980]   But I would not say that it is a binary,
[00:40:28.980 --> 00:40:31.340]   there are things which are impossible to learn
[00:40:31.340 --> 00:40:32.820]   from text only.
[00:40:32.820 --> 00:40:34.940]   I think there's more of an exchange rate.
[00:40:34.940 --> 00:40:37.220]   And in particular, as you want to learn,
[00:40:37.220 --> 00:40:40.940]   if you are like a human being
[00:40:40.940 --> 00:40:43.700]   and you want to learn from a billion words
[00:40:43.700 --> 00:40:45.420]   or a hundred million words,
[00:40:45.420 --> 00:40:47.260]   then of course the other sources of information
[00:40:47.260 --> 00:40:49.300]   become far more important.
[00:40:49.300 --> 00:40:51.700]   - Yeah.
[00:40:51.700 --> 00:40:56.100]   You learn from images.
[00:40:56.100 --> 00:40:59.100]   Is there a sensibility that would suggest
[00:40:59.100 --> 00:41:01.540]   that if we wanted to understand
[00:41:01.540 --> 00:41:03.900]   also the construction of the world,
[00:41:03.900 --> 00:41:06.500]   as in the arm is connected to my shoulder,
[00:41:06.500 --> 00:41:08.300]   that my elbow is connected,
[00:41:08.300 --> 00:41:10.460]   that somehow these things move,
[00:41:10.460 --> 00:41:13.780]   the animation of the world,
[00:41:13.780 --> 00:41:14.980]   the physics of the world.
[00:41:14.980 --> 00:41:16.820]   If I wanted to learn that as well,
[00:41:16.820 --> 00:41:18.780]   can I just watch videos and learn that?
[00:41:18.780 --> 00:41:19.620]   - Yes.
[00:41:19.620 --> 00:41:23.140]   - And if I wanted to augment all of that with sound,
[00:41:23.140 --> 00:41:25.700]   like for example, if somebody said,
[00:41:25.700 --> 00:41:27.500]   the meaning of great,
[00:41:27.500 --> 00:41:31.220]   great could be great,
[00:41:31.220 --> 00:41:32.940]   or great could be great.
[00:41:32.940 --> 00:41:38.100]   One is sarcastic, one is enthusiastic.
[00:41:38.100 --> 00:41:40.020]   There are many, many words like that.
[00:41:40.020 --> 00:41:45.340]   That's sick, or I'm sick, or I'm sick.
[00:41:45.340 --> 00:41:46.900]   Depending on how people say it,
[00:41:46.900 --> 00:41:50.420]   would audio also make a contribution
[00:41:50.420 --> 00:41:52.660]   to the learning of the model?
[00:41:52.660 --> 00:41:55.420]   And could we put that to good use soon?
[00:41:55.420 --> 00:41:56.740]   - Yes.
[00:41:56.740 --> 00:42:00.100]   I think it's definitely the case that,
[00:42:00.100 --> 00:42:02.580]   well, what can we say about audio?
[00:42:02.580 --> 00:42:05.420]   It's useful, it's an additional source of information.
[00:42:05.420 --> 00:42:09.060]   Probably not as much as images or video,
[00:42:09.060 --> 00:42:11.980]   but there is a case to be made
[00:42:11.980 --> 00:42:13.780]   for the usefulness of audio as well,
[00:42:13.780 --> 00:42:18.020]   both on the recognition side and on the production side.
[00:42:18.020 --> 00:42:18.860]   - When you,
[00:42:18.860 --> 00:42:23.700]   on the context of the scores that I saw,
[00:42:23.700 --> 00:42:26.020]   the thing that was really interesting
[00:42:26.020 --> 00:42:29.420]   was the data that you guys published.
[00:42:29.420 --> 00:42:34.420]   Which one of the tests were performed well by GPT-3,
[00:42:34.700 --> 00:42:35.940]   and which one of the tests
[00:42:35.940 --> 00:42:38.580]   performed substantially better with GPT-4?
[00:42:38.580 --> 00:42:43.260]   How did multimodality contribute to those tests,
[00:42:43.260 --> 00:42:44.260]   do you think?
[00:42:44.260 --> 00:42:48.900]   - Oh, I mean, in a pretty straightforward way,
[00:42:48.900 --> 00:42:52.380]   anytime there was a test where a problem would,
[00:42:52.380 --> 00:42:53.780]   where to understand the problem,
[00:42:53.780 --> 00:42:55.780]   you need to look at a diagram.
[00:42:55.780 --> 00:42:58.220]   Like, for example, in some math competitions.
[00:42:58.220 --> 00:43:01.420]   Like, there is a math competition
[00:43:01.420 --> 00:43:03.620]   for high school students called AMC-12.
[00:43:03.620 --> 00:43:05.700]   - AMC-10, yeah. - 12, right?
[00:43:05.700 --> 00:43:10.700]   And there, presumably, many of the problems have a diagram.
[00:43:10.700 --> 00:43:16.180]   So, GPT-3.5 does quite badly on that test.
[00:43:16.180 --> 00:43:21.580]   GPT-4, with text only, does,
[00:43:21.580 --> 00:43:22.460]   I think, I don't remember,
[00:43:22.460 --> 00:43:27.460]   but it's like maybe from 2% to 20% accuracy of success rate.
[00:43:27.460 --> 00:43:31.140]   But then when you add vision, it jumps to 40% success rate.
[00:43:31.140 --> 00:43:33.380]   So the vision is really doing a lot of work.
[00:43:33.380 --> 00:43:35.100]   The vision is extremely good.
[00:43:35.100 --> 00:43:38.980]   And I think being able to reason visually as well
[00:43:38.980 --> 00:43:42.900]   and communicate visually will also be very powerful
[00:43:42.900 --> 00:43:43.860]   and very nice things,
[00:43:43.860 --> 00:43:46.940]   which go beyond just learning about the world.
[00:43:46.940 --> 00:43:47.820]   You have several things.
[00:43:47.820 --> 00:43:50.220]   You can learn about the world.
[00:43:50.220 --> 00:43:52.500]   You can then reason about the world visually.
[00:43:52.500 --> 00:43:54.820]   And you can communicate visually.
[00:43:54.820 --> 00:43:57.860]   Where now, in the future, perhaps, in some future version,
[00:43:57.860 --> 00:44:00.780]   if you ask your neural net, "Hey, explain this to me,"
[00:44:00.780 --> 00:44:02.300]   rather than just producing four paragraphs,
[00:44:02.300 --> 00:44:05.340]   it will produce, "Hey, here's a little diagram
[00:44:05.340 --> 00:44:07.140]   "which clearly conveys to you
[00:44:07.140 --> 00:44:08.660]   "exactly what you need to know."
[00:44:08.660 --> 00:44:10.260]   - Yeah, that's incredible.
[00:44:10.260 --> 00:44:11.700]   You know, one of the things that you said earlier
[00:44:11.700 --> 00:44:16.700]   about an AI generating a test to train another AI,
[00:44:16.700 --> 00:44:21.060]   you know, there was a paper that was written about,
[00:44:21.060 --> 00:44:24.980]   and I don't completely know whether it's factual or not,
[00:44:24.980 --> 00:44:28.020]   but that there's a total amount
[00:44:28.020 --> 00:44:29.540]   of somewhere between four trillion
[00:44:29.540 --> 00:44:33.660]   to something like 20 trillion useful, you know,
[00:44:33.660 --> 00:44:37.180]   tokens, language tokens,
[00:44:37.180 --> 00:44:40.260]   that the world will be able to train on,
[00:44:40.260 --> 00:44:41.620]   you know, over some period of time.
[00:44:41.620 --> 00:44:44.260]   And that would have run out of tokens to train.
[00:44:44.260 --> 00:44:47.620]   And I, well, first of all, I wonder
[00:44:47.620 --> 00:44:49.580]   if you feel the same way.
[00:44:49.580 --> 00:44:54.580]   And then secondarily, whether the AI
[00:44:55.260 --> 00:44:59.980]   generating its own data
[00:44:59.980 --> 00:45:03.300]   could be used to train the AI itself,
[00:45:03.300 --> 00:45:06.140]   which you could argue is a little circular,
[00:45:06.140 --> 00:45:11.140]   but we train our brain with generated data all the time
[00:45:11.140 --> 00:45:15.940]   by self-reflection,
[00:45:15.940 --> 00:45:19.660]   working through a problem in our brain, you know,
[00:45:19.660 --> 00:45:24.660]   and, you know, I guess neuroscientists suggest sleeping.
[00:45:25.060 --> 00:45:26.900]   We do a lot of fair amount of, you know,
[00:45:26.900 --> 00:45:28.140]   developing our neurons.
[00:45:28.140 --> 00:45:32.900]   How do you see this area of synthetic data generation?
[00:45:32.900 --> 00:45:34.660]   Is that going to be an important part of the future
[00:45:34.660 --> 00:45:38.380]   of training AI and the AI teaching itself?
[00:45:38.380 --> 00:45:42.540]   - Well, I think, like I wouldn't underestimate
[00:45:42.540 --> 00:45:45.020]   the data that exists out there.
[00:45:45.020 --> 00:45:50.020]   I think there's probably more data than people realize.
[00:45:50.020 --> 00:45:53.620]   And as to your second question,
[00:45:53.620 --> 00:45:56.860]   certainly a possibility remains to be seen.
[00:45:56.860 --> 00:45:59.940]   - Yeah, yeah, it really does seem that
[00:45:59.940 --> 00:46:04.940]   that one of these days our AIs are, you know,
[00:46:04.940 --> 00:46:06.220]   when we're not using it,
[00:46:06.220 --> 00:46:09.380]   maybe generating either adversarial content for itself
[00:46:09.380 --> 00:46:12.620]   to learn from or imagine solving problems
[00:46:12.620 --> 00:46:16.940]   that it can go off and then improve itself.
[00:46:16.940 --> 00:46:21.940]   Tell us whatever you can about where we are now
[00:46:23.020 --> 00:46:26.860]   and what do you think we'll be in not too distant future,
[00:46:26.860 --> 00:46:31.420]   but, you know, pick your horizon, a year or two.
[00:46:31.420 --> 00:46:34.060]   What do you think this whole language model area would be
[00:46:34.060 --> 00:46:36.460]   in some of the areas that you're most excited about?
[00:46:36.460 --> 00:46:38.660]   - You know, predictions are hard.
[00:46:38.660 --> 00:46:42.220]   And it's a bit, although it's a little difficult
[00:46:42.220 --> 00:46:46.580]   to say things which are too specific,
[00:46:46.580 --> 00:46:51.580]   I think it's safe to assume that progress will continue.
[00:46:52.580 --> 00:46:56.820]   And that we will keep on seeing systems which astound us
[00:46:56.820 --> 00:47:00.820]   in the things that they can do.
[00:47:00.820 --> 00:47:05.500]   And the current frontiers will be centered around reliability
[00:47:05.500 --> 00:47:09.020]   around the system can be trusted,
[00:47:09.020 --> 00:47:13.140]   really get into a point where we can trust what it produces,
[00:47:13.140 --> 00:47:14.820]   really get into a point where
[00:47:14.820 --> 00:47:16.460]   if it doesn't understand something,
[00:47:16.460 --> 00:47:18.020]   it asks for a clarification,
[00:47:18.020 --> 00:47:21.300]   says that it doesn't know something,
[00:47:21.300 --> 00:47:23.060]   says that it needs more information.
[00:47:23.060 --> 00:47:26.300]   I think those are perhaps the biggest,
[00:47:26.300 --> 00:47:30.700]   the areas where improvement will lead to the biggest impact
[00:47:30.700 --> 00:47:32.860]   on the usefulness of those systems.
[00:47:32.860 --> 00:47:35.340]   Because right now that's really what stands in the way.
[00:47:35.340 --> 00:47:36.780]   You have an A, you have asking neural net,
[00:47:36.780 --> 00:47:39.900]   you ask a neural net to maybe summarize some long document
[00:47:39.900 --> 00:47:40.980]   and you get a summary.
[00:47:40.980 --> 00:47:43.740]   Like, are you sure that some important detail
[00:47:43.740 --> 00:47:44.580]   wasn't omitted?
[00:47:44.580 --> 00:47:46.340]   It's still a useful summary,
[00:47:46.340 --> 00:47:48.940]   but it's a different story when you know
[00:47:48.940 --> 00:47:52.020]   that all the important points have been covered.
[00:47:52.020 --> 00:47:55.180]   At some point, and in particular,
[00:47:55.180 --> 00:47:58.260]   it's okay if there is ambiguity, it's fine.
[00:47:58.260 --> 00:48:00.860]   But if a point is clearly important,
[00:48:00.860 --> 00:48:02.700]   such that anyone else who saw that point
[00:48:02.700 --> 00:48:04.780]   would say this is really important,
[00:48:04.780 --> 00:48:07.420]   then the neural network will also recognize that reliably.
[00:48:07.420 --> 00:48:08.980]   That's when you know.
[00:48:08.980 --> 00:48:10.460]   Same for the guardrail,
[00:48:10.460 --> 00:48:13.060]   same for its ability to clearly follow
[00:48:13.060 --> 00:48:16.860]   the intent of the user, of its operator.
[00:48:16.860 --> 00:48:19.580]   So I think we'll see a lot of that in the next two years.
[00:48:19.580 --> 00:48:20.420]   - Yeah, that's terrific,
[00:48:20.420 --> 00:48:22.300]   because the progress in those two areas
[00:48:22.300 --> 00:48:26.740]   will make this technology trusted by people to use
[00:48:26.740 --> 00:48:28.940]   and be able to apply it for so many things.
[00:48:28.940 --> 00:48:30.660]   I was thinking that was gonna be the last question,
[00:48:30.660 --> 00:48:32.740]   but I did have another one, sorry about that.
[00:48:32.740 --> 00:48:36.620]   So, Chad GPT to GPT-4.
[00:48:36.620 --> 00:48:40.420]   GPT-4, when you first started using it,
[00:48:40.420 --> 00:48:44.740]   what are some of the skills that it demonstrated
[00:48:44.740 --> 00:48:46.380]   that surprised even you?
[00:48:47.180 --> 00:48:51.420]   - Well, there were lots of really cool things
[00:48:51.420 --> 00:48:52.580]   that it demonstrated,
[00:48:52.580 --> 00:48:57.580]   which were quite cool and surprising.
[00:48:57.580 --> 00:49:01.780]   It was quite good.
[00:49:01.780 --> 00:49:05.220]   So I'll mention two, so let's see.
[00:49:05.220 --> 00:49:09.620]   I'm just trying to think about the best way to go about it.
[00:49:09.620 --> 00:49:13.940]   The short answer is that the level of its reliability
[00:49:13.940 --> 00:49:14.900]   was surprising.
[00:49:15.860 --> 00:49:18.220]   Where the previous neural networks,
[00:49:18.220 --> 00:49:19.860]   if you asked them a question,
[00:49:19.860 --> 00:49:22.660]   sometimes they might misunderstand something
[00:49:22.660 --> 00:49:25.900]   in a kind of a silly way.
[00:49:25.900 --> 00:49:28.540]   Whereas with GPT-4, that stopped happening.
[00:49:28.540 --> 00:49:31.940]   Its ability to solve math problems became far greater.
[00:49:31.940 --> 00:49:35.740]   It was like you could really do the derivation,
[00:49:35.740 --> 00:49:37.780]   and long, complicated derivation,
[00:49:37.780 --> 00:49:39.660]   and you could convert the units and so on.
[00:49:39.660 --> 00:49:41.220]   And that was really cool.
[00:49:41.220 --> 00:49:42.060]   You know, like many people have--
[00:49:42.060 --> 00:49:43.140]   - It works through a proof.
[00:49:43.140 --> 00:49:44.180]   It works through a proof.
[00:49:44.180 --> 00:49:45.100]   - Yeah. - That's pretty amazing.
[00:49:45.100 --> 00:49:48.100]   - Not all proofs, naturally, but quite a few.
[00:49:48.100 --> 00:49:50.060]   Or another example would be,
[00:49:50.060 --> 00:49:53.020]   like many people noticed that it has the ability
[00:49:53.020 --> 00:49:58.020]   to produce poems with every word
[00:49:58.020 --> 00:49:59.340]   starting with the same letter,
[00:49:59.340 --> 00:50:02.060]   or every word starting with some--
[00:50:02.060 --> 00:50:04.780]   - It follows instructions really, really clearly.
[00:50:04.780 --> 00:50:07.140]   - Not perfectly still, but much better than before.
[00:50:07.140 --> 00:50:08.300]   - Yeah, really good.
[00:50:08.300 --> 00:50:09.980]   - And on the vision side,
[00:50:09.980 --> 00:50:12.780]   I really love how it can explain jokes.
[00:50:12.780 --> 00:50:14.380]   It can explain memes.
[00:50:14.380 --> 00:50:16.300]   You show it a meme and ask it why it's funny,
[00:50:16.300 --> 00:50:18.980]   and it will tell you, and it will be correct.
[00:50:18.980 --> 00:50:21.540]   The vision part, I think, is very,
[00:50:21.540 --> 00:50:25.460]   was also very, it's like really actually seeing it
[00:50:25.460 --> 00:50:27.500]   when you can ask follow-up questions
[00:50:27.500 --> 00:50:31.540]   about some complicated image with a complicated diagram
[00:50:31.540 --> 00:50:32.500]   and get an explanation.
[00:50:32.500 --> 00:50:33.420]   That's really cool.
[00:50:33.420 --> 00:50:38.220]   But yeah, overall, I will say, to take a step back,
[00:50:38.220 --> 00:50:41.340]   you know, I've been in this business for quite some time.
[00:50:41.340 --> 00:50:44.140]   Actually, like almost exactly 20 years.
[00:50:44.140 --> 00:50:50.940]   And the thing which I find most surprising
[00:50:50.940 --> 00:50:52.780]   is that it actually works.
[00:50:52.780 --> 00:50:54.380]   (laughing)
[00:50:54.380 --> 00:50:55.220]   - Yeah.
[00:50:55.220 --> 00:50:58.540]   - Like it turned out to be the same little thing all along,
[00:50:58.540 --> 00:51:00.300]   which is no longer little,
[00:51:00.300 --> 00:51:03.500]   and a lot more serious and much more intense,
[00:51:03.500 --> 00:51:06.740]   but it's the same neural network, just larger,
[00:51:06.740 --> 00:51:09.700]   trained on maybe larger data sets in different ways
[00:51:09.700 --> 00:51:11.780]   with the same fundamental training algorithm.
[00:51:11.780 --> 00:51:12.940]   - Yeah.
[00:51:12.940 --> 00:51:14.820]   - So it's like, wow.
[00:51:14.820 --> 00:51:18.380]   I would say this is what I find the most surprising.
[00:51:18.380 --> 00:51:19.220]   - Yeah.
[00:51:19.220 --> 00:51:21.420]   - Whenever I take a step back, I go, how is it possible
[00:51:21.420 --> 00:51:23.700]   that those ideas, those conceptual ideas about,
[00:51:23.700 --> 00:51:26.420]   well, the brain has neurons,
[00:51:26.420 --> 00:51:29.180]   so maybe artificial neurons are just as good,
[00:51:29.180 --> 00:51:30.780]   and so maybe we just need to train them somehow
[00:51:30.780 --> 00:51:32.020]   with some learning algorithm,
[00:51:32.020 --> 00:51:35.060]   that those arguments turned out to be so incredibly correct.
[00:51:36.220 --> 00:51:39.900]   That would be the biggest surprise, I'd say.
[00:51:39.900 --> 00:51:42.820]   - In the 10 years that we've known each other,
[00:51:42.820 --> 00:51:47.820]   the models that you've trained
[00:51:47.820 --> 00:51:49.540]   and the amount of data that you've trained
[00:51:49.540 --> 00:51:54.540]   from what you did on AlexNet to now
[00:51:54.540 --> 00:51:56.900]   is about a million times.
[00:51:56.900 --> 00:52:01.900]   And no one in the world of computer science
[00:52:01.900 --> 00:52:05.500]   would have believed that the amount of computation
[00:52:05.500 --> 00:52:07.620]   that was done in that 10 years' time
[00:52:07.620 --> 00:52:09.980]   would be a million times larger
[00:52:09.980 --> 00:52:13.980]   and that you dedicated your career to go do that.
[00:52:13.980 --> 00:52:19.820]   You've done many more, your body of work is incredible,
[00:52:19.820 --> 00:52:22.620]   but two seminal works, the invention,
[00:52:22.620 --> 00:52:25.620]   the co-invention with AlexNet and that early work,
[00:52:25.620 --> 00:52:28.820]   and now with GPT at OpenAI,
[00:52:28.820 --> 00:52:32.980]   it is truly remarkable what you've accomplished.
[00:52:32.980 --> 00:52:35.420]   It's great to catch up with you again, Ilya.
[00:52:35.420 --> 00:52:40.420]   I'm a good friend and it is quite an amazing moment.
[00:52:40.420 --> 00:52:45.740]   And today's talk, the way you break down the problem
[00:52:45.740 --> 00:52:50.740]   and describe it, this is one of the best PhD,
[00:52:50.740 --> 00:52:54.580]   beyond PhD descriptions of the state-of-the-art
[00:52:54.580 --> 00:52:55.700]   of large language models.
[00:52:55.700 --> 00:52:56.780]   I really appreciate that.
[00:52:56.780 --> 00:52:58.220]   It's great to see you, congratulations.
[00:52:58.220 --> 00:53:00.220]   - Thank you so much. - Yeah, thank you.

