
[00:00:00.000 --> 00:00:02.080]   Go first, then.
[00:52:42.840 --> 00:52:44.420]   I think some of them are stronger than others.
[00:52:44.420 --> 00:52:51.320]   But I just would highlight for folks the, the, the conclusions as well.
[00:52:51.320 --> 00:52:57.600]   Because I think like the, the sensitive thing about this is that Cohera itself is a pretty large lab.
[00:52:57.600 --> 00:53:06.660]   And for them to criticize LM Arena, which is basically two Stanford, two UC Berkeley guys, is, you know, punching down.
[00:53:06.660 --> 00:53:10.000]   So they, but they obviously, LM Arena has a lot of influence.
[00:53:10.000 --> 00:53:16.380]   So I think they, the important thing is to have constructive suggestions around what to do, given that LM Arena is a thing, right?
[00:53:16.380 --> 00:53:21.460]   Like I think in, in a fair world, maybe a lot of people would rather that LM Arena just doesn't exist.
[00:53:21.720 --> 00:53:25.300]   But now that it does exist and people do use it, what do we do about it?
[00:53:25.300 --> 00:53:33.680]   So they, they had some really good suggestions, I thought, which was, don't allow people to retract scores that do, do badly.
[00:53:33.680 --> 00:53:36.620]   It's like, you know, just because you did badly, you don't get to hide it.
[00:53:38.380 --> 00:53:46.220]   Two, limit, limit, limit model submissions, so that you don't get to spam models and only promote the best ones.
[00:53:46.220 --> 00:53:53.340]   Three, have equal levels of model removals of, between closed source and open source.
[00:53:53.340 --> 00:53:54.800]   So don't favor closed source.
[00:53:54.800 --> 00:53:57.040]   Four, implement fair sampling.
[00:53:57.040 --> 00:53:57.920]   I love this one.
[00:53:58.080 --> 00:54:00.060]   Okay, so this is very fun, right?
[00:54:00.060 --> 00:54:14.300]   So LM Arena is a, is a sampling problem, meaning they, they, they have to like find workloads and then like sort of match them up and, and try to, try to arrive at some reasonable ELO number.
[00:54:14.300 --> 00:54:23.560]   It turns out that the authors of LM Arena originally had a methodology which was more like active learning and they abandoned it.
[00:54:23.560 --> 00:54:26.360]   So I really like the sentence.
[00:54:26.360 --> 00:54:34.440]   This formulation avoids simply favoring large proprietary providers and instead effectively prioritizes under-evaluated and high-variance pairs.
[00:54:34.440 --> 00:54:39.940]   And this, this word, high-variance pairs, made me realize like, oh yeah, I mean, that's obviously what you should focus on.
[00:54:39.940 --> 00:54:52.640]   This is very active learning in the sense of like, okay, if, if you have a lot of, if you have a lot of, if you have a place with a lot of disagreements, you should focus your battles on those pairs to lower the variance by increasing the, the sample size.
[00:54:52.640 --> 00:54:59.980]   And, and apparently they had a paper on this and they ended up not doing it.
[00:54:59.980 --> 00:55:01.380]   So it's kind of interesting there.
[00:55:01.380 --> 00:55:04.560]   And then finally, provide transparency.
[00:55:04.560 --> 00:55:05.500]   This is fine.
[00:55:05.500 --> 00:55:06.060]   This is normal.
[00:55:07.020 --> 00:55:07.420]   Yeah.
[00:55:07.420 --> 00:55:10.340]   Any questions or debates about this one?
[00:55:10.340 --> 00:55:14.260]   What's the Lama T?
[00:55:14.260 --> 00:55:15.600]   What happened with Lama 4?
[00:55:15.600 --> 00:55:18.780]   I think they published this before Lama 4.
[00:55:18.780 --> 00:55:20.260]   I don't think, I don't think Lama 4 was discussed.
[00:55:20.260 --> 00:55:23.440]   Oh, yeah, there you go.
[00:55:23.440 --> 00:55:24.920]   Oh, in the lead up to Lama 4.
[00:55:24.920 --> 00:55:28.100]   But I don't think, I don't think they had the Lama chat issue.
[00:55:28.100 --> 00:55:32.780]   That first paragraph is crazy though.
[00:55:32.780 --> 00:55:34.120]   27 variants.
[00:55:35.800 --> 00:55:36.160]   Yeah.
[00:55:36.160 --> 00:55:39.480]   I think it's interesting.
[00:55:39.480 --> 00:55:45.980]   Like they say substantially higher sampling rates for OpenAI, Google, XAI and Meta.
[00:55:45.980 --> 00:55:50.400]   So one, two, three, four, but XAI is like a lot lower than the other two.
[00:55:50.400 --> 00:55:51.960]   And then Meta is even lower than that.
[00:55:51.960 --> 00:55:54.600]   Amazon, I think decently, nicely treated.
[00:55:54.600 --> 00:56:01.800]   But yeah, I mean, so, you know, I think now it's kosher to say that the ones that were treated the worst was RECA.
[00:56:02.360 --> 00:56:04.140]   And I heard about it directly from RECA.
[00:56:04.140 --> 00:56:08.420]   So it's very sad.
[00:56:08.420 --> 00:56:11.480]   Yeah.
[00:56:11.480 --> 00:56:14.560]   At the top level, they also put out the most, right?
[00:56:14.560 --> 00:56:17.420]   Google OpenAI have the most models compared to Meta.
[00:56:17.420 --> 00:56:21.940]   Yeah, but RECA had trouble submitting RECA 2 and RECA 3.
[00:56:24.940 --> 00:56:34.080]   So yeah, that's, I think this is a useful pushback on LM Arena.
[00:56:34.080 --> 00:56:35.540]   And I really liked that.
[00:56:35.540 --> 00:56:43.980]   I thought it was very classy that they, first, they actually shared this with the LM Arena team before publishing this paper, which I thought is just responsible disclosure.
[00:56:45.460 --> 00:56:45.900]   Cool.
[00:56:45.900 --> 00:56:47.220]   That's a short paper.
[00:56:47.220 --> 00:56:48.980]   I thought it was very interesting.
[00:56:48.980 --> 00:56:53.680]   Senpai actually said like, oh yeah, LM Arena is dead to me.
[00:56:53.680 --> 00:56:55.340]   Now OpenRouter is my best friend.
[00:56:55.340 --> 00:57:03.100]   So now the same dynamics are going to apply to OpenRouter because that's how these things work.
[00:57:04.680 --> 00:57:13.720]   So yeah, so now he's talking about OpenRouter rankings and basically this favors cost is my general takeaway.
[00:57:13.720 --> 00:57:27.660]   So when Gemini launched, Gemini 2 flashed launch and it was free, suddenly it shot out to, you know, one of the most popular APIs, which is not a surprise because it's free.
[00:57:29.860 --> 00:57:30.300]   Yeah.
[00:57:30.300 --> 00:57:34.660]   Cool.
[00:57:34.660 --> 00:57:35.560]   Okay.
[00:57:35.560 --> 00:57:36.980]   Did people have questions?
[00:57:36.980 --> 00:57:38.320]   I'm not seeing the chat.
[00:57:38.320 --> 00:57:41.960]   Cool.
[00:57:41.960 --> 00:57:42.400]   All right.
[00:57:42.400 --> 00:57:43.860]   I think that's it.
[00:57:43.860 --> 00:57:44.660]   We're out of time.
[00:57:44.660 --> 00:57:52.460]   I'm happy to talk about AI News another time, but there was somebody who had a question about the search on AI News.
[00:57:52.460 --> 00:57:55.960]   And basically it is all pre-built.
[00:57:55.960 --> 00:57:59.100]   That's why it's fast because there's no compute.
[00:57:59.100 --> 00:58:02.560]   Everything's pre-indexed.
[00:58:02.560 --> 00:58:04.200]   So if I do like...
[00:58:04.200 --> 00:58:17.100]   I mean, doesn't, isn't that search whereby you type a keyword and it was actually able to do the lexical side?
[00:58:17.100 --> 00:58:18.100]   Yeah.
[00:58:18.100 --> 00:58:18.580]   Yeah.
[00:58:18.580 --> 00:58:20.320]   I don't think, I don't think, I don't know.
[00:58:20.320 --> 00:58:23.700]   Someone was impressed by that, but I don't think it's particularly much to it.
[00:58:23.700 --> 00:58:25.900]   Like I have a year's worth of content in here.
[00:58:25.900 --> 00:58:27.040]   It's not that much.
[00:58:27.040 --> 00:58:30.340]   You know, everything can fit in a JSON file.
[00:58:30.340 --> 00:58:35.800]   Seems like we didn't have time to discuss what people are next week, but I think it's the Lama series, right?
[00:58:35.800 --> 00:58:36.260]   Yeah.
[00:58:36.260 --> 00:58:37.280]   The Lama series.
[00:58:39.980 --> 00:58:40.740]   So, okay.
[00:58:40.740 --> 00:58:42.380]   Next week we're talking Lama.
[00:58:42.380 --> 00:58:43.800]   Thank you, Rafa.
[00:58:43.800 --> 00:58:45.600]   I thought I could confirm with him, but...
[00:58:45.600 --> 00:58:46.760]   Yeah, most likely.
[00:58:46.760 --> 00:58:49.200]   I'll never talk this in a while.
[00:58:49.200 --> 00:58:49.520]   Okay.
[00:58:49.520 --> 00:58:51.120]   Either it's Tom or Vibu, I guess.
[00:58:51.120 --> 00:58:51.640]   No, I'm kidding.
[00:58:51.640 --> 00:58:54.380]   Okay.
[00:58:54.380 --> 00:58:55.100]   Take care.
[00:58:55.100 --> 00:58:55.540]   Thank you, Rafa.
[00:58:55.540 --> 00:58:56.120]   Bye.

