
[00:00:00.040 --> 00:00:10.680]   test
[00:40:21.660 --> 00:40:21.660]   You're going to have to think about the other side of the equation.
[00:40:21.660 --> 00:40:21.660]   You're going to have to think about the other side of the equation.
[00:40:21.660 --> 00:40:21.660]   You're going to have to think about the other side of the equation.
[00:40:21.660 --> 00:40:21.660]   You're going to have to think about the other side of the equation.
[00:40:21.660 --> 00:40:21.660]   You're going to have to think about the other side of the equation.
[00:40:21.660 --> 00:40:51.680]  ,
[00:40:51.680 --> 00:40:51.680]   and you're going to have to think about the other side of the equation.
[00:40:51.680 --> 00:40:51.680]   and you're going to have to think about the other side of the equation.
[00:40:51.680 --> 00:40:51.680]   and you're going to have to think about the other side of the equation.
[00:40:51.680 --> 00:40:51.680]   and you're going to have to think about the other side of the equation.
[00:40:51.680 --> 00:40:51.680]   and you're going to have to think about the other side of the equation.
[00:40:51.680 --> 00:40:51.680]   and you're going to have to think about the other side of the equation.
[00:40:51.680 --> 00:40:51.680]   and you're going to have to think about the other side of the equation.
[00:40:51.700 --> 00:41:21.700]   You're going to have to think about the other side of the equation.
[00:41:21.700 --> 00:41:21.700]   and you're going to have to think about the other side of the equation.
[00:41:21.700 --> 00:41:21.700]   and you're going to have to think about the other side of the equation.
[00:41:21.700 --> 00:41:21.700]   and you're going to have to think about the other side of the equation.
[00:41:21.700 --> 00:41:21.700]   and you're going to have to think about the other side of the equation.
[00:41:21.700 --> 00:41:21.700]   and you're going to have to think about the other side of the equation.
[00:41:21.700 --> 00:41:21.700]   and you're going to have to think about the other side of the equation.
[00:41:21.700 --> 00:41:21.700]   and you're going to have to think about the other side of the equation.
[00:41:21.700 --> 00:41:21.700]   and you're going to have to think about the other side of the equation.
[00:41:21.700 --> 00:41:21.700]   and you're going to have to think about the other side of the equation.
[00:41:21.700 --> 00:41:21.700]   and you're going to have to think about the other side of the equation.
[00:41:21.700 --> 00:41:21.700]   and you're going to have to think about the other side of the equation.
[00:41:21.720 --> 00:41:51.720]   and you're going to have to think about the other side of the equation.
[00:41:51.720 --> 00:41:51.720]   and you're going to have to think about the other side of the equation.
[00:41:51.720 --> 00:41:51.720]   and you're going to have to think about the other side of the equation.
[00:41:51.720 --> 00:41:51.720]   and you're going to have to think about the other side of the equation.
[00:41:51.720 --> 00:41:51.720]   and you're going to have to think about the other side of the equation.
[00:41:51.720 --> 00:41:51.720]   and you're going to have to think about the other side of the equation.
[00:41:51.720 --> 00:41:51.720]   and you're going to have to think about the other side of the equation.
[00:41:51.720 --> 00:41:51.720]   and you're going to have to think about the other side of the equation.
[00:41:51.740 --> 00:42:21.740]  ,
[00:42:21.740 --> 00:42:21.740]   and you're going to have to think about the other side of the equation.
[00:42:21.740 --> 00:42:21.740]   and you're going to have to think about the other side of the equation.
[00:42:21.740 --> 00:42:21.740]   and you're going to have to think about the other side of the equation.
[00:42:21.740 --> 00:42:21.740]   and you're going to have to think about the other side of the equation.
[00:42:21.740 --> 00:42:21.740]   and you're going to have to think about the other side of the equation.
[00:42:21.740 --> 00:42:21.740]   and you're going to have to think about the other side of the equation.
[00:42:21.740 --> 00:42:21.740]   and you're going to have to think about the other side of the equation.
[00:42:21.740 --> 00:42:21.740]   and you're going to have to think about the other side of the equation.
[00:42:21.740 --> 00:42:21.740]   and you're going to have to think about the other side of the equation.
[00:42:21.760 --> 00:42:51.760]  ,
[00:42:51.760 --> 00:42:51.760]   and you're going to have to think about the other side of the equation.
[00:42:51.760 --> 00:42:51.760]   and you're going to have to think about the other side of the equation.
[00:42:51.760 --> 00:42:51.760]   and you're going to have to think about the other side of the equation.
[00:42:51.760 --> 00:42:51.760]   and you're going to have to think about the other side of the equation.
[00:42:51.760 --> 00:42:51.760]   and you're going to have to think about the other side of the equation.
[00:42:51.760 --> 00:42:51.760]   and you're going to have to think about the other side of the equation.
[00:42:51.760 --> 00:42:51.760]   and you're going to have to think about the other side of the equation.
[00:42:51.760 --> 00:42:51.760]   and you're going to have to think about the other side of the equation.
[00:42:51.800 --> 00:43:21.780]  ,
[00:43:21.780 --> 00:43:21.780]   and you're going to have to think about the other side of the equation.
[00:43:21.780 --> 00:43:21.780]   and you're going to have to think about the other side of the equation.
[00:43:21.780 --> 00:43:21.780]   and you're going to have to think about the other side of the equation.
[00:43:21.780 --> 00:43:21.780]   and you're going to have to think about the other side of the equation.
[00:43:21.780 --> 00:43:21.780]   and you're going to have to think about the other side of the equation.
[00:43:21.780 --> 00:43:21.780]   and you're going to have to think about the other side of the equation.
[00:43:21.780 --> 00:43:21.780]   and you're going to have to think about the other side of the equation.
[00:43:21.780 --> 00:43:21.780]   and you're going to have to think about the other side of the equation.
[00:43:21.780 --> 00:43:21.780]   and you're going to have to think about the other side of the equation.
[00:43:21.800 --> 00:43:51.800]   and you're going to have to think about the other side of the equation.
[00:43:51.800 --> 00:43:51.800]   and you're going to have to think about the other side of the equation.
[00:43:51.800 --> 00:43:51.800]   and you're going to have to think about the other side of the equation.
[00:43:51.800 --> 00:43:51.800]   and you're going to have to think about the other side of the equation.
[00:43:51.800 --> 00:43:51.800]   and you're going to have to think about the other side of the equation.
[00:43:51.800 --> 00:43:51.800]   and you're going to have to think about the other side of the equation.
[00:43:51.800 --> 00:43:51.800]   and you're going to have to think about the other side of the equation.
[00:43:51.800 --> 00:43:51.800]   and you're going to have to think about the other side of the equation.
[00:43:51.800 --> 00:43:51.800]   and you're going to have to think about the other side of the equation.
[00:43:51.800 --> 00:43:51.800]   and you're going to have to think about the other side of the equation.
[00:43:51.800 --> 00:43:51.800]   and you're going to have to think about the other side of the equation.
[00:43:51.800 --> 00:43:51.800]   and you're going to have to think about the other side of the equation.
[00:43:51.820 --> 00:44:21.820]  , and you're going to have to think about the other side of the equation.
[00:44:21.820 --> 00:44:21.820]   and you're going to have to think about the other side of the equation.
[00:44:21.820 --> 00:44:21.820]   and you're going to have to think about the other side of the equation.
[00:44:21.820 --> 00:44:21.820]   and you're going to have to think about the other side of the equation.
[00:44:21.820 --> 00:44:21.820]   and you're going to have to think about the other side of the equation.
[00:44:21.820 --> 00:44:21.820]   and you're going to have to think about the other side of the equation.
[00:44:21.820 --> 00:44:21.820]   and you're going to have to think about the other side of the equation.
[00:44:21.820 --> 00:44:21.820]   and you're going to have to think about the other side of the equation.
[00:44:21.820 --> 00:44:21.820]   and you're going to have to think about the other side of the equation.
[00:44:21.840 --> 00:44:51.840]  , and you're going to have to think about the other side of the equation.
[00:44:51.840 --> 00:44:51.840]   and you're going to have to think about the other side of the equation.
[00:44:51.840 --> 00:44:51.840]   and you're going to have to think about the other side of the equation.
[00:44:51.840 --> 00:44:51.840]   and you're going to have to think about the other side of the equation.
[00:44:51.840 --> 00:44:51.840]   and you're going to have to think about the other side of the equation.
[00:44:51.840 --> 00:44:51.840]   and you're going to have to think about the other side of the equation.
[00:44:51.840 --> 00:44:51.840]   and you're going to have to think about the other side of the equation.
[00:44:51.840 --> 00:44:51.840]   and you're going to think about the other side of the equation.
[00:44:51.840 --> 00:44:51.840]   and you're going to think about the other side of the equation.
[00:44:51.860 --> 00:45:21.860]  , and you're going to have to think about the other side of the equation.
[00:45:21.860 --> 00:45:21.860]   and you're going to have to think about the other side of the equation.
[00:45:21.860 --> 00:45:21.860]   and you're going to have to think about the other side of the equation.
[00:45:21.860 --> 00:45:21.860]   and you're going to have to think about the other side of the equation.
[00:45:21.860 --> 00:45:21.860]   and you're going to have to think about the other side of the equation.
[00:45:21.860 --> 00:45:21.860]   and you're going to have to think about the other side of the equation.
[00:45:21.860 --> 00:45:21.860]   and you're going to have to think about the other side of the equation.
[00:45:21.860 --> 00:45:21.860]   and you're going to have to think about the other side of the equation.
[00:45:21.860 --> 00:45:21.860]   and you're going to have to think about the other side of the equation.
[00:45:21.880 --> 00:45:51.880]  , and you're going to have to think about the other side of the equation.
[00:45:51.880 --> 00:45:51.880]   and you're going to have to think about the other side of the equation.
[00:45:51.880 --> 00:45:51.880]   and you're going to have to think about the other side of the equation.
[00:45:51.880 --> 00:45:51.880]   and you're going to have to think about the other side of the equation.
[00:45:51.880 --> 00:45:51.880]   and you're going to have to think about the other side of the equation.
[00:45:51.880 --> 00:45:51.880]   and you're going to have to think about the other side of the equation.
[00:45:51.880 --> 00:45:51.880]   and you're going to think about the other side of the equation.
[00:45:51.880 --> 00:45:51.880]   and you're going to think about the other side of the equation.
[00:45:51.880 --> 00:45:51.880]   and you're going to think about the other side of the equation. and you're going to think about the other side of the equation.
[00:45:51.920 --> 00:46:21.900]   and you're going to think about the other side of the equation. and you're going to think about the other side of the equation.

