
[00:00:00.000 --> 00:00:29.000]   [no sound]
[01:09:00.540 --> 01:09:05.020]   Yeah, so thanks for the session, Aman.
[01:09:05.020 --> 01:09:07.840]   I am also, I regularly join the session.
[01:09:07.840 --> 01:09:12.700]   So I'll just quickly share my screen,
[01:09:12.700 --> 01:09:14.020]   switch on my video.
[01:09:14.020 --> 01:09:14.860]   All right.
[01:09:14.920 --> 01:09:17.680]   (mouse clicking)
[01:09:17.680 --> 01:09:21.460]   It seems I cannot share my screen.
[01:09:21.460 --> 01:09:25.820]   - One second.
[01:09:25.820 --> 01:09:30.040]   Actually, guys, that's something you could help me with.
[01:09:30.040 --> 01:09:32.080]   I know you've helped me with that in the past.
[01:09:32.080 --> 01:09:32.920]   - Okay, okay.
[01:09:32.920 --> 01:09:34.600]   It's possible.
[01:09:34.600 --> 01:09:40.600]   All right, so there's a lot of junk on my system
[01:09:40.600 --> 01:09:43.040]   because I've been working on lots of things.
[01:09:43.040 --> 01:09:44.420]   So let me just quickly.
[01:09:45.240 --> 01:09:50.240]   So most of it, I think I did share in the forum
[01:09:50.240 --> 01:09:55.480]   or the discussion post as to how I approach writing
[01:09:55.480 --> 01:09:57.260]   and why it is important.
[01:09:57.260 --> 01:09:58.920]   So if you're gonna read this,
[01:09:58.920 --> 01:10:02.400]   you are going to get a gist of like how I plan things
[01:10:02.400 --> 01:10:04.560]   and how I write.
[01:10:04.560 --> 01:10:06.360]   And something that I want to share with everybody
[01:10:06.360 --> 01:10:09.120]   is everybody has a very different path of writing
[01:10:09.120 --> 01:10:10.280]   and learning.
[01:10:10.280 --> 01:10:14.820]   And so I think it's okay to be influenced by others,
[01:10:14.820 --> 01:10:17.300]   but then don't get pressurized.
[01:10:17.300 --> 01:10:18.780]   Like if somebody is writing,
[01:10:18.780 --> 01:10:21.220]   like you're absolutely beginner in this
[01:10:21.220 --> 01:10:24.340]   and you see people writing on very complicated,
[01:10:24.340 --> 01:10:26.460]   deep learning stuff, the neural networks
[01:10:26.460 --> 01:10:28.340]   and all those things that are coming
[01:10:28.340 --> 01:10:29.180]   and you feel, you know,
[01:10:29.180 --> 01:10:30.340]   I don't even understand what that means.
[01:10:30.340 --> 01:10:32.540]   It's absolutely all right.
[01:10:32.540 --> 01:10:37.540]   And I'll just show you how I have written on topics
[01:10:38.420 --> 01:10:41.040]   which are like absolutely diverse
[01:10:41.040 --> 01:10:43.160]   and as simple as things like,
[01:10:43.160 --> 01:10:46.240]   so my idea is always to,
[01:10:46.240 --> 01:10:47.960]   I sort of create small projects
[01:10:47.960 --> 01:10:50.680]   and once those projects are done,
[01:10:50.680 --> 01:10:54.440]   and then I'll sort of share them with people.
[01:10:54.440 --> 01:10:57.240]   So something as simple as,
[01:10:57.240 --> 01:11:01.440]   I'll show you here.
[01:11:01.440 --> 01:11:03.300]   So, okay, I'll just quickly show you what,
[01:11:03.300 --> 01:11:06.560]   so I have touched on the functional programming aspect
[01:11:06.560 --> 01:11:10.840]   of Python and apart from the object-oriented that we follow,
[01:11:10.840 --> 01:11:14.080]   I have written on recommender systems, I have.
[01:11:14.080 --> 01:11:17.680]   And so I also, I'm very passionate about, you know,
[01:11:17.680 --> 01:11:20.520]   exploratory data analysis and my,
[01:11:20.520 --> 01:11:22.480]   you could say the entire Kaggle profile is,
[01:11:22.480 --> 01:11:24.800]   it's full of EDA notebooks
[01:11:24.800 --> 01:11:28.800]   because I really like to dive into EDA
[01:11:28.800 --> 01:11:30.280]   and exploring what the data has.
[01:11:30.280 --> 01:11:32.520]   And that's also a great point to actually start
[01:11:32.520 --> 01:11:37.240]   because even before you started doing any modeling process,
[01:11:37.240 --> 01:11:39.760]   especially if you look at the industry today,
[01:11:39.760 --> 01:11:43.960]   still we use the traditional machine learning for that
[01:11:43.960 --> 01:11:47.600]   and data analysis becomes an imperative part of it.
[01:11:47.600 --> 01:11:50.560]   And so for instance, there was this dataset
[01:11:50.560 --> 01:11:54.520]   which I had posted myself that was on clinicaltrials.gov.
[01:11:54.520 --> 01:11:57.040]   So this is a website, US website,
[01:11:57.040 --> 01:12:00.080]   and they have all the researchers which are going on
[01:12:00.080 --> 01:12:02.080]   and all of those papers are put here.
[01:12:02.080 --> 01:12:05.760]   So I specifically filtered out the COVID-related research
[01:12:05.760 --> 01:12:08.040]   and this was during the time
[01:12:08.040 --> 01:12:09.400]   when the vaccines hadn't come out.
[01:12:09.400 --> 01:12:14.400]   So I was really interested to know what are the possibilities
[01:12:14.400 --> 01:12:17.780]   or how were people working on the COVID vaccines.
[01:12:17.780 --> 01:12:20.280]   And so when I actually looked into the data,
[01:12:20.280 --> 01:12:22.400]   I saw that the data was in XML format
[01:12:22.400 --> 01:12:24.560]   and that's an extensible markup language
[01:12:24.560 --> 01:12:26.420]   and that we are not used to
[01:12:26.420 --> 01:12:28.400]   because we mostly work with CSV files
[01:12:28.400 --> 01:12:30.440]   because that's very easily available.
[01:12:30.440 --> 01:12:34.200]   So I then researched and I then tried to understand
[01:12:34.200 --> 01:12:35.400]   what XML is.
[01:12:35.400 --> 01:12:37.720]   And so, because I spent such a lot of time into this,
[01:12:37.720 --> 01:12:40.120]   I thought I'll convert it into an article
[01:12:40.120 --> 01:12:42.400]   and probably people who would want to then
[01:12:42.400 --> 01:12:45.960]   work with XML files will be able to use it.
[01:12:45.960 --> 01:12:47.380]   So that's the concept,
[01:12:47.380 --> 01:12:51.020]   the basic idea that I have before writing any article.
[01:12:51.020 --> 01:12:54.820]   I first research about it, I create a mini project
[01:12:54.820 --> 01:12:56.760]   and then I convert it into an article
[01:12:56.760 --> 01:13:00.400]   and then I try to make this as simple as possible
[01:13:00.400 --> 01:13:01.240]   for people.
[01:13:01.240 --> 01:13:05.520]   And if you talk about simple steps,
[01:13:05.520 --> 01:13:07.640]   so there are sometimes what I do is
[01:13:07.640 --> 01:13:10.200]   I go into the documentation
[01:13:10.200 --> 01:13:13.120]   because what I feel is most of the times
[01:13:13.120 --> 01:13:16.960]   a documentation actually has such a lot of stuff,
[01:13:16.960 --> 01:13:18.600]   but we normally our first instance
[01:13:18.600 --> 01:13:20.840]   always is to go to Stack Overflow.
[01:13:20.840 --> 01:13:23.440]   And if you will just go deeply into documentation,
[01:13:23.440 --> 01:13:26.120]   the authors or the maintainers of a library,
[01:13:26.120 --> 01:13:28.160]   they put in their heart and soul,
[01:13:28.160 --> 01:13:30.800]   like some of the documentations are absolutely great.
[01:13:30.800 --> 01:13:34.080]   Fast.ai is one of them, Scikit-learn is another one.
[01:13:34.080 --> 01:13:37.600]   And so I went into Matplotlib and then I discovered that,
[01:13:37.600 --> 01:13:41.600]   you could also create such beautiful XKCD plots.
[01:13:41.600 --> 01:13:43.320]   And this is really nice if,
[01:13:43.320 --> 01:13:47.480]   of course you cannot use it into a professional setup,
[01:13:47.480 --> 01:13:51.360]   but this is pretty cool if you just want to show things.
[01:13:51.360 --> 01:13:53.840]   And then other way was you could create
[01:13:53.840 --> 01:13:56.040]   the cyberpunk style charts in Matplotlib
[01:13:56.040 --> 01:13:57.720]   and this is like very nice.
[01:13:57.720 --> 01:14:00.280]   And again, I saw Aman was supposed to about
[01:14:00.280 --> 01:14:04.040]   that you could also create a timeline charts in Matplotlib
[01:14:04.040 --> 01:14:06.360]   and then I actually used to them.
[01:14:06.360 --> 01:14:07.880]   So that's how I do.
[01:14:07.880 --> 01:14:10.880]   And if you talk about very small projects,
[01:14:10.880 --> 01:14:13.720]   I like, for instance, this was one of the project,
[01:14:13.720 --> 01:14:16.600]   a very small Python script I wrote.
[01:14:16.600 --> 01:14:19.680]   So for instance, if you have your notebook and you run it
[01:14:19.680 --> 01:14:23.480]   and you just go away from that notebook to some other,
[01:14:23.480 --> 01:14:27.440]   you could say, and so you get this notification
[01:14:27.440 --> 01:14:30.160]   right on the top, when it has finished executing.
[01:14:30.160 --> 01:14:31.760]   So this is very handy.
[01:14:31.760 --> 01:14:33.880]   And then I converted this.
[01:14:33.880 --> 01:14:35.520]   And so that's how I approach.
[01:14:35.520 --> 01:14:39.640]   And if you sort of see what currently I'm doing is
[01:14:39.640 --> 01:14:42.240]   I'm trying to create this sort of app
[01:14:42.240 --> 01:14:46.280]   where it takes a URL of any medium article
[01:14:46.280 --> 01:14:49.560]   and it then converts into an audio and a summary.
[01:14:49.560 --> 01:14:52.840]   And what, and how, such projects
[01:14:52.840 --> 01:14:55.680]   and that's how I would advise everybody is
[01:14:55.680 --> 01:14:57.760]   think of some project that you have in mind.
[01:14:57.760 --> 01:15:00.280]   Don't worry if you have no idea about it.
[01:15:00.280 --> 01:15:02.240]   And then you modularize them,
[01:15:02.240 --> 01:15:04.880]   just like create different objects of them
[01:15:04.880 --> 01:15:07.360]   and then try researching and finding out
[01:15:07.360 --> 01:15:10.920]   how you can actually bring your project to life.
[01:15:10.920 --> 01:15:15.000]   And trust me, when you research about them,
[01:15:15.000 --> 01:15:16.720]   you're gonna find such a lot of stuff
[01:15:16.720 --> 01:15:18.320]   and such a lot of interesting stuff.
[01:15:18.320 --> 01:15:19.880]   And then you might create 10 articles
[01:15:19.880 --> 01:15:22.440]   out of that research that you do.
[01:15:22.440 --> 01:15:26.000]   And so my, because my project was about
[01:15:26.000 --> 01:15:28.360]   converting medium articles into blogs,
[01:15:28.360 --> 01:15:31.840]   into audio files and then summarizing them.
[01:15:31.840 --> 01:15:35.640]   So then I had to know how to scrape them efficiently
[01:15:35.640 --> 01:15:38.000]   so that I don't get the junk from the article.
[01:15:38.000 --> 01:15:40.120]   And then I converted them into audio files
[01:15:40.120 --> 01:15:43.480]   and then summarize them.
[01:15:43.480 --> 01:15:45.760]   And also make sure that they're on my mobile phone
[01:15:45.760 --> 01:15:47.840]   because that's ultimately,
[01:15:47.840 --> 01:15:49.160]   I would want to listen to them
[01:15:49.160 --> 01:15:50.920]   when I'm on a walk or something.
[01:15:50.920 --> 01:15:53.480]   So I also have to make sure the latency part,
[01:15:53.480 --> 01:15:55.560]   it shouldn't take such a lot of time,
[01:15:55.560 --> 01:15:59.120]   because the library that will go behind it,
[01:15:59.120 --> 01:16:00.600]   it doesn't have to be that heavy.
[01:16:00.600 --> 01:16:03.360]   So that's a bunch of thing you have to understand.
[01:16:03.360 --> 01:16:05.680]   You also have to understand how do you deploy them.
[01:16:05.680 --> 01:16:09.280]   So like this is the deployed part of it,
[01:16:09.280 --> 01:16:12.680]   just to make sure I added an option of changing themes.
[01:16:12.680 --> 01:16:16.240]   And still it's just a work in progress.
[01:16:16.240 --> 01:16:20.040]   But now I have such a lot of content to convert them.
[01:16:20.040 --> 01:16:22.200]   And I'm also very happy
[01:16:22.200 --> 01:16:25.200]   that I have created an end-to-end project.
[01:16:25.200 --> 01:16:27.520]   So that is my whole idea behind it.
[01:16:27.520 --> 01:16:31.040]   So whatever you do, you can start blogging
[01:16:31.040 --> 01:16:33.320]   by just telling about the library.
[01:16:33.320 --> 01:16:36.120]   You can start blogging about telling about some features.
[01:16:36.120 --> 01:16:41.120]   But then as you go on, try and start implementing them.
[01:16:41.120 --> 01:16:44.240]   And the real learning actually comes
[01:16:44.240 --> 01:16:47.640]   when you implement stuff, when you hit roadblocks,
[01:16:47.640 --> 01:16:50.760]   when you go search, when you ask people.
[01:16:50.760 --> 01:16:54.280]   And that's how you'll actually understand
[01:16:54.280 --> 01:16:57.560]   how to use something very, very nicely.
[01:16:57.560 --> 01:17:00.040]   This has really helped me.
[01:17:00.040 --> 01:17:05.040]   I started, even initially I wrote an article on Raza
[01:17:05.040 --> 01:17:09.720]   on how to deploy a chatbot.
[01:17:09.720 --> 01:17:12.520]   And the way that gave me an understanding
[01:17:12.520 --> 01:17:13.840]   about how Raza is used,
[01:17:13.840 --> 01:17:16.640]   I wouldn't have known by just reading the documentation.
[01:17:16.640 --> 01:17:18.600]   So now, because you're going through this,
[01:17:18.600 --> 01:17:19.800]   just think of any project
[01:17:19.800 --> 01:17:23.200]   and just don't think of a project
[01:17:23.200 --> 01:17:24.400]   just for the sake of doing.
[01:17:24.400 --> 01:17:27.600]   Why I chose this project was because I write on Medium
[01:17:27.600 --> 01:17:29.560]   and it's always good to listen to other people
[01:17:29.560 --> 01:17:31.440]   and what they're writing.
[01:17:31.440 --> 01:17:34.640]   Then think of similar projects in your own domain.
[01:17:34.640 --> 01:17:37.080]   And the best part is if you're just transitioning
[01:17:37.080 --> 01:17:39.760]   into data science and you are in some other domain,
[01:17:39.760 --> 01:17:44.480]   finance and insurance, healthcare,
[01:17:44.480 --> 01:17:46.760]   think of problems there
[01:17:46.760 --> 01:17:49.280]   and implement them into an end-to-end project,
[01:17:49.280 --> 01:17:53.200]   put them on GitHub and tweet about them,
[01:17:53.200 --> 01:17:55.920]   write about them, share on LinkedIn.
[01:17:55.920 --> 01:17:59.080]   And that's how you will build your credibility
[01:17:59.080 --> 01:18:01.320]   and benefit from everything.
[01:18:01.320 --> 01:18:04.800]   So that's my idea.
[01:18:04.800 --> 01:18:08.200]   And in this, if you'll go back to the forum,
[01:18:08.200 --> 01:18:11.280]   you'll also see, I have given you some examples of,
[01:18:12.200 --> 01:18:14.640]   there's one doubt that people always have
[01:18:14.640 --> 01:18:17.520]   is there are already tens and hundreds of articles
[01:18:17.520 --> 01:18:19.000]   already written for a topic.
[01:18:19.000 --> 01:18:22.600]   How would my single article make a difference?
[01:18:22.600 --> 01:18:25.800]   And that's where I tell people,
[01:18:25.800 --> 01:18:29.760]   try and write on some unexplored part of a library.
[01:18:29.760 --> 01:18:33.840]   So here I've also shared an example of this Lux library
[01:18:33.840 --> 01:18:38.840]   where I wrote about using this to showcase Simpsons Effect.
[01:18:39.920 --> 01:18:42.440]   And Simpsons Effect is a statistical,
[01:18:42.440 --> 01:18:48.040]   you could say an effect or a property where you sort of,
[01:18:48.040 --> 01:18:51.000]   and it's pretty interesting because what you see is
[01:18:51.000 --> 01:18:53.760]   you see different behavior of the dataset
[01:18:53.760 --> 01:18:57.240]   when you combine them and when you separate them out,
[01:18:57.240 --> 01:18:59.080]   it behaves very differently.
[01:18:59.080 --> 01:19:02.560]   And I use this library to actually showcase it.
[01:19:02.560 --> 01:19:05.440]   So my idea was not to tell you about the library,
[01:19:05.440 --> 01:19:06.280]   just like a doc,
[01:19:06.280 --> 01:19:08.720]   I didn't want to create another documentation,
[01:19:08.720 --> 01:19:11.920]   but I wanted to leverage that library to sort of
[01:19:11.920 --> 01:19:14.160]   understand a very different concept.
[01:19:14.160 --> 01:19:17.280]   And you could do the same thing with other libraries.
[01:19:17.280 --> 01:19:21.960]   And again, also another important thing about writing is
[01:19:21.960 --> 01:19:23.520]   it takes a lot of time.
[01:19:23.520 --> 01:19:26.160]   It does take, you have to be very consistent.
[01:19:26.160 --> 01:19:29.040]   I know a lot of people, they start writing very,
[01:19:29.040 --> 01:19:31.200]   the way to the aesthetic initially,
[01:19:31.200 --> 01:19:32.800]   but then they lose that vigor
[01:19:32.800 --> 01:19:35.440]   and then they stop writing about it.
[01:19:35.440 --> 01:19:37.760]   So, but if you were to just go on,
[01:19:38.760 --> 01:19:42.640]   I trust me, it has great benefits
[01:19:42.640 --> 01:19:46.840]   and you'll start enjoying it so much so that,
[01:19:46.840 --> 01:19:48.840]   if you won't try it for a week,
[01:19:48.840 --> 01:19:51.320]   then you're going to miss writing.
[01:19:51.320 --> 01:19:54.560]   Aman is very, I think regularly he posts.
[01:19:54.560 --> 01:19:59.240]   So his blog is just full of such a lot of information.
[01:19:59.240 --> 01:20:03.600]   And I think he has his own inspirational story to share,
[01:20:03.600 --> 01:20:05.360]   because he also writes
[01:20:05.360 --> 01:20:07.320]   and he writes on a lot of complicated stuff.
[01:20:07.320 --> 01:20:08.920]   He writes on research papers.
[01:20:08.920 --> 01:20:13.320]   And so you should also try and read other people's work,
[01:20:13.320 --> 01:20:15.120]   because that will also,
[01:20:15.120 --> 01:20:18.960]   there's a lot of learning from reading other people's work.
[01:20:18.960 --> 01:20:21.760]   Like I read Rachel's work also,
[01:20:21.760 --> 01:20:23.480]   and there's some people,
[01:20:23.480 --> 01:20:26.640]   they write in a very witty fashion, which I really like it.
[01:20:26.640 --> 01:20:30.560]   They try to simplify things by giving analogies.
[01:20:30.560 --> 01:20:31.840]   And so that all of this,
[01:20:31.840 --> 01:20:34.880]   this you will get as long as,
[01:20:34.880 --> 01:20:39.000]   as you'll progress in your writing career.
[01:20:39.000 --> 01:20:40.720]   But even before all this,
[01:20:40.720 --> 01:20:43.480]   the first step is to actually start writing
[01:20:43.480 --> 01:20:45.680]   and that's very important.
[01:20:45.680 --> 01:20:49.440]   So that's, I'll advise you all to just start.
[01:20:49.440 --> 01:20:51.560]   - Thanks, Parul.
[01:20:51.560 --> 01:20:55.640]   I think that's a really, I'm a bit heartfelt to hear this.
[01:20:55.640 --> 01:20:57.600]   And I think it's really good points.
[01:20:57.600 --> 01:20:58.840]   And it's kind of,
[01:20:58.840 --> 01:21:00.840]   writing is also good for everybody who writes.
[01:21:00.840 --> 01:21:03.400]   It's not just for, you don't just write for somebody else,
[01:21:03.400 --> 01:21:04.600]   you also write for yourself,
[01:21:04.600 --> 01:21:08.640]   'cause then that pushes you to learn things in a better way.
[01:21:08.640 --> 01:21:11.560]   And I remember just starting the journey on Medium
[01:21:11.560 --> 01:21:13.800]   and I also started writing about Fast.ai.
[01:21:13.800 --> 01:21:15.880]   So I think that's the advice.
[01:21:15.880 --> 01:21:18.720]   If there's any advice, I mean, this is a perfect platform,
[01:21:18.720 --> 01:21:20.920]   Fast.ai, we're all learning Fastbook.
[01:21:20.920 --> 01:21:22.440]   And this is a really good platform
[01:21:22.440 --> 01:21:24.280]   as you're learning just write about things.
[01:21:24.280 --> 01:21:25.960]   If you're learning what PyTorch,
[01:21:25.960 --> 01:21:29.600]   like we touched upon PyTorch, tensors and NumPy arrays.
[01:21:29.600 --> 01:21:31.400]   I know we didn't go deep into it,
[01:21:31.400 --> 01:21:33.720]   but this is an opportunity for you to then go back,
[01:21:33.720 --> 01:21:36.440]   take that, learn about PyTorch and NumPy arrays
[01:21:36.440 --> 01:21:38.360]   and maybe just write a piece that says,
[01:21:38.360 --> 01:21:40.760]   oh, this is the key difference
[01:21:40.760 --> 01:21:42.120]   between PyTorch and NumPy arrays.
[01:21:42.120 --> 01:21:45.320]   So just as an idea, or like we could take up,
[01:21:45.320 --> 01:21:46.640]   how there's a simple MNIST
[01:21:46.640 --> 01:21:49.560]   between threes and seven digit classifier.
[01:21:49.560 --> 01:21:51.080]   Maybe you could take that and write about it
[01:21:51.080 --> 01:21:52.880]   and have, instead of taking the average,
[01:21:52.880 --> 01:21:54.080]   maybe there's some other idea
[01:21:54.080 --> 01:21:56.520]   or there's some other way of doing it.
[01:21:56.520 --> 01:21:58.240]   So you could maybe think of that
[01:21:58.240 --> 01:22:00.560]   and that could become a blog post.
[01:22:00.560 --> 01:22:03.080]   Is there any questions for Parul?
[01:22:03.080 --> 01:22:06.000]   We'll spend some time just again,
[01:22:06.000 --> 01:22:08.400]   I'll share my screen and go to that report
[01:22:08.400 --> 01:22:15.680]   and just see if there's any questions for Parul
[01:22:15.680 --> 01:22:17.960]   about writing or if you have any questions.
[01:22:17.960 --> 01:22:26.800]   People really love the audio.
[01:22:26.800 --> 01:22:27.640]   - Yeah.
[01:22:27.640 --> 01:22:28.720]   - Audio flyer.
[01:22:28.720 --> 01:22:29.560]   That's just a-
[01:22:29.560 --> 01:22:31.560]   - And so for the people I've seen,
[01:22:31.560 --> 01:22:35.520]   like they've created apps like Yoga Post Detector
[01:22:35.520 --> 01:22:38.880]   and everything, and I would encourage you to try
[01:22:38.880 --> 01:22:43.320]   and sort of research and how you could deploy it on phones.
[01:22:43.320 --> 01:22:46.360]   And for that, you'll have to go and research yourself,
[01:22:46.360 --> 01:22:48.640]   but that's going to be great
[01:22:48.640 --> 01:22:51.440]   because you're going to get to know such a lot of things.
[01:22:51.440 --> 01:22:54.000]   It'll be hard at times, but then start discussing it
[01:22:54.000 --> 01:22:56.680]   because try and take it one step further.
[01:22:56.680 --> 01:22:58.120]   And you could even write blog posts
[01:22:58.120 --> 01:22:59.880]   on what problems you faced
[01:22:59.880 --> 01:23:01.000]   so that there might be others
[01:23:01.000 --> 01:23:02.680]   who are also facing the same problem.
[01:23:02.680 --> 01:23:04.200]   They will benefit from it.
[01:23:04.200 --> 01:23:06.120]   So you don't always have to tell something about,
[01:23:06.120 --> 01:23:08.120]   good, look, I created this project.
[01:23:08.120 --> 01:23:10.680]   I write the roadblocks and write most of common
[01:23:10.680 --> 01:23:13.000]   or the 10 common mistakes that you did
[01:23:13.000 --> 01:23:15.280]   or what are the problems that you faced,
[01:23:15.280 --> 01:23:19.520]   as simple as probably not being able to download a stuff
[01:23:19.520 --> 01:23:20.360]   or where to locate.
[01:23:20.360 --> 01:23:22.720]   So these are also some ideas that you can use.
[01:23:22.720 --> 01:23:26.320]   - Absolutely.
[01:23:26.320 --> 01:23:28.840]   I think Ravi has a good point that he said,
[01:23:28.840 --> 01:23:30.320]   he writes for himself
[01:23:30.320 --> 01:23:33.680]   and if others benefit from it, that's great.
[01:23:33.680 --> 01:23:34.960]   I think that's a good mindset.
[01:23:34.960 --> 01:23:36.720]   So that's good to hear.
[01:23:36.720 --> 01:23:39.320]   Anyway, if there's no questions,
[01:23:39.320 --> 01:23:42.560]   then please post them or just reach out to Parul directly.
[01:23:42.560 --> 01:23:44.560]   She's very active on Twitter.
[01:23:44.560 --> 01:23:46.520]   I know she's very active on Kaggle.
[01:23:46.520 --> 01:23:52.680]   Just having a look at the question from Prabhav,
[01:23:52.680 --> 01:23:56.040]   are there any active research paper reading group for CV?
[01:23:56.920 --> 01:24:00.280]   - Yes, Weights and Biases holds a paper reading group.
[01:24:00.280 --> 01:24:05.280]   So if you go, the best way I think is 1db.me/prg,
[01:24:05.280 --> 01:24:08.840]   which will help you sign up.
[01:24:08.840 --> 01:24:13.440]   So just yesterday, we looked at the EfficientNet WeTube paper
[01:24:13.440 --> 01:24:15.160]   so you can sign up here.
[01:24:15.160 --> 01:24:16.280]   It's also on YouTube,
[01:24:16.280 --> 01:24:19.080]   if you go to YouTube search for Weights and Biases,
[01:24:19.080 --> 01:24:23.640]   but also lots of that information is available on the site.
[01:24:24.360 --> 01:24:26.360]   As I said, I've got a new setup today,
[01:24:26.360 --> 01:24:28.640]   which is making things really difficult for me.
[01:24:28.640 --> 01:24:31.000]   But anyway, so then there's also all this setup
[01:24:31.000 --> 01:24:32.920]   that I'll share with everybody.
[01:24:32.920 --> 01:24:35.560]   But yeah, Weights and Biases has a paper reading group.
[01:24:35.560 --> 01:24:41.320]   Excellent, I'll see you guys then next week.
[01:24:41.320 --> 01:24:42.640]   Next week, we're gonna deep dive
[01:24:42.640 --> 01:24:45.080]   into stochastic gradient descent.
[01:24:45.080 --> 01:24:48.520]   And we spend this week then looking into
[01:24:48.520 --> 01:24:50.040]   coding a lot more in depth.
[01:24:50.040 --> 01:24:51.360]   So I'll see you guys then.
[01:24:51.360 --> 01:24:52.880]   I'll see you guys next week.
[01:24:52.880 --> 01:24:54.200]   And I'll see you guys next week.
[01:24:54.200 --> 01:24:55.280]   And I'll see you guys next week.
[01:24:55.280 --> 01:24:56.320]   And I'll see you guys next week.
[01:24:56.320 --> 01:24:57.320]   And I'll see you guys next week.
[01:24:57.320 --> 01:24:58.320]   And I'll see you guys next week.
[01:24:58.320 --> 01:24:59.320]   And I'll see you guys next week.
[01:24:59.320 --> 01:25:00.320]   And I'll see you guys next week.
[01:25:00.320 --> 01:25:01.320]   And I'll see you guys next week.
[01:25:01.320 --> 01:25:02.320]   And I'll see you guys next week.
[01:25:02.320 --> 01:25:03.320]   And I'll see you guys next week.
[01:25:03.320 --> 01:25:04.320]   And I'll see you guys next week.
[01:25:04.320 --> 01:25:05.320]   And I'll see you guys next week.
[01:25:05.320 --> 01:25:06.320]   And I'll see you guys next week.
[01:25:06.320 --> 01:25:07.320]   And I'll see you guys next week.
[01:25:07.320 --> 01:25:08.320]   And I'll see you guys next week.
[01:25:08.320 --> 01:25:09.320]   And I'll see you guys next week.
[01:25:09.320 --> 01:25:10.320]   And I'll see you guys next week.
[01:25:10.320 --> 01:25:11.320]   And I'll see you guys next week.
[01:25:11.320 --> 01:25:12.320]   And I'll see you guys next week.
[01:25:12.320 --> 01:25:40.080]   And I'll see you guys next week.
[01:25:40.080 --> 01:25:42.200]   Thanks for joining.
[01:25:42.200 --> 01:25:45.540]   [BEEP]

