
[00:00:00.000 --> 00:00:25.680]   building agents with Amazon Nova Act and MCP I'm excited today because we're going to build
[01:06:56.460 --> 01:07:03.420]   so it looks like it failed so yeah it looks like clod failed that one so i won't blame no for that but
[01:07:03.420 --> 01:07:07.020]   that's like that's idea so thanks for trying to do something hard
[01:07:08.540 --> 01:07:14.700]   okay another question back there oh yeah can we try another one yeah let's try another one sure can
[01:07:14.700 --> 01:07:22.380]   we do uh you know on google maps find the top three rated coffee shops with within a mile radius of
[01:07:22.380 --> 01:07:34.540]   this hotel top three coffee shops shops near the marriott marquis in san francisco
[01:07:34.540 --> 01:07:41.980]   you'll figure it out
[01:07:41.980 --> 01:07:50.940]   all right open maps google search mirror marquis san francisco wait for results to load so it has a
[01:07:50.940 --> 01:07:54.220]   plan it's going to do something so let's see it opened google maps
[01:08:01.340 --> 01:08:04.460]   all right let's have mirror marquis san francisco so it's able to type that
[01:08:04.460 --> 01:08:13.820]   okay it searched it found the mirror marquis
[01:08:13.820 --> 01:08:23.420]   so there's a copy button let's see if it clicks that i'm curious
[01:08:23.420 --> 01:08:40.540]   looks like it's frozen give it a couple more seconds
[01:08:40.540 --> 01:08:51.980]   whether to click it got this 15 minutes i was trying to type in that box okay
[01:08:51.980 --> 01:09:00.380]   all right
[01:09:00.380 --> 01:09:05.900]   all right it's typing coffee shops all right all right it's going
[01:09:05.900 --> 01:09:18.780]   all right so all right it'll open the coffee shops and let's see if we can get those top three there's a
[01:09:18.780 --> 01:09:31.100]   four eight four seven another four seven let's see if it can get that
[01:09:31.100 --> 01:09:39.660]   did it crash
[01:09:39.660 --> 01:09:43.180]   i think it did it but i think
[01:09:44.300 --> 01:09:48.620]   i'm gonna blame claude claude desktop might need a different mcp client
[01:09:48.620 --> 01:09:52.380]   yeah
[01:09:52.380 --> 01:10:01.260]   i think yeah i think claude desktop doesn't like doing that but again because it's an mcp server i can open
[01:10:01.260 --> 01:10:06.300]   up a different mcp client so i can open like cursor for example and ask it questions through that
[01:10:08.300 --> 01:10:15.980]   cursor
[01:10:15.980 --> 01:10:18.300]   let me go this
[01:10:18.300 --> 01:10:20.620]   and then
[01:10:20.620 --> 01:10:26.380]   you see it has the mcp tools oops it has this up let me just open up a new one
[01:10:27.340 --> 01:10:37.580]   i can do the same thing and use nova act
[01:10:37.580 --> 01:10:46.780]   and then it's called the mcp tool again so that's the beauty of mcp i already have this server i can
[01:10:46.780 --> 01:10:51.020]   just use a different client it can understand all the information it needs to and do the exact same command
[01:10:51.500 --> 01:10:56.140]   so it's going to do the same thing cursor might be smarter than claude codes
[01:10:56.140 --> 01:11:00.380]   but yeah it's able to do the exact same type of thing so
[01:11:00.380 --> 01:11:04.780]   another question over here
[01:11:04.780 --> 01:11:07.100]   yeah i just got a question on the
[01:11:07.100 --> 01:11:08.620]   the nova act model yeah
[01:11:08.620 --> 01:11:11.980]   that model is that that is that running in the cloud
[01:11:11.980 --> 01:11:15.500]   yes so nova act question was where is nova act running and yes it's running in the cloud
[01:11:16.140 --> 01:11:21.100]   so yeah it's just you get that api key and it's doing the call behind the scenes in the aws cloud
[01:11:21.100 --> 01:11:24.060]   so then what what does it upload to the cloud
[01:11:24.060 --> 01:11:29.260]   well it's asking the questions and like you know go to google maps and then they would say i understand
[01:11:29.260 --> 01:11:34.940]   that and it's actually clicking those buttons and doing the actions so the actual uh intent of
[01:11:34.940 --> 01:11:37.500]   what you're trying to do in the specific action
[01:11:39.100 --> 01:11:47.500]   and then if i was if i was using it locally you couldn't use nova act locally it has to be uh connected
[01:11:47.500 --> 01:11:55.980]   to the internet to use it okay but if i for example though if i i wanted it to like look at my gmail
[01:11:55.980 --> 01:12:01.100]   oh yes
[01:12:01.100 --> 01:12:06.220]   ah yeah i see what you're saying yeah yeah it's you it's i mean it is you know it's an api endpoint
[01:12:06.220 --> 01:12:10.620]   it's been past the aws so you know only passing information that you feel like it's not going to be
[01:12:10.620 --> 01:12:15.420]   without training the data or taking any of that nature but it's going to the aws cloud and processing
[01:12:15.420 --> 01:12:19.100]   you know what to click on this button locally on your like browser
[01:12:24.460 --> 01:12:29.100]   so looks like it's not yeah see now it's even certain the rating it actually knows which rating
[01:12:29.100 --> 01:12:31.740]   to press so
[01:12:31.740 --> 01:12:43.020]   right yeah yeah well nova act is executing like in this mcp server example i say you know
[01:12:43.020 --> 01:12:47.980]   find the top three coffee shops in marriott near the marriott marquee and then i'm passing that
[01:12:47.980 --> 01:12:53.740]   information that the the llm is understanding that plan and then it uses nova act to interact with the
[01:12:53.740 --> 01:12:58.700]   browser because like cursor or cloud code or amazon queue they can't interact with
[01:12:58.700 --> 01:13:05.020]   the specific uh you know website by itself it uses it uses nova act to do that right but like given a
[01:13:05.020 --> 01:13:11.340]   question though like how how does it come with uh come up with the plan oh the mcp server like that the
[01:13:11.340 --> 01:13:17.020]   client so i picked the model in the example we had the mcp client we had as we showed the model
[01:13:17.020 --> 01:13:22.460]   right like the cloud 3.5 yeah that's coming up with the plan same thing here you know i asked you know
[01:13:22.460 --> 01:13:28.620]   help me find the top three coffee shop near the marriott marquee this the model that uh cursor is using
[01:13:28.620 --> 01:13:34.460]   is coming up with that plan and then i'm using the nova act mcp server to act on it exactly so this is
[01:13:34.460 --> 01:13:38.300]   the plan search for marriott marquee click the marriott marquee you know search for the things
[01:13:38.300 --> 01:13:43.980]   and you see all this information nova act return and actually it will return this time so i think
[01:13:43.980 --> 01:13:49.420]   the problem was with claude desktop but it got the three top three copy stops there right what are all
[01:13:49.420 --> 01:13:56.860]   the tools that uh nova act can do today uh so the mcp server is what i wrote so uh but the idea between
[01:13:56.860 --> 01:14:01.740]   nova act again it can interface with the web browser that that's the tool the browser is the tool and it can
[01:14:01.740 --> 01:14:05.980]   anything on the website you can actually click through go through the example etc i see
[01:14:05.980 --> 01:14:15.820]   you got the repo you got an architecture that showed the mcp just so they can see it yeah so i mentioned
[01:14:15.820 --> 01:14:24.700]   uh there's an official aws mcp servers so uh this aws labs mcp and a lot of different um mcp servers here
[01:14:25.340 --> 01:14:32.700]   for the one the nova act one i created my own one uh go back to the nova act examples or where do the
[01:14:32.700 --> 01:14:41.180]   ah here when i use amazon q to explain you know the mcp server for like what what's going on what tool
[01:14:41.180 --> 01:14:46.940]   was the browser session performing an action on the browser so this is a good uh thing to talk about so
[01:14:47.580 --> 01:14:57.180]   can you dive deeper on the browser action function and we can see because this is how it's actually
[01:14:57.180 --> 01:15:07.340]   acting so uh amazon cube browser action is designed to perform actions it has this uh what's cool about
[01:15:07.340 --> 01:15:15.260]   it it just does oops it's going to the code it performs a single action in the nova act browser
[01:15:15.260 --> 01:15:21.740]   so it's executing that action it stores this act.act is like what nova says you know click the search
[01:15:21.740 --> 01:15:29.260]   bar do this x y you know my the mcp client understands how to use this act.act it passes
[01:15:29.260 --> 01:15:35.820]   the correct action so we saw the example here one of the actions was like go to google maps or click
[01:15:35.820 --> 01:15:41.980]   this button or do that search that's how it's able you know these actions and then the nova act mcp server
[01:15:41.980 --> 01:15:47.820]   is translating that to actually click that button so the mcp server provides all the interfaces it
[01:15:47.820 --> 01:15:54.620]   necessarily needs so then these mcp clients can interact and do actions and do things yeah and nova act
[01:15:54.620 --> 01:16:03.340]   is just the model in the background that's able to click those buttons extending this question it so your mcp
[01:16:03.340 --> 01:16:10.380]   server so claude uh or cursor running locally right it's calling your mcp server that's also running
[01:16:10.380 --> 01:16:16.220]   locally is your mcp and your mcp server is the one that spun up the i guess the chromium instance yeah
[01:16:16.220 --> 01:16:23.900]   is it is your mcp server taking screenshots of what you see in chromium and shipping them to nova to nova act
[01:16:23.900 --> 01:16:27.900]   the screenshots are locally and then based on that like you can see it's actually getting all the
[01:16:27.900 --> 01:16:33.100]   information uh the final page information so it's not storing your screenshot data and sending that
[01:16:33.100 --> 01:16:38.140]   everything that it's running locally it's clicking those buttons based on what's on the browser sensor
[01:16:38.140 --> 01:16:42.860]   got it but is is any of any of the information in chromium does that any of that need to be sent into
[01:16:42.860 --> 01:16:56.220]   any no no everything running yes running locally okay distinction okay perfect thank you
[01:16:56.220 --> 01:17:01.260]   and let me open up the
[01:17:09.900 --> 01:17:18.540]   where was that looking so one of the things about making mcp servers is you have to provide a lot
[01:17:18.540 --> 01:17:24.860]   of context so uh for nova act like i say you know when writing active for nova action be descriptive of
[01:17:24.860 --> 01:17:30.620]   what to do you know click the hamburger menu icon go to order history don't find my order so the more you
[01:17:30.620 --> 01:17:36.140]   know uh concise and just prescriptive of what you want to do it's better you know search for hotels in
[01:17:36.140 --> 01:17:42.700]   houston so by average customer like so the better specific it is uh that's how the mcp's uh client
[01:17:42.700 --> 01:17:48.700]   is able to make those great requests and find the information so type copy maker search rock enter so
[01:17:48.700 --> 01:17:53.260]   the more prescriptive you are of nova act the better results you're going to be and i encoded that all into
[01:17:53.260 --> 01:18:00.540]   this uh mcp server so the clients can leverage that so i think that's probably one of the hardest things
[01:18:00.540 --> 01:18:05.980]   about making the mcp servers that's making sure you provide the next context of when to use the tool how to use the
[01:18:05.980 --> 01:18:11.740]   tool the inputs and outputs but once you solve all that it's very easy to plug and play the different mcp
[01:18:11.740 --> 01:18:13.820]   clients like we've done here
[01:18:13.820 --> 01:18:21.660]   so
[01:18:39.500 --> 01:18:52.140]   question yeah
[01:18:52.140 --> 01:18:57.500]   right so when nova act is doing something it's passing back the log of everything it's doing so you
[01:18:57.500 --> 01:19:03.420]   know what what steps it did so the starting page the add the results the action result id so it's keeping a
[01:19:03.420 --> 01:19:08.860]   of log of everything it did uh power so it's able to get that json i understand what the id what the
[01:19:08.860 --> 01:19:14.620]   result is so you can see what it's doing so it can move on to the next step yep
[01:19:21.180 --> 01:19:27.900]   other question
[01:19:27.900 --> 01:19:35.100]   sorry a quick question is this able to do uh like uh automated ui testing because of this
[01:19:35.100 --> 01:19:40.940]   well with nova act you know you can define like what you want it to do so you're going to have to define
[01:19:40.940 --> 01:19:46.460]   you know go to this button click this does this work so you can define that workflow so i mentioned
[01:19:46.460 --> 01:19:51.260]   before like back in the day like if i'm writing selenium code i have to go click this h1 tag do
[01:19:51.260 --> 01:19:55.580]   this like now you can just write a natural language you know click this button click that button so yes
[01:19:55.580 --> 01:20:00.300]   it can handle that use case uh specifically of like opening the browser or checking these things and
[01:20:00.300 --> 01:20:05.580]   but you have to like you know this nova act search for coffee maker you know you have you specifically have
[01:20:05.580 --> 01:20:12.860]   to write what buttons to press yeah thank you
[01:20:12.860 --> 01:20:25.020]   let's see i guess we have time i can show some multi-agent collaboration with strands that could be
[01:20:25.020 --> 01:20:37.900]   something cool uh i think i have a repo for that so should be uh go to the aws labs page where's that
[01:20:37.900 --> 01:20:39.980]   let's work
[01:20:39.980 --> 01:20:45.500]   and then claude
[01:20:45.500 --> 01:20:49.340]   cool
[01:20:49.340 --> 01:21:14.700]   okay i'm just gonna copy this code and put it into our environment
[01:21:14.700 --> 01:21:33.580]   so in this example i'm actually going to show how strands as multi-agent collaboration so one way
[01:21:33.580 --> 01:21:40.220]   i'm actually going to create a powerpoint presentation based on uh you know a cloud migration request i want
[01:21:40.220 --> 01:21:46.620]   to like move my uh infrastructure on premise to the cloud give me a presentation of how i would do that
[01:21:46.620 --> 01:21:52.540]   and so for this i created three different agents i created a cost analysis agent so i have a system
[01:21:52.540 --> 01:21:58.780]   prompt there a solutions architect agent does a map out what you're going to be doing and then each of
[01:21:58.780 --> 01:22:06.940]   these uh tools is an actual agent so this uh cost analysis has the docs mcp server the cost analysis mcp
[01:22:06.940 --> 01:22:13.100]   server it has its own prompt the presentation agent has its own system prompt it has a tool from the
[01:22:13.100 --> 01:22:19.180]   a powerpoint mcp server that i'm using and there's an architecture agent it also has you know its own
[01:22:19.180 --> 01:22:27.900]   specific tools system prompt etc so different agents for different uh things in the workflow and then i have
[01:22:27.900 --> 01:22:32.540]   this orchestrator agent welcome the migration orchestration agent it has a prompt and i tell
[01:22:32.540 --> 01:22:38.620]   what tools it has access to and then the cool thing with strands is i make this orchestrator agent and
[01:22:38.620 --> 01:22:44.460]   then the tools are just other agents in that so it knows when to call this agent for this particular tool
[01:22:44.460 --> 01:22:52.940]   when to do that and i say you know i want to migrate my work my uh workload so write the fight tools to find
[01:22:52.940 --> 01:22:59.660]   that so i made a fictional company called shop easy e-commerce they have on-premise java my sql database
[01:23:00.140 --> 01:23:06.060]   yeah i want zero down from migration like all this all these little constraints in there and i wanted to
[01:23:06.060 --> 01:23:11.580]   make a migration plan and a powerpoint presentation that i can present to my executives of how this would
[01:23:11.580 --> 01:23:18.060]   work and i just designed and i'm the orchestrator agent will find out what to do i don't specifically say
[01:23:18.060 --> 01:23:25.260]   do this one first do that first we'll let the the agent figure that out so let me run that strands
[01:23:26.540 --> 01:23:33.020]   and it should be multi-agent
[01:23:33.020 --> 01:23:42.780]   all right so cloud progression agent as tools all right again so all the mcp servers running locally
[01:23:42.780 --> 01:23:48.780]   it downloads it's using the ux it starts with the architecture design first generates a diagram
[01:23:54.940 --> 01:24:00.700]   i'm going to use waft so take some time it might fail but it will just update update itself
[01:24:00.700 --> 01:24:03.420]   making another judgment
[01:24:03.420 --> 01:24:17.580]   all right i think it couldn't generate the diagram there but it's saying all right i'm just gonna this
[01:24:17.580 --> 01:24:24.140]   this is what the diagram should have this is what we're going to doing
[01:24:24.140 --> 01:24:31.500]   now i'm just going to do a cost analysis cost analysis on basically the things we did there so
[01:24:31.500 --> 01:24:36.540]   it's it's a this this workflow takes me a couple minutes to run but you can see it's calling all these
[01:24:36.540 --> 01:24:42.780]   agents uh different things it's understanding what to do what actions to take first it's finding pricing for
[01:24:42.780 --> 01:24:49.340]   eks because it has a cost analysis tool and knows where to find that information so it has the up-to-date
[01:24:49.340 --> 01:24:55.100]   pricing all the time funding for aurora for its database so it's able to understand all that information
[01:24:55.100 --> 01:25:01.900]   and get the real-time up-to-date information just because we have that uh pricing mcp server from the aws labs
[01:25:02.460 --> 01:25:15.740]   it's called cost analysis yeah cost analysis mcp server documentation all the stuff you need for
[01:25:15.740 --> 01:25:20.700]   finding the right price on aws it has all that information and the agent was able to just use that
[01:25:21.420 --> 01:25:32.460]   one that's going to generate report so it's still running again this does take a while because i'm
[01:25:32.460 --> 01:25:37.660]   asking a very complex question a lot of things going so it does take a couple minutes to run through all
[01:25:37.660 --> 01:25:45.260]   that it gets its monthly spend predictions monthly savings etc so they would understand all the information
[01:25:45.260 --> 01:25:53.020]   and get all up-to-date information based on the plan we provided and the last thing now wants to create
[01:25:53.020 --> 01:25:57.980]   an executive presentation so download the powerpoint mcp server and now it's going to make a powerpoint
[01:25:57.980 --> 01:26:08.700]   presentation based on that so adding the title slide so you know add a placeholder so generating powerpoint is a
[01:26:08.700 --> 01:26:13.980]   very popular use case and there's an mcp server that can go ahead and just do that add bullet points
[01:26:13.980 --> 01:26:20.540]   etc so give it a couple another minute or two

