
[00:00:00.000 --> 00:00:01.400]   I'm gonna take...
[00:38:01.280 --> 00:38:02.680]   your output is two by two.
[00:38:02.680 --> 00:38:04.840]   So you're losing two, basically,
[00:38:04.840 --> 00:38:07.440]   'cause you can't really have,
[00:38:07.440 --> 00:38:10.120]   you can't really draw, like,
[00:38:10.120 --> 00:38:11.920]   it can't really go out of bounds.
[00:38:11.920 --> 00:38:15.200]   So that's why there's only like two by two,
[00:38:15.200 --> 00:38:17.200]   or there's only like four positions
[00:38:17.200 --> 00:38:18.920]   where this kernel can be applied.
[00:38:18.920 --> 00:38:21.160]   The four positions are this one, this one,
[00:38:21.160 --> 00:38:22.200]   this one, and this one.
[00:38:22.200 --> 00:38:24.920]   Those are the four dots where this kernel can be applied.
[00:38:24.920 --> 00:38:26.880]   So that's why output is two by two.
[00:38:26.880 --> 00:38:29.680]   Similarly, when your output is 28 by 28,
[00:38:29.680 --> 00:38:32.240]   there's only 26 positions, like this one, this one,
[00:38:32.240 --> 00:38:35.240]   so on over here, and then like this.
[00:38:35.240 --> 00:38:38.440]   So you only have 26 positions
[00:38:38.440 --> 00:38:40.440]   where this kernel can be applied.
[00:38:40.440 --> 00:38:43.600]   So that's why your output is 26 by 26.
[00:38:43.600 --> 00:38:47.200]   So we sold the first idea of like,
[00:38:47.200 --> 00:38:50.360]   why the output is of shape 26 by 26.
[00:38:50.360 --> 00:38:51.920]   So now the next thing is,
[00:38:51.920 --> 00:38:56.320]   even though my input had like one channel,
[00:38:56.320 --> 00:38:58.360]   so even though my input had one channel,
[00:38:58.360 --> 00:39:02.400]   then why does the output have like four by 26 by 26, right?
[00:39:02.400 --> 00:39:07.600]   That's because four of these kernels get applied.
[00:39:07.600 --> 00:39:08.680]   So this one as well.
[00:39:08.680 --> 00:39:11.160]   So what you have is you don't have one output
[00:39:11.160 --> 00:39:13.080]   of 26 by 26 per image,
[00:39:13.080 --> 00:39:17.360]   but you actually have four outputs of 26 by 26.
[00:39:17.360 --> 00:39:19.560]   So when you stack them together,
[00:39:19.560 --> 00:39:22.880]   your output is going to look like four by 26 by 26.
[00:39:22.880 --> 00:39:26.160]   I hope that makes sense.
[00:39:26.160 --> 00:39:31.160]   So that's why when we're going here,
[00:39:31.160 --> 00:39:33.800]   that's why for each of the 64 images,
[00:39:33.800 --> 00:39:35.880]   when you had an input of like 28 by 28,
[00:39:35.880 --> 00:39:37.120]   you get for each of those,
[00:39:37.120 --> 00:39:39.600]   you get an output of four by 26 by 26.
[00:39:39.600 --> 00:39:44.600]   So this is really exactly what's going on
[00:39:44.600 --> 00:39:50.200]   when you apply convolution.
[00:39:50.200 --> 00:39:53.280]   Now in deep learning, or when you say,
[00:39:53.280 --> 00:39:54.880]   you define your ResNet.
[00:39:54.880 --> 00:39:58.880]   So if you go from torchvision.models,
[00:39:58.880 --> 00:40:02.880]   import ResNet, let's just say 18.
[00:40:02.880 --> 00:40:05.920]   When you define a model like this,
[00:40:05.920 --> 00:40:08.480]   which is a ResNet 18 or like a much bigger models,
[00:40:08.480 --> 00:40:12.000]   which has convolution 2D operation right at the beginning,
[00:40:12.000 --> 00:40:13.600]   and it's like saying stride and padding,
[00:40:13.600 --> 00:40:15.000]   don't worry about that for now.
[00:40:15.000 --> 00:40:17.120]   It has a different kernel size,
[00:40:17.120 --> 00:40:21.120]   but it's saying, let's try and understand what this is.
[00:40:21.120 --> 00:40:24.720]   So the convolution, this operation is saying
[00:40:24.720 --> 00:40:26.720]   each of my input images,
[00:40:26.720 --> 00:40:28.640]   don't worry about anything else, okay?
[00:40:28.640 --> 00:40:33.280]   So we're just looking at the conv1 operation of a ResNet.
[00:40:33.280 --> 00:40:34.840]   So what this is saying,
[00:40:34.840 --> 00:40:37.360]   my input images have three channels.
[00:40:37.360 --> 00:40:39.600]   I haven't shown you how that looks like,
[00:40:39.600 --> 00:40:41.040]   but let's just say,
[00:40:41.040 --> 00:40:44.520]   let's just follow me along as I'm saying this.
[00:40:44.520 --> 00:40:47.160]   My input images have three channels.
[00:40:47.160 --> 00:40:49.960]   I want my kernel size to be seven by seven.
[00:40:49.960 --> 00:40:51.960]   So in this, sorry, not over here,
[00:40:51.960 --> 00:40:53.840]   in this example, we have three by three,
[00:40:53.840 --> 00:40:55.840]   but all this is saying is like,
[00:40:55.840 --> 00:40:58.280]   I want my kernel size to be seven by seven,
[00:40:58.280 --> 00:41:02.680]   and I want 64 such kernels for each image.
[00:41:02.680 --> 00:41:04.640]   Make sense?
[00:41:04.640 --> 00:41:08.960]   So then for each image, you're going to get 64 outputs.
[00:41:08.960 --> 00:41:12.480]   That's why your output, when you do something like this,
[00:41:12.480 --> 00:41:14.880]   your output is going to have 64 channels.
[00:41:14.880 --> 00:41:17.160]   I hope that helps.
[00:41:17.160 --> 00:41:23.160]   Another way to do this would be my input has shape that,
[00:41:24.000 --> 00:41:27.960]   let's just create a conv2d operation.
[00:41:27.960 --> 00:41:30.360]   I say my input channels is one,
[00:41:30.360 --> 00:41:32.880]   my output channels is 128,
[00:41:32.880 --> 00:41:36.320]   and my kernel size is say three by three.
[00:41:36.320 --> 00:41:38.560]   So I'm just creating some conv,
[00:41:38.560 --> 00:41:41.360]   and then I could do conv xp,
[00:41:41.360 --> 00:41:43.280]   and I could say shape, that should work.
[00:41:43.280 --> 00:41:44.320]   Cool.
[00:41:44.320 --> 00:41:45.320]   So now you can see like,
[00:41:45.320 --> 00:41:46.920]   now you can play around with this.
[00:41:46.920 --> 00:41:49.040]   All I'm saying is, hey, PyDodge,
[00:41:49.040 --> 00:41:51.200]   please apply this convolution operation.
[00:41:51.200 --> 00:41:53.000]   My inputs have one channel,
[00:41:53.000 --> 00:41:55.600]   'cause they're all one by 28 by 28, right?
[00:41:55.600 --> 00:42:00.600]   So if I just check the shape of one element of my batch,
[00:42:00.600 --> 00:42:03.400]   it has one by 28 by 28.
[00:42:03.400 --> 00:42:05.160]   My inputs have one channel,
[00:42:05.160 --> 00:42:07.680]   and I want my kernel size to be three by three,
[00:42:07.680 --> 00:42:10.280]   which is this exact thing.
[00:42:10.280 --> 00:42:11.600]   And all I'm saying is,
[00:42:11.600 --> 00:42:15.520]   instead of like having four kernels that we define,
[00:42:15.520 --> 00:42:18.800]   like edge detector, all of these edge detectors,
[00:42:18.800 --> 00:42:22.480]   PyDodge, please define 128 such kernels for me.
[00:42:23.320 --> 00:42:25.760]   And you do the learning.
[00:42:25.760 --> 00:42:28.200]   So I don't know how you define these,
[00:42:28.200 --> 00:42:31.080]   like what the values of these kernels are.
[00:42:31.080 --> 00:42:32.200]   You do the learning,
[00:42:32.200 --> 00:42:34.680]   and this is how a ResNet will learn
[00:42:34.680 --> 00:42:37.040]   how to apply convolution to the image.
[00:42:37.040 --> 00:42:38.400]   So I just want to, I guess,
[00:42:38.400 --> 00:42:41.240]   I kind of explained a lot more than,
[00:42:41.240 --> 00:42:45.400]   and spent a lot more time in this section
[00:42:45.400 --> 00:42:47.040]   than actually in the book,
[00:42:47.040 --> 00:42:49.160]   but I think it will be helpful.
[00:42:49.160 --> 00:42:51.360]   So that's where I'll stop.
[00:42:51.360 --> 00:42:53.760]   So now when you apply the convolution,
[00:42:53.760 --> 00:42:58.160]   coming back, 'cause we were looking at the edge kernels,
[00:42:58.160 --> 00:43:02.680]   if you just plot the output of like the top edge
[00:43:02.680 --> 00:43:03.720]   or the left edge detector,
[00:43:03.720 --> 00:43:06.320]   you can see like your image looks something like this.
[00:43:06.320 --> 00:43:16.000]   I had a misunderstanding for the longest time
[00:43:16.000 --> 00:43:18.440]   that the number of filters
[00:43:18.440 --> 00:43:19.960]   had something to do with the sizes,
[00:43:19.960 --> 00:43:22.680]   but the size is actually determined by the kernel size
[00:43:22.680 --> 00:43:24.080]   and not the number of filters you use.
[00:43:24.080 --> 00:43:25.920]   That is absolutely correct, yes.
[00:43:25.920 --> 00:43:28.920]   The number of filters,
[00:43:28.920 --> 00:43:32.000]   all it defines is the number of output channels.
[00:43:32.000 --> 00:43:33.680]   So if you have 128 filters,
[00:43:33.680 --> 00:43:35.200]   which I had in the example before,
[00:43:35.200 --> 00:43:36.760]   you have 128 output channels,
[00:43:36.760 --> 00:43:39.240]   'cause each kernel is then,
[00:43:39.240 --> 00:43:40.680]   basically you have 128 kernels
[00:43:40.680 --> 00:43:43.000]   that are going to be applied to the input image.
[00:43:43.000 --> 00:43:46.680]   Let's not jump to the RGB.
[00:43:46.680 --> 00:43:50.960]   So this is something we're gonna cover just over here.
[00:43:50.960 --> 00:43:52.200]   We're gonna cover the RGB image.
[00:43:52.200 --> 00:43:53.880]   I don't remember the exact section,
[00:43:53.880 --> 00:43:55.040]   but we're gonna cover RGB.
[00:43:55.040 --> 00:43:57.840]   So I'm not even gonna look at that question.
[00:43:57.840 --> 00:43:59.760]   Okay, give me one sec.
[00:43:59.760 --> 00:44:08.720]   So now we're next to stripes and padding.
[00:44:08.720 --> 00:44:12.560]   Oh, so now we're next to stripes and padding.
[00:44:12.560 --> 00:44:13.720]   So what does it mean?
[00:44:13.720 --> 00:44:15.680]   So remember when I just created,
[00:44:15.680 --> 00:44:18.680]   like I showed you ResNet-18,
[00:44:18.680 --> 00:44:27.440]   and I showed you like the conv1 operation of this model,
[00:44:27.440 --> 00:44:32.840]   looks like it has something called stride and padding in it.
[00:44:32.840 --> 00:44:35.120]   So what does that mean?
[00:44:35.120 --> 00:44:38.000]   What does this stride,
[00:44:38.000 --> 00:44:39.960]   what does it mean to say,
[00:44:39.960 --> 00:44:42.760]   hey, convolution, please have a stride of two by two
[00:44:42.760 --> 00:44:44.840]   and please have a padding of three by three.
[00:44:44.840 --> 00:44:46.880]   So what does that really mean?
[00:44:46.880 --> 00:44:48.240]   Let's have a look.
[00:44:48.240 --> 00:44:52.400]   So then one thing then is happening over here is
[00:44:52.400 --> 00:45:01.880]   my input is say one, two, three, four,
[00:45:01.880 --> 00:45:07.480]   one, two, three, and four.
[00:45:07.480 --> 00:45:12.480]   So let's say my input is four by four.
[00:45:12.760 --> 00:45:13.800]   Right?
[00:45:13.800 --> 00:45:18.800]   And we were gonna apply a kernel of three by three.
[00:45:18.800 --> 00:45:24.360]   So if we apply a kernel of three by three,
[00:45:24.360 --> 00:45:27.640]   we could only apply it to position like that one,
[00:45:27.640 --> 00:45:30.480]   'cause then that's where the kernel kind of be applied.
[00:45:30.480 --> 00:45:31.960]   We could apply it to this position,
[00:45:31.960 --> 00:45:33.240]   we could apply it to this position,
[00:45:33.240 --> 00:45:35.000]   and we could apply it to this position.
[00:45:35.000 --> 00:45:37.640]   So what's gonna happen is like you get the output,
[00:45:37.640 --> 00:45:39.400]   which is two by two, correct?
[00:45:40.280 --> 00:45:44.880]   Now, every time this happens or every time the,
[00:45:44.880 --> 00:45:48.440]   'cause deep learning model would have like multiple,
[00:45:48.440 --> 00:45:50.480]   multiple convolution operations.
[00:45:50.480 --> 00:45:54.560]   So if your input is say something like 28 by 28,
[00:45:54.560 --> 00:45:57.360]   if you're passing that down to a 50-layer network
[00:45:57.360 --> 00:45:59.400]   and you keep losing two dimensions,
[00:45:59.400 --> 00:46:03.280]   or like basically your spatial dimensions are lost by two,
[00:46:03.280 --> 00:46:06.040]   so it becomes 26 by 26 or so on,
[00:46:06.040 --> 00:46:09.080]   there's gonna be a point where you're gonna be one by one,
[00:46:09.080 --> 00:46:11.720]   and then you can't apply a convolution kernel anymore,
[00:46:11.720 --> 00:46:12.560]   right?
[00:46:12.560 --> 00:46:13.640]   'Cause then you just have one point.
[00:46:13.640 --> 00:46:14.920]   How are you gonna apply a convolution,
[00:46:14.920 --> 00:46:17.880]   a three by three convolution to a one by one point?
[00:46:17.880 --> 00:46:22.000]   So the idea is then there's something called padding.
[00:46:22.000 --> 00:46:23.520]   So what is padding?
[00:46:23.520 --> 00:46:28.520]   It just means you just introduce another layer
[00:46:28.520 --> 00:46:31.840]   of zeros around it, okay?
[00:46:31.840 --> 00:46:34.520]   So this is how that looks like.
[00:46:36.360 --> 00:46:41.360]   So now instead of your image being four by four,
[00:46:41.360 --> 00:46:42.400]   it becomes five by five.
[00:46:42.400 --> 00:46:47.120]   So these are all, there's like different ways of padding.
[00:46:47.120 --> 00:46:49.280]   I'm just showing you zero padding right now.
[00:46:49.280 --> 00:46:53.000]   So these are all zeros, right?
[00:46:53.000 --> 00:46:55.720]   Sorry, not these ones, just the gray ones outside.
[00:46:55.720 --> 00:47:00.480]   I'm so zero and it should be like that.
[00:47:00.480 --> 00:47:03.040]   So the outsides are all zeros, right?
[00:47:03.040 --> 00:47:05.440]   And now what's gonna happen is like,
[00:47:05.440 --> 00:47:07.480]   you get these extra positions
[00:47:07.480 --> 00:47:13.840]   where the convolution kernel could also be applied, correct?
[00:47:13.840 --> 00:47:19.680]   'Cause now at this position, you still have these options,
[00:47:19.680 --> 00:47:24.560]   even though like this part of the image is all just zeros
[00:47:24.560 --> 00:47:27.920]   and the actual information, image information
[00:47:27.920 --> 00:47:32.000]   is only in my highlighted yellow part
[00:47:32.000 --> 00:47:36.760]   and the highlighted gray part is all zeros.
[00:47:36.760 --> 00:47:38.200]   That's completely okay
[00:47:38.200 --> 00:47:39.840]   'cause it's only happening in this section.
[00:47:39.840 --> 00:47:43.360]   Like sure, you're mixing the image information with zeros,
[00:47:43.360 --> 00:47:45.800]   but at least what you're gonna have is like,
[00:47:45.800 --> 00:47:49.040]   you're gonna have an output of shape four by four,
[00:47:49.040 --> 00:47:55.120]   of shape four by four, instead of like the same,
[00:47:55.120 --> 00:47:56.720]   you're gonna have the output size,
[00:47:56.720 --> 00:47:58.880]   which is the same as the input size.
[00:47:58.880 --> 00:48:01.240]   So that is what padding one can do.
[00:48:01.240 --> 00:48:03.400]   But if you have like a padding two,
[00:48:03.400 --> 00:48:06.680]   so you have, say you introduce another padding
[00:48:06.680 --> 00:48:07.960]   and you have more zeros,
[00:48:07.960 --> 00:48:10.240]   then your output could be five by five,
[00:48:10.240 --> 00:48:12.800]   even though your input is four by four.
[00:48:12.800 --> 00:48:15.000]   So this is what is called padding.
[00:48:15.000 --> 00:48:19.000]   And one of the best places to learn more about padding
[00:48:19.000 --> 00:48:22.760]   is just search the FastAI docs, FastAI padding.
[00:48:22.760 --> 00:48:27.800]   I just wanna see, I think there was like this idea
[00:48:27.800 --> 00:48:31.040]   of reflective padding and everything in the FastAI docs.
[00:48:31.040 --> 00:48:33.320]   So I just wanna see, oh, there it is.
[00:48:33.320 --> 00:48:36.880]   So see how, just have a look at this part
[00:48:36.880 --> 00:48:38.520]   of this part of the image.
[00:48:38.520 --> 00:48:43.480]   What you can do, there's like, instead of just adding,
[00:48:43.480 --> 00:48:46.400]   and I'm not just showing you what padding is,
[00:48:46.400 --> 00:48:48.400]   which is what's mentioned in the book,
[00:48:48.400 --> 00:48:49.840]   I'm also trying to explain like
[00:48:49.840 --> 00:48:51.400]   there's different types of padding.
[00:48:51.400 --> 00:48:54.280]   So instead of like just, what you could do is,
[00:48:54.280 --> 00:48:56.320]   instead of just like having these zeros,
[00:48:56.320 --> 00:48:59.480]   you could have like this element at these three places,
[00:48:59.480 --> 00:49:01.840]   then this point at these three places and so on.
[00:49:01.840 --> 00:49:04.520]   So then that kind of padding is called border padding.
[00:49:04.520 --> 00:49:06.920]   So you could have this one here, this one here.
[00:49:06.920 --> 00:49:10.080]   So it's like that kind of padding is called border padding.
[00:49:10.080 --> 00:49:11.080]   In reflection padding,
[00:49:11.080 --> 00:49:14.480]   all you do is like you start reflecting this section.
[00:49:14.480 --> 00:49:17.880]   So this one comes at these three places,
[00:49:17.880 --> 00:49:20.640]   then this point is reflected to come at this point and so on.
[00:49:20.640 --> 00:49:22.440]   So this is just reflection.
[00:49:22.440 --> 00:49:25.920]   So you can see like how the images look differently
[00:49:25.920 --> 00:49:27.840]   when you pad them differently.
[00:49:28.840 --> 00:49:31.720]   In most practical situations,
[00:49:31.720 --> 00:49:33.680]   reflection padding is the way to go
[00:49:33.680 --> 00:49:35.920]   and it kind of works a lot better.
[00:49:35.920 --> 00:49:38.840]   So I'm just sharing that experience with you guys.
[00:49:38.840 --> 00:49:40.600]   So that is padding.
[00:49:40.600 --> 00:49:42.720]   Okay, so that's the idea of padding.
[00:49:42.720 --> 00:49:45.320]   The next thing is, what is stride?
[00:49:45.320 --> 00:49:52.280]   So let me draw one, two, three, four,
[00:49:54.840 --> 00:49:58.440]   one, two, three, four.
[00:49:58.440 --> 00:50:01.880]   So now you apply a convolution here, right?
[00:50:01.880 --> 00:50:03.520]   This is my first position.
[00:50:03.520 --> 00:50:05.560]   Then the second position that you would have applied
[00:50:05.560 --> 00:50:07.640]   the convolution, three by three convolution.
[00:50:07.640 --> 00:50:12.240]   So let's say I have my input of five by five.
[00:50:12.240 --> 00:50:16.440]   I apply my convolution at this first position.
[00:50:16.440 --> 00:50:19.560]   Then ideally what you do is you go from this to your right,
[00:50:19.560 --> 00:50:21.120]   so you apply the convolution.
[00:50:21.120 --> 00:50:23.080]   So see, this was point one comma one,
[00:50:23.080 --> 00:50:24.960]   which is where the convolution is applied.
[00:50:24.960 --> 00:50:26.480]   Then you would apply the convolution kernel
[00:50:26.480 --> 00:50:27.840]   at point one comma two.
[00:50:27.840 --> 00:50:32.280]   But if you define and say a stride of two,
[00:50:32.280 --> 00:50:35.000]   then you don't apply it at one comma two,
[00:50:35.000 --> 00:50:37.600]   rather you apply it at one comma three,
[00:50:37.600 --> 00:50:39.760]   which is this point, okay?
[00:50:39.760 --> 00:50:41.640]   So then your next convolution kernel
[00:50:41.640 --> 00:50:43.040]   gets applied at this point.
[00:50:43.040 --> 00:50:45.440]   And then instead of applying it two comma one,
[00:50:45.440 --> 00:50:48.400]   you don't apply the convolution kernel here.
[00:50:50.080 --> 00:50:53.200]   You apply at this point, three comma one,
[00:50:53.200 --> 00:50:55.240]   and similarly, three comma three.
[00:50:55.240 --> 00:50:58.600]   So the four points where you apply the convolution kernel,
[00:50:58.600 --> 00:51:01.440]   then it becomes one comma one, one comma three,
[00:51:01.440 --> 00:51:03.160]   three comma one, three comma three.
[00:51:03.160 --> 00:51:05.160]   That is what it means to have a padding,
[00:51:05.160 --> 00:51:07.080]   or sorry, a stride of two by two,
[00:51:07.080 --> 00:51:10.040]   which means like you're taking bigger strides.
[00:51:10.040 --> 00:51:11.920]   So you know when we're walking,
[00:51:11.920 --> 00:51:14.840]   we just walk like one, let's say that's the normal stride.
[00:51:14.840 --> 00:51:16.520]   But when you start to take bigger stride,
[00:51:16.520 --> 00:51:18.440]   that means you're taking bigger steps.
[00:51:18.440 --> 00:51:21.000]   So our convolution kernel is now taking bigger steps,
[00:51:21.000 --> 00:51:22.840]   it's taking bigger strides.
[00:51:22.840 --> 00:51:26.160]   So this is this idea of like having strides and padding.
[00:51:26.160 --> 00:51:28.560]   So while padding on one end makes sure,
[00:51:28.560 --> 00:51:30.880]   like it adds extra dimensions
[00:51:30.880 --> 00:51:33.040]   and it makes sure like our input is,
[00:51:33.040 --> 00:51:36.440]   the output is the same size as the input,
[00:51:36.440 --> 00:51:38.680]   strides on the other hand,
[00:51:38.680 --> 00:51:40.080]   make sure like if you have,
[00:51:40.080 --> 00:51:42.480]   let's say you have an input image size of,
[00:51:42.480 --> 00:51:45.240]   let's say you have a massive, massive image,
[00:51:45.240 --> 00:51:48.480]   two, one, six, zero by two, one, six, zero.
[00:51:48.480 --> 00:51:51.720]   It's gonna take ages to keep applying convolutions to this
[00:51:51.720 --> 00:51:55.160]   and bring it down to say like 64 by 64, things like that.
[00:51:55.160 --> 00:51:57.640]   So what you do is like when you have a really big
[00:51:57.640 --> 00:51:59.120]   input image, you have a padding,
[00:51:59.120 --> 00:52:02.040]   you add a stride of like stride two and all that stuff.
[00:52:02.040 --> 00:52:06.520]   So I just wanted to explain what padding and stride are.
[00:52:06.520 --> 00:52:13.000]   Wow, I took a lot of time explaining this few sections.
[00:52:13.000 --> 00:52:15.040]   Anyway, let me just go and have a look
[00:52:15.040 --> 00:52:18.920]   if there's questions, which there are,
[00:52:18.920 --> 00:52:21.040]   which is pretty good to see.
[00:52:21.040 --> 00:52:23.000]   Can kernel filters,
[00:52:23.000 --> 00:52:25.400]   can kernels of filters be more than four in number?
[00:52:25.400 --> 00:52:26.680]   Yes, that is correct.
[00:52:26.680 --> 00:52:27.520]   They can be.
[00:52:27.520 --> 00:52:31.400]   Vinayak, I'm not gonna read this
[00:52:31.400 --> 00:52:33.520]   'cause I'm gonna come back to RGB.
[00:52:33.520 --> 00:52:37.360]   I'm gonna come back to RGB in a sec.
[00:52:37.360 --> 00:52:42.160]   Maybe a bit more could be something like this.
[00:52:42.160 --> 00:52:44.520]   Oh yeah, thanks Anush for pointing this out
[00:52:44.520 --> 00:52:45.600]   that this is really helpful.
[00:52:45.600 --> 00:52:46.680]   Like you have clean channels.
[00:52:46.680 --> 00:52:50.120]   That I'm just generally very, I was being lazy.
[00:52:50.120 --> 00:52:53.320]   So I guess, thanks for writing it like this.
[00:52:53.320 --> 00:52:56.960]   Can anyone tell me,
[00:52:56.960 --> 00:53:01.960]   is there any forums for solving Colab notebook errors?
[00:53:01.960 --> 00:53:05.480]   Fast.ai forums, or even just post them to us
[00:53:05.480 --> 00:53:08.480]   if you try forums.fast.ai.
[00:53:08.480 --> 00:53:11.480]   And then if you search the kind of error that you have,
[00:53:11.480 --> 00:53:14.560]   like say Colab error, I don't know.
[00:53:14.560 --> 00:53:15.720]   If you search some things,
[00:53:15.720 --> 00:53:18.000]   you'll see like there's all these errors
[00:53:18.000 --> 00:53:20.600]   that are being discussed, or you could do them here.
[00:53:20.600 --> 00:53:25.760]   When would be a scenario
[00:53:25.760 --> 00:53:28.360]   when you would wanna increase the stride
[00:53:28.360 --> 00:53:30.600]   just to reduce the image size faster?
[00:53:30.600 --> 00:53:31.440]   Yes, that is correct.
[00:53:31.440 --> 00:53:36.200]   So see ResNet, I keep going back to the ResNet example.
[00:53:36.200 --> 00:53:40.880]   So ResNet18.conf1, right?
[00:53:40.880 --> 00:53:41.840]   That was my first.
[00:53:41.840 --> 00:53:43.800]   So in this case, you have a stride too.
[00:53:43.800 --> 00:53:46.000]   So you have a bigger stride,
[00:53:46.000 --> 00:53:48.440]   but you also have a padding 3x3.
[00:53:48.440 --> 00:53:50.200]   Let's see ResNet34.
[00:53:50.200 --> 00:53:52.480]   Is that the same case over there?
[00:53:52.480 --> 00:53:54.720]   What about, but the kernel size is 7x7,
[00:53:54.720 --> 00:53:55.800]   so that makes sense.
[00:53:55.800 --> 00:53:59.600]   So when you have a, basically,
[00:53:59.600 --> 00:54:02.480]   I keep referring the ResNet, which is gonna be next,
[00:54:02.480 --> 00:54:03.640]   but it's just the architecture
[00:54:03.640 --> 00:54:06.240]   that has a bunch of convolutions.
[00:54:06.240 --> 00:54:09.840]   And mostly what I've seen
[00:54:09.840 --> 00:54:11.520]   from reading all of these different papers
[00:54:11.520 --> 00:54:14.880]   is that you have bigger strides in the earlier layers,
[00:54:14.880 --> 00:54:16.960]   and you have smaller strides in the later layers.
[00:54:16.960 --> 00:54:19.160]   So you have bigger strides in the earlier layers
[00:54:19.160 --> 00:54:21.800]   is because when your input image size is massive,
[00:54:21.800 --> 00:54:24.000]   you just stride and you have like big strides.
[00:54:24.000 --> 00:54:26.680]   So you keep having all of these like massive strides,
[00:54:26.680 --> 00:54:29.160]   so you cover more ground in your earlier layers,
[00:54:29.160 --> 00:54:30.600]   'cause it's gonna take a lot of time
[00:54:30.600 --> 00:54:33.960]   if you go at an input image size of 2160
[00:54:33.960 --> 00:54:36.080]   or like 1600 by 1600.
[00:54:36.080 --> 00:54:37.600]   I'm just bringing up examples.
[00:54:37.600 --> 00:54:39.600]   But you have very large image size
[00:54:39.600 --> 00:54:41.320]   and that's when generally you'll see
[00:54:41.320 --> 00:54:43.840]   like the earlier layers have a bigger stride.
[00:54:43.840 --> 00:54:50.880]   You can post over here.
[00:54:50.880 --> 00:54:53.120]   Oh, thanks, Gurujesh, for pointing that out.
[00:54:53.120 --> 00:54:56.200]   I guess it would be kind of,
[00:54:56.200 --> 00:54:58.200]   it would kind of be stride versus,
[00:54:58.200 --> 00:54:59.400]   sorry, oh, you cut it off.
[00:54:59.400 --> 00:55:01.040]   Okay, I'm just gonna skip then.
[00:55:01.040 --> 00:55:02.640]   I'm gonna keep moving on.
[00:55:02.640 --> 00:55:06.240]   All right.
[00:55:07.440 --> 00:55:09.360]   This part is really important
[00:55:09.360 --> 00:55:11.880]   and I quite like,
[00:55:11.880 --> 00:55:14.800]   and I was quite amazed by it as well.
[00:55:14.800 --> 00:55:15.640]   So I guess,
[00:55:15.640 --> 00:55:18.480]   let me explain it to you.
[00:55:18.480 --> 00:55:25.800]   It should be self-explanatory,
[00:55:25.800 --> 00:55:27.400]   but let me try.
[00:55:27.400 --> 00:55:30.840]   So let's say you have an input image
[00:55:30.840 --> 00:55:34.160]   of capital A, B, C, D, E, F, blah, blah, blah.
[00:55:35.560 --> 00:55:38.160]   And you have your kernel represented
[00:55:38.160 --> 00:55:40.800]   by alpha, beta, gamma, and delta.
[00:55:40.800 --> 00:55:42.840]   So all this is saying is,
[00:55:42.840 --> 00:55:47.280]   my input image,
[00:55:47.280 --> 00:55:48.840]   instead of like, you know,
[00:55:48.840 --> 00:55:53.720]   just having symbols to represent pixel values.
[00:55:53.720 --> 00:55:55.360]   So this is just like variables.
[00:55:55.360 --> 00:55:57.800]   And my kernels are like this,
[00:55:57.800 --> 00:56:00.600]   alpha, beta, gamma, delta.
[00:56:03.280 --> 00:56:04.800]   What's gonna happen in,
[00:56:04.800 --> 00:56:06.960]   when we apply this convolution kernel.
[00:56:06.960 --> 00:56:08.040]   So you start,
[00:56:08.040 --> 00:56:12.520]   you first apply this at this position,
[00:56:12.520 --> 00:56:14.160]   then over here,
[00:56:14.160 --> 00:56:15.440]   then like this,
[00:56:15.440 --> 00:56:16.920]   and then at that position, right?
[00:56:16.920 --> 00:56:19.840]   So top left, top right, bottom left, bottom right.
[00:56:19.840 --> 00:56:22.760]   So this is like, this is how it looks like.
[00:56:22.760 --> 00:56:24.360]   When you apply this to top left,
[00:56:24.360 --> 00:56:26.520]   this gets applied here
[00:56:26.520 --> 00:56:31.280]   and the output that it yields is say maybe capital P.
[00:56:31.280 --> 00:56:33.840]   When you apply this kernel to the top right,
[00:56:33.840 --> 00:56:36.720]   the output that maybe yields is capital Q.
[00:56:36.720 --> 00:56:38.360]   When you apply this to the bottom left,
[00:56:38.360 --> 00:56:40.360]   the output that yields is maybe R.
[00:56:40.360 --> 00:56:41.760]   And same thing at the bottom right,
[00:56:41.760 --> 00:56:44.000]   the output that yields is S.
[00:56:44.000 --> 00:56:47.440]   Now, instead of just looking at this
[00:56:47.440 --> 00:56:50.200]   from like this operation
[00:56:50.200 --> 00:56:52.280]   as a special convolution operation,
[00:56:52.280 --> 00:56:56.120]   we could also look at this as a standard machine learning,
[00:56:56.120 --> 00:56:59.880]   as a standard matrix multiplication operation.
[00:56:59.880 --> 00:57:01.560]   So let's see how that looks like.
[00:57:01.560 --> 00:57:04.480]   Oh, sorry.
[00:57:04.480 --> 00:57:08.640]   Then basically this is just like saying,
[00:57:08.640 --> 00:57:12.840]   oh, P is equal to alpha times A plus beta times B
[00:57:12.840 --> 00:57:16.160]   plus gamma times D plus delta times E, right?
[00:57:16.160 --> 00:57:18.920]   Q is alpha times B,
[00:57:18.920 --> 00:57:20.440]   beta times C,
[00:57:20.440 --> 00:57:24.080]   gamma times E and delta times F and so on, right?
[00:57:24.080 --> 00:57:24.920]   That's okay.
[00:57:24.920 --> 00:57:26.920]   So P is this value, Q is this value.
[00:57:26.920 --> 00:57:30.560]   All you can do is like,
[00:57:30.560 --> 00:57:35.040]   you can represent these equations basically in the,
