
[00:00:00.000 --> 00:00:21.380]   Hello, are you all awake and you just have your coffee, that's great, welcome to my workshop
[00:51:57.300 --> 00:51:58.960]   And then, usually it does pretty well, right?
[00:51:58.960 --> 00:52:03.420]   Like, if you give it, like, first write the props, write this and write this.
[00:52:03.420 --> 00:52:07.280]   So this thing, and I do this for third-party libraries, right, which often don't have, like,
[00:52:07.280 --> 00:52:08.280]   good documentation.
[00:52:08.280 --> 00:52:14.000]   I'll go over the codebase and just generate good documentation that I just need for, you know,
[00:52:14.000 --> 00:52:18.120]   for the task at hand, and then it takes me, like, a minute, usually.
[00:52:18.120 --> 00:52:20.520]   Sometimes it'll take me, like, the whole day.
[00:52:20.520 --> 00:52:21.520]   I'm like, what am I doing?
[00:52:21.520 --> 00:52:25.360]   But, um, pretty good technique, there's a graph on how I do it.
[00:52:25.360 --> 00:52:32.080]   Um, and now I'm gonna quickly switch to the wild stuff.
[00:52:32.080 --> 00:52:33.600]   Um, so I went over DSLs.
[00:52:33.600 --> 00:52:40.160]   So, word simulation, right, like, everything you tell the model is what it thinks reality
[00:52:40.160 --> 00:52:43.720]   will be, or whatever it uses as patterns to grab its training corpus.
[00:52:43.720 --> 00:52:47.700]   If I tell it you are a wizard, it will pretend to be a wizard.
[00:52:47.700 --> 00:52:50.200]   If I tell it to write poetry, it will write poetry.
[00:52:50.200 --> 00:52:54.200]   If I tell it, like, time travel exists, it will say, like, sure, time travel exists.
[00:52:54.200 --> 00:52:58.260]   So anything that's kind of in the training corpus, so things that humans can think up so that
[00:52:58.260 --> 00:53:02.760]   you can think up, the model will, like, usually know what to do with, right?
[00:53:02.760 --> 00:53:05.320]   That also applies to, like, formal languages.
[00:53:05.320 --> 00:53:09.320]   If you say, like, your world is, like, def function paren, whatever, and it's like, yeah,
[00:53:09.320 --> 00:53:11.720]   cool, def function paren, that's my world.
[00:53:11.720 --> 00:53:16.700]   Um, so, one thing you can do, for example, for code reviews, right, is, like, I tell it
[00:53:16.700 --> 00:53:24.320]   you're a reality TV show, code survivor, and, like, each participant in this reality TV show
[00:53:24.320 --> 00:53:29.960]   is one of my variables or functions in this piece of code, now have them, like, fight each
[00:53:29.960 --> 00:53:34.180]   other and figure out who's the bad one, right, and then vote them out, like, who's got the
[00:53:34.180 --> 00:53:39.900]   most bugs, and, um...
[00:53:39.900 --> 00:53:44.140]   So this is based on the concept, like, whatever you tell it it is, I'm gonna use what's in
[00:53:44.140 --> 00:53:50.580]   the training corpus, like, reality TV drama, um, so I'm gonna write some bad PHP code, 'cause
[00:53:50.580 --> 00:53:56.280]   all the code I write is great, so, um...
[00:53:56.280 --> 00:54:02.780]   And I have a GPT for that, that I shared, um, but really, you can, like, write is the idea,
[00:54:02.780 --> 00:54:07.940]   it's not the prompt, uh, I don't really do any prompt refinement engineering, except when
[00:54:07.940 --> 00:54:13.500]   I want to repeat something in a, in a loop with a small model, um, I make typos and all
[00:54:13.500 --> 00:54:17.340]   that stuff, so now I have, I have this, uh, I have this bad PHP, right, and I'll just paste
[00:54:17.340 --> 00:54:25.180]   it into my code survivor thing, and this has multiple, right, so the contestants are, are, like,
[00:54:25.180 --> 00:54:31.000]   different variables, and I told in the format and the prompt, you know, just, like, each one
[00:54:31.000 --> 00:54:37.560]   gets to say one thing and just, like, attack someone else, identify the conflict, and then,
[00:54:37.560 --> 00:54:41.660]   there's some kind of format in there, and, and one of the advantages is, like, A, I get conflict,
[00:54:41.660 --> 00:54:45.880]   right, even though the model has been trained to be nice, this is, like, standard red team
[00:54:45.880 --> 00:54:51.200]   tactics to just exploit LLMs, this works really well to do this stuff, just have it pretend to
[00:54:51.200 --> 00:54:53.000]   be a different world.
[00:54:53.000 --> 00:54:57.920]   It allows me, back when ChatGPT was, like, really annoying and said, like, please fill
[00:54:57.920 --> 00:55:02.840]   in the rest, dot, dot, dot, um, which it doesn't do anymore, this would allow me to say, like,
[00:55:02.840 --> 00:55:07.940]   make six rounds, and it would do six rounds, right, like, it was so strong in the prompt,
[00:55:07.940 --> 00:55:13.800]   that I could, in one inference, right, like, compare that to code review my PHP, this has already
[00:55:13.800 --> 00:55:18.020]   a lot of concrete information in it, and I can, if I don't like it, like, write three
[00:55:18.020 --> 00:55:25.960]   more things, and there is the comeback participant, and it doesn't need to be a variable, right,
[00:55:25.960 --> 00:55:32.140]   it's like, uh, uh, SQL injection, it can be a concept, like, concept can be a character,
[00:55:32.140 --> 00:55:39.800]   it can give them, like, a personality, um, and then SQL injection will start to be, like,
[00:55:39.800 --> 00:55:45.800]   dissing other people, which is pretty funny, um, but it's useful, right, like, this is proper
[00:55:45.800 --> 00:55:50.500]   engineering, it's not, like, it's not fun, it will actually tell me, like, you should use
[00:55:50.500 --> 00:56:00.000]   MySQLiClose when you finish this, and you forgot, like, I'll vote you out, um, and so once you
[00:56:00.000 --> 00:56:03.720]   have all this garbage, which I don't even really need, it's, like, funny to look as it scrolls
[00:56:03.720 --> 00:56:09.760]   by, because they're like, hey, we're just, sanitation is not our job, whatever,
[00:56:09.760 --> 00:56:16.940]   um, at the, oh my god, this just goes on for pages and pages, which was really hard for
[00:56:16.940 --> 00:56:20.640]   GPT to do back then, like, it would be like, oh yeah, I think this variable's bad, like,
[00:56:20.640 --> 00:56:24.900]   please handle errors, and I'd be like, what?
[00:56:24.900 --> 00:56:29.940]   Then you can do, like, write a sober code review report at the end, um, just based on everything
[00:56:29.940 --> 00:56:35.220]   that's in the context, like, now strip the reality TV part out of your language and just
[00:56:35.220 --> 00:56:41.560]   keep, just keep that stuff, right, um, and actually suggest fix, and I could then turn
[00:56:41.560 --> 00:56:47.560]   that into GitHub issues or whatever, uh, you get the idea, um, but so this is the world simulation
[00:56:47.560 --> 00:56:51.280]   thing, is that you can really make everything up, like, one technique that I have is time
[00:56:51.280 --> 00:56:55.440]   travel, because when you correct the model, it's, like, useful information, right, it tells
[00:56:55.440 --> 00:57:00.620]   the model what not to do, but if you have 25 messages telling you not what to do, it will
[00:57:00.620 --> 00:57:04.820]   confuse it a little bit, so I'll do my 25 messages, I'll get to the right code at the
[00:57:04.820 --> 00:57:13.380]   end, I'll select summarize what you did, and then, ah, thank you.
[00:57:13.380 --> 00:57:17.720]   It will be, like, um, summarize what you did, then I'll rewind the 25 things, and I'll paste
[00:57:17.720 --> 00:57:22.780]   in, like, this is you from the future, this is what you tell your past self, and now I have,
[00:57:22.780 --> 00:57:27.960]   like, this pretty good, and it knows what to do with time travel, people coming back from
[00:57:27.960 --> 00:57:32.300]   the future telling, like, your young version what to do, and it, like, it's able to generate
[00:57:32.300 --> 00:57:41.420]   better code out of that, so, weird engineering concepts, um, so try it out, like, it, this
[00:57:41.420 --> 00:57:48.160]   is not, like, this is not fun, this, this actually works, right, um, presidential debate is great,
[00:57:48.160 --> 00:57:57.960]   uh, Greek drama is pretty funny, um, but where it gets really wild are prompts, like, you are the
[00:57:57.960 --> 00:58:05.020]   application I want to build, please start, right, and now suddenly, like, going to pretend to be
[00:58:05.020 --> 00:58:10.080]   what you want to build, and so you can tell, like, like, please output your UI as, like, a concise
[00:58:10.080 --> 00:58:14.200]   DSL, and it's like, well, I've got, like, a main widget, I've got, like, a text area, and I've
[00:58:14.200 --> 00:58:18.880]   got this, and I've got this, that's formal language that you can already, like, visualize,
[00:58:18.880 --> 00:58:22.560]   um, but also you can be like, well, no, I want a sidebar, and it's like, yeah, sure, you have
[00:58:22.560 --> 00:58:26.580]   a sidebar, uh, so, like, click the third element of the sidebar, and we'll pretend that I clicked
[00:58:26.580 --> 00:58:36.820]   the third element of the sidebar, right, um, so just to show you, uh, you are an application
[00:58:36.820 --> 00:58:47.100]   to plan flight, travel, and sightseeing for me and my kids, output your UI as a concise
[00:58:47.100 --> 00:58:59.020]   DSL YAML, start, so, you know, regenerate if you don't like it, if you want it to be, like,
[00:58:59.020 --> 00:59:04.140]   react widgets instead of, like, this high level description of what it is, uh, feel free to
[00:59:04.140 --> 00:59:07.500]   do that, like, you can steer it, right, can be like, no, I don't want, like, my data,
[00:59:07.500 --> 00:59:13.120]   I want, like, actually the UI here, I don't want to rewind it, I'm just going to correct
[00:59:13.120 --> 00:59:16.360]   it, and then once I have the right thing, I can, like, gaslight it and say, like, this
[00:59:16.360 --> 00:59:25.140]   is what you generated, like, uh, no, I want some HTML markup kind of YAML DSL with the actual
[00:59:25.140 --> 00:59:31.160]   UI, um, zero prompt engineering, like, I don't know what I'm doing, but, you know, this is much
[00:59:31.160 --> 00:59:37.620]   more closely to what I had in mind, it's like, oh, I want the actual widgets, um, and if I were
[00:59:37.620 --> 00:59:42.340]   to, you know, write a JavaScript that parses this, and then as callback handles, just, like, output
[00:59:42.340 --> 00:59:49.320]   press, I press the button X, right, it's like, uh, if I want to do, like, open the tab for day two,
[00:59:49.320 --> 00:59:53.240]   I don't think there's even tabs for it, but it'll just be like, oh, yeah, I've got tabs, like, of course.
[00:59:53.240 --> 01:00:03.700]   Um, and so you can interact with it, and it's kind of like, is this code, is it not code, but at the end,
[01:00:03.700 --> 01:00:09.380]   you can say, like, oh, write a spec, right, it's going to write, like, a concise readme kind of spec,
[01:00:09.380 --> 01:00:15.840]   like, and it can be like, implement yourself. Um, which, this is new, I haven't really played with
[01:00:15.840 --> 01:00:21.980]   it too much, I came up with this two weeks ago, but it's kind of wild, because I'm into film photography,
[01:00:21.980 --> 01:00:26.560]   I wanted an app with, like, three timers telling me what chemicals to mix and what, and I built it in five
[01:00:26.560 --> 01:00:31.740]   minutes, and I was like, this is wild, like, I just said, like, I want an app to help me develop film
[01:00:31.740 --> 01:00:36.280]   with this process, and, like, filled it in with the right chemicals, and all, and I was like, no,
[01:00:36.280 --> 01:00:40.240]   I want, like, two parallel timers that, you know, loop, and I was like, yeah, sure, and then, at the end,
[01:00:40.240 --> 01:00:48.040]   I was like, write a concise, had him help, JS, self-contained prototype, and then I can pass it on to the
[01:00:48.040 --> 01:00:52.940]   graphic designer, or maybe the graphic designer does that all day, right, and he's like, ah, no, I want a sidebar,
[01:00:52.940 --> 01:00:57.080]   wouldn't that be nice, and then tomorrow, he'll just send me the transcript, and I'll be like, okay,
[01:00:57.080 --> 01:01:05.480]   I'll make this work for real, so there we go, this is, you are an application, I showed you the
[01:01:05.480 --> 01:01:12.380]   code survivor, this is your turn now, five, six minutes, maybe, just, like, invent an application,
[01:01:12.380 --> 01:01:18.520]   play with it, like, you're an application, use a concise HTML markup, YAML, DSL, start, and then see
[01:01:18.520 --> 01:01:28.080]   how far you get.
[01:01:28.080 --> 01:01:30.080]   TARGET, TARGET, TARGET, TARGET, TARGET, TARGET.
[01:01:30.080 --> 01:01:36.080]   TARGET, TARGET, TARGET, TARGET.
[01:01:36.080 --> 01:01:38.080]   TARGET, TARGET, TARGET.
[01:01:38.080 --> 01:01:40.080]   TARGET, TARGET, TARGET.
[01:01:40.080 --> 01:01:42.080]   TARGET, TARGET.
[01:01:42.080 --> 01:01:44.080]   TARGET, TARGET.
[01:01:44.080 --> 01:01:46.080]   TARGET, TARGET.
[01:01:46.080 --> 01:01:48.080]   TARGET, TARGET.
[01:01:48.080 --> 01:01:50.080]   TARGET, TARGET.
[01:01:50.080 --> 01:01:52.080]   TARGET.
[01:01:52.080 --> 01:01:54.080]   TARGET.
[01:01:54.080 --> 01:01:56.080]   TARGET.
[01:01:56.080 --> 01:01:58.080]   TARGET.
[01:01:58.080 --> 01:02:00.080]   TARGET.
[01:02:00.080 --> 01:02:02.080]   TARGET.
[01:02:02.080 --> 01:02:04.080]   TARGET.
[01:02:04.080 --> 01:02:06.080]   TARGET.
[01:02:06.080 --> 01:02:08.080]   TARGET.
[01:02:08.080 --> 01:02:10.080]   TARGET.
[01:02:10.080 --> 01:02:12.080]   TARGET.
[01:02:12.080 --> 01:02:14.080]   TARGET.
[01:02:14.080 --> 01:02:16.080]   TARGET.
[01:02:16.080 --> 01:02:18.080]   TARGET.
[01:02:18.080 --> 01:02:20.080]   TARGET.
[01:02:20.080 --> 01:02:22.080]   TARGET.
[01:02:22.080 --> 01:02:24.080]   TARGET.
[01:02:24.080 --> 01:02:26.080]   TARGET.
[01:02:26.080 --> 01:02:28.080]   TARGET.
[01:02:28.080 --> 01:02:30.080]   TARGET.
[01:02:56.500 --> 01:03:01.460]   I'll actually interrupt this, I think afterwards you're going to have fun with this, but I had
[01:03:01.460 --> 01:03:05.860]   a really interesting question come up, it's like how do I manage all of this, right, because
[01:03:05.860 --> 01:03:10.400]   I don't know why every LLM company doesn't manage to make a decent history browser, it's
[01:03:10.400 --> 01:03:16.720]   really not that hard, I could generate one in two days probably that has tags and allows
[01:03:16.720 --> 01:03:22.760]   me to search, but no one manages to do that, I don't know why.
[01:03:22.760 --> 01:03:28.760]   So what I use, and I would recommend not using my tool, don't take my tool as the thing,
[01:03:28.760 --> 01:03:33.180]   I break it off and I tweak it to my things, but just build your own, the tool to manage
[01:03:33.180 --> 01:03:37.340]   fragments is like you're managing text files and how to paste text files together, or maybe
[01:03:37.340 --> 01:03:43.660]   manage shell scripts, so my most used tool is called Prompto, I literally generate it once,
[01:03:43.660 --> 01:03:50.220]   it's a 100 line script, it will go over all my repos, I have config files where I say look
[01:03:50.220 --> 01:03:56.220]   into all these directories, if it finds a text file, or a script, or a YAML template,
[01:03:56.220 --> 01:04:02.600]   it will just list these, it's horrible, it has no pagination, it's whatever, but so once
[01:04:02.600 --> 01:04:07.180]   I have like a context, right, for like my library, when I want to do something with parameters,
[01:04:07.180 --> 01:04:13.220]   I have like a little script that gives me the current parameter API, and I can call it, right,
[01:04:13.220 --> 01:04:19.220]   it's like if I do Prompto get glaze parameters, it will find, it will look into all these repositories,
[01:04:19.220 --> 01:04:25.220]   like super inefficient, no indexing, no caching, it will find this parameters MD file, and it
[01:04:25.220 --> 01:04:32.220]   will just paste it, or actually it grabs the Go thing and just outputs, it's super ugly, right,
[01:04:32.220 --> 01:04:38.220]   there's no structure in this except dash dash dash, but so now what I can do, I have another
[01:04:38.220 --> 01:04:44.220]   tool that just, it's really just like a command line LLM prompter, it's like HTTP request with
[01:04:44.220 --> 01:04:53.220]   no format, and I can pass it, this as a context, right, I've got a couple of like pseudo things,
[01:04:53.220 --> 01:04:59.220]   which I wrote two years ago, a year ago, they're not great, I can print a prompt that it's going
[01:04:59.220 --> 01:05:08.220]   to output, and so like, oh, create a parameter for URLs, and so it will just paste everything
[01:05:08.220 --> 01:05:13.220]   together in like a big blob, and at the beginning it says like, you're a great, you're a great
[01:05:13.220 --> 01:05:20.220]   Go developer, actually I messed it up, it actually says PHP, so whatever, and then it just like literally
[01:05:20.220 --> 01:05:28.220]   says like create a parameter for URLs, right, in Go, and then if I actually run this, it
[01:05:28.220 --> 01:05:33.220]   will have, it will use my API, it will do a good job, like this is how I just add stuff
[01:05:33.220 --> 01:05:39.220]   to my code, it will have the right packages, I can literally just paste this, and it will
[01:05:39.220 --> 01:05:43.220]   probably run, and once I have this prototype, then I have other scripts to like integrate this
[01:05:43.220 --> 01:05:48.220]   into the framework, like add the documentation style I want, and all of that stuff, but so this
[01:05:48.220 --> 01:05:54.220]   tool, pasting strings together, and just like finding scripts in a directory, they're like nothing
[01:05:54.220 --> 01:06:00.220]   scripts right there, so that's how I manage all my fragments, and we have eight minutes left,
[01:06:00.220 --> 01:06:07.220]   so I'm going to skip to the final part, which is more experimental, it's like what are these, like you
[01:06:07.220 --> 01:06:13.220]   realize now that I'm like kind of not joking with this 10x, because during this workshop, I wrote like six,
[01:06:13.220 --> 01:06:22.220]   seven decent programs, right, they maybe don't work too well, but like you can guess that they're not far
[01:06:22.220 --> 01:06:27.220]   from something that's of decent quality, and then if I want to add unit tests and whatever, I can, you know,
[01:06:27.220 --> 01:06:34.220]   take an hour at lunch while watching Netflix to actually do it, sometimes it doesn't work, so this is like a
[01:06:34.220 --> 01:06:42.220]   big part of it, is like no one to step away, don't, right, if it doesn't work like within 10 minutes, don't force it,
[01:06:42.220 --> 01:06:48.220]   either do it by hand like you used to, it's fun, like we all love programming, maybe go for a walk and come back
[01:06:48.220 --> 01:06:54.220]   when you realize which language step it didn't understand, that's a really important one, I still
[01:06:54.220 --> 01:07:00.220]   get into full rabbit holes, where I just like don't get the task done that I actually want to do, I just
[01:07:00.220 --> 01:07:06.220]   like generate programs that don't work to solve the task, and it's, so knowing when to step away, because it's
[01:07:06.220 --> 01:07:11.220]   like breathtaking, right, like I generated seven programs, like what am I going to do with that, like I can't
[01:07:11.220 --> 01:07:20.220]   mentally manage seven programs within a time span, like I can't do it, and I really have this problem,
[01:07:20.220 --> 01:07:26.220]   it's like I have like a, an experimental repo where I put in all my scripts to kind of, I don't even, I
[01:07:26.220 --> 01:07:34.220]   don't even bother putting them in, right, but I have like so many, and some of them are like 5,000 line code
[01:07:34.220 --> 01:07:39.220]   things with like crazy features, and then I forget that I wrote them, and I write them again, and I go back,
[01:07:39.220 --> 01:07:46.220]   and it's like oh, you already did it, it's like shopper approved customer management things with like
[01:07:46.220 --> 01:07:56.220]   parallel worker queues, and I, I wrote it three times, oops, sorry, so, what however doesn't go away I think
[01:07:56.220 --> 01:08:01.220]   is like fundamental and practical knowledge, like I know how a real-time operating system works, so it makes it
[01:08:01.220 --> 01:08:06.220]   really easy to see if the model doesn't get it, right, like I'll be like no, let's, don't do it in assembly,
[01:08:06.220 --> 01:08:13.220]   like do it, use this pattern, or use this framework, if I didn't do it by hand or like learn about it,
[01:08:13.220 --> 01:08:18.220]   I wouldn't be able to do it, it would go into a big rabbit hole, I wouldn't get an RTOS,
[01:08:18.220 --> 01:08:23.220]   but that's the difference between someone who knows RTOS and generates a new one with an LLM,
[01:08:23.220 --> 01:08:29.220]   and can maybe do it in an hour, and someone will just like after a week just get nowhere, nothing
[01:08:29.220 --> 01:08:36.220]   works, nothing compiles, the assembly's broken, so fundamentals, super useful, what you can't totally
[01:08:36.220 --> 01:08:42.220]   forget is APIs, right, like I really don't care about Amazon's cloud formation API to do XYZ, like I really
[01:08:42.220 --> 01:08:48.220]   couldn't care less, it's not knowledge I want to take with me into my retirement, and that's gone.
[01:08:48.220 --> 01:08:54.220]   But however, the knowledge of how to deploy, you know, to do Coda's infrastructure for functions as a service,
[01:08:54.220 --> 01:09:01.220]   that's like really useful pattern knowledge, and I can take that knowledge and apply it to like DigitalOcean
[01:09:01.220 --> 01:09:08.220]   and to like Amazon and Google, what I don't need to do is like figure out after 10 minute deploys
[01:09:08.220 --> 01:09:15.220]   that I forget to put like an IAM rule somewhere, like I really, I really don't care.
[01:09:15.220 --> 01:09:20.220]   Some people do, and those are going to have a hard time I think in the next few years.
[01:09:20.220 --> 01:09:27.220]   While practice, I already went over it, but as soon as you think about humans in the loop, right,
[01:09:27.220 --> 01:09:32.220]   like, because language is always going to be useful when interpreted by a human, I don't care what the LLM,
[01:09:32.220 --> 01:09:38.220]   it could generate like 10,000 programs that don't work, and like what are you going to do with that?
[01:09:38.220 --> 01:09:43.220]   So everything you generate with the LLM, either it's like to kind of help the LLM along
[01:09:43.220 --> 01:09:48.220]   to finally output something that's useful to humans, or it's directly useful to humans, right,
[01:09:48.220 --> 01:09:52.220]   like a readme is useful for humans, it so happens that because LLM is trained on human language,
[01:09:52.220 --> 01:09:59.220]   it's also useful for an LLM, but if you make it nice for humans, it will work well with LLMs as well.
[01:09:59.220 --> 01:10:04.220]   Like if I have like, if I go on for three paragraphs about how error handling is useful,
[01:10:04.220 --> 01:10:09.220]   like that doesn't matter very much for my senior software colleagues.
[01:10:09.220 --> 01:10:13.220]   So I can strip it out and now have a smaller prompt and it's like going to be more focused.
[01:10:13.220 --> 01:10:19.220]   So if you always think in this like language decomposition things of like, how would it work for humans,
[01:10:19.220 --> 01:10:25.220]   how would it work for the user, what do I actually want to do, that's like a good engineering skill.
[01:10:25.220 --> 01:10:31.220]   It was already before, right, but now it's actually in the small is also pretty good.
[01:10:31.220 --> 01:10:38.220]   Divergent thinking, I don't know how to teach creativity or whatever, smoke weed.
[01:10:38.220 --> 01:10:45.220]   But like thinking about, like these weird things of like, well I'm going to make like a reality TV show about my code review.
[01:10:45.220 --> 01:10:53.220]   I don't know necessarily how I came up with it, but it's the best code review prompt I ever found, right.
[01:10:53.220 --> 01:10:57.220]   It's, it's, I don't know, I don't know how to come up with that stuff.
[01:10:57.220 --> 01:11:03.220]   And what's useful there is to look at people who are not programmers because they have amazing prompts usually.
[01:11:03.220 --> 01:11:07.220]   And programmers are like, we're like very focused on like, oh we know how to do it and it's like it should write code.
[01:11:07.220 --> 01:11:12.220]   And then someone comes along and it's like, you're an alien that writes code and it actually works.
[01:11:12.220 --> 01:11:18.220]   That's why people who have no programming knowledge are able to build like full apps while a programmer comes in.
[01:11:18.220 --> 01:11:22.220]   So it's like, well I forgot to do the for loop check and this is worthless.
[01:11:22.220 --> 01:11:28.220]   And in the meantime the non-programmer is like, well I wrote an Android app that like allows me to fill my daughter.
[01:11:28.220 --> 01:11:37.220]   And abstract thinking, I think a lot of it is like, once you build something, knowing how to build the thing that builds the thing.
[01:11:37.220 --> 01:11:42.220]   Or find like the deeper abstraction of it and then focus that abstraction, I think is pretty useful.
[01:11:42.220 --> 01:11:45.220]   I, my background is in Common Lisp a lot.
[01:11:45.220 --> 01:11:52.220]   So there's a bunch of languages like Common Lisp, Ruby, Haskell that are very focused on like creating abstractions.
[01:11:52.220 --> 01:11:55.220]   Manipulating the language that actually solves the thing.
[01:11:55.220 --> 01:11:58.220]   I think that's like a pretty interesting thing.
[01:11:58.220 --> 01:12:00.220]   Not that you should write Common Lisp or Ruby, right.
[01:12:00.220 --> 01:12:06.220]   But it's like getting familiar with the concepts that make up the community around that language of creating compilers.
[01:12:06.220 --> 01:12:11.220]   or like creating like dynamic dispatch DSLs.
[01:12:11.220 --> 01:12:15.220]   Or finding like mathematical abstraction of how to do control flow or so.
[01:12:15.220 --> 01:12:18.220]   That, that's really useful and that kind of goes into language design.
[01:12:18.220 --> 01:12:23.220]   It's not just like programming language design.
[01:12:23.220 --> 01:12:25.220]   It's like any kind of language design.
[01:12:25.220 --> 01:12:30.220]   It's like our head, like my favorite format is like title, one sentence, code example.
[01:12:30.220 --> 01:12:33.220]   That's like a language design thing.
[01:12:33.220 --> 01:12:36.220]   It's a, it's how I like to have my docs.
[01:12:36.220 --> 01:12:39.220]   So that's it.
[01:12:39.220 --> 01:12:40.220]   We have two minutes.
[01:12:40.220 --> 01:12:43.220]   Maybe there's some questions.
[01:12:43.220 --> 01:12:46.220]   I can, I guess I can take live questions and then repeat them maybe.
[01:12:46.220 --> 01:12:47.220]   Oh, there's a microphone.
[01:12:47.220 --> 01:12:48.220]   Great.
[01:12:52.220 --> 01:12:55.220]   Thanks so much for the great session.
[01:12:55.220 --> 01:13:01.220]   It's amazing to be here in a room with like-minded people who will be probably geeking out on all these things for so long.
[01:13:01.220 --> 01:13:04.220]   And thank you for sharing your, your findings.
[01:13:04.220 --> 01:13:05.220]   Couple questions real quick.
[01:13:05.220 --> 01:13:09.220]   One of them is, are you finding yourself working with other people in your team?
[01:13:09.220 --> 01:13:15.220]   Kind of spearheading some of the incubation portions of work following these techniques.
[01:13:15.220 --> 01:13:21.220]   And then the cover, the cavalry comes behind you to build the actual thing.
[01:13:21.220 --> 01:13:23.220]   Have you found yourself that kind of role?
[01:13:23.220 --> 01:13:29.220]   And then the second question is, I see you can push yourself going really far with all these techniques.
[01:13:29.220 --> 01:13:34.220]   But how much are, have you tried using some of the auto GPT kind of metaphors as well?
[01:13:34.220 --> 01:13:35.220]   I'm curious.
[01:13:35.220 --> 01:13:36.220]   Thank you.
[01:13:36.220 --> 01:13:38.220]   Um, so I just recently joined a team.
[01:13:38.220 --> 01:13:42.220]   I was like kind of solo for a long time and it's hard.
[01:13:42.220 --> 01:13:43.220]   I don't know.
[01:13:43.220 --> 01:13:47.220]   Uh, it's, I, I don't know how to bring people on board with like how I do things where I'm
[01:13:47.220 --> 01:13:53.220]   like, I write 5,000 lines of code an hour and then I throw them away.
[01:13:53.220 --> 01:13:58.220]   Um, I don't really know how to bring that into the team currently.
[01:13:58.220 --> 01:14:01.220]   And then for the second question, I, I guess that's going to be the last one.
[01:14:01.220 --> 01:14:04.220]   Cause I, I think the, the time is pretty strictly enforced.
[01:14:04.220 --> 01:14:07.220]   Um, what was the second question?
[01:14:07.220 --> 01:14:10.220]   How much do you rely on auto GPT or those kind of things?
[01:14:10.220 --> 01:14:11.220]   Oh, zero.
[01:14:11.220 --> 01:14:16.220]   Um, I just like zero shot stuff and then I'm in the chat API.
[01:14:16.220 --> 01:14:21.220]   So I don't, I don't use, I, I use copilot for, you know, like just as, as copilot is,
[01:14:21.220 --> 01:14:22.220]   it's a very different thing.
[01:14:22.220 --> 01:14:24.220]   Um, and then that's it.
[01:14:24.220 --> 01:14:25.220]   That's a wrap.
[01:14:25.220 --> 01:14:26.220]   Cool.
[01:14:26.220 --> 01:14:27.220]   Thank you.
[01:14:27.220 --> 01:14:28.220]   Thank you.
[01:14:28.220 --> 01:14:28.220]   Thank you.
[01:14:28.220 --> 01:14:29.220]   Thank you.
[01:14:29.220 --> 01:14:30.220]   Thank you.
[01:14:30.220 --> 01:14:30.220]   Thank you.
[01:14:30.220 --> 01:14:31.220]   Thank you.
[01:14:31.220 --> 01:14:32.220]   Thank you.
[01:14:32.220 --> 01:14:33.220]   Thank you.
[01:14:33.220 --> 01:14:34.220]   Thank you.
[01:14:34.220 --> 01:14:35.220]   Thank you.
[01:14:35.220 --> 01:14:36.220]   Thank you.
[01:14:36.220 --> 01:14:37.220]   Thank you.
[01:14:37.220 --> 01:14:37.220]   Thank you.
[01:14:37.220 --> 01:14:38.220]   Thank you.
[01:14:38.220 --> 01:14:38.220]   Thank you.
[01:14:38.220 --> 01:14:39.220]   Thank you.
[01:14:39.220 --> 01:14:40.220]   Thank you.
[01:14:40.220 --> 01:14:41.220]   Thank you.
[01:14:41.220 --> 01:14:42.220]   Thank you.
[01:14:42.220 --> 01:14:45.720]   We'll be right back.

