
[00:00:00.000 --> 00:00:05.060]   You've been saving, optimizing, and doing all the right things, but what if putting life off
[00:43:54.100 --> 00:43:56.460]   then go be like a trusted house sitter.
[00:43:56.460 --> 00:43:59.560]   Go volunteer on a farm in Italy.
[00:43:59.560 --> 00:44:02.180]   Like there's a lot of ways that you could travel really affordably.
[00:44:02.180 --> 00:44:06.720]   It might actually be cheaper for you to travel than to be home.
[00:44:07.300 --> 00:44:11.360]   And so it's okay to start with like things that are in, in your price point.
[00:44:11.360 --> 00:44:13.060]   And I encourage people to start small anyways.
[00:44:13.060 --> 00:44:17.500]   Like if you want to do a mini retirement, the first one should not be three years.
[00:44:17.500 --> 00:44:22.220]   Like start with a month, start with three months because there's a little bit of a learning curve
[00:44:22.220 --> 00:44:24.460]   and you get better at it over time.
[00:44:24.460 --> 00:44:29.080]   One of the tips that I encourage people with saving, you know, look at what is the most high
[00:44:29.080 --> 00:44:29.780]   leverage for you.
[00:44:29.780 --> 00:44:32.140]   It might be reducing expenses.
[00:44:32.140 --> 00:44:36.720]   It might be increasing income and kind of go with the one that you're going to have the
[00:44:36.720 --> 00:44:37.720]   most bang for your buck.
[00:44:37.720 --> 00:44:42.640]   I think the thing that can be discouraging about a typical retirement, especially when
[00:44:42.640 --> 00:44:46.280]   you're in twenties and your thirties and even your forties, it's so far away.
[00:44:46.280 --> 00:44:50.620]   So if you're like, but I really want to eat Chipotle on Friday at my desk.
[00:44:50.620 --> 00:44:55.740]   Like that's my one small joy is my burrito bowl to be like, well, I'm going to give up my
[00:44:55.740 --> 00:45:00.680]   burrito bowl so that hopefully when I'm 70, like I can buy a cup of coffee is real tough
[00:45:00.680 --> 00:45:01.200]   motivation.
[00:45:01.740 --> 00:45:07.340]   But if you said, Hey, if I gave up my burrito bowl every Friday, so I gave up a hundred burrito
[00:45:07.340 --> 00:45:15.840]   bowls over two years, that would pay for three meals a day in Mexico for a month in two years.
[00:45:15.840 --> 00:45:21.860]   So I'm just giving up my kind of mediocre Mexican food now, but knowing in two months, I'm going
[00:45:21.860 --> 00:45:24.760]   to be eating street tacos and drinking margaritas in Cabo.
[00:45:24.760 --> 00:45:29.100]   And so the loop of denying yourself something and then enjoying it is much shorter.
[00:45:29.100 --> 00:45:29.960]   Yeah.
[00:45:29.960 --> 00:45:30.620]   I like that.
[00:45:30.700 --> 00:45:35.740]   I think one thing that we realized when we ended up taking our mini retirement, I guess
[00:45:35.740 --> 00:45:42.480]   I never called it as such, but was that multiple mini retirements, if they're all similar and
[00:45:42.480 --> 00:45:45.760]   they're abroad might be cheaper together than apart.
[00:45:45.760 --> 00:45:50.560]   And so what we found was the cost to cross the ocean, right?
[00:45:50.560 --> 00:45:55.660]   The cost to make a trip short was so high.
[00:45:55.660 --> 00:46:03.920]   You would never on a week or two week trip to any continent, take a six day train ride,
[00:46:03.920 --> 00:46:05.040]   unless that was part of the trip.
[00:46:05.040 --> 00:46:09.020]   And six is probably extreme, but I think we took a two and a half, three day train ride
[00:46:09.020 --> 00:46:09.440]   in Africa.
[00:46:09.440 --> 00:46:13.620]   If you were only in Africa for a week, you'd be eating up a huge part of your vacation.
[00:46:13.840 --> 00:46:19.020]   And what we found was when you looked at how much cheaper it was per day to travel
[00:46:19.020 --> 00:46:25.380]   slow for the cost of two international vacations that were each, you know, let's call it two
[00:46:25.380 --> 00:46:29.040]   weeks, you could do one international vacation.
[00:46:29.040 --> 00:46:34.300]   It was like four months because the cost to get there and the cost to force yourself to a
[00:46:34.300 --> 00:46:40.140]   tighter scope of time and get so many things done go away a little bit when you're spreading
[00:46:40.140 --> 00:46:42.700]   it out or at least you only have to do them one time.
[00:46:42.880 --> 00:46:48.960]   And so the only counter I'll give to starting small is that if you have this like three different
[00:46:48.960 --> 00:46:54.380]   one month trip goals, there might actually be a lot more economies of scale to doing one
[00:46:54.380 --> 00:46:56.180]   three month trip than three, one month trips.
[00:46:56.180 --> 00:46:58.960]   If money is the main concern, right?
[00:46:58.960 --> 00:47:03.700]   If money is not the main concern and it's about being able to easily get time off work, then
[00:47:03.700 --> 00:47:05.100]   completely the opposite.
[00:47:05.100 --> 00:47:11.480]   But I do think there are some cases where longer could be cheaper, at least if you're comparing
[00:47:11.480 --> 00:47:12.980]   to multiple shorter.
[00:47:12.980 --> 00:47:13.980]   Absolutely.
[00:47:13.980 --> 00:47:19.220]   And that's one of the mistakes people make in estimating the cost of a mini retirement,
[00:47:19.220 --> 00:47:23.780]   especially if it involves travel is they go, well, man, our last vacation, when we went to
[00:47:23.780 --> 00:47:27.400]   South Carolina, gosh, we spent $2,000 for that week.
[00:47:27.400 --> 00:47:30.700]   So a month off, that's going to be $8,000.
[00:47:30.700 --> 00:47:37.040]   That's the wrong comparison because traveling slower is so much more affordable per day.
[00:47:37.040 --> 00:47:41.960]   And usually when people have more time, they require less luxury.
[00:47:41.960 --> 00:47:46.200]   So if you only have four days in Paris, like you kind of want to go all in and you really
[00:47:46.200 --> 00:47:49.440]   want each element to be very luxurious.
[00:47:49.440 --> 00:47:55.500]   But if you're going to live in France for a year, just walking down to like the bakery
[00:47:55.500 --> 00:48:00.800]   that everyone knows you and ordering a cappuccino and reading your book in the park and going
[00:48:00.800 --> 00:48:05.940]   to the farmer's market and getting a crepe like that feels amazing when you have enough time.
[00:48:05.940 --> 00:48:06.940]   Yeah, it's amazing.
[00:48:06.940 --> 00:48:11.660]   I think kids also create the time luxury element because you're like, well, I just can't do
[00:48:11.660 --> 00:48:12.200]   all the things.
[00:48:12.200 --> 00:48:13.800]   So today we're going to go to the playground.
[00:48:13.800 --> 00:48:19.200]   And I was like, oh, wow, it is way more expensive to travel with kids in that you are buying another
[00:48:19.200 --> 00:48:22.280]   two plane tickets and getting rooms that can accommodate everyone.
[00:48:22.280 --> 00:48:24.420]   But some days we don't do anything.
[00:48:24.420 --> 00:48:28.100]   We just go to a park and the kids play around and we go on a walk and they take a nap.
[00:48:28.100 --> 00:48:31.380]   So from that perspective, it's actually a little bit less expensive.
[00:48:31.380 --> 00:48:35.840]   Spread that over a three month trip where you don't even feel the pressure to go do
[00:48:35.840 --> 00:48:37.680]   a lot of things every day or every week.
[00:48:37.680 --> 00:48:39.820]   I can see how it could be a lot less expensive.
[00:48:39.820 --> 00:48:46.500]   And the cost to rent a place for a month is usually much cheaper than 30 times the cost
[00:48:46.500 --> 00:48:47.720]   to rent a place for a night.
[00:48:47.720 --> 00:48:54.300]   And for people who have young kids where essentially any age that you're paying for child care,
[00:48:54.300 --> 00:48:57.840]   this is a very real cost that you might be saving.
[00:48:57.840 --> 00:49:02.720]   So I interviewed someone on my podcast that him and his wife had two young kids, both under
[00:49:02.720 --> 00:49:03.200]   five.
[00:49:03.200 --> 00:49:05.820]   They lived in the Boston area and they moved to France.
[00:49:05.820 --> 00:49:10.260]   for a year and it cost them $40,000 to live in France for a year.
[00:49:10.260 --> 00:49:11.220]   They both quit their jobs.
[00:49:11.220 --> 00:49:16.640]   He said their child care back home for two kids was $40,000 a year.
[00:49:16.640 --> 00:49:22.160]   They lived abroad for a year just on the cost of what their child care would have been.
[00:49:22.160 --> 00:49:26.200]   When you're thinking about timing, if you do want kind of an around the world trip or
[00:49:26.200 --> 00:49:29.900]   a longer one, like there's, there might be an added perk there.
[00:49:29.900 --> 00:49:33.800]   And I know a lot of people who pay a lot more than $40,000 a year for child care.
[00:49:33.800 --> 00:49:37.600]   So not that you want to do it at the level we did backpacking, but we did seven and a
[00:49:37.600 --> 00:49:39.280]   half months for $7,000 a person.
[00:49:39.280 --> 00:49:44.620]   Like there's some real affordable ways to live in lots of parts of the world and, and there
[00:49:44.620 --> 00:49:49.940]   are places that are expensive and not, but I want to talk a little bit about where things
[00:49:49.940 --> 00:49:52.200]   can go wrong and how you can make sure it's a success.
[00:49:52.200 --> 00:49:53.580]   I love this.
[00:49:53.580 --> 00:49:58.360]   I did the whole last section of the book is kind of what to expect on the journey.
[00:49:58.360 --> 00:50:03.200]   Cause some of it's very unexpected and it's always interesting to me when I talk to people
[00:50:03.200 --> 00:50:06.200]   because before they take a mini retirement, they're worried about the money, they're worried
[00:50:06.200 --> 00:50:08.140]   about their employment, they're worried about their healthcare.
[00:50:08.140 --> 00:50:11.940]   And then after they've done that, they're like, yeah, okay, none of that was an issue.
[00:50:11.940 --> 00:50:13.940]   So here's what actually went wrong.
[00:50:13.940 --> 00:50:20.380]   It seems when you're in it can create kind of a weird mental narrative is that sometimes
[00:50:20.380 --> 00:50:22.380]   people don't realize how burned out they are.
[00:50:22.380 --> 00:50:27.820]   Burnout's an incredible function that gets us out of a bad situation.
[00:50:27.820 --> 00:50:31.840]   And it gives us energy to get out of a bad situation for a long period of time.
[00:50:31.840 --> 00:50:33.340]   It's super helpful for survival.
[00:50:33.340 --> 00:50:36.860]   Like if you're lost in the forest, like you need to be able to keep going until you get
[00:50:36.860 --> 00:50:41.680]   unlost, but as a result of that, sometimes we don't feel the full weight of that fatigue
[00:50:41.680 --> 00:50:44.780]   until we're out of that situation.
[00:50:44.780 --> 00:50:47.360]   And our body feels like it has access to rest.
[00:50:47.360 --> 00:50:51.460]   And this can be tricky if you thought I'm going to get so much done during this mini retirement.
[00:50:51.460 --> 00:50:53.040]   And then you just kind of want to take a nap.
[00:50:53.040 --> 00:50:57.120]   It can feel a little bit like recovering from the flu, not like on the most sick day, but
[00:50:57.120 --> 00:51:00.300]   like three days later when you're like, ah, I don't know if I want to get out of bed.
[00:51:00.300 --> 00:51:04.640]   Like, like I should unload the dishwasher, but that sounds exhausting.
[00:51:04.640 --> 00:51:06.460]   You can kind of have a little bit of that vibe.
[00:51:06.460 --> 00:51:13.720]   But where it goes wrong is that people create a story in their head and the story usually
[00:51:13.720 --> 00:51:17.580]   sounds like I'm just a lazy person.
[00:51:17.580 --> 00:51:18.700]   Apparently I'm unmotivated.
[00:51:18.700 --> 00:51:21.320]   I can't accomplish anything outside of my job.
[00:51:21.320 --> 00:51:23.660]   Maybe I need to have a job just to be productive.
[00:51:23.660 --> 00:51:26.420]   It's not accurate and it's not helpful.
[00:51:26.420 --> 00:51:31.420]   And a better story is, huh, I'm a lot more tired than I thought I was.
[00:51:31.420 --> 00:51:34.980]   Good thing I'm on a mini retirement and can take a nap today and then just move on with
[00:51:34.980 --> 00:51:35.980]   your life.
[00:51:35.980 --> 00:51:41.240]   Maybe some unnecessary emotional suffering that we invite if we're not exactly sure what
[00:51:41.240 --> 00:51:42.240]   you're excited to expect.
[00:51:42.240 --> 00:51:44.500]   This episode is brought to you by Delete Me.
[00:51:44.500 --> 00:51:48.500]   And if you prefer not to have your identity stolen or have your phone number, home address
[00:51:48.500 --> 00:51:52.360]   or email showing up all over the internet, you really need to check out Delete Me this year.
[00:51:52.360 --> 00:51:57.460]   Unfortunately, there's hundreds of data brokers online that are constantly sharing and selling
[00:51:57.460 --> 00:52:01.500]   your personal info and keeping track of all of them is like playing whack-a-mole.
[00:52:01.500 --> 00:52:05.760]   But fortunately, if you go to them one by one, you can get them to remove your data.
[00:52:05.760 --> 00:52:08.760]   However, that process can take hours and hours to do yourself.
[00:52:08.760 --> 00:52:12.020]   I know I tried it two years ago.
[00:52:12.020 --> 00:52:17.020]   And after spending more than 10 hours and not even getting close to finishing, I gave up and
[00:52:17.020 --> 00:52:20.080]   started using Delete Me and I haven't looked back.
[00:52:20.080 --> 00:52:24.280]   Since then, I've signed up my entire family because Delete Me will not just find and remove
[00:52:24.280 --> 00:52:27.020]   your personal info from hundreds of data broker websites.
[00:52:27.020 --> 00:52:32.700]   They'll continuously scan for new data that shows up, which sadly happens all the time,
[00:52:32.700 --> 00:52:34.820]   and get that removed as well.
[00:52:34.820 --> 00:52:39.440]   On average, they find and remove over 2,000 pieces of personal info for a customer in their
[00:52:39.440 --> 00:52:45.340]   first two years, and to date, they've done over 100 million data removals for customers.
[00:52:45.340 --> 00:52:50.640]   So if you want your personal information removed from the web, go to chrishutchins.com/deleteme
[00:52:50.640 --> 00:52:54.340]   and get 20% off a plan for you or your entire family.
[00:52:54.340 --> 00:52:59.360]   Again, that's chrishutchins.com/deleteme or click the link in the description.
[00:52:59.360 --> 00:53:06.640]   What about how to best frame this to people you meet in a way that doesn't come across
[00:53:06.640 --> 00:53:07.640]   too crazy, right?
[00:53:07.640 --> 00:53:10.960]   Like, "Oh, we're just going to quit our jobs and travel around the world for three months."
[00:53:10.960 --> 00:53:13.220]   And it sounds like, "Oh, must be nice."
[00:53:13.220 --> 00:53:19.100]   I imagine people get that kind of reaction when they don't find the right way to approach
[00:53:19.100 --> 00:53:20.100]   it.
[00:53:20.100 --> 00:53:21.100]   Generally, keep it really simple.
[00:53:21.100 --> 00:53:25.640]   In the book I talk about this idea, you can use the same kind of framework that you did
[00:53:25.640 --> 00:53:28.200]   with your employer, but it's like memoir rules.
[00:53:28.200 --> 00:53:29.200]   It all has to be true.
[00:53:29.200 --> 00:53:30.720]   It cannot be the whole truth.
[00:53:30.720 --> 00:53:32.700]   Like, the whole truth is too big.
[00:53:32.700 --> 00:53:35.220]   If you try to tell every detail, you're going to lose the plot.
[00:53:35.220 --> 00:53:37.120]   So just keep it really simple, really short.
[00:53:37.120 --> 00:53:41.580]   One kind of silly trick, but it works really well in American culture, is if you frame it
[00:53:41.580 --> 00:53:45.620]   as like, "This is something you've earned," we love.
[00:53:45.620 --> 00:53:50.580]   We love when people work towards goals and earn the things that they enjoy instead of taking
[00:53:50.580 --> 00:53:51.680]   them or being given them.
[00:53:51.680 --> 00:53:55.520]   So if you kind of frame it of like, "Yeah, you know, me and my spouse, it's been really
[00:53:55.520 --> 00:53:57.120]   busy the last few years.
[00:53:57.120 --> 00:54:03.320]   I'm really busy with work, but we've been saving and setting some money aside and now we're able
[00:54:03.320 --> 00:54:07.280]   to take the six months off and kind of enjoy this other thing."
[00:54:07.280 --> 00:54:10.320]   And people are like, "Oh, yeah, oh, good for you."
[00:54:10.320 --> 00:54:11.320]   Like, that's nice.
[00:54:11.320 --> 00:54:16.320]   Versus if you're like, "Man, that last job just sucked so I'm just going to take a vacation."
[00:54:16.320 --> 00:54:18.320]   Then people are like, "You should have sucked it up."
[00:54:18.320 --> 00:54:22.980]   Yeah, I just realized when you were talking about a spouse, do these mini-retirements have
[00:54:22.980 --> 00:54:25.320]   to be all or nothing with your partner?
[00:54:25.320 --> 00:54:30.380]   Or can you take a mini-retirement not with your partner at a separate time?
[00:54:30.380 --> 00:54:33.620]   Maybe you alternate versus a whole family thing.
[00:54:33.620 --> 00:54:39.620]   Yeah, it's kind of dealer's choice and there's a lot of benefits to taking turns.
[00:54:39.620 --> 00:54:43.320]   One person's at least earning income and that can feel like a little bit more stability.
[00:54:43.320 --> 00:54:45.080]   It can make it a little bit less scary.
[00:54:45.080 --> 00:54:48.960]   One person maybe is bringing health care for the family and that can be helpful.
[00:54:48.960 --> 00:54:52.900]   So taking turns can have a lot of benefits.
[00:54:52.900 --> 00:54:58.180]   One of the downsides, though, that I always encourage couples is that usually both spouses
[00:54:58.180 --> 00:54:59.980]   need a mini-retirement.
[00:54:59.980 --> 00:55:02.400]   One just needs it a little bit more than the other.
[00:55:02.400 --> 00:55:08.200]   And so there can be a degree of, let's say the wife really encouraged her husband to take
[00:55:08.200 --> 00:55:09.200]   a mini-retirement.
[00:55:09.200 --> 00:55:12.120]   They're both kind of burned out, but she's like, "Honey, you really need this.
[00:55:12.120 --> 00:55:13.460]   This is going to be so good for you."
[00:55:13.460 --> 00:55:18.280]   And then watching him do all the things that she wished she could be doing can create a little
[00:55:18.280 --> 00:55:21.660]   bit of resentment and you need a little bit more communication.
[00:55:21.660 --> 00:55:26.940]   Yes, it's primarily for you or for this goal, but how can this benefit our whole family?
[00:55:26.940 --> 00:55:28.740]   Negotiating all of those things.
[00:55:28.740 --> 00:55:34.160]   Speaking out loud any assumptions you have, especially when one partner's staying at home.
[00:55:34.160 --> 00:55:38.940]   The other partner might be like, "I mean, I just assumed if you were home, you would take
[00:55:38.940 --> 00:55:39.940]   the kids to doctor's appointments, right?
[00:55:39.940 --> 00:55:45.220]   Because now I'm working, like you thought I was going to take time off work while you're
[00:55:45.220 --> 00:55:47.020]   at home to do doctor's appointments."
[00:55:47.020 --> 00:55:51.880]   Like, so articulating all of that, because on the other side of it, especially when you
[00:55:51.880 --> 00:55:56.220]   have kids, because there's just so much to do, the person who takes time off goes, "I just
[00:55:56.220 --> 00:55:57.220]   became a stay-at-home spouse.
[00:55:57.220 --> 00:55:59.500]   I'm a stay-at-home parent now.
[00:55:59.500 --> 00:56:04.300]   My whole day has felt like all of those other goals and intentions I had for this time off,
[00:56:04.300 --> 00:56:08.900]   I'm not really able to accomplish any of them because it's filled with chores and errands
[00:56:08.900 --> 00:56:10.300]   and tasks."
[00:56:10.300 --> 00:56:12.380]   So it takes a little bit more communication.
[00:56:12.380 --> 00:56:16.780]   There again, I have a tool that I encourage people to do like a weekly check-in and set
[00:56:16.780 --> 00:56:18.120]   some things that you want to check in.
[00:56:18.120 --> 00:56:19.780]   Like, how is this working for you?
[00:56:19.780 --> 00:56:21.460]   How is this working for me?
[00:56:21.460 --> 00:56:23.180]   How is it working for our kids?
[00:56:23.180 --> 00:56:25.040]   How is it working for my parents?
[00:56:25.040 --> 00:56:30.520]   Whoever might have expectations on your time, just clearly communicating that upfront and
[00:56:30.520 --> 00:56:31.520]   often.
[00:56:31.520 --> 00:56:33.560]   You've mentioned health insurance a few times.
[00:56:33.560 --> 00:56:34.680]   How do you think about that?
[00:56:34.680 --> 00:56:38.120]   Because I know some people fear that, "Oh, if I don't have a job, I'm going to lose my
[00:56:38.120 --> 00:56:39.120]   health insurance."
[00:56:39.120 --> 00:56:40.120]   What other options are there?
[00:56:40.120 --> 00:56:42.720]   There are a lot of options.
[00:56:42.720 --> 00:56:46.360]   And I think it's one of those things that creates a lot of fear because people don't
[00:56:46.360 --> 00:56:48.760]   really look into the options.
[00:56:48.760 --> 00:56:51.800]   So sitting down and saying, "What is available to me?"
[00:56:51.800 --> 00:56:56.420]   If you're going to go back to your job, how can you just stay on their health insurance?
[00:56:56.420 --> 00:57:00.300]   If you have a partner who's going to continue working, obviously that's going to be the plan.
[00:57:00.300 --> 00:57:05.760]   For people where either both are separating or maybe one doesn't have health insurance, I
[00:57:05.760 --> 00:57:11.560]   think Cobra can be a great option, especially in the three to 12-month range because it's
[00:57:11.560 --> 00:57:16.900]   just simple and it's easy and you have the same doctors and nothing changes.
[00:57:16.900 --> 00:57:20.440]   Or you might eventually choose a different option.
[00:57:20.440 --> 00:57:22.080]   I think that's something people don't consider.
[00:57:22.080 --> 00:57:26.320]   They try to think of what's the one perfect option that will work for this entire length
[00:57:26.320 --> 00:57:27.320]   of time.
[00:57:27.320 --> 00:57:29.080]   And it doesn't have to be for the entire length of time.
[00:57:29.080 --> 00:57:32.120]   You can do different things at different points.
[00:57:32.120 --> 00:57:36.880]   So let's say someone who was going to do like a two year mini retirement and at first they're
[00:57:36.880 --> 00:57:38.920]   a married couple, they both take off.
[00:57:38.920 --> 00:57:42.180]   And so the first six months they're like, "You know what, let's just do Cobra.
[00:57:42.180 --> 00:57:43.260]   Like that's really simple.
[00:57:43.260 --> 00:57:44.260]   We'll stay on Cobra."
[00:57:44.260 --> 00:57:48.680]   And then they've had no income for six months and they're like, "Okay, let's switch to a
[00:57:48.680 --> 00:57:49.880]   plan on the exchange."
[00:57:49.880 --> 00:57:53.460]   And maybe because they haven't had income for a long time, like there's some subsidies and
[00:57:53.460 --> 00:57:56.260]   it's a little bit more affordable and they're like, "Okay, that's cool."
[00:57:56.260 --> 00:58:01.500]   And then maybe, you know, a year in one spouse is like, "Actually, I think I would want to
[00:58:01.500 --> 00:58:03.380]   go back to work part-time."
[00:58:03.380 --> 00:58:06.900]   And they find a part-time job that would be interesting and enjoyable for them that also
[00:58:06.900 --> 00:58:08.520]   provides health insurance.
[00:58:08.520 --> 00:58:10.220]   So then they get health insurance that way.
[00:58:10.220 --> 00:58:15.540]   You can choose multiple options and string them together, especially for longer mini retirements.
[00:58:15.540 --> 00:58:16.540]   Yeah.
[00:58:16.540 --> 00:58:20.120]   I don't know if this is still the case, but there used to be, because I remember getting
[00:58:20.120 --> 00:58:23.940]   laid off and thinking about these things, like some short-term policies in states where
[00:58:23.940 --> 00:58:28.120]   it's like, "You can't do this forever, but it's reasonably affordable for like a six
[00:58:28.120 --> 00:58:29.780]   to 12 month window."
[00:58:29.780 --> 00:58:35.120]   Or if you're traveling, different travel insurance policies can be a decent option as well.
[00:58:35.120 --> 00:58:36.120]   Yeah.
[00:58:36.120 --> 00:58:42.600]   I feel like I'm ready to really start putting this plan for us to do this next summer, especially
[00:58:42.600 --> 00:58:44.440]   because it's like, "Well, the kids are out of school.
[00:58:44.440 --> 00:58:45.440]   What can we do with them?
[00:58:45.440 --> 00:58:47.400]   How could we plan ahead?"
[00:58:47.400 --> 00:58:52.940]   Any other parting advice for me, as I think about planning this with kind of almost a year
[00:58:52.940 --> 00:58:53.940]   lead time?
[00:58:53.940 --> 00:59:00.900]   One, when you have a long lead time, I'll speak to that element, is starting to put
[00:59:00.900 --> 00:59:06.620]   in place what those goals would be, what those intentions would be, not just for planning,
[00:59:06.620 --> 00:59:12.820]   but to start to kind of practice, to kind of warm up and get into that mode.
[00:59:12.820 --> 00:59:18.120]   And one thing I encourage people to do is to kind of find the micro habit that matches that
[00:59:18.120 --> 00:59:19.120]   intention.
[00:59:19.120 --> 00:59:23.080]   So if you said like, for you guys with kids, you're like, "We're going to do a big trip.
[00:59:23.080 --> 00:59:24.080]   We're going to travel."
[00:59:24.080 --> 00:59:28.080]   Start practicing travel with your kids.
[00:59:28.080 --> 00:59:32.040]   And what that can look like is just on a Saturday being like, "You know what?
[00:59:32.040 --> 00:59:34.040]   We're going to leave the house at 9:00 AM.
[00:59:34.040 --> 00:59:36.040]   And we're not going to come home till 7:00 PM.
[00:59:36.040 --> 00:59:37.040]   And we're just going to be out and about.
[00:59:37.040 --> 00:59:38.040]   We're going to go out to breakfast.
[00:59:38.040 --> 00:59:39.040]   We're going to go to a park.
[00:59:39.040 --> 00:59:40.760]   We're going to go to a farmer's market.
[00:59:40.760 --> 00:59:41.760]   Maybe a museum.
[00:59:41.760 --> 00:59:42.760]   We're going to go out to dinner."
[00:59:42.760 --> 00:59:47.720]   But start to practice those things so that when you get to the mini retirement, you're
[00:59:47.720 --> 00:59:49.720]   not starting every learning curve.
[00:59:49.720 --> 00:59:53.720]   It can kind of help you just be more successful right from the get go.
[00:59:53.720 --> 00:59:54.720]   Okay.
[00:59:54.720 --> 00:59:58.720]   I'm sure there are lots of people who, like me, are now excited to do this.
[00:59:58.720 --> 01:00:01.720]   For people who want to dig in a lot more, where do you want to send them?
[01:00:01.720 --> 01:00:06.960]   The book is available everywhere, but if you go to RetireOften.com, you can find the book
[01:00:06.960 --> 01:00:07.960]   or worksheets.
[01:00:07.960 --> 01:00:12.480]   I have a really unhinged newsletter and a Retire Often podcast where I share people's stories.
[01:00:12.480 --> 01:00:16.120]   If you kind of like the idea, but you're like, "Yeah, it won't work for me," I would
[01:00:16.120 --> 01:00:20.640]   encourage you to read through the book because I think it would resolve a lot of the fears
[01:00:20.640 --> 01:00:21.640]   and the challenges.
[01:00:21.640 --> 01:00:28.240]   But mostly, if you get the idea in your head and you kind of start walking in that direction,
[01:00:28.240 --> 01:00:30.480]   life might provide an opportunity.
[01:00:30.480 --> 01:00:33.920]   and you don't expect it and you can pivot and take advantage of that.
[01:00:33.920 --> 01:00:34.920]   I love that.
[01:00:34.920 --> 01:00:37.520]   Before we started recording, I said, "What would be a goal here?"
[01:00:37.520 --> 01:00:41.720]   You said, "I want someone to message me after they take this trip and tell me about it."
[01:00:41.720 --> 01:00:46.800]   And so for anyone listening who's inspired, I will be disappointed if I check in with Jillian
[01:00:46.800 --> 01:00:51.200]   in a year and you haven't gotten at least one message of someone who's taken a mini retirement.
[01:00:51.200 --> 01:00:54.200]   So do that, reach out and let her know.
[01:00:54.200 --> 01:00:55.200]   This has been awesome.
[01:00:55.200 --> 01:00:56.200]   Thank you so much.

