
[00:00:00.500 --> 00:00:01.920]   - Good afternoon.
[00:38:44.400 --> 00:38:46.920]   I love the opening of this, verse nine.
[00:38:46.920 --> 00:38:51.040]   Daniel says, "I kept looking until thrones were set up."
[00:38:51.040 --> 00:38:52.920]   I love this.
[00:38:52.920 --> 00:38:55.080]   Whose thrones are those?
[00:38:55.080 --> 00:39:01.280]   And the Bible makes it clear, both by context,
[00:39:01.280 --> 00:39:04.520]   and even by later revelation, in confirmation,
[00:39:04.520 --> 00:39:07.480]   that these thrones are for the people of God.
[00:39:07.480 --> 00:39:10.920]   There are 24, 12 and 12, Israel and the church,
[00:39:10.920 --> 00:39:14.160]   for the elders of God and heaven,
[00:39:14.160 --> 00:39:17.440]   and for those who are all assembled around.
[00:39:17.440 --> 00:39:20.000]   And this would be so encouraging to Daniel,
[00:39:20.000 --> 00:39:21.640]   because this is God's moment,
[00:39:21.640 --> 00:39:23.160]   and God's message to Daniel.
[00:39:23.160 --> 00:39:25.840]   Daniel, I know you've been beaten up.
[00:39:25.840 --> 00:39:27.240]   I know you've been hunted.
[00:39:27.240 --> 00:39:30.340]   I know you've been persecuted every single day
[00:39:30.340 --> 00:39:34.560]   since you were 10, for your whole life.
[00:39:34.560 --> 00:39:36.720]   Let me tell you this, Daniel.
[00:39:36.720 --> 00:39:39.100]   You will reign in the end.
[00:39:39.100 --> 00:39:44.280]   Brothers, we may be beaten down,
[00:39:44.280 --> 00:39:46.960]   and we may be those who are trampled,
[00:39:46.960 --> 00:39:49.840]   not even to the extent that Daniel was,
[00:39:49.840 --> 00:39:53.320]   but we need to remember this, truth triumphs.
[00:39:53.320 --> 00:39:54.560]   Truth triumphs.
[00:39:54.560 --> 00:39:57.960]   It is exactly Paul's promise,
[00:39:57.960 --> 00:40:02.280]   that if we endure with him, we will what?
[00:40:02.280 --> 00:40:03.560]   Reign.
[00:40:03.560 --> 00:40:04.880]   Truth triumphs.
[00:40:04.880 --> 00:40:06.560]   That's what we have here.
[00:40:06.560 --> 00:40:09.680]   But the moment isn't about us.
[00:40:09.680 --> 00:40:11.880]   This moment is not about us.
[00:40:11.880 --> 00:40:14.320]   It is about our God.
[00:40:14.320 --> 00:40:17.120]   And our God, like any celebration,
[00:40:17.120 --> 00:40:20.560]   any wedding or any festival or any milestone,
[00:40:20.560 --> 00:40:24.040]   every detail, every single detail,
[00:40:24.040 --> 00:40:27.800]   is carefully orchestrated and designed and crafted
[00:40:27.800 --> 00:40:32.000]   to accentuate the grandeur of this occasion.
[00:40:32.000 --> 00:40:33.720]   And we can see that, for one,
[00:40:33.720 --> 00:40:37.940]   in everything about God is manifest to that end.
[00:40:37.940 --> 00:40:39.680]   And notice what the text says in verse nine,
[00:40:39.680 --> 00:40:42.800]   "And the Ancient of Days was seated."
[00:40:42.800 --> 00:40:44.920]   You say, Ancient of Days?
[00:40:44.920 --> 00:40:46.740]   Is God old?
[00:40:46.740 --> 00:40:49.060]   No, he's eternal.
[00:40:49.060 --> 00:40:51.020]   He's eternal.
[00:40:51.020 --> 00:40:53.000]   He is above time.
[00:40:53.000 --> 00:40:55.960]   He is beyond time.
[00:40:55.960 --> 00:40:58.120]   He transcends time.
[00:40:58.120 --> 00:41:02.560]   And only one who is so above and apart from time
[00:41:02.560 --> 00:41:05.360]   can define all time.
[00:41:05.360 --> 00:41:08.640]   Why does God appear here as the Ancient of Days?
[00:41:08.640 --> 00:41:10.240]   He is making a statement.
[00:41:10.240 --> 00:41:12.980]   From eternity past to eternity future,
[00:41:12.980 --> 00:41:15.460]   this is the moment.
[00:41:15.460 --> 00:41:18.080]   This is the moment that fulfills all time.
[00:41:18.080 --> 00:41:19.840]   This is the moment that fulfills all time.
[00:41:19.840 --> 00:41:23.600]   Notice what the text also describes about God in this text.
[00:41:23.600 --> 00:41:26.140]   His clothing was white like snow.
[00:41:27.320 --> 00:41:29.160]   We know that the priestly garments
[00:41:29.160 --> 00:41:30.440]   were supposed to be white.
[00:41:30.440 --> 00:41:32.540]   And we know that we were supposed to be cleansed
[00:41:32.540 --> 00:41:34.760]   white as snow, Isaiah chapter one.
[00:41:34.760 --> 00:41:36.540]   This is talking about holiness.
[00:41:36.540 --> 00:41:38.180]   This is talking about salvation.
[00:41:38.180 --> 00:41:41.120]   This is talking about redemption in that way.
[00:41:41.120 --> 00:41:43.400]   This is the moment that not only fulfills time,
[00:41:43.400 --> 00:41:46.000]   this is the moment that fulfills holiness and righteousness.
[00:41:46.000 --> 00:41:47.880]   And not only that, notice what else the text says
[00:41:47.880 --> 00:41:48.720]   about our God.
[00:41:48.720 --> 00:41:51.800]   "And the hair of his head was like pure wool."
[00:41:51.800 --> 00:41:54.320]   The scriptures describe those who have white hair
[00:41:54.320 --> 00:41:57.680]   and who have gray hair as those of immense wisdom.
[00:41:57.680 --> 00:41:59.320]   We can see this in Proverbs.
[00:41:59.320 --> 00:42:02.080]   "And though the wisdom of our God has been hidden
[00:42:02.080 --> 00:42:04.560]   "throughout the ages, and the wisdom of the cross
[00:42:04.560 --> 00:42:06.460]   "is hidden to those who are perishing,
[00:42:06.460 --> 00:42:08.440]   "there will be a day when the wisdom of God
[00:42:08.440 --> 00:42:11.360]   "is made abundantly clear, and every knee will bow,
[00:42:11.360 --> 00:42:14.000]   "and every mouth will be shut because they see
[00:42:14.000 --> 00:42:15.520]   "the brilliance of our God."
[00:42:15.520 --> 00:42:17.040]   This is that moment.
[00:42:17.040 --> 00:42:18.160]   This is that moment.
[00:42:18.160 --> 00:42:21.180]   And so everything about God is presented
[00:42:21.180 --> 00:42:25.080]   and manifested to show this will be the display
[00:42:25.080 --> 00:42:29.360]   of the sovereign God in all time, in all wisdom,
[00:42:29.360 --> 00:42:31.800]   in all righteousness.
[00:42:31.800 --> 00:42:34.000]   But it's not just everything about God.
[00:42:34.000 --> 00:42:35.700]   It's everything around God.
[00:42:35.700 --> 00:42:37.120]   Notice what the text says.
[00:42:37.120 --> 00:42:39.700]   "His throne," next part of verse nine,
[00:42:39.700 --> 00:42:43.320]   "was ablaze with fire, the epicenter of his authority,
[00:42:43.320 --> 00:42:45.460]   "the epicenter of his omnipotence,
[00:42:45.460 --> 00:42:50.280]   "the epicenter of his power, was focused on one thing,
[00:42:50.280 --> 00:42:54.960]   "ablaze with fire, the fire of destructive judgment."
[00:42:54.960 --> 00:42:58.240]   This will be the fulfillment of justice and judgment.
[00:42:58.240 --> 00:42:59.600]   And it won't just be the fulfillment
[00:42:59.600 --> 00:43:00.760]   of justice and judgment.
[00:43:00.760 --> 00:43:03.560]   It'll be the fulfillment of the world in that regard
[00:43:03.560 --> 00:43:05.460]   because notice the last phrase of verse nine,
[00:43:05.460 --> 00:43:08.720]   "Its wheels were a burning fire."
[00:43:08.720 --> 00:43:12.080]   It is very important that we remember
[00:43:12.080 --> 00:43:15.640]   that this chariot throne is a chariot throne.
[00:43:15.640 --> 00:43:17.480]   It'll come in view later.
[00:43:17.480 --> 00:43:19.760]   Ezekiel sees the same thing.
[00:43:19.760 --> 00:43:22.720]   He sees a throne with wheels within a wheel,
[00:43:22.720 --> 00:43:24.520]   symbolizing and demonstrating
[00:43:24.520 --> 00:43:27.640]   that not only is our God omnipotent, he's omnipresent.
[00:43:27.640 --> 00:43:31.600]   He can go anywhere at any time and strike anything.
[00:43:31.600 --> 00:43:34.720]   And with that, this blazing, fiery throne
[00:43:34.720 --> 00:43:38.880]   is going to judge every inch of this world.
[00:43:38.880 --> 00:43:41.120]   And that judgment will be final.
[00:43:41.120 --> 00:43:42.280]   Notice verse 10.
[00:43:42.280 --> 00:43:46.180]   "A river of fire was flowing and coming out from him."
[00:43:46.180 --> 00:43:49.680]   It is like there will be a deluge of fire
[00:43:49.680 --> 00:43:52.100]   that will consume the world.
[00:43:52.100 --> 00:43:55.120]   God flooded the world the first time
[00:43:55.120 --> 00:43:58.560]   and he promised never to do that again with water,
[00:43:58.560 --> 00:44:02.160]   but he never said anything about not doing it with fire.
[00:44:02.160 --> 00:44:06.880]   And the first judgment anticipates this final one.
[00:44:06.880 --> 00:44:09.500]   The first judgment was a warning.
[00:44:09.500 --> 00:44:12.000]   Water is God going easy.
[00:44:12.000 --> 00:44:14.440]   Fire is God going final.
[00:44:15.680 --> 00:44:20.080]   And God says, "I will destroy, I will judge
[00:44:20.080 --> 00:44:25.080]   "this entire world in a final judgment."
[00:44:25.080 --> 00:44:27.080]   He's going to do it with fire.
[00:44:27.080 --> 00:44:29.400]   That's why I'm green, 'cause I just wanna make sure
[00:44:29.400 --> 00:44:32.080]   there's plenty of kindling for the occasion.
[00:44:32.080 --> 00:44:35.600]   Just kidding.
[00:44:35.600 --> 00:44:42.560]   And so what you have is this is a moment that defines time.
[00:44:42.560 --> 00:44:44.380]   This is a moment that defines holiness.
[00:44:44.380 --> 00:44:46.080]   This is a moment that defines wisdom.
[00:44:46.080 --> 00:44:47.720]   This is a moment that fulfills judgment.
[00:44:47.720 --> 00:44:51.640]   And this is a moment that fulfills Earth and its history.
[00:44:51.640 --> 00:44:53.840]   Everything about God and everything around God
[00:44:53.840 --> 00:44:54.800]   is poised for this moment,
[00:44:54.800 --> 00:44:56.840]   but it's not just everything about or around God.
[00:44:56.840 --> 00:44:58.160]   It's everything alongside of God.
[00:44:58.160 --> 00:45:00.320]   Notice the last part of verse 10.
[00:45:00.320 --> 00:45:03.000]   "Thousands upon thousands were attending him."
[00:45:03.000 --> 00:45:05.400]   This moment doesn't just fulfill Earth.
[00:45:05.400 --> 00:45:07.900]   This moment fulfills heaven.
[00:45:07.900 --> 00:45:11.040]   It fulfills heaven as thousands upon thousands
[00:45:11.040 --> 00:45:15.060]   are standing at attention, ready to do God's bidding.
[00:45:15.060 --> 00:45:19.460]   Have you ever wondered what the phrase Yahweh of hosts means?
[00:45:19.460 --> 00:45:21.140]   Yahweh of the armies.
[00:45:21.140 --> 00:45:22.800]   Here you learn the lesson.
[00:45:22.800 --> 00:45:24.700]   He commands the armies of heaven,
[00:45:24.700 --> 00:45:27.400]   and the armies of heaven now are all assembled
[00:45:27.400 --> 00:45:28.980]   to execute his will.
[00:45:28.980 --> 00:45:31.980]   It is infallible, and it is also majestic,
[00:45:31.980 --> 00:45:36.980]   as myriads upon myriads were standing before him in salute.
[00:45:36.980 --> 00:45:40.420]   People, kings of old, gathered their courts together
[00:45:40.420 --> 00:45:43.460]   as a display of their power and their majesty
[00:45:43.460 --> 00:45:45.580]   and their glory, but those courtiers,
[00:45:45.580 --> 00:45:49.100]   they might be just 10 or 100, maybe 300.
[00:45:49.100 --> 00:45:51.780]   Here you have, before God, all of heaven assembled,
[00:45:51.780 --> 00:45:54.380]   10,000 upon 10,000 upon 10,000,
[00:45:54.380 --> 00:45:57.540]   finally living out the destiny for which they were created.
[00:45:57.540 --> 00:45:59.400]   It is for this moment.
[00:45:59.400 --> 00:46:01.980]   This moment fulfills Earth, even as it fulfills.
[00:46:01.980 --> 00:46:04.140]   (silence)
[00:46:04.140 --> 00:46:06.300]   (silence)
[00:46:06.300 --> 00:46:08.460]   (silence)
[00:46:08.460 --> 00:46:10.620]   (silence)
[00:46:10.620 --> 00:46:12.780]   (silence)
[00:46:12.780 --> 00:46:14.940]   (silence)
[00:46:14.940 --> 00:46:17.100]   (silence)
[00:46:17.100 --> 00:46:43.980]   The very reason, in God's providence,
[00:46:43.980 --> 00:46:47.660]   that he ordained Daniel's name to be Daniel
[00:46:47.660 --> 00:46:51.100]   is to point to this moment.
[00:46:51.100 --> 00:46:53.900]   This is the moment that not only fulfills time
[00:46:53.900 --> 00:46:56.380]   and holiness and wisdom and judgment
[00:46:56.380 --> 00:46:58.440]   and Earth and all heaven,
[00:46:58.440 --> 00:47:02.100]   this is the moment that fulfills all revelation.
[00:47:02.100 --> 00:47:04.720]   And when you have that kind of moment
[00:47:04.720 --> 00:47:08.100]   that deals with time and holiness and wisdom
[00:47:08.100 --> 00:47:10.700]   and judgment, Earth and heaven and revelation,
[00:47:10.700 --> 00:47:14.220]   and everything around God and everything about God
[00:47:14.220 --> 00:47:19.020]   and everything alongside of God so craftily designed,
[00:47:19.020 --> 00:47:22.020]   then you know that that is the moment we are waiting for.
[00:47:22.020 --> 00:47:25.220]   And you know even more, anthropomorphically speaking,
[00:47:25.220 --> 00:47:28.340]   that is the moment the Father is waiting for.
[00:47:28.340 --> 00:47:31.100]   And this moment, this moment isn't just for show,
[00:47:31.100 --> 00:47:31.920]   it's effective.
[00:47:31.920 --> 00:47:34.060]   Notice verses 11 and 12.
[00:47:34.060 --> 00:47:36.420]   Here's what happens from heaven to Earth.
[00:47:36.420 --> 00:47:38.020]   Then I kept looking because of the sound
[00:47:38.020 --> 00:47:40.580]   of the great boastful words which the horn was speaking.
[00:47:40.580 --> 00:47:44.020]   The horn is at its pinnacle of greatness,
[00:47:44.020 --> 00:47:46.940]   assuming all the strength and all that embodies
[00:47:46.940 --> 00:47:51.940]   all the world nations of all history in and of himself.
[00:47:51.940 --> 00:47:54.980]   And in this pinnacle moment, what does it say?
[00:47:54.980 --> 00:47:56.900]   I kept looking until the beast was killed.
[00:47:56.900 --> 00:47:58.300]   He's defeated.
[00:47:58.300 --> 00:48:02.020]   This embodiment of evil, this embodiment of human might,
[00:48:02.020 --> 00:48:05.600]   this embodiment of human ingenuity is defeated.
[00:48:05.600 --> 00:48:06.860]   But it's not just that he's defeated.
[00:48:06.860 --> 00:48:09.540]   Notice, its body was destroyed.
[00:48:09.540 --> 00:48:13.460]   His entire kingdom, the entire system that he has set up,
[00:48:13.460 --> 00:48:16.620]   the most elaborate system celebrating man
[00:48:16.620 --> 00:48:20.500]   and celebrating earthly achievement, it is dismantled.
[00:48:20.500 --> 00:48:22.540]   Evil is dismantled in that way.
[00:48:22.540 --> 00:48:24.180]   But it's not just that there was defeat.
[00:48:24.180 --> 00:48:25.980]   It's not just that there was dismantling.
[00:48:25.980 --> 00:48:27.420]   There is damnation.
[00:48:27.420 --> 00:48:28.820]   Notice the last phrase.
[00:48:28.820 --> 00:48:32.980]   And given to the burning fire.
[00:48:32.980 --> 00:48:35.660]   Do you know what God does with evil in the end?
[00:48:35.660 --> 00:48:38.340]   He doesn't just defeat it.
[00:48:38.340 --> 00:48:43.340]   What he does is it is subjugated to eternal condemnation,
[00:48:43.340 --> 00:48:47.220]   eternal punishment, so that that evil,
[00:48:47.220 --> 00:48:51.340]   in its eternal punishment, will give glory to God
[00:48:51.340 --> 00:48:53.860]   and his righteousness forever.
[00:48:53.860 --> 00:48:57.960]   That is when really truth triumphs.
[00:48:57.960 --> 00:49:02.300]   And the extent of this is made clear, verse 12.
[00:49:02.300 --> 00:49:05.100]   As for the rest of the beast, their dominion was taken away
[00:49:05.100 --> 00:49:06.900]   but an extension of life was given to them
[00:49:06.900 --> 00:49:08.660]   for an appointed season of time.
[00:49:08.660 --> 00:49:11.900]   On the one hand, these beasts pop up again.
[00:49:11.900 --> 00:49:13.260]   These other nations pop up.
[00:49:13.260 --> 00:49:16.560]   It's as if the fourth kingdom never even existed.
[00:49:16.560 --> 00:49:18.180]   It is so eradicated.
[00:49:18.180 --> 00:49:19.620]   It is so erased.
[00:49:19.620 --> 00:49:22.740]   It is so dealt with that it is gone.
[00:49:22.740 --> 00:49:24.860]   And all you have are the other beasts.
[00:49:24.860 --> 00:49:26.700]   But on the other hand, here's the question.
[00:49:26.700 --> 00:49:29.980]   Why was it, verse 12, that these beasts,
[00:49:29.980 --> 00:49:33.660]   their dominion was taken away?
[00:49:33.660 --> 00:49:36.500]   Because in this moment, this moment that deals with time
[00:49:36.500 --> 00:49:38.540]   and holiness and wisdom, heaven and earth
[00:49:38.540 --> 00:49:40.340]   and judgment and all revelation,
[00:49:40.340 --> 00:49:45.100]   this moment was designed so that it would strip everyone
[00:49:45.100 --> 00:49:48.980]   of any semblance of power, any semblance of rule,
[00:49:48.980 --> 00:49:52.500]   any semblance of might, any semblance of authority,
[00:49:52.500 --> 00:49:55.540]   so that there would be one and only one
[00:49:55.540 --> 00:49:59.060]   who possesses all of that by himself,
[00:49:59.060 --> 00:50:02.460]   and that is the Lord Jesus Christ.
[00:50:02.460 --> 00:50:04.860]   Why is this the moment, in a sense,
[00:50:04.860 --> 00:50:06.300]   that the Father is waiting for?
[00:50:06.300 --> 00:50:09.460]   Because this is for his Son.
[00:50:09.460 --> 00:50:14.460]   This is when he gives his Son all that his Son deserves.
[00:50:14.460 --> 00:50:18.700]   This is the moment that truth triumphs.
[00:50:18.700 --> 00:50:21.120]   Everything in this moment is meant
[00:50:21.120 --> 00:50:23.280]   so that everything in this world
[00:50:23.280 --> 00:50:24.940]   will not only be made right,
[00:50:24.940 --> 00:50:26.640]   but not only be reconfigured,
[00:50:26.640 --> 00:50:29.300]   but will revolve around God's Son.
[00:50:29.300 --> 00:50:32.900]   And at that moment, when this takes place,
[00:50:32.900 --> 00:50:36.460]   it will be true that thy kingdom come
[00:50:36.460 --> 00:50:41.460]   and thy will be done on earth as it is in heaven.
[00:50:41.460 --> 00:50:44.580]   That's when truth triumphs.
[00:50:44.580 --> 00:50:47.780]   And brothers, brothers then,
[00:50:47.780 --> 00:50:51.420]   when you are discouraged and when you face trial,
[00:50:51.420 --> 00:50:53.700]   and there are times in our heart we wonder,
[00:50:53.700 --> 00:50:55.020]   is this worth it?
[00:50:55.020 --> 00:50:56.580]   Should I just keep going?
[00:50:56.580 --> 00:51:00.260]   Or should I throw in the towel and call it quits?
[00:51:00.260 --> 00:51:01.500]   Well, we must remind ourselves
[00:51:01.500 --> 00:51:03.600]   this is not the way it ends.
[00:51:03.600 --> 00:51:05.220]   This is not the way it ends.
[00:51:05.220 --> 00:51:07.740]   There is a moment we are waiting for,
[00:51:07.740 --> 00:51:09.980]   a moment when the world is made right
[00:51:09.980 --> 00:51:13.260]   and it is reconfigured around the Son of God.
[00:51:13.260 --> 00:51:15.660]   And at that moment, everything we've labored for
[00:51:15.660 --> 00:51:17.020]   and everything we've preached
[00:51:17.020 --> 00:51:18.500]   will not only come to pass,
[00:51:18.500 --> 00:51:19.500]   it will be vindicated.
[00:51:19.500 --> 00:51:20.860]   And it won't just be vindicated,
[00:51:20.860 --> 00:51:22.540]   but in the mercy of God,
[00:51:22.540 --> 00:51:27.380]   he will use it to honor the Son that he loves.
[00:51:27.380 --> 00:51:30.640]   And at that moment, we will know,
[00:51:30.640 --> 00:51:34.300]   we will know it is absolutely worth it
[00:51:34.300 --> 00:51:37.780]   because he has always been worth it.
[00:51:37.780 --> 00:51:40.580]   There is a moment we are waiting for.
[00:51:40.580 --> 00:51:42.120]   Hang in there, brothers.
[00:51:42.120 --> 00:51:43.900]   There is a moment that we are waiting for
[00:51:43.900 --> 00:51:45.400]   and it will be worthwhile
[00:51:45.400 --> 00:51:49.460]   because God has ordained it for his Son.
[00:51:49.460 --> 00:51:52.640]   And so we've seen this is the moment
[00:51:52.640 --> 00:51:54.300]   that history waits for.
[00:51:54.300 --> 00:51:59.180]   This is the moment that the Father, in a sense, waits for.
[00:51:59.180 --> 00:52:01.100]   Because it's about his Son.
[00:52:01.100 --> 00:52:03.600]   And that leads us to the final point.
[00:52:03.600 --> 00:52:06.760]   Then this is the moment for Christ.
[00:52:06.760 --> 00:52:08.740]   This is the moment for Christ.
[00:52:08.740 --> 00:52:12.100]   And we see that in verses 13 and 14.
[00:52:12.100 --> 00:52:16.520]   Daniel says, "I kept looking in the night visions."
[00:52:16.520 --> 00:52:18.700]   He's seen all the fakes.
[00:52:18.700 --> 00:52:20.300]   He's seen all the frauds.
[00:52:20.300 --> 00:52:23.680]   Now he wants to see the real one.
[00:52:23.680 --> 00:52:28.520]   And what makes this one so real?
[00:52:28.520 --> 00:52:31.420]   Well, for one, he's Lord of heaven.
[00:52:31.420 --> 00:52:34.200]   And behold, with the clouds of heaven.
[00:52:34.200 --> 00:52:37.520]   Behold, with the clouds of heaven.
[00:52:37.520 --> 00:52:40.640]   Christ is riding the clouds of heaven.
[00:52:40.640 --> 00:52:41.480]   Why?
[00:52:41.480 --> 00:52:45.000]   Because it testifies of his swiftness, his speed.
[00:52:45.000 --> 00:52:46.640]   It's amazing to think about.
[00:52:46.640 --> 00:52:48.320]   Lightning fast.
[00:52:48.320 --> 00:52:49.200]   But it's not just that.
[00:52:49.200 --> 00:52:52.080]   Clouds are used in Psalm 97 and elsewhere
[00:52:52.080 --> 00:52:55.040]   to speak of the mystery of God.
[00:52:55.040 --> 00:52:57.720]   Christ has an impenetrable holiness,
[00:52:57.720 --> 00:53:01.760]   an impenetrable glory, an impenetrable greatness.
[00:53:01.760 --> 00:53:03.680]   And he is manifest with that.
[00:53:03.680 --> 00:53:06.720]   But even more than swiftness, even more than supremacy,
[00:53:06.720 --> 00:53:08.480]   here is the truth of the matter.
[00:53:08.480 --> 00:53:11.120]   Christ rides in with all of heaven behind him.
[00:53:11.120 --> 00:53:15.800]   There is only one who rallies heaven.
[00:53:15.800 --> 00:53:18.720]   There is only one who all of heaven
[00:53:18.720 --> 00:53:21.480]   will assemble around in the end.
[00:53:21.480 --> 00:53:24.040]   And it is the one in this vision.
[00:53:24.040 --> 00:53:25.760]   He's not just the Lord of heaven.
[00:53:25.760 --> 00:53:26.880]   He's the Lord of earth.
[00:53:26.880 --> 00:53:27.740]   Notice the next phrase.
[00:53:27.740 --> 00:53:31.120]   One like a son of man was coming.
[00:53:31.120 --> 00:53:33.760]   It is crucial that you see the word like
[00:53:33.760 --> 00:53:36.560]   because that shows similarity and dissimilarity.
[00:53:36.560 --> 00:53:40.360]   Christ is a son of man because he's truly man.
[00:53:40.360 --> 00:53:43.360]   But he is not just a man, he is God-man.
[00:53:43.360 --> 00:53:46.720]   And even more, he is God-man who fulfills
[00:53:46.720 --> 00:53:49.360]   the role of the final Adam.
[00:53:49.360 --> 00:53:52.400]   He does not have the finiteness or the frailty
[00:53:52.400 --> 00:53:55.840]   and certainly not the sin of any normal man.
[00:53:55.840 --> 00:53:59.720]   He is the one who surpasses and transcends all of this
[00:53:59.720 --> 00:54:02.640]   because he is God-man and therefore has the right
[00:54:02.640 --> 00:54:04.960]   and the capability to be the last Adam,
[00:54:04.960 --> 00:54:06.600]   the destiny of this world.
[00:54:06.600 --> 00:54:09.400]   There is only one who can be the final Adam
[00:54:09.400 --> 00:54:11.280]   and it is the one of this vision.
[00:54:11.280 --> 00:54:14.040]   He is not just the Lord of heaven or the Lord of earth.
[00:54:14.040 --> 00:54:15.520]   He's also exalted.
[00:54:15.520 --> 00:54:16.880]   Notice what it says.
[00:54:16.880 --> 00:54:18.400]   And he, that is the son of man,
[00:54:18.400 --> 00:54:19.960]   came up to the ancient of days.
[00:54:19.960 --> 00:54:23.560]   The word came up to has the idea in Aramaic
[00:54:23.560 --> 00:54:25.000]   of the word reached.
[00:54:25.000 --> 00:54:27.160]   It is a similar word used in Genesis
[00:54:27.160 --> 00:54:30.640]   that the tower of Babel attempted to reach heaven.
[00:54:30.640 --> 00:54:34.060]   And in Daniel chapter two, the statue of man
[00:54:34.060 --> 00:54:35.920]   attempted to reach the skies.
[00:54:35.920 --> 00:54:38.040]   And in Daniel chapter four, Nebuchadnezzar
[00:54:38.040 --> 00:54:40.400]   thought he could reach heaven.
[00:54:40.400 --> 00:54:42.440]   None of them can, none of them can.
[00:54:42.440 --> 00:54:43.280]   Why?
[00:54:43.280 --> 00:54:44.880]   Because there is only one who can.
[00:54:44.880 --> 00:54:46.400]   There is only one whose accomplishments
[00:54:46.400 --> 00:54:47.460]   will ascend on high.
[00:54:47.460 --> 00:54:50.140]   There is only one whose achievements are so exalted.
[00:54:50.140 --> 00:54:52.480]   It is the one of this vision.
[00:54:52.480 --> 00:54:55.440]   And he not only came before the ancient of days,
[00:54:55.440 --> 00:54:58.360]   he came near before him because he's not just exalted.
[00:54:58.360 --> 00:55:00.040]   He's equal to God.
[00:55:00.040 --> 00:55:02.260]   If any of us came face to face with God,
[00:55:02.260 --> 00:55:04.200]   we know exactly what would happen.
[00:55:04.200 --> 00:55:05.600]   We fall like a dead man.
[00:55:05.600 --> 00:55:08.120]   Not this one.
[00:55:08.120 --> 00:55:10.640]   Because there's only one who is equal
[00:55:10.640 --> 00:55:12.100]   to the father is God man.
[00:55:12.100 --> 00:55:15.240]   It is the one in this vision.
[00:55:15.240 --> 00:55:16.880]   And this one is not just the Lord of heaven.
[00:55:16.880 --> 00:55:18.160]   He's not just the Lord of earth.
[00:55:18.160 --> 00:55:19.360]   He's not just exalted.
[00:55:19.360 --> 00:55:20.400]   He's not just equal.
[00:55:20.400 --> 00:55:21.740]   He has all victory.
[00:55:21.740 --> 00:55:22.920]   Notice verse 14.
[00:55:22.920 --> 00:55:27.120]   And to him was given dominion, glory, and a kingdom.
[00:55:27.120 --> 00:55:30.320]   Dominion refers to the rule of power that one may have.
[00:55:30.320 --> 00:55:32.840]   Glory refers to the honor that one receives.
[00:55:32.840 --> 00:55:35.760]   And a kingdom shows where all that places out
[00:55:35.760 --> 00:55:37.860]   and all of that takes place.
[00:55:37.860 --> 00:55:42.760]   The kings in Daniel, even Daniel seven,
[00:55:42.760 --> 00:55:45.920]   but even earlier than that, they all want dominion.
[00:55:45.920 --> 00:55:47.320]   They all want glory.
[00:55:47.320 --> 00:55:49.080]   They all want a kingdom.
[00:55:49.080 --> 00:55:51.680]   They all seek to have it desperately,
[00:55:51.680 --> 00:55:52.540]   but they never can.
[00:55:52.540 --> 00:55:53.380]   Why?
[00:55:53.380 --> 00:55:57.640]   Because there is only one and one only who deserves it.
[00:55:57.640 --> 00:56:00.240]   And it is the one of this vision.
[00:56:00.240 --> 00:56:02.020]   He doesn't just have the all victory.
[00:56:02.020 --> 00:56:02.860]   He has all people.
[00:56:02.860 --> 00:56:04.440]   Notice the next phrase of verse 14.
[00:56:04.440 --> 00:56:08.140]   That all the people, nations, and men of every tongue.
[00:56:08.140 --> 00:56:10.560]   That phrase is used throughout Daniel.
[00:56:10.560 --> 00:56:12.640]   Daniel three, that's what Nebuchadnezzar
[00:56:12.640 --> 00:56:14.520]   wanted everybody to worship him.
[00:56:14.520 --> 00:56:16.200]   In Daniel four, that's what Nebuchadnezzar
[00:56:16.200 --> 00:56:18.660]   addressed to show his might.
[00:56:18.660 --> 00:56:21.940]   And in Daniel five, a similar idea takes place.
[00:56:21.940 --> 00:56:24.180]   And even in Daniel six, the phrase is used
[00:56:24.180 --> 00:56:26.420]   to show Cyrus's own power.
[00:56:26.420 --> 00:56:28.740]   And they all thought that they could compel
[00:56:28.740 --> 00:56:31.220]   and control people, nation, and every man
[00:56:31.220 --> 00:56:34.620]   of every tribe and tongue, but they couldn't.
[00:56:34.620 --> 00:56:35.460]   They couldn't.
[00:56:35.460 --> 00:56:36.280]   Why?
[00:56:36.280 --> 00:56:40.220]   Because that right is reserved for one and only one.
[00:56:40.220 --> 00:56:41.420]   The one in this vision.
[00:56:41.420 --> 00:56:43.620]   And it's not just that there's all victory to this one
[00:56:43.620 --> 00:56:44.820]   and all people to this one.
[00:56:44.820 --> 00:56:47.380]   It is that all worship goes to this one.
[00:56:47.380 --> 00:56:48.500]   Notice the next phrase.
[00:56:48.500 --> 00:56:51.020]   That those people might serve him.
[00:56:51.020 --> 00:56:54.060]   Nebuchadnezzar ordered that everyone in his kingdom
[00:56:54.060 --> 00:56:58.360]   serve him by bowing to the statue, but three refused.
[00:56:58.360 --> 00:56:59.200]   Three refused.
[00:56:59.200 --> 00:57:00.020]   Why?
[00:57:00.020 --> 00:57:03.140]   To show you will never have all the worship
[00:57:03.140 --> 00:57:04.140]   of all the peoples.
[00:57:04.140 --> 00:57:04.980]   Why?
[00:57:04.980 --> 00:57:08.940]   Because that belongs to one and only one.
[00:57:08.940 --> 00:57:11.660]   The one in this vision.
