
[00:00:00.040 --> 00:00:09.540]   granddaughter
[00:41:43.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
[00:41:43.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
[00:41:43.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
[00:41:43.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
[00:41:43.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
[00:41:43.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
[00:41:43.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
[00:41:43.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
[00:41:43.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
[00:41:43.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
[00:41:43.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
[00:41:43.740 --> 00:41:43.740]   I don't the association of Realtors should be there.
[00:41:43.740 --> 00:42:13.760]   I don't the association of Realtors should be there.
[00:42:13.760 --> 00:42:13.760]   I don't the association of Realtors should be there.
[00:42:13.760 --> 00:42:13.760]   I don't the association of Realtors should be there.
[00:42:13.760 --> 00:42:13.760]   I don't the association of Realtors should be there.
[00:42:13.760 --> 00:42:13.760]   I don't the association of Realtors should be there.
[00:42:13.760 --> 00:42:13.760]   I don't the association of Realtors should be there.
[00:42:13.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:42:43.780]   I don't the association of Realtors should be there.
[00:42:43.780 --> 00:43:13.800]   I don't the association of Realtors should be there.
[00:43:13.800 --> 00:43:13.800]   I don't the association of Realtors should be there.
[00:43:13.800 --> 00:43:13.800]   I don't the association of Realtors should be there.
[00:43:13.800 --> 00:43:13.800]   I don't the association of Realtors should be there.
[00:43:13.800 --> 00:43:13.800]   I don't the association of Realtors should be there.
[00:43:13.800 --> 00:43:13.800]   I don't the association of Realtors should be there.
[00:43:13.800 --> 00:43:13.800]   I don't the association of Realtors should be there.
[00:43:13.800 --> 00:43:13.800]   I don't the association of Realtors should be there.
[00:43:13.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:43:43.820]   I don't the association of Realtors should be there.
[00:43:43.820 --> 00:44:13.840]   I don't the association of Realtors should be there.
[00:44:13.840 --> 00:44:13.840]   I don't the association of Realtors should be there.
[00:44:13.840 --> 00:44:13.840]   I don't the association of Realtors should be there.
[00:44:13.840 --> 00:44:13.840]   I don't the association of Realtors should be there.
[00:44:13.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:44:43.860]   I don't the association of Realtors should be there.
[00:44:43.860 --> 00:45:13.880]   I don't the association of Realtors should be there.
[00:45:13.880 --> 00:45:13.880]   I don't the association of Realtors should be there.
[00:45:13.880 --> 00:45:13.880]   I don't the association of Realtors should be there.
[00:45:13.880 --> 00:45:13.880]   I don't the association of Realtors should be there.
[00:45:13.880 --> 00:45:13.880]   I don't the association of Realtors should be there.
[00:45:13.880 --> 00:45:13.880]   I don't the association of Realtors should be there.
[00:45:13.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:45:43.900]   I don't the association of Realtors should be there.
[00:45:43.900 --> 00:46:13.920]   I don't the association of Realtors should be there.
[00:46:13.920 --> 00:46:13.920]   I don't the association of Realtors should be there.
[00:46:13.920 --> 00:46:13.920]   I don't the association of Realtors should be there.
[00:46:13.920 --> 00:46:13.920]   I don't the association of Realtors should be there.
[00:46:13.920 --> 00:46:13.920]   I don't the association of Realtors should be there.
[00:46:13.920 --> 00:46:13.920]   I don't the association of Realtors should be there.
[00:46:13.920 --> 00:46:13.920]   I don't the association of Realtors should be there.
[00:46:13.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:46:43.940]   I don't the association of Realtors should be there.
[00:46:43.940 --> 00:47:13.960]   I don't the association of Realtors should be there.
[00:47:13.960 --> 00:47:13.960]   I don't the association of Realtors should be there.
[00:47:13.960 --> 00:47:13.960]   I don't the association of Realtors should be there.
[00:47:13.960 --> 00:47:13.960]   I don't the association of Realtors should be there.
[00:47:13.960 --> 00:47:13.960]   I don't the association of Realtors should be there.
[00:47:13.960 --> 00:47:13.960]   I don't the association of Realtors should be there.
[00:47:13.960 --> 00:47:13.960]   I don't the association of Realtors should be there.
[00:47:13.960 --> 00:47:13.960]   I don't the association of Realtors should be there.
[00:47:13.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:47:43.980]   I don't the association of Realtors should be there.
[00:47:43.980 --> 00:48:14.000]   I don't the association of Realtors should be there.
[00:48:14.000 --> 00:48:14.000]   I don't the association of Realtors should be there.
[00:48:14.000 --> 00:48:14.000]   I don't the association of Realtors should be there.
[00:48:14.000 --> 00:48:14.000]   I don't the association of Realtors should be there.
[00:48:14.000 --> 00:48:14.000]   I don't the association of Realtors should be there.
[00:48:14.000 --> 00:48:14.000]   I don't the association of Realtors should be there.
[00:48:14.000 --> 00:48:14.000]   I don't the association of Realtors should be there.
[00:48:14.020 --> 00:48:44.020]   The Bible makes very clear that government is a gift from God and that government has a specific function.
[00:48:44.020 --> 00:48:44.020]   The Bible makes very clear that government is a gift from God and that government has a specific function.
[00:48:44.020 --> 00:48:44.020]   The Bible makes very clear that government is a gift from God and that government has a specific function.
[00:48:44.020 --> 00:48:44.020]   The Bible makes very clear that government is a gift from God and that government has a specific function.
[00:48:44.020 --> 00:48:44.020]   The Bible makes very clear that government is a gift from God and that government has a specific function.
[00:48:44.020 --> 00:48:44.020]   The Bible makes very clear that government is a gift from God and that government has a specific function.
[00:48:44.020 --> 00:48:44.020]   The Bible makes very clear that government is a gift from God and that government has a specific function.
[00:48:44.020 --> 00:48:44.020]   The Bible makes very clear that government is a gift from God and that government has a specific function.
[00:48:44.020 --> 00:48:44.020]   The Bible makes very clear that government is a gift from God and that government has a specific function.
[00:48:44.020 --> 00:49:14.040]  ,
[00:49:14.040 --> 00:49:44.060]  ,
[00:49:44.060 --> 00:49:44.060]   and
[00:49:44.060 --> 00:49:44.060]   and
[00:49:44.060 --> 00:49:44.060]   and
[00:49:44.060 --> 00:49:44.060]   and
[00:49:44.060 --> 00:49:44.060]   and
[00:49:44.060 --> 00:49:44.060]   and
[00:49:44.080 --> 00:49:52.140]   ,,
[00:49:52.140 --> 00:49:52.160]   ,,
[00:49:52.160 --> 00:49:52.180]   ,,
[00:49:52.180 --> 00:49:52.200]   ,,
[00:49:52.200 --> 00:49:52.220]   ,,
[00:49:52.220 --> 00:49:52.240]   ,,
[00:49:52.240 --> 00:49:52.280]   ,,
[00:49:52.280 --> 00:49:52.300]   people.
[00:49:52.300 --> 00:49:52.340]   people.
[00:49:52.340 --> 00:49:52.380]   people.
[00:49:52.380 --> 00:49:52.440]   people.
[00:49:52.440 --> 00:49:52.500]   people. So,
[00:49:52.500 --> 00:49:52.560]   people. So,
[00:49:52.560 --> 00:49:52.660]   people. So, that's
[00:49:52.660 --> 00:49:52.780]   people. So, that's the first thing.
[00:49:52.780 --> 00:49:52.840]   So, that's the first thing. Now,
[00:49:52.840 --> 00:50:14.080]   Now, if we affirm that we have a basis for government, then we could say, "How would we know what's the right kind of government to have?" And I think that if we're going to reason with this with moral philosophy, we should stop and simply bring things down to a level that we can understand. Because I have no concept of how to deal with the government.
[00:50:14.080 --> 00:50:14.080]   I have no concept of how to deal with the government.
[00:50:14.080 --> 00:50:14.080]   I have no concept of how to deal with the government.
[00:50:14.080 --> 00:50:14.080]   I have no concept of how to deal with the government.
[00:50:14.100 --> 00:50:44.100]   I have no concept of how to deal with the government.
[00:50:44.100 --> 00:50:44.100]   I have no concept of how to deal with the government.
[00:50:44.100 --> 00:50:44.100]   I have no concept of how to deal with the government.
[00:50:44.100 --> 00:50:44.100]   I have no concept of how to deal with the government.
[00:50:44.100 --> 00:50:44.100]   I have no concept of how to deal with the government.
[00:50:44.100 --> 00:50:44.100]   I have no concept of how to deal with the government.
[00:50:44.100 --> 00:50:44.100]   I have no concept of how to deal with the government.
[00:50:44.100 --> 00:50:44.100]   I have no concept of how to deal with the government.
[00:50:44.100 --> 00:50:44.100]   I have no concept of how to deal with the government.
[00:50:44.100 --> 00:50:44.100]   I have no concept of how to deal with the government.
[00:50:44.100 --> 00:50:44.100]   I have no concept of how to deal with the government.
[00:50:44.100 --> 00:50:44.100]   I have no concept of how to deal with the government.
[00:50:44.100 --> 00:50:44.100]   I have no concept of how to deal with the government.
[00:51:14.120 --> 00:51:14.120]   I have no concept of how to deal with the government.
[00:51:14.120 --> 00:51:14.120]   I have no concept of how to deal with the government.
[00:51:14.120 --> 00:51:14.120]   I have no concept of how to deal with the government.
[00:51:14.120 --> 00:51:14.120]   I have no concept of how to deal with the government.
[00:51:14.120 --> 00:51:14.120]   I have no concept of how to deal with the government.
[00:51:14.120 --> 00:51:14.120]   I have no concept of how to deal with the government.
[00:51:14.120 --> 00:51:14.120]   I have no concept of how to deal with the government.
[00:52:14.140 --> 00:52:14.160]  obedience.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.160 --> 00:52:14.160]   We have no concept of how to deal with the government.
[00:52:14.920 --> 00:52:44.180]   We have no concept of how to deal with the government.
[00:52:44.180 --> 00:52:44.180]   We have no concept of how to deal with the government.
[00:52:44.180 --> 00:52:44.180]   We have no concept of how to deal with the government.
[00:52:44.180 --> 00:52:44.180]   We have no concept of how to deal with the government.
[00:52:44.180 --> 00:52:44.180]   We have no concept of how to deal with the government.
[00:52:44.180 --> 00:52:44.180]   We have no concept of how to deal with the government.
[00:52:44.180 --> 00:52:44.180]   We have no concept of how to deal with the government.
[00:52:44.180 --> 00:52:44.180]   We have no concept of how to deal with the government.
[00:52:44.180 --> 00:52:44.180]   We have no concept of how to deal with the government.
[00:52:44.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:14.200]   We have no concept of how to deal with the government.
[00:53:14.200 --> 00:53:44.220]   We have no concept of how to deal with the government.
[00:53:44.220 --> 00:53:44.220]   We have no concept of how to deal with the government.
[00:53:44.220 --> 00:53:44.220]   We have no concept of how to deal with the government.
[00:53:44.220 --> 00:53:44.220]   We have no concept of how to deal with the government.
[00:53:44.220 --> 00:53:44.220]   We have no concept of how to deal with the government.
[00:53:44.220 --> 00:53:44.220]   We have no concept of how to deal with the government.
[00:53:44.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:14.240]   We have no concept of how to deal with the government.
[00:54:14.240 --> 00:54:44.260]   We have no concept of how to deal with the government.
[00:54:44.260 --> 00:54:44.260]   We have no concept of how to deal with the government.
[00:54:44.260 --> 00:54:44.260]   We have no concept of how to deal with the government.
[00:54:44.260 --> 00:54:44.260]   We have no concept of how to deal with the government.
[00:54:44.260 --> 00:54:44.260]   We have no concept of how to deal with the government.
[00:54:44.260 --> 00:54:44.260]   We have no concept of how to deal with the government.
[00:54:44.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:14.280]   We have no concept of how to deal with the government.
[00:55:14.280 --> 00:55:44.300]   We have no concept of how to deal with the government.
[00:55:44.300 --> 00:55:44.300]   We have no concept of how to deal with the government.
[00:55:44.300 --> 00:55:44.300]   We have no concept of how to deal with the government.
[00:55:44.300 --> 00:55:44.300]   We have no concept of how to deal with the government.
[00:55:44.300 --> 00:55:44.300]   We have no concept of how to deal with the government.
[00:55:44.300 --> 00:55:44.300]   We have no concept of how to deal with the government.
[00:55:44.300 --> 00:55:44.300]   We have no concept of how to deal with the government.
[00:55:44.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:14.320]   We have no concept of how to deal with the government.
[00:56:14.320 --> 00:56:44.340]   We have no concept of how to deal with the government.
[00:56:44.340 --> 00:56:44.340]   We have no concept of how to deal with the government.
[00:56:44.340 --> 00:56:44.340]   We have no concept of how to deal with the government.
[00:56:44.340 --> 00:56:44.340]   We have no concept of how to deal with the government.
[00:56:44.340 --> 00:56:44.340]   We have no concept of how to deal with the government.
[00:56:44.340 --> 00:56:44.340]   We have no concept of how to deal with the government.
[00:56:44.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:14.360]   We have no concept of how to deal with the government.
[00:57:14.360 --> 00:57:44.380]   We have no concept of how to deal with the government.
[00:57:44.380 --> 00:57:44.380]   We have no concept of how to deal with the government.
[00:57:44.380 --> 00:57:44.380]   We have no concept of how to deal with the government.
[00:57:44.380 --> 00:57:44.380]   We have no concept of how to deal with the government.
[00:57:44.380 --> 00:57:44.380]   We have no concept of how to deal with the government.
[00:57:44.380 --> 00:57:44.380]   We have no concept of how to deal with the government.
[00:57:44.380 --> 00:57:44.380]   We have no concept of how to deal with the government.
[00:57:44.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:14.400]   We have no concept of how to deal with the government.
[00:58:14.400 --> 00:58:44.420]   We have no concept of how to deal with the government.
[00:58:44.420 --> 00:58:44.420]   We have no concept of how to deal with the government.
[00:58:44.420 --> 00:58:44.420]   We have no concept of how to deal with the government.
[00:58:44.420 --> 00:58:44.420]   We have no concept of how to deal with the government.
[00:58:44.420 --> 00:58:44.420]   We have no concept of how to deal with the government.
[00:58:44.420 --> 00:58:44.420]   We have no concept of how to deal with the government.
[00:58:44.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:14.440]   I have no concept of how to deal with the government.
[00:59:14.440 --> 00:59:44.460]  ,
[00:59:44.460 --> 00:59:44.460]   I have no concept of how to deal with the government.
[00:59:44.460 --> 00:59:44.460]   I have no concept of how to deal with the government.
[00:59:44.460 --> 00:59:44.460]   I have no concept of how to deal with the government.
[00:59:44.460 --> 00:59:44.460]   I have no concept of how to deal with the government.
[00:59:44.460 --> 00:59:44.460]   I have no concept of how to deal with the government.
[00:59:44.460 --> 00:59:44.460]   I have no concept of how to deal with the government.
[00:59:44.460 --> 00:59:44.460]   I have no concept of how to deal with the government.
[00:59:44.460 --> 00:59:44.460]   I have no concept of how to deal with the government.
[00:59:44.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
[01:00:14.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
[01:00:14.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
[01:00:14.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
[01:00:14.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
[01:00:14.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
[01:00:14.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
[01:00:14.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
[01:00:14.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
[01:00:14.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
[01:00:14.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
[01:00:14.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
[01:00:14.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
[01:00:14.480 --> 01:00:14.480]   I have no concept of how to deal with the government.
