
[00:00:00.000 --> 00:00:03.520]   Jamal do you hear that Friberg got busted looking at porn in his computer?
[00:49:46.160 --> 00:49:50.120]   If you actually listen to what the Russians have said there's only been two red lines
[00:49:50.120 --> 00:49:55.040]   the first red line was they said they would not accept NATO expanding to Ukraine and
[00:49:55.040 --> 00:49:57.400]   They proved their
[00:49:57.400 --> 00:50:05.000]   Seriousness on that issue by invading Ukraine in February of 2022. The second red line is they said that they would not accept
[00:50:06.000 --> 00:50:12.240]   American long-range missiles being used to target inside of Russia and that line has now been crossed
[00:50:12.240 --> 00:50:15.740]   So this leads us to the next set of events, which is
[00:50:15.740 --> 00:50:23.120]   Russia just used what may be some people are saying it's an ICBM, but it probably is more likely to be
[00:50:23.120 --> 00:50:26.240]   Not an intercontinental but an intermediate range
[00:50:26.240 --> 00:50:29.840]   ballistic missile that hit a
[00:50:29.840 --> 00:50:35.560]   Ukrainian city and it's obviously it didn't carry a nuclear payload, but it's the type of
[00:50:36.160 --> 00:50:38.940]   ballistic missile that is used to carry
[00:50:38.940 --> 00:50:44.520]   Nuclear weapons. There are a couple of features of this that I think are really important number one
[00:50:44.520 --> 00:50:48.080]   It's a hypersonic missile it hit the target at something like Mach 10
[00:50:48.080 --> 00:50:51.720]   What that means is that it just can't be intercepted is too fast
[00:50:51.720 --> 00:50:56.280]   the the West and the United States in particular does not as far as we know have a
[00:50:56.280 --> 00:51:02.040]   Technology to intercept a hypersonic missile like that. The second is that it had what's called a Merv?
[00:51:03.360 --> 00:51:06.480]   Warhead or payload Merv is multiple
[00:51:06.480 --> 00:51:09.040]   independently targeted
[00:51:09.040 --> 00:51:14.400]   Reentry vehicles basically what it means is the warhead splits up, right when it gets close to the ground
[00:51:14.400 --> 00:51:20.240]   It splits into six separate warheads. And the reason for this as I understand it is diabolical again
[00:51:20.240 --> 00:51:22.840]   It's just if you're launching nuclear weapon
[00:51:22.840 --> 00:51:29.320]   It just makes it that much harder to now intercept it because now you've got six warheads hitting you instead of just one
[00:51:29.320 --> 00:51:31.600]   so I mean
[00:51:31.760 --> 00:51:36.520]   as I understand a missile like this has never been used before and what the Russians are doing obviously is
[00:51:36.520 --> 00:51:43.440]   Sending us a signal and what that message is is that they're saying we have the means to hit any
[00:51:43.440 --> 00:51:46.640]   European city or any European asset
[00:51:46.640 --> 00:51:53.880]   With a hypersonic missile that you can't stop that may or may not have a nuclear warhead
[00:51:53.880 --> 00:51:56.040]   attached to it and
[00:51:56.040 --> 00:52:03.760]   It's just a way of them expressing their seriousness and displeasure and and and reacting to an escalating in response to the fact
[00:52:03.760 --> 00:52:05.760]   That we are now allowing
[00:52:05.760 --> 00:52:11.360]   Western missiles to be hitting targets deep inside of Russia. So the bottom line is this war is escalating
[00:52:11.360 --> 00:52:14.600]   It's escalating to we're good and at some point soon
[00:52:14.600 --> 00:52:18.280]   Yeah, it's really we're gonna have to get off of this escalatory
[00:52:19.080 --> 00:52:24.200]   totally or we're gonna end up in a really disastrous place and just the last final point is
[00:52:24.200 --> 00:52:32.360]   It's absolutely remarkable that Biden decided to take us to this place with what just six weeks left in his term
[00:52:32.360 --> 00:52:40.280]   Completely as a lame-duck president. What is his mandate for doing that for taking this extraordinary risk on behalf of the country?
[00:52:40.280 --> 00:52:43.280]   The voters just voted for Trump who made it really clear
[00:52:43.280 --> 00:52:48.320]   He wanted to end the war and Biden and his team have unilaterally now escalated this war
[00:52:48.400 --> 00:52:50.720]   They did it without consulting with Trump's team
[00:52:50.720 --> 00:52:56.080]   At least that's what was publicly reported is there was no briefing set up for Trump's transition team
[00:52:56.080 --> 00:53:01.960]   So you have here Biden his team taking a unilateral action to expand and escalate this war
[00:53:01.960 --> 00:53:06.520]   Even when he's a lame-duck president and the question you have to ask is why what is the point of this?
[00:53:06.520 --> 00:53:15.000]   Well, I think it's just completely deranged because it's not just that forget Biden and Trump for a second if you take a step back
[00:53:15.000 --> 00:53:17.880]   What was voted in?
[00:53:18.240 --> 00:53:23.440]   Was to end this war and for the United States to get our hands out of it
[00:53:23.440 --> 00:53:29.440]   So you couldn't have a clearer message to the sitting president in the White House, which is this is not what?
[00:53:29.440 --> 00:53:31.640]   Americans want and
[00:53:31.640 --> 00:53:38.640]   So to basically ignore the will of the voters and to essentially go and push another country into the brink
[00:53:38.640 --> 00:53:43.200]   I think is so incredibly responsible and you know other times we've said in the past
[00:53:43.200 --> 00:53:45.920]   Take Donald Trump
[00:53:45.920 --> 00:53:48.120]   Seriously, but not literally
[00:53:48.440 --> 00:53:50.440]   Russia you should take seriously and
[00:53:50.440 --> 00:53:52.560]   literally
[00:53:52.560 --> 00:53:57.080]   Because they actually write it down for you and tell you and so when they said
[00:53:57.080 --> 00:54:00.000]   Every act of aggression from now on is going to be
[00:54:00.000 --> 00:54:05.600]   Viewed by us on a look-through basis to the actual country that is enabling this to happen
[00:54:05.600 --> 00:54:11.280]   You couldn't be more clear, but Americans couldn't have been more clear, which is we don't want this war anymore
[00:54:11.280 --> 00:54:16.520]   And I just think it's really deranged what the Biden White House is doing. It's incredibly dangerous
[00:54:17.280 --> 00:54:19.920]   By the way, not to mention. It's incredibly costly as well
[00:54:19.920 --> 00:54:25.360]   I mean, we've had like some last-minute efforts to sort of tamp down on these last-minute budget approvals and whatnot
[00:54:25.360 --> 00:54:30.320]   but we're talking about tens and hundreds of billions of dollars that we're giving on top of the risk of of
[00:54:30.320 --> 00:54:36.800]   Nuclear escalation. I just think it's absolutely crazy. It's absolutely crazy. Putin is not a dummy
[00:54:36.800 --> 00:54:39.440]   He has heard and seen
[00:54:39.440 --> 00:54:43.120]   Trump's campaign rhetoric and
[00:54:44.680 --> 00:54:52.480]   Sacks, I don't know if this is this has been publicly reported that he had a call with with Trump after the the election victory
[00:54:52.480 --> 00:54:56.840]   Does Putin not see that in a couple of weeks a couple of months?
[00:54:56.840 --> 00:55:02.040]   There will be new leadership in the White House and there's gonna be a path to a resolution here
[00:55:02.040 --> 00:55:09.180]   Like does that not give us all a little bit of reprieve that this is not going to escalate because everyone's waiting for January 20th
[00:55:09.180 --> 00:55:12.080]   Oh, I mean for sure. I mean, thank goodness
[00:55:12.080 --> 00:55:15.800]   I would say that we have a new president coming in who does not own this war
[00:55:15.800 --> 00:55:21.440]   I mean the problem with Biden is that he completely owns this war and he does not want to admit defeat
[00:55:21.440 --> 00:55:27.960]   And so what you've seen is that over the last couple of years every weapon system that Biden said he wouldn't give
[00:55:27.960 --> 00:55:31.680]   To Ukraine because it could literally cause World War three. These are Biden's words
[00:55:31.680 --> 00:55:35.320]   He said it could be Armageddon if we gave Ukraine f-16s
[00:55:35.320 --> 00:55:37.720]   It could be Armageddon if we gave them Abrams tanks
[00:55:37.720 --> 00:55:41.640]   it would be Armageddon if we gave them high Mars and attack 'em's and
[00:55:41.640 --> 00:55:46.320]   Could lead to World War three if we let them hit targets inside of Russia. These are Biden's words and
[00:55:46.320 --> 00:55:52.760]   He has basically given it on every single one of those points because he's so committed to this policy, right?
[00:55:52.760 --> 00:55:57.480]   He's he's in the quagmire. He can only double down. He doesn't know how to extricate himself and
[00:55:57.480 --> 00:56:00.500]   Now we don't know exactly what Kamala Harris would have done
[00:56:00.500 --> 00:56:03.920]   But I think probably she would have inherited Joe Biden's policy and likely
[00:56:04.240 --> 00:56:09.840]   Continued it and I think we have a wonderful opportunity here with Trump taking office. He doesn't own this policy
[00:56:09.840 --> 00:56:11.840]   he can look at it with fresh eyes and
[00:56:11.840 --> 00:56:18.400]   Most importantly he campaigned on ending the war so he has the mandate of the American people to stop it
[00:56:18.400 --> 00:56:22.440]   All I can say is thank goodness and we just need to get through the next two months
[00:56:22.440 --> 00:56:25.840]   We just need to get to January 20th without there being some new
[00:56:25.840 --> 00:56:28.600]   horrible escalation in this war
[00:56:30.920 --> 00:56:38.680]   He's by Joe Biden is martin galing that's his strategy for the Ukraine-Russia war just keep doubling down and doubling down
[00:56:38.680 --> 00:56:41.760]   Oh, yeah, do you wanna explain what that is? Oh, yeah. Sorry
[00:56:41.760 --> 00:56:45.560]   Martin galing is a strategy in gambling where let's just say, you know
[00:56:45.560 --> 00:56:47.400]   You start betting $1 and you lose
[00:56:47.400 --> 00:56:52.760]   your next bet is $2 if you lose your next bet is $4 if you lose your next bet is $8 and
[00:56:52.760 --> 00:56:55.600]   Eventually you'll win once is the theory
[00:56:56.400 --> 00:57:00.320]   But there's many times where Martin galing does not work, but you only win $1
[00:57:00.320 --> 00:57:03.360]   So you could be betting, you know
[00:57:03.360 --> 00:57:07.200]   80, you know 40 bucks 80 bucks $160
[00:57:07.200 --> 00:57:12.280]   $320 and then you finally win and you win $1 right or or you go broke
[00:57:12.280 --> 00:57:14.880]   That's a great analogy because you can also go broke, right?
[00:57:14.880 --> 00:57:18.160]   Caps at the roulette table
[00:57:18.160 --> 00:57:21.680]   One time I would do this. That's why all casinos have a max
[00:57:21.680 --> 00:57:25.640]   Yeah, so I would do this as a joke with my wife or when I was at the World Service of poker
[00:57:25.640 --> 00:57:29.840]   I'd be like I'm gonna pay for dinner or lunch or whatever and I put a hundred dollars on black lose
[00:57:29.840 --> 00:57:34.920]   put 200 on black win go pay for lunch and I did it one time at the
[00:57:34.920 --> 00:57:38.880]   WSOP and I went 100 200 400 800
[00:57:38.880 --> 00:57:44.880]   1600 I ran out of cash. I got 3200 from my friend. I put it down the floor man came over and said
[00:57:44.880 --> 00:57:46.640]   That's your last bet. Oh
[00:57:46.640 --> 00:57:48.640]   No, my buddy and I
[00:57:48.640 --> 00:57:55.320]   If you do this, yeah in our college years early 20s, we would go to drink for free at the casino
[00:57:55.320 --> 00:57:57.320]   You just sit at the blackjack table and just yeah
[00:57:57.320 --> 00:58:05.240]   I mean if you bet a dollar and then you bet two bucks
[00:58:05.240 --> 00:58:09.080]   You can just keep drinking for free for like two or three hours and then go out and enjoy your night
[00:58:09.080 --> 00:58:14.760]   You've made 15 bucks and call it enough. Did I tell you about the losing a million dollars playing roulette? No
[00:58:14.760 --> 00:58:17.560]   me
[00:58:17.560 --> 00:58:20.600]   Nick you got to beep out the names me. It was me
[00:58:22.560 --> 00:58:28.680]   And tell me this you did tell me this yeah, this is so good says guys have developed a system it's full
[00:58:28.680 --> 00:58:35.560]   That's always what happens before you lose a million and he says that it's like we need to risk a million
[00:58:35.560 --> 00:58:38.040]   We can win like two or three
[00:58:38.040 --> 00:58:42.120]   And it's like ninety nine point nine nine six percent
[00:58:42.120 --> 00:58:46.800]   So so I say to him. So are you really telling me that we just have to fade?
[00:58:47.640 --> 00:58:54.960]   Point zero zero four percent chance of like total loss. Mm-hmm, and he says yep. Well, guess what hit the point?
[00:58:54.960 --> 00:58:57.880]   percent shot
[00:58:57.880 --> 00:59:04.880]   Me slowly and and it was devastating. I just kept looking at this thing. Like what just happened. He's like, oh we lost
[00:59:04.880 --> 00:59:09.280]   Yeah, and I was like there it is folks. I never again. I've never gonna play roulette again
[00:59:09.280 --> 00:59:14.400]   I think the gambling analogies are the right analogies cuz I look I'm not saying World War three is gonna happen
[00:59:14.400 --> 00:59:15.960]   I've never said World War three is gonna happen
[00:59:15.960 --> 00:59:20.400]   I'm saying that there's a risk of World War three and I don't need the risk to be very high to be very worried about
[00:59:20.400 --> 00:59:23.560]   It because it would be such a disaster often, right?
[00:59:23.560 --> 00:59:30.740]   Exactly. So I want to minimize risk of ruin. I want to exactly I want there to be hopefully a zero risk of that
[00:59:30.740 --> 00:59:33.800]   But you know, what's interesting is remember just like a week or two ago
[00:59:33.800 --> 00:59:41.640]   President Trump made that trip to DC and he met with Biden in the Oval Office and Biden had this he was like all smiles
[00:59:41.640 --> 00:59:47.000]   and I'm everyone's like wondering why is he so happy and the speculation was
[00:59:47.000 --> 00:59:50.440]   That he somehow wanted a common to lose or something
[00:59:50.440 --> 00:59:55.640]   But now you think back on this he must have known he was about to authorize this decision
[00:59:55.640 --> 00:59:58.300]   So what he's doing here, he's grin
[00:59:58.300 --> 01:00:04.280]   He's grin Trump. He knows he's about to give Trump this horrible hand, right?
[01:00:04.280 --> 01:00:07.840]   He's about to make this situation in Ukraine so much worse
[01:00:08.080 --> 01:00:12.660]   So that Trump will have to inherit this mess. That is like the definition of grin
[01:00:12.660 --> 01:00:19.560]   Yeah, he definitely knew more than that picture let on because a lot of the interpretation of that picture was
[01:00:19.560 --> 01:00:25.880]   They are getting along. He's being super gracious. What an incredible gesture. It just looked like very
[01:00:25.880 --> 01:00:33.040]   He promised a smooth transition of power and then we find out that he didn't confer with his successor about
[01:00:33.040 --> 01:00:35.560]   this extraordinarily
[01:00:36.160 --> 01:00:43.080]   Meaningful decision to escalate the escalation. Yeah, it's like that's just crazy. It's crazy
[01:00:43.080 --> 01:00:47.000]   You guys want to do science corner? I got one for you. Yeah
[01:00:47.000 --> 01:00:53.200]   All right, your super fans are desperate for a science corner. Give him one free board. Give him something
[01:00:53.200 --> 01:00:57.440]   All right, I will give you guys something here. Here's a depressing
[01:00:57.440 --> 01:01:01.680]   Paper that was published in the journal nature just this week
[01:01:01.680 --> 01:01:04.480]   research team out of Switzerland
[01:01:05.200 --> 01:01:09.260]   going over to the Swiss where they are conducting extraordinary research in
[01:01:09.260 --> 01:01:11.400]   the
[01:01:11.400 --> 01:01:17.120]   Epigenetics of fat cells in so we're gonna fat shame me on the science corner. Go ahead. Great
[01:01:17.120 --> 01:01:22.760]   No, we're actually gonna understand perhaps why it is difficult for people that have been overweight
[01:01:22.760 --> 01:01:29.880]   Yes to keep the weight off. I did this and I think it's fascinating. Yeah, explain it. It is it is really incredible
[01:01:29.880 --> 01:01:32.480]   So remember we've talked about this many times in the past
[01:01:32.480 --> 01:01:35.920]   but every cell has your whole all your DNA all your genes and
[01:01:35.920 --> 01:01:42.800]   Certain genes are turned on or off in different cells and those genes being on or off
[01:01:42.800 --> 01:01:45.960]   Differentiates those cells and causes them to act differently
[01:01:45.960 --> 01:01:51.840]   That's the difference between an eye cell and a skin cell and a heart cell is they have different genes that are upregulated downregulated
[01:01:51.840 --> 01:01:53.920]   turned on and turned off and
[01:01:53.920 --> 01:02:00.340]   Even when you have different kinds of cells you have certain genes that are overexpressed or underexpressed or overregulated or upregulated or downregulated
[01:02:00.340 --> 01:02:06.860]   So that means that those genes are turning pumping out certain proteins that do certain things in that particular cell
[01:02:06.860 --> 01:02:12.860]   So what these folks did is they wanted to understand what is the epigenome meaning?
[01:02:12.860 --> 01:02:17.540]   What are the genes that are turned on or off or upregulated and downregulated in?
[01:02:17.540 --> 01:02:20.820]   fat tissue and fat cells and
[01:02:20.820 --> 01:02:24.860]   Does the epigenome change
[01:02:25.740 --> 01:02:29.980]   When an individual loses weight, so once they're obese and
[01:02:29.980 --> 01:02:37.280]   They lose weight to the fat cells actually change their epigenome or date. Do they have an epigenetic memory?
[01:02:37.280 --> 01:02:40.820]   Meaning that those cells even though the person has lost weight those cells
[01:02:40.820 --> 01:02:46.220]   Still continue to act as if that person were obese. So I'll tell you in humans
[01:02:46.220 --> 01:02:53.940]   They basically took five individuals that were obese and lost more than 25% BMI and they looked at the epigenome
[01:02:53.940 --> 01:02:58.860]   They looked at the markers of what genes are upregulated and downregulated before and after they lost the weight
[01:02:58.860 --> 01:03:05.620]   After they lost the weight there were a set of markers that were still upregulated that are associated with poor
[01:03:05.620 --> 01:03:11.980]   Metabolism and increased fibrosis and increased cellular death. So these are inflammatory genes
[01:03:11.980 --> 01:03:16.980]   These are genes that are associated with the cells being inefficient that utilizing glucose to create energy
[01:03:16.980 --> 01:03:21.860]   And so these cells continue to act like slow dying cells
[01:03:21.860 --> 01:03:28.100]   even after the person lost weight and they did the same thing in mice and they found similar results that they
[01:03:28.100 --> 01:03:30.340]   Caused these mice to gain weight
[01:03:30.340 --> 01:03:36.580]   Looked at the epigenome of the fat cells and then looked at the epigenome after they lost the weight and again the mouse
[01:03:36.580 --> 01:03:44.060]   Epigenome continued to act as if the mouse was obese. And what this means is that the metabolism remained reduced
[01:03:44.740 --> 01:03:48.300]   Fibrosis remained elevated and likelihood of cell death remained elevated
[01:03:48.300 --> 01:03:52.900]   so now they applied glucose in a petri dish to those cells and they saw that the
[01:03:52.900 --> 01:04:00.460]   Glucose had a harder time being fully being appropriately utilized from a healthy fat cell that hadn't been obese
[01:04:00.460 --> 01:04:05.860]   So it actually permanently alters and creates an epigenetic memory in the fat cells
[01:04:05.860 --> 01:04:08.940]   After obesity and this could explain
[01:04:09.540 --> 01:04:13.540]   Pretty significantly why when people that have been obese lose the weight
[01:04:13.540 --> 01:04:16.760]   they are more likely to gain the weight back and have a
[01:04:16.760 --> 01:04:24.460]   Weight off you're referring to yes, and that makes total sense because anybody who's added weight chamath if that you add but
[01:04:24.460 --> 01:04:29.340]   You know, you eat one extra Oreo a week. That's 3,500 calories
[01:04:29.340 --> 01:04:33.900]   You do that over 20 years all of a sudden you wake up one day you're 20 30 pounds overweight
[01:04:33.900 --> 01:04:35.900]   like I was three or four years ago and this is why I think
[01:04:36.180 --> 01:04:41.980]   Ozempic and we go V and on journal and all these things are so great because it does seem like it breaks you through that. No
[01:04:41.980 --> 01:04:48.440]   Well the problem what we do see in all those results that when you go off of the glp1 agonist grugs
[01:04:48.440 --> 01:04:53.100]   You gain the weight back very quickly. This is some amount of weight. Yeah
[01:04:53.100 --> 01:04:59.180]   It's a pretty significant bounce-back effect. So and and this is pretty well documented and
[01:04:59.180 --> 01:05:04.540]   So I think that it speaks to the why now the it also introduces an opportunity
[01:05:04.540 --> 01:05:09.180]   hmm, there are molecules that can turn certain genes on or off can now be identified and
[01:05:09.180 --> 01:05:14.660]   Utilized to change that epigenetic memory. So now there's that switch in addition
[01:05:14.660 --> 01:05:22.540]   Yeah, exactly. This could arise from things like increased exercise. It turns out that when you do significant amounts of cardiovascular exercise
[01:05:22.540 --> 01:05:29.740]   there are certain genes that are expressed that trigger other genes to switch on or off and so we can start to identify those particular
[01:05:29.740 --> 01:05:32.460]   molecules and
[01:05:32.460 --> 01:05:34.540]   produce either supplements or
[01:05:34.540 --> 01:05:43.140]   Additional drugs or combo therapies that can both knock the weight off and keep it off by changing the epigenetic memory in those cells
[01:05:43.140 --> 01:05:46.300]   Wow, and so it introduces a whole new class of opportunity
[01:05:46.300 --> 01:05:52.140]   For folks to explore how do we help folks that are obese lose the weight and then flip the switch that they can keep the
[01:05:52.140 --> 01:05:59.100]   Weight off. I've been doing rocking. This is like the old man activity that Peter Attia and these guys are all you put weights on
[01:05:59.100 --> 01:06:04.100]   And you like go walking where if I started with a 10-pound weight vest now, I'm at 35 pounds
[01:06:04.100 --> 01:06:08.580]   I do a mile and a half hike every day with 35 pounds on man. I fall asleep
[01:06:08.580 --> 01:06:11.340]   immediately and the amount of
[01:06:11.340 --> 01:06:14.860]   Intensity that puts on your body you do it right before you go to bed
[01:06:14.860 --> 01:06:21.260]   No, no, I do it anytime during the day, but I'm just saying it's it's I'm focused on four things right now with my health diet
[01:06:21.260 --> 01:06:22.980]   sleep
[01:06:22.980 --> 01:06:26.220]   Exercise meditation and I try to do all four each day
[01:06:26.220 --> 01:06:33.300]   But the rocking specifically in this zone two stuff is what they say 40 50 year old should focus on so that's what I'm focused on
[01:06:33.300 --> 01:06:38.580]   But that rocking man, does it make your whole body strong? I highly recommend it. It's really transformative
[01:06:38.580 --> 01:06:43.060]   My meditation is reading those essays for Chamath Palihapitiya
[01:06:43.060 --> 01:06:45.740]   German dictator
[01:06:45.740 --> 01:06:50.660]   80/90 he's running a software company services company great. Look at you in the driver's seat
[01:06:51.460 --> 01:06:58.100]   David Friedberg your Sultan of science working on a hollow and the architect the rain man
[01:06:58.100 --> 01:07:02.020]   yeah, definitely David sack from craft ventures and
[01:07:02.020 --> 01:07:07.060]   Maybe it's gonna be involved in doge. I wouldn't be surprised if we see a sacks doge
[01:07:07.060 --> 01:07:11.060]   Hook up in the future. I don't know. I'm taking a guess here. I am
[01:07:11.060 --> 01:07:13.580]   Your host here Jason Calacanis
[01:07:14.860 --> 01:07:20.940]   See you all on December 7th live or in person by the way, did you guys see this spectacular?
[01:07:20.940 --> 01:07:22.940]   Did you see this tweet from Brian Johnson?
[01:07:22.940 --> 01:07:26.340]   He tweeted out all of his blood levels. This is
[01:07:26.340 --> 01:07:29.340]   Incredible. I love this guy. Look at these results
[01:07:29.340 --> 01:07:36.300]   They're incredible if he can break this down into like a turnkey thing that mmm normal folks like us can
[01:07:36.300 --> 01:07:38.500]   follow
[01:07:38.500 --> 01:07:40.140]   for people who don't know
[01:07:40.140 --> 01:07:47.500]   What this kid's doing is he is spending like three million dollars a year or something to that effect on his own personal health
[01:07:47.500 --> 01:07:50.860]   Documenting it sharing it everything from sleep
[01:07:50.860 --> 01:07:56.620]   To his bone density. Everything is an open book and he's made some products out of it as well
[01:07:56.620 --> 01:08:01.660]   So you can you can eat his pudding - if you're interested in it, but I don't think it's as good as how do you follow?
[01:08:01.660 --> 01:08:05.540]   His regimen, you know what? I mean? Like it just seems too hard. You can't have a job
[01:08:05.540 --> 01:08:09.900]   I mean he's doing it's like he's got two jobs right now doing all this stuff. His biomarkers are showing
[01:08:09.900 --> 01:08:12.180]   He's ten years younger than his actual biological age
[01:08:12.180 --> 01:08:20.020]   Dude, look at some of these results his his speed of aging. He says his birthday now happens every 19 months
[01:08:20.020 --> 01:08:22.740]   What the?
[01:08:22.740 --> 01:08:26.220]   Freeberg I
[01:08:26.220 --> 01:08:31.660]   Mean free bird you you look at what do you think your science from a science perspective any thoughts on all this?
[01:08:32.020 --> 01:08:37.460]   Well, I think his nighttime erection rate is pretty impressive. Not three hours and eight minutes for a nighttime erection
[01:08:37.460 --> 01:08:41.420]   How does he is he reading? Is he reading Ilana Vivek's?
[01:08:41.420 --> 01:08:46.100]   He's reading it very slowly
[01:08:46.100 --> 01:08:52.460]   Wow, he's got a 240 pound bench press and an 800 pound leg press
[01:08:52.460 --> 01:08:56.380]   Jesus he looks like he's dead though. That's the only problem
[01:08:57.260 --> 01:09:02.620]   So pal sax has got to go DJT online - we'll see you all next time
[01:09:02.620 --> 01:09:04.620]   Oh
[01:09:04.620 --> 01:09:06.620]   Bye-bye
[01:09:07.620 --> 01:09:12.020]   We'll let your winners ride rain, man, David
[01:09:12.020 --> 01:09:18.580]   We open source it to the fans and they've just gone crazy
[01:09:19.580 --> 01:09:21.580]   Nice Queen
[01:09:21.580 --> 01:09:30.100]   Besties are
[01:09:30.100 --> 01:09:44.080]   We should all just get a room and just have one big huge orgy because they're all just like this like sexual tension
[01:09:44.080 --> 01:09:46.080]   But they just need to release
[01:09:48.180 --> 01:09:50.180]   What
[01:09:50.180 --> 01:09:52.180]   You
[01:09:52.180 --> 01:09:54.180]   Merch
[01:09:54.180 --> 01:09:56.180]   Oh
[01:09:56.180 --> 01:09:58.180]   You
[01:09:58.180 --> 01:10:00.180]   You
[01:10:01.020 --> 01:10:03.020]   I'm going
[01:10:03.020 --> 01:10:05.600]   (upbeat music)

