
[00:00:00.040 --> 00:00:10.620]   question
[01:22:38.440 --> 01:22:38.440]   The jury nullification was possible certainly after the mid-17th century to thwart the expansion of centralized power first in Great Britain and then in the United States.
[01:22:38.440 --> 01:22:38.440]   The jury nullification was possible certainly after the mid-17th century to thwart the expansion of centralized power first in Great Britain and then in the United States.
[01:22:38.440 --> 01:22:38.440]  , the jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the expansion of the United States.
[01:22:38.460 --> 01:23:08.460]   The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the United States.
[01:23:08.460 --> 01:23:08.460]   The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the United States.
[01:23:08.460 --> 01:23:08.460]   The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the United States.
[01:23:08.460 --> 01:23:08.460]   The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the United States.
[01:23:08.460 --> 01:23:08.460]   The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the United States.
[01:23:08.460 --> 01:23:08.460]   The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the United States.
[01:23:08.460 --> 01:23:08.460]   The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of United States.
[01:23:08.500 --> 01:23:38.480]  , The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the United States.
[01:23:38.480 --> 01:23:38.480]   The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the United States.
[01:23:38.480 --> 01:23:38.480]   The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the United States.
[01:23:38.480 --> 01:23:38.480]   The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the United States.
[01:23:38.480 --> 01:23:38.480]   The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the United States.
[01:23:38.480 --> 01:23:38.480]   The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the United States.
[01:23:38.480 --> 01:23:38.480]   The jury nullification was possible exception of centralized power first in the mid-17th century to thwart the expansion of the United States.
[01:23:38.520 --> 01:23:48.140]  cing
[01:23:48.140 --> 01:23:50.000]   И D, cow, 100,
[01:24:08.540 --> 01:24:18.900]   havoc
[01:24:18.900 --> 01:24:22.440]   they in, committee,
[01:24:22.440 --> 01:24:36.760]   pur de
[01:25:06.460 --> 01:25:06.460]   The free market is having its effect. Technology is having its effect. Communications are having a tremendous liberating effect in Mexico. And the country is different today from what it was 50 years ago. But Mexico is behind, and I don't think it's primarily because of geography. I think it's because the social and political order has represented a more hierarchical,
[01:25:06.460 --> 01:25:06.460]   I think it's because the social and political order has represented a more hierarchical,
[01:25:06.460 --> 01:25:06.460]   I think it's because the social and political order has represented a more hierarchical,
[01:25:06.460 --> 01:25:06.460]   I think it's because the social and political order has represented a more hierarchical,
[01:25:06.460 --> 01:25:06.460]   I think it's because the social and political order has represented a more hierarchical,
[01:25:06.460 --> 01:25:06.460]   I think it's because the social and political order has represented a more hierarchical,
[01:25:06.460 --> 01:25:06.480]   I think it's because the social and political order has represented a more hierarchical,
[01:25:06.480 --> 01:25:06.520]   I think it's because the social and political order has represented a more hierarchical,
[01:25:06.580 --> 01:25:08.620]   I think it's because the social and political order has represented a more hierarchical,
[01:25:08.620 --> 01:25:08.720]   I think it's because the social and political order has represented a more hierarchical,
[01:25:08.720 --> 01:25:13.580]   I think it's because the social and political order has represented a more hierarchical, system of ecclesiastical order than we have in a Protestant culture.
[01:25:13.580 --> 01:25:13.680]   I think it's because the social and political order has represented a more hierarchical, system of ecclesiastical order than we have in a Protestant culture.
[01:25:13.680 --> 01:25:26.580]   I think it's because the social and political order has represented a more hierarchical, system of ecclesiastical order than we have in a Protestant culture. And by the way that we have in Catholic culture in the United States, which looks amazingly like Protestant culture and especially that's true since the late 1960s.
[01:26:24.700 --> 01:26:51.960]   분들이 what
[01:26:51.960 --> 01:26:52.720]   след saying買 healent cal, 12,bing,,,,,,,,,,rage PV32 Nine Vielen S B Go B Tool leaders die why this is a . beginnings out and .eth. I'm out. I's. I. I. Ed. I. Ros. build a.an., the., sa., found the, govern the,MP, contrib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, gave,,업 a relatively Santa auch crying "G . splitting Bit "G but I'm too with a第一個 F geared even CC with letters in a "G at underetic orMP I've de encouraged by blen le Jo "iot einelò 12 sir controle "G's aico Creucci'm orlection as connect a hotteraug وب i gosh 'elijk con Ces … помог and at over особ Award P succeedsusters at kho bubble out of pare me men Wednesday
[01:26:52.820 --> 01:27:09.320]   I would be in one Central American country and listen to the things that people warned me about the neighboring Central American country, both of whose occupants had brown skin and spoke very similar Spanish, and yet there was an intense opposition to them.
[01:27:09.320 --> 01:27:20.940]   Or similarly, I have worked with Haitians, black Haitians here in South Florida, and the level of racial animus between black Haitians and
[01:27:20.980 --> 01:27:22.980]   meet
[01:27:22.980 --> 01:27:27.340]   is,
[01:27:51.000 --> 01:28:01.220]   less
[01:28:01.220 --> 01:28:04.560]   mindful. I haveich
[01:28:04.560 --> 01:28:20.980]   whale explain Black, ..,, ...,..,..,..,..., sh el因實ird어�ух Bill d Lee style h 잘 republic� setting rég look松
[01:28:21.000 --> 01:28:25.000]  berger: Well, give me an example.
[01:28:25.000 --> 01:28:51.000]   For my friend who says, "Well, I agree that justice is important, but I don't agree that the source of justice, of the ethic of justice, or let's go back to the ethic of coercion." Right? There are many secular libertarians who practice the non-aggression principle, who, who, who, who
[01:28:51.000 --> 01:28:51.000]   Корbett:
[01:28:51.000 --> 01:28:51.000]   Who
[01:28:51.000 --> 01:28:51.000]   That's right.
[01:28:51.000 --> 01:28:51.000]   But the thing is, if you look at the ethics of justice, you'll notice that there are a lot of people who are more liberal than others, and I'm not saying that they're more liberal than others, but I'm saying that they're more liberal than others, and I'm saying that the ethics of justice is important.
[01:28:51.000 --> 01:28:51.000]   Well, give me an example.
[01:28:51.040 --> 01:29:21.020]  ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.. Well, first of all, there are almost no libertarians. You're talking about a couple of thousands people holding an oddball position, so who are these guys? Yeah, there are people who say they hold that position, but they are on the fringe of the culture. They've only been two representatives of the position in the 20th century, and they're not the only representatives of the position in the 20th century.
[01:29:21.020 --> 01:29:21.020]   Yeah, they're not the representatives of the position in the 20th century, and they're not the representatives of the position in the 20th century.
[01:29:21.020 --> 01:29:21.020]  . They're not the representatives of the positions of the position in the 20th century. They're not the representatives of the position in the 20th century. They're not the representatives of the politicians of the position in the 20th century.
[01:29:21.040 --> 01:29:51.040]   The Republicans are not the representatives of the position in the 20th century.
[01:29:51.040 --> 01:29:51.040]   The Republicans are not the representatives of the position in the 20th century.
[01:29:51.040 --> 01:29:51.040]   The Republicans are not the representatives of the position in the 20th century.
[01:29:51.040 --> 01:29:51.040]   The Republicans are not the representatives of the position in the 20th century.
[01:29:51.040 --> 01:29:51.040]   The Republicans are not the representatives of the position in the 20th century.
[01:29:51.040 --> 01:29:51.040]   The Republicans are not the representatives of the position in the 20th century.
[01:29:51.040 --> 01:29:51.040]   The Republicans are not the representatives of the position in the 20th century.
[01:29:51.040 --> 01:29:51.040]   The Republicans are not the representatives of the position in the 20th century.
[01:29:51.040 --> 01:29:51.040]   The Republicans are not the representatives of the position in the 20th century.
[01:29:51.040 --> 01:29:51.040]   The Republicans are not the representatives of the position in the 20th century.
[01:29:51.040 --> 01:29:51.040]   The Republicans are not the representatives of the position in the 20th century.
[01:29:51.040 --> 01:29:51.040]   The Republicans are not the representatives of the position in the 20th century.
[01:30:21.060 --> 01:30:21.060]   The Republicans are not the representatives of the position in the 20th century.
[01:30:21.060 --> 01:30:21.060]   The Republicans are not the representatives of the position in the 20th century.
[01:30:21.060 --> 01:30:21.060]   The Republicans are not the representatives of the position in the 20th century.
[01:30:21.060 --> 01:30:21.060]   The Republicans are not the representatives of the position in the 20th century.
[01:30:21.060 --> 01:30:21.060]   The Republicans are not the representatives of the position in the 20th century.
[01:30:21.060 --> 01:30:21.060]   The Republicans are not the representatives of the position in the 20th century.
[01:30:21.060 --> 01:30:21.060]   The Republicans are not the representatives of the position in the 20th century.
[01:30:21.080 --> 01:30:51.080]   The Republicans are not the representatives of the position in the 20th century.
[01:30:51.080 --> 01:30:51.080]   The Republicans are not the representatives of the position in the 20th century.
[01:30:51.080 --> 01:30:51.080]   The Republicans are not the representatives of the position in the 20th century.
[01:30:51.080 --> 01:30:51.080]   The Republicans are not the representatives of the position in the 20th century.
[01:30:51.080 --> 01:30:51.080]   The Republicans are not the representatives of the position in the 20th century.
[01:30:51.080 --> 01:30:51.080]   The Republicans are not the representatives of the position in the 20th century.
[01:30:51.080 --> 01:30:51.080]   The Republicans are not the representatives of the position in the 20th century.
[01:30:51.080 --> 01:30:51.080]   The Republicans are not the representatives of the position in the 20th century.
[01:30:51.080 --> 01:30:51.080]   The Republicans are not the representatives of the position in the 20th century.
[01:30:51.080 --> 01:30:51.080]   The Republicans are not the representatives of the position in the 20th century.
[01:30:51.080 --> 01:30:51.080]   The Republicans are not the representatives of the position in the 20th century.
[01:30:51.080 --> 01:30:51.080]   The Republicans are not the representatives of the position in the 20th century.
[01:30:51.100 --> 01:31:21.100]   The Republicans are not the representatives of the position in the 20th century.
[01:31:21.100 --> 01:31:21.100]   The Republicans are not the representatives of the position in the 20th century.
[01:31:21.100 --> 01:31:21.100]   The Republicans are not the representatives of the position in the 20th century.
[01:31:21.100 --> 01:31:21.100]   The Republicans are not the representatives of the position in the 20th century.
[01:31:21.100 --> 01:31:21.100]   The Republicans are not the representatives of the position in the 20th century.
[01:31:21.100 --> 01:31:21.100]   The Republicans are not the representatives of the position in the 20th century.
[01:31:21.100 --> 01:31:21.100]   The Republicans are not the representatives of the position in the 20th century.
[01:31:21.100 --> 01:31:21.100]   The Republicans are not the representatives of the position in the 20th century.
[01:31:21.100 --> 01:31:21.100]   The Republicans are not the representatives of the position in the 20th century.
[01:31:21.120 --> 01:31:51.120]   The Republicans are not the representatives of the position in the 20th century.
[01:31:51.120 --> 01:31:51.120]   The Republicans are not the representatives of the position in the 20th century.
[01:31:51.120 --> 01:31:51.120]   The Republicans are not the representatives of the position in the 20th century.
[01:31:51.120 --> 01:31:51.120]   The Republicans are not the representatives of the position in the 20th century.
[01:31:51.120 --> 01:31:51.120]   The Republicans are not the representatives of the position in the 20th century.
[01:31:51.120 --> 01:31:51.120]   The Republicans are not the representatives of the position in the 20th century.
[01:31:51.120 --> 01:31:51.120]   The Republicans are not the representatives of the position in the 20th century.
[01:31:51.120 --> 01:31:51.120]   The Republicans are not the representatives of the position in the 20th century.
[01:31:51.120 --> 01:31:51.120]   The Republicans are not the representatives of the position in the 20th century.
[01:31:51.120 --> 01:31:51.120]   The Republicans are not the representatives of the position in the 20th century.
[01:31:51.140 --> 01:32:21.140]  ,
[01:32:21.140 --> 01:32:21.140]   The Republicans are not the representatives of the position in the 20th century.
[01:32:21.140 --> 01:32:21.140]   The Republicans are not the representatives of the position in the 20th century.
[01:32:21.140 --> 01:32:21.140]   The Republicans are not the representatives of the position in the 20th century.
[01:32:21.140 --> 01:32:21.140]   The Republicans are not the representatives of the position in the 20th century.
[01:32:21.140 --> 01:32:21.140]   The Republicans are not the representatives of the position in the 20th century.
[01:32:21.140 --> 01:32:21.140]   The Republicans are not the representatives of the position in the 20th century.
[01:32:21.140 --> 01:32:21.140]   The Republicans are not the representatives of the position in the 20th century.
[01:32:21.140 --> 01:32:21.140]   The Republicans are not the representatives of the position in the 20th century.
[01:32:21.140 --> 01:32:51.160]   the position in the 20th century.
[01:32:51.160 --> 01:32:51.160]   The Republicans are not the representatives of the position in the 20th century.
[01:32:51.160 --> 01:32:51.160]   The Republicans are not the representatives of the position in the 20th century.
[01:32:51.160 --> 01:32:51.160]   The Republicans are not the representatives of the position in the 20th century.
[01:32:51.160 --> 01:32:51.160]   The Republicans are not the representatives of the position in the 20th century.
[01:32:51.160 --> 01:32:51.160]   The Republicans are not the representatives of the position in the 20th century.
[01:32:51.160 --> 01:32:51.160]   The Republicans are not the representatives of the position in the 20th century.
[01:32:51.160 --> 01:32:51.160]   The Republicans are not the representatives of the position in the 20th century.
[01:32:51.160 --> 01:32:51.160]   The Republicans are not the representatives of the position in the 20th century.
[01:32:51.180 --> 01:33:21.180]   The Republicans are not the representatives of the position in the 20th century.
[01:33:21.180 --> 01:33:21.180]   The Republicans are not the representatives of the position in the 20th century.
[01:33:21.180 --> 01:33:21.180]   The Republicans are not the representatives of the position in the 20th century.
[01:33:21.180 --> 01:33:21.180]   The Republicans are not the representatives of the position in the 20th century.
[01:33:21.180 --> 01:33:21.180]   The Republicans are not the representatives of the position in the 20th century.
[01:33:21.180 --> 01:33:21.180]   The Republicans are not the representatives of the position in the 20th century.
[01:33:21.180 --> 01:33:21.180]   The Republicans are not the representatives of the position in the 20th century.
[01:33:21.180 --> 01:33:21.180]   The Republicans are not the representatives of the position in the 20th century.
[01:33:21.180 --> 01:33:21.180]   The Republicans are not the representatives of the position in the 20th century.
[01:33:21.180 --> 01:33:21.180]   The Republicans are not the representatives of the position in the 20th century.
[01:33:21.180 --> 01:33:21.180]   The Republicans are not the representatives of the position in the 20th century.
[01:33:21.180 --> 01:33:21.180]   The Republicans are not the representatives of the position in the 20th century.
[01:33:21.180 --> 01:33:51.200]   the position in the 20th century.
[01:33:51.200 --> 01:33:51.200]   The Republicans are not the representatives of the position in the 20th century.
[01:33:51.200 --> 01:33:51.200]   The Republicans are not the representatives of the position in the 20th century.
[01:33:51.200 --> 01:33:51.200]   The Republicans are not the representatives of the position in the 20th century.
[01:33:51.200 --> 01:33:51.200]   The Republicans are not the representatives of the position in the 20th century.
[01:33:51.200 --> 01:33:51.200]   The Republicans are not the representatives of the position in the 20th century.
[01:33:51.200 --> 01:33:51.200]   The Republicans are not the representatives of the position in the 20th century.
[01:33:51.200 --> 01:33:51.200]   The Republicans are not the representatives of the position in the 20th century.
[01:33:51.200 --> 01:33:51.200]   The Republicans are not the representatives of the position in the 20th century.
[01:33:51.220 --> 01:34:21.220]   The Republicans are not the representatives of the position in the 20th century.
[01:34:21.220 --> 01:34:21.220]   The Republicans are not the representatives of the position in the 20th century.
[01:34:21.220 --> 01:34:21.220]   The Republicans are not the representatives of the position in the 20th century.
[01:34:21.220 --> 01:34:21.220]   The Republicans are not the representatives of the position in the 20th century.
[01:34:21.220 --> 01:34:21.220]   The Republicans are not the representatives of the position in the 20th century.
[01:34:21.220 --> 01:34:21.220]   The Republicans are not the representatives of the position in the 20th century.
[01:34:21.220 --> 01:34:21.220]   The Republicans are not the representatives of the position in the 20th century.
[01:34:21.220 --> 01:34:21.220]   The Republicans are not the representatives of the position in the 20th century.
[01:34:21.220 --> 01:34:21.220]   The Republicans are not the representatives of the position in the 20th century.
[01:34:21.220 --> 01:34:21.220]   The Republicans are not the representatives of the position in the 20th century.
[01:34:21.220 --> 01:34:21.220]   The Republicans are not the representatives of the position in the 20th century.
[01:34:21.220 --> 01:34:21.220]   The Republicans are not the representatives of the position in the 20th century.
[01:34:21.220 --> 01:34:51.240]   the Republicans are not the representatives of the position in the 20th century.
[01:34:51.240 --> 01:34:51.240]   The Republicans are not the representatives of the position in the 20th century.
[01:34:51.240 --> 01:34:51.240]   The Republicans are not the representatives of the position in the 20th century.
[01:34:51.240 --> 01:34:51.240]   The Republicans are not the representatives of the position in the 20th century.
[01:34:51.240 --> 01:34:51.240]   The Republicans are not the representatives of the position in the 20th century.
[01:34:51.240 --> 01:34:51.240]   The Republicans are not the representatives of the position in the 20th century.
[01:34:51.240 --> 01:34:51.240]   The Republicans are not the representatives of the position in the 20th century.
[01:34:51.240 --> 01:34:51.240]   The Republicans are not the representatives of the position in the 20th century.
[01:34:51.240 --> 01:34:51.240]   The Republicans are not the representatives of the position in the 20th century.
[01:34:51.260 --> 01:35:21.260]   The Republicans are not the representatives of the position in the 20th century.
[01:35:21.260 --> 01:35:21.260]   The Republicans are not the representatives of the position in the 20th century.
[01:35:21.260 --> 01:35:21.260]   The Republicans are not the representatives of the position in the 20th century.
[01:35:21.260 --> 01:35:21.260]   The Republicans are not the representatives of the position in the 20th century.
[01:35:21.260 --> 01:35:21.260]   The Republicans are not the representatives of the position in the 20th century.
[01:35:21.260 --> 01:35:21.260]   The Republicans are not the representatives of the position in the 20th century.
[01:35:21.260 --> 01:35:21.260]   The Republicans are not the representatives of the position in the 20th century.
[01:35:21.260 --> 01:35:21.260]   The Republicans are not the representatives of the position in the 20th century.
[01:35:21.260 --> 01:35:21.260]   The Republicans are not the representatives of the position in the 20th century.
[01:35:21.260 --> 01:35:21.260]   The Republicans are not the representatives of the position in the 20th century.
[01:35:21.260 --> 01:35:21.260]   The Republicans are not the representatives of the position in the 20th century.
[01:35:21.260 --> 01:35:21.260]   The Republicans are not the representatives of the position in the 20th century.
[01:35:21.280 --> 01:35:51.280]   The Republicans are not the representatives of the position in the 20th century.
[01:35:51.280 --> 01:35:51.280]   The Republicans are not the representatives of the position in the 20th century.
[01:35:51.280 --> 01:35:51.280]   The Republicans are not the representatives of the position in the 20th century.
[01:35:51.280 --> 01:35:51.280]   The Republicans are not the representatives of the position in the 20th century.
[01:35:51.280 --> 01:35:51.280]   The Republicans are not the representatives of the position in the 20th century.
[01:35:51.280 --> 01:35:51.280]   The Republicans are not the representatives of the position in the 20th century.
[01:35:51.280 --> 01:35:51.280]   The Republicans are not the representatives of the position in the 20th century.
[01:35:51.280 --> 01:35:51.280]   The Republicans are not the representatives of the position in the 20th century.
[01:35:51.280 --> 01:35:51.280]   The Republicans are not the representatives of the position in the 20th century.
[01:35:51.280 --> 01:35:51.280]   The Republicans are not the representatives of the position in the 20th century.
[01:35:51.300 --> 01:36:21.300]   The Republicans are not the representatives of the position in the 20th century.
[01:36:21.300 --> 01:36:21.300]   The Republicans are not the representatives of the position in the 20th century.
[01:36:21.300 --> 01:36:21.300]   The Republicans are not the representatives of the position in the 20th century.
[01:36:21.300 --> 01:36:21.300]   The Republicans are not the representatives of the position in the 20th century.
[01:36:21.300 --> 01:36:21.300]   The Republicans are not the representatives of the position in the 20th century.
[01:36:21.300 --> 01:36:21.300]   The Republicans are not the representatives of the position in the 20th century.
[01:36:21.300 --> 01:36:21.300]   The Republicans are not the representatives of the position in the 20th century.
[01:36:21.300 --> 01:36:21.300]   The Republicans are not the representatives of the position in the 20th century.
[01:36:21.300 --> 01:36:21.300]   The Republicans are not the representatives of the position in the 20th century.
[01:36:21.300 --> 01:36:21.300]   The Republicans are not the representatives of the position in the 20th century.
[01:36:51.320 --> 01:36:51.320]   The Republicans are not the representatives of the position in the 20th century.
[01:36:51.320 --> 01:36:51.320]   The Republicans are not the representatives of the position in the 20th century.
[01:36:51.320 --> 01:36:51.320]   The Republicans are not the representatives of the position in the 20th century.
[01:36:51.320 --> 01:36:51.320]   The Republicans are not the representatives of the position in the 20th century.
[01:36:51.320 --> 01:36:51.320]   The Republicans are not the representatives of the position in the 20th century.
[01:36:51.320 --> 01:36:51.320]   The Republicans are not the representatives of the position in the 20th century.
[01:36:51.320 --> 01:36:51.320]   The Republicans are not the representatives of the position in the 20th century.
[01:36:51.340 --> 01:37:21.340]   The Republicans are not the representatives of the position in the 20th century.
[01:37:21.340 --> 01:37:21.340]   The Republicans are not the representatives of the position in the 20th century.
[01:37:21.340 --> 01:37:21.340]   The Republicans are not the representatives of the position in the 20th century.
[01:37:21.340 --> 01:37:21.340]   The Republicans are not the representatives of the position in the 20th century.
[01:37:21.340 --> 01:37:21.340]   The Republicans are not the representatives of the position in the 20th century.
[01:37:21.340 --> 01:37:21.340]   The Republicans are not the representatives of the position in the 20th century.
[01:37:21.340 --> 01:37:21.340]   The Republicans are not the representatives of the position in the 20th century.
[01:37:21.340 --> 01:37:21.340]   The Republicans are not the representatives of the position in the 20th century.
[01:37:21.340 --> 01:37:21.340]   The Republicans are not the representatives of the position in the 20th century.
[01:37:21.340 --> 01:37:21.340]   The Republicans are not the representatives of the position in the 20th century.
[01:37:21.340 --> 01:37:21.340]   The Republicans are not the representatives of the position in the 20th century.
[01:37:21.340 --> 01:37:21.340]   The Republicans are not the representatives of the position in the 20th century.
[01:37:21.360 --> 01:37:51.360]   The Republicans are not the representatives of the position in the 20th century.
[01:37:51.360 --> 01:37:51.360]   The Republicans are not the representatives of the position in the 20th century.
[01:37:51.360 --> 01:37:51.360]   The Republicans are not the representatives of the position in the 20th century.
[01:37:51.360 --> 01:37:51.360]   The Republicans are not the representatives of the position in the 20th century.
[01:37:51.360 --> 01:37:51.360]   The Republicans are not the representatives of the position in the 20th century.
[01:37:51.360 --> 01:37:51.360]   The Republicans are not the representatives of the position in the 20th century.
[01:37:51.360 --> 01:37:51.360]   The Republicans are not the representatives of the position in the 20th century.
[01:37:51.360 --> 01:37:51.360]   The Republicans are not the representatives of the position in the 20th century.
[01:37:51.360 --> 01:37:51.360]   The Republicans are not the representatives of the position in the 20th century.
[01:37:51.360 --> 01:37:51.360]   The Republicans are not the representatives of the position in the 20th century.
[01:37:51.360 --> 01:37:51.360]   The Republicans are not the representatives of the position in the 20th century.
[01:37:51.380 --> 01:38:21.380]  ,
[01:38:21.380 --> 01:38:21.380]   The Republicans are not the representatives of the position in the 20th century.
[01:38:21.380 --> 01:38:21.380]   The Republicans are not the representatives of the position in the 20th century.
[01:38:21.380 --> 01:38:21.380]   The Republicans are not the representatives of the position in the 20th century.
[01:38:21.380 --> 01:38:21.380]   The Republicans are not the representatives of the position in the 20th century.
[01:38:21.380 --> 01:38:21.380]   The Republicans are not the representatives of the position in the 20th century.
[01:38:21.380 --> 01:38:21.380]   The Republicans are not the representatives of the position in the 20th century.
[01:38:21.380 --> 01:38:21.380]   The Republicans are not the representatives of the position in the 20th century.
[01:38:21.380 --> 01:38:21.380]   The Republicans are not the representatives of the position in the 20th century.
[01:38:21.380 --> 01:38:51.400]  ,
[01:38:51.400 --> 01:38:51.400]   You've got to have probably, and certainly in our order, you've got to have elections in which there is peaceful transition where there's not a revolution every time some major political figure dies. There has to be a system of orderly judicial transition to the next generation. These are basic concepts. You've got to have an inheritance. If you can't inherit what you've built up, you can't leave that to your children.
[01:38:51.400 --> 01:38:51.400]   You've got to have an inheritance. If you can't inherit what you've built up, you can't leave that to your children.
[01:38:51.400 --> 01:38:51.400]   If you can't inherit what you've built up, you can't leave that to your children.
[01:38:51.400 --> 01:38:51.400]   If you can't leave that to your children.
[01:38:51.440 --> 01:39:02.500]  ,
[01:39:02.500 --> 01:39:19.460]   do. fists
[01:39:49.280 --> 01:39:49.280]   The
[01:39:49.280 --> 01:39:49.280]   The
[01:39:49.280 --> 01:39:49.280]   The
[01:39:49.280 --> 01:39:49.280]  � The Super-Rich have always evaded the problem. So, in your use of this covenant, I've, I've, the covenantal theology is not something that I, when, after reading your use of this covenant, I went back and started trying to study in the scripture, the various covenants to understand for myself from the text of scripture.
[01:39:49.280 --> 01:39:49.280]   The covenantal theology is not something that I, when, after reading your use of this covenant, I went back and started trying to study in the scripture, the various covenants to understand for myself from the text of scripture.
[01:39:49.280 --> 01:39:49.280]   The covenantal theology is not something that I, when, after reading your use of this covenant, I went back and started trying to study in the scripture, the various covenants to understand for myself from the text of scripture.
[01:40:47.160 --> 01:40:47.160]   I
[01:40:47.160 --> 01:40:47.160]   I
[01:40:47.200 --> 01:40:54.500]   is
[01:40:54.500 --> 01:40:57.320]   specifically, and, 잘
[01:40:57.320 --> 01:41:15.220]  ем E D L I acquire the co the .I. .In. .M.C.C.C.C.G,ing,
[01:43:12.500 --> 01:43:20.480]  ,
[01:43:20.480 --> 01:43:23.520]   care,
[01:47:21.100 --> 01:47:31.520]  --
[01:47:31.520 --> 01:47:32.120]   true. It even
[01:47:32.120 --> 01:47:33.140]   comin
[01:47:33.140 --> 01:47:49.600]   don in the demand the un the like a areow consult labor 이거를 Deteled cannot João erkliniz視ży視 changes him . . . . . . . . . . . . . . . . ., ., ., -, -, -, -, -, -, -, -, -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, grat Const çık Four aboutPERN, Shouldад just الذي kalGCDGP centralizedningsG repair毒 depositsG NieGGlenG continueW 2013G SSG encontrarG sowD carS lavaD is houseG sinha拍N B niggaiconG jointC blinds I'm over Hawaii's te.ses CareB
[01:47:49.620 --> 01:47:52.820]   sensational theology
[01:47:52.820 --> 01:47:55.420]   It's the issue of the covenantal divorce
[01:47:55.420 --> 01:47:57.800]   by God of
[01:47:57.800 --> 01:48:03.480]   Israel did that take place in 80 70 or didn't it and the and the systems?
[01:48:03.480 --> 01:48:06.400]   sort out on the basis of
[01:48:06.400 --> 01:48:12.820]   What was the divorce and what is the appropriate sanction for the divorce?
[01:48:12.820 --> 01:48:17.500]   Correct, so I you struck to the heart of the matter
[01:48:19.080 --> 01:48:47.980]   a great question
[01:48:47.980 --> 01:48:47.980]   The question is that what happens if you break the law?
[01:48:47.980 --> 01:48:48.080]   The question is that what happens if you break the law?
[01:48:48.080 --> 01:48:48.140]   The question is that what happens if you break the law?
[01:48:48.140 --> 01:48:48.160]   The question is that what happens if you break the law?
[01:48:48.160 --> 01:48:48.160]   The question is that what happens if you break the law?
[01:48:48.160 --> 01:48:48.160]   The question is that what happens if you break the law?
[01:48:48.160 --> 01:48:48.160]   The question is that what happens if you break the law?
[01:48:48.160 --> 01:48:48.160]   The question is that what happens if you break the law?
[01:48:48.160 --> 01:48:48.160]   The question is that what happens if you break the law?
[01:48:48.160 --> 01:49:18.180]   the question is that what happens if you break the law?
[01:49:18.180 --> 01:49:18.180]   The question is that what happens if you break the law?
[01:49:18.180 --> 01:49:18.180]   The question is that what happens if you break the law?
[01:49:18.180 --> 01:49:18.180]   The question is that what happens if you break the law?
[01:49:18.180 --> 01:49:18.180]   The question is that what happens if you break the law?
[01:49:18.180 --> 01:49:18.180]   The question is that what happens if you break the law?
[01:49:18.180 --> 01:49:18.180]   The question is that what happens if you break the law?
[01:49:18.180 --> 01:49:18.180]   The question is that what happens if you break the law?
[01:49:18.180 --> 01:49:18.180]   The question is that what happens if you break the law? The question is that what happens if you break the law?
[01:49:18.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:49:48.200]   The question is that what happens if you break the law?
[01:49:48.200 --> 01:50:18.220]   The question is that what happens if you break the law?
[01:50:18.220 --> 01:50:18.220]   The question is that what happens if you break the law?
[01:50:18.220 --> 01:50:18.220]   The question is that what happens if you break the law?
[01:50:18.220 --> 01:50:18.220]   The question is that what happens if you break the law?
[01:50:18.220 --> 01:50:18.220]   The question is that what happens if you break the law?
[01:50:18.220 --> 01:50:18.220]   The question is that what happens if you break the law?
[01:50:18.220 --> 01:50:18.220]   The question is that what happens if you break the law?
[01:50:18.220 --> 01:50:18.220]   The question is that what happens if you break the law?
