
[00:00:00.000 --> 00:00:29.980]   Thank you.
[00:35:01.860 --> 00:35:02.100]   know
[00:35:02.100 --> 00:35:03.380]   massive
[00:35:03.380 --> 00:35:03.960]   files
[00:35:03.960 --> 00:35:04.160]   and
[00:35:04.160 --> 00:35:06.140]   stuff
[00:35:06.140 --> 00:35:06.460]   that's
[00:35:06.460 --> 00:35:06.980]   all
[00:35:06.980 --> 00:35:07.140]   over
[00:35:07.140 --> 00:35:07.300]   the
[00:35:07.300 --> 00:35:07.620]   place
[00:35:07.620 --> 00:35:09.660]   oh
[00:35:09.660 --> 00:35:09.780]   and
[00:35:09.780 --> 00:35:10.020]   maybe
[00:35:10.020 --> 00:35:10.300]   one
[00:35:10.300 --> 00:35:10.560]   last
[00:35:10.560 --> 00:35:10.860]   thing
[00:35:10.860 --> 00:35:13.440]   and
[00:35:13.440 --> 00:35:13.600]   this
[00:35:13.600 --> 00:35:13.740]   is
[00:35:13.740 --> 00:35:14.060]   proven
[00:35:14.060 --> 00:35:14.460]   super
[00:35:14.460 --> 00:35:14.760]   handy
[00:35:14.760 --> 00:35:15.060]   so
[00:35:15.060 --> 00:35:15.340]   especially
[00:35:15.340 --> 00:35:15.660]   when you
[00:35:15.660 --> 00:35:15.920]   want to
[00:35:15.920 --> 00:35:16.760]   develop
[00:35:16.760 --> 00:35:17.160]   your own
[00:35:17.160 --> 00:35:17.540]   MCP
[00:35:17.540 --> 00:35:17.980]   servers
[00:35:17.980 --> 00:35:18.880]   or your
[00:35:18.880 --> 00:35:19.020]   own
[00:35:19.020 --> 00:35:19.480]   agents
[00:35:19.480 --> 00:35:20.260]   just
[00:35:20.260 --> 00:35:20.620]   take
[00:35:20.620 --> 00:35:20.800]   the
[00:35:20.800 --> 00:35:21.120]   time
[00:35:21.120 --> 00:35:21.920]   and
[00:35:21.920 --> 00:35:22.380]   scrape
[00:35:22.380 --> 00:35:22.780]   all
[00:35:22.780 --> 00:35:23.420]   documentation
[00:35:23.420 --> 00:35:24.220]   so
[00:35:24.220 --> 00:35:24.540]   I
[00:35:24.540 --> 00:35:24.880]   scraped
[00:35:24.880 --> 00:35:25.100]   all
[00:35:25.100 --> 00:35:25.720]   documentation
[00:35:25.720 --> 00:35:26.340]   open
[00:35:26.340 --> 00:35:26.520]   AI
[00:35:26.520 --> 00:35:26.880]   agents
[00:35:26.880 --> 00:35:27.200]   SDK
[00:35:27.200 --> 00:35:28.240]   open
[00:35:28.240 --> 00:35:28.660]   router
[00:35:28.660 --> 00:35:29.580]   MCP
[00:35:29.580 --> 00:35:30.020]   fire
[00:35:30.020 --> 00:35:30.380]   crawl
[00:35:30.380 --> 00:35:30.860]   fast
[00:35:30.860 --> 00:35:31.640]   MCP
[00:35:31.640 --> 00:35:32.560]   and then
[00:35:32.560 --> 00:35:32.840]   also
[00:35:32.840 --> 00:35:33.020]   for
[00:35:33.020 --> 00:35:34.280]   anthropic
[00:35:34.280 --> 00:35:36.000]   sub
[00:35:36.000 --> 00:35:36.460]   agents
[00:35:36.460 --> 00:35:37.260]   documentation
[00:35:37.260 --> 00:35:37.860]   MCP
[00:35:37.860 --> 00:35:38.500]   documentation
[00:35:38.500 --> 00:35:40.040]   because
[00:35:40.040 --> 00:35:40.520]   our
[00:35:40.520 --> 00:35:40.880]   cloud
[00:35:40.880 --> 00:35:41.320]   code
[00:35:41.320 --> 00:35:42.000]   so
[00:35:42.000 --> 00:35:42.140]   the
[00:35:42.140 --> 00:35:42.500]   agent
[00:35:42.500 --> 00:35:42.760]   the
[00:35:42.760 --> 00:35:43.240]   orchestrator
[00:35:43.240 --> 00:35:44.360]   when
[00:35:44.360 --> 00:35:46.040]   let's
[00:35:46.040 --> 00:35:46.260]   say for
[00:35:46.260 --> 00:35:46.580]   example
[00:35:46.580 --> 00:35:47.000]   I'm
[00:35:47.000 --> 00:35:47.380]   developing
[00:35:47.380 --> 00:35:47.540]   an
[00:35:47.540 --> 00:35:47.860]   MCP
[00:35:47.860 --> 00:35:48.220]   server
[00:35:48.220 --> 00:35:48.640]   for
[00:35:48.640 --> 00:35:48.880]   cloud
[00:35:48.880 --> 00:35:49.240]   code
[00:35:49.240 --> 00:35:49.980]   then
[00:35:49.980 --> 00:35:50.400]   it
[00:35:50.400 --> 00:35:50.560]   will
[00:35:50.560 --> 00:35:50.960]   also
[00:35:50.960 --> 00:35:51.580]   instruct
[00:35:51.580 --> 00:35:51.840]   the
[00:35:51.840 --> 00:35:52.340]   executor
[00:35:52.340 --> 00:35:52.760]   agents
[00:35:52.760 --> 00:35:53.480]   that
[00:35:53.480 --> 00:35:53.680]   this
[00:35:53.680 --> 00:35:54.060]   documentation
[00:35:54.060 --> 00:35:54.520]   is
[00:35:54.520 --> 00:35:54.820]   available
[00:35:54.820 --> 00:35:55.040]   to
[00:35:55.040 --> 00:35:55.240]   them
[00:35:55.240 --> 00:35:55.640]   because
[00:35:55.640 --> 00:35:55.980]   obviously
[00:35:55.980 --> 00:35:56.140]   it's
[00:35:56.140 --> 00:35:56.280]   not
[00:35:56.280 --> 00:35:56.420]   in
[00:35:56.420 --> 00:35:56.700]   training
[00:35:56.700 --> 00:35:57.020]   data
[00:35:57.020 --> 00:35:57.420]   so
[00:35:57.420 --> 00:35:57.620]   let's
[00:35:57.620 --> 00:35:57.780]   say
[00:35:57.780 --> 00:35:57.980]   they're
[00:35:57.980 --> 00:35:58.260]   working
[00:35:58.260 --> 00:35:58.580]   on
[00:35:58.580 --> 00:35:58.780]   some
[00:35:58.780 --> 00:35:59.100]   MCP
[00:35:59.100 --> 00:35:59.440]   server
[00:35:59.440 --> 00:36:00.140]   then
[00:36:00.140 --> 00:36:00.360]   every
[00:36:00.360 --> 00:36:00.960]   executor
[00:36:00.960 --> 00:36:01.440]   will
[00:36:01.440 --> 00:36:01.680]   get
[00:36:01.680 --> 00:36:02.000]   in
[00:36:02.000 --> 00:36:02.300]   there
[00:36:02.300 --> 00:36:02.700]   like
[00:36:02.700 --> 00:36:03.400]   prompt
[00:36:03.400 --> 00:36:03.880]   that
[00:36:03.880 --> 00:36:04.400]   orchestrator
[00:36:04.400 --> 00:36:04.740]   uses
[00:36:04.740 --> 00:36:05.240]   to invoke
[00:36:05.240 --> 00:36:05.500]   them
[00:36:05.500 --> 00:36:06.300]   it
[00:36:06.300 --> 00:36:06.500]   will
[00:36:06.500 --> 00:36:06.900]   get
[00:36:06.900 --> 00:36:07.500]   the
[00:36:07.500 --> 00:36:09.220]   path
[00:36:09.220 --> 00:36:10.020]   to
[00:36:10.020 --> 00:36:10.320]   this
[00:36:10.320 --> 00:36:10.680]   directory
[00:36:10.680 --> 00:36:11.380]   we
[00:36:11.380 --> 00:36:11.520]   also
[00:36:11.520 --> 00:36:11.700]   have
[00:36:11.700 --> 00:36:11.880]   a
[00:36:11.880 --> 00:36:12.160]   nice
[00:36:12.160 --> 00:36:12.480]   index
[00:36:12.480 --> 00:36:12.760]   file
[00:36:12.760 --> 00:36:13.000]   here
[00:36:13.000 --> 00:36:14.620]   which
[00:36:14.620 --> 00:36:15.120]   basically
[00:36:15.120 --> 00:36:16.260]   allows
[00:36:16.260 --> 00:36:16.680]   the
[00:36:16.680 --> 00:36:17.420]   tells
[00:36:17.420 --> 00:36:17.520]   the
[00:36:17.520 --> 00:36:17.840]   models
[00:36:17.840 --> 00:36:18.040]   what
[00:36:18.040 --> 00:36:18.340]   to
[00:36:18.340 --> 00:36:18.940]   grep
[00:36:18.940 --> 00:36:19.700]   you
[00:36:19.700 --> 00:36:19.860]   can
[00:36:19.860 --> 00:36:20.020]   see
[00:36:20.020 --> 00:36:20.420]   grep
[00:36:20.420 --> 00:36:20.860]   pattern
[00:36:20.860 --> 00:36:22.260]   documentation
[00:36:22.260 --> 00:36:24.020]   multi-agent
[00:36:24.020 --> 00:36:24.820]   evaluations
[00:36:24.820 --> 00:36:25.800]   mcp
[00:36:25.800 --> 00:36:26.200]   fast
[00:36:26.200 --> 00:36:26.740]   mcp
[00:36:26.740 --> 00:36:27.680]   agent
[00:36:27.680 --> 00:36:28.200]   sdk
[00:36:28.200 --> 00:36:29.020]   so
[00:36:29.020 --> 00:36:29.140]   it
[00:36:29.140 --> 00:36:29.360]   always
[00:36:29.360 --> 00:36:29.600]   tells
[00:36:29.600 --> 00:36:29.700]   it
[00:36:29.700 --> 00:36:29.840]   to
[00:36:29.840 --> 00:36:30.020]   read
[00:36:30.020 --> 00:36:30.140]   the
[00:36:30.140 --> 00:36:30.540]   index
[00:36:30.540 --> 00:36:30.780]   and
[00:36:30.780 --> 00:36:30.920]   then
[00:36:30.920 --> 00:36:31.060]   it
[00:36:31.060 --> 00:36:31.400]   knows
[00:36:31.400 --> 00:36:31.680]   okay
[00:36:31.680 --> 00:36:32.000]   shit
[00:36:32.000 --> 00:36:32.720]   I'm
[00:36:32.720 --> 00:36:32.940]   running
[00:36:32.940 --> 00:36:33.120]   into
[00:36:33.120 --> 00:36:33.300]   some
[00:36:33.300 --> 00:36:33.600]   issues
[00:36:33.600 --> 00:36:33.980]   with
[00:36:33.980 --> 00:36:34.420]   getting
[00:36:34.420 --> 00:36:34.600]   this
[00:36:34.600 --> 00:36:34.940]   mcp
[00:36:34.940 --> 00:36:35.120]   server
[00:36:35.120 --> 00:36:35.280]   to
[00:36:35.280 --> 00:36:35.440]   work
[00:36:35.440 --> 00:36:35.580]   for
[00:36:35.580 --> 00:36:35.780]   cloud
[00:36:35.780 --> 00:36:36.120]   code
[00:36:36.120 --> 00:36:36.980]   then
[00:36:36.980 --> 00:36:37.120]   it
[00:36:37.120 --> 00:36:37.400]   knows
[00:36:37.400 --> 00:36:37.560]   it
[00:36:37.560 --> 00:36:37.680]   can
[00:36:37.680 --> 00:36:37.980]   find
[00:36:37.980 --> 00:36:38.660]   documentation
[00:36:38.660 --> 00:36:39.260]   for
[00:36:39.260 --> 00:36:39.560]   cloud
[00:36:39.560 --> 00:36:39.860]   code
[00:36:39.860 --> 00:36:40.080]   with
[00:36:40.080 --> 00:36:40.460]   mcp
[00:36:40.460 --> 00:36:40.840]   servers
[00:36:40.840 --> 00:36:41.620]   exactly
[00:36:41.620 --> 00:36:42.500]   here
[00:36:42.500 --> 00:36:43.040]   and
[00:36:43.040 --> 00:36:43.200]   that
[00:36:43.200 --> 00:36:43.400]   just
[00:36:43.400 --> 00:36:43.680]   saves
[00:36:43.680 --> 00:36:44.960]   a lot
[00:36:44.960 --> 00:36:45.240]   time
[00:36:45.240 --> 00:36:45.400]   so
[00:36:45.400 --> 00:36:45.500]   I
[00:36:45.500 --> 00:36:45.600]   would
[00:36:45.600 --> 00:36:45.780]   say
[00:36:45.780 --> 00:36:46.180]   anytime
[00:36:46.180 --> 00:36:46.460]   we're
[00:36:46.460 --> 00:36:46.700]   working
[00:36:46.700 --> 00:36:46.900]   on
[00:36:46.900 --> 00:36:47.200]   some
[00:36:47.200 --> 00:36:48.580]   project
[00:36:48.580 --> 00:36:48.980]   that
[00:36:48.980 --> 00:36:49.160]   has
[00:36:49.160 --> 00:36:49.460]   some
[00:36:49.460 --> 00:36:49.920]   specific
[00:36:49.920 --> 00:36:50.380]   API
[00:36:50.380 --> 00:36:51.540]   which
[00:36:51.540 --> 00:36:51.780]   the
[00:36:51.780 --> 00:36:52.080]   models
[00:36:52.080 --> 00:36:52.300]   aren't
[00:36:52.300 --> 00:36:52.520]   super
[00:36:52.520 --> 00:36:52.840]   familiar
[00:36:52.840 --> 00:36:53.140]   with
[00:36:53.140 --> 00:36:53.440]   just
[00:36:53.440 --> 00:36:53.680]   scrape
[00:36:53.680 --> 00:36:53.800]   the
[00:36:53.800 --> 00:36:54.280]   documentation
[00:36:54.280 --> 00:36:55.280]   and
[00:36:55.280 --> 00:36:55.760]   make it
[00:36:55.760 --> 00:36:56.060]   available
[00:36:56.060 --> 00:36:56.280]   to
[00:36:56.280 --> 00:36:56.440]   your
[00:36:56.440 --> 00:36:56.640]   sub
[00:36:56.640 --> 00:36:57.100]   agents
[00:36:57.100 --> 00:36:58.320]   so
[00:36:58.320 --> 00:36:58.500]   that
[00:36:58.500 --> 00:36:58.640]   they
[00:36:58.640 --> 00:36:58.820]   can
[00:36:58.820 --> 00:36:59.100]   check
[00:36:59.100 --> 00:36:59.240]   it
[00:36:59.240 --> 00:36:59.480]   before
[00:36:59.480 --> 00:36:59.640]   they
[00:36:59.640 --> 00:36:59.800]   write
[00:36:59.800 --> 00:36:59.940]   the
[00:36:59.940 --> 00:37:00.140]   code
[00:37:00.140 --> 00:37:03.460]   okay
[00:37:03.460 --> 00:37:04.580]   I
[00:37:04.580 --> 00:37:04.780]   think
[00:37:04.780 --> 00:37:05.100]   that's
[00:37:05.100 --> 00:37:06.520]   awesome
[00:37:06.520 --> 00:37:07.240]   we've
[00:37:07.240 --> 00:37:07.880]   accumulated
[00:37:07.880 --> 00:37:08.360]   a set
[00:37:08.360 --> 00:37:08.500]   of
[00:37:08.500 --> 00:37:09.020]   questions
[00:37:09.020 --> 00:37:09.460]   if you
[00:37:09.460 --> 00:37:09.900]   if you're
[00:37:09.900 --> 00:37:10.140]   game
[00:37:10.140 --> 00:37:10.440]   to go
[00:37:10.440 --> 00:37:10.760]   through
[00:37:10.760 --> 00:37:11.060]   some
[00:37:11.060 --> 00:37:11.140]   of
[00:37:11.140 --> 00:37:11.220]   the
[00:37:11.220 --> 00:37:11.480]   questions
[00:37:11.480 --> 00:37:11.980]   people
[00:37:11.980 --> 00:37:12.440]   have
[00:37:12.440 --> 00:37:13.360]   so
[00:37:13.360 --> 00:37:13.480]   I'm
[00:37:13.480 --> 00:37:13.540]   going
[00:37:13.540 --> 00:37:13.620]   to
[00:37:13.620 --> 00:37:13.880]   start
[00:37:13.880 --> 00:37:14.340]   actually
[00:37:14.340 --> 00:37:14.800]   back
[00:37:14.800 --> 00:37:14.920]   at
[00:37:14.920 --> 00:37:15.840]   some
[00:37:15.840 --> 00:37:15.960]   of
[00:37:15.960 --> 00:37:16.040]   the
[00:37:16.040 --> 00:37:16.280]   earlier
[00:37:16.280 --> 00:37:16.580]   ones
[00:37:16.580 --> 00:37:16.840]   so
[00:37:16.840 --> 00:37:17.240]   actually
[00:37:17.240 --> 00:37:17.840]   just
[00:37:17.840 --> 00:37:18.400]   tactically
[00:37:18.400 --> 00:37:18.680]   flow
[00:37:18.680 --> 00:37:19.000]   asked
[00:37:19.000 --> 00:37:19.320]   about
[00:37:19.320 --> 00:37:19.880]   is
[00:37:19.880 --> 00:37:20.060]   there
[00:37:20.060 --> 00:37:20.320]   a
[00:37:20.320 --> 00:37:20.620]   VS
[00:37:20.620 --> 00:37:20.880]   code
[00:37:20.880 --> 00:37:21.320]   extension
[00:37:21.320 --> 00:37:21.640]   that's
[00:37:21.640 --> 00:37:21.840]   letting
[00:37:21.840 --> 00:37:22.000]   you
[00:37:22.000 --> 00:37:22.180]   play
[00:37:22.180 --> 00:37:22.360]   with
[00:37:22.360 --> 00:37:22.500]   the
[00:37:22.500 --> 00:37:23.120]   .DB
[00:37:23.120 --> 00:37:23.640]   inside
[00:37:23.640 --> 00:37:23.760]   of
[00:37:23.760 --> 00:37:23.860]   the
[00:37:23.860 --> 00:37:24.160]   IDE
[00:37:24.160 --> 00:37:24.500]   or
[00:37:24.500 --> 00:37:24.640]   is
[00:37:24.640 --> 00:37:24.820]   that
[00:37:24.820 --> 00:37:25.000]   a
[00:37:25.000 --> 00:37:25.200]   part
[00:37:25.200 --> 00:37:25.520]   of
[00:37:25.520 --> 00:37:26.180]   cursor
[00:37:26.180 --> 00:37:26.440]   oh
[00:37:26.440 --> 00:37:26.580]   yeah
[00:37:26.580 --> 00:37:26.880]   that's
[00:37:26.880 --> 00:37:27.200]   that
[00:37:27.200 --> 00:37:27.380]   is
[00:37:27.380 --> 00:37:27.680]   that
[00:37:27.680 --> 00:37:27.820]   is
[00:37:27.820 --> 00:37:28.040]   a
[00:37:28.040 --> 00:37:28.260]   VS
[00:37:28.260 --> 00:37:28.580]   code
[00:37:28.580 --> 00:37:29.300]   extension
[00:37:29.300 --> 00:37:30.240]   um
[00:37:30.240 --> 00:37:33.720]   let's
[00:37:33.720 --> 00:37:34.040]   see
[00:37:34.040 --> 00:37:39.160]   SQL
[00:37:39.160 --> 00:37:39.340]   I
[00:37:39.340 --> 00:37:39.640]   viewer
[00:37:39.640 --> 00:37:40.720]   got
[00:37:40.720 --> 00:37:40.880]   it
[00:37:40.880 --> 00:37:41.300]   perfect
[00:37:41.300 --> 00:37:42.440]   next
[00:37:42.440 --> 00:37:43.120]   question
[00:37:43.120 --> 00:37:43.820]   from
[00:37:43.820 --> 00:37:44.320]   Kyle
[00:37:44.320 --> 00:37:44.720]   was
[00:37:44.720 --> 00:37:45.240]   how
[00:37:45.240 --> 00:37:45.540]   are
[00:37:45.540 --> 00:37:45.780]   you
[00:37:45.780 --> 00:37:46.240]   framing
[00:37:46.240 --> 00:37:46.520]   the
[00:37:46.520 --> 00:37:46.800]   work
[00:37:46.800 --> 00:37:46.980]   when
[00:37:46.980 --> 00:37:47.100]   it
[00:37:47.100 --> 00:37:47.300]   gets
[00:37:47.300 --> 00:37:47.600]   handed
[00:37:47.600 --> 00:37:47.880]   to
[00:37:47.880 --> 00:37:48.080]   the
[00:37:48.080 --> 00:37:48.600]   reviewer
[00:37:48.600 --> 00:37:49.020]   agent
[00:37:49.020 --> 00:37:52.220]   um
[00:37:52.220 --> 00:37:52.780]   so
[00:37:52.780 --> 00:37:53.100]   for
[00:37:53.100 --> 00:37:53.320]   that
[00:37:53.320 --> 00:37:53.840]   I
[00:37:53.840 --> 00:37:54.080]   I
[00:37:54.080 --> 00:37:54.280]   meant
[00:37:54.280 --> 00:37:54.620]   like
[00:37:54.620 --> 00:37:55.040]   how
[00:37:55.040 --> 00:37:55.240]   are
[00:37:55.240 --> 00:37:55.660]   you
[00:37:55.660 --> 00:37:57.140]   framing
[00:37:57.140 --> 00:37:57.620]   like
[00:37:57.620 --> 00:37:58.220]   who
[00:37:58.220 --> 00:37:58.440]   is
[00:37:58.440 --> 00:37:58.800]   producing
[00:37:58.800 --> 00:37:58.960]   the
[00:37:58.960 --> 00:37:59.160]   work
[00:37:59.160 --> 00:37:59.480]   and
[00:37:59.480 --> 00:37:59.680]   from
[00:37:59.680 --> 00:37:59.860]   what
[00:37:59.860 --> 00:38:00.380]   perspective
[00:38:00.380 --> 00:38:00.860]   they're
[00:38:00.860 --> 00:38:01.360]   reviewing
[00:38:01.360 --> 00:38:01.660]   it
[00:38:01.660 --> 00:38:04.740]   um
[00:38:04.740 --> 00:38:05.020]   okay
[00:38:05.020 --> 00:38:05.320]   wait
[00:38:05.320 --> 00:38:05.880]   let me
[00:38:05.880 --> 00:38:06.480]   open
[00:38:06.480 --> 00:38:07.480]   yeah
[00:38:07.480 --> 00:38:07.860]   so
[00:38:07.860 --> 00:38:08.300]   personally
[00:38:08.300 --> 00:38:08.500]   with
[00:38:08.500 --> 00:38:08.740]   clud
[00:38:08.740 --> 00:38:08.920]   code
[00:38:08.920 --> 00:38:09.160]   whenever
[00:38:09.160 --> 00:38:09.560]   I ask
[00:38:09.560 --> 00:38:09.740]   it to
[00:38:09.740 --> 00:38:09.920]   review
[00:38:09.920 --> 00:38:10.080]   its
[00:38:10.080 --> 00:38:10.300]   own
[00:38:10.300 --> 00:38:10.680]   stuff
[00:38:10.680 --> 00:38:11.120]   it's
[00:38:11.120 --> 00:38:11.360]   it
[00:38:11.360 --> 00:38:11.720]   finds
[00:38:11.720 --> 00:38:12.200]   I mean
[00:38:12.200 --> 00:38:12.440]   it
[00:38:12.440 --> 00:38:12.900]   thinks
[00:38:12.900 --> 00:38:13.060]   it's
[00:38:13.060 --> 00:38:13.360]   great
[00:38:13.360 --> 00:38:14.080]   if
[00:38:14.080 --> 00:38:14.180]   I
[00:38:14.180 --> 00:38:14.380]   ask
[00:38:14.380 --> 00:38:14.480]   it
[00:38:14.480 --> 00:38:14.560]   to
[00:38:14.560 --> 00:38:14.740]   review
[00:38:14.740 --> 00:38:14.960]   my
[00:38:14.960 --> 00:38:15.200]   stuff
[00:38:15.200 --> 00:38:15.420]   it
[00:38:15.420 --> 00:38:15.600]   thinks
[00:38:15.600 --> 00:38:15.780]   it's
[00:38:15.780 --> 00:38:16.080]   great
[00:38:16.080 --> 00:38:16.520]   if
[00:38:16.520 --> 00:38:16.600]   I
[00:38:16.600 --> 00:38:16.800]   ask
[00:38:16.800 --> 00:38:16.900]   you
[00:38:16.900 --> 00:38:17.000]   to
[00:38:17.000 --> 00:38:17.240]   review
[00:38:17.240 --> 00:38:17.520]   somebody
[00:38:17.520 --> 00:38:17.940]   else's
[00:38:17.940 --> 00:38:18.180]   stuff
[00:38:18.180 --> 00:38:18.400]   even
[00:38:18.400 --> 00:38:18.500]   if
[00:38:18.500 --> 00:38:20.680]   it's
[00:38:20.680 --> 00:38:20.940]   the same
[00:38:20.940 --> 00:38:21.480]   stuff
[00:38:21.480 --> 00:38:22.000]   yeah
[00:38:22.000 --> 00:38:23.060]   um
[00:38:23.060 --> 00:38:23.580]   so
[00:38:23.580 --> 00:38:24.920]   from
[00:38:24.920 --> 00:38:25.320]   from my
[00:38:25.320 --> 00:38:25.700]   experience
[00:38:25.700 --> 00:38:26.000]   that
[00:38:26.000 --> 00:38:26.360]   hasn't
[00:38:26.360 --> 00:38:26.840]   been
[00:38:26.840 --> 00:38:28.040]   a huge
[00:38:28.040 --> 00:38:28.360]   problem
[00:38:28.360 --> 00:38:28.780]   I think
[00:38:28.780 --> 00:38:29.000]   that's
[00:38:29.000 --> 00:38:29.260]   probably
[00:38:29.260 --> 00:38:29.720]   because
[00:38:29.720 --> 00:38:30.760]   we set
[00:38:30.760 --> 00:38:31.080]   out
[00:38:31.080 --> 00:38:31.460]   like
[00:38:31.460 --> 00:38:31.860]   very
[00:38:31.860 --> 00:38:32.440]   strict
[00:38:32.440 --> 00:38:33.020]   compliance
[00:38:33.020 --> 00:38:33.420]   rules
[00:38:33.420 --> 00:38:34.000]   in
[00:38:34.000 --> 00:38:34.320]   this
[00:38:34.320 --> 00:38:34.840]   there's
[00:38:34.840 --> 00:38:35.020]   the
[00:38:35.020 --> 00:38:35.200]   sub
[00:38:35.200 --> 00:38:35.520]   agent
[00:38:35.520 --> 00:38:36.240]   mock
[00:38:36.240 --> 00:38:36.380]   time
[00:38:36.380 --> 00:38:36.620]   file
[00:38:36.620 --> 00:38:37.540]   so
[00:38:37.540 --> 00:38:37.920]   you
[00:38:37.920 --> 00:38:38.060]   can
[00:38:38.060 --> 00:38:38.240]   see
[00:38:38.240 --> 00:38:38.420]   here
[00:38:38.420 --> 00:38:38.900]   reject
[00:38:38.900 --> 00:38:39.300]   if
[00:38:39.300 --> 00:38:40.000]   there's
[00:38:40.000 --> 00:38:40.140]   a whole
[00:38:40.140 --> 00:38:40.320]   bunch
[00:38:40.320 --> 00:38:40.420]   of
[00:38:40.420 --> 00:38:40.780]   rules
[00:38:40.780 --> 00:38:41.500]   common
[00:38:41.500 --> 00:38:42.180]   violations
[00:38:42.180 --> 00:38:44.520]   ACDD
[00:38:44.520 --> 00:38:45.200]   testing
[00:38:45.200 --> 00:38:47.700]   and then
[00:38:47.700 --> 00:38:47.960]   there's
[00:38:47.960 --> 00:38:48.140]   like
[00:38:48.140 --> 00:38:48.760]   a protocol
[00:38:48.760 --> 00:38:49.280]   that has
[00:38:49.280 --> 00:38:49.420]   to
[00:38:49.420 --> 00:38:49.780]   follow
[00:38:49.780 --> 00:38:50.840]   for
[00:38:50.840 --> 00:38:51.960]   verification
[00:38:51.960 --> 00:38:52.620]   of the
[00:38:52.620 --> 00:38:53.020]   tests
[00:38:53.020 --> 00:38:54.080]   right
[00:38:54.080 --> 00:38:54.760]   and
[00:38:54.760 --> 00:38:55.960]   from
[00:38:55.960 --> 00:38:56.360]   my
[00:38:56.360 --> 00:38:56.800]   experience
[00:38:56.800 --> 00:38:57.320]   if
[00:38:57.320 --> 00:38:57.480]   you
[00:38:57.480 --> 00:38:57.600]   are
[00:38:57.600 --> 00:38:57.860]   very
[00:38:57.860 --> 00:38:58.320]   deliberate
[00:38:58.320 --> 00:38:59.040]   in
[00:38:59.040 --> 00:39:00.480]   establishing
[00:39:00.480 --> 00:39:01.160]   for the
[00:39:01.160 --> 00:39:01.480]   agent
[00:39:01.480 --> 00:39:01.840]   what
[00:39:01.840 --> 00:39:02.000]   is
[00:39:02.000 --> 00:39:02.220]   good
[00:39:02.220 --> 00:39:02.400]   what
[00:39:02.400 --> 00:39:02.540]   is
[00:39:02.540 --> 00:39:02.900]   bad
[00:39:02.900 --> 00:39:03.540]   you
[00:39:03.540 --> 00:39:03.660]   know
[00:39:03.660 --> 00:39:03.840]   like
[00:39:03.840 --> 00:39:04.400]   violation
[00:39:04.400 --> 00:39:05.700]   so
[00:39:05.700 --> 00:39:05.920]   if
[00:39:05.920 --> 00:39:06.180]   any
[00:39:06.180 --> 00:39:06.340]   of
[00:39:06.340 --> 00:39:06.600]   these
[00:39:06.600 --> 00:39:06.940]   like
[00:39:06.940 --> 00:39:07.980]   protocols
[00:39:07.980 --> 00:39:08.140]   are
[00:39:08.140 --> 00:39:08.480]   violated
[00:39:08.480 --> 00:39:09.080]   it
[00:39:09.080 --> 00:39:09.360]   must
[00:39:09.360 --> 00:39:09.740]   set
[00:39:09.740 --> 00:39:10.060]   the
[00:39:10.060 --> 00:39:10.460]   decision
[00:39:10.460 --> 00:39:10.800]   to
[00:39:10.800 --> 00:39:11.100]   needs
[00:39:11.100 --> 00:39:11.480]   fixes
[00:39:11.480 --> 00:39:12.260]   right
[00:39:12.260 --> 00:39:13.460]   and
[00:39:13.460 --> 00:39:14.740]   I
[00:39:14.740 --> 00:39:14.960]   think
[00:39:14.960 --> 00:39:15.320]   for me
[00:39:15.320 --> 00:39:15.660]   that's
[00:39:15.660 --> 00:39:15.860]   kind
[00:39:15.860 --> 00:39:16.020]   of
[00:39:16.020 --> 00:39:16.380]   solved
[00:39:16.380 --> 00:39:16.600]   a lot
[00:39:16.600 --> 00:39:16.840]   of it
[00:39:16.840 --> 00:39:17.080]   I
[00:39:17.080 --> 00:39:17.240]   think
[00:39:17.240 --> 00:39:17.380]   if
[00:39:17.380 --> 00:39:17.460]   you
[00:39:17.460 --> 00:39:17.620]   just
[00:39:17.620 --> 00:39:17.900]   ask
[00:39:17.900 --> 00:39:18.160]   is it
[00:39:18.160 --> 00:39:18.320]   good
[00:39:18.320 --> 00:39:18.440]   or
[00:39:18.440 --> 00:39:18.680]   bad
[00:39:18.680 --> 00:39:19.020]   it's
[00:39:19.020 --> 00:39:19.220]   and
[00:39:19.220 --> 00:39:19.680]   most
[00:39:19.680 --> 00:39:19.800]   of
[00:39:19.800 --> 00:39:19.840]   the
[00:39:19.840 --> 00:39:20.000]   time
[00:39:20.000 --> 00:39:20.120]   it's
[00:39:20.120 --> 00:39:20.220]   going
[00:39:20.220 --> 00:39:20.340]   to
[00:39:20.340 --> 00:39:20.860]   say
[00:39:20.860 --> 00:39:21.080]   like
[00:39:21.080 --> 00:39:21.300]   yeah
[00:39:21.300 --> 00:39:21.720]   it's
[00:39:21.720 --> 00:39:21.960]   great
[00:39:21.960 --> 00:39:22.340]   it's
[00:39:22.340 --> 00:39:22.660]   perfect
[00:39:22.660 --> 00:39:23.360]   nothing
[00:39:23.360 --> 00:39:23.520]   wrong
[00:39:23.520 --> 00:39:23.660]   with
[00:39:23.660 --> 00:39:23.900]   this
[00:39:23.900 --> 00:39:24.360]   but
[00:39:24.360 --> 00:39:24.460]   if
[00:39:24.460 --> 00:39:24.560]   you
[00:39:24.560 --> 00:39:24.760]   tell
[00:39:24.760 --> 00:39:24.900]   it
