
[00:00:00.000 --> 00:00:02.240]   a generally well-educated human.
[00:59:37.340 --> 00:59:40.100]   that's a very small fraction of what needs to be done, right?
[00:59:40.100 --> 00:59:41.900]   It's very easy to come up with these methods,
[00:59:41.900 --> 00:59:43.580]   it's very easy to come up with like,
[00:59:43.580 --> 00:59:46.580]   oh, the problem is X, maybe a solution is Y,
[00:59:46.580 --> 00:59:49.460]   but, you know, I really wanna know,
[00:59:49.460 --> 00:59:51.260]   you know, whether things work in practice,
[00:59:51.260 --> 00:59:53.380]   even for the systems we have today,
[00:59:53.380 --> 00:59:55.580]   and I wanna know what kinds of things go wrong with them.
[00:59:55.580 --> 00:59:58.780]   I just feel like you discover 10 new ideas
[00:59:58.780 --> 01:00:00.740]   and 10 new ways that things are gonna go wrong
[01:00:00.740 --> 01:00:02.180]   by trying these in practice.
[01:00:02.180 --> 01:00:05.220]   And that empirical learning,
[01:00:05.220 --> 01:00:08.540]   I think it's just not as widely understood as it should be.
[01:00:08.540 --> 01:00:10.140]   Kind of, you know, I would say the same thing
[01:00:10.140 --> 01:00:12.340]   about methods like constitutional AI.
[01:00:12.340 --> 01:00:13.820]   And some people say, oh, it doesn't matter,
[01:00:13.820 --> 01:00:15.700]   like we know this method doesn't work,
[01:00:15.700 --> 01:00:18.020]   it won't work for, you know, pure alignment.
[01:00:18.020 --> 01:00:20.220]   I neither agree nor disagree with that.
[01:00:20.220 --> 01:00:22.100]   I think that's just kind of overconfident.
[01:00:22.100 --> 01:00:23.940]   The way we discover new things
[01:00:23.940 --> 01:00:25.860]   and understand the structure of what's gonna work
[01:00:25.860 --> 01:00:28.740]   and what's not is by playing around with things.
[01:00:28.740 --> 01:00:30.580]   Not that we should just kind of blindly say,
[01:00:30.580 --> 01:00:32.900]   oh, this worked here and so it'll work there,
[01:00:32.900 --> 01:00:36.180]   but you really start to understand the patterns,
[01:00:36.180 --> 01:00:38.300]   like with the scaling laws.
[01:00:38.300 --> 01:00:39.940]   Even mechanistic interpretability,
[01:00:39.940 --> 01:00:42.620]   which might be the one area I see
[01:00:42.620 --> 01:00:44.220]   where a lot of progress has been made
[01:00:44.220 --> 01:00:46.220]   without the frontier models.
[01:00:46.220 --> 01:00:47.740]   We're, you know, we're seeing in, you know,
[01:00:47.740 --> 01:00:51.620]   the work that say OpenAI put out a couple months ago
[01:00:51.620 --> 01:00:54.540]   that, you know, using very powerful models
[01:00:54.540 --> 01:00:57.740]   to help you auto interpret the weak models.
[01:00:57.740 --> 01:01:00.140]   Again, that's not everything you can do in interpretability,
[01:01:00.140 --> 01:01:02.660]   but, you know, that's a big component of it.
[01:01:02.660 --> 01:01:05.500]   And we, you know, we found it useful too.
[01:01:05.500 --> 01:01:09.660]   And so you see this phenomenon over and over again,
[01:01:09.660 --> 01:01:12.860]   where it's like, you know, the scaling and the safety
[01:01:12.860 --> 01:01:16.020]   are these two snakes that are like coiled with each other,
[01:01:16.020 --> 01:01:17.580]   always even more than you think, right?
[01:01:17.580 --> 01:01:19.420]   I, you know, with interpretability,
[01:01:19.420 --> 01:01:20.980]   like I think three years ago,
[01:01:20.980 --> 01:01:22.580]   I didn't think that this would be as true
[01:01:22.580 --> 01:01:25.580]   of interpretability, but somehow it manages to be true.
[01:01:25.580 --> 01:01:27.780]   Why? Because intelligence is useful.
[01:01:27.780 --> 01:01:29.420]   It's useful for a number of tasks.
[01:01:29.420 --> 01:01:32.260]   One of the tasks it's useful for is like figuring out
[01:01:32.260 --> 01:01:34.820]   how to judge and evaluate other intelligence,
[01:01:34.820 --> 01:01:36.700]   and maybe someday even for, you know,
[01:01:36.700 --> 01:01:38.500]   doing the alignment research itself.
[01:01:38.500 --> 01:01:39.460]   - Given all that's true,
[01:01:39.460 --> 01:01:41.300]   what does that imply for Anthropic
[01:01:41.300 --> 01:01:43.220]   when in two to three years these Leviathans
[01:01:43.220 --> 01:01:45.540]   are doing like $10 billion training runs?
[01:01:45.540 --> 01:01:49.580]   - Choice one is if we can't, or if it costs too much
[01:01:49.580 --> 01:01:51.820]   to stay on the frontier, then, you know,
[01:01:51.820 --> 01:01:54.460]   then we shouldn't do it.
[01:01:54.460 --> 01:01:56.980]   And, you know, we won't work with the most advanced models.
[01:01:56.980 --> 01:01:58.700]   We'll see what we can get with, you know,
[01:01:58.700 --> 01:02:00.500]   models that are not quite as advanced.
[01:02:00.500 --> 01:02:03.380]   I think you can get some value there, like non-zero value,
[01:02:03.380 --> 01:02:07.380]   but I'm kind of skeptical that the value is all that high
[01:02:07.380 --> 01:02:08.900]   or the learning can be fast enough
[01:02:08.900 --> 01:02:11.500]   to really be in favor of the task.
[01:02:11.500 --> 01:02:14.220]   The second option is you just find a way.
[01:02:14.220 --> 01:02:17.740]   You just, you know, you just accept the trade-offs.
[01:02:17.740 --> 01:02:20.900]   And I think the trade-offs are more positive
[01:02:20.900 --> 01:02:23.260]   than they appear because of a phenomenon
[01:02:23.260 --> 01:02:25.420]   that I've called race to the top.
[01:02:25.420 --> 01:02:26.700]   I could go into that later,
[01:02:26.700 --> 01:02:29.300]   but I'll just, let me put that aside for now.
[01:02:29.300 --> 01:02:31.900]   And then I think the third phenomenon is, you know,
[01:02:31.900 --> 01:02:35.060]   as things get to that scale,
[01:02:35.060 --> 01:02:38.260]   I think this may coincide with, you know,
[01:02:38.260 --> 01:02:41.820]   starting to get into some non-trivial probability
[01:02:41.820 --> 01:02:43.540]   of very serious danger.
[01:02:43.540 --> 01:02:46.380]   Again, I think it's gonna come first from misuse,
[01:02:46.380 --> 01:02:48.700]   the kind of bio stuff that I talked about,
[01:02:48.700 --> 01:02:51.740]   but I don't think we have the level of autonomy yet
[01:02:51.740 --> 01:02:54.220]   to worry about some of the, you know,
[01:02:54.220 --> 01:02:57.820]   alignment stuff happening in like two years,
[01:02:57.820 --> 01:03:01.020]   but it might not be very far behind that at all.
[01:03:01.020 --> 01:03:06.020]   You know, that may lead to unilateral or multilateral
[01:03:06.020 --> 01:03:09.020]   or government-enforced, which we support,
[01:03:09.020 --> 01:03:13.180]   decisions not to scale as fast as we could.
[01:03:13.180 --> 01:03:14.700]   That may end up being the right thing to do.
[01:03:14.700 --> 01:03:16.980]   So, you know, actually that's kind of like,
[01:03:16.980 --> 01:03:19.660]   I kind of hope things go in that direction.
[01:03:19.660 --> 01:03:21.540]   And then we don't have this hard trade-off
[01:03:21.540 --> 01:03:22.820]   between we're not on the frontier
[01:03:22.820 --> 01:03:25.980]   and we can't quite do the research as well as we want
[01:03:25.980 --> 01:03:28.500]   or influence other orgs as well as we want,
[01:03:28.500 --> 01:03:30.940]   or versus we're kind of on the frontier
[01:03:30.940 --> 01:03:33.060]   and like have to accept the trade-offs,
[01:03:33.060 --> 01:03:34.780]   which are net positive,
[01:03:34.780 --> 01:03:37.780]   but like have a lot in both directions.
[01:03:37.780 --> 01:03:39.900]   - Okay, on the misuse versus misalignment,
[01:03:39.900 --> 01:03:41.740]   those are both problems, as you mentioned,
[01:03:41.740 --> 01:03:43.980]   but in the long scheme of things,
[01:03:43.980 --> 01:03:46.180]   what are you more concerned about?
[01:03:46.180 --> 01:03:47.540]   Like 30 years down the line,
[01:03:47.540 --> 01:03:49.540]   which do you think will be considered a bigger problem?
[01:03:49.540 --> 01:03:51.620]   - I think it's gonna be much less than 30 years,
[01:03:51.620 --> 01:03:53.380]   but I'm worried about both.
[01:03:53.380 --> 01:03:57.900]   I don't know, if you have a model that could, in theory,
[01:03:57.900 --> 01:04:00.580]   you know, like take over the world on its own,
[01:04:00.580 --> 01:04:02.100]   if you were able to control that model,
[01:04:02.100 --> 01:04:05.300]   then it follows pretty simply that, you know,
[01:04:05.300 --> 01:04:07.020]   if a model was following the wishes
[01:04:07.020 --> 01:04:09.580]   of some small subset of people and not others,
[01:04:09.580 --> 01:04:10.820]   then those people could use it
[01:04:10.820 --> 01:04:13.220]   to take over the world on their behalf.
[01:04:13.220 --> 01:04:15.980]   The very premise of misalignment
[01:04:15.980 --> 01:04:18.860]   means that we should be worried about misuse as well,
[01:04:18.860 --> 01:04:21.220]   with similar levels of consequences.
[01:04:21.220 --> 01:04:23.220]   - But some people who might be more doomery
[01:04:23.220 --> 01:04:26.860]   than you would say misuse is,
[01:04:26.860 --> 01:04:29.860]   you're already working towards the optimistic scenario there
[01:04:29.860 --> 01:04:31.500]   because you've at least figured out
[01:04:31.500 --> 01:04:34.180]   how to align the model with the bad guys.
[01:04:34.180 --> 01:04:35.620]   Now you just need to make sure
[01:04:35.620 --> 01:04:37.100]   it's aligned with the good guys instead.
[01:04:37.100 --> 01:04:38.580]   Why do you think that you could get to the point
[01:04:38.580 --> 01:04:40.780]   where it's aligned with the bad, you know,
[01:04:40.780 --> 01:04:42.060]   where you haven't already solved it?
[01:04:42.060 --> 01:04:43.220]   - I guess if you had the view
[01:04:43.220 --> 01:04:45.660]   that like alignment is completely unsolvable,
[01:04:45.660 --> 01:04:47.820]   then you'd be like, well, I don't, you know,
[01:04:47.820 --> 01:04:50.340]   we're dead anyway, so I don't wanna worry about misuse.
[01:04:50.340 --> 01:04:51.660]   That's not my position at all.
[01:04:51.660 --> 01:04:54.180]   But also like, you should think in terms of like,
[01:04:54.180 --> 01:04:56.460]   what's a plan that would actually succeed
[01:04:56.460 --> 01:04:57.780]   that would make things good?
[01:04:57.780 --> 01:04:59.860]   Any plan that actually succeeds,
[01:04:59.860 --> 01:05:02.700]   regardless of how hard misalignment is to solve,
[01:05:02.700 --> 01:05:05.460]   any problem, any plan that actually succeeds
[01:05:05.460 --> 01:05:08.020]   is gonna need to solve misuse as well as misalignment.
[01:05:08.020 --> 01:05:10.380]   It's gonna need to solve the fact that like,
[01:05:10.380 --> 01:05:14.060]   as the AI models get better, you know, faster and faster,
[01:05:14.060 --> 01:05:15.540]   they're gonna create a big problem
[01:05:15.540 --> 01:05:17.860]   around the balance of power between countries.
[01:05:17.860 --> 01:05:20.060]   They're gonna create a big problem around
[01:05:20.060 --> 01:05:22.940]   is it possible for a single individual to do something bad
[01:05:22.940 --> 01:05:25.460]   that it's hard for everyone else to stop?
[01:05:25.460 --> 01:05:28.420]   Any actual solution that leads to a good future
[01:05:28.420 --> 01:05:30.220]   needs to solve those problems as well.
[01:05:30.220 --> 01:05:32.260]   If your perspective is we're screwed
[01:05:32.260 --> 01:05:33.980]   because we can't solve the first problem,
[01:05:33.980 --> 01:05:36.100]   so don't worry about problems two and three,
[01:05:36.100 --> 01:05:38.060]   like that's not really a statement
[01:05:38.060 --> 01:05:39.940]   you shouldn't worry about problems two and three, right?
[01:05:39.940 --> 01:05:43.100]   Like they're in our path no matter what.
[01:05:43.100 --> 01:05:45.140]   - Yeah, in the scenario we succeed, we have to solve all.
[01:05:45.140 --> 01:05:46.380]   So yeah, we might as well operate.
[01:05:46.380 --> 01:05:49.100]   - We should be planning for success, not for failure.
[01:05:49.100 --> 01:05:50.300]   - If misuse doesn't happen
[01:05:50.300 --> 01:05:53.140]   and the right people have the superhuman models,
[01:05:53.140 --> 01:05:54.300]   what does that look like?
[01:05:54.300 --> 01:05:55.460]   Like who are the right people?
[01:05:55.460 --> 01:05:57.580]   Who is actually controlling the model
[01:05:57.580 --> 01:05:58.620]   from five years from now?
[01:05:58.620 --> 01:06:01.500]   - Yeah, I mean, my view is that
[01:06:01.500 --> 01:06:04.900]   these things are powerful enough that I think, you know,
[01:06:04.900 --> 01:06:08.300]   it's going to involve, you know, substantial role
[01:06:08.300 --> 01:06:10.820]   or at least involvement of, you know,
[01:06:10.820 --> 01:06:14.620]   some kind of government or assembly of government bodies.
[01:06:14.620 --> 01:06:15.940]   Again, like, you know,
[01:06:15.940 --> 01:06:18.540]   there are kind of very naive versions of this.
[01:06:18.540 --> 01:06:20.900]   Like, you know, I don't think we should just, you know,
[01:06:20.900 --> 01:06:23.820]   I don't know, like hand the model over to the UN
[01:06:23.820 --> 01:06:26.220]   or whoever happens to be in office at a given time.
[01:06:26.220 --> 01:06:27.940]   Like I could see that go poorly,
[01:06:27.940 --> 01:06:30.260]   but it's too powerful.
[01:06:30.260 --> 01:06:33.180]   There needs to be some kind of legitimate process
[01:06:33.180 --> 01:06:35.220]   for managing this technology,
[01:06:35.220 --> 01:06:37.340]   which, you know, includes the role
[01:06:37.340 --> 01:06:38.460]   of the people building it,
[01:06:38.460 --> 01:06:40.220]   includes the role of like
[01:06:40.220 --> 01:06:42.140]   democratically elected authorities,
[01:06:42.140 --> 01:06:44.500]   includes the role of, you know,
[01:06:44.500 --> 01:06:46.940]   all the individuals who will be affected by it.
[01:06:46.940 --> 01:06:49.660]   So there, at the end of the day,
[01:06:49.660 --> 01:06:52.620]   there needs to be some politically legitimate process.
[01:06:52.620 --> 01:06:53.460]   - But what does that look like?
[01:06:53.460 --> 01:06:55.140]   If it's not the case that you just hand it
[01:06:55.140 --> 01:06:57.260]   to whoever the president is at the time.
[01:06:57.260 --> 01:06:58.100]   - Yeah.
[01:06:58.100 --> 01:07:00.020]   - What does the body look like?
[01:07:00.020 --> 01:07:00.860]   I mean, is it something you're-
[01:07:00.860 --> 01:07:03.060]   - These are things it's really hard to know ahead of time.
[01:07:03.060 --> 01:07:04.980]   Like, I think, you know,
[01:07:04.980 --> 01:07:07.500]   people love to kind of propose these broad plans
[01:07:07.500 --> 01:07:08.900]   and say like, "Oh, this is the way we should do it.
[01:07:08.900 --> 01:07:10.140]   This is the way we should do it."
[01:07:10.140 --> 01:07:11.700]   I think the honest fact is that
[01:07:11.700 --> 01:07:13.580]   we're figuring this out as we go along.
[01:07:13.580 --> 01:07:16.860]   And that, you know, anyone who says, you know,
[01:07:16.860 --> 01:07:18.620]   this is the body that, you know,
[01:07:18.620 --> 01:07:21.340]   we should create this kind of body modeled after this thing.
[01:07:21.340 --> 01:07:23.660]   Like, I think we should try things
[01:07:23.660 --> 01:07:24.700]   and experiment with them
[01:07:24.700 --> 01:07:27.340]   with less powerful versions of the technology.
[01:07:27.340 --> 01:07:28.980]   We need to figure this out in time,
[01:07:28.980 --> 01:07:31.180]   but also it's not really the kind of thing
[01:07:31.180 --> 01:07:32.540]   you can know in advance.
[01:07:32.540 --> 01:07:35.340]   - The long-term benefit trust that you have,
[01:07:35.340 --> 01:07:37.100]   how would that interface with this body?
[01:07:37.100 --> 01:07:38.340]   Is that the body itself?
[01:07:38.340 --> 01:07:41.100]   If not, is it like, so just for the context,
[01:07:41.100 --> 01:07:42.580]   you might want to explain what it is for the audience,
[01:07:42.580 --> 01:07:43.460]   but I don't know.
[01:07:43.460 --> 01:07:45.100]   I think that the long-term benefit trust
[01:07:45.100 --> 01:07:46.820]   is like a much narrower thing.
[01:07:46.820 --> 01:07:48.460]   Like this is something that like
[01:07:48.460 --> 01:07:50.980]   makes decisions for Anthropic.
[01:07:50.980 --> 01:07:52.780]   So this is basically a body,
[01:07:52.780 --> 01:07:54.900]   is described in a recent Vox article.
[01:07:54.900 --> 01:07:57.380]   We'll be saying more about it in, you know,
[01:07:57.380 --> 01:07:59.020]   later this year.
[01:07:59.180 --> 01:08:02.940]   But it's basically a body that over time
[01:08:02.940 --> 01:08:05.140]   gains the ability to appoint the majority
[01:08:05.140 --> 01:08:07.500]   of the board seats of Anthropic.
[01:08:07.500 --> 01:08:08.820]   And this is so, you know,
[01:08:08.820 --> 01:08:11.100]   it's a mixture of experts in, I'd say,
[01:08:11.100 --> 01:08:14.140]   like AI alignment, national security,
[01:08:14.140 --> 01:08:15.500]   and philanthropy in general.
[01:08:15.500 --> 01:08:18.020]   - But if control is handed to them of Anthropic,
[01:08:18.020 --> 01:08:19.700]   that doesn't imply that control of,
[01:08:19.700 --> 01:08:21.300]   if Anthropic has AGI,
[01:08:21.300 --> 01:08:22.780]   the control of AGI itself is handed to them.
[01:08:22.780 --> 01:08:24.860]   - That doesn't imply that Anthropic
[01:08:24.860 --> 01:08:26.580]   or any other entity should be the entity
[01:08:26.580 --> 01:08:28.780]   that like makes decisions about AGI
[01:08:28.780 --> 01:08:30.180]   on behalf of humanity.
[01:08:30.180 --> 01:08:31.300]   I would think of those as different.
[01:08:31.300 --> 01:08:32.340]   I mean, there's lots of, you know,
[01:08:32.340 --> 01:08:34.980]   like if Anthropic does play a broad role,
[01:08:34.980 --> 01:08:36.820]   then you'd want to like widen that body
[01:08:36.820 --> 01:08:37.660]   to be, you know,
[01:08:37.660 --> 01:08:38.900]   like a whole bunch of different people
[01:08:38.900 --> 01:08:40.020]   from around the world.
[01:08:40.020 --> 01:08:42.540]   Or maybe you construe this as very narrow.
[01:08:42.540 --> 01:08:43.500]   And then, you know,
[01:08:43.500 --> 01:08:46.100]   there's some like broad committee somewhere
[01:08:46.100 --> 01:08:47.700]   that like manages all the AGIs
[01:08:47.700 --> 01:08:50.700]   of all the companies on behalf of anyone.
[01:08:50.700 --> 01:08:51.540]   I don't know.
[01:08:51.540 --> 01:08:54.500]   Like, I think my view is you shouldn't be sort of
[01:08:54.500 --> 01:08:56.460]   overly constructive and utopian.
[01:08:56.460 --> 01:08:58.900]   Like we're dealing with a new problem here.
[01:08:58.900 --> 01:09:02.300]   We need to start thinking now about,
[01:09:02.300 --> 01:09:04.660]   you know, what are the governmental bodies
[01:09:04.660 --> 01:09:07.060]   and structures that could deal with it.
[01:09:07.060 --> 01:09:08.420]   - Okay, so let's forget about governance.
[01:09:08.420 --> 01:09:10.460]   Let's just talk about what this going well looks like.
[01:09:10.460 --> 01:09:12.740]   Obviously there's the things we can all agree on,
[01:09:12.740 --> 01:09:14.540]   you know, cure all the diseases,
[01:09:14.540 --> 01:09:15.620]   you know, solve all the problems,
[01:09:15.620 --> 01:09:17.460]   everything's all humans would say,
[01:09:17.460 --> 01:09:19.180]   I'm down for that.
[01:09:19.180 --> 01:09:20.140]   But now it's 2030,
[01:09:20.140 --> 01:09:21.420]   you've solved all the real problems
[01:09:21.420 --> 01:09:23.420]   that everybody can agree on.
[01:09:23.420 --> 01:09:24.740]   What happens next?
[01:09:24.740 --> 01:09:27.140]   What are we doing with a superhuman God?
[01:09:27.140 --> 01:09:28.660]   - I think I actually want to like, I don't know,
[01:09:28.660 --> 01:09:31.660]   like disagree with the framing or something like this.
[01:09:31.660 --> 01:09:33.940]   I actually get nervous when someone says like,
[01:09:33.940 --> 01:09:35.820]   what are you going to do with the superhuman AI?
[01:09:35.820 --> 01:09:39.260]   Like we've learned a lot of things over the last 150 years
[01:09:39.260 --> 01:09:41.660]   about like markets and democracy
[01:09:41.660 --> 01:09:44.860]   and each person can kind of define for themselves,
[01:09:44.860 --> 01:09:46.900]   like what the best way for them
[01:09:46.900 --> 01:09:48.500]   to have the human experiences
[01:09:48.500 --> 01:09:51.980]   and that, you know, societies work out norms
[01:09:51.980 --> 01:09:53.220]   and what they value in this,
[01:09:53.220 --> 01:09:56.020]   just in this very like complex and decentralized way.
[01:09:56.020 --> 01:09:58.980]   Now, again, if you have these safety problems,
[01:09:58.980 --> 01:10:01.100]   that can be a reason why, you know,
[01:10:01.100 --> 01:10:02.220]   and especially from the government,
[01:10:02.220 --> 01:10:05.180]   there needs to be maybe until we've solved these problems,
[01:10:05.180 --> 01:10:07.460]   a certain amount of like centralized control.
[01:10:07.460 --> 01:10:10.580]   But as a matter of like, we've solved all the problems,
[01:10:10.580 --> 01:10:12.460]   now how do we make things good?
[01:10:12.460 --> 01:10:15.740]   I think that most people, most groups,
[01:10:15.740 --> 01:10:18.140]   most ideologies that started with like,
[01:10:18.140 --> 01:10:20.540]   let's sit down and think over
[01:10:20.540 --> 01:10:22.460]   what the definition of the good life is.
[01:10:22.460 --> 01:10:25.140]   Like, I think most of those have led to disaster.
[01:10:25.140 --> 01:10:25.980]   - But so this vision you have
[01:10:25.980 --> 01:10:28.340]   of a sort of tolerant liberal democracy,
[01:10:28.340 --> 01:10:30.900]   market-oriented system with AGI,
[01:10:30.900 --> 01:10:33.580]   like what is each person has their own AGI?
[01:10:33.580 --> 01:10:34.900]   Like, what does that mean?
[01:10:34.900 --> 01:10:35.740]   - I don't know.
[01:10:35.740 --> 01:10:37.100]   I don't know what it looks like, right?
[01:10:37.100 --> 01:10:38.980]   Like, I guess what I'm saying is like,
[01:10:38.980 --> 01:10:42.140]   we need to solve the kind of important safety problems
[01:10:42.140 --> 01:10:43.900]   and the important externalities.
[01:10:43.900 --> 01:10:47.180]   And then subject to that, you know, which again,
[01:10:47.180 --> 01:10:49.660]   you know, those could be just narrowly about alignment.
[01:10:49.660 --> 01:10:51.900]   There could be a bunch of economic issues
[01:10:51.900 --> 01:10:54.460]   that are super complicated and that we can't solve,
[01:10:54.460 --> 01:10:55.780]   you know, subject to that,
[01:10:55.780 --> 01:10:58.420]   like we should think about what's worked in the past.
[01:10:58.420 --> 01:11:01.820]   And I think in general, like unitary visions
[01:11:01.820 --> 01:11:04.100]   for what it means to live a good life
[01:11:04.100 --> 01:11:05.700]   have not worked out well at all.
[01:11:05.700 --> 01:11:08.060]   - On the opposite end of things going well
[01:11:08.060 --> 01:11:10.900]   or good actors having control of AI,
[01:11:10.900 --> 01:11:12.300]   we might want to touch on China
[01:11:12.300 --> 01:11:15.300]   as like a potential actor in this space.
[01:11:15.300 --> 01:11:18.020]   So first of all, I mean, being at Baidu
[01:11:18.020 --> 01:11:21.820]   and like seeing progress in AI happening generally,
[01:11:21.820 --> 01:11:24.580]   why do you think the Chinese have underperformed?
[01:11:24.580 --> 01:11:27.940]   You know, Baidu had a scaling laws group many years back
[01:11:27.940 --> 01:11:28.780]   or is the premise wrong?
[01:11:28.780 --> 01:11:30.060]   And I'm just not aware of the progress
[01:11:30.060 --> 01:11:31.220]   that's happening there.
[01:11:31.220 --> 01:11:32.660]   - Well, for the scaling laws group,
[01:11:32.660 --> 01:11:35.700]   I mean, that was an offshoot of the stuff we did with speech.
[01:11:35.700 --> 01:11:37.740]   So, you know, there were still some people there,
[01:11:37.740 --> 01:11:39.860]   but that was a mostly Americanized lab.
[01:11:39.860 --> 01:11:41.500]   I mean, I was there for a year.
[01:11:41.500 --> 01:11:43.700]   That was, you know, my first foray into deep learning.
[01:11:43.700 --> 01:11:45.220]   It was led by Andrew Ng.
[01:11:45.220 --> 01:11:46.260]   I never went to China.
[01:11:46.260 --> 01:11:48.460]   Most, you know, there's like a US lab.
[01:11:48.460 --> 01:11:50.900]   So I think that was somewhat disconnected,
[01:11:50.900 --> 01:11:52.540]   although it was an attempt by, you know,
[01:11:52.540 --> 01:11:55.740]   a Chinese entity to kind of get into the game.
[01:11:55.740 --> 01:11:56.580]   But I don't know.
[01:11:56.580 --> 01:11:59.100]   I think since then, you know, I couldn't speculate,
[01:11:59.100 --> 01:12:02.700]   but I think they've been maybe very commercially focused
[01:12:02.700 --> 01:12:05.380]   and not as focused on these kind of fundamental
[01:12:05.380 --> 01:12:07.980]   research side of things around scaling laws.
[01:12:07.980 --> 01:12:11.260]   Now, I do think because of all the, you know,
[01:12:11.260 --> 01:12:14.660]   excitement with the release of ChatGPT in, you know,
[01:12:14.660 --> 01:12:16.820]   November or so, you know,
[01:12:16.820 --> 01:12:18.780]   that's been a starting gun for them as well.
[01:12:18.780 --> 01:12:21.820]   And they're trying very aggressively to catch up now.
[01:12:21.820 --> 01:12:24.580]   I think we're, the US is quite substantially ahead,
[01:12:24.580 --> 01:12:27.180]   but I think they're trying very hard to catch up now.
[01:12:27.180 --> 01:12:29.300]   - How do you think China thinks about AGI?
[01:12:29.300 --> 01:12:32.660]   Are they thinking about safety and misuse or not?
[01:12:32.660 --> 01:12:35.220]   - I don't really have a sense.
[01:12:35.220 --> 01:12:36.660]   You know, one concern I would have,
[01:12:36.660 --> 01:12:37.860]   or if people say things like,
[01:12:37.860 --> 01:12:40.740]   well, China isn't gonna develop an AI because,
[01:12:40.740 --> 01:12:43.460]   you know, they like stability or, you know,
[01:12:43.460 --> 01:12:44.900]   they're gonna have all these restrictions
[01:12:44.900 --> 01:12:48.180]   to make sure things are in line with what the CCP wants.
[01:12:48.180 --> 01:12:50.460]   You know, that might be true in the short term.
[01:12:50.460 --> 01:12:51.900]   And for consumer products,
[01:12:51.900 --> 01:12:54.740]   my worry is that if the basic incentives
[01:12:54.740 --> 01:12:57.260]   are about national security and power,
[01:12:57.260 --> 01:12:59.420]   that's gonna become clear sooner or later.
[01:12:59.420 --> 01:13:03.100]   And so, you know, I think they're gonna,
[01:13:03.100 --> 01:13:06.020]   if they see this as, you know, a source of national power,
[01:13:06.020 --> 01:13:08.700]   they're gonna at least try to do what's most effective.
[01:13:08.700 --> 01:13:09.540]   And that, you know,
[01:13:09.540 --> 01:13:11.700]   that could lead them in the direction of AGI.
[01:13:11.700 --> 01:13:14.140]   - At what point, like, is it possible for them,
[01:13:14.140 --> 01:13:16.020]   they just get your blueprints or your code base
[01:13:16.020 --> 01:13:18.580]   or something that they can just spin up their own lab
[01:13:18.580 --> 01:13:20.180]   that is competitive at the frontier
[01:13:20.180 --> 01:13:21.940]   with the leading American companies?
[01:13:21.940 --> 01:13:23.380]   - Well, I don't know about fast,
[01:13:23.380 --> 01:13:25.980]   but I'm like, I'm concerned about this.
[01:13:25.980 --> 01:13:28.020]   So this is one reason why we're focusing
[01:13:28.020 --> 01:13:30.340]   so hard on cybersecurity.
[01:13:30.340 --> 01:13:32.500]   You know, we've worked with our cloud providers.
[01:13:32.500 --> 01:13:34.500]   We really, you know, like, you know,
[01:13:34.500 --> 01:13:37.620]   we had this blog post out about security where we said,
[01:13:37.620 --> 01:13:38.900]   you know, we have a two key system
[01:13:38.900 --> 01:13:40.420]   for access to the model weights.
[01:13:40.420 --> 01:13:43.140]   We have other measures that we put in place
[01:13:43.140 --> 01:13:44.340]   or thinking of putting in place that,
[01:13:44.340 --> 01:13:45.660]   you know, we haven't announced.
[01:13:45.660 --> 01:13:47.620]   We don't want an adversary to know about them,
[01:13:47.620 --> 01:13:49.620]   but we're happy to talk about them broadly.
[01:13:49.620 --> 01:13:51.500]   All this stuff we're doing is, by the way,
[01:13:51.500 --> 01:13:53.740]   not sufficient yet for a super determined
[01:13:53.740 --> 01:13:55.780]   state-level actor at all.
[01:13:55.780 --> 01:14:01.020]   I think it will defend against most attacks
[01:14:01.020 --> 01:14:04.820]   and against a state-level actor who's not,
[01:14:04.820 --> 01:14:07.380]   you know, who's less determined,
[01:14:07.380 --> 01:14:09.660]   but there's a lot more we need to do.
[01:14:09.660 --> 01:14:11.980]   And some of it may require new research
[01:14:11.980 --> 01:14:13.100]   on how to do security.
[01:14:13.100 --> 01:14:14.780]   - Okay, so let's talk about what it would take
[01:14:14.780 --> 01:14:17.780]   at that point, you know, we're at Anthropic Offices
[01:14:17.780 --> 01:14:19.940]   and, you know, it's like, God, good is security.
[01:14:19.940 --> 01:14:22.540]   We had to get badges and everything to come in here,
[01:14:22.540 --> 01:14:24.860]   but the eventual version of this building
[01:14:24.860 --> 01:14:27.700]   or a bunker or whatever, where the AGI is built,
[01:14:27.700 --> 01:14:28.780]   I mean, what does that look like?
[01:14:28.780 --> 01:14:30.700]   Are we, is it a building in the middle of San Francisco
[01:14:30.700 --> 01:14:33.140]   or is it you're out in the middle of Nevada or Arizona?
[01:14:33.140 --> 01:14:35.100]   Like, what is the point in which you're,
[01:14:35.100 --> 01:14:36.660]   like, Los Alamos-ing it?
[01:14:36.660 --> 01:14:39.780]   - At one point there was a running joke somewhere
[01:14:39.780 --> 01:14:42.460]   that, you know, the way building AGI would look like
[01:14:42.460 --> 01:14:44.100]   is, you know, there would be a data center
[01:14:44.100 --> 01:14:46.820]   next to a nuclear power plant next to a bunker.
[01:14:46.820 --> 01:14:47.660]   - Yeah.
[01:14:47.660 --> 01:14:49.700]   - And, you know, that we'd all kind of live in the bunker
[01:14:49.700 --> 01:14:50.660]   and everything would be local,
