
[00:00:00.000 --> 00:00:13.780]   Well, good morning, everyone.
[01:02:42.200 --> 01:02:45.200]   Guard the sheep, verses 28 to 30.
[01:02:45.200 --> 01:02:48.200]   Guide the sheep, verses 31 and 32.
[01:02:48.200 --> 01:02:52.200]   And even guiding includes both a negative aspect and a positive aspect.
[01:02:52.200 --> 01:02:56.200]   The negative aspect, verse 31, be watchful,
[01:02:56.200 --> 01:02:59.200]   and remember what Paul had warned you about.
[01:02:59.200 --> 01:03:04.200]   Remember that I, for night and day, for a period of three years,
[01:03:04.200 --> 01:03:08.200]   that I admonished each one with tears, verse 31.
[01:03:08.200 --> 01:03:12.200]   This is intense.
[01:03:12.200 --> 01:03:16.200]   Be watchful and avoid error.
[01:03:16.200 --> 01:03:24.200]   And then verse 32, "And now I commend you to God and His Word,
[01:03:24.200 --> 01:03:33.200]   which is able to build you up and to give you the inheritance among those who are sanctified."
[01:03:33.200 --> 01:03:38.200]   You see, we're not only guard dogs, we're guide dogs for God's people.
[01:03:38.200 --> 01:03:42.200]   And as we seek to lead the sheep and feed the sheep,
[01:03:42.200 --> 01:03:45.200]   we are not only to protect them from outside influence,
[01:03:45.200 --> 01:03:49.200]   we are to take them to the source of truth.
[01:03:49.200 --> 01:03:53.200]   So be watchful, verse 31.
[01:03:53.200 --> 01:03:57.200]   Remember apostolic admonition and warning.
[01:03:57.200 --> 01:04:00.200]   Does not the entire New Testament warn us about false teachers,
[01:04:00.200 --> 01:04:02.200]   starting with Jesus in Matthew 7?
[01:04:02.200 --> 01:04:06.200]   "Beware of false prophets who come to you dressed in sheep's clothing,
[01:04:06.200 --> 01:04:09.200]   but inwardly are ravenous wolves."
[01:04:09.200 --> 01:04:14.200]   Be watchful, be vigilant.
[01:04:14.200 --> 01:04:16.200]   I love even Paul's personal anecdote,
[01:04:16.200 --> 01:04:21.200]   that his pastoral ministry to these students was that which was 24/7,
[01:04:21.200 --> 01:04:24.200]   night and day, for a period of three years.
[01:04:24.200 --> 01:04:28.200]   I did not cease to admonish you and to do it again with tears.
[01:04:28.200 --> 01:04:31.200]   This is not an academic exercise for Paul.
[01:04:31.200 --> 01:04:36.200]   This is life.
[01:04:36.200 --> 01:04:46.200]   And yet, Paul recognizes that he must point them to the truth.
[01:04:46.200 --> 01:04:51.200]   That ultimately, in Paul's absence, as he leaves them and goes now to Jerusalem,
[01:04:51.200 --> 01:04:55.200]   that he entrusts them to the care of God and His word.
[01:04:55.200 --> 01:04:58.200]   The word of grace, which is able to build you up,
[01:04:58.200 --> 01:05:01.200]   the source of edification, of spiritual growth,
[01:05:01.200 --> 01:05:03.200]   of spiritual nourishment, of spiritual life.
[01:05:03.200 --> 01:05:07.200]   All that we need for life and godliness is revealed in its pages.
[01:05:07.200 --> 01:05:12.200]   Men, if you want to be faithful, not only guard the flock from error,
[01:05:12.200 --> 01:05:16.200]   but also teach them the truth.
[01:05:16.200 --> 01:05:20.200]   And as you do that, you will edify them and you will ensure for them
[01:05:20.200 --> 01:05:25.200]   that they will have a part in the inheritance that is ours in Christ Jesus.
[01:05:25.200 --> 01:05:28.200]   For we are heirs of God and co-heirs with Christ.
[01:05:28.200 --> 01:05:32.200]   And in Him, we have the hope of eternal life, of forgiveness,
[01:05:32.200 --> 01:05:35.200]   and of being in His presence for all of eternity.
[01:05:35.200 --> 01:05:38.200]   And this is something that is shared among all of those
[01:05:38.200 --> 01:05:41.200]   whom He has sanctified through His work on the cross
[01:05:41.200 --> 01:05:45.200]   and whom He is sanctifying through His work in the scriptures,
[01:05:45.200 --> 01:05:47.200]   through the power of the Holy Spirit.
[01:05:47.200 --> 01:05:51.200]   And one day, who we are positionally and who we are becoming practically
[01:05:51.200 --> 01:05:54.200]   will be our reality in both spheres.
[01:05:54.200 --> 01:05:56.200]   For we will be holy when we see Him.
[01:05:56.200 --> 01:06:04.200]   For we will be like Him when we see Him as He is.
[01:06:04.200 --> 01:06:13.200]   And let us not then neglect the work of guiding.
[01:06:13.200 --> 01:06:19.200]   There's only one true compass, one true source, one true guide.
[01:06:19.200 --> 01:06:26.200]   It is the Word of God which points to the God of the Word.
[01:06:26.200 --> 01:06:30.200]   I remember a number of years ago, my family was traveling back
[01:06:30.200 --> 01:06:34.200]   from a family camp of vacation in the Rocky Mountains.
[01:06:34.200 --> 01:06:37.200]   We were at Estes Park, if you know where that is.
[01:06:37.200 --> 01:06:42.200]   And I put Grand Junction, Colorado in my GPS
[01:06:42.200 --> 01:06:45.200]   because that's where we needed to get.
[01:06:45.200 --> 01:06:49.200]   And it gave me a route that I was very excited about
[01:06:49.200 --> 01:06:52.200]   because it was not the route we had come, which was much longer.
[01:06:52.200 --> 01:06:56.200]   This route was much shorter, and I thought, "This is great.
[01:06:56.200 --> 01:06:59.200]   GPS has figured out a shortcut."
[01:06:59.200 --> 01:07:02.200]   And it was great for about the first three hours,
[01:07:02.200 --> 01:07:08.200]   and then we hit the fire road.
[01:07:08.200 --> 01:07:13.200]   And for about an hour, I was grabbing onto a steering wheel
[01:07:13.200 --> 01:07:17.200]   with the widest knuckles you have ever seen
[01:07:17.200 --> 01:07:20.200]   as I'm taking my family, all in the back,
[01:07:20.200 --> 01:07:25.200]   watching probably VeggieTales.
[01:07:25.200 --> 01:07:31.200]   It's probably not a great example at a Shepherd's Conference.
[01:07:31.200 --> 01:07:34.200]   Thinking about the danger that I'm putting my family in
[01:07:34.200 --> 01:07:39.200]   as we're driving down steep roads with no guardrails,
[01:07:39.200 --> 01:07:46.200]   on dirt, as it's getting dark.
[01:07:46.200 --> 01:07:48.200]   I don't know if you know this, but there's actually
[01:07:48.200 --> 01:07:53.200]   a Wikipedia entry for "Death by GPS."
[01:07:53.200 --> 01:08:02.200]   And what it represents is people who were guided the wrong way.
[01:08:02.200 --> 01:08:06.200]   We know the right way because we have a sure guide.
[01:08:06.200 --> 01:08:11.200]   Let us be careful men to always lead our sheep
[01:08:11.200 --> 01:08:15.200]   in the right way and to not neglect
[01:08:15.200 --> 01:08:18.200]   the truth of God's Word.
[01:08:18.200 --> 01:08:25.200]   Well, there's a final conviction and it's in verses 33 to 35,
[01:08:25.200 --> 01:08:27.200]   and that is give.
[01:08:27.200 --> 01:08:29.200]   Give yourself for the sheep.
[01:08:29.200 --> 01:08:32.200]   Guard the sheep, guide the sheep,
[01:08:32.200 --> 01:08:35.200]   and give yourself for the sheep.
[01:08:35.200 --> 01:08:38.200]   Verse 33, Paul says, "I didn't covet anybody's clothes
[01:08:38.200 --> 01:08:40.200]   "or their silver or their gold."
[01:08:40.200 --> 01:08:43.200]   Verse 34, he says, "I worked with my own hands
[01:08:43.200 --> 01:08:45.200]   "to supply my own needs."
[01:08:45.200 --> 01:08:47.200]   This, by the way, is not Paul saying that every minister
[01:08:47.200 --> 01:08:49.200]   has to be bivocational.
[01:08:49.200 --> 01:08:51.200]   There's other passages of Scripture where he talks
[01:08:51.200 --> 01:08:54.200]   about how a laborer is worthy of his wages,
[01:08:54.200 --> 01:08:56.200]   how it's appropriate for us to be supported
[01:08:56.200 --> 01:08:58.200]   through the work of gospel ministry.
[01:08:58.200 --> 01:09:00.200]   That's not Paul's point here.
[01:09:00.200 --> 01:09:03.200]   Paul's point here is, "I didn't take advantage of you,
[01:09:03.200 --> 01:09:05.200]   "Ephesians."
[01:09:05.200 --> 01:09:10.200]   Instead, verse 35, "In everything, I showed you
[01:09:10.200 --> 01:09:12.200]   "that by laboring in this manner,
[01:09:12.200 --> 01:09:16.200]   "you should care for the weak."
[01:09:16.200 --> 01:09:19.200]   You must care for the weak.
[01:09:19.200 --> 01:09:24.200]   And you should remember the words of the Lord Jesus
[01:09:24.200 --> 01:09:28.200]   that he himself said, "It is more blessed to give
[01:09:28.200 --> 01:09:31.200]   "than to receive."
[01:09:31.200 --> 01:09:37.200]   Men, give yourself to the flock.
[01:09:37.200 --> 01:09:39.200]   Paul was an example of this.
[01:09:39.200 --> 01:09:43.200]   He gave his time, his energy, verses 18 and 19.
[01:09:43.200 --> 01:09:45.200]   He gave them the truth, verses 20 and 21.
[01:09:45.200 --> 01:09:48.200]   He gave them his very life, verses 22 to 24.
[01:09:48.200 --> 01:09:54.200]   He gave everything, including the whole purpose of God,
[01:09:54.200 --> 01:09:57.200]   verses 25 to 27.
[01:09:57.200 --> 01:10:00.200]   He gave it all.
[01:10:00.200 --> 01:10:05.200]   He's about to go to Jerusalem to be arrested.
[01:10:05.200 --> 01:10:09.200]   And I think verse 35, I think we, at least for me,
[01:10:09.200 --> 01:10:12.200]   I tend to think of it as a verse about money,
[01:10:12.200 --> 01:10:14.200]   and it does have financial implications,
[01:10:14.200 --> 01:10:16.200]   but I want to suggest to you men this morning
[01:10:16.200 --> 01:10:18.200]   that the statement from Christ, from our Lord,
[01:10:18.200 --> 01:10:21.200]   that it is more blessed to give than to receive,
[01:10:21.200 --> 01:10:25.200]   is actually, in context, a statement about ministry.
[01:10:25.200 --> 01:10:27.200]   And some of you men here may be feeling like
[01:10:27.200 --> 01:10:30.200]   you've given everything, and you can't give any more,
[01:10:30.200 --> 01:10:34.200]   and now it's time to actually give up.
[01:10:34.200 --> 01:10:38.200]   And I want to challenge you with the truth of this text,
[01:10:38.200 --> 01:10:41.200]   that there is blessing in giving everything,
[01:10:41.200 --> 01:10:43.200]   because you're giving everything for the one
[01:10:43.200 --> 01:10:47.200]   who gave you everything.
[01:10:47.200 --> 01:10:51.200]   David Livingston, the famous missionary explorer to Africa,
[01:10:51.200 --> 01:11:00.200]   after more than three decades of fighting danger and disease,
[01:11:00.200 --> 01:11:03.200]   more than three decades of work in Africa,
[01:11:03.200 --> 01:11:08.200]   he was asked about all the sacrifices that he had made.
[01:11:08.200 --> 01:11:12.200]   He said, "Don't speak to me of sacrifice.
[01:11:12.200 --> 01:11:14.200]   "Don't speak to me of sacrifice.
[01:11:14.200 --> 01:11:18.200]   "It is nothing compared to the debt of gratitude
[01:11:18.200 --> 01:11:20.200]   "that I owe to my Savior.
[01:11:20.200 --> 01:11:22.200]   "Don't speak to me of sacrifice.
[01:11:22.200 --> 01:11:24.200]   "It is no sacrifice.
[01:11:24.200 --> 01:11:28.200]   "It is privilege.
[01:11:28.200 --> 01:11:31.200]   "It is privilege."
[01:11:31.200 --> 01:11:35.200]   I think the Apostle Paul would have said the same thing.
[01:11:35.200 --> 01:11:41.200]   And so we have here in this first graduation charge
[01:11:41.200 --> 01:11:44.200]   a reminder about the kind of character
[01:11:44.200 --> 01:11:47.200]   that we are all called to reflect,
[01:11:47.200 --> 01:11:49.200]   and a reminder of the kind of convictions
[01:11:49.200 --> 01:11:54.200]   that we are all called to implement.
[01:11:54.200 --> 01:11:57.200]   I want to close with this.
[01:11:57.200 --> 01:11:59.200]   If we think about Paul's timeline here
[01:11:59.200 --> 01:12:04.200]   on his third missionary journey, this was in the mid-50s.
[01:12:04.200 --> 01:12:08.200]   He probably gave this charge around the year 57.
[01:12:08.200 --> 01:12:13.200]   If we fast-forward 10 years, around the year 67,
[01:12:13.200 --> 01:12:15.200]   Paul is now in the Mamertine prison.
[01:12:15.200 --> 01:12:18.200]   He's about to die, and he writes a letter to Timothy,
[01:12:18.200 --> 01:12:21.200]   his last letter, the letter of 2 Timothy.
[01:12:21.200 --> 01:12:23.200]   The connection I want you to see
[01:12:23.200 --> 01:12:26.200]   is that when Paul writes to Timothy,
[01:12:26.200 --> 01:12:31.200]   Timothy is now pastoring in Ephesus.
[01:12:31.200 --> 01:12:34.200]   Timothy was with Paul on his third missionary journey,
[01:12:34.200 --> 01:12:36.200]   was with Paul at Miletus.
[01:12:36.200 --> 01:12:38.200]   Now Timothy is away from Paul,
[01:12:38.200 --> 01:12:40.200]   but Timothy is back in Ephesus,
[01:12:40.200 --> 01:12:42.200]   and Paul writes him this final letter.
[01:12:42.200 --> 01:12:44.200]   And what does Paul emphasize in that letter?
[01:12:44.200 --> 01:12:47.200]   He emphasizes guard, right?
[01:12:47.200 --> 01:12:50.200]   2 Timothy 1:14, "Guard what has been entrusted to you."
[01:12:50.200 --> 01:12:52.200]   And then he emphasizes that the only way
[01:12:52.200 --> 01:12:55.200]   that Timothy can lead himself and his people
[01:12:55.200 --> 01:12:58.200]   is by continuing on in the Scriptures,
[01:12:58.200 --> 01:13:02.200]   chapter 3, verses 14, all the way to chapter 4, verse 5.
[01:13:02.200 --> 01:13:04.200]   Guide them in the Scriptures.
[01:13:04.200 --> 01:13:05.200]   And then how does Paul end?
[01:13:05.200 --> 01:13:07.200]   He ends by talking about the fact
[01:13:07.200 --> 01:13:13.200]   that he gave of himself, as a sacrifice, a drink offering.
[01:13:13.200 --> 01:13:18.200]   Because here he says, "I am finishing my course," in Acts 20,
[01:13:18.200 --> 01:13:26.200]   but in 2 Timothy 4, he says, "I have finished my course."
[01:13:26.200 --> 01:13:29.200]   And what I think is so amazing
[01:13:29.200 --> 01:13:35.200]   is that in 2 Timothy 2-2, when Paul says to Timothy,
[01:13:35.200 --> 01:13:38.200]   "The things that you've heard from me
[01:13:38.200 --> 01:13:41.200]   "in the presence of many witnesses,
[01:13:41.200 --> 01:13:45.200]   "entrust these things to faithful men
[01:13:45.200 --> 01:13:50.200]   "who will teach others also."
[01:13:50.200 --> 01:13:59.200]   That's not just a principled statement in abstract.
[01:13:59.200 --> 01:14:05.200]   For Paul and for Timothy, this was very specific.
[01:14:05.200 --> 01:14:07.200]   And I think Paul was thinking back
[01:14:07.200 --> 01:14:11.200]   to those warm summer days in the school of Tyrannus
[01:14:11.200 --> 01:14:15.200]   when he poured out his life into the disciples
[01:14:15.200 --> 01:14:18.200]   who met with him daily for a period of two years,
[01:14:18.200 --> 01:14:22.200]   and he says to Timothy, "Keep it going.
[01:14:22.200 --> 01:14:25.200]   "Keep it going.
[01:14:25.200 --> 01:14:30.200]   "Because as you invest in the next generation,
[01:14:30.200 --> 01:14:39.200]   "God uses their faithfulness for global gospel proclamation."
[01:14:39.200 --> 01:14:43.200]   And in this chapter in Acts 20,
[01:14:43.200 --> 01:14:48.200]   we see missions, pastoral ministry,
[01:14:48.200 --> 01:14:52.200]   and seminary training all converge
[01:14:52.200 --> 01:14:54.200]   in a way that I hope is not only helpful for you
[01:14:54.200 --> 01:14:57.200]   as you think of investing yourself in others,
[01:14:57.200 --> 01:15:00.200]   but also helpful as you ask God
[01:15:00.200 --> 01:15:03.200]   to be faithful to your own stewardship
[01:15:03.200 --> 01:15:06.200]   for His glory and by His grace.
[01:15:06.200 --> 01:15:10.200]   Let's pray.
[01:15:10.200 --> 01:15:14.200]   Father, we thank You for the truth of Your Word,
[01:15:14.200 --> 01:15:17.200]   for the example of the Apostle Paul,
[01:15:17.200 --> 01:15:19.200]   and for all of it pointing to Your Son,
[01:15:19.200 --> 01:15:21.200]   the Lord Jesus Christ.
[01:15:21.200 --> 01:15:24.200]   How glorious it is to consider
[01:15:24.200 --> 01:15:31.200]   that You purchased the church at such a cost.
[01:15:31.200 --> 01:15:36.200]   May we steward it well by Your strength
[01:15:36.200 --> 01:15:39.200]   and for Your name's sake.
[01:15:39.200 --> 01:15:42.200]   And it's in that name that we pray these things this morning.
[01:15:42.200 --> 01:15:45.200]   Amen.
[01:15:45.200 --> 01:15:57.200]   [applause]
[01:15:57.200 --> 01:15:59.200]   Very sobering, very important.
[01:15:59.200 --> 01:16:03.200]   Thank you, Nathan, for that.
[01:16:03.200 --> 01:16:08.200]   Men, I have an important announcement for you.
[01:16:08.200 --> 01:16:11.200]   As you know, this week is always the highlight
[01:16:11.200 --> 01:16:17.200]   for Pastor John, and he was hoping to be with us
[01:16:17.200 --> 01:16:20.200]   in person at this conference.
[01:16:20.200 --> 01:16:26.200]   However, he will not be able to join us in person.
[01:16:26.200 --> 01:16:30.200]   He has asked H.B. to fill the pulpit tonight
[01:16:30.200 --> 01:16:34.200]   and has sent a personal video greeting
[01:16:34.200 --> 01:16:39.200]   that we will play at the end of the next session,
[01:16:39.200 --> 01:16:42.200]   along with a gift for each one of you
[01:16:42.200 --> 01:16:46.200]   that you will receive before you leave for lunch.
[01:16:46.200 --> 01:16:51.200]   So you will not want to miss the next session.
[01:16:51.200 --> 01:16:53.200]   You're dismissed.
[01:16:53.200 --> 01:16:59.200]   [silence]
[01:16:59.200 --> 01:17:01.260]   you

