
[00:00:00.000 --> 00:00:03.000]   (audience applauds)
[00:35:57.380 --> 00:36:01.460]   would be rolling over in his grave over that idea?
[00:36:01.460 --> 00:36:04.380]   The one thing that we do know is it adds cost
[00:36:04.380 --> 00:36:07.300]   or it adds a lot of time and complexity
[00:36:07.300 --> 00:36:08.840]   in terms of doing that.
[00:36:08.840 --> 00:36:11.860]   You know, that's about as far away
[00:36:11.860 --> 00:36:14.980]   from a total market fund as you can get.
[00:36:14.980 --> 00:36:21.060]   We try to do things with, you know, in any area of advice
[00:36:21.060 --> 00:36:23.660]   based on some level of evidence or research,
[00:36:23.660 --> 00:36:27.300]   and I keep getting taken back to the work in the '90s
[00:36:27.300 --> 00:36:28.900]   by Fama and French
[00:36:28.900 --> 00:36:31.180]   that looked at determinants of equity results
[00:36:31.180 --> 00:36:35.340]   and what the two key factors that they found,
[00:36:35.340 --> 00:36:37.020]   in terms of your return,
[00:36:37.020 --> 00:36:39.420]   the first factor was how much do you have in equities?
[00:36:39.420 --> 00:36:42.820]   The second factor was do you have large or small cap?
[00:36:42.820 --> 00:36:45.260]   And the third one is do you have value style
[00:36:45.260 --> 00:36:46.080]   or growth style?
[00:36:46.080 --> 00:36:48.500]   And they found those were the three significant things
[00:36:48.500 --> 00:36:50.020]   and they pretty well held up.
[00:36:50.020 --> 00:36:55.020]   I mean, so if you go and look at the annual returns of,
[00:36:55.900 --> 00:37:00.860]   and I'll, you know, let's say you use VTV and VUG, okay?
[00:37:00.860 --> 00:37:05.780]   Now, VTG plus VUG equals, you know, VOO.
[00:37:05.780 --> 00:37:06.960]   - So, growth index plus value index.
[00:37:06.960 --> 00:37:08.820]   - Growth index plus value index.
[00:37:08.820 --> 00:37:10.580]   And if you look at it year by year,
[00:37:10.580 --> 00:37:13.420]   you find that there are huge differences.
[00:37:13.420 --> 00:37:14.780]   It's most of the time,
[00:37:14.780 --> 00:37:17.840]   there's over 1,000 basis points spread in that.
[00:37:17.840 --> 00:37:19.760]   That makes sense to us,
[00:37:19.760 --> 00:37:21.920]   that rather than holding the two together,
[00:37:21.920 --> 00:37:23.980]   where you always have to buy one
[00:37:23.980 --> 00:37:26.980]   and the other at the same time in a total index,
[00:37:26.980 --> 00:37:30.080]   you're gonna choose how much goes on the value side
[00:37:30.080 --> 00:37:31.100]   and the growth side.
[00:37:31.100 --> 00:37:33.260]   That opens up a lot of opportunities
[00:37:33.260 --> 00:37:35.740]   for tax loss harvesting when it comes in.
[00:37:35.740 --> 00:37:38.820]   We've just not wanted to add the expense of doing it.
[00:37:38.820 --> 00:37:41.420]   And so we haven't been fans of that.
[00:37:41.420 --> 00:37:43.980]   But the other thing I'll just add is that,
[00:37:43.980 --> 00:37:47.020]   yes, there are oftentimes little bits of tax loss selling
[00:37:47.020 --> 00:37:48.320]   you can do every year,
[00:37:48.320 --> 00:37:50.620]   but generally you only get one really good shot
[00:37:50.620 --> 00:37:52.300]   every five to 10 years.
[00:37:52.580 --> 00:37:54.940]   And it needs to be shares you bought pretty recently
[00:37:54.940 --> 00:37:56.580]   that even in 2022,
[00:37:56.580 --> 00:37:57.980]   you probably had positions
[00:37:57.980 --> 00:38:00.360]   that still had unrealized gains in them.
[00:38:00.360 --> 00:38:03.060]   They just didn't have as much as they did a year before.
[00:38:03.060 --> 00:38:06.060]   So have the kinds of things in your portfolio
[00:38:06.060 --> 00:38:09.420]   between value and growth, large and small, there's four.
[00:38:09.420 --> 00:38:11.700]   I don't think you need much more than those four.
[00:38:11.700 --> 00:38:14.080]   And now you can really accomplish the same thing
[00:38:14.080 --> 00:38:15.760]   without adding any expense.
[00:38:15.760 --> 00:38:18.700]   - A broader question.
[00:38:18.700 --> 00:38:21.000]   There has been so much great research
[00:38:21.000 --> 00:38:26.000]   on behavioral effects of how our emotions
[00:38:26.000 --> 00:38:28.700]   prevail upon us as investors.
[00:38:28.700 --> 00:38:31.280]   I'm wondering, in working with clients,
[00:38:31.280 --> 00:38:34.320]   do you feel like there are any behavioral effects
[00:38:34.320 --> 00:38:36.820]   that have been under-recognized
[00:38:36.820 --> 00:38:39.740]   that you see again and again with your clients,
[00:38:39.740 --> 00:38:40.980]   things that trip them up?
[00:38:40.980 --> 00:38:48.340]   - I think the reason why the work of Kahneman and Tversky
[00:38:48.340 --> 00:38:51.280]   in the behavioral finance world still resonates today
[00:38:51.280 --> 00:38:54.900]   is because they really put their finger on a lot of them.
[00:38:54.900 --> 00:38:58.740]   Recency bias, overconfidence.
[00:38:58.740 --> 00:39:02.080]   Sometimes, though, it's just not understanding
[00:39:02.080 --> 00:39:04.440]   the difference that it makes
[00:39:04.440 --> 00:39:06.500]   when you have a little different allocation
[00:39:06.500 --> 00:39:08.400]   or you have a little different sourcing
[00:39:08.400 --> 00:39:09.700]   of where you take money from
[00:39:09.700 --> 00:39:14.160]   in terms of the after-tax wealth that you have.
[00:39:14.160 --> 00:39:17.040]   But I think we fully know the enemy,
[00:39:17.040 --> 00:39:20.020]   and the enemy is us when it comes to that.
[00:39:20.020 --> 00:39:22.480]   And we see all the time, we all know people,
[00:39:22.480 --> 00:39:25.440]   and we recognize those emotions in ourselves,
[00:39:25.440 --> 00:39:27.840]   even if we have the self-discipline to go,
[00:39:27.840 --> 00:39:30.380]   now that would be not good, I'm sure I'd regret it,
[00:39:30.380 --> 00:39:32.120]   even though I'm feeling it today.
[00:39:32.120 --> 00:39:38.140]   - Going back to that whole permission to spend problem
[00:39:38.140 --> 00:39:40.520]   that people don't wanna give themselves permission
[00:39:40.520 --> 00:39:42.060]   to spend what they could spend,
[00:39:42.060 --> 00:39:45.080]   Mike Piper, who's here and part of our Bogleheads community
[00:39:45.080 --> 00:39:47.260]   wrote a great book called More Than Enough
[00:39:47.260 --> 00:39:50.160]   that talked about lifetime giving.
[00:39:50.160 --> 00:39:52.720]   I'm wondering if you can talk about
[00:39:52.720 --> 00:39:55.220]   how you work with clients on that.
[00:39:55.220 --> 00:39:59.120]   And Mike's point that stuck with me was just that
[00:39:59.120 --> 00:40:02.040]   those gifts earlier to your kids, family members,
[00:40:02.040 --> 00:40:04.200]   when they're in their 20s and 30s
[00:40:04.200 --> 00:40:05.860]   are so much more impactful
[00:40:05.860 --> 00:40:09.380]   than when you give them money after your death,
[00:40:09.380 --> 00:40:12.140]   when they're 55 or 60 or older.
[00:40:12.140 --> 00:40:14.760]   Can you talk about that and how you kind of coax
[00:40:14.760 --> 00:40:17.760]   your clients to get, if you coax your clients,
[00:40:17.760 --> 00:40:22.400]   to get more comfortable with giving their loved ones money
[00:40:22.400 --> 00:40:23.960]   during their lifetimes?
[00:40:23.960 --> 00:40:25.840]   - Absolutely.
[00:40:25.840 --> 00:40:29.160]   Yeah, I mean, when I was in my 20s getting ready,
[00:40:29.160 --> 00:40:30.920]   we were getting ready to buy our first house,
[00:40:30.920 --> 00:40:32.360]   you know, we had the offer in on it
[00:40:32.360 --> 00:40:34.060]   and had an unfinished basement.
[00:40:34.060 --> 00:40:37.960]   And my parents said, what would $10,000 make a difference?
[00:40:37.960 --> 00:40:39.700]   And boy, did it ever.
[00:40:39.700 --> 00:40:42.500]   We could finish the basement and have another room for,
[00:40:42.500 --> 00:40:44.180]   you know, stay in the house a little longer
[00:40:44.180 --> 00:40:45.660]   when family came along.
[00:40:45.660 --> 00:40:48.560]   So you're exactly right about those impacts.
[00:40:48.560 --> 00:40:51.540]   You know, it starts with understanding
[00:40:51.540 --> 00:40:55.780]   that you have the ability to part with that money.
[00:40:55.780 --> 00:40:56.900]   'Cause you not only have to be willing
[00:40:56.900 --> 00:40:58.200]   to take money out for yourself,
[00:40:58.200 --> 00:40:59.780]   you have to be willing to take money out
[00:40:59.780 --> 00:41:01.460]   and, you know, give it to your kids.
[00:41:01.460 --> 00:41:04.780]   So that notion of knowing that, you know,
[00:41:04.780 --> 00:41:06.780]   and I'm gonna go back to my example before,
[00:41:06.780 --> 00:41:10.420]   if we save $3 million and we know
[00:41:10.420 --> 00:41:12.480]   that we're gonna wait to claim social security,
[00:41:12.480 --> 00:41:15.220]   so that's gonna take a $200,000 extra chunk
[00:41:15.220 --> 00:41:17.240]   out of our portfolio while we're buying
[00:41:17.240 --> 00:41:19.500]   that bigger social security check.
[00:41:19.500 --> 00:41:22.740]   And then we need a core portfolio, a million seven,
[00:41:22.740 --> 00:41:26.240]   and the rest is money that can be for other things.
[00:41:26.240 --> 00:41:28.700]   It's like, well, you've got this million dollars.
[00:41:28.700 --> 00:41:31.440]   And unless you're taking out, you know,
[00:41:31.440 --> 00:41:34.440]   probably about 5% of it every year, it's gonna grow.
[00:41:34.440 --> 00:41:36.960]   We can do the math on that.
[00:41:36.960 --> 00:41:40.000]   And so just helping people realize
[00:41:40.000 --> 00:41:43.300]   the wealth growth path that they're on,
[00:41:43.300 --> 00:41:45.040]   and it goes beyond kids.
[00:41:45.040 --> 00:41:49.320]   It's, you know, are there charities, non-profits,
[00:41:49.320 --> 00:41:50.940]   you know, religious organizations,
[00:41:50.940 --> 00:41:53.180]   educational organizations?
[00:41:53.180 --> 00:41:57.260]   You know, you can save so much money in taxes
[00:41:57.260 --> 00:42:01.460]   if you incorporate giving while living through QCDs.
[00:42:01.460 --> 00:42:04.980]   For just, you know, just maybe a smallish portion
[00:42:04.980 --> 00:42:06.540]   of what the RMD amount is.
[00:42:06.540 --> 00:42:09.140]   And realize that as those numbers get bigger
[00:42:09.140 --> 00:42:12.320]   and bigger over time that you have to take out,
[00:42:12.320 --> 00:42:14.280]   that that really sets up, you know,
[00:42:14.280 --> 00:42:16.140]   maybe when you're, you know, spending money
[00:42:16.140 --> 00:42:18.100]   on your bucket list and on your kids and stuff,
[00:42:18.100 --> 00:42:20.660]   that's fine, you know, when you're in your 70s.
[00:42:20.660 --> 00:42:23.180]   But there comes a point where it's like, you know,
[00:42:23.180 --> 00:42:24.780]   we don't know what to do with all this money
[00:42:24.780 --> 00:42:25.820]   that we have to take out,
[00:42:25.820 --> 00:42:27.540]   and it's pushing us into higher rates,
[00:42:27.540 --> 00:42:30.180]   especially if you've had a spouse pass away,
[00:42:30.180 --> 00:42:32.660]   and now they're filing as a single taxpayer
[00:42:32.660 --> 00:42:36.020]   and pushing up more quickly into those higher brackets.
[00:42:36.020 --> 00:42:38.440]   You know, having people be intentional
[00:42:38.440 --> 00:42:40.160]   about the places and the things
[00:42:40.160 --> 00:42:43.280]   that they want their wealth to be able to accomplish,
[00:42:43.280 --> 00:42:45.520]   it not only makes the world a better place,
[00:42:45.520 --> 00:42:48.500]   it makes them happier, and quite frankly,
[00:42:48.500 --> 00:42:51.260]   it preserves more wealth for their families.
[00:42:51.260 --> 00:42:56.060]   - So I think we're ready to take questions if there are any.
[00:42:56.060 --> 00:42:58.720]   And just one last question from me, John.
[00:42:59.580 --> 00:43:03.100]   You have, we've talked about Jonathan Clements,
[00:43:03.100 --> 00:43:06.060]   who has been such a wonderful member
[00:43:06.060 --> 00:43:08.700]   of our Bogleheads community,
[00:43:08.700 --> 00:43:13.060]   and you've talked about his influence on your work,
[00:43:13.060 --> 00:43:16.180]   and maybe you can just share that with the group.
[00:43:16.180 --> 00:43:17.660]   - Yeah, it was a cool story.
[00:43:17.660 --> 00:43:19.900]   It was in 2004, and I had just published
[00:43:19.900 --> 00:43:23.060]   the first paper of mine that anybody had ever read.
[00:43:23.060 --> 00:43:28.060]   And it was in an era where, if you remember Money Magazine,
[00:43:28.420 --> 00:43:30.620]   and you know, who really got,
[00:43:30.620 --> 00:43:33.340]   nobody really paid attention at that point
[00:43:33.340 --> 00:43:36.180]   to financial research.
[00:43:36.180 --> 00:43:39.380]   And it was really who had the biggest megaphone,
[00:43:39.380 --> 00:43:41.340]   as opposed, and there wasn't even a PhD
[00:43:41.340 --> 00:43:43.620]   in financial planning yet at that point.
[00:43:43.620 --> 00:43:46.220]   And Jonathan was the first person to call me,
[00:43:46.220 --> 00:43:48.780]   and he said, you know, let's talk about this,
[00:43:48.780 --> 00:43:50.380]   and it became a column there.
[00:43:50.380 --> 00:43:55.380]   And as I look back at that time, in the 2000s,
[00:43:56.780 --> 00:43:58.540]   Jonathan was, in my opinion,
[00:43:58.540 --> 00:44:03.380]   was the first major consumer journalist
[00:44:03.380 --> 00:44:07.020]   to realize the value of the empirical side,
[00:44:07.020 --> 00:44:09.740]   of making good decisions about your money.
[00:44:09.740 --> 00:44:11.860]   And you know, Jonathan's personality was one
[00:44:11.860 --> 00:44:13.680]   where he wanted to learn all the stuff, too.
[00:44:13.680 --> 00:44:14.860]   He didn't want to just, you know,
[00:44:14.860 --> 00:44:16.580]   hear it from the person who had done it.
[00:44:16.580 --> 00:44:18.300]   He wanted to understand it himself.
[00:44:18.300 --> 00:44:20.980]   And so today, when you look at people
[00:44:20.980 --> 00:44:23.060]   who, whether they're quoting Wade Fowler,
[00:44:23.060 --> 00:44:26.340]   David Blanchard, or you know, whomever is in there,
[00:44:26.340 --> 00:44:29.140]   the first real, the first big-time name
[00:44:29.140 --> 00:44:31.860]   to ever see that we can help people
[00:44:31.860 --> 00:44:34.300]   by going to sources like that, in my opinion,
[00:44:34.300 --> 00:44:36.020]   was Jonathan Clements.
[00:44:36.020 --> 00:44:37.140]   - Thank you, that's great.
[00:44:37.140 --> 00:44:39.260]   Jim, I know we've gotten some questions.
[00:44:39.260 --> 00:44:41.800]   If you could help us sift through them.
[00:44:41.800 --> 00:44:44.020]   It looks like you've got quite a lot going on up there.
[00:44:44.020 --> 00:44:46.120]   - Yeah, we sure do have a lot of questions.
[00:44:46.120 --> 00:44:50.020]   We got a two-hour worth of questions here.
[00:44:50.020 --> 00:44:50.860]   (audience laughing)
[00:44:50.860 --> 00:44:52.860]   And we got eight minutes to do 'em.
[00:44:52.860 --> 00:44:53.980]   So, it's gonna be rapid fire.
[00:44:53.980 --> 00:44:54.820]   No, I'm just kidding.
[00:44:54.820 --> 00:44:56.580]   You're gonna get three or four of these, maybe.
[00:44:56.580 --> 00:44:58.660]   And then you're gonna have to catch these guys
[00:44:58.660 --> 00:45:00.140]   in the hallway.
[00:45:00.140 --> 00:45:04.260]   After this, we have a book signing out front, you know,
[00:45:04.260 --> 00:45:05.820]   which is the very social hour.
[00:45:05.820 --> 00:45:07.540]   You can go around and talk to people.
[00:45:07.540 --> 00:45:09.820]   And then afterward, we have, of course,
[00:45:09.820 --> 00:45:12.180]   our evening social, our opening social is this evening.
[00:45:12.180 --> 00:45:13.760]   So, if your question doesn't get answered,
[00:45:13.760 --> 00:45:16.180]   which it probably won't be, keep that in mind.
[00:45:16.180 --> 00:45:17.660]   This conference is not over.
[00:45:17.660 --> 00:45:18.540]   We're not going anywhere.
[00:45:18.540 --> 00:45:20.680]   You'll be able to ask your questions afterward.
[00:45:20.680 --> 00:45:21.740]   All right, let's do the first one.
[00:45:21.740 --> 00:45:23.500]   When you withdraw dynamically,
[00:45:23.500 --> 00:45:26.940]   when in the year do you withdraw?
[00:45:26.940 --> 00:45:29.560]   And is it once a year or more frequently?
[00:45:29.560 --> 00:45:31.460]   - The research always assumes you take it out
[00:45:31.460 --> 00:45:32.860]   probably January 1st.
[00:45:32.860 --> 00:45:36.640]   In reality, monthly or quarterly or whatever works for you.
[00:45:36.640 --> 00:45:38.020]   - Okay.
[00:45:38.020 --> 00:45:40.820]   How do you determine the starting withdrawal rate
[00:45:40.820 --> 00:45:43.580]   when using the guardrail strategy?
[00:45:43.580 --> 00:45:46.720]   - How much gross do we need to take out this year
[00:45:46.720 --> 00:45:50.460]   divided by whatever amount is in that core portfolio?
[00:45:50.460 --> 00:45:52.720]   So, if you take Morningstar's most recent research
[00:45:52.720 --> 00:45:55.300]   and you say, okay, 5.3%.
[00:45:55.300 --> 00:45:56.460]   We're gonna use that approach
[00:45:56.460 --> 00:45:57.620]   and that's gonna be the number.
[00:45:57.620 --> 00:46:02.620]   And if I need $53,000 given all the other sources I have,
[00:46:02.620 --> 00:46:07.060]   then my core portfolio has gotta start at a million.
[00:46:07.060 --> 00:46:10.020]   And that's 5.3 and then we go from there.
[00:46:10.020 --> 00:46:14.460]   - All right, a little controversy with this one.
[00:46:14.460 --> 00:46:17.220]   Earlier this year, Michael Kitsies published an article
[00:46:17.220 --> 00:46:18.820]   in which the authors argued
[00:46:18.820 --> 00:46:21.300]   the Guyton-Clinger guardrails are too risky
[00:46:21.300 --> 00:46:22.920]   for most retirees.
[00:46:22.920 --> 00:46:25.360]   In short, how would you respond to that argument?
[00:46:25.360 --> 00:46:30.620]   - I would need to be reminded about what the risk was.
[00:46:30.620 --> 00:46:34.660]   - I don't have any more than what was on the question.
[00:46:34.660 --> 00:46:36.060]   I'm not sure I read the article.
[00:46:36.060 --> 00:46:39.100]   - I think it was Derek Tharp maybe saying
[00:46:39.100 --> 00:46:43.380]   that you should refer to that probability
[00:46:43.380 --> 00:46:44.540]   should be the guiding light
[00:46:44.540 --> 00:46:46.540]   for determining how much you take out.
[00:46:46.540 --> 00:46:48.460]   - Yeah.
[00:46:48.460 --> 00:46:53.460]   You can take any withdrawal rate you want
[00:46:53.460 --> 00:46:58.580]   and you're either gonna make it lower
[00:46:58.580 --> 00:47:01.300]   because you want a higher certainty.
[00:47:01.300 --> 00:47:04.300]   You're going to, or if you don't want the risk
[00:47:04.300 --> 00:47:07.300]   of not being able to keep up with inflation,
[00:47:07.300 --> 00:47:09.260]   you have to start lower.
[00:47:09.260 --> 00:47:11.100]   There's no free lunch.
[00:47:11.100 --> 00:47:14.200]   It's just a matter of the preferences that you place.
[00:47:14.200 --> 00:47:16.960]   And quite frankly, if you saved enough money,
[00:47:16.960 --> 00:47:18.880]   you probably don't need to be worried
[00:47:18.880 --> 00:47:21.260]   about whether you're taking out four or 5%
[00:47:21.260 --> 00:47:24.640]   because what you need isn't that amount.
[00:47:24.640 --> 00:47:29.640]   So yeah, the one thing about some of the software-based
[00:47:29.640 --> 00:47:34.580]   running and you rerun it and you look at the probability
[00:47:34.580 --> 00:47:39.580]   is that when the software has some type of decision rule
[00:47:39.580 --> 00:47:43.520]   or guardrails built into it,
[00:47:43.520 --> 00:47:45.660]   the software knows in the middle of the scenario
[00:47:45.660 --> 00:47:47.120]   to make the adjustment.
[00:47:47.120 --> 00:47:48.100]   It just does it.
[00:47:48.100 --> 00:47:50.520]   And at the end of your thousand scenarios,
[00:47:50.520 --> 00:47:53.380]   it comes back and it says, okay, we had 10% of them failed.
[00:47:53.380 --> 00:47:55.900]   We tried, we applied the rules.
[00:47:55.900 --> 00:47:58.820]   We saved some of them, 10% failed.
[00:47:58.820 --> 00:48:02.460]   And if you do a scenario or you're using an engine
[00:48:02.460 --> 00:48:04.520]   that doesn't have those built in and you say,
[00:48:04.520 --> 00:48:06.280]   you can only have 10% that fail.
[00:48:06.280 --> 00:48:10.480]   So the 10% that fail are the 10% that include
[00:48:10.480 --> 00:48:12.420]   the ones that were gonna fail anyway
[00:48:12.420 --> 00:48:15.340]   and the ones that you could have saved but didn't
[00:48:15.340 --> 00:48:17.820]   because your software didn't know to make an adjustment.
[00:48:17.820 --> 00:48:19.420]   If you only get 10% failures
[00:48:19.420 --> 00:48:22.700]   and now you've got two categories as opposed to one,
[00:48:22.700 --> 00:48:25.340]   you've gotta start with a lower withdrawal percentage.
[00:48:25.340 --> 00:48:30.080]   So the great thing is I think we're really talking
[00:48:30.080 --> 00:48:32.880]   about very small differences.
[00:48:32.880 --> 00:48:35.580]   And I just wanna, here we are on the 30th anniversary
[00:48:35.580 --> 00:48:39.020]   of Bill's work and it's like, we have come so far
[00:48:39.020 --> 00:48:42.700]   and people have so much more confidence
[00:48:42.700 --> 00:48:45.340]   in whatever withdrawal method they're using.
[00:48:45.340 --> 00:48:50.240]   Before Bill, you had people like Peter Lynch at Fidelity
[00:48:50.240 --> 00:48:52.180]   saying, well, 10% of your auto work.
[00:48:52.180 --> 00:48:54.380]   And because it was Peter Lynch,
[00:48:54.380 --> 00:48:56.380]   people thought it must be right
[00:48:56.380 --> 00:48:58.380]   because he ran Fidelity Magellan.
[00:48:58.380 --> 00:49:03.180]   And so it's really a much better time to be looking at this
[00:49:03.180 --> 00:49:05.020]   from a retiree standpoint.
[00:49:05.020 --> 00:49:05.860]   - Isn't that the truth?
[00:49:05.860 --> 00:49:08.860]   Now we're arguing about 0.03 differences
[00:49:08.860 --> 00:49:10.780]   whereas people were taking out 8% and 10%.
[00:49:10.780 --> 00:49:14.260]   Your portfolio average is 8% and you can take out 8%.
[00:49:14.260 --> 00:49:18.740]   All right, here's one not so related I think to guidelines,
[00:49:18.740 --> 00:49:21.740]   but when does diversification become simply dilution?
[00:49:21.740 --> 00:49:29.100]   - Well, as I said earlier, you always,
[00:49:29.100 --> 00:49:31.900]   anything in your portfolio that gives you diversification
[00:49:31.900 --> 00:49:33.680]   needs to be there for a reason.
[00:49:33.680 --> 00:49:35.420]   And it's probably because something,
[00:49:35.420 --> 00:49:38.040]   you want some less correlation going on
[00:49:38.040 --> 00:49:40.460]   or at least you want certain things that are separate
[00:49:40.460 --> 00:49:43.900]   so you can choose to take money out of here and not there.
[00:49:43.900 --> 00:49:48.180]   And so, as long as it's helping you accomplish
[00:49:48.180 --> 00:49:51.820]   one of those things, it's probably not delusion,
[00:49:51.820 --> 00:49:54.060]   but there's a heck of a lot of stuff out there
[00:49:54.060 --> 00:49:57.700]   where you look at the diversifier that's being talked about
[00:49:57.700 --> 00:49:59.940]   and it's just somebody has something to sell.
[00:49:59.940 --> 00:50:04.400]   And they haven't stood the test of time.
[00:50:04.400 --> 00:50:09.260]   - Speaking of things to sell, somebody wants us to do a poll
[00:50:09.260 --> 00:50:11.220]   so we're gonna do a quick poll.
[00:50:11.220 --> 00:50:12.260]   Can you poll the audience?
[00:50:12.260 --> 00:50:14.740]   How many have more than 20% international
[00:50:14.740 --> 00:50:15.560]   in their portfolio?
[00:50:15.560 --> 00:50:18.140]   I'm assuming 20% stock total portfolio,
[00:50:18.140 --> 00:50:19.900]   more than 20%, raise your hand.
[00:50:19.900 --> 00:50:22.220]   All right, there you go, there's your poll.
[00:50:22.220 --> 00:50:23.080]   That one's easy.
[00:50:23.080 --> 00:50:27.060]   Now we're gonna talk about private equity.
[00:50:27.060 --> 00:50:29.460]   The private wealth, private equity investment
[00:50:29.460 --> 00:50:32.360]   advising industry has grown enormously in recent years.
[00:50:32.360 --> 00:50:35.260]   What's your opinion of its place in a retiree's portfolio?
[00:50:36.900 --> 00:50:41.180]   - Well, you know, it's different if it's liquid
[00:50:41.180 --> 00:50:43.320]   and where the costs are.
[00:50:43.320 --> 00:50:46.500]   You know, it's an active managed choice.
[00:50:46.500 --> 00:50:48.900]   And so you would wanna look at it the same way
[00:50:48.900 --> 00:50:51.780]   you evaluate any kind of an active manager
[00:50:51.780 --> 00:50:54.540]   that you would put into your portfolio.
[00:50:54.540 --> 00:50:57.440]   You know, it's small cap before it becomes small cap,
[00:50:57.440 --> 00:50:58.420]   if you will.
[00:50:58.420 --> 00:51:01.740]   And so it ought to work and in some places it does.
[00:51:01.740 --> 00:51:04.360]   So, you know, if you can find a way to do it
[00:51:04.360 --> 00:51:07.160]   in the products, you know, there's an old saying
[00:51:07.160 --> 00:51:10.000]   that the most expensive wrapping paper in the world
[00:51:10.000 --> 00:51:11.740]   comes for financial products.
[00:51:11.740 --> 00:51:15.160]   As soon as you wrap a layer around something,
[00:51:15.160 --> 00:51:17.180]   you know, you're adding things
[00:51:17.180 --> 00:51:18.680]   that take away from the results.
[00:51:18.680 --> 00:51:20.160]   So, you know, it's the same,
[00:51:20.160 --> 00:51:22.400]   it's just ask the same questions you would ask
[00:51:22.400 --> 00:51:23.740]   as an intelligent investor.
[00:51:23.740 --> 00:51:26.520]   There's Benjamin Graham for you all the way around.
[00:51:26.520 --> 00:51:29.360]   - Yeah, okay, last one here.
[00:51:29.360 --> 00:51:32.800]   With the guardrail strategy, what is the maximum cut
[00:51:32.800 --> 00:51:34.560]   that you would have had to take historically
[00:51:34.560 --> 00:51:36.780]   in '29 or '73 or 2000?
[00:51:36.780 --> 00:51:42.840]   - A lot of it, once you have to take the first cut,
[00:51:42.840 --> 00:51:44.280]   it becomes a lot more likely
[00:51:44.280 --> 00:51:46.720]   that you'll need to do another one
[00:51:46.720 --> 00:51:50.280]   because you need things to get better
[00:51:50.280 --> 00:51:52.900]   before you kind of get out of the woods
[00:51:52.900 --> 00:51:55.240]   because you're still taking money out.
[00:51:55.240 --> 00:52:00.240]   So in what you, so, but even when you go back
[00:52:00.320 --> 00:52:05.320]   to the Great Recession, we saw that in '08,
[00:52:05.320 --> 00:52:07.560]   you know, at the end of '08,
[00:52:07.560 --> 00:52:10.560]   there was a big enough down draw in the market
[00:52:10.560 --> 00:52:12.400]   at that point that you needed to take a cut
[00:52:12.400 --> 00:52:14.280]   and '09 didn't start out well.
[00:52:14.280 --> 00:52:17.360]   The actual market low was in March of the Great Recession.
[00:52:17.360 --> 00:52:20.760]   But then it got better, it got better fast.
[00:52:20.760 --> 00:52:22.440]   And you had double digit,
[00:52:22.440 --> 00:52:24.600]   I think the market was still up 30% for the year
[00:52:24.600 --> 00:52:27.960]   even after being down 20%, you know, for the first quarter.
[00:52:27.960 --> 00:52:30.720]   So there didn't turn out to be another cut.
[00:52:30.720 --> 00:52:32.080]   But it could happen.
[00:52:32.080 --> 00:52:37.080]   And, you know, if you think about 5.3 and cut 10%,
[00:52:37.080 --> 00:52:43.320]   that's 4.8, cut another 10%, that's, you know,
[00:52:43.320 --> 00:52:47.020]   call that 4.3, you gotta have a number of cuts
[00:52:47.020 --> 00:52:49.780]   before you get back down to what would have been safe
[00:52:49.780 --> 00:52:52.960]   and sustainable where you would never have that.
[00:52:52.960 --> 00:52:55.480]   But yeah, you gotta be prepared to take your medicine
[00:52:55.480 --> 00:52:57.820]   and sometimes you have to have another round.
[00:52:57.820 --> 00:52:58.840]   - Yeah.
[00:52:58.840 --> 00:52:59.680]   Thank you so much.
[00:52:59.680 --> 00:53:01.520]   Let's give a round of applause to Christine and Jonathan.
[00:53:01.520 --> 00:53:04.680]   (audience applauding)
[00:53:04.680 --> 00:53:06.740]   you
[00:53:06.740 --> 00:53:08.800]   you

