
[00:00:00.000 --> 00:00:10.940]   Let me also pull up chat real quick. But for those that don't know, there's the five series
[00:57:42.480 --> 00:57:47.040]   chat real quick, but if anyone wants to pop in share, please, um, you know, interrupt me now.
[00:57:47.040 --> 00:58:00.480]   Yeah. So they call this SFT instead of, uh, deep seeks use of distill. So distill has like a term
[00:58:00.480 --> 00:58:05.680]   of distillation loss, right? Where you kind of compare output logics and you kind of force what did
[00:58:05.680 --> 00:58:11.520]   big model say? Let's, let's do actual distillation there. They, they do know how this is basically just
[00:58:11.520 --> 00:58:16.480]   SFT on big model outputs. That's the beginning. What's the difference between five, four reasoning
[00:58:16.480 --> 00:58:24.560]   and reasoning mini? Oh, five, four reasoning is on their big 14 B model. So five, four 14 B, uh,
[00:58:24.560 --> 00:58:32.240]   gets trained to do reasoning. It's on par with O one mini O one and seven 70 B distills. The reasoning
[00:58:32.240 --> 00:58:40.240]   mini model is done on a three B. So reasoning mini, they, they do, um, post training on a 3.8 B and they show
[00:58:40.240 --> 00:58:47.760]   that they can match distill seven B's and they show that, you know, if you take what distillation was
[00:58:47.760 --> 00:58:53.280]   done to big models and you directly apply it to a small model, it doesn't work. So they try the S1 data
[00:58:53.280 --> 00:59:00.480]   set on a small model. It does worse, but they have a blueprint for how to do this for small, small models.
[00:59:01.200 --> 00:59:08.560]   Is there anything interesting in the mini ablation section? Maybe which part they deem most important for
[00:59:08.560 --> 00:59:14.000]   small models following their, their narrative is mid training or do they imply the combination is the key?
[00:59:14.000 --> 00:59:20.720]   Um, let's see. Let's see. Let's see. Let's see. Uh, our distillation pipeline serves an effective
[00:59:20.720 --> 00:59:29.520]   approach to measure reasoning. I don't think there's much that's reasoning here, much that's super, um,
[00:59:29.520 --> 00:59:37.040]   important. Basically they just have like a, you need to do some mid training. They, they pose some open
[00:59:37.040 --> 00:59:46.160]   questions. Um, yeah, cool. Okay. Thank you everyone. Sorry for last minute, um, paper change.
[00:59:46.160 --> 00:59:54.480]   I low-key read this like an hour and a half ago, but hopefully it was useful. I'm sure some of this is
[00:59:54.480 --> 01:00:05.440]   wrong, but yeah. Uh, next week we should have, uh, Professor Tom who does, uh, by hand illustrations,
[01:00:05.440 --> 01:00:12.320]   talk about the differences in Lama 1, 2, 3, and 4 architecture. I'll share more in Discord. Um, he was
[01:00:12.320 --> 01:00:18.080]   gonna just do Lama 4, but we pushed it a week so he has time to prep to do a better comparison between,
[01:00:18.080 --> 01:00:22.480]   you know, what's actually changing between the series. So that should be next. We always need
[01:00:22.480 --> 01:00:29.360]   volunteers. So if anyone wants to volunteer a paper, uh, let us know and we'll, we'll slot you in.
[01:00:29.360 --> 01:00:38.960]   Someone, so Flo says, I can't wait till GPT 5.4 drops and I can't tell if people are saying 5, 4,
[01:00:38.960 --> 01:00:46.400]   5, 4, like GPT 5.4 or 5, 4, uh, people will be saying GPT 5.4 because no one talks about the five
[01:00:46.400 --> 01:00:52.400]   models. These are cool, but really, really not many people talk about them. Uh, not many people use
[01:00:52.400 --> 01:00:58.320]   them, but it's, it's always nice to have, you know, it's, it's open research. They, they do a lot of work,
[01:00:58.320 --> 01:01:02.640]   but yeah, nobody, nobody really talks about these. The only people that talk about them are people that
[01:01:02.640 --> 01:01:10.080]   kind of shit on them for, um, training on benchmarks. If I'm not mistaken, they made
[01:01:10.080 --> 01:01:20.000]   one of these multimodal and five, four or five, three with audio had the best transcription word
[01:01:20.000 --> 01:01:27.040]   error rate. Someone fact checked me on this, but, um, I'll follow up somewhere. I'm pretty sure the
[01:01:27.040 --> 01:01:32.240]   multilingual version of this had the best word error rate out of any model. Now that's not saying a lot
[01:01:32.240 --> 01:01:38.320]   because speech and transcription models are small, like low latency efficient optimized. This is a fat
[01:01:38.320 --> 01:01:48.000]   model, but yeah, uh, multimodal large models get good. You know, what can you say? Okay. I feel like,
[01:01:48.000 --> 01:02:13.280]   um, that's enough. Thanks guys. Okay, I would end meeting, but Suix is host, so he will end meeting.
[01:02:13.280 --> 01:02:19.360]   So, um, that's a good question. I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:19.360 --> 01:02:23.520]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:23.520 --> 01:02:25.440]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:25.440 --> 01:02:27.360]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:27.360 --> 01:02:29.520]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:29.520 --> 01:02:33.520]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:33.520 --> 01:02:35.520]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:35.520 --> 01:02:40.000]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:40.000 --> 01:02:42.480]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:42.480 --> 01:02:43.600]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:43.600 --> 01:02:47.800]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:47.800 --> 01:02:51.800]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:51.800 --> 01:02:53.920]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:53.920 --> 01:02:55.840]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:55.840 --> 01:02:57.840]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:57.840 --> 01:02:59.840]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:02:59.840 --> 01:03:01.840]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:01.840 --> 01:03:05.840]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:05.840 --> 01:03:07.840]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:07.840 --> 01:03:10.560]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:10.560 --> 01:03:12.320]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:12.320 --> 01:03:14.240]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:14.240 --> 01:03:16.160]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:16.160 --> 01:03:18.080]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:18.080 --> 01:03:20.000]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:20.000 --> 01:03:21.840]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:21.840 --> 01:03:24.080]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:24.080 --> 01:03:26.080]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:26.080 --> 01:03:28.320]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:28.320 --> 01:03:32.480]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:32.480 --> 01:03:34.480]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:34.480 --> 01:03:36.880]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:36.880 --> 01:03:38.640]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:38.640 --> 01:03:40.640]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:40.640 --> 01:03:42.640]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:42.640 --> 01:03:44.640]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:44.640 --> 01:03:46.640]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:46.640 --> 01:03:59.200]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:03:59.200 --> 01:04:03.200]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:04:03.200 --> 01:04:05.200]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:04:05.200 --> 01:04:07.440]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:04:07.440 --> 01:04:11.600]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:04:11.600 --> 01:04:15.600]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:04:15.600 --> 01:04:16.800]   What are you going to ask you to answer your question?
[01:04:16.800 --> 01:04:19.440]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:04:19.440 --> 01:04:22.400]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:04:22.400 --> 01:04:25.840]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:04:25.840 --> 01:04:28.960]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.
[01:04:28.960 --> 01:04:32.960]   I'm going to ask you to answer your question. I'm going to ask you to answer your question.

