
[00:00:00.000 --> 00:00:07.520]   I actually want to share my entire screen for a second. So Magistral is kind of Mistral's
[00:50:58.480 --> 00:51:03.480]   Um, RL model using open source reasoning traces.
[00:51:03.480 --> 00:51:13.480]   So they use, um, open thoughts and code subset, both improve prompt generalization, generations, da, da, da, da, da.
[00:51:13.480 --> 00:51:16.480]   Applying RL is good over SFT checkpoint.
[00:51:16.480 --> 00:51:17.480]   Good.
[00:51:17.480 --> 00:51:18.480]   Good.
[00:51:18.480 --> 00:51:18.480]   Good.
[00:51:18.480 --> 00:51:20.480]   You can do pure RL without SFT.
[00:51:20.480 --> 00:51:21.480]   What else?
[00:51:21.480 --> 00:51:22.480]   Conclusion.
[00:51:22.480 --> 00:51:23.480]   Okay.
[00:51:23.480 --> 00:51:25.480]   Uh, we look forward to the next research.
[00:51:25.480 --> 00:51:28.480]   What loss and optimization algorithms are most appropriate?
[00:51:28.480 --> 00:51:36.480]   How much gain can be unlocked by bootstrapping with its own reasoning traces or how to scale the next generation, next order of magnitude of compute?
[00:51:36.480 --> 00:51:37.480]   How do we scale this up?
[00:51:37.480 --> 00:51:43.480]   So basically I really liked that, um, that section on infrastructure.
[00:51:43.480 --> 00:51:48.480]   How do we scale this up another organ, uh, another order of magnitude?
[00:51:48.480 --> 00:51:49.480]   That's another follow up.
[00:51:49.480 --> 00:51:51.480]   That's another open question.
[00:51:51.480 --> 00:51:52.480]   Then the fun one.
[00:51:52.480 --> 00:51:57.480]   Uh, we want to push the boundaries of RL across a whole range of applications.
[00:51:57.480 --> 00:52:01.480]   They want to do RL with tool use integrated multimodality and agents.
[00:52:01.480 --> 00:52:02.480]   Uh, multimodality.
[00:52:02.480 --> 00:52:07.480]   Think about verification of images and like questions like that.
[00:52:07.480 --> 00:52:12.480]   And then agents, agents is a feature where we're hyped.
[00:52:12.480 --> 00:52:14.480]   So that's conclusion.
[00:52:14.480 --> 00:52:15.480]   Um, damn.
[00:52:15.480 --> 00:52:19.480]   I really want to go over second paper, but I was too hyped on this one.
[00:52:19.480 --> 00:52:22.480]   When I was setting programming, dah, dah, dah, dah.
[00:52:22.480 --> 00:52:23.480]   Okay.
[00:52:23.480 --> 00:52:24.480]   Any questions?
[00:52:24.480 --> 00:52:27.480]   Um, what questions do we have?
[00:52:27.480 --> 00:52:29.480]   Someone interrupt me for their questions.
[00:52:29.480 --> 00:52:33.480]   Otherwise I'm going to do a four minute, unjustice to small lm3.
[00:52:33.480 --> 00:52:34.480]   No questions.
[00:52:34.480 --> 00:52:35.480]   Small lm3.
[00:52:35.480 --> 00:52:36.480]   No questions.
[00:52:36.480 --> 00:52:37.480]   Small lm3.
[00:52:37.480 --> 00:52:39.480]   This came out of Hugging Face yesterday.
[00:52:39.480 --> 00:52:41.480]   Chonky, chunky dataset model.
[00:52:41.480 --> 00:52:42.480]   Uh, but you know, very good.
[00:52:42.480 --> 00:52:43.480]   I must shout out Hugging Face.
[00:52:43.480 --> 00:52:44.480]   It's actual research.
[00:52:44.480 --> 00:52:50.480]   Um, they did a lot of experiments, ablations, a million dollar train run.
[00:52:50.480 --> 00:52:53.480]   They train a three B that's a hybrid reasoner.
[00:52:53.480 --> 00:52:55.480]   First thing that shows us how to do good hybrid reasoning.
[00:52:55.480 --> 00:52:57.480]   Uh, pre-training is all done.
[00:52:57.480 --> 00:52:59.480]   Post-training is all done.
[00:52:59.480 --> 00:53:00.480]   11 trillion tokens.
[00:53:00.480 --> 00:53:03.480]   Soda at three B scale competitive with four B.
[00:53:03.480 --> 00:53:04.480]   I used to think this is stupid.
[00:53:04.480 --> 00:53:05.480]   Just run a four B.
[00:53:05.480 --> 00:53:09.480]   But, uh, I guess, you know, you're, you're shaving off a lot of parameters.
[00:53:09.480 --> 00:53:16.480]   You're shaving 30% of, um, your weight, which is important for edge stuff, but really uses edge stuff.
[00:53:16.480 --> 00:53:19.480]   Uh, instruction model with dual mode reasoning.
[00:53:19.480 --> 00:53:20.480]   That's new.
[00:53:20.480 --> 00:53:25.480]   Uh, basically to do this, uh, they do a mixture of thinking, no thinking.
[00:53:25.480 --> 00:53:28.480]   Is there a good paper on agentic behavior URL?
[00:53:28.480 --> 00:53:29.480]   I don't know.
[00:53:29.480 --> 00:53:31.480]   Multilingual, long context.
[00:53:31.480 --> 00:53:32.480]   Great paper, great paper.
[00:53:32.480 --> 00:53:33.480]   Well, not really a paper.
[00:53:33.480 --> 00:53:34.480]   It's just a blog post.
[00:53:34.480 --> 00:53:35.480]   I expect better.
[00:53:35.480 --> 00:53:37.480]   Um, group query attention.
[00:53:37.480 --> 00:53:38.480]   Nope.
[00:53:38.480 --> 00:53:39.480]   Intra document masking.
[00:53:39.480 --> 00:53:40.480]   Okay.
[00:53:40.480 --> 00:53:41.480]   Forget all that.
[00:53:41.480 --> 00:53:42.480]   Here's their fun nodes.
[00:53:42.480 --> 00:53:44.480]   They use a whole lot of GPUs.
[00:53:44.480 --> 00:53:48.480]   48 nodes of H one hundreds for 220,000 GPU hours.
[00:53:48.480 --> 00:53:53.480]   Uh, distributed was, oh no, I've opened stuff.
[00:53:53.480 --> 00:54:00.480]   Um, yeah, distributed data parallel and tensor parallel checkpoint saving.
[00:54:00.480 --> 00:54:01.480]   Okay.
[00:54:01.480 --> 00:54:04.480]   Uh, data mixture three phases of training.
[00:54:04.480 --> 00:54:06.480]   First phase, all web, then more math and code.
[00:54:06.480 --> 00:54:07.480]   Then even more math and code.
[00:54:07.480 --> 00:54:08.480]   Crazy, crazy.
[00:54:08.480 --> 00:54:10.480]   Uh, what data sets go into here.
[00:54:10.480 --> 00:54:11.480]   They talk about it.
[00:54:11.480 --> 00:54:15.480]   Uh, mid training, this concept of mid training context length extension.
[00:54:15.480 --> 00:54:17.480]   I think the more fun stuff is reasoning.
[00:54:17.480 --> 00:54:19.480]   When reasoning comes in and mid training.
[00:54:19.480 --> 00:54:24.480]   Um, so after extending context length, we do, we do mid training.
[00:54:24.480 --> 00:54:26.480]   They use other data sets.
[00:54:26.480 --> 00:54:29.480]   So open thoughts and Nvidia Nemo Tron post training reasoning.
[00:54:29.480 --> 00:54:33.480]   Uh, this is distilled from R1 open thoughts as well.
[00:54:33.480 --> 00:54:34.480]   35 billion tokens.
[00:54:34.480 --> 00:54:36.480]   We use chat ML template.
[00:54:36.480 --> 00:54:37.480]   Da, da, da, da, da.
[00:54:37.480 --> 00:54:38.480]   Post training.
[00:54:38.480 --> 00:54:40.480]   Um, da, da, da, da.
[00:54:40.480 --> 00:54:42.480]   Mid training, post training.
[00:54:42.480 --> 00:54:43.480]   APO.
[00:54:43.480 --> 00:54:44.480]   APO was interesting.
[00:54:44.480 --> 00:54:45.480]   Building the chat template.
[00:54:45.480 --> 00:54:46.480]   Do SFT.
[00:54:46.480 --> 00:54:47.480]   Okay.
[00:54:47.480 --> 00:54:48.480]   I don't have time for this paper.
[00:54:48.480 --> 00:54:49.480]   This is too long.
[00:54:49.480 --> 00:54:50.480]   Model merging.
[00:54:50.480 --> 00:54:51.480]   I talked about model merging.
[00:54:51.480 --> 00:54:52.480]   This was a fun one.
[00:54:52.480 --> 00:54:57.480]   APO is a way to kind of better DPO.
[00:54:57.480 --> 00:55:03.480]   It's like a play on DPO that lets it do good RL reasoning plus, um, context.
[00:55:03.480 --> 00:55:05.480]   Then we model merge by context.
[00:55:05.480 --> 00:55:10.480]   Performance is stupid, but I wanna, I wanna talk about this dual instruct reasoning model.
[00:55:10.480 --> 00:55:11.480]   This is very interesting.
[00:55:11.480 --> 00:55:16.480]   Um, I think, I think I shouldn't do this paper harm by doing it one minute.
[00:55:16.480 --> 00:55:19.480]   Maybe we get someone from hugging face to do it next time.
[00:55:19.480 --> 00:55:21.480]   Or, or we just do this one.
[00:55:21.480 --> 00:55:23.480]   It's kind of short, but yeah, you should read this.
[00:55:23.480 --> 00:55:24.480]   Um, good paper.
[00:55:24.480 --> 00:55:25.480]   Good paper.
[00:55:25.480 --> 00:55:28.480]   Ooh, small LLM pod.
[00:55:28.480 --> 00:55:29.480]   Nevermind.
[00:55:29.480 --> 00:55:31.480]   Why do paper club when we have podcast?
[00:55:31.480 --> 00:55:32.480]   Um, okay.
[00:55:32.480 --> 00:55:34.480]   I guess they're coming on podcast.
[00:55:34.480 --> 00:55:36.480]   Coming paper club important for learning.
[00:55:36.480 --> 00:55:37.480]   Okay.
[00:55:37.480 --> 00:55:43.480]   Well, maybe next time I'll do 20 minutes on this or we'll have someone join us and talk
[00:55:43.480 --> 00:55:44.480]   about this too.
[00:55:44.480 --> 00:55:45.480]   TBD.
[00:55:45.480 --> 00:55:46.480]   Okay.
[00:55:46.480 --> 00:55:48.480]   I hope my ramble of why I thought this infrastructure was cool.
[00:55:48.480 --> 00:55:50.480]   It's very interesting to me actually.
[00:55:50.480 --> 00:55:52.480]   I'm not much of an info guy.
[00:55:52.480 --> 00:55:53.480]   I don't really care about this.
[00:55:53.480 --> 00:55:58.480]   But then once I, um, I think it's, it's different when you do pre and post training and you just
[00:55:58.480 --> 00:55:59.480]   have GPU go bird.
[00:55:59.480 --> 00:56:01.480]   This is not GPU go bird.
[00:56:01.480 --> 00:56:02.480]   This is, uh, oh shit.
[00:56:02.480 --> 00:56:09.480]   We'll have a lot of like over, overhang and dead GPU inefficiency if we do stuff sequentially.
[00:56:09.480 --> 00:56:11.480]   So here's how they, here's how we do it.
[00:56:11.480 --> 00:56:13.480]   Next time we can peek into the training data.
[00:56:13.480 --> 00:56:14.480]   Yeah.
[00:56:14.480 --> 00:56:15.480]   I think training data is one aspect.
[00:56:15.480 --> 00:56:17.480]   Uh, these data sets are open.
[00:56:17.480 --> 00:56:21.480]   People have already done a lot of exploratory analysis and breakdown of them.
[00:56:21.480 --> 00:56:27.480]   But the fun thing that we can actually dig into is the, um, the training code.
[00:56:27.480 --> 00:56:30.480]   So, you know, uh, all, all this stuff is open.
[00:56:30.480 --> 00:56:33.480]   I will probably, oh no, we're cooked.
[00:56:33.480 --> 00:56:38.480]   I'll probably just, uh, throw all this in cloud code and we can, we can yap around with it if
[00:56:38.480 --> 00:56:39.480]   we want.
[00:56:39.480 --> 00:56:43.480]   But yeah, I don't want to, I don't want to keep you guys, um, for too long.
[00:56:43.480 --> 00:56:50.480]   If there's any, if there's any fun questions or anything, let me know.
[00:56:50.480 --> 00:56:54.480]   Um, congrats people on, on a fantastic presentation.
[00:56:54.480 --> 00:56:58.480]   Um, always love these like deep dyes, especially when it's like a really good paper.
[00:56:58.480 --> 00:57:00.480]   Like, um, I actually didn't read it.
[00:57:00.480 --> 00:57:01.480]   I don't know why I didn't read it.
[00:57:01.480 --> 00:57:02.480]   I just was busy that day.
[00:57:02.480 --> 00:57:04.480]   So thank you for highlighting it.
[00:57:04.480 --> 00:57:05.480]   Okay.
[00:57:05.480 --> 00:57:06.480]   Thanks guys.
[00:57:06.480 --> 00:57:07.480]   See you next week.
[00:57:07.480 --> 00:57:08.480]   Thanks everyone.
[00:57:08.480 --> 00:57:09.480]   I need volunteers.
[00:57:09.480 --> 00:57:10.480]   Volunteer, volunteer volunteer.
[00:57:10.480 --> 00:57:17.480]   If someone wants to volunteer for a paper, let us know, uh, potentially small LM3 next
[00:57:17.480 --> 00:57:20.480]   week, but any, any time in the future, if anyone wants to volunteer, let me know.
[00:57:20.480 --> 00:57:21.480]   Grok 4.
[00:57:21.480 --> 00:57:23.480]   Grok 4 will not be a paper.
[00:57:23.480 --> 00:57:29.480]   For, for, for fun context, for those that don't know, I, I used to run a very aggressive
[00:57:29.480 --> 00:57:31.480]   shitposting alt on Twitter.
[00:57:31.480 --> 00:57:35.480]   And, um, when Grok 3 came out, I poked, I poked the bear.
[00:57:35.480 --> 00:57:37.480]   I really shat on their charts.
[00:57:37.480 --> 00:57:38.480]   I got into Twitter beef.
[00:57:38.480 --> 00:57:39.480]   Elon got involved.
[00:57:39.480 --> 00:57:42.480]   And then the next day my account was terminated.
[00:57:42.480 --> 00:57:46.480]   So if you shitpost on Twitter, don't, don't go get Grok.
[00:57:46.480 --> 00:57:49.480]   I learned my lesson, but, uh, yeah, Grok 4 today.
[00:57:49.480 --> 00:57:52.480]   Um, Grok, Grok 4.
[00:57:52.480 --> 00:57:57.480]   So interestingly enough, they open sourced Grok 1 when Grok 2 came out.
[00:57:57.480 --> 00:57:59.480]   They didn't open source Grok 2 when Grok 3 came out.
[00:57:59.480 --> 00:58:00.480]   Maybe they open source Grok 3.
[00:58:00.480 --> 00:58:01.480]   Who knows?
[00:58:01.480 --> 00:58:05.480]   Um, we'll maybe do a watch party.
[00:58:05.480 --> 00:58:06.480]   Uh, who knows?
[00:58:06.480 --> 00:58:07.480]   Paper highlights and Zotero?
[00:58:07.480 --> 00:58:08.480]   No, I'm not a Zotero guy.
[00:58:08.480 --> 00:58:09.480]   I don't know how it works.
[00:58:09.480 --> 00:58:13.480]   Too hard, too hard for me, but I'll share my paper highlights and maybe someone can throw
[00:58:13.480 --> 00:58:14.480]   in Zotero.
[00:58:14.480 --> 00:58:18.480]   Um, for Timeless Paper Club, I think I'll share a post later this week.
[00:58:18.480 --> 00:58:20.480]   I have a bunch of topics papers.
[00:58:20.480 --> 00:58:23.480]   There's some domains where I'll cover them.
[00:58:23.480 --> 00:58:26.480]   If anyone wants to volunteer, that would be useful too.
[00:58:26.480 --> 00:58:32.480]   So, um, some stuff, like if you think you're good, like if you know diffusion pretty well,
[00:58:32.480 --> 00:58:36.480]   if you know optimizers, if you know, like inference optimization, like flash attention,
[00:58:36.480 --> 00:58:41.480]   if there's shit that you're passionate about, if there's stuff that you want accountability
[00:58:41.480 --> 00:58:45.480]   to learn and, and read over, maybe we do it together or you take it.
[00:58:45.480 --> 00:58:46.480]   And, uh, yeah, that'll be fun.
[00:58:46.480 --> 00:58:49.480]   I'll give you a list of papers or, you know, feel free to add some.
[00:58:49.480 --> 00:58:52.480]   And then, and then we'll, we'll go through second paper clip.
[00:58:52.480 --> 00:58:56.480]   Uh, launch event for OpenAI's open source model next week.
[00:58:56.480 --> 00:58:56.480]   Yeah.
[00:58:56.480 --> 00:59:03.480]   Uh, someone said that it's, uh, next week, but I heard a date that's slightly later.
[00:59:03.480 --> 00:59:04.480]   Where is this?
[00:59:04.480 --> 00:59:06.480]   Where is this new open source model?
[00:59:06.480 --> 00:59:12.480]   So someone has said that it comes out, um, next Thursday.
[00:59:12.480 --> 00:59:15.480]   I heard later, but we'll see.
[00:59:15.480 --> 00:59:16.480]   We'll see.
[00:59:16.480 --> 00:59:19.480]   Um, I dunno, maybe we'll do an event.
[00:59:19.480 --> 00:59:20.480]   Maybe, maybe we won't.
[00:59:20.480 --> 00:59:23.480]   It's not dev day in November.
[00:59:23.480 --> 00:59:26.480]   It's, it's this month, but maybe not next week.
[00:59:26.480 --> 00:59:27.480]   Okay.
[00:59:27.480 --> 00:59:29.480]   Anyway, enough yap.
[00:59:29.480 --> 00:59:33.480]   Thanks for listening to my yap guys.
[00:59:33.480 --> 00:59:35.480]   Two weeks.
[00:59:35.480 --> 00:59:36.480]   Okay.
[00:59:36.480 --> 00:59:39.480]   Not next week, two weeks, but we'll see.

