
[00:00:00.000 --> 00:00:01.000]   Okay, great, great.
[00:32:04.000 --> 00:32:05.000]   Thanks, everyone.
[00:32:05.000 --> 00:32:06.000]   Thanks for presenting, dude.
[00:32:06.000 --> 00:32:08.000]   Yeah, I think Nick says Casper
[00:32:08.000 --> 00:32:10.000]   with mono-semanticity,
[00:32:10.000 --> 00:32:14.000]   I think.
[00:32:14.000 --> 00:32:15.000]   All right.
[00:32:15.000 --> 00:32:17.000]   Do you mind?
[00:32:17.000 --> 00:32:19.000]   Okay.
[00:32:19.000 --> 00:32:21.000]   So
[00:32:21.000 --> 00:32:25.000]   I promise it's not just a
[00:32:25.000 --> 00:32:27.000]   but let me just get through
[00:32:27.000 --> 00:32:28.000]   some basic stuff first
[00:32:28.000 --> 00:32:29.000]   before we go through
[00:32:29.000 --> 00:32:31.000]   some interesting dashboards
[00:32:31.000 --> 00:32:34.000]   and visualizations.
[00:32:34.000 --> 00:32:35.000]   So I'm covering the paper
[00:32:35.000 --> 00:32:38.000]   towards mono-semanticity,
[00:32:38.000 --> 00:32:41.000]   which Anthropic released,
[00:32:41.000 --> 00:32:45.000]   I believe it was late last year.
[00:32:45.000 --> 00:32:47.000]   And basically the primary
[00:32:47.000 --> 00:32:49.000]   contribution of this paper
[00:32:49.000 --> 00:32:51.000]   was demonstrating
[00:32:51.000 --> 00:32:54.000]   that it's possible to use
[00:32:54.000 --> 00:32:56.000]   sparse autoencoders to identify
[00:32:56.000 --> 00:32:59.000]   features in a language model.
[00:32:59.000 --> 00:33:01.000]   So that's really fuzzy,
[00:33:01.000 --> 00:33:03.000]   but maybe just to
[00:33:03.000 --> 00:33:05.000]   level set and make sure everyone
[00:33:05.000 --> 00:33:08.000]   has an idea of what I'm talking about here.
[00:33:08.000 --> 00:33:09.000]   You know, this is
[00:33:09.000 --> 00:33:11.000]   probably one of the most important works
[00:33:11.000 --> 00:33:13.000]   in the field of mechanistic interpretability
[00:33:13.000 --> 00:33:15.000]   or mechinterp
[00:33:15.000 --> 00:33:19.000]   over the past sort of few years.
[00:33:19.000 --> 00:33:22.000]   And so what is mechanistic interpretability?
[00:33:22.000 --> 00:33:24.000]   It's basically making the inner workings
[00:33:24.000 --> 00:33:27.000]   of a neural network human interpretable.
[00:33:27.000 --> 00:33:29.000]   And this is in contrast
[00:33:29.000 --> 00:33:31.000]   to other interpretability
[00:33:31.000 --> 00:33:34.000]   or AI explainability approaches,
[00:33:34.000 --> 00:33:37.000]   which take more of a behavioral approach.
[00:33:37.000 --> 00:33:39.000]   If you think of like
[00:33:39.000 --> 00:33:42.000]   behaviorists in psychology,
[00:33:42.000 --> 00:33:44.000]   that's often the approach that's taken
[00:33:44.000 --> 00:33:46.000]   by some researchers.
[00:33:46.000 --> 00:33:48.000]   Mechinterp, on the other hand,
[00:33:48.000 --> 00:33:50.000]   is very much concerned with
[00:33:50.000 --> 00:33:53.000]   the activations within a model
[00:33:53.000 --> 00:33:56.000]   and figuring out at a very sort of
[00:33:56.000 --> 00:33:58.000]   granular level
[00:33:58.000 --> 00:34:02.000]   how it is a model is working.
[00:34:02.000 --> 00:34:05.000]   So really what we're trying to do here
[00:34:05.000 --> 00:34:07.000]   or what mechinterp is trying to do is
[00:34:07.000 --> 00:34:10.000]   trying to find features, right?
[00:34:10.000 --> 00:34:13.000]   And, you know, it's a bit of a fuzzy definition,
[00:34:13.000 --> 00:34:15.000]   but think of a feature as sort of
[00:34:15.000 --> 00:34:19.000]   a property of a token or a group of tokens.
[00:34:19.000 --> 00:34:21.000]   You know, for example,
[00:34:21.000 --> 00:34:24.000]   there might be a feature that fires
[00:34:24.000 --> 00:34:28.000]   on pronouns where
[00:34:28.000 --> 00:34:31.000]   and this might be an attention feature
[00:34:31.000 --> 00:34:36.000]   and it,
[00:34:36.000 --> 00:34:38.000]   you know, that feature firing,
[00:34:38.000 --> 00:34:41.000]   that feature activation might signify that,
[00:34:41.000 --> 00:34:43.000]   you know, the pronoun is attending
[00:34:43.000 --> 00:34:46.000]   to another proper noun
[00:34:46.000 --> 00:34:48.000]   somewhere in the sequence.
[00:34:48.000 --> 00:34:50.000]   Or, you know, it could be a
[00:34:50.000 --> 00:34:53.000]   sort of more fuzzy sort of feature where
[00:34:53.000 --> 00:34:55.000]   if this feature is firing,
[00:34:55.000 --> 00:34:58.000]   then the sort of sequence
[00:34:58.000 --> 00:35:00.000]   sounds angry, right?
[00:35:00.000 --> 00:35:02.000]   And there's all sorts of features.
[00:35:02.000 --> 00:35:03.000]   Basically, you know, if you think about
[00:35:03.000 --> 00:35:04.000]   what a model is capable of,
[00:35:04.000 --> 00:35:06.000]   what it can represent,
[00:35:06.000 --> 00:35:08.000]   you should have a feature underlying
[00:35:08.000 --> 00:35:11.000]   all of those capabilities, right?
[00:35:11.000 --> 00:35:14.000]   Now, the problem here is that
[00:35:14.000 --> 00:35:19.000]   it's actually really hard to identify features
[00:35:19.000 --> 00:35:21.000]   because models are so big.
[00:35:21.000 --> 00:35:24.000]   And in addition to that,
[00:35:24.000 --> 00:35:27.000]   you don't have nice clean features where
[00:35:27.000 --> 00:35:31.000]   one feature corresponds to a single neuron.
[00:35:31.000 --> 00:35:34.000]   And the sort of hypothesis is that
[00:35:34.000 --> 00:35:36.000]   it's because a model represents
[00:35:36.000 --> 00:35:39.000]   far more features than there are neurons
[00:35:39.000 --> 00:35:41.000]   available in the model.
[00:35:41.000 --> 00:35:42.000]   If you think about, you know,
[00:35:42.000 --> 00:35:45.000]   every single feature that you'd want to represent
[00:35:45.000 --> 00:35:48.000]   to represent the world,
[00:35:48.000 --> 00:35:52.000]   then it's sort of like,
[00:35:52.000 --> 00:35:54.000]   it's sort of obvious that a model can't be
[00:35:54.000 --> 00:35:57.000]   large enough such that you have one neuron
[00:35:57.000 --> 00:36:03.000]   that corresponds to each feature, right?
[00:36:03.000 --> 00:36:05.000]   But empirically, you know,
[00:36:05.000 --> 00:36:06.000]   it's been shown that it is possible
[00:36:06.000 --> 00:36:08.000]   to identify features.
[00:36:08.000 --> 00:36:10.000]   And this was initially done through
[00:36:10.000 --> 00:36:13.000]   really hard manual work
[00:36:13.000 --> 00:36:16.000]   and just, you know, people eyeballing
[00:36:16.000 --> 00:36:20.000]   feature activations.
[00:36:20.000 --> 00:36:23.000]   And broadly, this approach of figuring out
[00:36:23.000 --> 00:36:26.000]   what features a model represents is
[00:36:26.000 --> 00:36:29.000]   sometimes also called dictionary learning.
[00:36:29.000 --> 00:36:31.000]   So with that sort of background,
[00:36:31.000 --> 00:36:33.000]   you know, maybe I'll jump into the paper.
[00:36:33.000 --> 00:36:37.000]   So towards monosemitism was
[00:36:37.000 --> 00:36:40.000]   one of the first papers to
[00:36:40.000 --> 00:36:42.000]   really introduce and demonstrate that
[00:36:42.000 --> 00:36:45.000]   sparse autoencoders
[00:36:45.000 --> 00:36:47.000]   appear to be a pretty effective
[00:36:47.000 --> 00:36:50.000]   dictionary learning method.
[00:36:50.000 --> 00:36:52.000]   And what was done in this paper
[00:36:52.000 --> 00:36:56.000]   is that the authors at Entropiq
[00:36:56.000 --> 00:36:59.000]   trained sparse autoencoders to reconstruct
[00:36:59.000 --> 00:37:02.000]   the outputs of an MLP layer.
[00:37:02.000 --> 00:37:04.000]   But in this reconstruction,
[00:37:04.000 --> 00:37:05.000]   there's two things added.
[00:37:05.000 --> 00:37:08.000]   One is a sparsity penalty to remove noise
[00:37:08.000 --> 00:37:11.000]   and find, you know, more interpretable
[00:37:11.000 --> 00:37:13.000]   feature activations.
[00:37:13.000 --> 00:37:18.000]   And two, an expansion factor,
[00:37:18.000 --> 00:37:25.000]   which makes it so that you can --
[00:37:25.000 --> 00:37:28.000]   it's easier to sort of represent more features
[00:37:28.000 --> 00:37:31.000]   or identify more features using the SAE.
[00:37:31.000 --> 00:37:34.000]   And the way they did that in the paper
[00:37:34.000 --> 00:37:39.000]   was using a toy model with a single layer.
[00:37:39.000 --> 00:37:43.000]   So a single layer MLP.
[00:37:43.000 --> 00:37:45.000]   And they took the sort of hidden representations
[00:37:45.000 --> 00:37:48.000]   from the MLP and trained SAEs
[00:37:48.000 --> 00:37:50.000]   with a range of expansion factors
[00:37:50.000 --> 00:37:54.000]   from 1x to 256x.
[00:37:54.000 --> 00:38:00.000]   So, you know, I think --
[00:38:00.000 --> 00:38:01.000]   now that I've gone through that,
[00:38:01.000 --> 00:38:03.000]   let me actually just skip to --
[00:38:03.000 --> 00:38:09.000]   let me actually share my other screen
[00:38:09.000 --> 00:38:13.000]   where I've actually pulled up the dashboards
[00:38:13.000 --> 00:38:15.000]   of the SAEs, right?
[00:38:15.000 --> 00:38:16.000]   And then you can actually get a sense
[00:38:16.000 --> 00:38:19.000]   of what's actually being identified
[00:38:19.000 --> 00:38:21.000]   by these SAEs, right?
[00:38:21.000 --> 00:38:24.000]   So, you know, one example feature
[00:38:24.000 --> 00:38:25.000]   which they talk about in the paper
[00:38:25.000 --> 00:38:29.000]   is a feature that happens to fire
[00:38:29.000 --> 00:38:34.000]   when the model thinks that something
[00:38:34.000 --> 00:38:38.000]   is a DNA sequence in lowercase, right?
[00:38:38.000 --> 00:38:41.000]   And that looks pretty accurate.
[00:38:41.000 --> 00:38:43.000]   You know, what's interesting about these features
[00:38:43.000 --> 00:38:49.000]   is that if you look at what they do
[00:38:49.000 --> 00:38:53.000]   in terms of affecting downstream output
[00:38:53.000 --> 00:38:57.000]   is that if this feature fires on any single token,
[00:38:57.000 --> 00:39:00.000]   it has a very strong impact
[00:39:00.000 --> 00:39:05.000]   in terms of up-weighting subsequent tokens
[00:39:05.000 --> 00:39:10.000]   which are also, you know, DNA-like, right?
[00:39:10.000 --> 00:39:13.000]   You know, you have other sort of --
[00:39:13.000 --> 00:39:14.000]   there's all sorts of features.
[00:39:14.000 --> 00:39:19.000]   Some of them aren't so interpretable.
[00:39:19.000 --> 00:39:21.000]   Some of them are.
[00:39:21.000 --> 00:39:22.000]   You know, you'll have some that fire
[00:39:22.000 --> 00:39:23.000]   on some languages.
[00:39:23.000 --> 00:39:24.000]   You'll have some that fire
[00:39:24.000 --> 00:39:27.000]   on Caesar-shifted encoded words.
[00:39:27.000 --> 00:39:29.000]   And I'd encourage you to actually look
[00:39:29.000 --> 00:39:31.000]   at the visualization.
[00:39:31.000 --> 00:39:35.000]   It's linked in the Towards Monosemanticity paper
[00:39:35.000 --> 00:39:39.000]   and super interesting.
[00:39:39.000 --> 00:39:41.000]   Maybe just to give you more --
[00:39:41.000 --> 00:39:44.000]   you know, another sort of --
[00:39:44.000 --> 00:39:47.000]   give you a sense of what other work is going on.
[00:39:47.000 --> 00:39:49.000]   So that work was done on a toy model,
[00:39:49.000 --> 00:39:50.000]   a single layer.
[00:39:50.000 --> 00:39:54.000]   It's not a real language model.
[00:39:54.000 --> 00:39:55.000]   But on the open-source side,
[00:39:55.000 --> 00:39:58.000]   there's people trading SAEs now
[00:39:58.000 --> 00:40:02.000]   using the same techniques
[00:40:02.000 --> 00:40:04.000]   on all sorts of models.
[00:40:04.000 --> 00:40:06.000]   GPT-2-small is a favorite
[00:40:06.000 --> 00:40:08.000]   just because it's very well understood
[00:40:08.000 --> 00:40:10.000]   by interpretability researchers.
[00:40:10.000 --> 00:40:12.000]   And you can see all sorts of features
[00:40:12.000 --> 00:40:14.000]   identified in GPT-2-small.
[00:40:14.000 --> 00:40:17.000]   And it's actually super easy to train an SAE now.
[00:40:17.000 --> 00:40:20.000]   You can just use an off-the-shelf library
[00:40:20.000 --> 00:40:24.000]   and play around with it.
[00:40:24.000 --> 00:40:27.000]   But maybe just going back to, like,
[00:40:27.000 --> 00:40:32.000]   you know, why --
[00:40:32.000 --> 00:40:36.000]   going back to, you know,
[00:40:36.000 --> 00:40:38.000]   why this matters and what the limitations are
[00:40:38.000 --> 00:40:40.000]   and where we're headed in the future.
[00:40:40.000 --> 00:40:43.000]   Let me just switch back to my other screen.
[00:40:43.000 --> 00:40:50.000]   And here we go.
[00:40:50.000 --> 00:40:52.000]   You know, so --
[00:40:52.000 --> 00:40:54.000]   maybe let me just talk about limitations first, right?
[00:40:54.000 --> 00:40:56.000]   This is a pretty new --
[00:40:56.000 --> 00:40:57.000]   it's a pretty new technique.
[00:40:57.000 --> 00:41:00.000]   Less than a year old now, really.
[00:41:00.000 --> 00:41:03.000]   At least in the context of Mekinterp.
[00:41:03.000 --> 00:41:05.000]   You know, it's pretty clear
[00:41:05.000 --> 00:41:08.000]   that the feature set identified by SAEs isn't complete.
[00:41:08.000 --> 00:41:10.000]   There's rare features.
[00:41:10.000 --> 00:41:12.000]   There's features that might get ignored
[00:41:12.000 --> 00:41:13.000]   for some reason or another
[00:41:13.000 --> 00:41:21.000]   due to training methods not being that sort of refined.
[00:41:21.000 --> 00:41:23.000]   You know, you also have this limitation
[00:41:23.000 --> 00:41:28.000]   where as you increase the expansion factor in the SAE,
[00:41:28.000 --> 00:41:30.000]   you get this phenomenon of feature splitting
[00:41:30.000 --> 00:41:34.000]   where, you know, what was previously a single feature
[00:41:34.000 --> 00:41:39.000]   now becomes a family of, like, 20 features, for example,
[00:41:39.000 --> 00:41:41.000]   all of which are, like, sub-features.
[00:41:41.000 --> 00:41:43.000]   And it gets a bit complicated.
[00:41:43.000 --> 00:41:44.000]   So you don't get, like,
[00:41:44.000 --> 00:41:47.000]   these very nice, clean representations necessarily.
[00:41:47.000 --> 00:41:50.000]   Everything's sort of fuzzy.
[00:41:50.000 --> 00:41:53.000]   But there is work going towards, like, improving them, right?
[00:41:53.000 --> 00:41:57.000]   And there's quite a lot of work on improving SAEs.
[00:41:57.000 --> 00:42:00.000]   This is now seen as the most promising line
[00:42:00.000 --> 00:42:06.000]   of Mekinterp work within both Anthropic and DeepMind.
[00:42:06.000 --> 00:42:09.000]   And there's also folks at OpenAI working on SAEs.
[00:42:09.000 --> 00:42:13.000]   And OpenAI actually open-sourced their SAEs for GPT-2 small,
[00:42:13.000 --> 00:42:16.000]   which is pretty interesting.
[00:42:16.000 --> 00:42:18.000]   But, yeah, you know, I don't think this is --
[00:42:18.000 --> 00:42:20.000]   this is, like, very much like an exploratory paper, right?
[00:42:20.000 --> 00:42:22.000]   It's sort of like --
[00:42:22.000 --> 00:42:25.000]   I think the sort of point is that, hey,
[00:42:25.000 --> 00:42:27.000]   there's this new technique.
[00:42:27.000 --> 00:42:29.000]   It looks pretty interesting.
[00:42:29.000 --> 00:42:32.000]   But the jury is still out on whether this ends up being,
[00:42:32.000 --> 00:42:37.000]   you know, the technique that solves Mekinterp.
[00:42:37.000 --> 00:42:42.000]   But, yeah, that's it.
[00:42:42.000 --> 00:42:44.000]   >> Awesome. Thanks for the presentation.
[00:42:44.000 --> 00:42:46.000]   I think Warren had two questions.
[00:42:46.000 --> 00:42:50.000]   What is the difference between SAE versus a probing classifier?
[00:42:50.000 --> 00:42:52.000]   I think the other one he was saying is,
[00:42:52.000 --> 00:42:56.000]   what makes SAEs such a good fit for this specific task?
[00:42:56.000 --> 00:43:00.000]   Why not use other models to extract monosemanticity?
[00:43:00.000 --> 00:43:02.000]   >> Yeah, sure.
[00:43:02.000 --> 00:43:08.000]   So it is similar in some regards to linear probes.
[00:43:08.000 --> 00:43:11.000]   But I think the nice thing about SAEs is that --
[00:43:11.000 --> 00:43:15.000]   and this sort of kind of covers the second question to some extent --
[00:43:15.000 --> 00:43:17.000]   is that you get a few nice features.
[00:43:17.000 --> 00:43:20.000]   One is that it's unsupervised,
[00:43:20.000 --> 00:43:23.000]   so you can learn a lot of features at once, which is nice.
[00:43:23.000 --> 00:43:29.000]   It doesn't need any sort of humans eyeballing things.
[00:43:29.000 --> 00:43:36.000]   And two, so why SAEs in particular?
[00:43:36.000 --> 00:43:42.000]   You know, I think, you know, the features that are helpful --
[00:43:42.000 --> 00:43:45.000]   or rather than features, the elements on the SAE,
[00:43:45.000 --> 00:43:48.000]   which are helpful in this regard, one is like the sparsity,
[00:43:48.000 --> 00:43:49.000]   which is important.
[00:43:49.000 --> 00:43:51.000]   And also the ability to just reconstruct the inputs, right?
[00:43:51.000 --> 00:43:52.000]   Because you want that.
[00:43:52.000 --> 00:43:56.000]   And that helps you actually --
[00:43:56.000 --> 00:44:00.000]   if you're reconstructing hidden activations,
[00:44:00.000 --> 00:44:04.000]   you get a very nice natural way to assess the goodness of an SAE,
[00:44:04.000 --> 00:44:07.000]   because you can measure the reconstruction error.
[00:44:07.000 --> 00:44:10.000]   So, you know, how you typically evaluate these models.
[00:44:10.000 --> 00:44:14.000]   One metric that you measure them on is actually reconstruction error, right?
[00:44:14.000 --> 00:44:19.000]   So you ablate the actual sort of activations in the model,
[00:44:19.000 --> 00:44:23.000]   and you replace them with actually the reconstructed activations from the
[00:44:23.000 --> 00:44:36.000]   SAE.
[00:44:36.000 --> 00:44:37.000]   All righty.
[00:44:37.000 --> 00:44:43.000]   Any other questions?
[00:44:43.000 --> 00:44:46.000]   >> Seems like I think that's about it.
[00:44:46.000 --> 00:44:49.000]   I guess if that's the case, then let me just share briefly on Medusa.
[00:44:49.000 --> 00:44:52.000]   Okay.
[00:44:52.000 --> 00:44:55.000]   Let me just see if I can find the screen.
[00:44:55.000 --> 00:44:56.000]   Awesome.
[00:44:56.000 --> 00:44:57.000]   Thanks for the reminder, Doug Abel.
[00:44:57.000 --> 00:44:58.000]   Appreciate it.
[00:44:58.000 --> 00:44:59.000]   All right.
[00:44:59.000 --> 00:45:00.000]   Sorry about that.
[00:45:00.000 --> 00:45:04.000]   So today I'll just be presenting quickly on Medusa.
[00:45:04.000 --> 00:45:08.000]   So the concept behind Medusa is just basically it's a better way to do
[00:45:08.000 --> 00:45:10.000]   speculative decoding.
[00:45:10.000 --> 00:45:13.000]   And so I think before we move into what speculative decoding is,
[00:45:13.000 --> 00:45:16.000]   I think it's important to see what are the main problems with model
[00:45:16.000 --> 00:45:17.000]   inference.
[00:45:17.000 --> 00:45:18.000]   Just so we're all on the same page,
[00:45:18.000 --> 00:45:23.000]   I'm just going to paste the link that I'm looking at in the chat itself.
[00:45:23.000 --> 00:45:26.000]   So if you're familiar with any large language model,
[00:45:26.000 --> 00:45:29.000]   a large chunk of the time that we spend, it's basically running,
[00:45:29.000 --> 00:45:31.000]   transferring the weights from the, well,
[00:45:31.000 --> 00:45:33.000]   I guess the high bandwidth environment, like what you see over here,
[00:45:33.000 --> 00:45:35.000]   over to the cache,
[00:45:35.000 --> 00:45:38.000]   which is where there's a very limited amount of space and where most of the
[00:45:38.000 --> 00:45:40.000]   calculations happen.
[00:45:40.000 --> 00:45:43.000]   So what that means is that if we run inference one time,
[00:45:43.000 --> 00:45:46.000]   we load in all parameters, we load in all inputs,
[00:45:46.000 --> 00:45:49.000]   we get out the final output of one,
[00:45:49.000 --> 00:45:52.000]   we only get one token and we have to repeat the whole step.
[00:45:52.000 --> 00:45:55.000]   There are a lot of optimizations that have been done around it,
[00:45:55.000 --> 00:46:00.000]   but basically the main problem is still not fixed that you,
[00:46:00.000 --> 00:46:03.000]   you do all this work and you only get one token out.
[00:46:03.000 --> 00:46:07.000]   So what people have done is this thing called speculative decoding.
[00:46:07.000 --> 00:46:09.000]   So what does that mean?
[00:46:09.000 --> 00:46:12.000]   So I think we have a huge model, like a LLAMA70B,
[00:46:12.000 --> 00:46:15.000]   and we have a smaller model, which we call a draft model,
[00:46:15.000 --> 00:46:18.000]   called a LLAMA7B.
[00:46:18.000 --> 00:46:22.000]   A LLAMA7B can take an initial prompt and quickly generate a whole bunch of
[00:46:22.000 --> 00:46:23.000]   tokens itself.
[00:46:23.000 --> 00:46:26.000]   So you can think, let's say you've seen some prompt,
[00:46:26.000 --> 00:46:29.000]   it generates like N tokens that are supposed to be,
[00:46:29.000 --> 00:46:34.000]   that it thinks are going to follow this specific prompt itself.
[00:46:34.000 --> 00:46:36.000]   So now we have a bunch of candidates, right?
[00:46:36.000 --> 00:46:39.000]   For a proposed sequence inside this draft model.
[00:46:39.000 --> 00:46:43.000]   So how do we know what percentage of these tokens are correct?
[00:46:43.000 --> 00:46:47.000]   I guess along the same lines, how many of these tokens we should reject?
[00:46:47.000 --> 00:46:50.000]   The way to do this is to basically just batch all these tokens and feed
[00:46:50.000 --> 00:46:52.000]   it into the model itself.
[00:46:52.000 --> 00:46:56.000]   So what this could look like is let's say our prompt is the capital of
[00:46:56.000 --> 00:46:58.000]   France is, and our smaller model says, hey,
[00:46:58.000 --> 00:47:01.000]   the capital of France is Paris and it's a beautiful city.
[00:47:01.000 --> 00:47:04.000]   For inference, we would pass in the capital of France is,
[00:47:04.000 --> 00:47:07.000]   the capital of France is Paris.
[00:47:07.000 --> 00:47:09.000]   And each step, what we're basically trying to see is,
[00:47:09.000 --> 00:47:14.000]   does the completion from the smaller model match the big model?
[00:47:14.000 --> 00:47:16.000]   And so what we're doing here is we're able to batch all of these inside a
[00:47:16.000 --> 00:47:18.000]   single like forward pass.
[00:47:18.000 --> 00:47:21.000]   And we don't incur a huge back and forth transfer.
[00:47:21.000 --> 00:47:25.000]   And so we see this huge speed up in terms of the decoding speed itself
[00:47:25.000 --> 00:47:27.000]   when we're generating tokens.
[00:47:27.000 --> 00:47:31.000]   So there's some problems with this though.
[00:47:31.000 --> 00:47:33.000]   The first one is, of course, optimization,
[00:47:33.000 --> 00:47:35.000]   because now we need a smaller model.
[00:47:35.000 --> 00:47:38.000]   We need to feed it through this whole chunk of data.
[00:47:38.000 --> 00:47:41.000]   And we need to somehow do the reconsideration between the original
[00:47:41.000 --> 00:47:43.000]   completions and the new completions.
[00:47:43.000 --> 00:47:45.000]   The second, which I think is the bigger problem,
[00:47:45.000 --> 00:47:50.000]   is that the draft model might not accurately reflect the capabilities or
[00:47:50.000 --> 00:47:54.000]   the world knowledge of the larger model itself.
[00:47:54.000 --> 00:47:56.000]   If you're going to play, let's say, Gemma 2B,
[00:47:56.000 --> 00:47:58.000]   it might not really be the same as a Llama 7B,
[00:47:58.000 --> 00:48:02.000]   even if it's able to decode like six times its path.
[00:48:02.000 --> 00:48:04.000]   So in comes Medusa.
[00:48:04.000 --> 00:48:09.000]   So traditionally we have some input passes through an embedding.
[00:48:09.000 --> 00:48:12.000]   It goes through your transformer layers and we get our hidden state.
[00:48:12.000 --> 00:48:15.000]   This is going to be a single vector of some dimensions.
[00:48:15.000 --> 00:48:18.000]   That's going to be the same as your embedding dimension itself.
[00:48:18.000 --> 00:48:21.000]   And what we would always do is we'd say, okay,
[00:48:21.000 --> 00:48:26.000]   you might then have a linear layer.
[00:48:26.000 --> 00:48:30.000]   And you get up basically a vector with a whole bunch of probabilities that
[00:48:30.000 --> 00:48:34.000]   correspond to the probability that each individual token for that position is
[00:48:34.000 --> 00:48:37.000]   the next token that should be selected.
[00:48:37.000 --> 00:48:41.000]   So that's the original transformer flow itself.
[00:48:41.000 --> 00:48:45.000]   What Medusa does is that it slaps on a whole bunch of new MLPs that operate
[00:48:45.000 --> 00:48:49.000]   on the same hidden state and try to make the same prediction itself.
[00:48:49.000 --> 00:48:52.000]   So you can see this LM hit predicts it IS.
[00:48:52.000 --> 00:48:55.000]   Medusa predicts IS the second hit, the first hit,
[00:48:55.000 --> 00:48:58.000]   which predicts the second token in the completion.
[00:48:58.000 --> 00:49:03.000]   It goes for IS, comma, the IS across the speaker and so on.
[00:49:03.000 --> 00:49:05.000]   These hits aren't anything special.
[00:49:05.000 --> 00:49:08.000]   They're really just MLP networks that generate a distribution over the vocabulary.
[00:49:08.000 --> 00:49:12.000]   So you can see over here that all it does is it's just, well,
[00:49:12.000 --> 00:49:13.000]   the final hidden state.
[00:49:13.000 --> 00:49:16.000]   This is probably going to be a one times D vector, right?
[00:49:16.000 --> 00:49:20.000]   It's multiplied by a single weight matrix, a P1K, which is D by D.
[00:49:20.000 --> 00:49:23.000]   So that gives you a one times V, right?
[00:49:23.000 --> 00:49:26.000]   And then we add the residue itself.
[00:49:26.000 --> 00:49:29.000]   And so then once we add these two residues together, we do a softmax.
[00:49:29.000 --> 00:49:33.000]   I feel like I might be messing up the dimensions, but basically it's a,
[00:49:33.000 --> 00:49:36.000]   you're going to get out a probability distribution at the end that's equal to
[00:49:36.000 --> 00:49:38.000]   the number of tokens that you have.
[00:49:38.000 --> 00:49:42.000]   Each hit is essentially going to produce a probability distribution over all
[00:49:42.000 --> 00:49:43.000]   these different choices.
[00:49:43.000 --> 00:49:45.000]   And so you're going to get, well,
[00:49:45.000 --> 00:49:47.000]   basically SK different options for each token.
[00:49:47.000 --> 00:49:50.000]   I think the best way to see it is sort of over here,
[00:49:50.000 --> 00:49:52.000]   we can see the completions, right?
[00:49:52.000 --> 00:49:56.000]   So this is what the original language hit sort of predicts.
[00:49:56.000 --> 00:50:01.000]   These are going to be the next tokens that are predicted by these first hit,
[00:50:01.000 --> 00:50:06.000]   first Medusa hit, the second Medusa hit, the third Medusa hit, and so on.
[00:50:06.000 --> 00:50:10.000]   And so what they do is that they always choose the first token that's
[00:50:10.000 --> 00:50:13.000]   generated by the original language modeling hit to guarantee that your
[00:50:13.000 --> 00:50:15.000]   enemies get some completions.
[00:50:15.000 --> 00:50:20.000]   But then when it comes to the other tokens being chosen and that by itself,
[00:50:20.000 --> 00:50:22.000]   there's some new way that you have.
[00:50:22.000 --> 00:50:25.000]   So I think they also mentioned that they do some sort of greedy algorithm
[00:50:25.000 --> 00:50:27.000]   doing training on a training data set,
[00:50:27.000 --> 00:50:30.000]   whereby they try to determine the optimal size for the street.
[00:50:30.000 --> 00:50:33.000]   So each individual node level.
[00:50:33.000 --> 00:50:34.000]   So there are two ways that they do this training.
[00:50:34.000 --> 00:50:37.000]   One is that you freeze the base out and you only do the hits.
[00:50:37.000 --> 00:50:41.000]   And what this does is that you basically are just doing the same cross
[00:50:41.000 --> 00:50:42.000]   entropy loss,
[00:50:42.000 --> 00:50:48.000]   but you apply this sort of biased constant term here that is a constant
[00:50:48.000 --> 00:50:49.000]   taken to power of K.
[00:50:49.000 --> 00:50:53.000]   So what this means is that for the overall loss that you're calculating,
[00:50:53.000 --> 00:50:55.000]   they call it L_Medusa_1.
[00:50:55.000 --> 00:50:58.000]   This is the first way that you train the Medusa level, Medusa hit.
[00:50:58.000 --> 00:51:00.000]   You're essentially weighting the token,
[00:51:00.000 --> 00:51:03.000]   the hits that are predicting tokens that are further and further out into
[00:51:03.000 --> 00:51:05.000]   input sequence, less and less.
[00:51:05.000 --> 00:51:08.000]   And this is actually super fast because you can get around five hours.
[00:51:08.000 --> 00:51:12.000]   You just need about five hours with 60K samples and your 7P model is good
[00:51:12.000 --> 00:51:14.000]   to go.
[00:51:14.000 --> 00:51:17.000]   The harder way that I use a lot of better results is basically for you to
[00:51:17.000 --> 00:51:20.000]   train the LM and the individual hits.
[00:51:20.000 --> 00:51:23.000]   That results in new loss equation of this is your original language
[00:51:23.000 --> 00:51:27.000]   modeling equation. And this is your, well, what we had over here.
[00:51:27.000 --> 00:51:29.000]   So this time they have the smaller term called L_0,
[00:51:29.000 --> 00:51:31.000]   which is basically a small, small, small, small term.
[00:51:31.000 --> 00:51:35.000]   So that the head prediction doesn't mess up the overall loss because the
[00:51:35.000 --> 00:51:38.000]   Medusa hit is going to be super wrong at start.
[00:51:38.000 --> 00:51:42.000]   Since it's, it's not trained on the dataset, hasn't seen anything.
[00:51:42.000 --> 00:51:43.000]   It's just an MLP.
[00:51:43.000 --> 00:51:46.000]   So they do some sort of linear warmups whereby the learning rate is slowly
[00:51:46.000 --> 00:51:49.000]   increased over time and then maybe decrease and there's some scheduling
[00:51:49.000 --> 00:51:51.000]   that's going on there.
[00:51:51.000 --> 00:51:54.000]   The last part is just this dataset, which I think was,
[00:51:54.000 --> 00:51:57.000]   it's pretty interesting.
