
[00:00:00.000 --> 00:00:03.000]   (keyboard clicking)
[00:34:18.200 --> 00:34:21.760]   or something, I think before someone opens the attachments,
[00:34:21.760 --> 00:34:23.160]   the CV and the resume,
[00:34:23.160 --> 00:34:24.680]   they wouldn't read the body of the email.
[00:34:24.680 --> 00:34:27.560]   So just highlighting maybe what your interests are
[00:34:27.560 --> 00:34:30.480]   and why you are interested in, let's say,
[00:34:30.480 --> 00:34:33.280]   working with someone might be very important
[00:34:33.280 --> 00:34:35.360]   to, let's say, get your foot into the door
[00:34:35.360 --> 00:34:38.440]   that someone spends, let's say,
[00:34:38.440 --> 00:34:41.080]   the time then to think about whether
[00:34:41.080 --> 00:34:44.800]   they could make it happen to work with someone, essentially.
[00:34:44.800 --> 00:34:46.040]   Yes, also for my classes,
[00:34:46.040 --> 00:34:48.920]   one big focus is to have these class projects.
[00:34:48.920 --> 00:34:50.120]   So we are currently in this phase
[00:34:50.120 --> 00:34:51.120]   at the end of the semester
[00:34:51.120 --> 00:34:53.960]   where the students get to present their class projects.
[00:34:53.960 --> 00:34:57.200]   And so usually it takes a lot of time and work,
[00:34:57.200 --> 00:34:59.320]   but this is what students also really like.
[00:34:59.320 --> 00:35:03.720]   It's like they have a proposal in the mid of the semester
[00:35:03.720 --> 00:35:06.120]   where they tell me what they want to work on.
[00:35:06.120 --> 00:35:07.720]   And then the rest of the semester,
[00:35:07.720 --> 00:35:09.200]   it's almost like two or three months,
[00:35:09.200 --> 00:35:10.320]   they work on their class project.
[00:35:10.320 --> 00:35:12.000]   I give feedback along the way.
[00:35:12.000 --> 00:35:13.640]   So mostly when they have questions,
[00:35:13.640 --> 00:35:14.680]   they come to office hours
[00:35:14.680 --> 00:35:17.720]   and then we come up with some solutions.
[00:35:17.720 --> 00:35:19.560]   And this is also really fun.
[00:35:19.560 --> 00:35:20.400]   But then in the end,
[00:35:20.400 --> 00:35:22.120]   the coolest thing is when they give a presentation
[00:35:22.120 --> 00:35:23.120]   on what they worked on.
[00:35:23.120 --> 00:35:25.800]   It's like a 10 minute approximately presentation.
[00:35:25.800 --> 00:35:26.720]   And they write a report
[00:35:26.720 --> 00:35:29.080]   that is kind of like a conference style paper.
[00:35:29.080 --> 00:35:31.600]   I mean, the reason why it's a conference style paper
[00:35:31.600 --> 00:35:33.480]   is because you have to have a rubric
[00:35:33.480 --> 00:35:35.320]   or like a same, let's say,
[00:35:35.320 --> 00:35:37.200]   restriction for everyone, like an eight page paper,
[00:35:37.200 --> 00:35:41.680]   because otherwise it would be hard to compare projects.
[00:35:41.680 --> 00:35:45.240]   So in that way, I think this is also very valuable.
[00:35:45.240 --> 00:35:47.520]   People said that there were students emailing me
[00:35:47.520 --> 00:35:48.560]   that I got an internship
[00:35:48.560 --> 00:35:51.480]   and they think it was probably because of the class,
[00:35:51.480 --> 00:35:53.500]   they had like a project in that area
[00:35:53.500 --> 00:35:55.360]   that the company was focusing on.
[00:35:55.360 --> 00:35:59.600]   So I think it is kind of like this applied project.
[00:35:59.600 --> 00:36:01.080]   Classwork is super important
[00:36:01.080 --> 00:36:03.120]   because that's where you get your knowledge.
[00:36:03.120 --> 00:36:06.640]   But in that sense, everyone can take classes in that way.
[00:36:06.640 --> 00:36:11.400]   So, and classes is also, it's very important,
[00:36:11.400 --> 00:36:13.400]   it's essential, but it's also very generic.
[00:36:13.400 --> 00:36:16.000]   It's like you learn a general concept.
[00:36:16.000 --> 00:36:18.240]   And usually when you work on something,
[00:36:18.240 --> 00:36:20.160]   you have to be more specialized usually.
[00:36:20.160 --> 00:36:23.120]   So a project is also like a demonstration
[00:36:23.120 --> 00:36:24.520]   like that you are flexible,
[00:36:24.520 --> 00:36:26.660]   you can take knowledge and convert that
[00:36:26.660 --> 00:36:31.000]   into something tangible, some real project basically.
[00:36:31.000 --> 00:36:34.560]   So I think, yeah, having something
[00:36:34.560 --> 00:36:37.240]   that shows your motivation or passion
[00:36:37.240 --> 00:36:38.440]   is very important, I think.
[00:36:38.440 --> 00:36:39.280]   So, yeah.
[00:36:39.280 --> 00:36:42.600]   - I know you've been having the Kaggle community
[00:36:42.600 --> 00:36:45.800]   as well you've shared top Kaggle solutions
[00:36:45.800 --> 00:36:46.680]   with the community.
[00:36:46.680 --> 00:36:49.320]   How much weight is you put on Kaggle experience
[00:36:49.320 --> 00:36:53.960]   if that's in fact in the resume or in the email?
[00:36:53.960 --> 00:36:56.720]   - Yeah, honestly, I personally haven't really
[00:36:56.720 --> 00:36:58.160]   done much Kaggle work.
[00:36:58.160 --> 00:37:01.280]   So what I did is recently though,
[00:37:01.280 --> 00:37:03.820]   so it's maybe a little bit of tangent,
[00:37:03.820 --> 00:37:07.080]   but for my class, I try always to come up
[00:37:07.080 --> 00:37:08.880]   with interesting homework.
[00:37:08.880 --> 00:37:10.480]   And since so much weight, like you said,
[00:37:10.480 --> 00:37:14.160]   is sometimes, so with Kaggle, it's also that thing.
[00:37:14.160 --> 00:37:17.240]   It's really about winning it.
[00:37:17.240 --> 00:37:20.500]   So you try very hard to get the optimal performance,
[00:37:20.500 --> 00:37:23.520]   but it's something, so there's no,
[00:37:23.520 --> 00:37:25.480]   I would say there is no restriction
[00:37:25.480 --> 00:37:27.800]   on how long it takes you to come to the solution.
[00:37:27.800 --> 00:37:29.600]   It's like, time is unlimited.
[00:37:29.600 --> 00:37:31.920]   Okay, the competition runs for so and so many months,
[00:37:31.920 --> 00:37:34.680]   but there's no comparison in terms of
[00:37:34.680 --> 00:37:39.500]   whether someone spends 10 hours or 100 or 1,000 hours.
[00:37:39.500 --> 00:37:41.340]   So it's only the performance, right?
[00:37:41.340 --> 00:37:44.380]   And I think in the real world, this is not feasible.
[00:37:44.380 --> 00:37:46.420]   It's like when you work at a company or something,
[00:37:46.420 --> 00:37:50.640]   or in general, you can't sometimes like spend that much time
[00:37:50.640 --> 00:37:53.140]   it's like to get only 1% more.
[00:37:53.140 --> 00:37:54.420]   I mean, there are some implications
[00:37:54.420 --> 00:37:55.580]   that say you have Google search,
[00:37:55.580 --> 00:37:58.780]   which is a search engine that is used by billions of people,
[00:37:58.780 --> 00:38:01.060]   a percent more accuracy.
[00:38:01.060 --> 00:38:02.680]   And the results makes a huge difference.
[00:38:02.680 --> 00:38:06.520]   So it's maybe time well spent optimizing that.
[00:38:06.520 --> 00:38:08.360]   But in many real world applications
[00:38:08.360 --> 00:38:10.600]   where you have a limited data set,
[00:38:10.600 --> 00:38:12.880]   I'm not sure if that's the best bang for the buck
[00:38:12.880 --> 00:38:16.220]   to just spend exponentially more hours
[00:38:16.220 --> 00:38:17.600]   to get a better result.
[00:38:17.600 --> 00:38:19.840]   So I think what is interesting is also
[00:38:19.840 --> 00:38:21.980]   to not look at the best solution,
[00:38:21.980 --> 00:38:25.480]   but to come up with something that is,
[00:38:25.480 --> 00:38:28.040]   let's say within, I don't know,
[00:38:28.040 --> 00:38:30.440]   5% of the best solution or something like that.
[00:38:31.120 --> 00:38:32.320]   Where I wanted to go with this,
[00:38:32.320 --> 00:38:33.960]   so I was just coming up,
[00:38:33.960 --> 00:38:36.720]   so it was not a Kaggle competition, but for homework,
[00:38:36.720 --> 00:38:40.700]   just wanted to have students also have this experience
[00:38:40.700 --> 00:38:44.240]   of working on an applied problem
[00:38:44.240 --> 00:38:46.480]   and trying to optimize accuracy.
[00:38:46.480 --> 00:38:48.840]   So I think it was the dry bean data set.
[00:38:48.840 --> 00:38:51.600]   It was like a data set that was not too old.
[00:38:51.600 --> 00:38:54.280]   It was on the UCI data set repository.
[00:38:54.280 --> 00:38:56.020]   I wanted to have something where there's no,
[00:38:56.020 --> 00:38:58.320]   let's say not too many solutions on the internet,
[00:38:58.320 --> 00:39:00.760]   something maybe more recent than let's say
[00:39:00.760 --> 00:39:03.160]   the Titanic or the Iris data set.
[00:39:03.160 --> 00:39:06.960]   And then I let, so I showed them different techniques.
[00:39:06.960 --> 00:39:09.160]   First of all, all the gradient boosting algorithms.
[00:39:09.160 --> 00:39:12.640]   So we have covered in class random forests,
[00:39:12.640 --> 00:39:17.160]   decision trees, k-nearest neighbors, gradient boosting.
[00:39:17.160 --> 00:39:21.160]   I went over like XGBoost, CatBoost, LightGBM,
[00:39:21.160 --> 00:39:22.720]   His gradient boosting classifier.
[00:39:22.720 --> 00:39:25.160]   So all the fancy gradient boosting classifiers.
[00:39:25.160 --> 00:39:28.040]   And then also different tuning strategies
[00:39:28.040 --> 00:39:31.320]   like a grid search, randomized search,
[00:39:31.320 --> 00:39:32.400]   the exhaust, what is it?
[00:39:32.400 --> 00:39:36.320]   The having, so successive having and so forth,
[00:39:36.320 --> 00:39:39.160]   Hyperopt and Optuna.
[00:39:39.160 --> 00:39:40.520]   So with Bayesian optimization.
[00:39:40.520 --> 00:39:41.920]   So all these different techniques,
[00:39:41.920 --> 00:39:43.360]   they're all very fancy techniques.
[00:39:43.360 --> 00:39:46.560]   And, but the bottom line,
[00:39:46.560 --> 00:39:48.920]   the lesson I wanted them to teach with this homework
[00:39:48.920 --> 00:39:52.760]   is that simple approaches can also be sufficient
[00:39:52.760 --> 00:39:54.040]   for solving a problem.
[00:39:54.040 --> 00:39:56.760]   Actually, what I did is I tried to get good results myself
[00:39:56.760 --> 00:39:59.960]   and I actually got really good results with random forests.
[00:39:59.960 --> 00:40:02.640]   So I looked, okay, what is the performance
[00:40:02.640 --> 00:40:04.520]   I can get with a random forest?
[00:40:04.520 --> 00:40:08.560]   And I think it was like 92%, 92.5 or something.
[00:40:08.560 --> 00:40:12.240]   So I said, okay, if you get 92% accuracy for the homework,
[00:40:12.240 --> 00:40:13.800]   you get a full points.
[00:40:13.800 --> 00:40:17.440]   You can get better at that, but 92% is the cutoff.
[00:40:17.440 --> 00:40:20.680]   And a lot of students tried really hard
[00:40:20.680 --> 00:40:25.240]   and spent, let's say a lot of time using gradient boosting
[00:40:25.240 --> 00:40:28.880]   and like Optuna and these types of things.
[00:40:28.880 --> 00:40:32.800]   And they got sometimes 92%, sometimes 91%
[00:40:32.800 --> 00:40:36.080]   because using these methods that are really fancy,
[00:40:36.080 --> 00:40:38.360]   very advanced, takes much more work.
[00:40:38.360 --> 00:40:40.240]   It's like, and sometimes they don't always
[00:40:40.240 --> 00:40:41.080]   give you better results.
[00:40:41.080 --> 00:40:44.840]   So you spend a lot of work, let's say getting this 1%,
[00:40:44.840 --> 00:40:46.800]   while sometimes using a simple method,
[00:40:46.800 --> 00:40:48.840]   like a random forest can get you
[00:40:48.840 --> 00:40:50.320]   almost all the way there already.
[00:40:50.320 --> 00:40:53.680]   So the question then is it worthwhile spending my time,
[00:40:53.680 --> 00:40:55.560]   like using all these fancy methods,
[00:40:55.560 --> 00:40:59.040]   whether, or I should just use like something
[00:40:59.040 --> 00:41:02.320]   that is off the shelf, good.
[00:41:02.320 --> 00:41:05.080]   And yeah, also the lesson here was basically
[00:41:05.080 --> 00:41:06.680]   that it's good to have a baseline.
[00:41:06.680 --> 00:41:09.880]   So if you start with a simple method, like a random forest,
[00:41:09.880 --> 00:41:11.160]   you are basically done.
[00:41:11.160 --> 00:41:14.000]   You can solve the homework in five minutes, maybe.
[00:41:14.000 --> 00:41:16.160]   So it's good to always have like a simple baseline
[00:41:16.160 --> 00:41:20.360]   before you start, yeah, trying more complicated things.
[00:41:20.360 --> 00:41:22.200]   And when I remember correctly,
[00:41:22.200 --> 00:41:24.320]   the outcome of the homework was random forest
[00:41:24.320 --> 00:41:26.200]   was definitely not the best method,
[00:41:26.200 --> 00:41:27.640]   but it was also interesting.
[00:41:27.640 --> 00:41:29.000]   I think bagging was the best method,
[00:41:29.000 --> 00:41:31.560]   bagging with a logistic regression classifier.
[00:41:31.560 --> 00:41:35.360]   And I think cat boost, which was also interesting
[00:41:35.360 --> 00:41:37.480]   because it was not a categorical data set.
[00:41:37.480 --> 00:41:41.280]   So sometimes it's hard to know what is really working well.
[00:41:41.280 --> 00:41:43.640]   And it also depends on how much time
[00:41:43.640 --> 00:41:45.760]   you spend on tuning something.
[00:41:45.760 --> 00:41:47.520]   If you want to really get good results,
[00:41:47.520 --> 00:41:51.000]   you also have to expect, like if you want to use
[00:41:51.000 --> 00:41:55.160]   a fancy method to exponentially spend more time on it,
[00:41:55.160 --> 00:41:57.680]   which is sometimes depending on the context,
[00:41:57.680 --> 00:41:58.680]   what you want and not want.
[00:41:58.680 --> 00:42:00.760]   And Kaggle, it gets rewarded in real life.
[00:42:00.760 --> 00:42:01.880]   I'm not so sure.
[00:42:01.880 --> 00:42:02.720]   So, yeah.
[00:42:02.720 --> 00:42:07.000]   - Do you, this is again a question from the email
[00:42:07.000 --> 00:42:08.160]   that I'm pressing a bit,
[00:42:08.160 --> 00:42:12.360]   but what's your own framework like as you,
[00:42:12.360 --> 00:42:15.600]   you obviously experiment a lot with these things.
[00:42:15.600 --> 00:42:17.840]   Last week you had shared what's the best approach
[00:42:17.840 --> 00:42:19.000]   to skimming different papers
[00:42:19.000 --> 00:42:21.960]   and you were also having a discussion on Twitter around it.
[00:42:21.960 --> 00:42:24.240]   How do you optimize your own learning approach
[00:42:24.240 --> 00:42:27.200]   and do you follow certain framework
[00:42:27.200 --> 00:42:29.360]   of learning new things or techniques?
[00:42:29.360 --> 00:42:30.560]   - Yeah, how do I learn?
[00:42:30.560 --> 00:42:31.440]   That's a good question.
[00:42:31.440 --> 00:42:36.440]   So usually what I do is I learn like my topic
[00:42:36.440 --> 00:42:39.360]   where I, there's something I'm really interested in.
[00:42:39.360 --> 00:42:41.360]   And then I really just go on the internet
[00:42:41.360 --> 00:42:42.800]   and search for that topic.
[00:42:42.800 --> 00:42:45.440]   And I bookmark all the different resources I can find
[00:42:45.440 --> 00:42:47.440]   and just keep a list of that.
[00:42:47.440 --> 00:42:48.560]   And then I go through them.
[00:42:48.560 --> 00:42:49.960]   I actually take notes.
[00:42:49.960 --> 00:42:53.160]   So I used to type notes.
[00:42:53.160 --> 00:42:55.920]   Now I'm back to writing them on paper
[00:42:55.920 --> 00:42:58.760]   because that gets me less distracted.
[00:42:58.760 --> 00:43:01.400]   But it was also funny because I was typing so much
[00:43:01.400 --> 00:43:03.520]   that I almost forgot how to write on paper.
[00:43:03.520 --> 00:43:05.520]   It took me like a while to get used to it.
[00:43:05.520 --> 00:43:07.240]   My handwriting was so bad.
[00:43:07.240 --> 00:43:09.320]   But yeah, I write these down.
[00:43:09.320 --> 00:43:11.680]   And then after I've done that,
[00:43:11.680 --> 00:43:15.080]   I just take my notes and then I type them up,
[00:43:15.080 --> 00:43:16.000]   but more structured.
[00:43:16.000 --> 00:43:18.120]   It's like, so people think,
[00:43:18.120 --> 00:43:20.520]   I mean, I'm not sure if that's the best approach,
[00:43:20.520 --> 00:43:21.480]   but people think, okay,
[00:43:21.480 --> 00:43:24.040]   if I start with taking good notes, then I'm done.
[00:43:24.040 --> 00:43:25.880]   I don't have to worry about them.
[00:43:25.880 --> 00:43:28.400]   If I just, let's say, type them up, they are neat.
[00:43:28.400 --> 00:43:29.800]   I don't have to go back to them.
[00:43:29.800 --> 00:43:31.160]   Might be true for meeting notes.
[00:43:31.160 --> 00:43:32.660]   That's maybe more efficient.
[00:43:32.660 --> 00:43:34.400]   But if you want to learn something,
[00:43:34.400 --> 00:43:37.720]   the way you learn is by going over it multiple times,
[00:43:37.720 --> 00:43:40.600]   usually, because usually if you go over it one time,
[00:43:40.600 --> 00:43:42.840]   it's not so much anchored in your memory yet.
[00:43:42.840 --> 00:43:45.600]   So there's actually an advantage in like revisiting
[00:43:45.600 --> 00:43:47.620]   your notes and then organizing them.
[00:43:47.620 --> 00:43:51.480]   And what I also do then is I write them up neatly.
[00:43:51.480 --> 00:43:55.200]   And I have a tool, I mean, I right now use Typeora.
[00:43:55.200 --> 00:43:56.440]   It's like a markdown editor,
[00:43:56.440 --> 00:44:00.700]   but I try to use an editor where I have a table of contents
[00:44:00.700 --> 00:44:02.440]   on the left side, because that helps me,
[00:44:02.440 --> 00:44:03.680]   like coming up with the headlines,
[00:44:03.680 --> 00:44:06.480]   with the theme of what I'm trying to learn there,
[00:44:06.480 --> 00:44:08.480]   like having a big picture view.
[00:44:08.480 --> 00:44:11.320]   And what I'm also doing is I'm creating a mind map,
[00:44:11.320 --> 00:44:15.360]   usually, like, so where I have like the branches
[00:44:15.360 --> 00:44:17.520]   and connections between topics,
[00:44:17.520 --> 00:44:20.100]   I don't do that if it's a very simple topic,
[00:44:20.100 --> 00:44:21.060]   if it's a very short topic,
[00:44:21.060 --> 00:44:23.380]   but if I'm diving more into detail
[00:44:23.380 --> 00:44:24.900]   and I have a lot of material,
[00:44:24.900 --> 00:44:27.460]   I do this approach where I map everything out.
[00:44:27.460 --> 00:44:29.100]   And I actually also do that for my blocks.
[00:44:29.100 --> 00:44:31.060]   When I was writing these,
[00:44:31.060 --> 00:44:33.640]   let's say model evaluation articles,
[00:44:33.640 --> 00:44:34.960]   I was also doing like the mind map
[00:44:34.960 --> 00:44:37.580]   to see how these concepts fit together.
[00:44:37.580 --> 00:44:39.440]   So that helps me a lot.
[00:44:39.440 --> 00:44:40.500]   And while you're doing this,
[00:44:40.500 --> 00:44:44.580]   I think there's no explicit learning where you,
[00:44:44.580 --> 00:44:46.580]   let's say, it's not like an exam or test
[00:44:46.580 --> 00:44:49.460]   that you post yourself or something,
[00:44:49.460 --> 00:44:53.420]   but it's more like the way you structure things,
[00:44:53.420 --> 00:44:56.220]   you kind of get a better understanding, I think,
[00:44:56.220 --> 00:44:58.540]   because that's the thing,
[00:44:58.540 --> 00:45:01.740]   when you think about how do I organize these headlines?
[00:45:01.740 --> 00:45:02.860]   Should it be a subheading
[00:45:02.860 --> 00:45:04.140]   or should it be a separate headline?
[00:45:04.140 --> 00:45:06.340]   That's the part where you really try
[00:45:06.340 --> 00:45:08.260]   to understand things more deeply,
[00:45:08.260 --> 00:45:10.460]   the different aspects of something.
[00:45:10.460 --> 00:45:13.780]   What I do sometimes also is once that's done,
[00:45:13.780 --> 00:45:16.320]   when I have my notes finished taking,
[00:45:16.320 --> 00:45:19.420]   then I usually pick out some particular things
[00:45:19.420 --> 00:45:21.540]   I really want to remember for the future.
[00:45:21.540 --> 00:45:23.500]   So, and then I put into Anki,
[00:45:23.500 --> 00:45:25.900]   which is like a spaced repetition software.
[00:45:25.900 --> 00:45:28.660]   It's like flashcards.
[00:45:28.660 --> 00:45:31.580]   Actually, I have done that for a while.
[00:45:31.580 --> 00:45:33.500]   I remember when I was studying biology
[00:45:33.500 --> 00:45:35.580]   and biology is a lot of memorization.
[00:45:35.580 --> 00:45:38.140]   And that was before I had a smartphone.
[00:45:38.140 --> 00:45:41.620]   It was like 2008 or nine.
[00:45:41.620 --> 00:45:43.180]   I didn't have like a cell phone or smartphone,
[00:45:43.180 --> 00:45:46.160]   but I think I had a cell phone, but a very simple one.
[00:45:46.160 --> 00:45:48.860]   So I was still doing flashcards on pen and paper.
[00:45:48.860 --> 00:45:50.980]   And I usually, I went on walks.
[00:45:50.980 --> 00:45:52.620]   So, 'cause I couldn't,
[00:45:52.620 --> 00:45:54.380]   I found it boring just to sit somewhere.
[00:45:54.380 --> 00:45:56.160]   Like I would get distracted by my computer.
[00:45:56.160 --> 00:45:58.540]   I actually went to the park or in nature
[00:45:58.540 --> 00:45:59.500]   and I had my flashcards.
[00:45:59.500 --> 00:46:01.260]   And people probably thought I was like a crazy person
[00:46:01.260 --> 00:46:03.420]   always going to the flashcards there.
[00:46:03.420 --> 00:46:04.720]   That really helped me learning,
[00:46:04.720 --> 00:46:05.980]   like doing these flashcards.
[00:46:05.980 --> 00:46:08.540]   And it's maybe not necessarily just doing
[00:46:08.540 --> 00:46:09.500]   like the memorization.
[00:46:09.500 --> 00:46:11.740]   It's about creating these flashcards
[00:46:11.740 --> 00:46:14.000]   because you have to come up with a question really.
[00:46:14.000 --> 00:46:17.540]   And thinking about what the question should be,
[00:46:17.540 --> 00:46:20.140]   that is something I think where you also learn.
[00:46:20.140 --> 00:46:21.660]   And yeah, I do that with Anki.
[00:46:21.660 --> 00:46:23.620]   I'm not so good anymore at,
[00:46:23.620 --> 00:46:25.820]   I do it like 10 minutes a day where I review my cards,
[00:46:25.820 --> 00:46:27.540]   but I have more cards right now
[00:46:27.540 --> 00:46:30.380]   than I have time reviewing them.
[00:46:30.380 --> 00:46:31.940]   So I sometimes get a little bit behind.
[00:46:31.940 --> 00:46:35.100]   I have like this counter of like 200 unreviewed cards
[00:46:35.100 --> 00:46:35.940]   or something.
[00:46:35.940 --> 00:46:38.500]   So I have to think about how to maybe
[00:46:38.500 --> 00:46:39.460]   do this more efficiently,
[00:46:39.460 --> 00:46:41.500]   but that's also a good way to learn.
[00:46:41.500 --> 00:46:42.900]   I mean, I'm not running for an exam,
[00:46:42.900 --> 00:46:45.720]   but sometimes I feel like when I learn something
[00:46:45.720 --> 00:46:47.720]   just for myself, I don't want to lose it
[00:46:47.720 --> 00:46:48.640]   because it's so cool.
[00:46:48.640 --> 00:46:49.840]   I want to remember this.
[00:46:49.840 --> 00:46:51.440]   And then I put it in there basically.
[00:46:51.440 --> 00:46:52.280]   So yeah.
[00:46:52.280 --> 00:46:55.560]   Actually, oh, sorry.
[00:46:55.560 --> 00:46:56.600]   - Please go ahead.
[00:46:56.600 --> 00:46:58.680]   - Yeah, so also sometimes I use my,
[00:46:58.680 --> 00:47:00.820]   so I have some, I have different categories.
[00:47:00.820 --> 00:47:03.720]   I have like math, machine learning,
[00:47:03.720 --> 00:47:06.920]   statistics, biology, also computing.
[00:47:06.920 --> 00:47:08.720]   And I have things, weird things like this.
[00:47:08.720 --> 00:47:11.440]   One thing I, for some reason I can't remember this,
[00:47:12.440 --> 00:47:16.980]   how to rename multiple files in the command line in Bash.
[00:47:16.980 --> 00:47:19.700]   And I, once in a while I remember that,
[00:47:19.700 --> 00:47:22.460]   but it's also for myself, it's like a good,
[00:47:22.460 --> 00:47:24.900]   like a lookup resource.
[00:47:24.900 --> 00:47:26.000]   Sometimes I need to do that.
[00:47:26.000 --> 00:47:27.960]   And then I just go to my Anki and search for this,
[00:47:27.960 --> 00:47:30.640]   Bash rename, and then I use that, copy paste it.
[00:47:30.640 --> 00:47:32.860]   And so it's kind of like also a knowledge base
[00:47:32.860 --> 00:47:33.700]   in a way for me.
[00:47:33.700 --> 00:47:37.560]   - I was just going to say to me, it's very inspiring.
[00:47:37.560 --> 00:47:41.320]   I think of myself as a early bit of a (indistinct)
[00:47:41.320 --> 00:47:43.120]   machine learning engineer student.
[00:47:43.120 --> 00:47:45.960]   And even someone at your level is constantly
[00:47:45.960 --> 00:47:48.960]   re-evaluating how to approach materials.
[00:47:48.960 --> 00:47:51.200]   And it's such a nice reminder that,
[00:47:51.200 --> 00:47:53.360]   I would always assume that this is how you learn things.
[00:47:53.360 --> 00:47:55.560]   It's just weird stuff, I'm supposed to remember it.
[00:47:55.560 --> 00:47:59.360]   But now I'm learning, you should be spaced,
[00:47:59.360 --> 00:48:01.240]   repeating things that you should be creating,
[00:48:01.240 --> 00:48:02.200]   flashcards you should be--
[00:48:02.200 --> 00:48:04.160]   - I'm not sure if that's the best approach though,
[00:48:04.160 --> 00:48:06.680]   but yeah, it's what I like doing, yeah.
[00:48:06.680 --> 00:48:10.120]   - I follow the same one, that's why I'm teaching that.
[00:48:10.120 --> 00:48:11.200]   - That's cool, yeah.
[00:48:11.200 --> 00:48:13.840]   - There's a question by Alejandro,
[00:48:13.840 --> 00:48:17.120]   do you have any resources that you prefer
[00:48:17.120 --> 00:48:19.600]   for learning theory, just using audio,
[00:48:19.600 --> 00:48:22.320]   so any podcasts that you listen to and such?
[00:48:22.320 --> 00:48:26.080]   - Any, okay, that's a good point.
[00:48:26.080 --> 00:48:30.960]   So yeah, I honestly don't know any good theory podcast
[00:48:30.960 --> 00:48:33.840]   or audio, it's mostly always like with,
[00:48:33.840 --> 00:48:35.540]   I think it's because it's very hard.
[00:48:35.540 --> 00:48:37.620]   I remember there's this book,
[00:48:38.180 --> 00:48:43.180]   it's on causal inference or causality,
[00:48:43.180 --> 00:48:47.460]   and that's an audio book version of this,
[00:48:47.460 --> 00:48:49.340]   the book of why, I think.
[00:48:49.340 --> 00:48:52.340]   I tried this as an audio book and I had to stop it
[00:48:52.340 --> 00:48:55.460]   because I need this like visualized almost,
[00:48:55.460 --> 00:48:58.220]   at least I have to sit down and write it down
[00:48:58.220 --> 00:49:00.700]   or certain things, because sometimes it's hard
[00:49:00.700 --> 00:49:03.180]   to just do certain things in audio.
[00:49:03.180 --> 00:49:05.500]   And honestly, what I did is I liked
[00:49:05.500 --> 00:49:08.780]   like educational podcasts a lot,
[00:49:08.780 --> 00:49:10.820]   but I don't do this so much anymore
[00:49:10.820 --> 00:49:15.140]   because yeah, it's also important to take breaks
[00:49:15.140 --> 00:49:19.260]   in my opinion, like, because when you work the whole day,
[00:49:19.260 --> 00:49:20.660]   right now, when I listen to podcasts,
[00:49:20.660 --> 00:49:22.180]   it's more like for entertainment,
[00:49:22.180 --> 00:49:24.380]   when I'm, let's say if there's some really long,
[00:49:24.380 --> 00:49:27.240]   boring drive that I do like a podcast for entertainment,
[00:49:27.240 --> 00:49:30.580]   but then also I feel like it helps me being more refreshed
[00:49:30.580 --> 00:49:31.820]   when I'm back at my desk.
[00:49:31.820 --> 00:49:35.780]   So because yeah, doing a podcast,
[00:49:35.780 --> 00:49:37.980]   listening to a more like complicated podcast
[00:49:37.980 --> 00:49:39.100]   while doing something else,
[00:49:39.100 --> 00:49:40.940]   it's really, you have to focus a lot
[00:49:40.940 --> 00:49:44.380]   and then it's so much more effort in that way,
[00:49:44.380 --> 00:49:46.860]   I feel like it's maybe not the best bang for the buck
[00:49:46.860 --> 00:49:47.700]   in that way.
[00:49:47.700 --> 00:49:50.660]   So I try right now, if I have free time,
[00:49:50.660 --> 00:49:53.020]   I try to spend that free time on let's say entertainment
[00:49:53.020 --> 00:49:54.640]   or like relaxing.
[00:49:54.640 --> 00:49:55.980]   And then when I'm back at my desk,
[00:49:55.980 --> 00:49:59.740]   I use the resources that give me the most bang for the buck
[00:49:59.740 --> 00:50:00.700]   in terms of learning.
[00:50:00.700 --> 00:50:02.420]   And that is like usually video and text.
[00:50:02.420 --> 00:50:04.660]   So yeah, I don't have any recommendations
[00:50:04.660 --> 00:50:07.340]   for audio podcasts that are very educational,
[00:50:07.340 --> 00:50:09.620]   but I like interview podcasts actually.
[00:50:09.620 --> 00:50:11.720]   So I usually, because it's something
[00:50:11.720 --> 00:50:14.280]   where you can always learn something new,
[00:50:14.280 --> 00:50:16.340]   but it's not where you have to focus
[00:50:16.340 --> 00:50:20.540]   on like having some visual symbols in your mind
[00:50:20.540 --> 00:50:22.540]   when you think about math or something like that.
[00:50:22.540 --> 00:50:24.820]   So yeah.
[00:50:24.820 --> 00:50:28.100]   - That's a nice reminder that you're trying to optimize
[00:50:28.100 --> 00:50:30.660]   for a lot of learning for your time,
[00:50:30.660 --> 00:50:31.500]   something like that.
[00:50:31.500 --> 00:50:34.580]   And you should always be focusing in that direction.
[00:50:34.580 --> 00:50:35.780]   - Yeah, yeah.
[00:50:35.780 --> 00:50:37.860]   Yeah, I think it's also important to keep in mind
[00:50:37.860 --> 00:50:40.940]   that the brain is like a muscle in that way.
[00:50:40.940 --> 00:50:44.140]   You have to also have some breaks in that way.
[00:50:44.140 --> 00:50:47.780]   So it's like the more, sometimes it feels okay,
[00:50:47.780 --> 00:50:52.220]   maybe I could use my time better by learning all the time,
[00:50:52.220 --> 00:50:54.480]   but I feel like over time you get tired
[00:50:54.480 --> 00:50:56.840]   and then when you learn, you don't learn as efficiently,
[00:50:56.840 --> 00:50:57.760]   I feel like, I don't know.
[00:50:57.760 --> 00:51:01.220]   But it's just like, yeah, my opinion.
