
[00:00:00.040 --> 00:00:07.180]   wszyscy at in
[00:44:40.400 --> 00:44:40.400]   I think that's going to be a very powerful thing.
[00:44:40.400 --> 00:44:40.400]   I think that's going to be a very powerful thing.
[00:44:40.400 --> 00:44:40.400]   I think that's going to be a very powerful thing.
[00:44:40.400 --> 00:44:40.400]   I think that's going to be a very powerful thing.
[00:44:40.400 --> 00:44:40.400]   I think that's going to be a very powerful thing.
[00:44:40.400 --> 00:44:40.400]   I think that's going to be a very powerful thing.
[00:44:40.400 --> 00:44:40.400]   I think that's going to be a very powerful thing.
[00:44:40.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.420 --> 00:45:10.420]   I think that's going to be a very powerful thing.
[00:45:10.460 --> 00:45:40.440]   I think that's going to be a very powerful thing.
[00:45:40.440 --> 00:45:40.440]   I think that's going to be a very powerful thing.
[00:45:40.440 --> 00:45:40.440]   I think that's going to be a very powerful thing.
[00:45:40.440 --> 00:45:40.440]   I think that's going to be a very powerful thing.
[00:45:40.440 --> 00:45:40.440]   I think that's going to be a very powerful thing.
[00:45:40.440 --> 00:45:40.440]   I think that's going to be a very powerful thing.
[00:45:40.440 --> 00:45:40.440]   I think that's going to be a very powerful thing.
[00:45:40.440 --> 00:45:40.440]   I think that's going to be a very powerful thing.
[00:45:40.440 --> 00:45:40.440]   I think that's going to be a very powerful thing.
[00:45:40.440 --> 00:45:40.440]   I think that's going to be a very powerful thing.
[00:45:40.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:10.460]   I think that's going to be a very powerful thing.
[00:46:10.460 --> 00:46:40.480]   I think that's going to be a very powerful thing.
[00:46:40.480 --> 00:46:40.480]   I think that's going to be a very powerful thing.
[00:46:40.480 --> 00:46:40.480]   I think that's going to be a very powerful thing.
[00:46:40.480 --> 00:46:40.480]   I think that's going to be a very powerful thing.
[00:46:40.480 --> 00:46:40.480]   I think that's going to be a very powerful thing.
[00:46:40.480 --> 00:46:40.480]   I think that's going to be a very powerful thing.
[00:46:40.480 --> 00:46:40.480]   I think that's going to be a very powerful thing.
[00:46:40.480 --> 00:46:40.480]   I think that's going to be a very powerful thing.
[00:46:40.480 --> 00:46:40.480]   I think that's going to be a very powerful thing.
[00:46:40.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.500 --> 00:47:10.500]   I think that's going to be a very powerful thing.
[00:47:10.540 --> 00:47:40.520]  ,
[00:47:40.520 --> 00:47:40.520]   I think that's going to be a very powerful thing.
[00:47:40.520 --> 00:47:40.520]   I think that's going to be a very powerful thing.
[00:47:40.520 --> 00:47:40.520]   I think that's going to be a very powerful thing.
[00:47:40.520 --> 00:47:40.520]   I think that's going to be a very powerful thing.
[00:47:40.520 --> 00:47:40.520]   I think that's going to be a very powerful thing.
[00:47:40.520 --> 00:47:40.520]   I think that's going to be a very powerful thing.
[00:47:40.520 --> 00:47:40.520]   I think that's going to be a very powerful thing.
[00:47:40.520 --> 00:47:40.520]   I think that's going to be a very powerful thing.
[00:47:40.520 --> 00:47:40.520]   I think that's going to be a very powerful thing.
[00:47:40.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.540 --> 00:48:10.540]   I think that's going to be a very powerful thing.
[00:48:10.580 --> 00:48:40.560]   I think that's going to be a very powerful thing.
[00:48:40.560 --> 00:48:40.560]   I think that's going to be a very powerful thing.
[00:48:40.560 --> 00:48:40.560]   I think that's going to be a very powerful thing.
[00:48:40.560 --> 00:48:40.560]   I think that's going to be a very powerful thing.
[00:48:40.560 --> 00:48:40.560]   I think that's going to be a very powerful thing.
[00:48:40.560 --> 00:48:40.560]   I think that's going to be a very powerful thing.
[00:48:40.560 --> 00:48:40.560]   I think that's going to be a very powerful thing.
[00:48:40.560 --> 00:48:40.560]   I think that's going to be a very powerful thing.
[00:48:40.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:10.580]   I think that's going to be a very powerful thing.
[00:49:10.580 --> 00:49:40.600]   I think that's going to be a very powerful thing.
[00:49:40.600 --> 00:49:40.600]   I think that's going to be a very powerful thing.
[00:49:40.600 --> 00:49:40.600]   I think that's going to be a very powerful thing.
[00:49:40.600 --> 00:49:40.600]   I think that's going to be a very powerful thing.
[00:49:40.600 --> 00:49:40.600]   I think that's going to be a very powerful thing.
[00:49:40.600 --> 00:49:40.600]   I think that's going to be a very powerful thing.
[00:49:40.600 --> 00:49:40.600]   I think that's going to be a very powerful thing.
[00:49:40.600 --> 00:49:40.600]   I think that's going to be a very powerful thing.
[00:49:40.600 --> 00:49:40.600]   I think that's going to be a very powerful thing.
[00:49:40.600 --> 00:49:40.600]   I think that's going to be a very powerful thing.
[00:49:40.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:10.620]   I think that's going to be a very powerful thing.
[00:50:10.620 --> 00:50:40.640]   I think that's going to be a very powerful thing.
[00:50:40.640 --> 00:50:40.640]   I think that's going to be a very powerful thing.
[00:50:40.640 --> 00:50:40.640]   I think that's going to be a very powerful thing.
[00:50:40.640 --> 00:50:40.640]   I think that's going to be a very powerful thing.
[00:50:40.640 --> 00:50:40.640]   I think that's going to be a very powerful thing.
[00:50:40.640 --> 00:50:40.640]   I think that's going to be a very powerful thing.
[00:50:40.640 --> 00:50:40.640]   I think that's going to be a very powerful thing.
[00:50:40.640 --> 00:50:40.640]   I think that's going to be a very powerful thing.
[00:50:40.640 --> 00:50:40.640]   I think that's going to be a very powerful thing.
[00:50:40.640 --> 00:50:40.640]   I think that's going to be a very powerful thing.
[00:50:40.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:10.660]   I think that's going to be a very powerful thing.
[00:51:10.660 --> 00:51:40.680]   I think that's going to be a very powerful thing.
[00:51:40.680 --> 00:51:40.680]   I think that's going to be a very powerful thing.
[00:51:40.680 --> 00:51:40.680]   I think that's going to be a very powerful thing.
[00:51:40.680 --> 00:51:40.680]   I think that's going to be a very powerful thing.
[00:51:40.680 --> 00:51:40.680]   I think that's going to be a very powerful thing.
[00:51:40.680 --> 00:51:40.680]   I think that's going to be a very powerful thing.
[00:51:40.680 --> 00:51:40.680]   I think that's going to be a very powerful thing.
[00:51:40.680 --> 00:51:40.680]   I think that's going to be a very powerful thing.
[00:51:40.680 --> 00:51:40.680]   I think that's going to be a very powerful thing.
[00:51:40.680 --> 00:51:40.680]   I think that's going to be a very powerful thing.
[00:51:40.700 --> 00:52:10.700]   The reality is that we're going to be building this out one year at a time.
[00:52:10.700 --> 00:52:10.700]   It's going to take a while.
[00:52:10.700 --> 00:52:10.700]   It's going to take a while.
[00:52:10.700 --> 00:52:10.700]   We're going to just get to see how it evolves and what developers and different folks do with it.
[00:52:10.700 --> 00:52:10.700]   If you could comment, this might be a bit of a very specific technical question, but Lama 2 is incredible.
[00:52:10.700 --> 00:52:10.700]   It's the... You've released it recently. There's already been a lot of exciting developments around it.
[00:52:10.700 --> 00:52:10.700]   What's your sense about its release and what's the purpose of it?
[00:52:10.700 --> 00:52:10.700]   What's your sense about its release and what's the purpose of it?
[00:52:10.700 --> 00:52:10.700]   It's the... You've released it recently.
[00:52:10.700 --> 00:52:10.700]   There's already been a lot of exciting developments around it.
[00:52:10.700 --> 00:52:10.700]   There's already been a lot of exciting developments around it.
[00:52:10.700 --> 00:52:10.700]   There's already been a lot of exciting developments around it.
[00:52:10.700 --> 00:52:40.720]   in the future.
[00:52:40.720 --> 00:52:40.720]   Yeah, I mean, I think on the last podcast that we did together, we were talking about the debate that we were having around open sourcing Lama 2. I'm glad that we did. I think at this point, the value of open sourcing a foundation model like Lama 2 is significantly greater than the risks, in my view. We spent a lot of time doing a very rigorous assessment of the risks, and we're going to do a lot of things that we're going to do in the future.
[00:52:40.740 --> 00:53:10.740]   We spent a lot of time doing a very rigorous assessment of that and red teaming it.
[00:53:10.740 --> 00:53:10.740]   I'm very glad that we released Lama 2.
[00:53:10.740 --> 00:53:10.740]   I think the reception has been...
[00:53:10.740 --> 00:53:10.740]   It's just been really exciting to see how excited people have been about it.
[00:53:10.740 --> 00:53:10.740]   It's gotten way more downloads and usage than I would have even expected. I was pretty optimistic about it. That's been great.
[00:53:10.740 --> 00:53:10.740]   Lama 3, I mean, there's always another model that we're trained on.
[00:53:10.740 --> 00:53:10.740]   There's always another model that we're trained on.
[00:53:10.740 --> 00:53:10.740]   There's always another model that we're trained on.
[00:53:10.740 --> 00:53:10.740]   That's been great.
[00:53:10.740 --> 00:53:10.740]   Lama 3, I mean, there's always another model that we're trained on.
[00:53:10.740 --> 00:53:10.740]   That's always another model that we're trained on.
[00:53:10.740 --> 00:53:10.740]   That's always another model that we're trained on.
[00:53:10.740 --> 00:53:10.740]   That's always another model that we're trained on.
[00:53:10.740 --> 00:53:40.760]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:53:40.780 --> 00:54:10.780]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:54:10.780 --> 00:54:10.780]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:54:10.780 --> 00:54:10.780]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:54:10.780 --> 00:54:10.780]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:54:10.780 --> 00:54:10.780]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:54:10.780 --> 00:54:10.780]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:54:10.780 --> 00:54:10.780]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:54:10.780 --> 00:54:10.780]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:54:10.780 --> 00:54:10.780]   I mean, for right now, we trained Lama 2 and we released it as an open source model.
[00:54:10.820 --> 00:54:40.800]  , I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:54:40.800 --> 00:54:40.800]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:54:40.800 --> 00:54:40.800]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:54:40.800 --> 00:54:40.800]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:54:40.800 --> 00:54:40.800]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:54:40.820 --> 00:55:10.820]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:55:10.820 --> 00:55:10.820]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:55:10.820 --> 00:55:10.820]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:55:10.820 --> 00:55:10.820]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:55:10.820 --> 00:55:10.820]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:55:10.820 --> 00:55:10.820]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:55:10.820 --> 00:55:10.820]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:55:10.820 --> 00:55:10.820]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:55:10.820 --> 00:55:10.820]   I mean, for right now, we train Lama 2 and we released it as an open source model.
[00:55:10.860 --> 00:55:40.840]  ,
[00:55:40.840 --> 00:55:40.840]   Yeah, I mean, part of what we're trying to do with the initial AI is launch is having a diversity of different use cases, just so that people can try to figure out what's going on with the AI.
[00:55:40.840 --> 00:55:40.840]   Yeah, I mean, part of what we're trying to do with the initial AI is launch is having a diversity of different use cases, just so that people can try to figure out what's going on with the AI.
[00:55:40.840 --> 00:55:40.840]   Yeah, I mean, part of what we're trying to do with the initial AI is launch is having a diversity of different use cases, just so that people can try to figure out what's going on with the AI.
[00:55:40.840 --> 00:55:40.840]   Yeah, I mean, part of what we're trying to do with the initial AI is launch is having a diversity of different use cases, just so that people can try to figure out what's going on with the AI.
[00:55:40.860 --> 00:56:10.860]   I mean, part of what we're trying to do with the initial AI is launch is having a diversity of different use cases, just so that people can try to figure out what's going on with the AI.
[00:56:10.860 --> 00:56:10.860]   Yeah, I mean, part of what we're trying to do with the initial AI is launch is having a diversity of different use cases, just so that people can try to figure out what's going on with the AI.
[00:56:10.860 --> 00:56:10.860]   Yeah, I mean, part of what we're trying to do with the initial AI.
[00:56:10.860 --> 00:56:10.860]   Yeah, I mean, part of what we're trying to do with the initial AI.
[00:56:10.860 --> 00:56:10.860]   Yeah, I mean, part of what we're trying to do with the initial AI.
[00:56:10.860 --> 00:56:10.860]   Yeah, part of what we're trying to do with the initial AI.
[00:56:10.860 --> 00:56:10.860]   Yeah, part of what we're trying to do with the initial AI.
[00:56:10.860 --> 00:56:10.860]   Yeah, part of what we're trying to do with the initial AI.
[00:56:10.860 --> 00:56:40.880]  , and I'm also excited to see, you know, the Internet, I don't know if you heard can get kind of weird. And I applaud them for it. So I get that. Yeah, it'd be nice to see how weird they take it, what kind of means I generated from this. And I think all of it is especially in these early stages of development as we progress towards AGI, it's good to learn by playing with those systems and interacting with them at like a large scale, like you said.
[00:56:40.880 --> 00:56:40.880]   Yeah, totally. I mean, that's part of what we're trying to do with the initial AI.
[00:56:40.900 --> 00:57:10.900]   I mean, that's part of what we're trying to do with the initial AI.
[00:57:10.900 --> 00:57:10.900]   We're starting out with a set. And then we're also working on this platform that we call AI studio, that's going to make it so that over time, anyone will be able to create it one of these days, almost like they create any other UTC content across the platform. So I'm excited about that. I think that to some degree, we're not going to see the full potential of this until you just have the full creativity of the whole community being able to build stuff. But there's a lot of a lot of
[00:57:10.900 --> 00:57:10.900]   I mean, that's part of what we're trying to do with the initial AI.
[00:57:10.900 --> 00:57:10.900]   I mean, that's part of what we're trying to do with the initial AI.
[00:57:10.900 --> 00:57:40.920]  ,
[00:57:40.920 --> 00:57:40.920]   and then we're going to see if we can get it to the full potential of the whole community being able to create any other UTC content across the platform.
[00:57:40.920 --> 00:57:40.920]   So I'm excited to take this in stages. I don't I don't think anyone out there is really doing what we're doing here. I think that there are there are people who are doing kind of like fictional or consumer oriented character type stuff, but the extent to which we're building it out with the avatars and expressiveness and making it so they can interact across all the different apps and they'll have plans and stuff like that.
[00:57:40.920 --> 00:57:40.920]   So I'm excited to take this in stages. I mean, I mean, that's part of what we're trying to do is that. I mean, I mean, that's part of what we're trying to do is that we're trying to get right to get to the full creativity of the full creativity of the full creativity of AI.
[00:57:40.940 --> 00:58:10.940]   profiles, you know, we'll be able to engage people on Instagram and Facebook. I think it's just that it's going to be really fun.
[00:58:10.980 --> 00:58:21.900]   out
[00:58:21.900 --> 00:58:34.860]   " Her but provide " but love, ,,,,, depends and but I'm at goar et carriesBoxGAIIGT-P. I, weapon in the thing that's, 100, is, �, with, with, with, isn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, asked the waste in in all of wasn't and in the thing and I'm and not and all in the rest and Bev thought and M only사 and all of theent border and almost인지 show in 서� SDC이 larG det knee up
[00:58:35.000 --> 00:58:44.220]   Mister
[00:58:44.220 --> 00:59:04.120]   ready in the는
[00:59:05.000 --> 00:59:35.000]   Корrector:
[00:59:35.000 --> 00:59:35.000]   The thing that's novel is the ability to convey through technology a sense of almost physical presence. The thing that is not physically real is us being in the same physical place, but everything else is. I think that gets to this somewhat philosophical question about what is the nature of the modern real world. I just
[00:59:35.000 --> 00:59:35.000]   I think that gets to this somewhat philosophical question about what is the nature of the modern real world. I just
[00:59:35.000 --> 00:59:35.000]   I think that gets to this somewhat philosophical question about what is the nature of the modern real world. I just
[00:59:35.000 --> 00:59:35.000]   I think that gets to this somewhat philosophical question about what is the nature of the modern real world. I just
[00:59:35.000 --> 00:59:35.000]   I think that gets to this somewhat philosophical question about what is the nature of the modern real world. I just
[00:59:35.000 --> 00:59:35.000]   I think that gets to this somewhat philosophical question about what is the nature of the modern real world. I just
[00:59:35.000 --> 00:59:35.000]   I think that gets to this somewhat philosophical question about what is the nature of the modern real world. I just
[00:59:35.040 --> 01:00:05.020]   a physical world and the presence that we feel but also being able to combine that with this increasingly rich and powerful and capable digital world that we have and all of the innovation that's getting created there. I think it's super exciting because the digital world is just increasing in its capability and our ability to do awesome things, but the physical world is so profound and that's a lot of what makes us human
[01:00:05.040 --> 01:00:35.040]   is that we're physical beings. I don't think we want to run away from that and just spend all day on a screen.
[01:00:35.040 --> 01:00:35.040]   I think that gets to this somewhat philosophical question about what is the nature of the modern real world. I just
[01:00:35.040 --> 01:00:35.040]   I think that gets to this somewhat philosophical question about what is the nature of the modern real world. I think that gets to this somewhat powerful and that's a lot of what makes us human
[01:00:35.040 --> 01:00:35.040]   I think that gets to this somewhat philosophical question about what is the nature of the modern real world. I think that gets to this somewhat powerful and that's a lot of what makes us human
[01:00:35.040 --> 01:00:35.040]   I think that gets to this somewhat philosophical question about what is the nature of the modern real world. I think that gets to this somewhat powerful and that's a lot of what makes us human
[01:00:35.080 --> 01:01:05.060]  ,
[01:01:05.060 --> 01:01:05.060]   Yeah, I think just to linger on this kind of changing nature of reality like of what is real maybe shifting it towards the consciousness so what is real is the subjective experience of a thing that makes it feel real versus necessarily being in the same physical space because it feels like we're in the same physical space and that's the conscious experience of it that's probably what is real
[01:01:05.060 --> 01:01:05.060]   Yeah, I think just to linger on this kind of changing nature of reality like of what is real maybe shifting it towards the consciousness so what is real is the subjective experience of a thing that makes it feel real versus necessarily being in the same physical space because it feels like we're in the same physical space and that's the conscious experience of it that's probably what is real
[01:01:05.080 --> 01:01:35.080]   real not like that the space-time like the physics of it like you're basically breaking physics and focusing on the consciousness that's what's real just whatever is going on inside my head. But there are a lot of social and psychological things that go along with that experience that was previously only physical presence, right? I think there's like an intimacy, a trust, you know there's a level of communication because so much of communication is non-verbal and it's based on
[01:01:35.080 --> 01:01:35.080]   And I think it's like a little bit of a trust and a sense of intimacy, right? I think there's a level of intimacy, a trust, you know there's a level of communication because so much of communication is non-verbal and it's based on
[01:01:35.080 --> 01:01:35.080]   It's based on the physical, right?
[01:01:35.080 --> 01:01:35.080]   It's based on the physical, and it's based on the physical,
[01:01:35.080 --> 01:01:35.080]   I think it's based on the individual, it's based on the physical, right?
[01:01:35.080 --> 01:01:35.080]   It's based on the physical, right?
[01:01:35.120 --> 01:01:45.840]  is
[01:01:45.840 --> 01:02:00.320]   зак oh.
[01:02:00.320 --> 01:02:03.800]  . work art buy bus покуп acordoав, you, you, you, you, you, you, you, you, you, you, you, you, by, yeah, en, G. asshole. And,ik. F. I, sells?. joints. men.end. gained. sore. Gordon. Lot. is. o:. talk. it's. dip. care. ac help.рам. like. work. Це drunk. show like, de 'TAC'G'*'H'G'Se'G'D 'G'G'G's hard'B's 'G's宮 'So'G'G where's cup'G't ... decent understand die's le gathered theGA's eu los's Voilà'mel Del 'G's Ge Er priorityبي sicheresin conduct the G Stay 14 100ビLED 7il
[01:02:03.820 --> 01:02:32.340]   and what in why I I just watching the best next front here for for working I start working on social networks and they were primarily text for the first version of Facebook your profile you had
[01:02:32.380 --> 01:02:36.180]   die
[01:02:36.180 --> 01:03:01.240]   most, out as
[01:03:02.400 --> 01:03:04.660]   I
[01:03:04.660 --> 01:03:16.000]   convey a use�очку
[01:03:16.000 --> 01:03:29.880]  � Patrick ciaocri though or have the front for the front.f. I'm kind of the connect, and I'm, and, and, and, and, and, and, and, and, and, and, and, and, and,서�. But. Imagine. Se.
[01:03:31.080 --> 01:03:40.180]   в
[01:03:40.180 --> 01:03:49.180]  ooh in. I,,,,
[01:04:09.700 --> 01:04:29.280]   I'm not. I'm in a conference room. Okay. Well, I'm on a beach and not wearing any pants. I'm really sorry about that for anyone else who's watching me in physical space. Anyway, thank you so much for talking today. This is, this, this really blew my mind. It's one of the most incredible experiences of my life. So thank you for giving that to me. Awesome. Awesome. Glad you got to check it out. And it's always fun to talk. All right. I'll catch you soon. See ya. See you later. So, so amazing, man. This is so amazing.
[01:04:29.280 --> 01:04:29.280]   This is so amazing.
[01:04:29.280 --> 01:04:29.280]   This is so amazing.
[01:04:29.280 --> 01:04:29.280]   This is so amazing.
[01:04:29.280 --> 01:04:29.280]   This is so amazing.
[01:04:29.280 --> 01:04:29.280]   This is so amazing.
[01:04:29.280 --> 01:04:29.280]   This is so amazing.
[01:04:29.280 --> 01:04:29.320]   This is so amazing.
[01:04:29.320 --> 01:04:29.380]   This is so amazing.
[01:04:29.380 --> 01:04:29.440]   This is so amazing.
[01:04:29.440 --> 01:04:29.500]   This is so amazing.
[01:04:29.500 --> 01:04:29.560]   This is so amazing.
[01:04:29.620 --> 01:04:39.900]   the

