
[00:00:00.000 --> 00:00:01.600]   Are you experienced?
[00:31:58.740 --> 00:32:00.820]   People can help me out, lend me a car.
[00:32:00.820 --> 00:32:02.100]   And I've got Uber.
[00:32:02.100 --> 00:32:03.540]   And I can get around a few times a week
[00:32:03.540 --> 00:32:06.580]   and pay 50, 100, 200 bucks for Uber.
[00:32:06.580 --> 00:32:09.260]   And that's a lot cheaper than losing thousands of dollars
[00:32:09.260 --> 00:32:10.860]   on a much newer and nicer car.
[00:32:10.860 --> 00:32:16.020]   So what are the things that you can do today
[00:32:16.020 --> 00:32:17.420]   to prepare for the eventuality
[00:32:17.420 --> 00:32:19.580]   of your car breaking down on you?
[00:32:19.580 --> 00:32:20.700]   Plan and save.
[00:32:20.700 --> 00:32:26.540]   If your car is nickel and diming you with ongoing repairs,
[00:32:26.540 --> 00:32:29.300]   it might be time to upgrade.
[00:32:29.300 --> 00:32:34.140]   So the time to make that decision is now,
[00:32:34.140 --> 00:32:37.700]   not when you're frustrated at the car breaking down.
[00:32:37.700 --> 00:32:39.380]   Plan for the upgrade.
[00:32:39.380 --> 00:32:41.440]   Start shopping for a deal now
[00:32:41.440 --> 00:32:42.780]   when you've got time on your side
[00:32:42.780 --> 00:32:44.740]   and there's nothing broken on the car.
[00:32:44.740 --> 00:32:47.540]   That'll help you because you can find the deal,
[00:32:47.540 --> 00:32:49.660]   take your time finding what you're gonna buy,
[00:32:49.660 --> 00:32:51.020]   and then you can take your time
[00:32:51.020 --> 00:32:52.860]   finding the buyer for your car.
[00:32:52.860 --> 00:32:54.660]   And you can sell it as a working car
[00:32:54.660 --> 00:32:58.340]   at a much higher price point than as a broken down car.
[00:32:58.340 --> 00:33:00.260]   So if your car is nickel and diming you
[00:33:00.260 --> 00:33:01.480]   and you've done the analysis
[00:33:01.480 --> 00:33:03.620]   of which of these costs are repair items
[00:33:03.620 --> 00:33:05.060]   and which of these costs are maintenance items,
[00:33:05.060 --> 00:33:07.860]   recognizing that all cars are gonna have maintenance,
[00:33:07.860 --> 00:33:09.380]   then go ahead and plan.
[00:33:09.380 --> 00:33:12.140]   Find a good deal.
[00:33:12.140 --> 00:33:13.900]   Take advantage of the seasonal deals,
[00:33:13.900 --> 00:33:15.480]   rebates, special incentive programs
[00:33:15.480 --> 00:33:17.340]   if you're buying a newer car.
[00:33:17.340 --> 00:33:20.020]   Take advantage of a friends and family deal
[00:33:20.020 --> 00:33:21.020]   when one comes along
[00:33:21.020 --> 00:33:23.500]   or when you see a great deal on the side of the road.
[00:33:23.500 --> 00:33:26.220]   And then plan and save now
[00:33:26.220 --> 00:33:29.020]   in case you face a catastrophic repair.
[00:33:29.020 --> 00:33:32.020]   And it is possible that you could wind up in the situation
[00:33:32.020 --> 00:33:34.960]   where your car is simply not worth repairing.
[00:33:34.960 --> 00:33:36.940]   In that case, have a plan now
[00:33:36.940 --> 00:33:40.020]   for what type of car you'd like to buy and why.
[00:33:40.020 --> 00:33:42.240]   I would encourage you, think ahead at all times
[00:33:42.240 --> 00:33:44.920]   about what's the next vehicle that you're gonna buy.
[00:33:44.920 --> 00:33:46.100]   I know exactly what,
[00:33:46.100 --> 00:33:49.180]   if my car were totaled in an accident today,
[00:33:49.180 --> 00:33:52.060]   I know exactly what the next car that I would buy is.
[00:33:52.060 --> 00:33:55.260]   So have that plan, know the market values
[00:33:55.260 --> 00:33:56.860]   so you can keep your ears open.
[00:33:56.860 --> 00:33:58.860]   And by just simply planning ahead
[00:33:58.860 --> 00:34:00.540]   if a catastrophic loss happens
[00:34:00.540 --> 00:34:01.540]   and if you run the analysis
[00:34:01.540 --> 00:34:02.900]   and you need to buy another one,
[00:34:02.900 --> 00:34:04.660]   then you'll make a wiser decision
[00:34:04.660 --> 00:34:06.580]   than if you just jump
[00:34:06.580 --> 00:34:08.480]   because you're emotionally frustrated.
[00:34:08.480 --> 00:34:12.540]   Pay attention to brands, pay attention to reliability.
[00:34:12.540 --> 00:34:14.020]   A lot of the problems that people face,
[00:34:14.020 --> 00:34:17.480]   and this is one of the major cycles of poverty that happens
[00:34:17.480 --> 00:34:19.780]   is when people make fast decisions
[00:34:19.780 --> 00:34:22.100]   and they don't think carefully about them,
[00:34:22.100 --> 00:34:24.140]   those decisions tend to compound.
[00:34:24.140 --> 00:34:28.220]   They buy a flashy, convertible Mustang
[00:34:28.220 --> 00:34:29.980]   because it looks cool.
[00:34:29.980 --> 00:34:31.780]   But they wind up finding out
[00:34:31.780 --> 00:34:34.060]   that it's actually a really unreliable car
[00:34:34.060 --> 00:34:36.580]   and there's all these expenses that are associated with it
[00:34:36.580 --> 00:34:37.700]   and it's really not safe
[00:34:37.700 --> 00:34:39.200]   and it's breaking down all the time.
[00:34:39.200 --> 00:34:41.980]   So then they jump from one thing to the next
[00:34:41.980 --> 00:34:43.540]   and they jump to a new car
[00:34:43.540 --> 00:34:45.420]   that has all these other things associated with it.
[00:34:45.420 --> 00:34:48.620]   And these snap decisions, snap decisions, snap decisions,
[00:34:48.620 --> 00:34:51.420]   many people repeat them again and again and again and again.
[00:34:51.420 --> 00:34:53.660]   And then they wind up years later saying,
[00:34:53.660 --> 00:34:55.620]   but I had to make this decision.
[00:34:55.620 --> 00:34:57.340]   No, you didn't.
[00:34:57.340 --> 00:35:00.620]   Stop making bad decisions quickly,
[00:35:00.620 --> 00:35:05.380]   slow down, go carefully, and plan ahead
[00:35:05.380 --> 00:35:06.660]   and you'll make wiser decisions
[00:35:06.660 --> 00:35:08.360]   and hang on to more of your money.
[00:35:08.360 --> 00:35:12.140]   Wanna touch on two last things and we're done for today.
[00:35:12.140 --> 00:35:16.100]   Number one, the discussion of the half the value rule.
[00:35:16.100 --> 00:35:19.100]   That's the only kind of rule of thumb
[00:35:19.100 --> 00:35:19.940]   that I've heard people say.
[00:35:19.940 --> 00:35:21.440]   If your car repairs are gonna cost you
[00:35:21.440 --> 00:35:23.340]   more than half the value of the car,
[00:35:23.340 --> 00:35:24.820]   then it's probably better to replace the car.
[00:35:24.820 --> 00:35:26.500]   Take the money, sell it, take the money
[00:35:26.500 --> 00:35:29.420]   and put it with your cash and buy the newer car.
[00:35:29.420 --> 00:35:30.980]   I really can't even,
[00:35:30.980 --> 00:35:33.100]   although I understand the sentiment behind it,
[00:35:33.100 --> 00:35:34.620]   I can't justify this one.
[00:35:34.620 --> 00:35:37.380]   I can't make it work for me personally
[00:35:37.380 --> 00:35:40.980]   because even if my $4,000 car,
[00:35:40.980 --> 00:35:43.620]   I've been in a situation, a $5,000 car
[00:35:43.620 --> 00:35:46.180]   and I gotta fix it and it's $2,500,
[00:35:46.180 --> 00:35:49.100]   I'm still probably better off fixing it,
[00:35:49.100 --> 00:35:52.060]   driving the car that's a known quantity
[00:35:52.060 --> 00:35:55.300]   and then selling it in the market value
[00:35:55.300 --> 00:35:58.460]   as a repaired car versus a broken down car.
[00:35:58.460 --> 00:36:00.540]   I don't know where to get a good price
[00:36:00.540 --> 00:36:01.780]   for a broken down car.
[00:36:01.780 --> 00:36:03.380]   And I don't know where anyone else would either,
[00:36:03.380 --> 00:36:05.940]   unless you were a mechanic and you could fix it up
[00:36:05.940 --> 00:36:07.940]   or you had some kind of inside line on it.
[00:36:07.940 --> 00:36:10.380]   So even that rule of thumb that you'll hear about,
[00:36:10.380 --> 00:36:14.100]   if the repair is more than half 50% of the value of the car,
[00:36:14.100 --> 00:36:15.620]   personally, I can't make it work.
[00:36:15.620 --> 00:36:17.620]   I can't make it make logical sense.
[00:36:17.620 --> 00:36:18.740]   If any of you guys think I'm wrong,
[00:36:18.740 --> 00:36:20.500]   I'm happy to be shown why I'm wrong,
[00:36:20.500 --> 00:36:23.020]   but I look at it and I just simply say,
[00:36:23.020 --> 00:36:26.740]   a working car is better to be sold than a non-working car.
[00:36:26.740 --> 00:36:30.980]   Second thing, cars last longer than ever.
[00:36:30.980 --> 00:36:33.460]   So choose carefully, make wise decisions,
[00:36:33.460 --> 00:36:35.460]   pay a lot of attention to reliability
[00:36:35.460 --> 00:36:37.260]   and when you're paying attention to reliability,
[00:36:37.260 --> 00:36:39.860]   hopefully you'll wind up better in the long run.
[00:36:39.860 --> 00:36:44.060]   So don't be scared of a car and run out and trade it in
[00:36:44.060 --> 00:36:47.700]   just 'cause it's got 100,000 miles or 200,000 miles.
[00:36:47.700 --> 00:36:51.020]   Run the actual numbers on your actual situation
[00:36:51.020 --> 00:36:53.220]   and make your decisions based on data,
[00:36:53.220 --> 00:36:55.180]   not based on an emotional feeling.
[00:36:55.180 --> 00:36:57.060]   And I believe that if you'll do these things,
[00:36:57.060 --> 00:37:01.460]   you will wind up significantly more wealthy over time.
[00:37:01.460 --> 00:37:02.300]   That's it for today's show.
[00:37:02.300 --> 00:37:04.060]   That's what I wanted to share with you.
[00:37:04.060 --> 00:37:05.500]   Hope this is useful to you.
[00:37:05.500 --> 00:37:08.820]   If any of you have better ideas than me on this one,
[00:37:08.820 --> 00:37:11.540]   I would be happy to hear from you.
[00:37:11.540 --> 00:37:13.540]   If you found have better articles,
[00:37:13.540 --> 00:37:15.340]   I have searched to see if anybody else
[00:37:15.340 --> 00:37:17.720]   has any good insight on this.
[00:37:17.720 --> 00:37:18.840]   I've not seen it.
[00:37:18.840 --> 00:37:20.340]   I've not found any justification
[00:37:20.340 --> 00:37:21.540]   for these rules of thumb.
[00:37:21.540 --> 00:37:22.820]   But what I've learned is that you guys,
[00:37:22.820 --> 00:37:24.540]   the Radical Personal Finance listening audience
[00:37:24.540 --> 00:37:26.380]   are actually a lot smarter than I am.
[00:37:26.380 --> 00:37:28.580]   So if you've got any really great resources on this,
[00:37:28.580 --> 00:37:32.620]   if you think that my perspective on it is wrong,
[00:37:32.620 --> 00:37:33.860]   come tell me why.
[00:37:33.860 --> 00:37:35.460]   Come by the show notes for today's show
[00:37:35.460 --> 00:37:37.140]   and let me know why I'm wrong.
[00:37:37.140 --> 00:37:38.080]   I'd be happy to hear from you
[00:37:38.080 --> 00:37:39.940]   because I have struggled and struggled
[00:37:39.940 --> 00:37:41.380]   to come up with a good answer for this one.
[00:37:41.380 --> 00:37:43.720]   But at this point, you've heard my answer.
[00:37:43.720 --> 00:37:46.260]   Almost always better to repair
[00:37:46.260 --> 00:37:47.500]   and then transition over time.
[00:37:47.500 --> 00:37:49.100]   It's totally cool to buy a newer car,
[00:37:49.100 --> 00:37:50.780]   totally cool to buy a fancier car.
[00:37:50.780 --> 00:37:54.660]   Just do it intentionally and don't do it on an impulse.
[00:37:54.660 --> 00:37:58.140]   Life's not about being the richest at the end of the day.
[00:37:58.140 --> 00:38:00.100]   There's a minimum acceptable standard.
[00:38:00.100 --> 00:38:01.020]   If you're a millionaire,
[00:38:01.020 --> 00:38:04.540]   unless you wanna drive around in a $500 car, don't do it.
[00:38:04.540 --> 00:38:05.880]   You know, drive a nice car.
[00:38:05.880 --> 00:38:10.540]   But just don't make, I just hate seeing this decision.
[00:38:10.540 --> 00:38:13.940]   I've seen over the years more mistakes made in this area
[00:38:13.940 --> 00:38:15.940]   than anything else that I can think of,
[00:38:15.940 --> 00:38:19.700]   of people, cars breaking down, dig mechanic bill.
[00:38:19.700 --> 00:38:20.580]   What do I do?
[00:38:20.580 --> 00:38:22.380]   And it's tough.
[00:38:22.380 --> 00:38:26.680]   It's tough to know what to do.
[00:38:26.680 --> 00:38:28.060]   So that's it for today's show.
[00:38:28.060 --> 00:38:30.620]   If you have benefited and appreciated this content,
[00:38:30.620 --> 00:38:33.260]   I would thank you for supporting the show.
[00:38:33.260 --> 00:38:34.420]   Thank you for supporting the show
[00:38:34.420 --> 00:38:36.860]   through patronizing our sponsors.
[00:38:36.860 --> 00:38:39.920]   Also, please consider supporting the show directly.
[00:38:39.920 --> 00:38:42.980]   So at the moment on the Radical Personal Finance
[00:38:42.980 --> 00:38:46.120]   patron page, we are up to, let me pull it up here.
[00:38:46.120 --> 00:38:54.380]   We are up to a total of $2,435.35 of monthly support
[00:38:54.380 --> 00:39:00.480]   from a total of 232 patrons.
[00:39:00.480 --> 00:39:02.580]   The next milestone goal that we're shooting for
[00:39:02.580 --> 00:39:06.140]   with the patron page is $4,000 per month.
[00:39:06.140 --> 00:39:07.740]   And when we hit $4,000 per month,
[00:39:07.740 --> 00:39:10.340]   I'm gonna release a comprehensive video course
[00:39:10.340 --> 00:39:12.020]   to the patrons of the show.
[00:39:12.020 --> 00:39:13.660]   I've figured out that goal.
[00:39:13.660 --> 00:39:15.100]   I would love to hit that by the end of the year.
[00:39:15.100 --> 00:39:16.460]   If you'd be willing to support that,
[00:39:16.460 --> 00:39:19.820]   please come to radicalpersonalfinance.com/patron
[00:39:19.820 --> 00:39:21.060]   and sign up to support the show.
[00:39:21.060 --> 00:39:23.720]   Radicalpersonalfinance.com/patron.
[00:39:23.720 --> 00:39:27.380]   - Sweet Hop is an online marketplace
[00:39:27.380 --> 00:39:29.220]   curating the best in premium seating
[00:39:29.220 --> 00:39:32.060]   at stadiums, arenas, and amphitheaters nationwide.
[00:39:32.060 --> 00:39:35.700]   With Sweet Hop's 100% ticket guarantee, no hidden fees,
[00:39:35.700 --> 00:39:37.940]   and the personal high-level service you expect
[00:39:37.940 --> 00:39:40.420]   with a premium purchase, you can relax knowing
[00:39:40.420 --> 00:39:43.180]   you'll receive the luxury experience you deserve.
[00:39:43.180 --> 00:39:46.220]   Visit sweethop.com today to book your premium tickets
[00:39:46.220 --> 00:39:47.860]   to your favorite teams, artists,
[00:39:47.860 --> 00:39:51.340]   and all the must-see live events to Sweet Hop Around LA.
[00:39:51.340 --> 00:39:53.900]   S-U-I-T-E-H-O-P.com.
[00:39:53.900 --> 00:39:55.660]   It's more than just a ticket.

