
[00:00:00.000 --> 00:00:07.680]   Okay, thanks, everyone.
[00:44:47.740 --> 00:44:52.320]   to retire in my 40s because I would have been much more filled up by my job.
[00:44:52.320 --> 00:44:57.740]   And again, I think either way is okay, as long as we're thinking about it, but many
[00:44:57.740 --> 00:45:05.680]   young people today are opting for let's design a lifestyle that we enjoy both today and tomorrow.
[00:45:05.680 --> 00:45:09.860]   And I think it's a much softer, better version.
[00:45:09.860 --> 00:45:14.140]   And Christine and I have talked a lot about this idea of the conception of work.
[00:45:14.140 --> 00:45:19.180]   A lot of people think work is a bad thing, so fire was great because you get to escape
[00:45:19.180 --> 00:45:20.180]   work.
[00:45:20.180 --> 00:45:24.000]   But the truth of the matter is, I consider myself retired, but I do all the things that
[00:45:24.000 --> 00:45:26.920]   people would call work 40 hours a week anyway.
[00:45:26.920 --> 00:45:30.640]   I mean, I produce and create a podcast, which is a lot of work.
[00:45:30.640 --> 00:45:34.200]   It's more joyful for me, so I don't dread it, I enjoy it.
[00:45:34.200 --> 00:45:35.200]   I write books.
[00:45:35.200 --> 00:45:37.960]   I do things that even, God forbid, make me money.
[00:45:37.960 --> 00:45:41.280]   I don't do them because they make me money, I do them because they're joyful, because
[00:45:41.280 --> 00:45:43.160]   they feel purposeful to me.
[00:45:43.160 --> 00:45:50.220]   So if you imagine you're going to work your whole life, the question is, what type of
[00:45:50.220 --> 00:45:53.680]   work do you want to do and how important is getting paid for that work?
[00:45:53.680 --> 00:45:58.820]   And you can toggle between those things to design the lifestyle you want today.
[00:45:58.820 --> 00:46:04.200]   And so young people have been very savvy about taking what was a very stringent message about
[00:46:04.200 --> 00:46:10.260]   how to "fire," and they're turning it into something better, and I think it's fantastic.
[00:46:10.260 --> 00:46:16.460]   A related question is, I have friends in my peer group who really love what they're doing.
[00:46:16.460 --> 00:46:17.580]   They love their work.
[00:46:17.580 --> 00:46:22.220]   And it's sort of insulting, we've commented among ourselves, you have people saying, "When
[00:46:22.220 --> 00:46:23.220]   will you retire?"
[00:46:23.220 --> 00:46:26.980]   And you're like, "Well, I could retire, but I really like what I'm doing."
[00:46:26.980 --> 00:46:32.700]   There's sort of a thing in this culture that if you hit a certain age, it's time to go.
[00:46:32.700 --> 00:46:34.140]   Not necessarily.
[00:46:34.140 --> 00:46:37.820]   And that's why I love the term "financial independence," because financial independence
[00:46:37.820 --> 00:46:43.500]   says I am financially where I need to be, but then you get to choose what work looks
[00:46:43.500 --> 00:46:44.500]   like in your life.
[00:46:44.500 --> 00:46:48.580]   And for some people, that will be continuing doing exactly what they're doing now.
[00:46:48.580 --> 00:46:52.000]   And again, in a lot of ways, that's winning the game.
[00:46:52.000 --> 00:46:53.040]   Because you know what?
[00:46:53.040 --> 00:46:59.420]   If you take a job at the age of 22 that you love, and that supports your monthly needs,
[00:46:59.420 --> 00:47:02.840]   assuming you don't become disabled or have a problem, you're pretty much financially
[00:47:02.840 --> 00:47:04.460]   independent at 22.
[00:47:05.340 --> 00:47:10.580]   I mean, you're doing something that's purpose-filled, that makes you feel connected to the world
[00:47:10.580 --> 00:47:14.700]   and helps you build your sense of identity, and it's paying the bills.
[00:47:14.700 --> 00:47:18.940]   There is no reason to ever change until you have to.
[00:47:18.940 --> 00:47:21.300]   Now, does that mean we shouldn't save for retirement?
[00:47:21.300 --> 00:47:25.380]   No, because we know that the way you feel at 22 might not be the way you feel at 40.
[00:47:25.380 --> 00:47:29.420]   At 22, I couldn't even imagine doing anything but being a doctor.
[00:47:29.420 --> 00:47:35.040]   At the age of 50, I only want to be a doctor about 10 hours a week.
[00:47:35.040 --> 00:47:36.320]   But I didn't know that.
[00:47:36.320 --> 00:47:38.500]   So of course we should save for retirement.
[00:47:38.500 --> 00:47:40.360]   Of course we should build our net worth.
[00:47:40.360 --> 00:47:43.180]   Of course we should invest wisely.
[00:47:43.180 --> 00:47:47.140]   But don't be afraid to love your life.
[00:47:47.140 --> 00:47:52.380]   And if that includes the work you're doing, being employed and getting paid for it, that's
[00:47:52.380 --> 00:47:53.380]   fantastic.
[00:47:53.380 --> 00:47:58.140]   >> Well, Jordan, thank you so much for being here.
[00:47:58.140 --> 00:48:01.220]   We so appreciate your insights, love your book.
[00:48:01.220 --> 00:48:03.380]   I hope everyone else enjoys this.
[00:48:03.380 --> 00:48:04.380]   Please join me in thanking Jordan.
[00:48:04.380 --> 00:48:05.380]   >> Thank you so much.
[00:48:05.380 --> 00:48:05.380]   [ Applause ]
[00:48:05.380 --> 00:48:06.380]   >> Thank you so much.
[00:48:06.380 --> 00:48:06.380]   [ Applause ]
[00:48:06.380 --> 00:48:07.380]   >> Thank you.
[00:48:07.380 --> 00:48:07.380]   [ Applause ]
[00:48:07.380 --> 00:48:08.380]   >> Thank you.
[00:48:08.380 --> 00:48:08.380]   [ Applause ]
[00:48:08.380 --> 00:48:09.380]   >> Thank you.
[00:48:09.380 --> 00:48:10.380]   [ Applause ]
[00:48:10.380 --> 00:48:11.380]   >> Thank you.
[00:48:11.380 --> 00:48:11.380]   [ Applause ]
[00:48:11.380 --> 00:48:21.380]   [BLANK_AUDIO]

