
[00:00:00.000 --> 00:00:07.440]   Okay, hi everyone.
[00:57:11.440 --> 00:57:16.760]   And what I want to do is build a model that learns to predict coreferent things.
[00:57:16.760 --> 00:57:22.360]   And I can do that fairly straightforwardly in the kind of ways that we have talked about.
[00:57:22.360 --> 00:57:30.760]   So I train with the regular kind of cross entropy loss, where I'm now summing over every
[00:57:30.760 --> 00:57:38.460]   pairwise binary decision as to whether two mentions are coreferent to each other or not.
[00:57:38.460 --> 00:57:44.700]   And so then when I'm at test time, what I want to do is cluster the mentions that correspond
[00:57:44.700 --> 00:57:46.420]   to the same entity.
[00:57:46.420 --> 00:57:50.760]   And I do that by making use of my pairwise scorer.
[00:57:50.760 --> 00:57:59.000]   So I can run my pairwise scorer, and it will give a probability or a score that any two
[00:57:59.000 --> 00:58:00.980]   mentions are coreferent.
[00:58:00.980 --> 00:58:08.080]   So by picking some threshold, like 0.5, I can add coreference links for when the classifier
[00:58:08.080 --> 00:58:11.320]   says it's above the threshold.
[00:58:11.320 --> 00:58:15.080]   And then I do one more step to give me a clustering.
[00:58:15.080 --> 00:58:21.200]   I then say, okay, let's also make the transitive closure to give me clusters.
[00:58:21.200 --> 00:58:26.720]   So it thought that I and she were coreferent and my and she were coreferent.
[00:58:26.720 --> 00:58:32.440]   Therefore, I also have to regard I and my as coreferent.
[00:58:32.440 --> 00:58:36.300]   And so that's sort of the completion by transitivity.
[00:58:36.300 --> 00:58:43.640]   And so since we always complete by transitivity, note that this algorithm is very sensitive
[00:58:43.640 --> 00:58:47.160]   to making any mistake in a positive sense.
[00:58:47.160 --> 00:58:53.440]   Because if you make one mistake, for example, you say that he and my are coreferent, then
[00:58:53.440 --> 00:59:00.560]   by transitivity, all of the mentions in the sentence become one big cluster and that they're
[00:59:00.560 --> 00:59:03.940]   all coreferent with each other.
[00:59:03.940 --> 00:59:08.200]   So that's a workable algorithm and people have often used it.
[00:59:08.200 --> 00:59:15.320]   But often people go a little bit beyond that and prefer a mention ranking model.
[00:59:15.320 --> 00:59:18.520]   So let me just explain the advantages of that.
[00:59:18.520 --> 00:59:24.120]   That normally, if you have a long document where it's Ralph Nader and he did this and
[00:59:24.120 --> 00:59:28.720]   some of them did something to him and we visited his house and blah, blah, blah, blah.
[00:59:28.720 --> 00:59:33.400]   And then somebody voted for Nader because he.
[00:59:33.400 --> 00:59:43.000]   In terms of building a coreference classifier, it seems like it's easy and reasonable to
[00:59:43.000 --> 00:59:47.860]   be able to recover that this he refers to Nader.
[00:59:47.860 --> 00:59:54.500]   But in terms of building a classifier for it to recognize that this he should be referring
[00:59:54.500 --> 00:59:59.960]   to this Nader, which might be three paragraphs back, seems kind of unreasonable how you're
[00:59:59.960 --> 01:00:01.900]   going to recover that.
[01:00:01.900 --> 01:00:06.400]   So those faraway ones might be almost impossible to get correct.
[01:00:06.400 --> 01:00:13.460]   And so that suggests that maybe we should have a different way of configuring this task.
[01:00:13.460 --> 01:00:21.700]   So instead of doing it that way, what we should say is, well, this he here has various possible
[01:00:21.700 --> 01:00:26.720]   antecedents and our job is to just choose one of them.
[01:00:26.720 --> 01:00:35.900]   And that's almost sufficient apart from we need to add one more choice, which is, well,
[01:00:35.900 --> 01:00:41.540]   some mentions won't be coreferent with anything that proceeds because we're introducing a
[01:00:41.540 --> 01:00:43.680]   new entity into the discourse.
[01:00:43.680 --> 01:00:49.920]   So we can add one more dummy mention, the N/A mention.
[01:00:49.920 --> 01:00:55.220]   So it doesn't refer to anything previously in the discourse.
[01:00:55.220 --> 01:01:01.780]   And then our job at each point is to do mention ranking to choose which one of these she refers
[01:01:01.780 --> 01:01:02.780]   to.
[01:01:02.780 --> 01:01:09.040]   And then at that point, rather than doing binary yes/no classifiers, that what we can
[01:01:09.040 --> 01:01:16.760]   do is say, aha, this is choose one classification and then we can use the kind of softmax classifiers
[01:01:16.760 --> 01:01:20.340]   that we've seen at many points previously.
[01:01:20.340 --> 01:01:22.020]   Okay.
[01:01:22.020 --> 01:01:25.760]   So that gets us in business for building systems.
[01:01:25.760 --> 01:01:31.820]   And for either of these kind of models, there are several ways in which we can build the
[01:01:31.820 --> 01:01:32.820]   system.
[01:01:32.820 --> 01:01:36.500]   We could use any kind of traditional machine learning classifier.
[01:01:36.500 --> 01:01:40.100]   We could use a simple neural network.
[01:01:40.100 --> 01:01:44.340]   We can use more advanced ones with all of the tools that we've been learning about more
[01:01:44.340 --> 01:01:45.340]   recently.
[01:01:45.340 --> 01:01:51.540]   So let me just quickly show you a simple neural network way of doing it.
[01:01:51.540 --> 01:01:58.580]   So this is a model that my PhD student, Kevin Clark, did in 2015.
[01:01:58.580 --> 01:02:00.820]   So not that long ago.
[01:02:00.820 --> 01:02:07.120]   But what he was doing was doing coreference resolution based on the mentions with a simple
[01:02:07.120 --> 01:02:11.980]   feedforward neural network, kind of in some sense like we did dependency parsing with
[01:02:11.980 --> 01:02:14.220]   a simple feedforward neural network.
[01:02:14.220 --> 01:02:22.580]   So for the mention, it had word embeddings, antecedent had word embeddings.
[01:02:22.580 --> 01:02:27.660]   There were some additional features of each of the mention and candidate antecedent.
[01:02:27.660 --> 01:02:31.660]   And then there were some final additional features that captured things like distance
[01:02:31.660 --> 01:02:36.560]   away, which you can't see from either the mention or the candidate.
[01:02:36.560 --> 01:02:43.180]   And all of those features were just fed into several feedforward layers of a neural network.
[01:02:43.180 --> 01:02:48.940]   And it gave you a score of are these things coreferent or not.
[01:02:48.940 --> 01:02:55.420]   And that by itself just worked pretty well.
[01:02:55.420 --> 01:02:58.540]   And I won't say more details about that.
[01:02:58.540 --> 01:03:06.340]   But what I do want to show is sort of a more advanced and modern neural coreference system.
[01:03:06.340 --> 01:03:12.900]   But before I do that, I want to take a digression and sort of say a few words about convolutional
[01:03:12.900 --> 01:03:16.380]   neural networks.
[01:03:16.380 --> 01:03:25.900]   So the idea of when you apply a convolutional neural network to language, i.e. to sequences,
[01:03:25.900 --> 01:03:32.700]   is that what you're going to do is you're going to compute vectors, features effectively,
[01:03:32.700 --> 01:03:36.960]   for every possible word subsequence of a certain length.
[01:03:36.960 --> 01:03:42.260]   So that if you have a piece of text like tentative deal reached to keep government open, you
[01:03:42.260 --> 01:03:48.300]   might say I'm going to take every three words of that, i.e. tentative deal reached, deal
[01:03:48.300 --> 01:03:55.860]   reached to, reach to keep, and I'm going to compute a vector based on that subsequence
[01:03:55.860 --> 01:04:04.620]   of words and use those computed vectors in my model by somehow grouping them together.
[01:04:04.620 --> 01:04:11.420]   So the canonical case of convolutional neural networks is in vision.
[01:04:11.420 --> 01:04:19.800]   And so if after this next quarter you go along to CS231N, you'll be able to spend weeks doing
[01:04:19.800 --> 01:04:22.500]   convolutional neural networks for vision.
[01:04:22.500 --> 01:04:30.580]   And so the idea there is that you've got these convolutional filters that you sort of slide
[01:04:30.580 --> 01:04:36.120]   over an image and you compute a function of each place.
[01:04:36.120 --> 01:04:41.000]   So the sort of little red numbers are showing you what you're computing, but then you'll
[01:04:41.000 --> 01:04:46.480]   slide it over to the next position and fill in this cell, and then you'll slide it over
[01:04:46.480 --> 01:04:52.440]   the next position and fill in this cell, and then you'll slide it down and fill in this
[01:04:52.440 --> 01:04:53.480]   cell.
[01:04:53.480 --> 01:04:58.800]   And so you've got this sort of little function of a patch, which you're sliding over your
[01:04:58.800 --> 01:05:06.000]   image and computing a convolution, which is just a dot product effectively, that you're
[01:05:06.000 --> 01:05:10.280]   then using to get an extra layer of representation.
[01:05:10.280 --> 01:05:16.000]   And so by sliding things over, you can pick out features and you've got a sort of a feature
[01:05:16.000 --> 01:05:21.080]   identifier that runs across every piece of the image.
[01:05:21.080 --> 01:05:28.360]   Well, for language, we've just got a sequence, but you can do basically the same thing.
[01:05:28.360 --> 01:05:32.640]   And what you then have is a 1D convolution for text.
[01:05:32.640 --> 01:05:38.120]   So if here's my sentence, tentative deal, reach to keep the government open, that what
[01:05:38.120 --> 01:05:48.320]   I can do is have, so these words have a word representation, which, so this is my vector
[01:05:48.320 --> 01:05:49.920]   for each word.
[01:05:49.920 --> 01:05:57.800]   And then I can have a filter, sometimes called a kernel, which I use for my convolution.
[01:05:57.800 --> 01:06:01.560]   And what I'm going to do is slide that down the text.
[01:06:01.560 --> 01:06:08.360]   So I can start with it, with the first three words, and then I sort of treat them as sort
[01:06:08.360 --> 01:06:13.920]   of elements I can dot product and sum, and then I can compute a value as to what they
[01:06:13.920 --> 01:06:18.100]   all add up to, which is minus one, it turns out.
[01:06:18.100 --> 01:06:24.240]   And so then I might have a bias that I add on and get an updated value if my bias is
[01:06:24.240 --> 01:06:28.080]   plus one.
[01:06:28.080 --> 01:06:33.400]   And then I'd run it through a nonlinearity, and that will give me a final value.
[01:06:33.400 --> 01:06:41.120]   And then I'll slide my filter down, and I'd work out a computation for this window of
[01:06:41.120 --> 01:06:49.120]   three words, and take 0.5 times 3 plus 0.2 times 1, et cetera, and that comes out as
[01:06:49.120 --> 01:06:50.120]   this value.
[01:06:50.120 --> 01:06:52.360]   I add the bias.
[01:06:52.360 --> 01:06:58.880]   I put it I'm going to put it through my nonlinearity, and then I keep on sliding down, and I'll
[01:06:58.880 --> 01:07:02.880]   do the next three words, and keep on going down.
[01:07:02.880 --> 01:07:10.680]   And so that gives me a 1D convolution and computes a representation of the text.
[01:07:10.680 --> 01:07:17.120]   You might have noticed in the previous example that I started here with seven words, but
[01:07:17.120 --> 01:07:23.240]   because I wanted to have a window of three for my convolution, the end result is that
[01:07:23.240 --> 01:07:24.680]   things shrunk.
[01:07:24.680 --> 01:07:27.680]   So in the output, I only had five things.
[01:07:27.680 --> 01:07:30.120]   That's not necessarily desirable.
[01:07:30.120 --> 01:07:33.960]   So commonly people will deal with that with padding.
[01:07:33.960 --> 01:07:40.560]   So if I put padding on both sides, I can then start my three by three convolution, my three
[01:07:40.560 --> 01:07:47.640]   sorry, not three by three, my three convolution here, and compute this one, and then slide
[01:07:47.640 --> 01:07:50.960]   it down one, and compute this one.
[01:07:50.960 --> 01:07:57.760]   And so now my output is the same size as my real input, and so that's a convolution with
[01:07:57.760 --> 01:08:00.200]   padding.
[01:08:00.200 --> 01:08:08.080]   Okay, so that was the start of things, but you know, how you get more power of the convolutional
[01:08:08.080 --> 01:08:13.720]   network is you don't only have one filter, you have several filters.
[01:08:13.720 --> 01:08:18.560]   So if I have three filters, each of which will have their own bias and nonlinearity,
[01:08:18.560 --> 01:08:25.680]   I can then get a three dimensional representation coming out the end, and sort of you can think
[01:08:25.680 --> 01:08:32.080]   of these as conceptually computing different features of your text.
[01:08:32.080 --> 01:08:40.840]   Okay, so that gives us a kind of a new feature re-representation of our text.
[01:08:40.840 --> 01:08:47.920]   But commonly, we then want to somehow summarize what we have.
[01:08:47.920 --> 01:08:53.960]   And a very common way of summarizing what we have is to then do pooling.
[01:08:53.960 --> 01:09:00.600]   So if we sort of think of these features as detecting different things in the text, so
[01:09:00.600 --> 01:09:08.360]   you know, they might even be high level features like, you know, does this show signs of toxicity
[01:09:08.360 --> 01:09:10.280]   or hate speech?
[01:09:10.280 --> 01:09:13.200]   Is there reference to something?
[01:09:13.200 --> 01:09:17.480]   So if you want to be interested in does it occur anywhere in the text, what people often
[01:09:17.480 --> 01:09:24.560]   then do is a max pooling operation, where for each feature, they simply sort of compute
[01:09:24.560 --> 01:09:30.440]   the maximum value it ever achieved in any position as you went through the text.
[01:09:30.440 --> 01:09:35.720]   And say that this vector ends up as the sentence representation.
[01:09:35.720 --> 01:09:40.320]   Sometimes for other purposes, rather than max pooling, people use average pooling, where
[01:09:40.320 --> 01:09:46.160]   you take the averages of the different vectors to get the sentence representation.
[01:09:46.160 --> 01:09:50.000]   Then general max pooling has been found to be more successful.
[01:09:50.000 --> 01:09:54.560]   And that's kind of because if you think of it as feature detectors that are wanting to
[01:09:54.560 --> 01:10:00.960]   detect was this present somewhere, then, you know, something like positive sentiment isn't
[01:10:00.960 --> 01:10:06.720]   going to be present in every three word subsequence you choose.
[01:10:06.720 --> 01:10:09.400]   But if it was there somewhere, it's there.
[01:10:09.400 --> 01:10:13.800]   And so often max pooling works better.
[01:10:13.800 --> 01:10:19.760]   And so that's a very quick look at convolutional neural networks.
[01:10:19.760 --> 01:10:25.280]   Just to say this example is doing 1D convolutions with words.
[01:10:25.280 --> 01:10:30.320]   But a very common place that convolutional neural networks are being used in natural
[01:10:30.320 --> 01:10:34.160]   language is actually using them with characters.
[01:10:34.160 --> 01:10:41.760]   And so what you can do is you can do convolutions over subsequences of the characters in the
[01:10:41.760 --> 01:10:43.280]   same way.
[01:10:43.280 --> 01:10:50.160]   And if you do that, this allows you to compute a representation for any sequence of characters.
[01:10:50.160 --> 01:10:55.640]   So you don't have any problems with being out of vocabulary or anything like that.
[01:10:55.640 --> 01:11:00.720]   Because for any sequence of characters, you just compute your convolutional representation
[01:11:00.720 --> 01:11:02.440]   and max pool it.
[01:11:02.440 --> 01:11:10.720]   And so quite commonly, people use a character convolution to give a representation of words.
[01:11:10.720 --> 01:11:14.000]   This is the only representation of words.
[01:11:14.000 --> 01:11:20.080]   But otherwise, it's something that you use in addition to a word vector.
[01:11:20.080 --> 01:11:25.040]   And so in both BIDAP and the model I'm about to show, that at the base level, it makes
[01:11:25.040 --> 01:11:30.520]   use of both a word vector representation that we saw right at the beginning of the text
[01:11:30.520 --> 01:11:36.880]   and a character level convolutional representation of the words.
[01:11:36.880 --> 01:11:38.680]   Okay.
[01:11:38.680 --> 01:11:44.160]   With that said, I now want to show you before time runs out, an end to end neural coref
[01:11:44.160 --> 01:11:45.160]   model.
[01:11:45.160 --> 01:11:53.400]   So the model I'm going to show you is Kenton Lee's one from University of Washington, 2017.
[01:11:53.400 --> 01:11:55.080]   This is no longer the state of the art.
[01:11:55.080 --> 01:11:57.980]   I'll mention the state of the art at the end.
[01:11:57.980 --> 01:12:04.340]   But this was the first model that really said, get rid of all of that old stuff of having
[01:12:04.340 --> 01:12:07.200]   pipelines and mentioned detection first.
[01:12:07.200 --> 01:12:11.840]   Build one end to end big model that does everything and returns coreference.
[01:12:11.840 --> 01:12:14.440]   So it's a good one to show.
[01:12:14.440 --> 01:12:20.320]   So compared to the earlier simple thing I saw, we're now going to process the text with
[01:12:20.320 --> 01:12:21.320]   BIOSTMs.
[01:12:21.320 --> 01:12:24.360]   We're going to make use of attention.
[01:12:24.360 --> 01:12:29.920]   And we're going to do all of mentioned detection coreference in one step end to end.
[01:12:29.920 --> 01:12:37.240]   And the way it does that is by considering every span of the text up to a certain length
[01:12:37.240 --> 01:12:42.280]   as a candidate mentioned and just figures out a representation for it and whether it's
[01:12:42.280 --> 01:12:44.720]   coreferent to other things.
[01:12:44.720 --> 01:12:50.920]   So what we do at the start is we start with a sequence of words and we calculate from
[01:12:50.920 --> 01:12:57.380]   those standard word embedding and a character level CNN embedding.
[01:12:57.380 --> 01:13:05.880]   We then feed those as inputs into a bidirectional LSTM of the kind that we saw quite a lot of
[01:13:05.880 --> 01:13:07.800]   before.
[01:13:07.800 --> 01:13:14.840]   But then after this, what we do is we compute representations for spans.
[01:13:14.840 --> 01:13:21.760]   So when we have a sequence of words, we're then going to work out a representation of
[01:13:21.760 --> 01:13:27.980]   a sequence of words which we can then put into our coreference model.
[01:13:27.980 --> 01:13:35.520]   So I can't fully illustrate in this picture, but sub sequences of different lengths, so
[01:13:35.520 --> 01:13:41.360]   like general, general electric, general electric said, will all have a span representation
[01:13:41.360 --> 01:13:45.980]   which I've only shown a subset of them in green.
[01:13:45.980 --> 01:13:47.560]   So how are those computed?
[01:13:47.560 --> 01:13:55.060]   Well, the way they're computed is that the span representation is a vector that concatenates
[01:13:55.060 --> 01:13:59.020]   several vectors and it consists of four parts.
[01:13:59.020 --> 01:14:08.220]   It consists of the representation that was computed for the start of the span from the
[01:14:08.220 --> 01:14:16.000]   LSTM, the representation for the end from the LSTM, that's over here.
[01:14:16.000 --> 01:14:19.320]   And then it has a third part that's kind of interesting.
[01:14:19.320 --> 01:14:26.020]   This is an intention-based representation that is calculated from the whole span, but
[01:14:26.020 --> 01:14:29.100]   particularly sort of looks for the head of a span.
[01:14:29.100 --> 01:14:32.480]   And then there are still a few additional features.
[01:14:32.480 --> 01:14:37.760]   So it turns out that, you know, some of these additional things like length and so on is
[01:14:37.760 --> 01:14:40.980]   still a bit useful.
[01:14:40.980 --> 01:14:49.400]   So to work out the final part, it's not the beginning and the end, what's done is to calculate
[01:14:49.400 --> 01:14:52.600]   an attention-weighted average of the word embeddings.
[01:14:52.600 --> 01:14:59.480]   So what you're doing is you're taking the X star representation of the final word of
[01:14:59.480 --> 01:15:06.980]   the span, and you're feeding that into a neural network to get attention scores for every
[01:15:06.980 --> 01:15:14.020]   word in the span, which are these three, and that's giving you an attention distribution
[01:15:14.020 --> 01:15:16.300]   as we've seen previously.
[01:15:16.300 --> 01:15:27.120]   And then you're calculating the third component of this as an attention-weighted sum of the
[01:15:27.120 --> 01:15:29.440]   different words in the span.
[01:15:29.440 --> 01:15:34.200]   And so therefore you've got the sort of a soft average of the representations of the
[01:15:34.200 --> 01:15:37.600]   words of the span.
[01:15:37.600 --> 01:15:39.480]   Okay.
[01:15:39.480 --> 01:15:48.600]   So then once you've got that, what you're doing is then feeding these representations
[01:15:48.600 --> 01:15:55.560]   into having scores for whether spans are coreferent mentions.
[01:15:55.560 --> 01:16:05.880]   So you have a representation of the two spans, you have a score that's calculated for whether
[01:16:05.880 --> 01:16:11.920]   two different spans look coreferent, and that overall you're getting a score for are different
[01:16:11.920 --> 01:16:17.520]   spans looking coreferent or not.
[01:16:17.520 --> 01:16:22.320]   And so this model is just run end to end on all spans.
[01:16:22.320 --> 01:16:27.080]   And that sort of would get intractable if you scored literally every span in a long
[01:16:27.080 --> 01:16:28.500]   piece of text.
[01:16:28.500 --> 01:16:30.160]   So they do some pruning.
[01:16:30.160 --> 01:16:34.240]   They sort of only allow spans up to a certain maximum size.
[01:16:34.240 --> 01:16:41.360]   They only consider pairs of spans that aren't too distant from each other, et cetera, et
[01:16:41.360 --> 01:16:42.360]   cetera.
[01:16:42.360 --> 01:16:48.160]   But basically it's sort of an approximation to just a complete comparison of spans.
[01:16:48.160 --> 01:16:52.880]   And this turns into a very effective coreference resolution algorithm.
[01:16:52.880 --> 01:16:59.440]   Today it's not the best coreference resolution algorithm because maybe not surprisingly,
[01:16:59.440 --> 01:17:05.000]   like everything else that we've been dealing with, there's now been these transformer models
[01:17:05.000 --> 01:17:09.720]   like BERT have come along and that they produce even better results.
[01:17:09.720 --> 01:17:15.640]   So the best coreference systems now make use of BERT.
[01:17:15.640 --> 01:17:21.520]   In particular, when Danci spoke, she briefly mentioned spanBERT, which was a variant of
[01:17:21.520 --> 01:17:28.840]   BERT which constructs blanks out for reconstruction, sub sequences of words rather than just a
[01:17:28.840 --> 01:17:30.480]   single word.
[01:17:30.480 --> 01:17:36.440]   And spanBERT has actually proven to be very effective for doing coreference, perhaps because
[01:17:36.440 --> 01:17:40.800]   you can blank out whole mentions.
[01:17:40.800 --> 01:17:46.280]   We've also gotten gains actually funnily by treating coreference as a question answering
[01:17:46.280 --> 01:17:47.400]   task.
[01:17:47.400 --> 01:17:57.880]   So effectively you can find a mention like he or the person and say what is its antecedent
[01:17:57.880 --> 01:18:00.800]   and get a question answering answer.
[01:18:00.800 --> 01:18:05.280]   And that's a good way to do coreference.
[01:18:05.280 --> 01:18:11.880]   So if we put that together as time is running out, let me just sort of give you some sense
[01:18:11.880 --> 01:18:17.200]   of how results come out for coreference systems.
[01:18:17.200 --> 01:18:22.200]   So I'm skipping a bit actually that you can find in the slides, which is how coreference
[01:18:22.200 --> 01:18:24.320]   is scored.
[01:18:24.320 --> 01:18:27.080]   But essentially it's scored on a clustering metric.
[01:18:27.080 --> 01:18:34.000]   So a perfect clustering would give you 100 and something that makes no correct decisions
[01:18:34.000 --> 01:18:35.760]   would give you zero.
[01:18:35.760 --> 01:18:42.800]   And so this is sort of how the coreference numbers have been panning out.
[01:18:42.800 --> 01:18:48.160]   So back in 2010, actually, this was a Stanford system.
[01:18:48.160 --> 01:18:51.040]   This was a state of the art system for coreference.
[01:18:51.040 --> 01:18:52.040]   It won a competition.
[01:18:52.040 --> 01:18:57.760]   It was actually a non-machine learning model, because again, we wanted to sort of prove
[01:18:57.760 --> 01:19:02.280]   how these rule-based methods in practice work kind of well.
[01:19:02.280 --> 01:19:08.720]   And so its accuracy was around 55 for English, 50 for Chinese.
[01:19:08.720 --> 01:19:14.120]   Then gradually machine learning, this was sort of statistical machine learning models
[01:19:14.120 --> 01:19:16.480]   got a bit better.
[01:19:16.480 --> 01:19:22.640]   Wiseman was the very first neural coreference system, and that gave some gains.
[01:19:22.640 --> 01:19:28.600]   Here's a system that Kevin Clark and I did, which gave a little bit further gains.
[01:19:28.600 --> 01:19:35.840]   So Lee is the model that I've just shown you as the end-to-end model, and it got a bit
[01:19:35.840 --> 01:19:37.560]   of further gains.
[01:19:37.560 --> 01:19:44.360]   But then again, what gave the huge breakthrough, just like question answering, was that the
[01:19:44.360 --> 01:19:46.920]   use of SpanBert.
[01:19:46.920 --> 01:19:51.280]   So once we moved to here, we're now using SpanBert, but that's giving you about an extra
[01:19:51.280 --> 01:19:53.600]   10% or so.
[01:19:53.600 --> 01:19:58.000]   The CorefQA technique proved to be useful.
[01:19:58.000 --> 01:20:05.920]   And in the very latest best results are effectively combining together SpanBert and a larger version
[01:20:05.920 --> 01:20:11.640]   of SpanBert and CorefQA and getting up to 83.
[01:20:11.640 --> 01:20:19.040]   So you might think from that, that Coref is sort of doing really well and is getting close
[01:20:19.040 --> 01:20:22.680]   to solve like other NLP tasks.
[01:20:22.680 --> 01:20:27.240]   Well it's certainly true that in neural times, the results have been getting way, way better
[01:20:27.240 --> 01:20:28.560]   than they had been before.
[01:20:28.560 --> 01:20:34.640]   But I would caution you that these results that I just showed were on a corpus called
[01:20:34.640 --> 01:20:37.520]   Onto Notes, which is mainly Newswire.
[01:20:37.520 --> 01:20:41.880]   And it turns out that Newswire coreference is pretty easy.
[01:20:41.880 --> 01:20:46.200]   I mean, in particular, there's a lot of mention of the same entities, right?
[01:20:46.200 --> 01:20:52.820]   So the newspaper articles are full of mentions of the United States and China and leaders
[01:20:52.820 --> 01:20:54.880]   of the different countries.
[01:20:54.880 --> 01:20:58.780]   And it's sort of very easy to work out what they're coreferent to.
[01:20:58.780 --> 01:21:03.920]   And so the coreference scores are fairly high.
[01:21:03.920 --> 01:21:10.840]   Whereas if what you do is take something like a page of dialogue from a novel and feed that
[01:21:10.840 --> 01:21:17.840]   into a system and say, okay, do the coreference correctly, you'll find pretty rapidly that
[01:21:17.840 --> 01:21:21.800]   the performance of the models is much more modest.
[01:21:21.800 --> 01:21:27.760]   If you'd like to try out a coreference system for yourself, there are pointers to a couple
[01:21:27.760 --> 01:21:36.240]   of them here where the top one's ours from the certain Kevin Clark's neural coreference.
[01:21:36.240 --> 01:21:40.160]   And this is one that goes with the Hugging Face repository that we've mentioned.
[01:21:40.160 --> 01:21:47.160]   [end]

