
[00:00:00.000 --> 00:00:01.280]   - Okay, we're recording.
[00:50:50.080 --> 00:50:54.420]   Yeah, so we could just run that
[00:50:54.420 --> 00:50:59.100]   and take the average of these two models.
[00:50:59.100 --> 00:51:00.680]   I'll remove squish here.
[00:51:00.680 --> 00:51:05.660]   Okay, so that might be our third model.
[00:51:05.660 --> 00:51:08.240]   And then another model I would be inclined to try
[00:51:08.240 --> 00:51:10.180]   is one that doesn't use square.
[00:51:13.300 --> 00:51:18.300]   So we've got 640 by 480 images, right?
[00:51:18.300 --> 00:51:23.900]   So the aspect ratio is four to three.
[00:51:23.900 --> 00:51:31.220]   So I would be inclined to say, take that
[00:51:31.220 --> 00:51:35.300]   and multiply that by the smaller side we want.
[00:51:35.300 --> 00:51:40.060]   Okay, that gives us 298.66.
[00:51:40.060 --> 00:51:45.060]   Nice to find something that works a bit more evenly,
[00:51:45.060 --> 00:51:48.140]   wouldn't it?
[00:51:48.140 --> 00:51:51.820]   What if we did it the other way around?
[00:51:51.820 --> 00:52:00.300]   So we could create 168 by 224 images, for instance,
[00:52:00.300 --> 00:52:06.500]   or 168 by 224 images, for instance.
[00:52:06.500 --> 00:52:11.500]   336 maybe, 336 by 252 images.
[00:52:11.500 --> 00:52:17.660]   Yeah, let's do that.
[00:52:17.660 --> 00:52:21.860]   So let's change their size.
[00:52:21.860 --> 00:52:33.700]   And I never quite remember which way round it is,
[00:52:33.700 --> 00:52:35.380]   but that's okay, we'll check it.
[00:52:35.380 --> 00:52:40.380]   So 336 by 252 images.
[00:52:40.380 --> 00:52:47.700]   And so the reason I'm doing rectangular,
[00:52:47.700 --> 00:52:50.100]   sorry, rectangular images is that,
[00:52:50.100 --> 00:52:53.340]   yeah, all of our input images are the same aspect ratio.
[00:52:53.340 --> 00:52:56.500]   So there's no particular reason to make them square.
[00:52:56.500 --> 00:52:59.660]   When some of your images are wider than tall
[00:52:59.660 --> 00:53:01.600]   and some are taller than wide,
[00:53:01.600 --> 00:53:05.940]   then it makes perfect sense to use square
[00:53:05.940 --> 00:53:09.900]   as the thing that everything gets changed to.
[00:53:09.900 --> 00:53:12.500]   But when everything's wider than they are tall,
[00:53:12.500 --> 00:53:14.740]   especially when they're all the same aspect ratio,
[00:53:14.740 --> 00:53:16.740]   it makes more sense to keep them
[00:53:16.740 --> 00:53:18.220]   at that same aspect ratio.
[00:53:18.220 --> 00:53:22.160]   And another thing I guess we should consider doing
[00:53:22.160 --> 00:53:26.240]   for 640 by 380 is to,
[00:53:26.240 --> 00:53:31.540]   you can change their resolution more gracefully
[00:53:31.540 --> 00:53:33.900]   without weird interpolating fuzziness
[00:53:33.900 --> 00:53:38.340]   by doing it by a factor of two.
[00:53:38.340 --> 00:53:43.340]   So we could do 320 instead of 640 and by 240.
[00:53:43.340 --> 00:53:48.300]   So that would be another one I'd be inclined to try.
[00:53:48.300 --> 00:53:50.040]   Yeah, in fact, let's just do that.
[00:53:50.040 --> 00:53:51.740]   Let's make that the aspect ratio.
[00:53:51.740 --> 00:53:58.420]   There we go.
[00:53:59.860 --> 00:54:02.360]   And so obviously we should check it
[00:54:02.360 --> 00:54:06.680]   and we know how to check it, which is to go show batch.
[00:54:06.680 --> 00:54:13.620]   Okay, so you can see I've got it the wrong way around.
[00:54:13.620 --> 00:54:23.180]   There we go, that's better.
[00:54:23.180 --> 00:54:24.000]   Cool.
[00:54:24.000 --> 00:54:41.060]   Oops.
[00:54:41.060 --> 00:54:44.700]   And like given that we're gonna have such nice clear images,
[00:54:44.700 --> 00:54:48.140]   I would probably do the affine transforms
[00:54:48.140 --> 00:54:52.540]   or the ones where we're zooming and rotating and stuff.
[00:54:52.540 --> 00:54:54.900]   So to say don't do those so often,
[00:54:54.900 --> 00:54:57.500]   we can change the probability of affine transforms
[00:54:57.500 --> 00:54:59.340]   from 0.75 to 0.5.
[00:54:59.340 --> 00:55:04.780]   Probability of affine transforms to 0.5.
[00:55:04.780 --> 00:55:11.820]   So in theory, I feel like this one feels the most correct
[00:55:11.820 --> 00:55:17.940]   given that the data that we have is a fixed input size
[00:55:17.940 --> 00:55:20.100]   of that type.
[00:55:20.100 --> 00:55:23.620]   So I would be inclined to,
[00:55:23.620 --> 00:55:29.260]   well, we'll take a look afterwards, but.
[00:55:29.260 --> 00:55:42.300]   Oh, what did I just do?
[00:55:42.300 --> 00:55:49.520]   Copy.
[00:55:49.520 --> 00:55:54.520]   We'll save a different set.
[00:55:54.520 --> 00:55:58.800]   And so we can easily then check the accuracy
[00:55:58.800 --> 00:56:00.000]   of each of them.
[00:56:00.000 --> 00:56:04.120]   And this one's gonna be rectangular, rectangular.
[00:56:04.120 --> 00:56:07.680]   There we go.
[00:56:07.680 --> 00:56:14.040]   Now that we're saving a few,
[00:56:14.040 --> 00:56:18.640]   I guess I'm a little worried that paper space
[00:56:18.640 --> 00:56:22.520]   might disappear.
[00:56:22.520 --> 00:56:25.200]   And so I'm actually inclined to save these
[00:56:25.200 --> 00:56:29.480]   into my notebooks directory just to be a bit paranoid.
[00:56:29.480 --> 00:56:41.160]   Copy, paste.
[00:56:41.160 --> 00:56:43.360]   And so let's move,
[00:56:46.880 --> 00:56:50.520]   let's move this one into slash notebooks.
[00:56:50.520 --> 00:56:54.320]   Oh, that's right, I'm not using paper space,
[00:56:54.320 --> 00:56:55.800]   so I don't have to.
[00:56:55.800 --> 00:56:57.840]   I forgot, nevermind.
[00:56:57.840 --> 00:57:00.480]   I'm on my own machine.
[00:57:00.480 --> 00:57:03.880]   I like the fact that I've got paper space so well set up
[00:57:03.880 --> 00:57:07.740]   now that I don't even remember I'm using paper space.
[00:57:07.740 --> 00:57:09.560]   Okay.
[00:57:09.560 --> 00:57:14.960]   Great.
[00:57:14.960 --> 00:57:16.080]   I think that's that.
[00:57:16.080 --> 00:57:18.160]   All right, I'm gonna not have you guys watch that run
[00:57:18.160 --> 00:57:20.280]   for 20 minutes, so I'm gonna go.
[00:57:20.280 --> 00:57:24.840]   Any questions or comments before we wrap up?
[00:57:24.840 --> 00:57:31.040]   - So I see that you're like focusing a lot
[00:57:31.040 --> 00:57:34.360]   on like the data transformations and augmentations.
[00:57:34.360 --> 00:57:37.360]   When would you focus on that versus, you know,
[00:57:37.360 --> 00:57:38.640]   playing around with different models
[00:57:38.640 --> 00:57:40.080]   and things like that instead?
[00:57:40.080 --> 00:57:45.080]   - Given that this is a image classification task
[00:57:45.080 --> 00:57:54.760]   for natural length, for natural photos,
[00:57:54.760 --> 00:57:59.040]   it will almost certainly have exactly the same
[00:57:59.040 --> 00:58:04.040]   characteristics as ImageNet in terms of accuracy,
[00:58:04.040 --> 00:58:07.000]   or at least any fine-tuning on ImageNet.
[00:58:08.360 --> 00:58:12.840]   So I'm working on the assumption,
[00:58:12.840 --> 00:58:14.520]   which we can test later,
[00:58:14.520 --> 00:58:15.660]   but I'm pretty sure it's gonna be true,
[00:58:15.660 --> 00:58:19.080]   that the things that are in that notebook
[00:58:19.080 --> 00:58:22.800]   showing which TIM models are better than others
[00:58:22.800 --> 00:58:25.040]   will apply to this dataset.
[00:58:25.040 --> 00:58:30.040]   So I would, once everything else is working really well,
[00:58:30.040 --> 00:58:35.040]   you know, I would then try it on a couple of models
[00:58:35.040 --> 00:58:36.760]   or at least run it on a bigger one,
[00:58:36.760 --> 00:58:39.280]   like base or large or whatever I can get away with.
[00:58:39.280 --> 00:58:44.960]   If it was like a segmentation problem
[00:58:44.960 --> 00:58:46.560]   or an object detection problem
[00:58:46.560 --> 00:58:48.520]   or a medical imaging dataset,
[00:58:48.520 --> 00:58:50.640]   which has the kind of pictures that aren't in ImageNet,
[00:58:50.640 --> 00:58:51.800]   you know, for all of these things,
[00:58:51.800 --> 00:58:56.480]   I would try more different architectures.
[00:58:56.480 --> 00:58:58.000]   But then for those cases,
[00:58:58.000 --> 00:59:01.560]   I would, let's say it was a segmentation problem,
[00:59:01.560 --> 00:59:04.000]   which is about recognizing what each pixel is,
[00:59:04.000 --> 00:59:07.160]   it always is a pixel of.
[00:59:07.160 --> 00:59:10.880]   Even there, I would not try to replicate
[00:59:10.880 --> 00:59:11.920]   the research of others.
[00:59:11.920 --> 00:59:14.120]   Instead, I would go and look at something like
[00:59:14.120 --> 00:59:16.520]   paperswithcode.com to find out
[00:59:16.520 --> 00:59:21.080]   which techniques have the best results on segmentation.
[00:59:21.080 --> 00:59:22.680]   And better still, I would go and find
[00:59:22.680 --> 00:59:25.040]   two or three previous Kaggle competitions
[00:59:25.040 --> 00:59:27.080]   that have a similar problem type
[00:59:27.080 --> 00:59:30.000]   and see who won and see what they did.
[00:59:30.000 --> 00:59:32.680]   Now, when you look at who won,
[00:59:32.680 --> 00:59:36.800]   they always say, oh, we made an ensemble, which is fine.
[00:59:36.800 --> 00:59:38.960]   But the important thing isn't that they did an ensemble,
[00:59:38.960 --> 00:59:40.920]   it'll be, they'll always say pretty much,
[00:59:40.920 --> 00:59:43.520]   the best model in our ensemble was X.
[00:59:43.520 --> 00:59:45.040]   And so I would just use X.
[00:59:45.040 --> 00:59:47.400]   And I would use this kind of like smallest version of X
[00:59:47.400 --> 00:59:48.560]   I can get away with.
[00:59:48.560 --> 00:59:54.840]   And yeah, generally fiddling with architectures
[00:59:54.840 --> 00:59:57.200]   tends not to be very useful nowadays
[00:59:57.200 --> 00:59:59.400]   for any kind of problem that like
[01:00:00.360 --> 01:00:03.080]   people have fairly regularly studied,
[01:00:03.080 --> 01:00:06.640]   which almost any computer vision problem is of that type.
[01:00:06.640 --> 01:00:11.720]   I guess the only interesting question for this one would be
[01:00:11.720 --> 01:00:13.600]   there is something saying what kind of rice
[01:00:13.600 --> 01:00:17.760]   is in this patty, which is like a category,
[01:00:17.760 --> 01:00:22.720]   but I'm fairly sure that using that information
[01:00:22.720 --> 01:00:24.720]   is not gonna be helpful in this case,
[01:00:24.720 --> 01:00:26.240]   because the model can perfectly well see
[01:00:26.240 --> 01:00:27.400]   what kind of rice it is.
[01:00:27.400 --> 01:00:30.000]   So I had very much doubt we have to tell it
[01:00:30.000 --> 01:00:31.240]   'cause it's got pictures.
[01:00:31.240 --> 01:00:35.840]   - Jeremy, it's gonna take me a while
[01:00:35.840 --> 01:00:38.320]   to work our way through all of the videos.
[01:00:38.320 --> 01:00:39.160]   - Yeah.
[01:00:39.160 --> 01:00:41.880]   - Are they gonna be actually available?
[01:00:41.880 --> 01:00:42.840]   - Yes.
[01:00:42.840 --> 01:00:44.400]   - Cool, thank you.
[01:00:44.400 --> 01:00:49.400]   - And don't feel like you can only join
[01:00:49.400 --> 01:00:51.440]   if you've watched all the previous videos
[01:00:51.440 --> 01:00:53.720]   and don't feel like you can only ask a question
[01:00:53.720 --> 01:00:55.360]   if you've watched all the previous videos,
[01:00:55.360 --> 01:00:59.640]   like it's totally fine to ask a question about a video
[01:00:59.640 --> 01:01:03.360]   we did a week ago or about something
[01:01:03.360 --> 01:01:05.280]   that we just covered yesterday or whatever.
[01:01:05.280 --> 01:01:07.000]   If the answer to your question is,
[01:01:07.000 --> 01:01:09.720]   oh, we covered this in this video, here's where you go,
[01:01:09.720 --> 01:01:11.560]   I will tell you that, and that's totally fine.
[01:01:11.560 --> 01:01:15.080]   But, and if it's like, okay, you said this thing
[01:01:15.080 --> 01:01:17.480]   in this other video, but I don't get it, say it again,
[01:01:17.480 --> 01:01:18.840]   that's totally fine too.
[01:01:18.840 --> 01:01:23.140]   Like we're moving at quite a fast pace
[01:01:23.140 --> 01:01:25.860]   because people can go back and rewatch the videos
[01:01:25.860 --> 01:01:27.600]   and because people can come back later
[01:01:27.600 --> 01:01:30.220]   and ask questions about things that aren't clear.
[01:01:30.220 --> 01:01:34.160]   So yeah, it definitely does rely on people turning up
[01:01:34.160 --> 01:01:38.280]   and saying, I'm not clear on this or whatever.
[01:01:38.280 --> 01:01:40.880]   - Yeah, well, I sort of started from ground zero
[01:01:40.880 --> 01:01:42.320]   in this whole environment,
[01:01:42.320 --> 01:01:45.400]   but it is starting to make sense now.
[01:01:45.400 --> 01:01:48.200]   I'm starting to feel a little bit more comfy with it.
[01:01:48.200 --> 01:01:49.040]   - Nice, well done.
[01:01:49.040 --> 01:01:52.360]   - And I just wanna take the time to work through,
[01:01:52.360 --> 01:01:56.240]   my way through and absorb what you've been talking about.
[01:01:56.240 --> 01:01:59.000]   - Well, also Daniel, I will say like,
[01:01:59.000 --> 01:02:02.760]   there's a couple more lesson lessons to come.
[01:02:02.760 --> 01:02:04.840]   Like what is it next week or the week after?
[01:02:04.840 --> 01:02:06.080]   I suspect during those two weeks,
[01:02:06.080 --> 01:02:07.920]   I'll probably stop the walkthroughs.
[01:02:07.920 --> 01:02:11.200]   So there'll be a couple of weeks there to catch up.
[01:02:11.200 --> 01:02:16.080]   But yeah, like feel free to join in any time
[01:02:16.080 --> 01:02:19.720]   or not join in any time and ask questions about any video
[01:02:19.720 --> 01:02:21.960]   or even about things that's not covered in a video,
[01:02:21.960 --> 01:02:25.720]   but you feel like would be something useful to know
[01:02:25.720 --> 01:02:26.600]   in order to understand.
[01:02:26.600 --> 01:02:28.800]   - Okay, I'm really looking forward
[01:02:28.800 --> 01:02:30.760]   to the tabular data actually.
[01:02:30.760 --> 01:02:31.680]   - Oh, cool.
[01:02:31.680 --> 01:02:34.040]   - Yeah, okay, thank you.
[01:02:34.040 --> 01:02:35.920]   - Thanks all, see you next time.
[01:02:35.920 --> 01:02:40.160]   - Bye.
[01:02:40.160 --> 01:02:42.160]   - Take care.
[01:02:42.160 --> 01:02:52.160]   [BLANK_AUDIO]

