
[00:00:00.000 --> 00:00:05.280]   As a parent or mentor you have the awesome opportunity to help a young person build a future
[00:50:33.120 --> 00:50:37.740]   Excuse me. You can you could try to sell something for Bitcoin
[00:50:37.740 --> 00:50:42.980]   a lot of it is simply some of this hustle that you've talked about of finding somebody who has Bitcoin and
[00:50:42.980 --> 00:50:48.580]   Offering them something for it. There. There are some other ways to get Bitcoin privately, but those are
[00:50:49.100 --> 00:50:53.420]   Quote-unquote the easiest ways if you don't want to be part of the the coinbase
[00:50:53.420 --> 00:50:56.060]   centralized
[00:50:56.060 --> 00:50:58.060]   KYC
[00:50:58.060 --> 00:51:02.940]   Bitcoin route which in my opinion cuts against the a lot of the purpose of
[00:51:02.940 --> 00:51:06.500]   Bitcoin and cryptocurrencies
[00:51:06.500 --> 00:51:08.500]   Why do you think people?
[00:51:08.500 --> 00:51:12.260]   Well first I guess I could ask this question. I'm pretty sure I know the answer
[00:51:12.260 --> 00:51:16.980]   Do you think people should have the right to
[00:51:17.980 --> 00:51:19.980]   financial privacy in their affairs
[00:51:19.980 --> 00:51:24.860]   Assuming that you do think that why do you think that should be the case philosophically?
[00:51:24.860 --> 00:51:28.660]   Why should you have any right to privacy with regard to your money?
[00:51:28.660 --> 00:51:31.860]   After all, the only reason you would want to do it is because you're a tax cheap, right?
[00:51:31.860 --> 00:51:34.820]   well
[00:51:34.820 --> 00:51:37.980]   That is what people would say and they would have
[00:51:37.980 --> 00:51:39.980]   entirely
[00:51:39.980 --> 00:51:45.380]   Missed the point. The point is there are a few things that are immoral in life. I would consider
[00:51:46.180 --> 00:51:48.180]   stealing from somebody to be
[00:51:48.180 --> 00:51:49.460]   absolutely
[00:51:49.460 --> 00:51:54.580]   Immoral hurting somebody would be immoral if you're not doing one of these very basic things
[00:51:54.580 --> 00:51:57.700]   Then you are not doing anything wrong. The government may disagree
[00:51:57.700 --> 00:52:03.940]   Voltaire once said that it's it's dangerous to be right when the government is wrong. That will remain to be the case
[00:52:03.940 --> 00:52:05.660]   but
[00:52:05.660 --> 00:52:07.660]   financial privacy you
[00:52:07.660 --> 00:52:09.860]   Are not directly harming somebody
[00:52:09.860 --> 00:52:15.140]   Whatever you're doing with your money, and so I see no justification
[00:52:15.820 --> 00:52:17.420]   whatsoever for
[00:52:17.420 --> 00:52:19.020]   banning of
[00:52:19.020 --> 00:52:21.900]   transactions, of course we can talk about
[00:52:21.900 --> 00:52:29.700]   Where we can talk about the banning the criminalization the
[00:52:29.700 --> 00:52:38.140]   Justice system as it pertains to harming people physically and such but money itself is a
[00:52:38.140 --> 00:52:43.100]   Neutral thing just like the air we breathe just like weapons just like any kind of thing
[00:52:44.580 --> 00:52:46.580]   It's not a it's not an easy
[00:52:46.580 --> 00:52:48.780]   an easy
[00:52:48.780 --> 00:52:53.660]   Question to answer and I think that unfortunately well in some ways it is an easy question to answer
[00:52:53.660 --> 00:52:58.400]   You don't really need I don't need to justify anything that I want to do
[00:52:58.400 --> 00:53:01.980]   As long as I'm not harming another person
[00:53:01.980 --> 00:53:06.180]   All right, I can do pretty much anything I want to do as long as I'm not harming another person
[00:53:06.180 --> 00:53:13.580]   But I think to me one of the reasons why I'm quite passionate about helping people enhance privacy
[00:53:14.340 --> 00:53:15.700]   of
[00:53:15.700 --> 00:53:22.260]   Communications privacy over your life activities privacy over your financial transactions, etc
[00:53:22.260 --> 00:53:26.860]   Is because I see it as one of the best things that you can do to minimize the worst-case outcomes
[00:53:26.860 --> 00:53:33.660]   There's not a single point in history that you can point to where giving a government agent more data ever did anything good
[00:53:33.660 --> 00:53:37.940]   Even in the short term when you say oh, it doesn't look good. You go back and you look at it
[00:53:37.940 --> 00:53:39.940]   And you find that the biggest I
[00:53:39.940 --> 00:53:42.900]   guess
[00:53:42.900 --> 00:53:44.900]   it
[00:53:44.900 --> 00:53:51.980]   It's a massive risk to have a repository of data I think about it kind of like this
[00:53:51.980 --> 00:53:57.500]   Do you remember the the explosion that happened in Lebanon a couple years ago, right? You have this giant
[00:53:57.500 --> 00:54:01.340]   Concentration of
[00:54:01.340 --> 00:54:03.340]   explosive material
[00:54:03.340 --> 00:54:09.500]   You are a fool if you ever put massive amounts of explosive material in one central warehouse
[00:54:09.900 --> 00:54:16.700]   You're a fool now. There may be reasons and times at which you amass certain amounts of explosive material
[00:54:16.700 --> 00:54:21.180]   You might be getting ready for a firework show. You might be ready ready to bomb somebody, right?
[00:54:21.180 --> 00:54:25.020]   There are maybe reasons and times but in terms of a general practice
[00:54:25.020 --> 00:54:29.860]   You don't put large amounts of explosive material in a central depository
[00:54:29.860 --> 00:54:35.660]   And it doesn't matter whether the guards of that central depository are totally honest and totally good-hearted
[00:54:35.660 --> 00:54:39.140]   Let's assume that they are when you put the material in one place
[00:54:39.140 --> 00:54:43.860]   You put all the financial data you put all of the current all of the contact data, etc
[00:54:43.860 --> 00:54:46.380]   You put all the explosive stuff in one place
[00:54:46.380 --> 00:54:53.060]   You create an incredible target for someone else to try to attack you create the target by making it a rich target
[00:54:53.060 --> 00:54:59.180]   And so maybe everyone who's guarding the warehouse is perfectly honest and perfectly right and perfectly moral
[00:54:59.180 --> 00:55:03.820]   It's still dumb to put the repository all the information there on the other hand
[00:55:04.300 --> 00:55:07.340]   What do you do when you get more and more material in one place?
[00:55:07.340 --> 00:55:10.980]   Will you raise the stakes you raise the temptation for somebody to use that data?
[00:55:10.980 --> 00:55:16.480]   And so whether it's in this case a government agent or a non-government agent doing it
[00:55:16.480 --> 00:55:22.180]   You have to protect the data and the only way again, the only way to protect it is through putting
[00:55:22.180 --> 00:55:24.140]   barriers and
[00:55:24.140 --> 00:55:29.340]   Watertight doors through segmenting the data out properly in in diverse
[00:55:29.900 --> 00:55:35.860]   Institutions and so this is the one of the basic problems that we face in the modern world is that because of the digital
[00:55:35.860 --> 00:55:41.620]   Connectedness if we were to go back a hundred years where you were working with a bank and you had all of your records
[00:55:41.620 --> 00:55:48.460]   With a local banking institution didn't matter right? So what the local bank knows something of my institutions. It's not that big of a deal
[00:55:48.460 --> 00:55:54.040]   Yes, somebody could go and they could rob that bank and they could possibly get that data. Okay, that's fine
[00:55:54.860 --> 00:56:01.020]   They might get a hundred people's data or a thousand people's data, but they're not gonna get millions of people's of data
[00:56:01.020 --> 00:56:05.700]   But today if a hacker goes in and accesses the Bank of America
[00:56:05.700 --> 00:56:13.940]   Databases that hacker gets the data for four hundred four millions of people and then you get some goofy email from Bank of America
[00:56:13.940 --> 00:56:17.380]   Oh dear customer. We're so sorry that your data has been exposed in a data breach
[00:56:17.380 --> 00:56:20.620]   We're taking actions to quickly fix this problem in here
[00:56:20.620 --> 00:56:23.980]   We're gonna offer you 12 months of free credit monitoring from blah blah blah blah blah
[00:56:24.380 --> 00:56:32.500]   And so you're creating the temptation and it's vastly worse when you're creating the temptation for people who have the power
[00:56:32.500 --> 00:56:39.300]   And authority to put you in prison for people who have the power and authority to take your stuff, etc. And so
[00:56:39.300 --> 00:56:48.660]   it's philosophically stupid to support the centralization of data because even the most honest and moral and upright of
[00:56:48.860 --> 00:56:52.980]   Men can be corrupted by when the temptation is too big
[00:56:52.980 --> 00:56:56.780]   And so to me that's my reason is that we live in a world where there's massive risk
[00:56:56.780 --> 00:57:02.420]   And I don't particularly care for anybody to have access to your data about what?
[00:57:02.420 --> 00:57:09.140]   About your life your communications because it simply creates too many opportunities for trouble
[00:57:09.140 --> 00:57:13.840]   So, I mean that's not the most eloquently stated of arguments
[00:57:13.840 --> 00:57:19.140]   But to me, I don't want a bunch of explosive material in one place if explosive material has to be created
[00:57:19.140 --> 00:57:20.940]   I want it to be separated it out
[00:57:20.940 --> 00:57:25.180]   And since I don't see anybody on the public space who's who?
[00:57:25.180 --> 00:57:30.020]   Everyone around just wants to put more and more explosives in a giant warehouse in the center of town
[00:57:30.020 --> 00:57:33.640]   I think that's unsafe. And so I just keep trying to move a little bit farther out of town
[00:57:33.640 --> 00:57:38.540]   Well, that's that's well said Joshua. That's a that's a typical Joshua sheets
[00:57:38.540 --> 00:57:42.000]   analogy there which I which I always appreciate and
[00:57:42.420 --> 00:57:48.100]   You're right a lot of people we like to talk about monopolies Amazon this and that the only monopoly in your life is
[00:57:48.100 --> 00:57:50.460]   Government because government is the only institution
[00:57:50.460 --> 00:57:55.140]   Which you have knows you have no say in the matter when I didn't want to use Facebook
[00:57:55.140 --> 00:58:01.080]   I stopped when I didn't want to use Google I changed when I didn't want to use Amazon
[00:58:01.080 --> 00:58:05.780]   That's a little bit more difficult, but I can go elsewhere. That is not the case with government if you
[00:58:05.780 --> 00:58:11.720]   Continue to go around believing that Santa Claus is real or that government is there to help people
[00:58:11.720 --> 00:58:16.260]   I would encourage you to listen to one of my episodes called privacy and psychopaths
[00:58:16.260 --> 00:58:20.260]   I think that right there might in itself change your mind about
[00:58:20.260 --> 00:58:23.140]   whether government is there for you or
[00:58:23.140 --> 00:58:26.860]   Whether it's there for its own interest as all
[00:58:26.860 --> 00:58:29.420]   organisms in the world are
[00:58:29.420 --> 00:58:33.520]   and so you're right what you've touched on is the fact that privacy and
[00:58:33.520 --> 00:58:36.640]   decentralization are sister terms and
[00:58:37.280 --> 00:58:43.560]   If you want to have privacy in your life and privacy ultimately is protection against any of the many threats out there
[00:58:43.560 --> 00:58:48.540]   Then you are going to aim for more decentralization in your life when one broker is
[00:58:48.540 --> 00:58:56.120]   planning things out when one broker has all of the authority all of the information then you don't have that and
[00:58:56.120 --> 00:59:01.260]   When they get exposed and they will get exposed they always get exposed
[00:59:01.700 --> 00:59:07.920]   They there are always breaches breaches every day Coinbase and all these places are hacked all the time
[00:59:07.920 --> 00:59:09.920]   I deal with clients just in the last few weeks
[00:59:09.920 --> 00:59:15.380]   Their their money's gone from their bank accounts. Their crypto is gone from their Coinbase accounts
[00:59:15.380 --> 00:59:20.160]   You have trusted to a central authority. You've given them the keys. You don't have the keys yourself
[00:59:20.160 --> 00:59:23.400]   you have not
[00:59:23.400 --> 00:59:29.300]   Made sure to possess your own finances your own information on your own local
[00:59:29.380 --> 00:59:32.580]   computer or in your own house and you are at risk of
[00:59:32.580 --> 00:59:40.860]   Every you are at risk of all the things that follow from centralization. I would add to those companies
[00:59:40.860 --> 00:59:49.560]   Lest we be accused of beating too hard on government was it five eight years ago when the Department of Defense database
[00:59:49.560 --> 00:59:57.300]   was breached and basically anybody who had ever had any kind of clearance or relationship with the Department of Defense their information was released and
[00:59:57.300 --> 00:59:59.300]   For crying out loud right now
[00:59:59.300 --> 01:00:02.820]   I mean hold on Gabriel. I'm sure you're shocked
[01:00:02.820 --> 01:00:08.000]   Do you recognize that they haven't yet found the whistleblower at the IRS?
[01:00:08.000 --> 01:00:13.860]   Who mailed the private data of hundreds of the wealthiest Americans to the newspaper?
[01:00:13.860 --> 01:00:18.100]   Articles, can you can you believe they haven't yet come to the bottom of this yet?
[01:00:18.100 --> 01:00:20.500]   It should be America's most wanted somehow
[01:00:20.500 --> 01:00:25.780]   It's not somehow it's not because it's politically convenient and even if my guys are in control today
[01:00:25.780 --> 01:00:31.860]   I know that my guys will be out of control tomorrow and I don't trust any of the guys and so I've got to put
[01:00:31.860 --> 01:00:36.220]   Some some things in place. I want to go back to the Bitcoin question
[01:00:36.220 --> 01:00:41.220]   Okay, because here is the catch-22 first question. Is it possible to?
[01:00:41.220 --> 01:00:44.140]   acquire store and
[01:00:44.140 --> 01:00:48.020]   transact Bitcoin without a cell phone
[01:00:48.020 --> 01:00:53.140]   Yes
[01:00:53.140 --> 01:00:55.140]   Yes, you can do that
[01:00:55.140 --> 01:00:57.140]   it becomes a
[01:00:57.140 --> 01:01:06.340]   Little bit more tricky, of course to transact in Bitcoin you either need the address which is a long
[01:01:06.340 --> 01:01:14.500]   numerical alphabetical address that you would give to somebody or type in or it is often abbreviated most people use a
[01:01:14.500 --> 01:01:18.340]   QR code. Okay, and so you could for example
[01:01:18.340 --> 01:01:21.220]   Remember your code or write it down
[01:01:21.660 --> 01:01:24.740]   Take a photo of your QR codes
[01:01:24.740 --> 01:01:30.540]   And okay and carry around carry them around with you on paper. Of course, you could do that
[01:01:30.540 --> 01:01:32.900]   Is there a kind of intermediary?
[01:01:32.900 --> 01:01:34.940]   step where
[01:01:34.940 --> 01:01:37.580]   You're not because in this scenario
[01:01:37.580 --> 01:01:41.900]   You would have to go back to your computer and look at your account and all this kind of stuff
[01:01:41.900 --> 01:01:43.900]   Is there a kind of intermediary way?
[01:01:43.900 --> 01:01:50.180]   That's a good question, I'll have to get back to you
[01:01:50.180 --> 01:01:55.620]   The reason well the reason I I lift it up because because in my opinion one of the hardest things to do for most people
[01:01:55.620 --> 01:01:59.380]   In the privacy space is to have a private cell phone
[01:01:59.380 --> 01:02:04.860]   It's not that it's not possible right in your book you lay out some of the solutions. It's totally possible
[01:02:04.860 --> 01:02:08.940]   It's just very difficult and I see that the set in my opinion
[01:02:08.940 --> 01:02:12.420]   The cell phone is what is the biggest privacy breach that most of us have right?
[01:02:12.420 --> 01:02:17.020]   We carry around a personal location device to page basically everywhere we go
[01:02:17.660 --> 01:02:22.100]   virtually all of our most important information is is stored on or
[01:02:22.100 --> 01:02:28.980]   Accessed through that device and yet that device is not particularly secure and when we add on to it
[01:02:28.980 --> 01:02:35.100]   Using it for Bitcoin, then it becomes more more difficult. There are a couple of devices on the market
[01:02:35.100 --> 01:02:42.140]   I've been meaning to get and look into as far as some of the the hardware the device wallets that are trying to solve this
[01:02:43.100 --> 01:02:50.500]   But I think it's an interesting area of interesting area focus for us. Yeah, that's an important question. I can I mention the
[01:02:50.500 --> 01:02:56.220]   That's an important question. And I'm performing all the research to have the
[01:02:56.220 --> 01:03:02.780]   Have the extreme worst-case scenario. Let's say you're you're you're fleeing a country and you can't bring your phone
[01:03:02.780 --> 01:03:09.300]   and we might have more to say about that and in a crypto course that that we're working on and so
[01:03:10.180 --> 01:03:12.980]   It's a good question. It's a good question because you obviously
[01:03:12.980 --> 01:03:18.220]   The phone we haven't even talked about phones yet phones are not your friend and privacy surprise
[01:03:18.220 --> 01:03:21.460]   and you don't want to be walking around with an extra phone or
[01:03:21.460 --> 01:03:27.700]   An iPod touch or something like this an iPod touch doesn't have all of the the various GPS
[01:03:27.700 --> 01:03:31.160]   Chips and such in it like a like a phone does you don't want to be?
[01:03:31.160 --> 01:03:38.420]   encumbered with all that stuff and you still want to use your Bitcoin, of course, the easiest way is to go around with your laptop and
[01:03:39.460 --> 01:03:42.380]   Pull up your Electrum wallets not always convenient
[01:03:42.380 --> 01:03:44.460]   hopefully
[01:03:44.460 --> 01:03:48.860]   There are people coming up with some intermediary options and I'll have some more to say about that soon
[01:03:48.860 --> 01:03:50.860]   Yeah, I want to add one more comment
[01:03:50.860 --> 01:03:56.020]   Because there is a good segment of the audience that agrees with you are in my position
[01:03:56.020 --> 01:03:58.860]   There's also a good segment of the audience that doesn't see the point
[01:03:58.860 --> 01:04:01.900]   I want to add one more point and this is why I'm so
[01:04:01.900 --> 01:04:06.040]   Enthusiastic about trying to be involved and help to see these areas grow
[01:04:06.680 --> 01:04:12.140]   You and I can easily afford to have bank accounts you and I can eat our wells
[01:04:12.140 --> 01:04:17.680]   You and I are well served by the financial industry. We have phones. We have computers. We have bank accounts
[01:04:17.680 --> 01:04:21.380]   We get low-cost banking low-cost investment low-cost transactions
[01:04:21.380 --> 01:04:23.620]   Yeah strike charges me a good amount of money
[01:04:23.620 --> 01:04:29.020]   But it's not that much in the grand scheme of things given the the convenience of it PayPal. It's useful, etc
[01:04:29.020 --> 01:04:35.180]   But there is a massive massive percentage of the world that does not have access to these services
[01:04:35.180 --> 01:04:39.660]   And what my hope is that we can use the exciting prospects of Bitcoin
[01:04:39.660 --> 01:04:45.380]   The growth I used to see is a major problem. I don't see it as a major problem anymore. I see it as something that
[01:04:45.380 --> 01:04:49.540]   Requires consideration
[01:04:49.540 --> 01:04:51.260]   the devices etc
[01:04:51.260 --> 01:04:57.100]   Just using it will help to bring the services that we take for granted to an increasing segment of the world
[01:04:57.100 --> 01:05:02.280]   Population and that is going to help us create an exceedingly exciting future
[01:05:02.540 --> 01:05:05.820]   when more and more of the smartest people in the world that are currently
[01:05:05.820 --> 01:05:12.160]   Blocked locked out because they don't have the right passport. They don't have the right government ID number. They don't have the right
[01:05:12.160 --> 01:05:17.900]   Ability to get with a certain merchant processor as those people come into the global economy
[01:05:17.900 --> 01:05:23.140]   it's just gonna turbocharge the current great growth that we enjoy and and
[01:05:23.140 --> 01:05:30.900]   Bitcoin is a major component of that going forward as I see it, but unfortunately Josh, there's no accountability with Bitcoin
[01:05:30.900 --> 01:05:34.220]   So what you're looking for is a one world government digital currency
[01:05:34.220 --> 01:05:48.500]   Hopefully we'll get maybe the Chinese version will be the one that will bail us out lovely
[01:05:48.500 --> 01:05:54.900]   Anything we've missed anything that you think we should cover looking through the table of contents here for the book
[01:05:54.900 --> 01:05:58.380]   We could talk about
[01:05:59.740 --> 01:06:02.900]   Phones for a moment if you'd like. Yeah, let's do that because that's very practical
[01:06:02.900 --> 01:06:06.100]   so you just you just had a good summary of a phone it is a
[01:06:06.100 --> 01:06:12.040]   Device that has a camera pointing at you and at others. It has a built-in microphone
[01:06:12.040 --> 01:06:19.660]   It has multiple chips that are used to pinpoint your location when the phone is working within a few meters
[01:06:19.660 --> 01:06:21.980]   wherever you are in the world bouncing off of the
[01:06:21.980 --> 01:06:24.780]   satellites and cell towers
[01:06:24.780 --> 01:06:30.980]   This is very juicy information it by default uses something called SMS text messages, which are free floating in the air
[01:06:30.980 --> 01:06:38.140]   Which are easily captured with the right equipment, for example by police during protests. They have devices called stingrays
[01:06:38.140 --> 01:06:43.580]   They can read all of that all those SMS text messages being sent your phone calls
[01:06:43.580 --> 01:06:47.340]   Can be certainly documented especially the metadata
[01:06:48.060 --> 01:06:55.700]   Okay, and your phone as well has a operating system that is designed to integrate all of these things and make life more convenient
[01:06:55.700 --> 01:06:58.660]   so it's not your friend in privacy and
[01:06:58.660 --> 01:07:03.500]   What we will say with phones what I'll say with phones is first
[01:07:03.500 --> 01:07:08.620]   Learn to do more with a real computer as opposed to a phone
[01:07:08.620 --> 01:07:14.380]   I don't use my phone for almost anything. I use my phone as it's meant to be used as a
[01:07:14.380 --> 01:07:17.380]   communication tool when I'm away from home and
[01:07:18.380 --> 01:07:23.660]   Particularly using private encrypted end-to-end encrypted zero knowledge
[01:07:23.660 --> 01:07:30.900]   Messengers we've mentioned signal wire whatsapp doesn't have all those characteristics, but it's better than nothing
[01:07:30.900 --> 01:07:35.780]   And so that is what your phone is meant to do. It's not meant to be your bank account
[01:07:35.780 --> 01:07:38.540]   it's not meant to
[01:07:38.540 --> 01:07:46.940]   Well, let's put it like this let's let let's go back to some of the facts the Facebook app was
[01:07:47.420 --> 01:07:52.060]   found in a Wall Street Journal study to be communicating and getting information from
[01:07:52.060 --> 01:07:54.980]   Various other apps that were around in this case
[01:07:54.980 --> 01:07:57.860]   menstruation calendar apps
[01:07:57.860 --> 01:08:03.540]   Weather apps all kinds of stuff. This is information that's being gathered and attached to your Facebook profile
[01:08:03.540 --> 01:08:10.140]   I'm not very comfortable with that kind of stuff being shared, but that's just how phones work
[01:08:10.140 --> 01:08:11.860]   They're highly incestuous
[01:08:11.860 --> 01:08:19.180]   They are designed to do this now. It's quite simple if you commit to it to do these things on your computer
[01:08:19.180 --> 01:08:25.420]   More of these things on your computer get a good laptop. Not a Chromebook get a good real laptop
[01:08:25.420 --> 01:08:26.220]   You can get a cheap one
[01:08:26.220 --> 01:08:31.980]   I like cheap a sir laptops for example a couple hundred dollars or a few hundred dollars and you're on your way
[01:08:31.980 --> 01:08:36.320]   You can instead of going to the Bank of America app. Just go to the website
[01:08:36.320 --> 01:08:39.940]   When you want to check the weather, you don't need an app for that
[01:08:39.940 --> 01:08:43.260]   just go to a browser and type in the
[01:08:43.260 --> 01:08:48.220]   The weather weather comm or whatever you're searching for there
[01:08:48.220 --> 01:08:54.200]   So there are first of all you want to do more things away from your phone and on your computer
[01:08:54.200 --> 01:08:59.380]   As you can. All right. I've lost my train of thought. What what should we be talking about as regards phones?
[01:08:59.380 --> 01:09:03.300]   I think the first thing would be which which service provider right? You basically have two options
[01:09:03.300 --> 01:09:08.420]   Apple versus Android so I think you need to begin there, right? Okay, so
[01:09:08.920 --> 01:09:13.220]   We might let me let me try to do this without getting into the weeds so
[01:09:13.220 --> 01:09:19.180]   First of all, how do you have a private phone a private phone is a phone first of all that has been purchased
[01:09:19.180 --> 01:09:23.980]   Without a connection to your name. So that would be cash in this case
[01:09:23.980 --> 01:09:27.220]   It would be a phone that has service
[01:09:27.220 --> 01:09:33.700]   That is not in your name. So you could buy a prepaid SIM card and
[01:09:34.700 --> 01:09:39.820]   Re-up it with gift cards or any other way. This is not too difficult
[01:09:39.820 --> 01:09:44.860]   To do this kind of thing. So you will have purchased it privately
[01:09:44.860 --> 01:09:51.100]   You'll have purchased these service privately and I realize that you can't do that in all countries. I think Nigeria South Korea
[01:09:51.100 --> 01:09:56.460]   If you get a phone SIM card, this is highly tied to your national identity
[01:09:56.460 --> 01:10:00.620]   It's difficult to get around that now if you're using private messengers on your phone
[01:10:01.180 --> 01:10:06.460]   You can connect to Wi-Fi and use that and communicate just like normal
[01:10:06.460 --> 01:10:06.780]   Of course
[01:10:06.780 --> 01:10:13.500]   The benefit of phone is you have that satellite signal the data signal so that you can use the device
[01:10:13.500 --> 01:10:16.140]   When you're not near Wi-Fi, I understand them. That's the goal
[01:10:16.140 --> 01:10:19.980]   But in order to have the private phone you want to acquire the SIM card
[01:10:19.980 --> 01:10:22.940]   In cash gift cards, whatever the case may be
[01:10:22.940 --> 01:10:28.180]   So that's not tied to your name now you start up the phone. Is that an Android or an Apple?
[01:10:28.180 --> 01:10:34.500]   I don't really care. I don't I don't differentiate a whole lot between those two because what I'm looking for is a phone
[01:10:34.500 --> 01:10:39.220]   That's going to do the basic stuff for me and it's not going to be doing all this other stuff
[01:10:39.220 --> 01:10:43.780]   If you are downloading a hundred apps, then you don't care about privacy
[01:10:43.780 --> 01:10:49.380]   But in that case you could go with Apple because Apple is a little bit better out of the box
[01:10:49.380 --> 01:10:52.460]   When you create an Apple ID
[01:10:52.460 --> 01:10:55.860]   There's a process that you'll get to
[01:10:55.860 --> 01:11:00.500]   There's a process that you'll go through you don't want to give you a real name
[01:11:00.500 --> 01:11:05.180]   You want to have an email address perhaps a proton mail email address that is
[01:11:05.180 --> 01:11:10.620]   New and dedicated just to this don't obviously don't reveal
[01:11:10.620 --> 01:11:17.380]   Information about yourself. You'll have to give a phone number for that Apple account. You'll just have to give your
[01:11:17.380 --> 01:11:22.620]   Phone number attached to the SIM card. They probably already know that information anyway
[01:11:22.620 --> 01:11:26.500]   And so at that point you will have an Apple device or an Android device
[01:11:26.500 --> 01:11:29.380]   Purchased not in your name
[01:11:29.380 --> 01:11:31.420]   SIM card not in your name
[01:11:31.420 --> 01:11:38.660]   And you will then have to take your prudence your privacy prudence and apply that to what apps you download or don't download
[01:11:38.660 --> 01:11:45.500]   The information that you give it be careful about permissions things of this nature. You can use your VPN on a phone
[01:11:45.500 --> 01:11:47.140]   That's always wise
[01:11:47.140 --> 01:11:49.140]   we have things like
[01:11:49.940 --> 01:11:56.580]   Faraday bags which block out all signals if you don't want your phone to be pinpointing your location
[01:11:56.580 --> 01:12:01.620]   Where you are, you can slip it in the sleeve. You obviously can't use it. And so that's why
[01:12:01.620 --> 01:12:06.900]   That's why I kind of conclude in my chapter on phone privacy. It's it's
[01:12:06.900 --> 01:12:13.020]   It's almost impossible to have a phone privacy because if the phone is working it's pinpointing
[01:12:13.020 --> 01:12:16.020]   It's identifying you by your location by definition
[01:12:16.260 --> 01:12:21.540]   And so there's one way around that which we can talk about if you want. That's the my pseudo
[01:12:21.540 --> 01:12:23.900]   iPod touch version
[01:12:23.900 --> 01:12:25.900]   we could also talk about
[01:12:25.900 --> 01:12:33.220]   Graphene OS which is a custom software that you would have to install on your phone. These are these are more complicated things but
[01:12:33.220 --> 01:12:34.780]   in
[01:12:34.780 --> 01:12:37.420]   For them the primer version I would say
[01:12:37.420 --> 01:12:43.400]   Simply start using your phone less stop attaching as much information to it as you can
[01:12:43.700 --> 01:12:50.340]   And just kind of be more aware of what you're doing on your phone. Are you willing to say are you using?
[01:12:50.340 --> 01:12:52.940]   Do you continue to use the iPod?
[01:12:52.940 --> 01:12:55.940]   Trick or using the graph a graphing phone at this point
[01:12:55.940 --> 01:12:59.260]   What are you willing to say?
[01:12:59.260 --> 01:13:02.100]   Feel free to say no
[01:13:02.100 --> 01:13:08.380]   Privacy expert. What are you doing? Well, I'm using and testing out both and
[01:13:09.020 --> 01:13:15.420]   The the thing about graphene OS graphene OS as I said is a custom software you download on your computer. It strips out
[01:13:15.420 --> 01:13:18.180]   it strips out a lot of the
[01:13:18.180 --> 01:13:24.460]   Android functionality that was previously being reported to Google now when you're using the graphene OS
[01:13:24.460 --> 01:13:27.620]   It's still pinpointing your location with its data trail
[01:13:27.620 --> 01:13:30.420]   But it's not doing a whole lot else
[01:13:30.420 --> 01:13:36.980]   So if you've acquired that phone and SIM card privately that will do you fairly well now
[01:13:37.260 --> 01:13:39.260]   the other option is
[01:13:39.260 --> 01:13:40.780]   which you
[01:13:40.780 --> 01:13:42.780]   reference Joshua is the
[01:13:42.780 --> 01:13:44.140]   Apple
[01:13:44.140 --> 01:13:50.340]   iPod touch approach now. This is a little bit complicated. Let me just try to boil it down. So you have an
[01:13:50.340 --> 01:13:53.140]   Apple iPhone and
[01:13:53.140 --> 01:13:55.020]   You have an iPod touch
[01:13:55.020 --> 01:13:58.980]   Okay, the iPod touch is the thing and I don't take credit for this by the way
[01:13:58.980 --> 01:14:04.940]   This is something that Michael Bozell and and others have have worked out but the iPod touch is for at home
[01:14:04.940 --> 01:14:06.980]   Okay, the iPod touch stays at home
[01:14:07.020 --> 01:14:09.020]   your iPad your
[01:14:09.020 --> 01:14:16.020]   iPhone is what you take on you with journeys on your on journeys when you're outside of the house
[01:14:16.020 --> 01:14:19.500]   so when you start to approach your home you slip your
[01:14:19.500 --> 01:14:26.780]   iPhone into a Faraday bag and that does not get used anymore. You get home you use your you use your iPod touch
[01:14:26.780 --> 01:14:28.780]   which is not
[01:14:28.780 --> 01:14:30.780]   calling out to
[01:14:30.780 --> 01:14:34.860]   Geolocation at all and it doesn't have some other things that are
[01:14:35.380 --> 01:14:42.260]   Anyway, it is not calling out your geolocation and you can connect these two devices
[01:14:42.260 --> 01:14:44.780]   to
[01:14:44.780 --> 01:14:51.620]   Use the same apps that you would use on your iPhone. And so for example, here's the here's the main point
[01:14:51.620 --> 01:14:57.220]   There is a program called my pseudo Joshua has mentioned it before doesn't always work in countries
[01:14:57.220 --> 01:14:59.740]   outside of the US especially but
[01:15:00.260 --> 01:15:02.260]   My pseudo allows you to have
[01:15:02.260 --> 01:15:05.300]   Up to nine phone numbers
[01:15:05.300 --> 01:15:10.420]   Which are not sent through your typical phone wires
[01:15:10.420 --> 01:15:16.100]   It is through a data connection. You have nine phone numbers legitimate phone numbers and you can make your calls
[01:15:16.100 --> 01:15:18.620]   You can do your SMS
[01:15:18.620 --> 01:15:24.100]   Messaging you can do your code verification through these numbers
[01:15:24.100 --> 01:15:27.380]   And so that might be something you're interested in
[01:15:28.060 --> 01:15:32.700]   I realize I'm getting to the weeds again with this one. Let me just for the let me give the non
[01:15:32.700 --> 01:15:35.700]   Well sort of the non-technical reason as to why that that works
[01:15:35.700 --> 01:15:45.180]   so if we understand what a phone is and what it is doing you can see that it has a number of major
[01:15:45.180 --> 01:15:47.860]   vulnerabilities for those who care about privacy and
[01:15:47.860 --> 01:15:54.860]   The number one vulnerability that a phone has a cell phone a normal cell phone is it has a radio chip
