
[00:00:00.000 --> 00:00:04.660]   Elite status with airlines and hotels. Who needs it, right? Well, six months ago,
[00:49:13.060 --> 00:49:19.780]   a ton of business spend to do. Last is one of my favorite stories. So Brandon sent in this epic
[00:49:19.780 --> 00:49:25.600]   photo, which with his permission, I will put in the show notes, they had a contractor who was building
[00:49:25.600 --> 00:49:30.800]   out some renovations or their house. And he asked if they could pay for the building materials. So their
[00:49:30.800 --> 00:49:36.020]   contractor wouldn't let them pay by credit card, but they were willing to let them go to Lowe's and pay
[00:49:36.020 --> 00:49:43.740]   for the materials themselves. And so they had about $170,000 to spend at Lowe's. First, they bought all
[00:49:43.740 --> 00:49:47.800]   the Lowe's gift cards they could at a deal. Unfortunately, they were only able to get up to
[00:49:47.800 --> 00:49:53.020]   5,000. This was before I had launched the gift card site. And then they put the rest on their credit
[00:49:53.020 --> 00:49:58.140]   cards. And between him and his brother, they stacked out a bunch of different credit cards, rang it up to
[00:49:58.140 --> 00:50:05.680]   $170,000. And if you just assume an average return of let's call it two points or two and a half
[00:50:05.680 --> 00:50:11.440]   percent, they earned back over $4,000 of value. I didn't ask him which cards. I'm going to hope
[00:50:11.440 --> 00:50:15.320]   there were a bunch of signup bonuses in there. If there were five or six signup bonuses, well,
[00:50:15.320 --> 00:50:18.500]   that could have been, you know, millions and millions and millions of points. But I didn't
[00:50:18.500 --> 00:50:22.060]   ask which cards there were. If there were a bunch of signup bonuses in there, who knows? It could have
[00:50:22.060 --> 00:50:29.120]   been a million, 2 million points. It really depends on the spending patterns. But $170,000 for just
[00:50:29.120 --> 00:50:35.080]   asking a question, I encourage everyone to try to do something similar themselves. Anytime they're playing
[00:50:35.340 --> 00:50:41.540]   any time they're trying to earn more, there's always something that comes from asking, can I pay you with
[00:50:41.540 --> 00:50:47.700]   a credit card? What would that cost? Is this possible? There are some banks that let you pay
[00:50:47.700 --> 00:50:53.940]   bills by credit card. Never hurts to ask. So really, really stoked to hear all those stories. If you have
[00:50:53.940 --> 00:50:59.520]   any similar stories of huge wins in the points and miles, in the health, in the any category we've ever
[00:50:59.520 --> 00:51:05.160]   discussed on the show, send them in. Podcast at allthehacks.com. I love hearing them. Thank you so much for
[00:51:05.160 --> 00:51:06.860]   joining this week. I will see you next week.

