
[00:00:00.000 --> 00:00:05.140]   Your credit score has so much information in it that impacts how much you pay for everything from
[00:48:37.340 --> 00:48:39.360]   And I've seen that happen in this chart.
[00:48:39.360 --> 00:48:40.240]   I've seen it happen.
[00:48:40.240 --> 00:48:42.320]   And so, that's super fascinating.
[00:48:42.320 --> 00:48:45.280]   Now, keep in mind, this person did open 26 cards.
[00:48:45.280 --> 00:48:50.040]   But one thing to note is that business cards don't usually show up on your personal credit.
[00:48:50.040 --> 00:48:51.300]   I mentioned that earlier.
[00:48:51.300 --> 00:48:57.700]   So, you might get the inquiry from a business card getting opened, but it actually doesn't show up on your credit report.
[00:48:57.700 --> 00:49:00.020]   Now, I found a table.
[00:49:00.020 --> 00:49:01.160]   It's about five years old.
[00:49:01.160 --> 00:49:02.700]   So, I don't want to say it's all perfect.
[00:49:02.860 --> 00:49:10.320]   But some banks, notably TD, Discover, and maybe some cards from Capital One or Barclays, do show up on your personal credit report.
[00:49:10.320 --> 00:49:12.860]   And this is all if you have no negative activity.
[00:49:12.860 --> 00:49:19.220]   The number of banks that report your business credit card activity to your personal credit report is limited.
[00:49:19.660 --> 00:49:25.200]   But if you have negative activity, almost all of them, at least according to this chart I found, do.
[00:49:25.200 --> 00:49:26.480]   So, keep that in mind.
[00:49:26.480 --> 00:49:27.680]   And so, how do I think about this?
[00:49:27.680 --> 00:49:33.660]   Well, knowing your credit score and knowing how many frequent cards you've opened can have a lot of benefits.
[00:49:33.660 --> 00:49:40.060]   So, one, there are application rules at a lot of different banks that say, okay, how many cards have you opened?
[00:49:40.060 --> 00:49:42.220]   Chase is notorious for this 524 rule.
[00:49:42.220 --> 00:49:46.660]   You can't get a card if you've applied for five or more cards in the last 24 months.
[00:49:46.660 --> 00:49:49.420]   But they're getting that number from your credit report.
[00:49:49.420 --> 00:49:55.360]   So, if your credit report doesn't show a card because it's a business card, well, they're not going to count it towards the 524 rule.
[00:49:55.360 --> 00:49:59.520]   This might seem crazy, but a lot of people have reported that they don't even count Chase cards,
[00:49:59.520 --> 00:50:05.240]   which means they're not combining the credit report data with the own data they have on you.
[00:50:05.240 --> 00:50:06.860]   They're just looking at the credit report.
[00:50:06.860 --> 00:50:17.240]   So, you can learn these application rules for each bank and learn how to use your credit report to the advantage of making sure you time things correctly and are doing things in the right order.
[00:50:17.240 --> 00:50:20.500]   And I'm going to do a whole future episode on application rules by bank.
[00:50:20.500 --> 00:50:22.020]   So, stay tuned for that.
[00:50:22.020 --> 00:50:27.040]   It also helps when you understand what banks are sensitive to and how they operate.
[00:50:27.040 --> 00:50:29.660]   So, Capital One is notoriously really sensitive.
[00:50:29.660 --> 00:50:34.320]   So, if you have a bunch of recent inquiries, it might not be the right bank to apply for.
[00:50:34.920 --> 00:50:40.060]   Amex, if you already have an Amex card, usually Amex doesn't even pull your credit.
[00:50:40.060 --> 00:50:45.820]   I know this because I just applied for and got approved for a Delta Amex card, I think it was two days ago,
[00:50:45.820 --> 00:50:50.840]   and I had all three credit reports frozen and they still approved.
[00:50:50.840 --> 00:50:54.760]   So, not only do I not have an inquiry, the card doesn't even show up on my credit.
[00:50:54.760 --> 00:50:57.360]   So, as far as any other bank is concerned, that didn't matter.
[00:50:57.360 --> 00:50:59.520]   So, that's opening a card.
[00:50:59.520 --> 00:51:00.920]   What about closing a card?
[00:51:00.920 --> 00:51:02.380]   I get this question all the time.
[00:51:02.380 --> 00:51:03.960]   What should I do if I have a card?
[00:51:04.080 --> 00:51:07.560]   Usually, it's because the annual fee is high and I don't get any value of it.
[00:51:07.560 --> 00:51:09.520]   Well, a couple things.
[00:51:09.520 --> 00:51:15.480]   One, find out whether you're using the card correctly because I found that there are a lot of annual fee cards
[00:51:15.480 --> 00:51:22.200]   where if you know how to use the annual fee, you can actually make the card profitable even if you're not spending on it.
[00:51:22.300 --> 00:51:28.260]   So, I will also do a whole episode on premium cards and talk about those perks and benefits and how to get the most out of them.
[00:51:28.260 --> 00:51:31.020]   But let's say you're thinking, I don't really want this card.
[00:51:31.020 --> 00:51:32.560]   What will happen if I cancel it?
[00:51:32.560 --> 00:51:35.280]   Well, it won't impact your payment history.
[00:51:35.280 --> 00:51:37.560]   Amounts owed, not great there.
[00:51:37.560 --> 00:51:39.060]   Your total credit will go down.
[00:51:39.060 --> 00:51:41.280]   We'll talk about how to mitigate that if you close it.
[00:51:41.280 --> 00:51:44.560]   Your length of credit history really has a different impact.
[00:51:44.560 --> 00:51:47.880]   If it's your oldest card you've ever had, it could have a huge impact.
[00:51:47.880 --> 00:51:52.800]   But if it is a card you opened recently, when you're looking at your average age,
[00:51:52.800 --> 00:51:55.900]   it might actually bring your average age up so it could have a good impact.
[00:51:55.900 --> 00:52:00.560]   If it is your oldest card, I'd really strongly encourage you to find a way not to cancel it.
[00:52:00.560 --> 00:52:01.380]   And I'll talk about that.
[00:52:01.380 --> 00:52:04.920]   Won't really impact your new credit, your credit mix.
[00:52:04.920 --> 00:52:06.940]   You still will have the card on your account.
[00:52:06.940 --> 00:52:08.020]   It just won't be open.
[00:52:08.020 --> 00:52:10.160]   So, smaller impact there.
[00:52:10.160 --> 00:52:15.600]   So, what I would say is, if you have a card that you've had for a really long time,
[00:52:15.600 --> 00:52:17.160]   like I said, avoid closing it.
[00:52:17.380 --> 00:52:20.380]   But let's say it has an annual fee and you don't want to have to pay it.
[00:52:20.380 --> 00:52:21.360]   You're not getting any benefits.
[00:52:21.360 --> 00:52:22.720]   A few things you can do.
[00:52:22.720 --> 00:52:25.020]   You can always ask for a retention offer.
[00:52:25.020 --> 00:52:27.820]   So, you might get an offer that's waive the annual fee.
[00:52:27.820 --> 00:52:32.080]   Spend a few thousand dollars and get 20, 30, 40, 50,000 points.
[00:52:32.080 --> 00:52:34.820]   So, that's one option that could mitigate that cost.
[00:52:34.820 --> 00:52:37.280]   Another, product change to another card.
[00:52:37.280 --> 00:52:41.240]   There are a ton of cards at a lot of different issuers that you can change to.
[00:52:41.240 --> 00:52:46.660]   So, you could change from the Delta card that includes lounge access and costs hundreds of dollars
[00:52:46.880 --> 00:52:50.220]   to a free or inexpensive Delta card that doesn't.
[00:52:50.220 --> 00:52:58.340]   So, changing to a different card is a great way to keep it on your credit history without having to pay an annual fee.
[00:52:58.880 --> 00:53:04.780]   If none of those work and you're just dead set on canceling, one, make sure you use all of your points.
[00:53:04.780 --> 00:53:09.840]   If it's your last card linked to a bank rewards program, especially because you will forfeit them.
[00:53:09.840 --> 00:53:12.880]   If you close your last Amex and you have membership rewards points, they're gone.
[00:53:12.880 --> 00:53:19.800]   Number two, consider moving the credit to another card before you close, especially if it's a really high limit card.
[00:53:19.800 --> 00:53:26.960]   This could make it trickier to open a new card because the bank might be extending all the credit they're willing to extend.
[00:53:27.340 --> 00:53:32.460]   But, let's say you have a credit card at Bank of America and has a $50,000 limit.
[00:53:32.460 --> 00:53:35.840]   And you just opened a new card and it has a $10,000 limit.
[00:53:35.840 --> 00:53:38.620]   So, when you're looking at your utilization, you've got $60,000.
[00:53:38.620 --> 00:53:42.920]   If you close that Bank of America card, your total limit available to you is $10,000.
[00:53:43.260 --> 00:53:49.320]   But, if you had two cards at Bank of America, you only want to close one, you can usually call the bank and move the credit over.
[00:53:49.320 --> 00:53:57.580]   So, you could take two cards with $30,000 limits, move one to be $59,000 and the other to be $1,000 and then close the $1,000.
[00:53:57.580 --> 00:54:06.200]   So, the way that this could be a pain is you might then later apply for another card at that bank and be denied because they don't have enough credit to give you.
[00:54:06.560 --> 00:54:13.360]   But, oftentimes, you can call up a phone number and ask them if there is any way to move credit to this new card and get that open.
[00:54:13.360 --> 00:54:22.620]   So, when used correctly, I think playing the points game can actually build up your credit score and keep it more durable and higher for a much longer time.
[00:54:22.620 --> 00:54:24.840]   This episode is brought to you by Copilot.
[00:54:24.840 --> 00:54:28.920]   If you're looking to get your finances organized this year, you have to check out Copilot.
[00:54:28.920 --> 00:54:36.040]   It's one of my favorite apps and I check it almost every day because it makes it so seamless and easy to manage your money and track your spending.
[00:54:36.260 --> 00:54:39.380]   Which, for us, has resulted in a huge boost to our savings.
[00:54:39.380 --> 00:54:41.680]   And I've tried dozens of apps that do this.
[00:54:41.680 --> 00:54:43.500]   I've even made a whole episode about it.
[00:54:43.500 --> 00:54:47.560]   But, Copilot is the only one I've kept using and I have no plans to stop.
[00:54:47.560 --> 00:54:57.640]   You can link accounts at over 10,000 institutions and their AI-powered expense categorization is the best I've used with custom Amazon and Venmo integrations to make it even better.
[00:54:57.640 --> 00:55:05.020]   You can completely design your spending categories and subcategories and easily set up rules to assign transactions to them in the future.
[00:55:05.660 --> 00:55:13.560]   Thanks to Copilot, I have never had a better grasp on our spending and cash flow, which I'm pretty sure has resulted in thousands of dollars of savings every year.
[00:55:13.780 --> 00:55:27.260]   So, for the best app to track your spending, subscriptions, and investments, go to chrishutchins.com slash copilot or click the link in the description to download Copilot and enter code HACKS during onboarding for a two-month free trial.
[00:55:27.260 --> 00:55:35.900]   Again, that's chrishutchins.com slash copilot and the code HACKS2 for a free two-month trial of my favorite personal finance app.
[00:55:35.900 --> 00:55:38.880]   Now, let's talk about what to do if you want to improve your credit score.
[00:55:38.880 --> 00:55:46.100]   The simplest way is to pay down your debt, keep your debt low, keep your old cards open, and have a diverse credit mix.
[00:55:46.100 --> 00:55:49.720]   If you find something on your credit report that's inaccurate, dispute it.
[00:55:49.820 --> 00:55:54.540]   If you find old things that are on there that shouldn't be there anymore, report that.
[00:55:54.540 --> 00:55:56.660]   Get all of those things removed.
[00:55:56.660 --> 00:55:59.240]   Great way to raise your credit score.
[00:55:59.240 --> 00:56:05.740]   Another thing is you can actually start adding positive history to your credit report.
[00:56:05.740 --> 00:56:12.740]   And there are certain places and services that you can use to report rent and utility payments to your report.
[00:56:12.740 --> 00:56:15.040]   They're not automatically included.
[00:56:15.040 --> 00:56:20.900]   Simple Bills, Experian Boost, and others will report some of those payments and help your credit.
[00:56:20.900 --> 00:56:26.120]   There are also debit cards that will start reporting to credit bureaus as you use them.
[00:56:26.120 --> 00:56:28.700]   So, there are a lot of options there.
[00:56:28.700 --> 00:56:32.420]   Also, don't discount raising your credit limit for an individual card.
[00:56:32.420 --> 00:56:35.240]   You can usually request a credit line increase.
[00:56:35.240 --> 00:56:42.740]   And of course, if your credit goes up and you aren't spending more money, that lowers your utilization and can have an impact.
[00:56:42.740 --> 00:56:51.300]   So, obviously, with all the positive impacts of having a good credit score, being able to play the points game, as many of you do, myself included,
[00:56:51.300 --> 00:56:56.280]   it's always great to help someone getting started with a great credit score.
[00:56:56.280 --> 00:57:02.000]   So, if you're helping someone who's just turning 18, you're helping someone who's moved to the U.S.,
[00:57:02.000 --> 00:57:04.140]   First option is a secured credit card.
[00:57:04.140 --> 00:57:06.180]   This is a credit card that requires a deposit.
[00:57:06.180 --> 00:57:09.860]   That deposit is, of course, refundable, but then it gives access to spend.
[00:57:09.860 --> 00:57:12.100]   Important distinction is it is not a prepaid card.
[00:57:12.100 --> 00:57:14.840]   It's similar, but you can take the money out much more easily.
[00:57:14.840 --> 00:57:16.820]   And so, this is a great option.
[00:57:16.820 --> 00:57:18.920]   Another option is a student card.
[00:57:18.920 --> 00:57:26.040]   Note that for both of these kinds of cards, anyone under 21 will probably need to have proof of income or a cosigner to get approved.
[00:57:26.040 --> 00:57:28.880]   Some popular cards for people with little to no credit.
[00:57:28.880 --> 00:57:34.000]   Chase student cards, but they sometimes need a little bit of history on your credit report.
[00:57:34.000 --> 00:57:36.560]   But Discover secured cards, easy.
[00:57:36.560 --> 00:57:39.200]   Some Barclays cards have been pretty easy.
[00:57:39.200 --> 00:57:45.020]   Surprisingly, Amex cards are quite easy and they do pre-approvals on their website.
[00:57:45.420 --> 00:57:48.880]   This seems counterintuitive because they're usually more premium cards.
[00:57:48.880 --> 00:57:51.300]   Yet, we've now had four au pairs.
[00:57:51.300 --> 00:57:59.500]   And I have seen so many au pair mailers offering Amex Gold, Amex Platinum pre-approvals for them,
[00:57:59.500 --> 00:58:06.880]   despite that every single one of them moved to the U.S. within the last year and have no outstanding loans.
[00:58:07.060 --> 00:58:12.240]   And so, even with very little credit data, if not any credit data, they're getting some of these pre-approvals.
[00:58:12.240 --> 00:58:14.440]   Another one is the Capital One Quicksilver card.
[00:58:14.440 --> 00:58:18.400]   I think I've seen at least 15 letters for that in our mailbox for our au pairs.
[00:58:18.400 --> 00:58:20.080]   I would avoid Bank of America.
[00:58:20.080 --> 00:58:21.920]   I've heard that's not the best option.
[00:58:21.920 --> 00:58:24.420]   But there is a good hack here.
[00:58:24.420 --> 00:58:32.140]   To help someone improve their credit is to add them as an authorized user to a card of someone who has a lot of credit.
[00:58:32.680 --> 00:58:37.960]   Now, this is a little bit of a Your Mileage May Vary situation, but by adding someone as an authorized user,
[00:58:37.960 --> 00:58:46.580]   which for many cards can be done at ages well below 18, some of them at 13, some of them might have no minimum age,
[00:58:46.580 --> 00:58:50.160]   some issuers will backdate the user history.
[00:58:50.160 --> 00:58:57.420]   So, this isn't a published benefit, but if you go look at a lot of the MyFICO forums, which is like the Reddit for credit.
[00:58:57.420 --> 00:58:59.060]   I didn't mean to make that rhyme.
[00:58:59.060 --> 00:58:59.780]   I apologize.
[00:59:00.640 --> 00:59:08.020]   You'll see, and it says like Bank of America, Capital One, Chase, Citibank, Discover, Barclays,
[00:59:08.020 --> 00:59:12.440]   all seem to, definitely from some old forums, but backdate a user's history.
[00:59:12.440 --> 00:59:17.120]   So, what happens here is when I mentioned authorized user information,
[00:59:17.120 --> 00:59:22.400]   when you are added as an authorized user, that card now shows up on your credit report.
[00:59:22.800 --> 00:59:29.620]   So, if I have a particular credit card, I add my wife as an authorized user, that card now shows up on both of our credit reports.
[00:59:29.620 --> 00:59:34.220]   Now, let's say I've had that card for 10 years, and there's 10 years of great payment history.
[00:59:34.600 --> 00:59:37.480]   That credit card is going to show up on her credit report as well.
[00:59:37.480 --> 00:59:43.740]   And so, let's say you're an adult, and you've got 30 years of credit history, and you have a child who's just turning 18.
[00:59:43.740 --> 00:59:50.640]   Adding them as an authorized user, which you could have done when they were 15, that credit card will now show up on their credit report.
[00:59:50.760 --> 00:59:55.340]   And at least according to a lot of these forums, and in personal experience and anecdotes I've read,
[00:59:55.340 --> 00:59:57.280]   they're now going to have that credit history there.
[00:59:57.280 --> 01:00:02.820]   So, when I talked about how FICO and Vantage Scores, they need some number of months of credit history,
[01:00:02.820 --> 01:00:06.800]   this is a great way to jumpstart and boost that person's credit.
[01:00:06.800 --> 01:00:11.400]   Now, if you don't trust that person, you might not want to even give them the credit card to spend,
[01:00:11.400 --> 01:00:17.320]   have the authorized user card shipped to your address, don't even let them have access to the card if you don't want to,
[01:00:17.320 --> 01:00:20.400]   but it would really potentially boost their credit score.
[01:00:20.400 --> 01:00:25.020]   So, that's a great optimization and hack that I think is super helpful.
[01:00:25.020 --> 01:00:28.560]   Now, keep in mind, negative information is also shared.
[01:00:28.560 --> 01:00:34.580]   So, you definitely don't want to add someone to a credit card that has any negative payment history on there,
[01:00:34.580 --> 01:00:37.060]   or you might actually impact their score negatively.
[01:00:37.060 --> 01:00:43.060]   Now, I have read a lot of places that say Experian isn't including authorized user data on credit reports.
[01:00:43.060 --> 01:00:46.180]   There is a blog from this year that says it is included.
[01:00:46.740 --> 01:00:51.360]   So, I think a lot of this seems to be a little bit...
[01:00:51.360 --> 01:00:58.660]   Not gray area because it's not allowed or bad, but gray area because it's not an official rule that's published anywhere.
[01:00:59.920 --> 01:01:08.540]   But there is one more situation, which is, let's say you're someone from outside of the US and you just moved to the US and you don't have any credit, but you actually did overseas.
[01:01:08.540 --> 01:01:16.060]   There is a cool company and I actually got to know the founder because we went through a little bit of an incubator together and that's called Nova Credit.
[01:01:16.060 --> 01:01:27.560]   And what they use is they take credit reports from overseas bureaus around the world and if you have a great credit score there and you're able to confirm your address in the US,
[01:01:27.560 --> 01:01:36.380]   they can help translate that over right now to Amex and Verizon to be able to help you get approved for those loans.
[01:01:36.540 --> 01:01:46.480]   I think they also can sometimes work with auto loans and those kinds of things, but I know they have a partnership with Amex that makes it easier to get approved for an Amex card if you have good credit somewhere else.
[01:01:46.480 --> 01:01:52.480]   That's something else to keep in mind if you are non-US and you're moving to the US and you're trying to get access to credit.
[01:01:52.480 --> 01:01:58.120]   So that's all personal. I'll do a quick run through on business credit scores because I thought it was just fascinating.
[01:01:58.120 --> 01:02:02.300]   Just like there are multiple personal credit scores, there are several types of business credit scores.
[01:02:02.300 --> 01:02:07.300]   The main players here are Equifax, Experian, Dun & Bradstreet and LexisNexis.
[01:02:07.300 --> 01:02:14.120]   Though the Small Business Financial Exchange is actually a really important organization here that collects lending data,
[01:02:14.120 --> 01:02:18.740]   but it doesn't actually create reports and scores. It actually provides that data to some of those companies.
[01:02:19.480 --> 01:02:29.240]   Many of those reports include all the similar information, payment history, age of accounts, credit utilizations that you see on credit reports for personals, but for businesses.
[01:02:29.240 --> 01:02:37.360]   I pulled two of mine for my company, the one that this podcast operates under, because they were free from Bank of America and I got my scores there.
[01:02:37.360 --> 01:02:45.580]   I wanted to pull the full reports, but an interesting thing is that they are $50 to $200 each and the data is tied to the business.
[01:02:45.960 --> 01:02:55.100]   So I've opened some credit cards at different companies over my life and there's not always an easy way with a bank to change the business associated with a card.
[01:02:55.100 --> 01:03:06.420]   So for me to pull all my business credit reports, I'd actually have to pull them for four or five different businesses, which would cost, I don't know, anywhere from $300 to maybe $1,000.
[01:03:06.800 --> 01:03:20.980]   What I did do was pull the two most interesting ones that I could get for free, which were my Dun & Bradstreet delinquency predictor score, which was a 502, which according to their scale is of moderate risk.
[01:03:21.360 --> 01:03:29.500]   And the Dun & Bradstreet small business financial exchange score, which I got a 936, which puts me in the low risk camp.
[01:03:29.500 --> 01:03:32.140]   You can get those free if you have a Business Bank of America account.
[01:03:32.140 --> 01:03:35.340]   Otherwise, I think you have to pay for a lot of these.
[01:03:35.340 --> 01:03:45.060]   But one interesting thing I did notice was when I was searching every business that I've used, even if it was a sole proprietorship for opening a card, showed up when I searched.
[01:03:45.220 --> 01:03:47.380]   I think it was Experian for my business credit reports.
[01:03:47.380 --> 01:03:49.020]   I didn't pay for them, but they were all there.
[01:03:49.020 --> 01:03:55.940]   And I looked at this table, and I'll link to this article about which business credit cards report to rich reports.
[01:03:55.940 --> 01:04:11.240]   And one of the interesting things was while very few of them were reporting to personal, all the major banks that you could imagine, Capital One, Bank of America, Chase, Citi, Amex, Wells Fargo, they all report to the SBFE, the small business financial exchange.
[01:04:11.240 --> 01:04:16.040]   And so they seem to be the main source of all this information.
[01:04:16.040 --> 01:04:21.160]   Now, you can't pull that from anywhere, but that seems to be where all this information is going.
[01:04:21.160 --> 01:04:28.640]   And so if you wanted to pull a report, I would look at one that's backed by that data because they seem to have the most information.
[01:04:28.640 --> 01:04:32.640]   At least that's where most credit cards are reporting information to on the business side.
[01:04:32.640 --> 01:04:33.140]   All right.
[01:04:33.140 --> 01:04:35.440]   I think that's it.
[01:04:35.440 --> 01:04:38.160]   I tried to be as comprehensive as I could.
[01:04:38.160 --> 01:04:42.520]   I tried to cover everything I could find on credit scores, credit reports, how this impacts everything.
[01:04:42.520 --> 01:04:50.980]   I'm excited to talk about how application rules vary by bank and how you can use this data as you're playing this whole game of earning points and rewards.
[01:04:50.980 --> 01:04:54.520]   But for today, I really hope you found this valuable.
[01:04:54.520 --> 01:04:58.080]   If you have any questions, podcast at allthehacks.com.
[01:04:58.080 --> 01:04:59.800]   Otherwise, that's it for this week.
[01:04:59.800 --> 01:05:01.020]   I will see you next week.

