
[00:00:00.000 --> 00:00:09.680]   So today, it's my pleasure to welcome Joshua Batson from Anthropic.
[00:49:52.540 --> 00:50:07.540]   Um, I think one of my-- one of my favorite plots is not from the so-called biology paper, but is from the, um, sister paper, uh, here.
[00:50:07.540 --> 00:50:09.540]   Uh, let's find Copenhagen.
[00:50:09.540 --> 00:50:10.540]   Okay.
[00:50:10.540 --> 00:50:18.540]   So, like, on the left is if you do sort of-- you do this decomposition per layer.
[00:50:18.540 --> 00:50:20.540]   And on the right is you do the cross-layer thing.
[00:50:20.540 --> 00:50:25.540]   And, like, basically, you know, it's just, like, bouncing back around.
[00:50:25.540 --> 00:50:27.540]   You know, it's, like, the Copenhagen is, like, propagated.
[00:50:27.540 --> 00:50:28.540]   It's talking to Denmark.
[00:50:28.540 --> 00:50:31.540]   And it just, like, happens in, like, many, many places in the model.
[00:50:31.540 --> 00:50:34.540]   They all perform, you know, like, small improvements to it.
[00:50:34.540 --> 00:50:40.540]   Um, you know, there's another perspective here, which is, like, the, like, neural ODE, like, gradient flow perspective,
[00:50:40.540 --> 00:50:44.540]   where it's, like, all tiny adjustments in the same direction all the time.
[00:50:44.540 --> 00:50:47.540]   And I think the real models are somewhere in between.
[00:50:47.540 --> 00:50:50.540]   Okay.
[00:50:50.540 --> 00:50:53.540]   With the overlap of the features here, as the models get larger,
[00:50:53.540 --> 00:50:57.540]   you found, like, the change, like, data set varies significantly,
[00:50:57.540 --> 00:51:00.540]   or also, like, ordering in parts of the data set.
[00:51:00.540 --> 00:51:03.540]   Maybe you have a very different representation?
[00:51:03.540 --> 00:51:04.540]   Yeah.
[00:51:04.540 --> 00:51:08.540]   We haven't done systematic studies of, like, you know, data set ordering effect.
[00:51:08.540 --> 00:51:13.540]   Yeah, I guess, you're talking about, like, what's a machine fails.
[00:51:13.540 --> 00:51:17.540]   You mentioned that sometimes, like, the plots are, like, not difficult.
[00:51:17.540 --> 00:51:22.540]   I guess, I'm curious if you were out of the other where, like, the action should drafts look really compelling,
[00:51:22.540 --> 00:51:24.540]   but you're not even compelling.
[00:51:24.540 --> 00:51:25.540]   Like, we've maybe been lucky.
[00:51:25.540 --> 00:51:34.540]   You could have a plot where it's, like, how compelling was the hypothesis from the attribution graph?
[00:51:34.540 --> 00:51:37.540]   And then, like, how well did it work when you intervened?
[00:51:37.540 --> 00:51:39.540]   And the best ones did work.
[00:51:39.540 --> 00:51:43.540]   But there are some small failure cases we talk about.
[00:51:43.540 --> 00:51:44.540]   Okay.
[00:51:44.540 --> 00:51:48.540]   I want to dive into the parallel motif because I think it's actually super interesting.
[00:51:48.540 --> 00:51:50.540]   And it's a unique feature of the transformer architecture, right?
[00:51:50.540 --> 00:51:52.540]   It's massively parallel.
[00:51:52.540 --> 00:52:03.540]   So to give a really simple example of this, imagine that you want to add 100 numbers.
[00:52:03.540 --> 00:52:05.540]   So the easiest way to do it is you start with one.
[00:52:05.540 --> 00:52:06.540]   You add the next.
[00:52:06.540 --> 00:52:07.540]   You add the next to the sum.
[00:52:07.540 --> 00:52:08.540]   You add the next to the sum.
[00:52:08.540 --> 00:52:11.540]   And you do 100 serial steps.
[00:52:11.540 --> 00:52:16.540]   To do that with a transformer, it would need to be 100 layers deep.
[00:52:16.540 --> 00:52:23.540]   But there's another thing you can do, which is you could add pairs consecutively in one layer.
[00:52:23.540 --> 00:52:26.540]   And then add the pairs of pairs consecutively in the next.
[00:52:26.540 --> 00:52:29.540]   And then the pairs of those pairs in the next.
[00:52:29.540 --> 00:52:34.540]   And so in log n depth, you could add up the 100 numbers.
[00:52:34.540 --> 00:52:39.540]   And, you know, given the depth constraints here and the sophistication of what we ask these models to do,
[00:52:39.540 --> 00:52:42.540]   you know, it makes sense that they would attempt to do many things at once,
[00:52:42.540 --> 00:52:44.540]   pre-compute things you might need, kind of slap them all together.
[00:52:44.540 --> 00:52:46.540]   And I'll give you a few examples of this.
[00:52:46.540 --> 00:52:52.540]   So if you ask the model to add 36 and 59, it will say 95.
[00:52:52.540 --> 00:52:55.540]   If you ask it how it did that, it will say it used the standard carrying algorithm,
[00:52:55.540 --> 00:52:57.540]   which is not true.
[00:52:57.540 --> 00:52:59.540]   What happens is somewhat more like this.
[00:52:59.540 --> 00:53:05.540]   So first, it parses out each number into, like, there's some component where it's like literally 59,
[00:53:05.540 --> 00:53:09.540]   59, but there's also something for all numbers ending in 9.
[00:53:09.540 --> 00:53:12.540]   And something which is like that number range and the same up there.
[00:53:12.540 --> 00:53:14.540]   And then you kind of have two streams.
[00:53:14.540 --> 00:53:18.540]   One where it's getting the last digit, right?
[00:53:18.540 --> 00:53:21.540]   And then another on top where it's getting the magnitude, right?
[00:53:21.540 --> 00:53:28.540]   And even inside the magnitude, there's sort of like a narrow band magnitude and a really wide band magnitude.
[00:53:28.540 --> 00:53:33.540]   And then those give you a sort of medium band.
[00:53:33.540 --> 00:53:38.540]   And then if the sum is in this range and it ends in a 5, then it's actually 95.
[00:53:38.540 --> 00:53:45.540]   That narrows it down and then it gives you the answer, which is cool.
[00:53:45.540 --> 00:53:47.540]   It's not how I would do it.
[00:53:47.540 --> 00:53:53.540]   But then again, it wasn't trained by like a teacher being like, here's something to do.
[00:53:53.540 --> 00:53:57.540]   It just got like whacked every time it got it wrong.
[00:53:57.540 --> 00:53:59.540]   Or like rewarded every time it got it right, right?
[00:53:59.540 --> 00:54:00.540]   In training.
[00:54:00.540 --> 00:54:04.540]   And, you know, I don't think we're going to have this next in here.
[00:54:04.540 --> 00:54:11.540]   So I want to show you one of my favorite things from the addition section.
[00:54:11.540 --> 00:54:16.540]   Which is like, OK, so, you know, there's a feature in here.
[00:54:16.540 --> 00:54:22.540]   OK, like if anybody here like, I feel like this is like a word cell shape rotator test.
[00:54:22.540 --> 00:54:27.540]   So for the shape rotators who like kind of mathematical thinking, like I love this section.
[00:54:27.540 --> 00:54:32.540]   So this is like, this is the graphs we make to visualize on the arithmetic prompts.
[00:54:32.540 --> 00:54:37.540]   This is like, is it active on the prompt A plus B for A and B and 1 to 100?
[00:54:37.540 --> 00:54:38.540]   That's a grid.
[00:54:38.540 --> 00:54:43.540]   And so vertical lines mean like when the second operand is in a range, it's active.
[00:54:43.540 --> 00:54:48.540]   You know, these dots is like, is it a 6 and a 9?
[00:54:48.540 --> 00:54:49.540]   You know, so there's a grid.
[00:54:49.540 --> 00:54:50.540]   There's a grid.
[00:54:50.540 --> 00:54:50.540]   There's bands.
[00:54:50.540 --> 00:54:54.540]   You know, a band here is a line x plus y equals constant.
[00:54:54.540 --> 00:54:55.540]   Right?
[00:54:55.540 --> 00:54:56.540]   And so those are where the sum is.
[00:54:56.540 --> 00:54:59.540]   So we were looking at this to sort of figure out what these did.
[00:54:59.540 --> 00:55:01.540]   But this feature here I really like.
[00:55:01.540 --> 00:55:06.540]   So everything in the graph you can hover over, which is kind of neat, and see the feature.
[00:55:06.540 --> 00:55:10.540]   And we looked at cases in the data set when this thing was active.
[00:55:10.540 --> 00:55:11.540]   OK?
[00:55:11.540 --> 00:55:16.540]   So on this narrow domain, it's active when things ending in 6 get added to things ending in 9.
[00:55:16.540 --> 00:55:19.540]   But on the data set it's active in like all these other cases.
[00:55:19.540 --> 00:55:27.540]   So this is like, finest order in fragments, federal proceedings, volume 35.
[00:55:27.540 --> 00:55:28.540]   It's like, OK.
[00:55:28.540 --> 00:55:34.540]   So in some sense, that has to be a 9 plus a 6.
[00:55:34.540 --> 00:55:38.540]   This is the volume 35, supposedly, if this interpretation is correct.
[00:55:38.540 --> 00:55:41.540]   Here's just like a list of numbers.
[00:55:41.540 --> 00:55:44.540]   There's more journals.
[00:55:44.540 --> 00:55:47.540]   There's like these coordinates.
[00:55:47.540 --> 00:55:52.540]   And so the claim here, if our method is working, is that there's one component that in this context
[00:55:52.540 --> 00:55:54.540]   means ends in 6 plus ends in 9.
[00:55:54.540 --> 00:55:56.540]   But it's also active in these.
[00:55:56.540 --> 00:56:02.540]   So this is really working if secretly every one of these examples is the model adding a 6 to a 9.
[00:56:02.540 --> 00:56:07.540]   And it's going to reuse the module for doing that across those examples.
[00:56:07.540 --> 00:56:09.540]   And so we dug in.
[00:56:09.540 --> 00:56:15.540]   And I couldn't really understand these.
[00:56:15.540 --> 00:56:24.540]   So here's one example where this is the token where that feature was active.
[00:56:24.540 --> 00:56:29.540]   And I just put it in Claude.
[00:56:29.540 --> 00:56:31.540]   And I was like, what is this?
[00:56:31.540 --> 00:56:35.540]   And it's like, ah, this is a table of astronomical measurements.
[00:56:35.540 --> 00:56:38.540]   And it's split it out in like a nicely formatted table.
[00:56:38.540 --> 00:56:43.540]   And the first two columns are the start and end time of an observation period.
[00:56:43.540 --> 00:56:52.540]   And this is the minutes of an end time that it's predicting.
[00:56:52.540 --> 00:57:00.540]   And if you read down the table, the start to end interval is like 38 minutes, 37 minutes.
[00:57:00.540 --> 00:57:05.540]   But it creeps up over the course of the experiment to be like just under 39 minutes.
[00:57:05.540 --> 00:57:12.540]   And this measurement interval started at a minute with a 6.
[00:57:12.540 --> 00:57:17.540]   And the 6 plus the 9 equals ending in a 5.
[00:57:17.540 --> 00:57:23.540]   And so the model was just like gutting out next token predictions for like arbitrary sequences
[00:57:23.540 --> 00:57:24.540]   that data was trained on.
[00:57:24.540 --> 00:57:29.540]   And learned in that, of course, to recognize the context of what it's supposed to do.
[00:57:29.540 --> 00:57:32.540]   But then it needs a bit where it has like the arithmetic table.
[00:57:32.540 --> 00:57:33.540]   Right?
[00:57:33.540 --> 00:57:35.540]   Like 6 plus 9, you just got to look it up.
[00:57:35.540 --> 00:57:37.540]   So it has that somewhere.
[00:57:37.540 --> 00:57:43.540]   And it's using that same lookup in this like very different context where it needs to add those things.
[00:57:43.540 --> 00:57:47.540]   This was another one where it turned out this was a table.
[00:57:47.540 --> 00:57:48.540]   And it's predicting this amount.
[00:57:48.540 --> 00:57:51.540]   And these are arithmetic sequences.
[00:57:51.540 --> 00:57:58.540]   This is, I guess, the total cost that's going up.
[00:57:58.540 --> 00:58:05.540]   And so the amount that it's going up by, you know, is this where you're carrying.
[00:58:05.540 --> 00:58:09.540]   That's about 9,000 plus 26,000, 35,000.
[00:58:09.540 --> 00:58:14.540]   This was maybe my favorite where like why is it firing here to predict the year?
[00:58:14.540 --> 00:58:17.540]   And the answer is because it's volume 36.
[00:58:17.540 --> 00:58:23.540]   This journal was founded in-- the first edition was in 1960.
[00:58:23.540 --> 00:58:26.540]   So the 0th would have been in 1959.
[00:58:26.540 --> 00:58:30.540]   59 plus 36 is 95.
[00:58:30.540 --> 00:58:33.540]   And so it's using the same little bit to do the addition there.
[00:58:33.540 --> 00:58:34.540]   Right?
[00:58:34.540 --> 00:58:40.540]   And so I think when we talk about generalization like, you know, and the abstraction,
[00:58:40.540 --> 00:58:44.540]   this was for me like a pretty moving example where I was like, okay, like did learn this little thing.
[00:58:44.540 --> 00:58:51.540]   But then it's using it all over the place.
[00:58:51.540 --> 00:58:54.540]   Okay, that's maybe like not the most like mission critical thing in the world.
[00:58:54.540 --> 00:58:56.540]   So let's talk about hallucinations.
[00:58:56.540 --> 00:58:59.540]   So models, they're great.
[00:58:59.540 --> 00:59:02.540]   They'll always answer your question.
[00:59:02.540 --> 00:59:03.540]   But sometimes they're wrong.
[00:59:03.540 --> 00:59:06.540]   And that is just because of like pre-training.
[00:59:06.540 --> 00:59:09.540]   Like they're meant to just predict a plausible next thing.
[00:59:09.540 --> 00:59:10.540]   Okay?
[00:59:10.540 --> 00:59:11.540]   Great.
[00:59:11.540 --> 00:59:12.540]   Like it should say something.
[00:59:12.540 --> 00:59:14.540]   If it knows nothing, it should just give a name.
[00:59:14.540 --> 00:59:17.540]   If it knows like anything, it should give like, you know, a name in the correct language.
[00:59:17.540 --> 00:59:18.540]   Right?
[00:59:18.540 --> 00:59:23.540]   If it knows more, maybe like a common name from the era or like just some basketball player or whatever.
[00:59:23.540 --> 00:59:24.540]   Right?
[00:59:24.540 --> 00:59:25.540]   And so that's what it's trained to do.
[00:59:25.540 --> 00:59:31.540]   And then you're like, you go to fine tuning and you're like, no, like I want you to be an assistant character.
[00:59:31.540 --> 00:59:32.540]   Not just a generic simulator.
[00:59:32.540 --> 00:59:33.540]   Not just a generic simulator.
[00:59:33.540 --> 00:59:36.540]   And when you simulate the assistant, I want the assistant to say, I don't know.
[00:59:36.540 --> 00:59:40.540]   Like when the base model certainty is somehow, you know, low.
[00:59:40.540 --> 00:59:42.540]   And that's like a big switch to try to make.
[00:59:42.540 --> 00:59:45.540]   And so we were curious, like how does that happen?
[00:59:45.540 --> 00:59:46.540]   Right?
[00:59:46.540 --> 00:59:50.540]   How does this like, you know, refusal to speculate get fine tuned in?
[00:59:50.540 --> 00:59:57.540]   And then when, why does that fail?
[00:59:57.540 --> 01:00:03.540]   And so here's sort of two prompts that get at this.
[01:00:03.540 --> 01:00:05.540]   One is, what sport does Michael Jordan play?
[01:00:05.540 --> 01:00:06.540]   Answer in one word.
[01:00:06.540 --> 01:00:07.540]   It says basketball.
[01:00:07.540 --> 01:00:09.540]   The other is, what sport does Michael Batkin play?
[01:00:09.540 --> 01:00:11.540]   Which is just the person we made up.
[01:00:11.540 --> 01:00:12.540]   Answer in one word.
[01:00:12.540 --> 01:00:13.540]   And it says, I apologize.
[01:00:13.540 --> 01:00:16.540]   I can't find a definitive record of a sports figure named Michael Batkin.
[01:00:16.540 --> 01:00:17.540]   Okay.
[01:00:17.540 --> 01:00:22.540]   So here, these graphs are a little bit different.
[01:00:22.540 --> 01:00:24.540]   They've got suppressive edges highlighted here.
[01:00:24.540 --> 01:00:27.540]   You know, this is common in neuroscience, like inhibition.
[01:00:27.540 --> 01:00:33.540]   And we've drawn some features that aren't active on this prompt, but are on this one and vice versa.
[01:00:33.540 --> 01:00:35.540]   So if they're in gray, it means it's inactive here.
[01:00:35.540 --> 01:00:40.540]   But part of the reason it's inactive in particular is it's being suppressed by something that is active.
[01:00:40.540 --> 01:00:45.540]   And what we found was sort of this cluster of four features in the middle.
[01:00:45.540 --> 01:00:48.540]   You know, Michael Jordan.
[01:00:48.540 --> 01:00:55.540]   And then we have, like, a feature for, like, it's active when the model recognizes, you know, answers to questions.
[01:00:55.540 --> 01:00:58.540]   There's another feature for, like, unknown names.
[01:00:58.540 --> 01:01:01.540]   And then there's a generic feature for, like, I can't answer that.
[01:01:01.540 --> 01:01:07.540]   And that generic feature I can't answer is just fueled by the assistant, which is always on when the model's answering.
[01:01:07.540 --> 01:01:12.540]   So it's just, like, there's just an always I don't know to any question.
[01:01:12.540 --> 01:01:17.540]   And then that gets downmodulated when it recalls something about a person.
[01:01:17.540 --> 01:01:22.540]   So when Michael Jordan is there, that suppresses the unknown name, boosts the known answer.
[01:01:22.540 --> 01:01:24.540]   Both of those suppress the can't answer.
[01:01:24.540 --> 01:01:30.540]   And that leaves room for the path of actually recalling the answer to come through.
[01:01:30.540 --> 01:01:32.540]   And it can say basketball.
[01:01:32.540 --> 01:01:37.540]   So that's a cool strategy.
[01:01:37.540 --> 01:01:45.540]   But getting back to model depth, there's an interesting problem, which is that, like, it might take a while for the model to come up with an answer.
[01:01:45.540 --> 01:01:49.540]   But it also would have to, like, at some point decide to refuse and, like, get that going.
[01:01:49.540 --> 01:01:50.540]   And those are happening in parallel.
[01:01:50.540 --> 01:01:57.540]   So you could have a little bit of a mismatch where, like, by the, you know, it has to decide now whether or not it's going to answer or not.
[01:01:57.540 --> 01:02:01.540]   But it hasn't, like, done all that it can do to get a good answer.
[01:02:01.540 --> 01:02:02.540]   Right?
[01:02:02.540 --> 01:02:06.540]   And so you can get some divergence where for very hard questions, for example, but it still might know.
[01:02:06.540 --> 01:02:08.540]   It has to be like, okay, do I think I'm going to get there?
[01:02:08.540 --> 01:02:13.540]   And that's, like, a little bit of a tricky knot, but can't fully self-reflect on the answer before saying it.
[01:02:13.540 --> 01:02:17.540]   And so, okay, this is just the intervention.
[01:02:17.540 --> 01:02:20.540]   You juice the known answer, and it will hallucinate.
[01:02:20.540 --> 01:02:22.540]   That might go back and play chess.
[01:02:22.540 --> 01:02:29.540]   So this is a fun one.
[01:02:29.540 --> 01:02:37.540]   So if you ask for a paper by Andre Karpathy, formerly of Stanford, it gives a very famous paper that he didn't write.
[01:02:37.540 --> 01:02:39.540]   Why is that?
[01:02:39.540 --> 01:02:45.540]   Well, it's like, trust me, I've heard of Andre Karpathy, like, from the name.
[01:02:45.540 --> 01:02:49.540]   But then there's the part which is trying to, like, recall the paper.
[01:02:49.540 --> 01:02:53.540]   And then it gives that answer.
[01:02:53.540 --> 01:02:54.540]   Right?
[01:02:54.540 --> 01:02:56.540]   And then, actually, it says that.
[01:02:56.540 --> 01:02:58.540]   And then, you know, I think it's covered up here.
[01:02:58.540 --> 01:03:00.540]   But then, like, if you're like, are you sure?
[01:03:00.540 --> 01:03:02.540]   It's like, no, I don't really think he wrote that.
[01:03:02.540 --> 01:03:10.540]   Because at that point, then the model as an input gets both the person and the paper and can, like, do calculation earlier in the network again.
[01:03:10.540 --> 01:03:11.540]   Now we can juice this.
[01:03:11.540 --> 01:03:16.540]   We can suppress the known answer bit.
[01:03:16.540 --> 01:03:22.540]   And eventually it will apologize and refuse.
[01:03:22.540 --> 01:03:28.540]   There's a fun one in the paper where the model hasn't heard of me.
[01:03:28.540 --> 01:03:29.540]   I didn't write that section.
[01:03:29.540 --> 01:03:30.540]   Jack wrote that section.
[01:03:30.540 --> 01:03:34.540]   And it refuses to speculate about papers I've written.
[01:03:34.540 --> 01:03:44.540]   And then if you turn off the, like, unknown entity and you, like, give the known answer, then it says I'm famous for inventing the Batson principle, which I hope to one day do.
[01:03:44.540 --> 01:03:45.540]   OK.
[01:03:45.540 --> 01:03:49.540]   So there's a lot more we could talk about here.
[01:03:49.540 --> 01:03:52.540]   I'm just going to, like, speed run these for vibes.
[01:03:52.540 --> 01:03:54.540]   And you can, like, read the paper where we do a lot more.
[01:03:54.540 --> 01:03:56.540]   There's jailbreaks trying to understand how they work.
[01:03:56.540 --> 01:04:01.540]   And, you know, some of it is, like, you get the model to say something without yet recognizing what it's saying.
[01:04:01.540 --> 01:04:05.540]   And then once it's said it, it's kind of, like, on that track.
[01:04:05.540 --> 01:04:09.540]   And it has to balance being coherent verbally with, like, I shouldn't say that.
[01:04:09.540 --> 01:04:11.540]   And it takes a while for it to cut itself off.
[01:04:11.540 --> 01:04:19.540]   And we find that if we suppress punctuation, which would be an appropriate grammatical time to cut yourself off, you can get it to, like, keep doing more of the jailbreak.
[01:04:19.540 --> 01:04:22.540]   And that's a competing mechanism thing, right?
[01:04:22.540 --> 01:04:24.540]   There's a part which is recognizing what am I talking about?
[01:04:24.540 --> 01:04:25.540]   What should I do?
[01:04:25.540 --> 01:04:26.540]   And then there's a part which is completing it.
[01:04:26.540 --> 01:04:30.540]   And they're fighting for who's going to win.
[01:04:30.540 --> 01:04:31.540]   OK.
[01:04:31.540 --> 01:04:40.540]   Do you know if, like, in the process of the model to plan ahead, it really, like, gets open to the example?
[01:04:40.540 --> 01:04:41.540]   Cool.
[01:04:41.540 --> 01:04:42.540]   Let's talk about planning.
[01:04:42.540 --> 01:04:43.540]   Yeah.
[01:04:43.540 --> 01:04:44.540]   OK.
[01:04:44.540 --> 01:04:47.540]   So I think it might be very disappointed if I didn't talk about this one.
[01:04:47.540 --> 01:04:51.540]   So this is a poem, a rhyming couplet written by Claude.
[01:04:51.540 --> 01:04:54.540]   He saw a carrot and had to grab it.
[01:04:54.540 --> 01:04:59.540]   Hunger was like a starving rabbit.
[01:04:59.540 --> 01:05:02.540]   It's, like, kind of good.
[01:05:02.540 --> 01:05:06.540]   So how does it do this?
[01:05:06.540 --> 01:05:07.540]   Right?
[01:05:07.540 --> 01:05:08.540]   It's, like, kind of tricky, right?
[01:05:08.540 --> 01:05:13.540]   Because to write a rhyming thing, you better end with a word that rhymes, right?
[01:05:13.540 --> 01:05:16.540]   But you also need to, like, have it kind of make semantic sense.
[01:05:16.540 --> 01:05:24.540]   And if you wait to the very end, you can back yourself into a corner where there's no next word that would be, like, metrically correct and rhyme that would make sense.
[01:05:24.540 --> 01:05:29.540]   You kind of, you know, logically should be thinking ahead a little bit of, like, where you're trying to go.
[01:05:29.540 --> 01:05:31.540]   And we do see this.
[01:05:31.540 --> 01:05:34.540]   So actually, he saw a carrot and had to grab it.
[01:05:34.540 --> 01:05:35.540]   New line.
[01:05:35.540 --> 01:05:45.540]   And so on that new line token, it's actually-- there's a feature for, like, you know, things rhyming with it.
[01:05:45.540 --> 01:05:48.540]   So this is, like, after words ending in it or eat in poems.
[01:05:48.540 --> 01:05:51.540]   And those feed into rabbit and habit features.
[01:05:51.540 --> 01:05:57.540]   And then the rabbit feature is sort of being used to get starving and then ultimately rabbit.
[01:05:57.540 --> 01:06:03.540]   And we can suppress these.
[01:06:03.540 --> 01:06:12.540]   So if we suppress the rhyming with it thing, we get blabber, grabber, salad bar.
[01:06:12.540 --> 01:06:15.540]   And that's because the ab sound is still there.
[01:06:15.540 --> 01:06:17.540]   So it'll just, like, rhyme with the ab part.
[01:06:17.540 --> 01:06:26.540]   If we inject green, you know, it will now write a line ending-- or rhyming with green.
[01:06:26.540 --> 01:06:28.540]   Sometimes ending with it.
[01:06:28.540 --> 01:06:31.540]   If we put in a rhyme with a different thing, it'll sort of go with E.
[01:06:31.540 --> 01:06:33.540]   I think-- I don't know if we have it here.
[01:06:33.540 --> 01:06:38.540]   But if you just literally suppress the rabbit, it will make something ending in habit when it rhymes.
[01:06:38.540 --> 01:06:39.540]   And this was pretty neat.
[01:06:39.540 --> 01:06:41.540]   This is like the smoking gun.
[01:06:41.540 --> 01:06:42.540]   This is like, oh, OK.
[01:06:42.540 --> 01:06:45.540]   Like, literally, here's a model component.
[01:06:45.540 --> 01:06:51.540]   When we look at the data set examples when this is active, it's literal instances of the word rabbit and bunny.
[01:06:51.540 --> 01:06:55.540]   A forward pass on this model, that feature is active.
[01:06:55.540 --> 01:06:57.540]   On the new line at the end of the sentence.
[01:06:57.540 --> 01:07:00.540]   And the model writes a rhyme ending in rabbit.
[01:07:00.540 --> 01:07:03.540]   And if we turn this off, then it, like, doesn't do that anymore.
[01:07:03.540 --> 01:07:06.540]   So it's, like, very definitely thinking about, like, that is a place to take this.
[01:07:06.540 --> 01:07:09.540]   And then that influences the line that's coming out.
[01:07:09.540 --> 01:07:15.540]   And so that's a place where, even though it's saying one token at a time, it's, like, has done some planning in some sense.
[01:07:15.540 --> 01:07:16.540]   Like, here's a target destination.
[01:07:16.540 --> 01:07:22.540]   And then, like, writing something to get there.
[01:07:22.540 --> 01:07:23.540]   There's equivalent things.
[01:07:23.540 --> 01:07:25.540]   There's an incredible thing with unfaithfulness.
[01:07:25.540 --> 01:07:28.540]   I'll just say sometimes the model is lying to you.
[01:07:28.540 --> 01:07:31.540]   And if you look at how it got to its answer, you can tell.
[01:07:31.540 --> 01:07:37.540]   In this case, it's using a hint and working backwards from the hint so that its math answer will agree with you.
[01:07:37.540 --> 01:07:47.540]   And you can tell because you can literally see, like, you can see it taking your hint, which is the number four, working backwards to divide by five to give you a .8.
[01:07:47.540 --> 01:07:52.540]   So when you multiply by five, you will get four and it will agree with you, which is not what you want.
[01:07:52.540 --> 01:07:58.540]   What you would want is something like this, where it is only using information from the question to give you the answer to the question.
[01:07:58.540 --> 01:08:01.540]   But if you just look at the explanations, they look the same.
[01:08:01.540 --> 01:08:03.540]   They look like it's doing math, right?
[01:08:03.540 --> 01:08:09.540]   And so here there's a competing thing of, like, should I use the hint, which would have made sense in pre-training.
[01:08:09.540 --> 01:08:12.540]   It'd let you guess the answer better and you're rewarded if you say the next token.
[01:08:12.540 --> 01:08:15.540]   Well, so maybe the human's right and you should use the hint.
[01:08:15.540 --> 01:08:17.540]   Should I do the math actually?
[01:08:17.540 --> 01:08:19.540]   And these are competing strategies.
[01:08:19.540 --> 01:08:21.540]   They're happening kind of at the same time.
[01:08:21.540 --> 01:08:25.540]   On the right, you know, this one wins.
[01:08:25.540 --> 01:08:27.540]   One question.
[01:08:27.540 --> 01:08:29.540]   So what makes it better?
[01:08:29.540 --> 01:08:31.540]   How does that work?
[01:08:31.540 --> 01:08:32.540]   Yeah.
[01:08:32.540 --> 01:08:33.540]   Because they're both available.
[01:08:33.540 --> 01:08:34.540]   Yes.
[01:08:34.540 --> 01:08:38.540]   How does it come into this, like, oh, obviously there's more time constraint.
[01:08:38.540 --> 01:08:39.540]   Yes.
[01:08:39.540 --> 01:08:42.540]   Is there some incentive or motivation driving that?
[01:08:42.540 --> 01:08:46.540]   I think, like, that's the question.
[01:08:46.540 --> 01:08:55.540]   So I think, you know, I think in this paper we really did-- we were able to say, like, which strategies were used when it got to this answer.
[01:08:55.540 --> 01:08:58.540]   But the why, I don't think we've really nailed down.
[01:08:58.540 --> 01:09:03.540]   You know, I think that, to some extent, it could be we could look at some of this more carefully.
[01:09:03.540 --> 01:09:05.540]   I think in the hallucination case, we had a bit of a hint, right?
[01:09:05.540 --> 01:09:07.540]   It was, like, recognizing the entity.
[01:09:07.540 --> 01:09:09.540]   So I'm going to do the refusal thing or let it through.
[01:09:09.540 --> 01:09:16.540]   Here, though, my strong suspicion is that, like, it's just doing both.
[01:09:16.540 --> 01:09:21.540]   But in a case where it's more confident in one answer, that shouts louder.
[01:09:21.540 --> 01:09:23.540]   So it doesn't know what the cosine of this is.
[01:09:23.540 --> 01:09:26.540]   So all that's left is following the hint.
[01:09:26.540 --> 01:09:30.540]   But I think a big caveat is that, like, we're not modeling attention at all.
[01:09:30.540 --> 01:09:32.540]   And attention is very good at selecting, right?
[01:09:32.540 --> 01:09:34.540]   You've got this QK gating, right?
[01:09:34.540 --> 01:09:36.540]   That's, like, a bilinear, you know, bilinear thing.
[01:09:36.540 --> 01:09:38.540]   You could really pick with that.
[01:09:38.540 --> 01:09:40.540]   And we're not modeling how those choices are made.
[01:09:40.540 --> 01:09:44.540]   So I wouldn't be surprised if, for a lot of these, attention is crucially involved in choosing
[01:09:44.540 --> 01:09:49.540]   what strategy to use while the MLPs are heavily involved in executing on those strategies.
[01:09:49.540 --> 01:09:55.540]   And in that case, we would be totally blind to what's going on here.
[01:09:55.540 --> 01:10:07.540]   I mean, that's, like, a billion-dollar question.
[01:10:07.540 --> 01:10:10.540]   I literally knew the answer to that, and it worked really well.
[01:10:10.540 --> 01:10:11.540]   I couldn't tell you.
[01:10:11.540 --> 01:10:15.540]   I would just, like, go make Claude the best model in the world because it's always accurate.
[01:10:15.540 --> 01:10:17.540]   But I don't know the answer, so I can speculate.
[01:10:17.540 --> 01:10:24.540]   I mean, I think, like, it is, in some sense, an impossible problem for exactly this reason.
[01:10:24.540 --> 01:10:30.540]   And so I think, like, you could try to train better and have the models be better calibrated on this health knowledge.
[01:10:30.540 --> 01:10:35.540]   You could, you know, I think with the thinking tags, basically, with, like, the reasoning models,
[01:10:35.540 --> 01:10:38.540]   there's a straightforward way where you do let the model check things.
[01:10:38.540 --> 01:10:43.540]   And I think models are much better on reflection than they are on the forward pass
[01:10:43.540 --> 01:10:47.540]   because I think one forward pass is just limited for, like, these physical reasons.
[01:10:47.540 --> 01:10:55.540]   I think as an effective strategy, that might be more the way than, like, not allowing, like, how do you keep the creativity?
[01:10:55.540 --> 01:10:58.540]   And another possibility is you could make the model dumber somehow.
[01:10:58.540 --> 01:11:06.540]   So maybe you could make a model which doesn't hallucinate but it's just dumber because it uses a bunch more capacity just for, like, checking itself in the forward pass.
[01:11:06.540 --> 01:11:13.540]   And it could be when models are smart enough, people might take that trade off.
[01:11:13.540 --> 01:11:18.540]   Yeah, I think that's one of the sins here.
[01:11:18.540 --> 01:11:22.540]   It's possible that, like, with a recurrent thing, you could just give it a few more loops to check stuff.
