
[00:00:00.000 --> 00:00:09.000]   When you're in winter's favorite town, the snow-covered mountains surround you.
[00:58:30.000 --> 00:58:32.000]   Don't ever settle with just one quote.
[00:58:32.000 --> 00:58:40.000]   If you get raided, remember, when you first make the application for your insurance contract, submit a premium and a check.
[00:58:40.000 --> 00:58:43.000]   Sorry, same thing. Submit a check and make the application.
[00:58:43.000 --> 00:58:50.000]   That puts the insurance in force on a conditional basis and that buys you several weeks for you to shop for a better deal.
[00:58:50.000 --> 00:58:59.000]   And usually the agent can sit on the file for a couple of days in their office while you're waiting on responses back from other companies before they either have to deliver the policy and you have to reject it or accept it.
[00:58:59.000 --> 00:59:03.000]   But go ahead, make the application with the company that you think is the best deal.
[00:59:03.000 --> 00:59:06.000]   Find the coverage by sending in the first month's premium.
[00:59:06.000 --> 00:59:09.000]   If you don't accept the policy, it's all refunded to you.
[00:59:09.000 --> 00:59:18.000]   And then shop heavily because with different conditions, there will be different companies that will help you get what you need.
[00:59:18.000 --> 00:59:20.000]   That's it for today's Q&A show. I love doing these shows.
[00:59:20.000 --> 00:59:23.000]   I would really love to talk to you next week.
[00:59:23.000 --> 00:59:27.000]   So please come on by at radicalpersonalfinance.com/patron.
[00:59:27.000 --> 00:59:29.000]   Sign up to become a patron of the show.
[00:59:29.000 --> 00:59:32.000]   And next week, call in and ask me your question.
[00:59:32.000 --> 00:59:38.000]   Radicalpersonalfinance.com/patron so that next week you can be on our Friday Q&A.
[00:59:38.000 --> 00:59:40.000]   Have a great weekend, everybody.
[00:59:41.000 --> 00:59:44.000]   [music]
[00:59:44.000 --> 00:59:54.000]   When you're in winter's favorite town, the snow-covered mountains surround you.
[00:59:54.000 --> 00:59:59.000]   A historic Main Street charms you.
[00:59:59.000 --> 01:00:04.000]   And every day brings a new adventure.
[01:00:04.000 --> 01:00:11.000]   Welcome to Park City, Utah, naturally winter's favorite town.
[01:00:11.000 --> 01:00:14.000]   Join the experience at visitparkcity.com.

