
[00:00:00.000 --> 00:00:01.400]   OK, hi, everybody.
[00:40:37.920 --> 00:40:39.880]   get the weather in the given location.
[00:40:39.880 --> 00:40:41.640]   So there's a tool called getWeather.
[00:40:41.640 --> 00:40:43.080]   And then how would it work?
[00:40:43.080 --> 00:40:43.760]   I don't know.
[00:40:43.760 --> 00:40:48.120]   It would call some other weather API or something.
[00:40:48.120 --> 00:40:53.160]   So both in OpenAI and in Lord, tools
[00:40:53.160 --> 00:40:56.720]   are specified using this particular format, which
[00:40:56.720 --> 00:40:57.960]   is called JSON schema.
[00:40:57.960 --> 00:41:06.760]   And my goal is that you should never have to think about that.
[00:41:06.760 --> 00:41:08.240]   For some reason, nearly everything
[00:41:08.240 --> 00:41:10.680]   you see in all of their documentation
[00:41:10.680 --> 00:41:12.440]   writes this all out manually, which
[00:41:12.440 --> 00:41:14.160]   I think is pretty horrible.
[00:41:14.160 --> 00:41:17.240]   So instead, we're going to create a very complicated tool.
[00:41:17.240 --> 00:41:20.160]   It's something that adds two things together.
[00:41:20.160 --> 00:41:22.240]   And so I think the right way to create a tool
[00:41:22.240 --> 00:41:23.840]   is to just create a Python function.
[00:41:26.600 --> 00:41:33.280]   So the thing about these tools, as you see from their example,
[00:41:33.280 --> 00:41:38.240]   is they really care a lot about descriptions of the tool,
[00:41:38.240 --> 00:41:40.520]   descriptions of each parameter.
[00:41:40.520 --> 00:41:44.720]   And they say quite a lot in their documentation
[00:41:44.720 --> 00:41:48.640]   about how important all these details are to provide.
[00:41:48.640 --> 00:41:56.040]   So luckily, I wrote a thing a couple of years
[00:41:56.040 --> 00:41:59.640]   ago called Documents that makes it really easy to add
[00:41:59.640 --> 00:42:02.520]   information to your functions.
[00:42:02.520 --> 00:42:05.480]   And it basically uses built-in Python stuff.
[00:42:05.480 --> 00:42:07.280]   So the names of each parameter is just
[00:42:07.280 --> 00:42:08.360]   the name of the parameter.
[00:42:08.360 --> 00:42:10.400]   The type of the parameter is the type.
[00:42:10.400 --> 00:42:12.320]   The default of the parameter is the default.
[00:42:12.320 --> 00:42:13.820]   And the description of the parameter
[00:42:13.820 --> 00:42:15.920]   is the comment that you put after it.
[00:42:15.920 --> 00:42:20.400]   Or if you want more room, you can put the comment before it.
[00:42:20.400 --> 00:42:23.600]   Documents is happy with either.
[00:42:23.600 --> 00:42:27.280]   And you can also put a description of the result.
[00:42:27.280 --> 00:42:29.760]   You can also put a description of the function.
[00:42:29.760 --> 00:42:36.480]   And so if you do all those things, then you can see here.
[00:42:36.480 --> 00:42:38.040]   I said tools equals getSchema.
[00:42:38.040 --> 00:42:40.120]   So this is the thing that creates the JSON schema.
[00:42:40.120 --> 00:42:42.680]   So if I say tools, there you go.
[00:42:42.680 --> 00:42:46.480]   You can see it's created the JSON schema from that,
[00:42:46.480 --> 00:42:50.760]   including the comments have all appeared.
[00:42:50.760 --> 00:42:56.600]   And the return comment ends up in this returns.
[00:42:56.600 --> 00:42:57.240]   Yeah.
[00:42:57.240 --> 00:42:58.720]   And if you didn't do any of that,
[00:42:58.720 --> 00:43:00.520]   like if you just wrote a function sums that
[00:43:00.520 --> 00:43:02.920]   took two untyped variables A and B,
[00:43:02.920 --> 00:43:04.880]   you would still get something functional.
[00:43:04.880 --> 00:43:07.240]   The model would probably still be able to use it.
[00:43:07.240 --> 00:43:08.880]   But it just wouldn't be recommended.
[00:43:08.880 --> 00:43:11.480]   Is that right?
[00:43:11.480 --> 00:43:14.560]   I think-- well, I mean, my understanding
[00:43:14.560 --> 00:43:18.880]   is you have to pass in a JSON schema.
[00:43:18.880 --> 00:43:21.120]   So if you don't pass in a JSON schema,
[00:43:21.120 --> 00:43:24.480]   so you would have to somehow create that JSON schema.
[00:43:24.480 --> 00:43:26.520]   I don't know if it's got some default thing that
[00:43:26.520 --> 00:43:28.360]   auto-generates one for you.
[00:43:28.360 --> 00:43:33.880]   Oh, I'm more thinking like if we don't follow the documents
[00:43:33.880 --> 00:43:34.840]   format, for example.
[00:43:34.840 --> 00:43:35.360]   Oh, yeah.
[00:43:35.360 --> 00:43:42.240]   So if we got rid of these, so if we got rid of the documents,
[00:43:42.240 --> 00:43:44.440]   yep, you could get rid of the doc string.
[00:43:44.440 --> 00:43:49.480]   You could get rid of the types and the defaults.
[00:43:49.480 --> 00:43:52.160]   You could do that, in which case the--
[00:43:52.160 --> 00:43:58.600]   OK, so it does at least need types.
[00:43:58.600 --> 00:44:01.320]   So let's add types.
[00:44:01.320 --> 00:44:03.480]   Ah, well, that's a bit of a bug in my--
[00:44:03.480 --> 00:44:05.080]   You need to annotate it.
[00:44:05.080 --> 00:44:06.560]   Huh?
[00:44:06.560 --> 00:44:07.720]   No, yeah.
[00:44:07.720 --> 00:44:10.360]   It appears like you have to annotate it there.
[00:44:10.360 --> 00:44:11.640]   Well, I'll fix that.
[00:44:11.680 --> 00:44:14.200]   It shouldn't be necessary.
[00:44:14.200 --> 00:44:15.080]   Description.
[00:44:15.080 --> 00:44:16.520]   Oh, OK.
[00:44:16.520 --> 00:44:17.960]   It at least wants a doc string.
[00:44:17.960 --> 00:44:25.600]   OK, so currently, that's the minimum that it needs.
[00:44:25.600 --> 00:44:28.560]   And I don't know if it actually requires a description.
[00:44:28.560 --> 00:44:31.360]   I suspect it probably does, because otherwise, maybe
[00:44:31.360 --> 00:44:34.560]   I guess it could guess what it's for from the name.
[00:44:34.560 --> 00:44:37.640]   But yeah, it wouldn't be particularly useful.
[00:44:37.640 --> 00:44:48.240]   So OK, so now that we've got a tool, when we call Claude,
[00:44:48.240 --> 00:44:50.800]   we can tell it what tools there are.
[00:44:50.800 --> 00:44:53.560]   And now we're also going to add a system prompt.
[00:44:53.560 --> 00:44:57.920]   And I'm just going to use that system prompt.
[00:44:57.920 --> 00:44:59.280]   You don't have to, right?
[00:44:59.280 --> 00:45:01.160]   If you don't say you have to use it,
[00:45:01.160 --> 00:45:03.640]   then sometimes it'll try to add it itself,
[00:45:03.640 --> 00:45:05.120]   but it's not very good at adding.
[00:45:05.120 --> 00:45:08.240]   So I would like to--
[00:45:08.240 --> 00:45:11.880]   I also think user-facing, I think it's weird the way
[00:45:11.880 --> 00:45:15.000]   Claude tends to say, OK, I will use the sum tool
[00:45:15.000 --> 00:45:16.200]   to calculate that sum.
[00:45:16.200 --> 00:45:17.400]   It loves doing that.
[00:45:17.400 --> 00:45:19.360]   OpenAI doesn't.
[00:45:19.360 --> 00:45:21.160]   I think this is because Anthropic's a bit--
[00:45:21.160 --> 00:45:23.160]   like, they haven't got as much user-facing stuff.
[00:45:23.160 --> 00:45:25.680]   They don't have any user-facing tool use yet.
[00:45:25.680 --> 00:45:28.080]   So yeah, I don't think their tool use is quite
[00:45:28.080 --> 00:45:31.320]   as nicely described.
[00:45:31.320 --> 00:45:39.080]   So if we pass in this prompt, what is that plus that?
[00:45:39.080 --> 00:45:44.200]   We get back this.
[00:45:44.200 --> 00:45:46.800]   So we don't get back an answer.
[00:45:46.800 --> 00:45:52.040]   Instead, we get back a tool use message.
[00:45:52.040 --> 00:45:55.400]   The tool use says what tool to use
[00:45:55.400 --> 00:45:59.400]   and what parameters to pass it.
[00:45:59.400 --> 00:46:05.480]   So I then just wrote this little thing
[00:46:05.480 --> 00:46:10.320]   that you pass in your tool use block.
[00:46:10.320 --> 00:46:12.800]   So that's this thing.
[00:46:12.800 --> 00:46:16.280]   And it grabs the name of the function to call.
[00:46:16.280 --> 00:46:21.320]   And it grabs that function from your symbol table.
[00:46:21.320 --> 00:46:26.720]   And it calls that function with the input that was requested.
[00:46:26.720 --> 00:46:29.760]   So when I said the symbol table or the namespace,
[00:46:29.760 --> 00:46:32.000]   basically, this is just a dictionary
[00:46:32.000 --> 00:46:38.320]   from the name of the tool to the definition of the tool.
[00:46:38.320 --> 00:46:40.720]   So if you don't pass one, it uses globals, which,
[00:46:40.720 --> 00:46:42.560]   in other words, is every Python function
[00:46:42.560 --> 00:46:44.480]   you currently have available.
[00:46:44.480 --> 00:46:47.160]   You probably don't want to do that if it's
[00:46:47.160 --> 00:46:51.960]   like os.unlink or something.
[00:46:51.960 --> 00:46:54.720]   So this little make namespace thing
[00:46:54.720 --> 00:46:56.880]   is just something that you just pass
[00:46:56.880 --> 00:46:59.520]   in a bunch of functions to.
[00:46:59.520 --> 00:47:03.040]   And it just creates a mapping from the name to the function.
[00:47:03.040 --> 00:47:04.800]   So that way, this way, I'm just--
[00:47:04.800 --> 00:47:06.800]   yeah.
[00:47:06.800 --> 00:47:09.240]   I'm just going to say, if I'm a somewhat beginner,
[00:47:09.240 --> 00:47:11.120]   I'm approaching LLMs.
[00:47:11.120 --> 00:47:13.040]   I've seen your Hacker's Guide.
[00:47:13.040 --> 00:47:14.880]   This screen full of code is quite a lot
[00:47:14.880 --> 00:47:16.560]   of fairly deep Python stuff.
[00:47:16.560 --> 00:47:18.120]   We've got some typing going on.
[00:47:18.120 --> 00:47:20.840]   And I might not know what mappings are or callables.
[00:47:20.840 --> 00:47:25.520]   There's namespaces and get_atras and dicts and is_instance.
[00:47:25.520 --> 00:47:28.560]   How should I approach this code versus maybe the examples that
[00:47:28.560 --> 00:47:29.560]   are being interleaved?
[00:47:29.560 --> 00:47:32.480]   Because this is the source code of this library.
[00:47:32.480 --> 00:47:35.440]   But you're not writing this with lots of comments or explanations.
[00:47:35.440 --> 00:47:37.080]   It's more like the usage.
[00:47:37.080 --> 00:47:39.120]   So what should I-- like, if I come to this library
[00:47:39.120 --> 00:47:41.120]   and I'm reading the source code, how much
[00:47:41.120 --> 00:47:44.280]   should I be focusing on the deep Python internals
[00:47:44.280 --> 00:47:46.880]   versus the usage versus like the big picture?
[00:47:46.880 --> 00:47:47.840]   That's a good question.
[00:47:47.840 --> 00:47:54.480]   So for someone who doesn't particularly
[00:47:54.480 --> 00:47:56.680]   want to learn new Python things but just
[00:47:56.680 --> 00:48:00.320]   wants to use this library, this probably
[00:48:00.320 --> 00:48:01.560]   isn't the video for you.
[00:48:01.560 --> 00:48:05.520]   Instead, just read the docs.
[00:48:05.520 --> 00:48:07.960]   And none of that-- like, you can see in the docs,
[00:48:07.960 --> 00:48:09.280]   there's nothing weird, right?
[00:48:09.280 --> 00:48:11.040]   The docs just use it.
[00:48:11.040 --> 00:48:17.280]   And you don't need this video.
[00:48:17.280 --> 00:48:20.280]   It's really easy to use.
[00:48:20.280 --> 00:48:23.400]   So yeah, the purpose of this discussion
[00:48:23.400 --> 00:48:27.880]   is for people who want to go deeper.
[00:48:27.880 --> 00:48:33.880]   And yeah, the fact that I'm skipping over these details
[00:48:33.880 --> 00:48:36.000]   isn't because either they're easy
[00:48:36.000 --> 00:48:39.520]   or that everybody should understand them or any of that.
[00:48:39.520 --> 00:48:44.880]   It's just that they're all things
[00:48:44.880 --> 00:48:47.240]   that Google or ChatGPT or whatever
[00:48:47.240 --> 00:48:49.240]   will perfectly happily teach you about.
[00:48:49.240 --> 00:48:54.440]   So these are all things that are built into Python.
[00:48:54.440 --> 00:48:56.600]   But yeah, that'd probably be part of something
[00:48:56.600 --> 00:48:59.080]   called Python Advanced Course or something.
[00:48:59.080 --> 00:49:01.720]   So one of the things a lot of intermediate Python programmers
[00:49:01.720 --> 00:49:05.440]   tell me is that they like reading my code
[00:49:05.440 --> 00:49:07.960]   to learn about bits of Python they didn't know about.
[00:49:07.960 --> 00:49:13.280]   And then they use it as jumping off points to study.
[00:49:13.280 --> 00:49:17.240]   And that's also why, like, OK, why do I not have many comments?
[00:49:17.240 --> 00:49:21.760]   So my view is that comments should describe
[00:49:21.760 --> 00:49:25.880]   why you're doing something, not what you're doing.
[00:49:25.880 --> 00:49:29.040]   So for something that you could answer, like, oh,
[00:49:29.040 --> 00:49:32.400]   what does isInstanceABC.mapping do?
[00:49:32.400 --> 00:49:34.160]   You don't need a comment to tell you that.
[00:49:34.160 --> 00:49:35.200]   You can just Google it.
[00:49:35.200 --> 00:49:38.760]   And so in this case, all of the things I'm doing,
[00:49:38.760 --> 00:49:41.920]   once you know what the code does, why is it doing it
[00:49:41.920 --> 00:49:43.760]   is actually obvious.
[00:49:43.760 --> 00:49:48.720]   Like, why do we get the name of the function from the object?
[00:49:48.720 --> 00:49:51.880]   Or why do we pass the input to the function?
[00:49:51.880 --> 00:49:53.720]   I mean, that's literally what functions are.
[00:49:53.720 --> 00:49:57.000]   They're things you call them, and you pass in the input.
[00:49:57.000 --> 00:49:57.840]   Yeah.
[00:49:57.840 --> 00:50:00.400]   So I think that's a good question.
[00:50:00.400 --> 00:50:04.320]   Let's say, like, yeah, don't be--
[00:50:04.320 --> 00:50:07.240]   you actually don't need to know any of these details.
[00:50:07.240 --> 00:50:11.720]   But if you want to learn about them,
[00:50:11.720 --> 00:50:14.040]   yeah, the reason I'm using these features of the language
[00:50:14.040 --> 00:50:15.800]   is because I think they're useful features
[00:50:15.800 --> 00:50:16.640]   of the language.
[00:50:16.640 --> 00:50:19.240]   And if I haven't got a comment on them,
[00:50:19.240 --> 00:50:21.880]   it's because I'm using them in a really normal, idiomatic way
[00:50:21.880 --> 00:50:23.640]   that isn't worthy of a comment.
[00:50:23.640 --> 00:50:25.160]   So that means if you learn about how
[00:50:25.160 --> 00:50:27.640]   to use this thing for this reason,
[00:50:27.640 --> 00:50:30.800]   that's a perfectly useful thing to learn about.
[00:50:30.800 --> 00:50:32.120]   And you can experiment with it.
[00:50:32.120 --> 00:50:34.080]   And I'll add that, like, I'm learning this stuff
[00:50:34.080 --> 00:50:35.960]   as we code together on this as well, right?
[00:50:35.960 --> 00:50:39.000]   Like, you don't have to know any of this to be a good programmer,
[00:50:39.000 --> 00:50:40.200]   but it's really fun as well.
[00:50:40.200 --> 00:50:43.360]   And I think, like, some of these things we wrote multiple ways,
[00:50:43.360 --> 00:50:45.600]   maybe one that was more verbose first, and then we say,
[00:50:45.600 --> 00:50:47.760]   oh, I think we can do this in this more clever way
[00:50:47.760 --> 00:50:48.800]   if we condense it down.
[00:50:48.800 --> 00:50:51.080]   So if you are watching this and you are wanting to learn
[00:50:51.080 --> 00:50:52.520]   and you're still like, oh, I still
[00:50:52.520 --> 00:50:54.000]   don't know what some of these things are,
[00:50:54.000 --> 00:50:55.400]   I can't remember what the double--
[00:50:55.400 --> 00:50:57.120]   like, yeah, dig in and find out.
[00:50:57.120 --> 00:50:59.240]   But it's also, like, it's totally OK if you're not,
[00:50:59.240 --> 00:51:01.120]   like, comfortable at this.
[00:51:01.120 --> 00:51:02.880]   Yeah, the other thing I would say
[00:51:02.880 --> 00:51:07.560]   is the way I write all of my code, pretty much,
[00:51:07.560 --> 00:51:10.000]   is I don't write it in a function.
[00:51:10.000 --> 00:51:16.360]   I write nearly all of it outside of a function in cells.
[00:51:16.360 --> 00:51:19.240]   So you can do the same thing, right?
[00:51:19.240 --> 00:51:24.680]   So, like, let's set ns to none, so then I can run this.
[00:51:24.680 --> 00:51:27.400]   It's like, oh, what the hell is globals?
[00:51:27.400 --> 00:51:31.240]   It's like, oh, wow, everything in Python is a dictionary.
[00:51:31.240 --> 00:51:33.560]   Now, this is a really powerful thing, which
[00:51:33.560 --> 00:51:34.640]   is well worth knowing about.
[00:51:38.240 --> 00:51:39.960]   If I could offer just--
[00:51:39.960 --> 00:51:41.120]   yeah, sorry.
[00:51:41.120 --> 00:51:43.600]   But just offer one perspective to maybe make a little bridge
[00:51:43.600 --> 00:51:45.320]   from the kind of user point of view
[00:51:45.320 --> 00:51:49.000]   to the why these internals might be unfamiliar point of view,
[00:51:49.000 --> 00:51:51.800]   just to recap and make sure I understand it right.
[00:51:51.800 --> 00:51:54.520]   From the user point of view here, when we use tools,
[00:51:54.520 --> 00:51:59.000]   we get a response back from a plod,
[00:51:59.000 --> 00:52:02.160]   in the way we're doing it now, that describes a function
[00:52:02.160 --> 00:52:04.160]   that we now want to execute.
[00:52:04.160 --> 00:52:04.800]   Correct?
[00:52:04.800 --> 00:52:06.560]   That's the function to execute, and that's
[00:52:06.560 --> 00:52:09.600]   the input to provide to it.
[00:52:09.600 --> 00:52:13.600]   So with this library, I can write a function in Python
[00:52:13.600 --> 00:52:16.600]   and then tell clod to call the function that's
[00:52:16.600 --> 00:52:19.560]   sitting there on my system, right?
[00:52:19.560 --> 00:52:21.000]   Yeah, if it wants to.
[00:52:21.000 --> 00:52:23.640]   For that to work, if it wants to, if it chooses to.
[00:52:23.640 --> 00:52:25.800]   But for that to work, this library
[00:52:25.800 --> 00:52:29.680]   needs to do the magic of reading a text string that
[00:52:29.680 --> 00:52:33.680]   is clod's response, and then in Python,
[00:52:33.680 --> 00:52:35.240]   having that not be a text string,
[00:52:35.240 --> 00:52:38.720]   but having that become Python code that runs in Python.
[00:52:38.720 --> 00:52:41.800]   And that's a somewhat unfamiliar thing to do in Python.
[00:52:41.800 --> 00:52:44.520]   And that's what's called eval in JavaScript,
[00:52:44.520 --> 00:52:47.560]   or back in Lisp, where a lot of this stuff got started.
[00:52:47.560 --> 00:52:50.000]   And because that's not that sort of--
[00:52:50.000 --> 00:52:51.640]   Well, it's actually not.
[00:52:51.640 --> 00:52:54.160]   We're not actually doing an eval, right?
[00:52:54.160 --> 00:52:55.560]   OK, that's interesting.
[00:52:55.560 --> 00:52:59.400]   Yeah, we're definitely not doing eval.
[00:52:59.400 --> 00:53:04.200]   So in the end, this is the function we want to call.
[00:53:04.200 --> 00:53:07.920]   So I can call that, and there's the answer.
[00:53:07.920 --> 00:53:13.160]   In Python, this is just syntax sugar, basically,
[00:53:13.160 --> 00:53:19.080]   for passing in a dictionary and dereferencing it.
[00:53:19.080 --> 00:53:20.520]   So those are the same.
[00:53:20.520 --> 00:53:22.840]   Those are literally the same thing,
[00:53:22.840 --> 00:53:27.280]   as far as Python is concerned.
[00:53:27.280 --> 00:53:36.200]   So we were never passed a string of code to eval or execute.
[00:53:36.200 --> 00:53:39.040]   We were just told, call this tool
[00:53:39.040 --> 00:53:41.600]   and pass in these inputs.
[00:53:41.600 --> 00:53:46.080]   So to find the tool by string, we look it up
[00:53:46.080 --> 00:53:47.440]   in the symbol table.
[00:53:47.440 --> 00:53:49.760]   So let's just change fc.name to fc_name.
[00:53:49.760 --> 00:53:55.880]   And the name it's giving us is the one
[00:53:55.880 --> 00:53:57.120]   that we provided earlier.
[00:53:57.120 --> 00:54:03.120]   Yeah, it's the name that came from our schema, which
[00:54:03.120 --> 00:54:04.880]   is this name.
[00:54:04.880 --> 00:54:09.520]   Yeah, so if you look back at our tool schema,
[00:54:09.520 --> 00:54:10.680]   this tool has a name.
[00:54:10.680 --> 00:54:12.640]   And you can give it lots of tools.
[00:54:12.640 --> 00:54:14.280]   So later on, we might see one where we've
[00:54:14.280 --> 00:54:15.960]   got both sums and multiply.
[00:54:15.960 --> 00:54:19.840]   And it can pick.
[00:54:19.840 --> 00:54:22.160]   We'll see this later, can pick and choose.
[00:54:22.160 --> 00:54:26.760]   So the flow is, we write our function in Python.
[00:54:26.760 --> 00:54:29.760]   The library automatically knows how to interpret the Python
[00:54:29.760 --> 00:54:31.640]   and turn it into a structured representation,
[00:54:31.640 --> 00:54:35.040]   the JSON schema, that is then fed to Cloud.
[00:54:35.040 --> 00:54:35.880]   It's fed to Cloud.
[00:54:35.880 --> 00:54:38.880]   We're also feeding it the name for the function
[00:54:38.880 --> 00:54:41.400]   that it's going to use when it wants to come back to us
[00:54:41.400 --> 00:54:43.200]   and say, hey, now call the function.
[00:54:43.200 --> 00:54:45.640]   When it comes back to us and says, hey, call the function,
[00:54:45.640 --> 00:54:46.440]   it uses that name.
[00:54:46.440 --> 00:54:48.600]   We look up the original function, and then we execute.
[00:54:48.600 --> 00:54:50.360]   Yeah, and so it decides.
[00:54:50.360 --> 00:54:53.640]   It knows it's got a function that can do this
[00:54:53.640 --> 00:54:56.360]   and that it can return this.
[00:54:56.360 --> 00:55:04.240]   And so then if it gets a request that can use that tool,
[00:55:04.240 --> 00:55:06.720]   then it will decide of its own accord, OK,
[00:55:06.720 --> 00:55:09.640]   I'm going to call the function that Jeremy provided,
[00:55:09.640 --> 00:55:11.960]   the tool that Jeremy provided.
[00:55:11.960 --> 00:55:14.400]   Yeah, so we'll see a bunch of examples of this.
[00:55:14.400 --> 00:55:17.560]   And this is generally part of what's called the React
[00:55:17.560 --> 00:55:21.280]   framework, nothing to do with React, the JavaScript GUI
[00:55:21.280 --> 00:55:24.520]   thing, but React was a paper that basically said like, hey,
[00:55:24.520 --> 00:55:28.720]   you can have language models or tools.
[00:55:28.720 --> 00:55:32.640]   And again, my LLM Hackers video is the best place
[00:55:32.640 --> 00:55:36.360]   to go to learn about the React pattern.
[00:55:36.360 --> 00:55:38.400]   And so here we're implementing the React pattern,
[00:55:38.400 --> 00:55:41.160]   or at least we're implementing the things necessary for Cloud
[00:55:41.160 --> 00:55:43.320]   to implement the React pattern using
[00:55:43.320 --> 00:55:45.320]   what it calls tool calling.
[00:55:45.320 --> 00:55:47.280]   So we look up the function, which
[00:55:47.280 --> 00:55:50.640]   is a string into this dictionary,
[00:55:50.640 --> 00:55:54.320]   and we get back the function.
[00:55:54.320 --> 00:55:59.040]   And so we can now call the function.
[00:55:59.040 --> 00:56:00.160]   So that's what we're doing.
[00:56:00.160 --> 00:56:05.480]   And so I think the key thing here
[00:56:05.480 --> 00:56:08.760]   is this idea that all this is in a notebook.
[00:56:08.760 --> 00:56:11.600]   The source code here to this whole thing
[00:56:11.600 --> 00:56:16.320]   is in a notebook, which means you can play with it, which
[00:56:16.320 --> 00:56:19.880]   I think is fantastically powerful because you never
[00:56:19.880 --> 00:56:21.320]   have to guess what something does.
[00:56:21.320 --> 00:56:25.400]   You literally can copy and paste it into a cell and experiment.
[00:56:25.400 --> 00:56:28.200]   And it's also worth learning these keyboard shortcuts
[00:56:28.200 --> 00:56:35.200]   like CV to copy and paste the cell, and like Apple A,
[00:56:35.200 --> 00:56:39.640]   Apple left square bracket, control shift hyphen.
[00:56:39.640 --> 00:56:42.360]   There's all these nice things worth learning,
[00:56:42.360 --> 00:56:46.520]   all these keyboard shortcuts to be able to use this Jupyter
[00:56:46.520 --> 00:56:49.480]   tool quickly.
[00:56:49.480 --> 00:56:50.880]   Anyway, the main thing to know is
[00:56:50.880 --> 00:56:54.800]   we've now got this thing called call function, which
[00:56:54.800 --> 00:56:58.600]   can take the tool use request from Cloud, this function call
[00:56:58.600 --> 00:57:01.440]   request, and call it.
[00:57:01.440 --> 00:57:08.000]   And it passes back a dictionary with the result of the tool
[00:57:08.000 --> 00:57:16.040]   call, and when it asked us to make this call,
[00:57:16.040 --> 00:57:18.680]   it included an ID.
[00:57:18.680 --> 00:57:20.800]   So we have to pass back the same ID
[00:57:20.800 --> 00:57:24.320]   to say this is the answer to this question.
[00:57:24.320 --> 00:57:28.120]   And that's the bit that says this is the answer
[00:57:28.120 --> 00:57:30.120]   to this question.
[00:57:30.120 --> 00:57:32.120]   That's the answer.
[00:57:32.120 --> 00:57:37.800]   And so we can now pass that back to Cloud,
[00:57:37.800 --> 00:57:40.160]   and Cloud will say, oh, great, I got the answer,
[00:57:40.160 --> 00:57:44.040]   and then it will respond with text.
[00:57:44.040 --> 00:57:47.640]   So I put all that together here and make a tool response
[00:57:47.640 --> 00:57:52.360]   where you pass in the tool response request from Cloud,
[00:57:52.360 --> 00:57:54.400]   the namespace to search for tools,
[00:57:54.400 --> 00:57:58.200]   or an object to search for tools,
[00:57:58.200 --> 00:58:03.240]   and we create the message from Cloud.
[00:58:03.240 --> 00:58:07.360]   We call that call function for every tool use request.
[00:58:07.360 --> 00:58:12.880]   There can be more than one, and we add that to their response.
[00:58:12.880 --> 00:58:18.800]   And so if you have a look now here, when we call that,
[00:58:18.800 --> 00:58:24.720]   it calculates the sum, and it's going to pass back the--
[00:58:24.720 --> 00:58:27.960]   going to add in the tool use request and the response
[00:58:27.960 --> 00:58:30.800]   to that request.
[00:58:30.800 --> 00:58:36.840]   So we can now go ahead and do that,
[00:58:36.840 --> 00:58:43.240]   and you can see Cloud returns the string, the response.
[00:58:43.240 --> 00:58:48.240]   So it's turned the result of the tool request into a response.
[00:58:48.240 --> 00:58:52.520]   And so this is how stuff like Code Interpreter in ChatGPT
[00:58:52.520 --> 00:58:53.020]   works.
[00:58:53.020 --> 00:58:58.400]   So it might be easier to see it all in one place,
[00:58:58.400 --> 00:59:00.920]   and this is like another demo of how we can use it.
[00:59:00.920 --> 00:59:03.600]   Instead of calling functions, we can also call methods.
[00:59:03.600 --> 00:59:05.560]   So here's sums again.
[00:59:05.560 --> 00:59:08.440]   But this time it's a method of a class.
[00:59:08.440 --> 00:59:13.320]   So we can do the same thing, get schema dummy dot sums.
[00:59:13.320 --> 00:59:16.680]   Yeah, so we make the message containing our prompt.
[00:59:16.680 --> 00:59:20.320]   So that's the question, what's this plus this?
[00:59:20.320 --> 00:59:22.320]   We pass that along to Cloud.
[00:59:22.320 --> 00:59:25.720]   Cloud decides that it wants you to create a tool request.
[00:59:25.720 --> 00:59:29.800]   We make the tool request, calculate the answer,
[00:59:29.800 --> 00:59:33.960]   add that to the messages, and put it all together.
[00:59:33.960 --> 00:59:34.800]   Oops, crazy.
[00:59:34.800 --> 00:59:38.960]   And there we go.
[00:59:38.960 --> 00:59:54.120]   OK, anything worth adding to that?
[00:59:54.120 --> 00:59:58.160]   So if you're not comfortable and familiar with the React
[00:59:58.160 --> 01:00:04.520]   framework, this will feel pretty weird.
[01:00:04.520 --> 01:00:07.560]   Definitely worth spending time learning about,
[01:00:07.560 --> 01:00:12.360]   because it's an incredibly powerful technique
[01:00:12.360 --> 01:00:19.440]   and opens up a lot of opportunities to--
[01:00:19.440 --> 01:00:22.160]   because I think a lot of people, I certainly
[01:00:22.160 --> 01:00:26.520]   feel this way, that there's so many things that language
[01:00:26.520 --> 01:00:28.480]   models aren't very good at.
[01:00:28.480 --> 01:00:30.960]   But they're very good at recognizing
[01:00:30.960 --> 01:00:33.440]   when it needs to use some tool.
[01:00:33.440 --> 01:00:37.960]   If you tell it like, oh, you've got access to this proof
[01:00:37.960 --> 01:00:42.480]   checking tool, or you've got access to this account creation
[01:00:42.480 --> 01:00:45.240]   tool, or whatever, it's good at using those.
[01:00:45.240 --> 01:00:53.400]   And those tools could be things like reroute this code
[01:00:53.400 --> 01:00:55.560]   or a customer service representative.
[01:00:55.560 --> 01:00:59.400]   They don't have to be text generating tools.
[01:00:59.400 --> 01:01:01.800]   They can be anything.
[01:01:01.800 --> 01:01:03.000]   And there's also no reason--
[01:01:03.000 --> 01:01:05.280]   you're not under obligation to send the response back
[01:01:05.280 --> 01:01:05.880]   to the model, right?
[01:01:05.880 --> 01:01:07.400]   It can actually be a useful endpoint.
[01:01:07.400 --> 01:01:10.280]   It's like, oh, I tell the model to look
[01:01:10.280 --> 01:01:13.280]   at this query from a customer and then respond appropriately.
[01:01:13.280 --> 01:01:15.560]   And one of the tools is like escalate.
[01:01:15.560 --> 01:01:19.160]   Well, if it sends a tool response,
[01:01:19.160 --> 01:01:21.320]   a tool request for that function,
[01:01:21.320 --> 01:01:24.360]   that could be like, oh, I should exit this block,
[01:01:24.360 --> 01:01:25.960]   forget about it, throw away the history
[01:01:25.960 --> 01:01:27.640]   because now I need to bump this up
[01:01:27.640 --> 01:01:29.360]   to some actual human in the loop,
[01:01:29.360 --> 01:01:31.120]   or store the result somewhere.
[01:01:31.120 --> 01:01:33.600]   It's just a very convenient way to get--
[01:01:33.600 --> 01:01:36.520]   Yeah, we're going to see a bunch more examples
[01:01:36.520 --> 01:01:40.560]   in the next section because there's a whole module called
[01:01:40.560 --> 01:01:43.520]   tool loop, which has a really nice example, actually,
[01:01:43.520 --> 01:01:46.520]   that came from the Anthropic examples of how
[01:01:46.520 --> 01:01:51.640]   to use this for customer service interaction.
