
[00:00:00.000 --> 00:00:02.000]   Alright welcome back
[00:57:36.440 --> 00:57:42.560]   Say all year and sale elapsed are very similar so the kind of horizontal axis here is
[00:57:42.560 --> 00:57:48.440]   How similar are the two points that are being compared right so if they're closer to the right?
[00:57:48.520 --> 00:57:54.200]   That means they're very similar so sale year and sale elapsed have been combined and they were very similar
[00:57:54.200 --> 00:58:04.960]   Again it's like who cares you know it'll be like the correlation coefficient or something like that you know in this particular case
[00:58:04.960 --> 00:58:06.760]   What I actually did
[00:58:06.760 --> 00:58:12.520]   So you get to tell it so in this case. I actually used spearmen's are so
[00:58:14.480 --> 00:58:22.640]   You guys familiar with correlation coefficients already, right so correlation is as almost exactly the same as the R squared, right?
[00:58:22.640 --> 00:58:33.640]   But it's between two variables rather than a variable and its prediction the problem with a normal correlation is
[00:58:33.640 --> 00:58:36.320]   that
[00:58:36.320 --> 00:58:38.360]   if the
[00:58:38.360 --> 00:58:40.800]   Get a new workbook here
[00:58:42.960 --> 00:58:47.480]   If you have data that looks like this then you can
[00:58:47.480 --> 00:58:52.480]   Do a correlation and you'll get a good result right, but if you've got data
[00:58:52.480 --> 00:58:55.160]   which looks like
[00:58:55.160 --> 00:59:02.080]   This right and you try and do a correlation and assumes linearity that's not very good, right?
[00:59:02.080 --> 00:59:08.200]   So there's a thing called a rank correlation a really simple idea. It's replace every
[00:59:08.880 --> 00:59:16.680]   point by its rank right so instead of like so we basically say okay. This is the smallest so we'll call that one
[00:59:16.680 --> 00:59:20.640]   Two there's the next one three is the next one four
[00:59:20.640 --> 00:59:29.760]   Five right so you just replace every number by its rank that then you do the same for the y-axis so call that one
[00:59:29.760 --> 00:59:32.000]   two
[00:59:32.000 --> 00:59:38.000]   Three and so forth right and so then you do like a new plot where you don't plot the data
[00:59:38.200 --> 00:59:44.560]   But you plot the rank of the data and if you think about it the rank of this data set is going to look
[00:59:44.560 --> 00:59:51.400]   An exact line because every time something was greater on the x-axis. It was also greater on the y-axis
[00:59:51.400 --> 00:59:59.380]   So if we do a correlation on the rank that's called a rank correlation
[00:59:59.380 --> 01:00:03.980]   Okay, and so
[01:00:03.980 --> 01:00:07.520]   Because I want to find the
[01:00:08.160 --> 01:00:12.680]   Columns that are similar in a way that the random forest would find them similar
[01:00:12.680 --> 01:00:21.560]   Random forests don't care about linearity. They just care about ordering so a rank correlation is the the right way to think about that so
[01:00:21.560 --> 01:00:26.480]   Spearmons are is is the name of the most common rank correlation
[01:00:26.480 --> 01:00:30.980]   But you can literally replace the data with its rank and chuck it at the regular correlation
[01:00:30.980 --> 01:00:37.440]   And you'll get basically the same answer the only difference is in how ties are handled. It's a pretty minor issue
[01:00:37.800 --> 01:00:39.800]   um
[01:00:39.800 --> 01:00:47.080]   Like if you have like a full parabola in that rank correlation, you will not write why right?
[01:00:47.080 --> 01:00:50.360]   It has to be has to be monotonic. Okay. Yeah, yeah
[01:00:50.360 --> 01:00:58.280]   Okay, so
[01:00:58.280 --> 01:01:00.720]   Once I've got a correlation matrix
[01:01:00.720 --> 01:01:04.880]   there's basically a couple of standard steps you do to turn that into a
[01:01:05.440 --> 01:01:10.120]   Dendogram which I have to look up on Stack Overflow each time I do it
[01:01:10.120 --> 01:01:13.540]   You basically turn it into a distance matrix
[01:01:13.540 --> 01:01:20.480]   And then you create something that tells you you know, which things are connected to which other things hierarchically. So this kind of
[01:01:20.480 --> 01:01:28.680]   These two and this step here are like just three standard steps that you always have to do to create a dendrogram
[01:01:28.680 --> 01:01:31.480]   and
[01:01:31.480 --> 01:01:33.480]   So then you can plot it
[01:01:33.760 --> 01:01:35.320]   and so
[01:01:35.320 --> 01:01:40.040]   Alright, so sale year and sale elapsed and be measuring basically the same thing at least in terms of rank
[01:01:40.040 --> 01:01:47.200]   Which is not surprising because sale elapsed is the number of days since the first day in my data set
[01:01:47.200 --> 01:01:51.720]   So obviously these two are nearly entirely correlated with some ties
[01:01:51.720 --> 01:01:59.240]   Grouse attracts and hydraulics flow and coupler system all seem to be measuring the same thing and this is interesting because remember couple system
[01:01:59.240 --> 01:02:01.320]   It said was super important, right?
[01:02:01.320 --> 01:02:05.360]   And so this rather supports our hypothesis that it's nothing to do with whether it's a coupler system
[01:02:05.360 --> 01:02:08.860]   But whether it's whatever kind of vehicle it is. It has these kind of features
[01:02:08.860 --> 01:02:14.480]   Product group and product groups desks seem to be measuring the same thing
[01:02:14.480 --> 01:02:20.360]   Fi based model and Fi model desk seem to be measuring the same thing. And so once we get past that
[01:02:20.360 --> 01:02:26.320]   Everything else like suddenly the things are further away. So I'm probably going to not worry about those
[01:02:26.320 --> 01:02:32.880]   So we're going to look into these one two three four groups that are very similar. She passed that over there
[01:02:32.880 --> 01:02:48.120]   Is it in that graph that the similarity between stick length and enclosure is higher than with stick lens and anything that's higher
[01:02:48.120 --> 01:02:49.560]   Yeah, pretty much
[01:02:49.560 --> 01:02:53.720]   I mean it it's a little hard to interpret but given that stick length and enclosure
[01:02:53.880 --> 01:02:56.720]   Don't join up until way over here
[01:02:56.720 --> 01:03:02.200]   It would strongly suggest that then that they're a long way away from each other
[01:03:02.200 --> 01:03:04.600]   Otherwise you would expect them to have joined up earlier
[01:03:04.600 --> 01:03:12.200]   I mean it's it's possible to construct like a synthetic data set where you kind of end up joining things that were close to each other
[01:03:12.200 --> 01:03:14.600]   through different paths
[01:03:14.600 --> 01:03:20.880]   So you've got to be a bit careful, but I think it's fair to probably assume that stick length or enclosure are probably very different
[01:03:21.440 --> 01:03:27.040]   so they are very different, but would they be more similar than for example stick length and
[01:03:27.040 --> 01:03:29.600]   sale day of year
[01:03:29.600 --> 01:03:38.000]   No, there's nothing to suggest that here because like the point is to notice where they sit in this tree
[01:03:38.000 --> 01:03:43.320]   Right and they both that they sit in totally different halves of the tree. Thank you
[01:03:43.320 --> 01:03:49.560]   But really to actually know that the best way would be to actually look at this BM and our correlation matrix
[01:03:50.160 --> 01:03:55.920]   Right if you just want to know how similar is this thing to this thing this theme and our correlation matrix tells you that
[01:03:55.920 --> 01:03:57.920]   Can you pass that over there?
[01:03:57.920 --> 01:04:03.600]   So today's we are passing the data frame, right?
[01:04:03.600 --> 01:04:07.000]   Say again
[01:04:07.000 --> 01:04:13.660]   This is just a data frame so we're passing in DF keep so that's the data frame
[01:04:13.660 --> 01:04:18.800]   Containing the whatever it was 30 or so features that our random forest thought was interesting
[01:04:19.000 --> 01:04:20.360]   so
[01:04:20.360 --> 01:04:26.680]   There's no random first being used here the measure of the distance measure is being done entirely on rank correlation
[01:04:26.680 --> 01:04:32.280]   So what I then do is I take these these groups
[01:04:32.280 --> 01:04:39.120]   Right and I create a little function that I call bit out of band score right which is it does a random forest
[01:04:39.120 --> 01:04:42.560]   for some data frame I
[01:04:44.600 --> 01:04:49.080]   Make sure that I've taken that data frame and split it into a training and validation set
[01:04:49.080 --> 01:04:56.800]   And then I call fit and return the OOB score right so basically what I'm going to do is I'm going to try
[01:04:56.800 --> 01:05:02.840]   Removing each one of these one two three four five six seven eight nine or so
[01:05:02.840 --> 01:05:05.680]   variables one at a time and
[01:05:05.680 --> 01:05:10.840]   See which ones I can remove and it doesn't make the OOB score get worse
[01:05:11.600 --> 01:05:14.880]   And each time I run this I get slightly different results
[01:05:14.880 --> 01:05:18.120]   So actually it looks like last time I had seven things not not eight things
[01:05:18.120 --> 01:05:23.280]   So you can see I just do a loop through each of the things that I'm thinking like maybe I could get rid of this
[01:05:23.280 --> 01:05:26.880]   Because it's redundant and I print out the column
[01:05:26.880 --> 01:05:32.160]   Name and the OOB score of a model that is trained after dropping
[01:05:32.160 --> 01:05:34.840]   that one column
[01:05:34.840 --> 01:05:40.360]   Okay, so the OOB score on my whole data frame is 0.89 and
[01:05:41.320 --> 01:05:45.000]   then after dropping each one of these things
[01:05:45.000 --> 01:05:51.720]   They're basically none of them get much worse sale elapsed is
[01:05:51.720 --> 01:05:56.440]   Getting quite a bit worse than sale year, but like it looks like pretty much everything else
[01:05:56.440 --> 01:05:59.580]   I can drop with like only like a third decimal place
[01:05:59.580 --> 01:06:07.960]   Problem so obviously though you've got to remember the dendrogram what let's take Fi model desk and Fi based model
[01:06:08.760 --> 01:06:11.080]   Right, they're very similar to each other, right?
[01:06:11.080 --> 01:06:14.800]   So what this says isn't that I can get rid of both of them, right?
[01:06:14.800 --> 01:06:18.680]   I can get rid of one of them because they're basically measuring the same thing
[01:06:18.680 --> 01:06:25.520]   Okay, so so then I try it. I say okay. Let's try getting rid of one from each group sale year
[01:06:25.520 --> 01:06:28.040]   Fi based model and
[01:06:28.040 --> 01:06:29.960]   grouser tracks
[01:06:29.960 --> 01:06:35.840]   Okay, and like let's now have a look. It's like okay. I've gone from point eight nine. Oh to point eight eight eight
[01:06:35.840 --> 01:06:41.920]   It's like again so close as to be meaningless. So that sounds good simpler is better
[01:06:41.920 --> 01:06:48.280]   So I'm now going to drop those columns from my data frame
[01:06:48.280 --> 01:06:53.360]   And then I can try running the full model
[01:06:53.360 --> 01:06:57.640]   Again, and I can see you know, so reset RF samples
[01:06:57.640 --> 01:07:02.180]   Means I'm using my whole data frame of my whole big strap sample
[01:07:03.160 --> 01:07:09.880]   Use 40 estimators and I've got point 907. Okay, so I've now got a
[01:07:09.880 --> 01:07:16.160]   Model which is smaller and simpler and I'm getting a good score for
[01:07:16.160 --> 01:07:19.840]   So at this point I've now
[01:07:19.840 --> 01:07:27.760]   got rid of as many columns as I feel I comfortably can ones that either didn't have a good feature importance or were
[01:07:28.080 --> 01:07:33.520]   Highly related to other variables and the model didn't get worse significantly with that when I removed them
[01:07:33.520 --> 01:07:40.840]   So now I'm at the point where I want to try and really understand my data better by taking advantage of the model
[01:07:40.840 --> 01:07:43.680]   And we're going to use something called partial dependence
[01:07:43.680 --> 01:07:44.080]   And again
[01:07:44.080 --> 01:07:49.440]   This is something that you could like using the cable kernel and lots of people are going to appreciate this because almost nobody knows
[01:07:49.440 --> 01:07:52.800]   About partial dependence and it's a very very powerful technique
[01:07:53.840 --> 01:07:58.200]   What we're going to do is we're going to find out for the features that are important
[01:07:58.200 --> 01:08:01.800]   How do they relate to the dependent variable?
[01:08:01.800 --> 01:08:07.680]   Right. So let's have a look right? So let's again since we're doing interpretation
[01:08:07.680 --> 01:08:10.720]   We'll set set our samples to 50,000 to run things quickly
[01:08:10.720 --> 01:08:15.440]   We'll take our data frame
[01:08:15.440 --> 01:08:20.040]   We'll get our feature importance and notice that we're using
[01:08:21.200 --> 01:08:27.840]   Max and cat because I'm actually pretty interested in terms of for interpretation and seeing the individual levels
[01:08:27.840 --> 01:08:33.880]   And so here's the top ten and so let's try and learn more about those top ten
[01:08:33.880 --> 01:08:42.520]   So yeah made is the second most important so one obvious thing we could do would be to plot
[01:08:46.080 --> 01:08:53.840]   Year made against sale elapsed because as we've talked about already like it just seems to make sense. They're both important
[01:08:53.840 --> 01:09:01.480]   but it seems very likely that they kind of combine together to find like how old was the
[01:09:01.480 --> 01:09:09.800]   Product when it was sold so we could try plotting year made against sale elapsed to see how they relate to each other and when we do
[01:09:09.800 --> 01:09:14.440]   We get this very ugly graph and it shows us that year made
[01:09:15.040 --> 01:09:17.680]   Actually has a whole bunch that are a thousand
[01:09:17.680 --> 01:09:23.080]   Right. So clearly, you know, this is where I would tend to go back to the client or whatever and say
[01:09:23.080 --> 01:09:23.660]   Okay
[01:09:23.660 --> 01:09:28.600]   I'm guessing that these bulldozers weren't actually made in the year 1000 and they would presumably say to me
[01:09:28.600 --> 01:09:34.360]   Oh, yes, they're ones where we don't know when it was made, you know, maybe before 1986
[01:09:34.360 --> 01:09:39.600]   We didn't track that or maybe the things that are sold in Illinois. You don't have that data
[01:09:39.600 --> 01:09:42.720]   Provided or or whatever. They'll tell us some reason. So
[01:09:45.840 --> 01:09:47.840]   in order to
[01:09:47.840 --> 01:09:53.240]   Understand this plot better. I'm just going to remove them from this interpretation section of the analysis
[01:09:53.240 --> 01:09:57.840]   So I'm just going to say okay. Let's just grab things where year made is greater than 1930. Okay?
[01:09:57.840 --> 01:10:06.900]   So let's now look at the relationship between year made and sale price and there's a really great
[01:10:06.900 --> 01:10:10.360]   Package called GG plot
[01:10:10.360 --> 01:10:17.580]   GG plot originally was an R package GG stands for the grammar of graphics and the grammar of graphics is like this
[01:10:17.580 --> 01:10:20.720]   very powerful way of thinking about
[01:10:20.720 --> 01:10:23.880]   how to produce
[01:10:23.880 --> 01:10:28.440]   Charts in a very flexible way. I'm not going to be talking about it much in this class
[01:10:28.440 --> 01:10:30.440]   There's lots of information available online
[01:10:30.440 --> 01:10:35.720]   But I definitely recommend it as a great package to use GG plot
[01:10:36.400 --> 01:10:40.520]   Which you can pip install. It's part of the fast AI environment already
[01:10:40.520 --> 01:10:46.120]   GG plot in Python has basically the same
[01:10:46.120 --> 01:10:50.920]   Parameters and API is the R version the R version is much better documented
[01:10:50.920 --> 01:10:57.680]   So you should read its documentation to learn how to use it. But basically you say okay, I want to create a plot
[01:10:57.680 --> 01:11:00.000]   of
[01:11:00.000 --> 01:11:03.200]   This data frame now when you create plots
[01:11:04.720 --> 01:11:07.320]   Most of the data sets you're using are going to be
[01:11:07.320 --> 01:11:11.680]   Too big to plot as in like if you do a scatter plot
[01:11:11.680 --> 01:11:18.360]   It'll create so many dots that it's just a big mess and it'll take forever and remember when you're plotting things
[01:11:18.360 --> 01:11:21.680]   You just you're you're looking at it, right?
[01:11:21.680 --> 01:11:27.240]   So there's no point plotting something with a hundred million samples when if you only used a hundred thousand samples
[01:11:27.240 --> 01:11:29.240]   It's going to be pixel identical
[01:11:29.400 --> 01:11:35.960]   Right. So that's why I call get sample first. So get sample just grabs a random sample. Okay, so I'm just going to grab
[01:11:35.960 --> 01:11:38.360]   500 points
[01:11:38.360 --> 01:11:44.240]   For now, okay, so I've got to grab 500 points from my data frame. I got a plot
[01:11:44.240 --> 01:11:51.840]   Year made against sale price AES stands for aesthetic. This is the basic way that you set up your columns in GG plot
[01:11:51.840 --> 01:11:55.640]   Okay, so this says to plot these columns from this data frame
[01:11:55.640 --> 01:12:02.880]   And then you there's this weird thing in GG plot where plus means basically add chart elements. Okay, so I'm going to add a
[01:12:02.880 --> 01:12:05.160]   smoother
[01:12:05.160 --> 01:12:06.300]   so
[01:12:06.300 --> 01:12:12.360]   Most of the very very often you'll find that a scatter plot is very hard to see what's going on because there's too much randomness
[01:12:12.360 --> 01:12:20.000]   Where else a smoother basically creates a little linear regression for every little subset of the graph
[01:12:20.000 --> 01:12:25.060]   And so it kind of joins it up and allows you to see a nice smooth curve. Okay
[01:12:25.580 --> 01:12:30.780]   so this is like the main way that I tend to look at univariate relationships and
[01:12:30.780 --> 01:12:38.120]   By adding standard error equals true. It also shows me the confidence interval of this smoother, right?
[01:12:38.120 --> 01:12:44.380]   So lowest stands for locally weighted regression, which is this idea of like doing kind of like doing lots of little
[01:12:44.380 --> 01:12:47.260]   linear aggressions
[01:12:47.260 --> 01:12:55.040]   So we can see here the relationship between year made and sale price is kind of all over the place, right?
[01:12:55.040 --> 01:13:00.480]   Which is like not really what I would expect. I would I would have expected that more recent
[01:13:00.480 --> 01:13:04.080]   Stuff that sold more recently
[01:13:04.080 --> 01:13:10.160]   Would probably be like more expensive because of inflation and because they're like more current models and so forth
[01:13:10.160 --> 01:13:16.000]   and the problem is that when you look at a univariate relationship like this, there's a whole lot of
[01:13:16.000 --> 01:13:21.880]   Co-linearity going on a whole lot of interactions that are being lost. So for example
[01:13:21.880 --> 01:13:24.440]   Why did the price drop?
[01:13:24.840 --> 01:13:30.800]   Yeah, is it actually because like things made between 1991 and 1997 a
[01:13:30.800 --> 01:13:39.040]   Less valuable or is actually because most of them were also sold during that time and actually there was like maybe a recession then
[01:13:39.040 --> 01:13:44.040]   Or maybe it was like product sold during that time a lot more people were buying
[01:13:44.040 --> 01:13:47.620]   Types of vehicle that were less expensive
[01:13:47.620 --> 01:13:51.360]   like there's all kinds of reasons for that and so again as
[01:13:52.040 --> 01:13:58.320]   Data scientists one of the things we're going to keep seeing is that at the companies that you join people will come to you with
[01:13:58.320 --> 01:14:02.080]   With these kind of univariate charts where they'll say like oh my god
[01:14:02.080 --> 01:14:06.140]   our sales in Chicago have disappeared that got really bad or
[01:14:06.140 --> 01:14:12.280]   people aren't clicking on this ad anymore and they'll show you a chart that looks like this and they'll be like what happened and
[01:14:12.280 --> 01:14:18.920]   Most of the time you'll find the answer to the question. What happened is that there's something else going on, right?
[01:14:18.920 --> 01:14:24.920]   So actually all in Chicago last week actually we were doing a new promotion
[01:14:24.920 --> 01:14:30.260]   And that's why our you know revenue went down. It's not because people aren't buying stuff in Chicago anymore
[01:14:30.260 --> 01:14:32.260]   It's because the prices were lower for instance
[01:14:32.260 --> 01:14:36.320]   So what we really want to be able to do is say well
[01:14:36.320 --> 01:14:41.420]   What's the relationship between sale price and year made all other things being equal?
[01:14:41.420 --> 01:14:45.280]   So
[01:14:45.920 --> 01:14:52.240]   All other things being equal basically means if we sold something in
[01:14:52.240 --> 01:14:58.520]   1990 versus 1980 and it was exactly the same thing to exactly the same person and exactly the same option
[01:14:58.520 --> 01:15:01.200]   So on and so forth. What would have been the difference in price?
[01:15:01.200 --> 01:15:10.160]   And so to do that we do something called a partial dependence plot and this is a partial dependence plot
[01:15:10.160 --> 01:15:12.320]   There's a really nice library which nobody's heard of
[01:15:12.320 --> 01:15:14.880]   called PDP
[01:15:15.880 --> 01:15:22.280]   Which does these partial dependence plots and what happens is this we've got our sample of 500 data points
[01:15:22.280 --> 01:15:29.400]   Right and we're going to do something really interesting. We're going to take each one of those hundred randomly chosen auctions and
[01:15:29.400 --> 01:15:34.080]   We're going to make a little data set out of it, right? So like here's our
[01:15:34.080 --> 01:15:38.960]   Here's our
[01:15:38.960 --> 01:15:44.680]   Here's our data set of like 500 auctions and
[01:15:45.520 --> 01:15:47.520]   Here's our columns
[01:15:47.520 --> 01:15:53.880]   One of which is the thing that we're interested in which is year made so here's year made
[01:15:53.880 --> 01:15:58.880]   Okay, and what we're going to do is we're now going to try and create a chart
[01:15:58.880 --> 01:16:02.880]   Where we're going to try and say all other things being equal in
[01:16:02.880 --> 01:16:06.040]   1960
[01:16:06.040 --> 01:16:09.000]   How much did
[01:16:09.160 --> 01:16:15.600]   Bulldozers cost how much did things cost in options? And so the way we're going to do that is we're going to replace the year
[01:16:15.600 --> 01:16:22.200]   Made column with 1960 we're going to copy in the value 1960 again and again and again all the way down
[01:16:22.200 --> 01:16:26.160]   Right. So now every row the year made is
[01:16:26.160 --> 01:16:31.120]   1960 and all of the other data is going to be exactly the same and we're going to take our random forest
[01:16:31.120 --> 01:16:33.840]   And we're going to pass all this through our random forest
[01:16:33.840 --> 01:16:38.140]   To predict the sale price
[01:16:38.560 --> 01:16:40.060]   So
[01:16:40.060 --> 01:16:46.540]   That will tell us for everything that was auctioned how much do we think it would have been sold for if?
[01:16:46.540 --> 01:16:52.900]   That thing was made in 1960 and that's what we're going to plot here
[01:16:52.900 --> 01:16:58.620]   All right, that's the price we're going to plot here, and then we're going to do the same thing for 1961
[01:16:58.620 --> 01:17:04.380]   All right, we're going to replace all these and do 1961
[01:17:04.380 --> 01:17:06.380]   Yeah
[01:17:06.380 --> 01:17:10.660]   Yeah
[01:17:10.660 --> 01:17:12.660]   So to be clear
[01:17:12.660 --> 01:17:19.820]   We've already fit the random forest yes, and then we're just passing a new year and seeing what it determines
[01:17:19.820 --> 01:17:20.740]   The price should be yeah
[01:17:20.740 --> 01:17:25.600]   So this is a lot like the way we did feature importance, but rather than randomly shuffling the column
[01:17:25.600 --> 01:17:28.700]   We're going to replace the column with a constant value
[01:17:28.700 --> 01:17:32.740]   All right, so randomly shuffling the column tells us
[01:17:33.340 --> 01:17:36.460]   How accurate it is when you don't use that column it anymore?
[01:17:36.460 --> 01:17:43.920]   Replacing the whole column with a constant tells us or estimates for us how much we would have sold that product for
[01:17:43.920 --> 01:17:50.620]   In that auction on that day in that place if that product had been made in 1961, right?
[01:17:50.620 --> 01:17:56.740]   So we basically then take the average of all of the sale prices that we calculate from that random forest
[01:17:56.740 --> 01:18:00.860]   And so we do it in 1961 and we get this value, right?
[01:18:01.660 --> 01:18:05.760]   So what the partial dependence plot here shows us is each of these light blue lines
[01:18:05.760 --> 01:18:11.140]   Actually is showing us all 500 lines, so it says
[01:18:11.140 --> 01:18:15.240]   for row number one in our data set
[01:18:15.240 --> 01:18:23.020]   If we sold it in 1960, we're going to index that to zero right so call that zero right if we sold it in
[01:18:23.020 --> 01:18:25.460]   1970 that particular
[01:18:25.460 --> 01:18:31.020]   Auction would have been here if we sold it in 1980 it would have been here if we sold in 1990
[01:18:31.020 --> 01:18:33.460]   It would have been here, so we actually plot all
[01:18:33.460 --> 01:18:36.660]   500
[01:18:36.660 --> 01:18:39.700]   Predictions of how much every one of those 500 it
[01:18:39.700 --> 01:18:46.700]   Auctions would have gone for if we replace it if we replace the EMA with each of these different values
[01:18:46.700 --> 01:18:51.160]   And there are then then this dark line here is the average
[01:18:51.160 --> 01:18:53.780]   Right so this tells us
[01:18:53.780 --> 01:18:55.780]   How much would we have sold?
[01:18:56.140 --> 01:19:03.640]   On average all of those options for if all of those products were actually made in 1985
[01:19:03.640 --> 01:19:11.820]   1990 1993 1994 and so forth and so you can see what's happened here is at least in the period where we have a reasonable
[01:19:11.820 --> 01:19:15.780]   Out of data which is since 1990. This is basically a totally straight line
[01:19:15.780 --> 01:19:21.260]   Which is what you would expect right because if it was sold on the same date
[01:19:21.260 --> 01:19:26.620]   And it was the same kind of tractor that was sold to the same person in the same option house
[01:19:26.620 --> 01:19:31.900]   Then you would expect more recent vehicles to be more expensive
[01:19:31.900 --> 01:19:36.540]   Because of inflation and because they're they're newer
[01:19:36.540 --> 01:19:41.900]   Like they're not they're not as second-hand and you would expect that relationship to be roughly linear
[01:19:41.900 --> 01:19:46.940]   And that's exactly what we're finding okay, so by removing all of these
[01:19:48.340 --> 01:19:52.420]   personalities it often allows us to see the truth
[01:19:52.420 --> 01:19:57.660]   Much more clearly there's a question at the back. Can you pass that back there? You're done, okay
[01:19:57.660 --> 01:20:00.660]   so
[01:20:00.660 --> 01:20:06.620]   This this partial dependence plot concept is something which is
[01:20:06.620 --> 01:20:09.260]   using a random forest
[01:20:09.260 --> 01:20:11.700]   To get us a more clear
[01:20:11.700 --> 01:20:17.780]   interpretation of what's going on in our data and so the steps were to first of all
[01:20:17.900 --> 01:20:19.260]   look
[01:20:19.260 --> 01:20:24.460]   at the feature importance to tell us like which things do we think we care about and
[01:20:24.460 --> 01:20:28.660]   Then to use the partial dependence plot to tell us
[01:20:28.660 --> 01:20:31.500]   What's going on on average?
[01:20:31.500 --> 01:20:34.340]   right
[01:20:34.340 --> 01:20:40.740]   There's another cool thing we can do with PDP is we can use clusters and what clusters does is it uses cluster analysis?
[01:20:40.740 --> 01:20:43.180]   to look at all of these
[01:20:43.180 --> 01:20:45.820]   each one of the 500 rows and say
[01:20:46.820 --> 01:20:52.860]   Does some of those 500 rows kind of move in the same way and like we can kind of see it seems like there's a whole
[01:20:52.860 --> 01:20:59.020]   Lot of rows that kind of go down and then up and there seems to be a bunch of rows that kind of go up
[01:20:59.020 --> 01:21:04.020]   And then go flat like it does seem like there are some kind of different types of behaviors being hidden
[01:21:04.020 --> 01:21:10.660]   And so here is the result of doing that cluster analysis, right is we still get the same average
[01:21:10.660 --> 01:21:13.220]   But it says here are kind of the five
[01:21:13.220 --> 01:21:15.900]   most common shapes that we see
[01:21:16.500 --> 01:21:21.820]   And this is where you could then go in and say all right. It looks like some kinds of vehicle
[01:21:21.820 --> 01:21:28.900]   Actually after 1990 their prices are pretty flat and before that they were pretty linear
[01:21:28.900 --> 01:21:35.740]   Some kinds of vehicle are kind of exactly the opposite and so like different kinds of vehicle have these different shapes
[01:21:35.740 --> 01:21:40.020]   Right, and so this is something you could dig into I think there's one at the back. Oh, you could okay
[01:21:40.020 --> 01:21:42.740]   So what we're going to do with this information
[01:21:42.740 --> 01:21:45.140]   well
[01:21:45.140 --> 01:21:47.140]   the purpose of
[01:21:47.140 --> 01:21:52.180]   Interpretation is to learn about a data set and so why do you want to learn about a data set?
[01:21:52.180 --> 01:21:56.620]   It's because you it's because you want to do something with it, right? So in this case
[01:21:56.620 --> 01:22:01.100]   It's not so much something if you're trying to win a Kaggle competition
[01:22:01.100 --> 01:22:05.980]   I mean it can be a little bit like some of these insights might make you realize how I could
[01:22:05.980 --> 01:22:09.860]   Transform this variable or create this interaction or whatever
[01:22:10.660 --> 01:22:16.660]   Obviously feature importance is super important for Kaggle competitions, but this one's much more for like real life
[01:22:16.660 --> 01:22:20.980]   you know so this is when you're talking to somebody and you say to them like
[01:22:20.980 --> 01:22:28.300]   Okay, those plots you've been showing me which actually say that like there was this kind of dip in prices
[01:22:28.300 --> 01:22:36.240]   You know based on like things made between 1990 and 1997 there wasn't really you know actually it was they were
[01:22:36.240 --> 01:22:39.540]   Increasing there was actually something else going on at that time
[01:22:40.420 --> 01:22:43.300]   You know it's basically the thing that allows you to say like
[01:22:43.300 --> 01:22:49.320]   For whatever this outcome. I'm trying to drive in my business is this is how something's driving it right so
[01:22:49.320 --> 01:22:51.980]   efforts like
[01:22:51.980 --> 01:22:55.440]   I'm looking at you know kind of advertising technology
[01:22:55.440 --> 01:22:58.500]   What's driving clicks that I'm actually digging in to say okay?
[01:22:58.500 --> 01:23:02.540]   This is actually how clicks are being driven. This is actually the variable that's driving it
[01:23:02.540 --> 01:23:06.140]   This is how it's related so therefore we should change our behavior in this way
[01:23:06.660 --> 01:23:12.940]   That's really the goal of any model. I guess there's two possible goals one goal of a model is just to get the predictions
[01:23:12.940 --> 01:23:14.720]   Like if you're doing hedge fund trading
[01:23:14.720 --> 01:23:19.540]   You probably just want to know what the price of that equity is going to be if you're doing insurance
[01:23:19.540 --> 01:23:26.180]   You probably just want to know how much claims that guy's going to have but probably most of the time you're actually trying to change
[01:23:26.180 --> 01:23:31.040]   Something about how you do business how you do marketing how you do logistics
[01:23:31.040 --> 01:23:34.940]   So the thing you actually care about is how the things are related to each other
[01:23:34.940 --> 01:23:42.580]   All right, I'm sorry can you explain again when you scroll up and you were looking at the sale price year may
[01:23:42.580 --> 01:23:45.420]   Look me at the entire model, and you saw that dip
[01:23:45.420 --> 01:23:56.080]   And you said something about that dip didn't signify what we thought it did can you explain why yeah, so this is like a classic
[01:23:56.080 --> 01:24:02.780]   Boring univariate plot right so this is basically just taking all of the dots all of the options
[01:24:02.780 --> 01:24:10.900]   Plotting year made against sale price, and we're going to just fitting a rough average through them and so
[01:24:10.900 --> 01:24:18.300]   It's true that products made between 1992 and
[01:24:18.300 --> 01:24:23.500]   1997 on average in our data set being sold for less
[01:24:23.500 --> 01:24:30.020]   So like very often in business you'll hear somebody look at something like this, and they'll be like oh we should
[01:24:30.860 --> 01:24:37.860]   We should stop auctioning equipment that is made in that year in those years because like we're getting less money for for example
[01:24:37.860 --> 01:24:42.860]   But if the truth actually is that during those years
[01:24:42.860 --> 01:24:47.380]   It's just that people were making more
[01:24:47.380 --> 01:24:56.780]   Small industrial equipment where you would expect it to be sold for less and actually our profit on it is just as high for instance or
[01:24:57.580 --> 01:25:03.300]   During those years. It's not that it's not things made during those years now would have
[01:25:03.300 --> 01:25:06.740]   Would be cheaper. It's that during those years
[01:25:06.740 --> 01:25:12.700]   When we were selling things in those years they were cheaper because like there was a recession going on
[01:25:12.700 --> 01:25:16.460]   So if you're trying to like actually take some action based on this
[01:25:16.460 --> 01:25:23.220]   You probably don't just care about the fact that things made in those years are cheaper on average, but how does that impact?
[01:25:23.220 --> 01:25:25.940]   today you know so
[01:25:27.220 --> 01:25:33.380]   This this approach where we actually say let's try and remove all of these externalities
