
[00:00:00.040 --> 00:00:09.620]  人民
[00:40:38.200 --> 00:40:38.200]   and I think that's a little bit of a minute,
[00:40:38.200 --> 00:40:38.200]   and I think that's a little bit of a minute,
[00:40:38.200 --> 00:40:38.200]   and I think that's a little bit of a minute,
[00:40:38.200 --> 00:40:38.200]   and I think that's a little bit of a minute,
[00:40:38.200 --> 00:40:38.200]   and I think that's a little bit of a minute,
[00:40:38.200 --> 00:40:38.200]   and I think that's a little bit of a minute,
[00:40:38.200 --> 00:40:38.200]   and I think that's a little bit of a minute,
[00:40:38.200 --> 00:40:38.200]   and I think that's a little bit of a minute,
[00:40:38.200 --> 00:40:38.200]   and I think that's a little bit of a minute,
[00:40:38.200 --> 00:40:38.200]   and I think that's a little bit of a minute,
[00:40:38.200 --> 00:40:38.200]   and I think that's a little bit of a minute,
[00:40:38.240 --> 00:41:08.220]   underway,
[00:41:08.220 --> 00:41:08.220]   and I think that's a little bit of a minute,
[00:41:08.220 --> 00:41:08.220]   and I think that's a little bit of a minute,
[00:41:08.220 --> 00:41:08.220]   and I think that's a little bit of a minute,
[00:41:08.220 --> 00:41:08.220]   and I think that's a little bit of a minute,
[00:41:08.220 --> 00:41:08.220]   and I think that's a little bit of a minute,
[00:41:08.220 --> 00:41:08.220]   and I think that's a little bit of a minute,
[00:41:08.220 --> 00:41:08.220]   and I think that's a little bit of a minute,
[00:41:08.220 --> 00:41:08.220]   and I think that's a little bit of a minute,
[00:41:08.220 --> 00:41:08.220]   and I think that's a little bit of a minute,
[00:41:08.220 --> 00:41:08.220]   and I think that's a little bit of a minute,
[00:41:08.220 --> 00:41:08.220]   and I think that's a little bit of a minute,
[00:41:08.220 --> 00:41:08.220]   and I think that's a little bit of a minute,
[00:41:08.220 --> 00:41:08.220]   and I think that's a little bit of a minute,
[00:41:08.240 --> 00:41:38.240]   I think that's a little bit of a minute,
[00:41:38.240 --> 00:41:38.240]   and I think that's a little bit of a minute,
[00:41:38.240 --> 00:41:38.240]   and I think that's a little bit of a minute,
[00:41:38.240 --> 00:41:38.240]   and I think that's a little bit of a minute,
[00:41:38.240 --> 00:41:38.240]   and I think that's a little bit of a minute,
[00:41:38.240 --> 00:41:38.240]   and I think that's a little bit of a minute,
[00:41:38.240 --> 00:41:38.240]   and I think that's a little bit of a minute,
[00:41:38.240 --> 00:41:38.240]   and I think that's a little bit of a minute,
[00:41:38.240 --> 00:41:38.240]   and I think that's a little bit of a minute,
[00:41:38.240 --> 00:41:38.240]   and I think that's a little bit of a minute,
[00:41:38.240 --> 00:41:38.240]   and I think that's a little bit of a minute,
[00:41:38.240 --> 00:41:38.240]   and I think that's a little bit of a minute,
[00:41:38.260 --> 00:42:08.260]   and I think that's a little bit of a minute,
[00:42:08.260 --> 00:42:08.260]   and I think that's a little bit of a minute,
[00:42:08.260 --> 00:42:08.260]   and I think that's a little bit of a minute,
[00:42:08.260 --> 00:42:08.260]   and I think that's a little bit of a minute,
[00:42:08.260 --> 00:42:08.260]   and I think that's a little bit of a minute,
[00:42:08.260 --> 00:42:08.260]   and I think that's a little bit of a minute,
[00:42:08.260 --> 00:42:08.260]   and I think that's a little bit of a minute,
[00:42:08.260 --> 00:42:08.260]   and I think that's a little bit of a minute,
[00:42:08.260 --> 00:42:08.260]   and I think that's a little bit of a minute,
[00:42:08.260 --> 00:42:08.260]   and I think that's a little bit of a minute,
[00:42:08.260 --> 00:42:08.260]   and I think that's a little bit of a minute,
[00:42:08.280 --> 00:42:38.280]   and I think that's a little bit of a minute,
[00:42:38.280 --> 00:42:38.280]   and I think that's a little bit of a minute,
[00:42:38.280 --> 00:42:38.280]   and I think that's a little bit of a minute,
[00:42:38.280 --> 00:42:38.280]   and I think that's a little bit of a minute,
[00:42:38.280 --> 00:42:38.280]   and I think that's a little bit of a minute,
[00:42:38.280 --> 00:42:38.280]   and I think that's a little bit of a minute,
[00:42:38.280 --> 00:42:38.280]   and I think that's a little bit of a minute,
[00:42:38.280 --> 00:42:38.280]   and I think that's a little bit of a minute,
[00:42:38.280 --> 00:42:38.280]   and I think that's a little bit of a minute,
[00:42:38.280 --> 00:42:38.280]   and I think that's a little bit of a minute,
[00:42:38.280 --> 00:42:38.280]   and I think that's a little bit of a minute,
[00:42:38.280 --> 00:42:38.280]   and I think that's a little bit of a minute,
[00:42:38.300 --> 00:43:08.300]   and I think that's a little bit of a minute,
[00:43:08.300 --> 00:43:08.300]   and I think that's a little bit of a minute,
[00:43:08.300 --> 00:43:08.300]   and I think that's a little bit of a minute,
[00:43:08.300 --> 00:43:08.300]   and I think that's a little bit of a minute,
[00:43:08.300 --> 00:43:08.300]   and I think that's a little bit of a minute,
[00:43:08.300 --> 00:43:08.300]   and I think that's a little bit of a minute,
[00:43:08.300 --> 00:43:08.300]   and I think that's a little bit of a minute,
[00:43:08.300 --> 00:43:08.300]   and I think that's a little bit of a minute,
[00:43:08.300 --> 00:43:08.300]   and I think that's a little bit of a minute,
[00:43:08.300 --> 00:43:08.300]   and I think that's a little bit of a minute,
[00:43:08.300 --> 00:43:08.300]   and I think that's a little bit of a minute,
[00:43:08.300 --> 00:43:08.300]   and I think that's a little bit of a minute,
[00:43:08.300 --> 00:43:08.300]   and I think that's a little bit of a minute,
[00:43:08.320 --> 00:43:38.320]   and I think that's a little bit of a minute,
[00:43:38.320 --> 00:43:38.320]   and I think that's a little bit of a minute,
[00:43:38.320 --> 00:43:38.320]   and I think that's a little bit of a minute,
[00:43:38.320 --> 00:43:38.320]   and I think that's a little bit of a minute,
[00:43:38.320 --> 00:43:38.320]   and I think that's a little bit of a minute,
[00:43:38.320 --> 00:43:38.320]   and I think that's a little bit of a minute,
[00:43:38.320 --> 00:43:38.320]   and I think that's a little bit of a minute,
[00:43:38.320 --> 00:43:38.320]   and I think that's a little bit of a minute,
[00:43:38.320 --> 00:43:38.320]   and I think that's a little bit of a minute,
[00:43:38.320 --> 00:43:38.320]   and I think that's a little bit of a minute,
[00:43:38.320 --> 00:43:38.320]   and I think that's a little bit of a minute,
[00:43:38.320 --> 00:43:38.320]   and I think that's a little bit of a minute,
[00:43:38.320 --> 00:43:38.320]   and I think that's a little bit of a minute,
[00:43:38.340 --> 00:44:08.340]   and I think that's a little bit of a minute,
[00:44:08.340 --> 00:44:08.340]   and I think that's a little bit of a minute,
[00:44:08.340 --> 00:44:08.340]   and I think that's a little bit of a minute,
[00:44:08.340 --> 00:44:08.340]   and I think that's a little bit of a minute,
[00:44:08.340 --> 00:44:08.340]   and I think that's a little bit of a minute,
[00:44:08.340 --> 00:44:08.340]   and I think that's a little bit of a minute,
[00:44:08.340 --> 00:44:08.340]   and I think that's a little bit of a minute,
[00:44:08.340 --> 00:44:08.340]   and I think that's a little bit of a minute,
[00:44:08.340 --> 00:44:08.340]   and I think that's a little bit of a minute,
[00:44:08.340 --> 00:44:08.340]   and I think that's a little bit of a minute,
[00:44:08.340 --> 00:44:08.340]   and I think that's a little bit of a minute,
[00:44:08.340 --> 00:44:08.340]   and I think that's a little bit of a minute,
[00:44:08.360 --> 00:44:38.360]   and I think that's a little bit of a minute,
[00:44:38.360 --> 00:44:38.360]   and I think that's a little bit of a minute,
[00:44:38.360 --> 00:44:38.360]   and I think that's a little bit of a minute,
[00:44:38.360 --> 00:44:38.360]   and I think that's a little bit of a minute,
[00:44:38.360 --> 00:44:38.360]   and I think that's a little bit of a minute,
[00:44:38.360 --> 00:44:38.360]   and I think that's a little bit of a minute,
[00:44:38.360 --> 00:44:38.360]   and I think that's a little bit of a minute,
[00:44:38.360 --> 00:44:38.360]   and I think that's a little bit of a minute,
[00:44:38.360 --> 00:44:38.360]   and I think that's a little bit of a minute,
[00:44:38.360 --> 00:44:38.360]   and I think that's a little bit of a minute,
[00:44:38.360 --> 00:44:38.360]   and I think that's a little bit of a minute,
[00:44:38.360 --> 00:44:38.360]   and I think that's a little bit of a minute,
[00:44:38.380 --> 00:45:08.380]   I think that's a little bit of a minute,
[00:45:08.380 --> 00:45:08.380]   and I think that's a little bit of a minute,
[00:45:08.380 --> 00:45:08.380]   and I think that's a little bit of a minute,
[00:45:08.380 --> 00:45:08.380]   and I think that's a little bit of a minute,
[00:45:08.380 --> 00:45:08.380]   and I think that's a little bit of a minute,
[00:45:08.380 --> 00:45:08.380]   and I think that's a little bit of a minute,
[00:45:08.380 --> 00:45:08.380]   and I think that's a little bit of a minute,
[00:45:08.380 --> 00:45:08.380]   and I think that's a little bit of a minute,
[00:45:08.380 --> 00:45:08.380]   and I think that's a little bit of a minute,
[00:45:08.380 --> 00:45:08.380]   and I think that's a little bit of a minute,
[00:45:08.380 --> 00:45:08.380]   and I think that's a little bit of a minute,
[00:45:08.380 --> 00:45:08.380]   and I think that's a little bit of a minute,
[00:45:08.400 --> 00:45:38.400]   and I think that's a little bit of a minute,
[00:45:38.400 --> 00:45:38.400]   and I think that's a little bit of a minute,
[00:45:38.400 --> 00:45:38.400]   and I think that's a little bit of a minute,
[00:45:38.400 --> 00:45:38.400]   and I think that's a little bit of a minute,
[00:45:38.400 --> 00:45:38.400]   and I think that's a little bit of a minute,
[00:45:38.400 --> 00:45:38.400]   and I think that's a little bit of a minute,
[00:45:38.400 --> 00:45:38.400]   and I think that's a little bit of a minute,
[00:45:38.400 --> 00:45:38.400]   and I think that's a little bit of a minute,
[00:45:38.400 --> 00:45:38.400]   and I think that's a little bit of a minute,
[00:45:38.400 --> 00:45:38.400]   and I think that's a little bit of a minute,
[00:45:38.400 --> 00:45:38.400]   and I think that's a little bit of a minute,
[00:45:38.400 --> 00:45:38.400]   and I think that's a little bit of a minute,
[00:45:38.420 --> 00:46:08.420]   And I think that's a little bit of a minute,
[00:46:08.420 --> 00:46:08.420]   and I think that's a little bit of a minute,
[00:46:08.420 --> 00:46:08.420]   and I think that's a little bit of a minute,
[00:46:08.420 --> 00:46:08.420]   and I think that's a little bit of a minute,
[00:46:08.420 --> 00:46:08.420]   and I think that's a little bit of a minute,
[00:46:08.420 --> 00:46:08.420]   and I think that's a little bit of a minute,
[00:46:08.420 --> 00:46:08.420]   and I think that's a little bit of a minute,
[00:46:08.420 --> 00:46:08.420]   and I think that's a little bit of a minute,
[00:46:08.420 --> 00:46:08.420]   and I think that's a little bit of a minute,
[00:46:08.420 --> 00:46:08.420]   and I think that's a little bit of a minute,
[00:46:08.420 --> 00:46:08.420]   and I think that's a little bit of a minute,
[00:46:08.420 --> 00:46:08.420]   and I think that's a little bit of a minute,
[00:46:08.420 --> 00:46:08.420]   and I think that's a little bit of a minute,
[00:46:08.440 --> 00:46:38.440]   And I think that's a little bit of a minute,
[00:46:38.440 --> 00:46:38.440]   and I think that's a little bit of a minute,
[00:46:38.440 --> 00:46:38.440]   and I think that's a little bit of a minute,
[00:46:38.440 --> 00:46:38.440]   and I think that's a little bit of a minute,
[00:46:38.440 --> 00:46:38.440]   and I think that's a little bit of a minute,
[00:46:38.440 --> 00:46:38.440]   and I think that's a little bit of a minute,
[00:46:38.440 --> 00:46:38.440]   and I think that's a little bit of a minute,
[00:46:38.440 --> 00:46:38.440]   and I think that's a little bit of a minute,
[00:46:38.440 --> 00:46:38.440]   and I think that's a little bit of a minute,
[00:46:38.440 --> 00:46:38.440]   and I think that's a little bit of a minute,
[00:46:38.440 --> 00:46:38.440]   and I think that's a little bit of a minute,
[00:46:38.440 --> 00:46:38.440]   and I think that's a little bit of a minute,
[00:46:38.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.460 --> 00:47:08.460]   and I think that's a little bit of a minute,
[00:47:08.480 --> 00:47:38.480]   I think that's a little bit of a minute,
[00:47:38.480 --> 00:47:38.480]   and I think that's a little bit of a minute,
[00:47:38.480 --> 00:47:38.480]   and I think that's a little bit of a minute,
[00:47:38.480 --> 00:47:38.480]   and I think that's a little bit of a minute,
[00:47:38.480 --> 00:47:38.480]   and I think that's a little bit of a minute,
[00:47:38.480 --> 00:47:38.480]   and I think that's a little bit of a minute,
[00:47:38.480 --> 00:47:38.480]   and I think that's a little bit of a minute,
[00:47:38.480 --> 00:47:38.480]   and I think that's a little bit of a minute,
[00:47:38.480 --> 00:47:38.480]   and I think that's a little bit of a minute,
[00:47:38.480 --> 00:47:38.480]   and I think that's a little bit of a minute,
[00:47:38.480 --> 00:48:08.500]   I think that's a little bit of a minute,
[00:48:08.500 --> 00:48:08.500]   and I think that's a little bit of a minute,
[00:48:08.500 --> 00:48:08.500]   and I think that's a little bit of a minute,
[00:48:08.500 --> 00:48:08.500]   and I think that's a little bit of a minute,
[00:48:08.500 --> 00:48:08.500]   and I think that's a little bit of a minute,
[00:48:08.500 --> 00:48:08.500]   and I think that's a little bit of a minute,
[00:48:08.500 --> 00:48:08.500]   and I think that's a little bit of a minute,
[00:48:08.500 --> 00:48:08.500]   and I think that's a little bit of a minute,
[00:48:08.500 --> 00:48:08.500]   and I think that's a little bit of a minute,
[00:48:08.500 --> 00:48:08.500]   and I think that's a little bit of a minute,
[00:48:08.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:48:38.520]   and I think that's a little bit of a minute,
[00:48:38.520 --> 00:49:08.540]   and I think that's a little bit of a minute,
[00:49:08.540 --> 00:49:08.540]   and I think that's a little bit of a minute,
[00:49:08.540 --> 00:49:08.540]   and I think that's a little bit of a minute,
[00:49:08.540 --> 00:49:08.540]   and I think that's a little bit of a minute,
[00:49:08.540 --> 00:49:08.540]   and I think that's a little bit of a minute,
[00:49:08.540 --> 00:49:08.540]   and I think that's a little bit of a minute,
[00:49:08.540 --> 00:49:08.540]   and I think that's a little bit of a minute,
[00:49:08.540 --> 00:49:08.540]   and I think that's a little bit of a minute,
[00:49:08.540 --> 00:49:08.540]   and I think that's a little bit of a minute,
[00:49:08.540 --> 00:49:08.540]   and I think that's a little bit of a minute,
[00:49:08.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:49:38.560]   and I think that's a little bit of a minute,
[00:49:38.560 --> 00:50:08.580]   and I think that's a little bit of a minute,
[00:50:08.580 --> 00:50:08.580]   and I think that's a little bit of a minute,
[00:50:08.580 --> 00:50:08.580]   and I think that's a little bit of a minute,
[00:50:08.580 --> 00:50:08.580]   and I think that's a little bit of a minute,
[00:50:08.580 --> 00:50:08.580]   and I think that's a little bit of a minute,
[00:50:08.580 --> 00:50:08.580]   and I think that's a little bit of a minute,
[00:50:08.580 --> 00:50:08.580]   and I think that's a little bit of a minute,
[00:50:08.580 --> 00:50:08.580]   and I think that's a little bit of a minute,
[00:50:08.580 --> 00:50:08.580]   and I think that's a little bit of a minute,
[00:50:08.580 --> 00:50:08.580]   and I think that's a little bit of a minute,
[00:50:08.580 --> 00:50:08.580]   and I think that's a little bit of a minute,
[00:50:08.600 --> 00:50:38.600]   I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:50:38.600 --> 00:50:38.600]   and I think that's a little bit of a minute,
[00:51:08.620 --> 00:51:08.620]   and I think that's a little bit of a minute,
[00:51:08.620 --> 00:51:08.620]   and I think that's a little bit of a minute,
[00:51:08.620 --> 00:51:08.620]   and I think that's a little bit of a minute,
[00:51:08.620 --> 00:51:08.620]   and I think that's a little bit of a minute,
[00:51:08.620 --> 00:51:08.620]   and I think that's a little bit of a minute,
[00:51:08.620 --> 00:51:08.620]   and I think that's a little bit of a minute,
[00:51:08.620 --> 00:51:08.620]   and I think that's a little bit of a minute,
[00:51:08.620 --> 00:51:08.620]   and I think that's a little bit of a minute,
[00:51:38.640 --> 00:51:50.680]   and I think that's a little bit of a minute,
[00:51:50.680 --> 00:51:52.660]   and I think that's a little bit of a minute,
[00:51:52.660 --> 00:51:53.480]   and I think that's a little bit of a minute,
[00:51:53.480 --> 00:51:54.620]   and I think that's a little bit of a minute,
[00:51:54.620 --> 00:51:54.920]   and I think that's a little bit of a minute,
[00:51:54.920 --> 00:51:55.260]   and I think that's a little bit of a minute,
[00:51:55.260 --> 00:51:56.320]   and I think that's a little bit of a minute,
[00:51:56.320 --> 00:51:57.280]   and I think that's a little bit of a minute,
[00:51:57.280 --> 00:51:58.420]   and I think that's a little bit of a minute,
[00:51:58.420 --> 00:51:59.460]   and I think that's a little bit of a minute,
[00:51:59.460 --> 00:52:01.760]   and I think I'll ultimately go in the direction of deleting it.
[00:52:01.760 --> 00:52:04.720]   But the other reason is because I don't trust Facebook to be,
[00:52:04.720 --> 00:52:06.560]   they don't do anything in my best interest.
[00:52:06.560 --> 00:52:08.660]   If I were to go and invest time,
[00:52:08.660 --> 00:52:08.660]   and I think that's a little bit of a minute,
[00:52:08.700 --> 00:52:38.680]   I think that's a little bit of a minute,
[00:52:38.680 --> 00:52:38.680]   and I think that's a little bit of a minute,
[00:52:38.680 --> 00:52:38.680]   and I think that's a little bit of a minute,
[00:52:38.680 --> 00:52:38.680]   and I think that's a little bit of a minute,
[00:52:38.680 --> 00:52:38.680]   and I think that's a little bit of a minute,
[00:52:38.680 --> 00:52:38.680]   and I think that's a little bit of a minute,
[00:52:38.680 --> 00:52:38.680]   and I think that's a little bit of a minute,
[00:52:38.680 --> 00:52:38.680]   and I think that's a little bit of a minute,
[00:52:38.680 --> 00:52:38.680]   and I think that's a little bit of a minute,
[00:52:38.720 --> 00:53:08.700]   Transportation is a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   and I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   and I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   and I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   and I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   and I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   and I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   and I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   and I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   and I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   and I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   and I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   and I think that's a little bit of a minute,
[00:53:08.700 --> 00:53:08.700]   and I think that's a little bit of a minute,
[00:53:08.720 --> 00:53:38.720]   and I think that's a little bit of a minute,
[00:53:38.720 --> 00:53:38.720]   and I think that's a little bit of a minute,
[00:53:38.720 --> 00:53:38.720]   and I think that's a little bit of a minute,
[00:53:38.720 --> 00:53:38.720]   and I think that's a little bit of a minute,
[00:53:38.720 --> 00:53:38.720]   and I think that's a little bit of a minute,
[00:53:38.720 --> 00:53:38.720]   and I think that's a little bit of a minute,
[00:53:38.720 --> 00:53:38.720]   and I think that's a little bit of a minute,
[00:53:38.720 --> 00:53:38.720]   and I think that's a little bit of a minute,
[00:53:38.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.740 --> 00:54:08.740]   and I think that's a little bit of a minute,
[00:54:08.760 --> 00:54:38.760]   I think that's a little bit of a minute,
[00:54:38.760 --> 00:54:38.760]   and I think that's a little bit of a minute,
[00:54:38.760 --> 00:54:38.760]   and I think that's a little bit of a minute,
[00:54:38.760 --> 00:54:38.760]   and I think that's a little bit of a minute,
[00:54:38.760 --> 00:54:38.760]   and I think that's a little bit of a minute,
[00:54:38.760 --> 00:54:38.760]   and I think that's a little bit of a minute,
[00:54:38.760 --> 00:54:38.760]   and I think that's a little bit of a minute,
[00:54:38.760 --> 00:54:38.760]   and I think that's a little bit of a minute,
[00:54:38.760 --> 00:54:38.760]   and I think that's a little bit of a minute,
[00:54:38.760 --> 00:54:38.760]   and I think that's a little bit of a minute,
[00:54:38.760 --> 00:54:38.760]   and I think that's a little bit of a minute,
[00:54:38.760 --> 00:54:38.760]   and I think that's a little bit of a minute,
[00:54:38.780 --> 00:55:08.780]   and I think that's a little bit of a minute,
[00:55:08.780 --> 00:55:08.780]   and I think that's a little bit of a minute,
[00:55:08.780 --> 00:55:08.780]   and I think that's a little bit of a minute,
[00:55:08.780 --> 00:55:08.780]   and I think that's a little bit of a minute,
[00:55:08.780 --> 00:55:08.780]   and I think that's a little bit of a minute,
[00:55:08.780 --> 00:55:08.780]   and I think that's a little bit of a minute,
[00:55:08.780 --> 00:55:08.780]   and I think that's a little bit of a minute,
[00:55:08.780 --> 00:55:08.780]   and I think that's a little bit of a minute,
[00:55:08.780 --> 00:55:08.780]   and I think that's a little bit of a minute,
[00:55:08.780 --> 00:55:08.780]   and I think that's a little bit of a minute,
[00:55:08.780 --> 00:55:08.780]   and I think that's a little bit of a minute,
[00:55:08.780 --> 00:55:08.780]   and I think that's a little bit of a minute,
[00:55:08.800 --> 00:55:38.800]   I think that's a little bit of a minute,
[00:55:38.800 --> 00:55:38.800]   and I think that's a little bit of a minute,
[00:55:38.800 --> 00:55:38.800]   and I think that's a little bit of a minute,
[00:55:38.800 --> 00:55:38.800]   and I think that's a little bit of a minute,
[00:55:38.800 --> 00:55:38.800]   and I think that's a little bit of a minute,
[00:55:38.800 --> 00:55:38.800]   and I think that's a little bit of a minute,
[00:55:38.800 --> 00:55:38.800]   and I think that's a little bit of a minute,
[00:55:38.800 --> 00:55:38.800]   and I think that's a little bit of a minute,
[00:55:38.800 --> 00:55:38.800]   and I think that's a little bit of a minute,
[00:55:38.800 --> 00:55:38.800]   and I think that's a little bit of a minute,
[00:55:38.800 --> 00:55:38.800]   and I think that's a little bit of a minute,
[00:55:38.840 --> 00:56:08.820]   I think that's a little bit of a minute,
[00:56:08.820 --> 00:56:08.820]   and I think that's a little bit of a minute,
[00:56:08.820 --> 00:56:08.820]   and I think that's a little bit of a minute,
[00:56:08.820 --> 00:56:08.820]   and I think that's a little bit of a minute,
[00:56:08.820 --> 00:56:08.820]   and I think that's a little bit of a minute,
[00:56:08.820 --> 00:56:08.820]   and I think that's a little bit of a minute,
[00:56:08.820 --> 00:56:08.820]   and I think that's a little bit of a minute,
[00:56:08.820 --> 00:56:08.820]   and I think that's a little bit of a minute,
[00:56:08.820 --> 00:56:08.820]   and I think that's a little bit of a minute,
[00:56:08.820 --> 00:56:08.820]   and I think that's a little bit of a minute,
[00:56:08.840 --> 00:56:38.840]   and I think that's a little bit of a minute,
[00:56:38.840 --> 00:56:38.840]   and I think that's a little bit of a minute,
[00:56:38.840 --> 00:56:38.840]   and I think that's a little bit of a minute,
[00:56:38.840 --> 00:56:38.840]   and I think that's a little bit of a minute,
[00:56:38.840 --> 00:56:38.840]   and I think that's a little bit of a minute,
[00:56:38.840 --> 00:56:38.840]   and I think that's a little bit of a minute,
[00:56:38.840 --> 00:56:38.840]   and I think that's a little bit of a minute,
[00:56:38.840 --> 00:56:38.840]   and I think that's a little bit of a minute,
[00:56:38.840 --> 00:56:38.840]   and I think that's a little bit of a minute,
[00:56:38.840 --> 00:56:38.840]   and I think that's a little bit of a minute,
[00:56:38.840 --> 00:56:38.840]   and I think that's a little bit of a minute,
[00:56:38.840 --> 00:56:38.840]   and I think that's a little bit of a minute,
[00:56:38.840 --> 00:56:38.840]   and I think that's a little bit of a minute,
