
[00:00:00.000 --> 00:00:03.480]   of Intermediate Biblical Counseling.
[01:03:26.840 --> 01:03:31.840]   They don't need to go exercise or to eat better.
[01:03:31.840 --> 01:03:34.840]   They need to deal with their issue before the Lord.
[01:03:34.840 --> 01:03:43.840]   So you want to address the physical issues and the spiritual issues wisely.
[01:03:43.840 --> 01:03:52.840]   So let me end here with some practical encouragements for counseling those with depression.
[01:03:52.840 --> 01:03:58.840]   And this will be just some practical encouragements from our Counseling Center
[01:03:58.840 --> 01:04:05.840]   and some things that we have learned and that I want to encourage you with as you prepare for this ministry.
[01:04:05.840 --> 01:04:10.840]   Letter A would be listen well and express Christ-like compassion.
[01:04:10.840 --> 01:04:15.840]   Let me encourage you to be a good friend to those who are depressed.
[01:04:15.840 --> 01:04:19.840]   What many depressed people need is a friendship or caring relationship.
[01:04:19.840 --> 01:04:22.840]   They've been isolated. They've withdrawn from relationship.
[01:04:22.840 --> 01:04:31.840]   And they do need an instrument of Christ to come into their life and love them well.
[01:04:31.840 --> 01:04:39.840]   I think probably one of the things that I've learned is don't be excessively problem-oriented with someone who is depressed.
[01:04:39.840 --> 01:04:46.840]   Instead, be person-oriented. Love them well. Develop that relationship.
[01:04:46.840 --> 01:04:53.840]   Don't seek to simply and quickly deal with or solve the problem.
[01:04:53.840 --> 01:04:56.840]   Realize that depression can be stubborn.
[01:04:56.840 --> 01:05:00.840]   Conversations with depressed people can be difficult.
[01:05:00.840 --> 01:05:04.840]   Understand that some do have a certain bent towards depression.
[01:05:04.840 --> 01:05:08.840]   They have a constitutional sadness.
[01:05:08.840 --> 01:05:10.840]   Understand that depression is suffering.
[01:05:10.840 --> 01:05:15.840]   Whether the depression is due to sin or the depression is due to some other cause,
[01:05:15.840 --> 01:05:19.840]   we know in all cases depression is suffering.
[01:05:19.840 --> 01:05:21.840]   So the entry gate is suffering.
[01:05:21.840 --> 01:05:24.840]   Show compassion.
[01:05:24.840 --> 01:05:29.840]   Spurgeon said, "Especially judge not the sons and daughters of sorrow.
[01:05:29.840 --> 01:05:34.840]   Allow no ungenerous suspicions of the afflicted, the poor, and the despondent.
[01:05:34.840 --> 01:05:38.840]   Do not hastily say they ought to be more brave and exhibit a greater faith.
[01:05:38.840 --> 01:05:42.840]   Ask not why are they so nervous and so absurdly fearful.
[01:05:42.840 --> 01:05:49.840]   No, I beseech you, remember that you understand not your fellow man."
[01:05:49.840 --> 01:05:55.840]   John Piper's prayer was that God would raise up many John Newtons in our midst
[01:05:55.840 --> 01:06:00.840]   who would come alongside the William Coopers in our church
[01:06:00.840 --> 01:06:05.840]   and minister hope and help to those who are in need.
[01:06:05.840 --> 01:06:11.840]   Letter B, adopt a grace-centered, Christ-centered approach to ministering to a depressed person.
[01:06:11.840 --> 01:06:13.840]   Dear friends, give them Christ.
[01:06:13.840 --> 01:06:18.840]   When you counsel with a depressed person, give this person Christ.
[01:06:18.840 --> 01:06:21.840]   Give them what secular therapy cannot give them,
[01:06:21.840 --> 01:06:24.840]   which is the person and work of Jesus Christ.
[01:06:24.840 --> 01:06:28.840]   Give them the hope that is found in the gospel of Christ.
[01:06:28.840 --> 01:06:32.840]   Give them good news, the good news of the gospel.
[01:06:32.840 --> 01:06:38.840]   Paul said, "I'm not ashamed of the gospel for it is the power of God for salvation."
[01:06:38.840 --> 01:06:44.840]   Review the truths, the blessings, and the benefits of the gospel with your counselee
[01:06:44.840 --> 01:06:53.840]   that he or she is justified through faith in Christ because of his perfect work on their behalf.
[01:06:53.840 --> 01:07:02.840]   A counselee is adopted as a child of God, that he or she has access into the presence of God,
[01:07:02.840 --> 01:07:10.840]   can come to the Father as a child comes to a loving Heavenly Father.
[01:07:10.840 --> 01:07:18.840]   I mentioned the first experience I had with a bout of depression where I went to one certain pastor
[01:07:18.840 --> 01:07:24.840]   and he told me of his experience and there was a second experience later on in my Christian life
[01:07:24.840 --> 01:07:29.840]   where another pastor who's very dear to me counseled me over the phone
[01:07:29.840 --> 01:07:33.840]   and counseled me with the truth of Romans 9.
[01:07:33.840 --> 01:07:37.840]   Dan, don't forget that Christ will never leave you,
[01:07:37.840 --> 01:07:43.840]   that he has loved you in eternity past and he will love you in eternity future.
[01:07:43.840 --> 01:07:48.840]   And that was the truth that for me broke the cycle of depression
[01:07:48.840 --> 01:07:52.840]   and helped me to spiral back up to hope and to joy.
[01:07:52.840 --> 01:07:59.840]   You need to give good news to your counselee and review these truths with your counselees.
[01:07:59.840 --> 01:08:02.840]   I mentioned the spiral of depression.
[01:08:02.840 --> 01:08:07.840]   It's just helpful to note that as Neuheiser comments,
[01:08:07.840 --> 01:08:11.840]   "Depression begins with a problem followed by a sinful response to that problem,
[01:08:11.840 --> 01:08:14.840]   which leads to a complicating problem.
[01:08:14.840 --> 01:08:17.840]   Hopeless thoughts lead to greater hopelessness."
[01:08:17.840 --> 01:08:25.840]   And so you do see a spiral here and this is from Elise Fitzpatrick's and Laura Henderson's work.
[01:08:25.840 --> 01:08:31.840]   You see sad thoughts and feelings leading to a lack of desire to fulfill responsibilities,
[01:08:31.840 --> 01:08:37.840]   leading to more sad thoughts compounded by irresponsibility and the cycle goes down.
[01:08:37.840 --> 01:08:43.840]   And you will find that at some point you need to break that cycle.
[01:08:43.840 --> 01:08:45.840]   You need to help the counselee cycle back up.
[01:08:45.840 --> 01:08:51.840]   Sometimes it's helping the counselee fulfill his or her responsibilities,
[01:08:51.840 --> 01:08:55.840]   whether they feel like it or not, and that can help break the cycle.
[01:08:55.840 --> 01:09:02.840]   Some counselees are even help when you give them homework that they need to serve other people in the church
[01:09:02.840 --> 01:09:06.840]   or that they need to engage in fellowship or go to small group
[01:09:06.840 --> 01:09:11.840]   or even get as specific as they need to stay after small group ends
[01:09:11.840 --> 01:09:14.840]   and learn the prayer requests of two to three people.
[01:09:14.840 --> 01:09:18.840]   Sometimes those type of assignments help to break the cycle
[01:09:18.840 --> 01:09:24.840]   so that the counselee begins to cycle back up to hope and to joy.
[01:09:24.840 --> 01:09:35.840]   Sometimes it's a specific truth from God's word that is targeted toward a counselee specific thoughts of unbelief and despair.
[01:09:35.840 --> 01:09:43.840]   Whatever the issue is, the point is that there is a place where we need to help the counselee
[01:09:43.840 --> 01:09:48.840]   break the cycle downward and begin to spiral back up.
[01:09:48.840 --> 01:09:53.840]   And so I mentioned a few helpful ways to do that.
[01:09:53.840 --> 01:10:01.840]   My last thought would simply be the issue of temptations to self-harm or suicide.
[01:10:01.840 --> 01:10:06.840]   And it really is an issue not to open up a whole other discussion,
[01:10:06.840 --> 01:10:19.840]   but I do need to bring this in at this point because I just don't want any counselor in our ministry to be fazed by this or to be unprepared.
[01:10:19.840 --> 01:10:23.840]   I wish I had another hour to discuss this in greater detail,
[01:10:23.840 --> 01:10:33.840]   but simply to say that you will come across counselees who will share their thoughts of self-harm or thoughts of suicide,
[01:10:33.840 --> 01:10:37.840]   and you just need to be able to assess that in some measure.
[01:10:37.840 --> 01:10:40.840]   And again, being careful with that.
[01:10:40.840 --> 01:10:44.840]   Each counselee is different, and you need to pray for discernment,
[01:10:44.840 --> 01:10:52.840]   but you do need to be prepared in some measure to handle that discussion.
[01:10:52.840 --> 01:11:00.840]   Paul Toshkis has the acronym SLAPP DIRT, and I think the DIRT part is actually --
[01:11:00.840 --> 01:11:05.840]   you can just go with the SLAPP, the first four parts of the acronym.
[01:11:05.840 --> 01:11:13.840]   And four questions to ask if this comes up in a counseling discussion is, is there a specific plan?
[01:11:13.840 --> 01:11:18.840]   Is there a how, where, and when in the person's mindset?
[01:11:18.840 --> 01:11:21.840]   Lethality, how deadly is that plan?
[01:11:21.840 --> 01:11:27.840]   Availability of means, does your friend have or can he easily get what he needs to carry out his plan?
[01:11:27.840 --> 01:11:33.840]   And proximity of help, how close help is can indicate determination.
[01:11:33.840 --> 01:11:38.840]   Toshkis says that if there has been a previous attempt at self-harm or suicide,
[01:11:38.840 --> 01:11:45.840]   then you add the acronym DIRT into the mix, and that helps you evaluate the previous attempt.
[01:11:45.840 --> 01:11:52.840]   But I just bring this up to simply prepare you for the discussion.
[01:11:52.840 --> 01:11:59.840]   I think when any thoughts or any temptations to self-harm come into the discussion,
[01:11:59.840 --> 01:12:03.840]   we apply basic biblical counseling principles.
[01:12:03.840 --> 01:12:08.840]   As Powelson says, we seek to understand the person and his situation.
[01:12:08.840 --> 01:12:13.840]   We ask questions, help me understand, why are you thinking this way?
[01:12:13.840 --> 01:12:20.840]   We bring the hope of Jesus Christ and his multifaceted saving provisions to bear upon the conversation.
[01:12:20.840 --> 01:12:28.840]   We minister the gospel. We expose the lies and the sinful desires that the person may be living by.
[01:12:28.840 --> 01:12:33.840]   We enlist others to help, watch, and care for this person.
[01:12:33.840 --> 01:12:42.840]   We take seriously the person's threats. If necessary, we alert key people and contact civil authorities.
[01:12:42.840 --> 01:12:47.840]   And as Dr. Jeremy Pierre has helped me with this,
[01:12:47.840 --> 01:12:59.840]   we inform the counselee of the resources that the counselee is responsible to avail himself or herself of
[01:12:59.840 --> 01:13:03.840]   in case there is temptation to self-harm.
[01:13:03.840 --> 01:13:13.840]   This includes emergency rooms, local police, suicide hotlines, emergency psychiatric services,
[01:13:13.840 --> 01:13:22.840]   and other mental health facilities, as well as family relationships and close friendships.
[01:13:22.840 --> 01:13:25.840]   Powelson says this, and I'll end with this comment.
[01:13:25.840 --> 01:13:32.840]   He says, "Beyond a basic warning, rebuking the person who contemplates suicide is rarely helpful or needful.
[01:13:32.840 --> 01:13:36.840]   Most people, especially Christians, know deep down that it is wrong.
[01:13:36.840 --> 01:13:42.840]   Therefore, instead of a condemning, 'Why would you do such an evil thing?' approach,
[01:13:42.840 --> 01:13:45.840]   consider a compassionate approach.
[01:13:45.840 --> 01:13:50.840]   Help me understand how or why your life is so miserable
[01:13:50.840 --> 01:13:55.840]   that you would see this wrong action as the only way or of escape.
[01:13:55.840 --> 01:14:04.840]   Focus on the causal conditions in the heart and on the better alternatives to the counselee's contemplated wrong.
[01:14:04.840 --> 01:14:09.840]   Sympathetic, express sympathetic disagreement.
[01:14:09.840 --> 01:14:21.840]   We can agree with this diagnosis that we can disagree with the remedy that I have a way.
[01:14:21.840 --> 01:14:25.840]   This life that you are living needs to end.
[01:14:25.840 --> 01:14:33.840]   We can give the counselee the hope that in Jesus, there is a new, rich, and abundant life."
[01:14:33.840 --> 01:14:37.840]   I know that is a lot to process in one session.
[01:14:37.840 --> 01:14:41.840]   I wish we probably need another session on this topic,
[01:14:41.840 --> 01:14:46.840]   but I do hope this was a helpful overview on a much-needed topic,
[01:14:46.840 --> 01:14:51.840]   and I do pray and hope that you will study more on this subject.
[01:14:51.840 --> 01:14:56.840]   We have, as I said, what the secular world cannot give.
[01:14:56.840 --> 01:14:58.840]   We have the gospel of Christ.
[01:14:58.840 --> 01:15:01.840]   We have the provisions and the promises of the gospel.
[01:15:01.840 --> 01:15:05.840]   We have the inspired and inerrant word of God.
[01:15:05.840 --> 01:15:07.840]   We are members of the local church.
[01:15:07.840 --> 01:15:10.840]   We are filled with the spirit of God.
[01:15:10.840 --> 01:15:17.840]   We have all that we need to come alongside those who are struggling with depression.
[01:15:17.840 --> 01:15:23.840]   I pray that as there were two pastors in my life who met with me,
[01:15:23.840 --> 01:15:29.840]   who spoke God's truth to me, and helped me come out of the slough of despond,
[01:15:29.840 --> 01:15:35.840]   and I pray that each of you will have that ministry and that opportunity in other people's lives,
[01:15:35.840 --> 01:15:39.840]   and I know that if you study well and if you are trained well,
[01:15:39.840 --> 01:15:45.840]   that you will have that opportunity, and God will use you greatly in this ministry.
[01:15:45.840 --> 01:15:48.840]   Let me pray for us, and then I'll let you go.
[01:15:48.840 --> 01:15:55.840]   Thank you so much for your attention tonight, and let's close our time in a word of prayer.
[01:15:55.840 --> 01:16:04.840]   Our Father, we are so thankful for your word and thankful for the provisions of the gospel,
[01:16:04.840 --> 01:16:06.840]   the provisions of Christ.
[01:16:06.840 --> 01:16:09.840]   We're thankful for the examples of men like John Newton,
[01:16:09.840 --> 01:16:19.840]   who exercised such a loving, compassionate pastoral ministry in the life of William Cooper,
[01:16:19.840 --> 01:16:27.840]   and we pray that you would raise up many counselors in our midst that would be able to exercise such a ministry,
[01:16:27.840 --> 01:16:33.840]   that we would be those who believe that the church is a spiritual hospital,
[01:16:33.840 --> 01:16:38.840]   that we would welcome the weak and those who struggle with the sorrows of life.
[01:16:38.840 --> 01:16:43.840]   And Father, I pray that you would help us to speak the truth of God into others' lives
[01:16:43.840 --> 01:16:50.840]   so that the spiral of depression may be changed and be broken.
[01:16:50.840 --> 01:16:55.840]   Grant our students a wonderful week of study.
[01:16:55.840 --> 01:17:02.840]   We thank you for each one and pray that you would bring great fruitfulness from our time of study in your word.
[01:17:02.840 --> 01:17:06.840]   We thank you for this time. We pray this in Jesus' name. Amen.
[01:17:06.840 --> 01:17:09.840]   Amen. Well, thank you so much for joining us tonight.
[01:17:09.840 --> 01:17:12.840]   We are going to break for tonight.
[01:17:12.840 --> 01:17:18.840]   We will have class next Sunday at 5 o'clock Pacific Time,
[01:17:18.840 --> 01:17:22.840]   and we look forward to looking at Counseling Exam #6 next week.
[01:17:22.840 --> 01:17:24.840]   God bless you and thanks again for joining us tonight.

