
[00:00:00.000 --> 00:00:04.200]   This year's spring break in Hawaii turned into one of the most strategic and rewarding travel
[00:49:47.920 --> 00:49:52.960]   So kind of compared to main cabin extra or economy plus, they're going to be able to start booking
[00:49:52.960 --> 00:49:59.040]   flights where you're going to need those assigned seats in Q3 for flights beginning in 2026 in Q1.
[00:49:59.040 --> 00:50:02.400]   A couple of the changes as far as who's going to be able to book them.
[00:50:02.400 --> 00:50:08.640]   Well, there are now the same four classes of service as always, except they're renaming all of them.
[00:50:08.640 --> 00:50:12.320]   So want to get away becomes basic want to get away plus becomes choice.
[00:50:12.320 --> 00:50:16.800]   Anytime becomes choice preferred and business select becomes choice extra.
[00:50:16.800 --> 00:50:19.760]   And depending on which one you book affects what kind of seats you can choose.
[00:50:19.760 --> 00:50:23.920]   So if you choose basic, you only get standard and you don't get it till you check in.
[00:50:23.920 --> 00:50:26.960]   If you book choice, you get standard and you can select it a booking.
[00:50:26.960 --> 00:50:29.560]   If you choose choice preferred, you get a preferred seat.
[00:50:29.560 --> 00:50:32.140]   And if you choose choice extra, you get the extra leg room.
[00:50:32.140 --> 00:50:37.500]   Um, you also don't get any checked bags unless you book that choice extra.
[00:50:37.500 --> 00:50:43.980]   However, there are still two other ways to get free bags and even some free seating options.
[00:50:43.980 --> 00:50:49.260]   Um, and that's by either having status or by being a Southwest card holder.
[00:50:49.260 --> 00:50:55.580]   So if you have a list, which is their base status, you get one bag free and you can select a standard
[00:50:55.580 --> 00:50:58.060]   or premium seat at booking on any of the fair classes.
[00:50:58.220 --> 00:51:01.700]   And then 48 hours out, you can pick an extra leg room seat if it's there.
[00:51:01.700 --> 00:51:06.220]   And then if you're a list preferred, you get two bags and you can pick any seat regardless
[00:51:06.220 --> 00:51:07.800]   of what fair class you booked.
[00:51:07.800 --> 00:51:13.800]   And then if you're a Southwest card holder, you get one checked bag on any fair class.
[00:51:13.800 --> 00:51:17.260]   But then depending on your card, you also get some seating preferences.
[00:51:17.580 --> 00:51:21.900]   So if you have plus or plus business, you get standard seats, 48 hours out.
[00:51:21.900 --> 00:51:26.160]   If you have the premier or the premier business card, you can choose standard, but you can also
[00:51:26.160 --> 00:51:28.380]   choose preferred seats at 48 hours out.
[00:51:28.380 --> 00:51:33.020]   And then finally, if you have the most expensive, the priority or the preferred business card,
[00:51:33.020 --> 00:51:34.920]   you get the same perks as a list.
[00:51:35.060 --> 00:51:41.220]   So you can choose a standard or premium seat at booking and you get extra leg room at 48
[00:51:41.220 --> 00:51:41.740]   hours out.
[00:51:41.740 --> 00:51:42.920]   So there's a lot of changes.
[00:51:42.920 --> 00:51:46.740]   I'll put a link in the show notes to a page that details out all of them.
[00:51:46.740 --> 00:51:51.540]   But the short version is if you have a card or you have status, you still get a free checked
[00:51:51.540 --> 00:51:51.980]   bag.
[00:51:52.480 --> 00:51:58.080]   And if you book anything other than the basic fare they're introducing, you can still do
[00:51:58.080 --> 00:52:00.060]   your same day changes and standbys.
[00:52:00.060 --> 00:52:02.720]   And so that's pretty nice.
[00:52:02.720 --> 00:52:04.720]   And you can still transfer your flight credit.
[00:52:04.720 --> 00:52:07.880]   So yes, you get a flight credit, but it doesn't have to be used by you.
[00:52:07.880 --> 00:52:12.780]   So I'll probably never be booking that basic class in the future, which is a bummer.
[00:52:12.780 --> 00:52:18.300]   But hopefully the kind of choice or what is now want to get away plus fares will be, you
[00:52:18.300 --> 00:52:19.620]   know, somewhat reasonable still.
[00:52:19.620 --> 00:52:23.780]   So another pretty interesting piece of news came from Built.
[00:52:23.780 --> 00:52:29.420]   And if you have the Built Rewards card, which I do and I love, you can earn points for paying
[00:52:29.420 --> 00:52:32.120]   rent and up to $100,000 of rent a year.
[00:52:32.120 --> 00:52:34.080]   You earn 1x points with no fees.
[00:52:34.080 --> 00:52:36.480]   You can set it up with a rental portal.
[00:52:36.480 --> 00:52:38.040]   You can mail a check to a landlord.
[00:52:38.040 --> 00:52:41.520]   So anyone that has rent, I highly recommend the Built card.
[00:52:41.520 --> 00:52:44.760]   It's just if you're paying that rent, you might as well be earning points.
[00:52:44.760 --> 00:52:46.080]   And Built points are fantastic.
[00:52:46.080 --> 00:52:47.920]   They have amazing transfer partners.
[00:52:48.200 --> 00:52:52.500]   Like I would trade my Amex points for Built points if that was an option.
[00:52:52.500 --> 00:52:55.680]   But you don't actually need the Built card to use Built points program.
[00:52:55.680 --> 00:53:00.180]   In fact, you can join Built Rewards for free and start earning points through all the various
[00:53:00.180 --> 00:53:00.960]   other things they do.
[00:53:00.960 --> 00:53:03.320]   They partner with tons of restaurants.
[00:53:03.320 --> 00:53:07.460]   So there's a bunch of great restaurants in the Bay Area and I'm sure in almost every city
[00:53:07.460 --> 00:53:12.380]   where when you dine out at that restaurant using any credit card you have, you can end up earning
[00:53:12.380 --> 00:53:16.700]   any plus 2, plus 3, plus 4 Built points on top of that.
[00:53:16.700 --> 00:53:20.180]   They have a bunch of partnerships with places like SoulCycle.
[00:53:20.180 --> 00:53:23.740]   They have a partnership with Lyft where when you get a Lyft ride, you can also earn Built points.
[00:53:23.740 --> 00:53:28.040]   You know, if you refer someone who opens up a Built card, you get Built points.
[00:53:28.280 --> 00:53:33.560]   So there are a lot of reasons to join the Built Rewards program and I think it's pretty reasonable
[00:53:33.560 --> 00:53:36.020]   to rack up Built points without even having the Built card.
[00:53:36.020 --> 00:53:41.040]   But they've just launched another way to do it and that is paying rent not through the
[00:53:41.040 --> 00:53:41.700]   Built card.
[00:53:41.700 --> 00:53:47.140]   So as a Built Rewards member, you could have always used any credit card to pay rent, but
[00:53:47.140 --> 00:53:49.580]   they charge a 3% fee and they weren't awarding you any points.
[00:53:49.580 --> 00:53:52.480]   So it was kind of an expensive way to pay your rent.
[00:53:52.480 --> 00:53:56.620]   Now, they've added earning Built points on top of whatever you get from your credit card
[00:53:56.620 --> 00:53:57.560]   for that same fee.
[00:53:57.560 --> 00:54:03.120]   So if you were to use any card that's not an Amex to pay your rent, you'll pay a 3% fee.
[00:54:03.120 --> 00:54:08.820]   You'll still get all the credit card points from that transaction and you'll also get 1x Built
[00:54:08.820 --> 00:54:09.180]   points.
[00:54:09.180 --> 00:54:11.520]   Now, is this as good a deal as using the Built card?
[00:54:11.520 --> 00:54:15.960]   No, but if for whatever reason you don't have or want the Built card and you need to pay rent,
[00:54:15.960 --> 00:54:19.780]   this could be a good way to earn more points if you're willing to pay that fee.
[00:54:20.260 --> 00:54:23.960]   And if you think about it from the perspective of there are cards like the Capital One Venture
[00:54:23.960 --> 00:54:27.740]   or Venture X cards that earn 2x on everything, you're going to get an extra point from Built
[00:54:27.740 --> 00:54:29.160]   on paying your rent.
[00:54:29.160 --> 00:54:30.880]   So you're kind of getting 3x points.
[00:54:30.880 --> 00:54:32.760]   You're paying a 3% fee.
[00:54:32.760 --> 00:54:35.300]   There are cases where that might make sense.
[00:54:35.300 --> 00:54:38.660]   You're effectively going to be buying points at a penny a point.
[00:54:38.660 --> 00:54:41.180]   Depending on the program, maybe that's worth it.
[00:54:41.180 --> 00:54:46.720]   Now, I'm not usually one to suggest paying a fee to use your credit card to earn points.
[00:54:46.900 --> 00:54:50.800]   But in the case where you're going to not only get your points, but you're also getting
[00:54:50.800 --> 00:54:51.820]   another set of points.
[00:54:51.820 --> 00:54:53.640]   In this case, 1x points from Built.
[00:54:53.640 --> 00:54:55.640]   I think it can make sense in some cases.
[00:54:55.640 --> 00:54:58.900]   Note that if it is an Amex card, you only get half a point from Built.
[00:54:58.900 --> 00:55:00.320]   So much less appealing.
[00:55:00.320 --> 00:55:05.920]   Now, another circumstance where paying a fee might make sense is with services for your business
[00:55:05.920 --> 00:55:08.740]   to turn business expenses into credit card charges.
[00:55:08.800 --> 00:55:12.720]   There's two companies out there, Melio and Plastique, that allow you to basically turn
[00:55:12.720 --> 00:55:15.860]   any of your business expenses into things you can put on a credit card.
[00:55:15.860 --> 00:55:20.240]   And then they will send an ACH, send a check, send a wire, even internationally.
[00:55:20.240 --> 00:55:21.900]   Now, they do charge a fee.
[00:55:21.900 --> 00:55:24.120]   And that fee is 2.9%.
[00:55:24.120 --> 00:55:28.680]   But what's super interesting, obviously, if you have a signup bonus to hit, this can be helpful
[00:55:28.680 --> 00:55:29.700]   if you don't have the spend.
[00:55:30.220 --> 00:55:35.580]   But when I started thinking about the fact that those credit card fees are expenses as
[00:55:35.580 --> 00:55:42.540]   well, and so depending on your tax bracket, your marginal tax bracket, if your business
[00:55:42.540 --> 00:55:47.060]   is profitable and any dollar you're no longer taking out as profit because you have more
[00:55:47.060 --> 00:55:55.720]   expenses would be taxed at a pretty high rate if you took that money out instead, you can
[00:55:55.720 --> 00:56:00.980]   kind of tax adjust the cost of using a service like Melio or Plastique.
[00:56:00.980 --> 00:56:07.440]   So depending on your tax bracket, that could bring that 2.9% fee down to a maybe more effective
[00:56:07.440 --> 00:56:10.720]   1.6%, which is all of a sudden really interesting.
[00:56:10.720 --> 00:56:16.000]   And there are unlimited numbers of cards that earn more than 1.6%.
[00:56:16.000 --> 00:56:19.900]   Now, if you don't have any state income taxes or you're in a really low federal tax bracket,
[00:56:19.900 --> 00:56:21.800]   maybe this isn't interesting at all.
[00:56:21.800 --> 00:56:25.080]   But if you're in a higher tax bracket, it could be pretty interesting.
[00:56:25.640 --> 00:56:29.380]   There's even another company called Zill Money that will let you put your payroll for your
[00:56:29.380 --> 00:56:30.720]   business on your credit card.
[00:56:30.720 --> 00:56:36.720]   So recently, I've been looking at this as a way to have more credit card spend on things
[00:56:36.720 --> 00:56:38.760]   that don't normally accept a credit card.
[00:56:38.760 --> 00:56:42.340]   I don't think it is as easy to do as a consumer.
[00:56:42.340 --> 00:56:46.280]   I have not tested how this works for non-business things.
[00:56:46.280 --> 00:56:49.440]   Let's say you need to pay your contractor and your contractor doesn't accept a credit card,
[00:56:49.440 --> 00:56:53.740]   but you want to, this could be an option.
[00:56:53.740 --> 00:56:55.420]   I haven't looked into how that would work.
[00:56:55.560 --> 00:56:59.660]   It's primarily targeted for businesses to use.
[00:56:59.660 --> 00:57:02.300]   I will try to put some links to any deals I can get.
[00:57:02.300 --> 00:57:03.060]   I don't know them.
[00:57:03.060 --> 00:57:05.500]   They're not paying me to talk about them, but I'm going to see what I can do.
[00:57:05.500 --> 00:57:07.840]   And I'll put links to those in the show notes if I can find anything.
[00:57:07.840 --> 00:57:12.180]   Speaking of large business expenses that you might be able to turn into a credit card,
[00:57:12.180 --> 00:57:18.240]   there is a really lucrative business credit card deal that if you have a ton of spend,
[00:57:18.240 --> 00:57:20.260]   could be really valuable.
[00:57:20.820 --> 00:57:24.680]   But when I say a ton of spend, maybe the most I've ever seen in a signup bonus.
[00:57:24.680 --> 00:57:39.600]   So the VentureX business card is offering 350,000 points in the form of 150,000 points after spending $30,000 and then an additional 200,000 points after spending $200,000 all within the first six months.
[00:57:39.700 --> 00:57:45.340]   Now, obviously, if you don't have $200,000 that you need to spend on a card in the next six months,
[00:57:45.340 --> 00:57:47.960]   you know, this is not as exciting of a bonus.
[00:57:47.960 --> 00:57:51.860]   But if you run a business and you have tons of expenses that you're always putting on a credit card,
[00:57:51.860 --> 00:57:57.780]   it works out to an effective 3.75% back on $200,000 of spend.
[00:57:57.780 --> 00:58:04.700]   After that $200,000 of spend, you're getting 750,000 points, which is a pretty good return for that spend.
[00:58:04.700 --> 00:58:11.160]   And there aren't a lot of other cards that can match, you know, 3.75% back on that much spend.
[00:58:11.300 --> 00:58:18.140]   Finally, it is last call on the Chase Sapphire Preferred 100,000 point bonus offer after spending $5,000 in three months.
[00:58:18.140 --> 00:58:22.280]   There is some nuance to how you're eligible for it.
[00:58:22.280 --> 00:58:25.680]   To be eligible, you can't currently hold a Chase Sapphire Preferred or Reserve card,
[00:58:25.680 --> 00:58:29.420]   and you can't have gotten a bonus on either of those cards in the last 48 months.
[00:58:29.420 --> 00:58:36.580]   That said, if it's been longer than that, or you've never had the card, there are ways to make sure you're eligible.
[00:58:36.580 --> 00:58:40.640]   I'll link to a post that I wrote in the show notes that walks through some of that.
[00:58:40.640 --> 00:58:44.480]   I know it's been a great offer for a lot of you, so I just want to flag that it is kind of last call for that.
[00:58:44.480 --> 00:58:47.560]   That offer will probably be gone for, I don't know how long.
[00:58:47.560 --> 00:58:50.940]   Sometimes they come back a year or two later, sometimes you never see them again.
[00:58:50.940 --> 00:58:52.200]   A couple quick last things.
[00:58:52.200 --> 00:58:54.420]   First, Mother's Day is this weekend.
[00:58:54.420 --> 00:58:56.140]   Congratulations to all you moms.
[00:58:56.140 --> 00:58:56.700]   You're awesome.
[00:58:56.700 --> 00:58:57.660]   You power the world.
[00:58:57.660 --> 00:59:00.900]   Shout out to my wife, Amy, and my mom, and my mother-in-law.
[00:59:00.900 --> 00:59:02.060]   You guys are all amazing.
[00:59:02.060 --> 00:59:08.780]   I just wanted to share a couple quick gift ideas for any people who have waited this long and need a last-minute suggestion.
[00:59:08.980 --> 00:59:16.800]   One that we recently got in our home, which I've talked about in the past before, saying I wish I had it, is the Ratio Coffee.
[00:59:16.800 --> 00:59:22.000]   It is a coffee maker that's basically like a pour-over coffee machine.
[00:59:22.000 --> 00:59:23.140]   It's incredible.
[00:59:23.140 --> 00:59:29.220]   I don't even love coffee that much, and it just makes a perfect, delicious cup of coffee.
[00:59:29.220 --> 00:59:31.420]   My wife uses it literally every day.
[00:59:31.760 --> 00:59:33.180]   It is an amazing device.
[00:59:33.180 --> 00:59:36.420]   It's a little on the pricey side, but it's also beautiful.
[00:59:36.420 --> 00:59:44.840]   And if you compare it to the cost of actually having coffee at a coffee shop, it's probably a steal.
[00:59:45.000 --> 00:59:52.360]   Next is StoryWorth, which basically it sends your loved one an email throughout the year collecting stories.
[00:59:52.360 --> 00:59:53.400]   When did you grow up?
[00:59:53.400 --> 00:59:54.780]   What was your childhood like?
[00:59:54.780 --> 00:59:57.340]   And builds them all into a book at the end of the year.
[00:59:57.340 --> 00:59:58.820]   Really cool.
[00:59:58.820 --> 01:00:00.120]   I've done this with my parents.
[01:00:00.120 --> 01:00:00.860]   It's awesome.
[01:00:01.520 --> 01:00:04.040]   They are a sponsor of the show, not of this episode.
[01:00:04.040 --> 01:00:06.760]   So I do have a discount in the show notes.
[01:00:06.760 --> 01:00:12.020]   Another company that we've actually used for many years is called AuraFrame.
[01:00:12.020 --> 01:00:14.740]   They're this great digital picture frame.
[01:00:14.740 --> 01:00:16.820]   We have one in every family member's house.
[01:00:16.820 --> 01:00:21.580]   And you can send photos to them from your phone to all of the picture frames in your family.
[01:00:21.580 --> 01:00:29.960]   And it kind of is a really great UI UX for sharing photos to anyone, but in this particular case, mothers.
[01:00:29.960 --> 01:00:35.980]   They are also, after many years of pitching them to sponsor the podcast, have become a sponsor.
[01:00:35.980 --> 01:00:38.420]   So I think we have another discount in the show notes.
[01:00:38.420 --> 01:00:49.140]   A couple years ago, I got my wife this really cool puzzle on Etsy where they basically took pictures of her and our kids.
[01:00:49.300 --> 01:00:52.260]   Really more just described height, hair color, age.
[01:00:52.260 --> 01:00:58.700]   And created this kind of really cool superhero best mom puzzle that she didn't really know what it was until she put it together.
[01:00:58.700 --> 01:01:03.640]   So looking for cool Mother's Day puzzles on Etsy is awesome.
[01:01:03.640 --> 01:01:06.800]   Though I realize that by the time you hear this, that will be too late.
[01:01:06.800 --> 01:01:14.860]   One year, I used an app called Zeal to schedule an in-home massage for Amy.
[01:01:14.860 --> 01:01:16.440]   And she said it was amazing.
[01:01:16.440 --> 01:01:18.080]   I'll put a link in the show notes.
[01:01:18.220 --> 01:01:19.680]   It's totally my referral link.
[01:01:19.680 --> 01:01:21.840]   But I think you get $25 off.
[01:01:21.840 --> 01:01:23.660]   So that's a cool last minute idea.
[01:01:23.660 --> 01:01:26.780]   And then finally, I asked Amy for her suggestions.
[01:01:26.780 --> 01:01:31.300]   And there's these 2 necklaces she loves that are initial necklaces.
[01:01:31.300 --> 01:01:33.120]   And I'll put some links in the show notes there.
[01:01:33.120 --> 01:01:35.240]   She has some with her initials.
[01:01:35.240 --> 01:01:38.400]   You could do it with your kids' initials.
[01:01:38.400 --> 01:01:39.980]   But she really loves it.
[01:01:39.980 --> 01:01:40.860]   Wears it all the time.
[01:01:40.860 --> 01:01:43.680]   And so that's another one that I think is a good suggestion.
[01:01:43.680 --> 01:01:55.300]   Finally, I believe this episode is coming out on May 7th, which is the deadline for real ID to be the requirement at TSA for traveling in the US.
[01:01:55.300 --> 01:02:01.020]   And so if you don't have a real ID, remember that starting today, you will need one at the airport.
[01:02:01.020 --> 01:02:09.000]   So if you don't have either a black or a gold star or, in California, a bear with a star in it, you probably don't have a real ID.
[01:02:09.000 --> 01:02:13.140]   And you may not be able to board a flight or go through security without it.
[01:02:13.140 --> 01:02:15.640]   And so you can bring your passport instead.
[01:02:15.640 --> 01:02:17.660]   You can bring a passport card instead.
[01:02:18.300 --> 01:02:21.800]   Some states have enhanced driver's licenses, which are also acceptable.
[01:02:21.800 --> 01:02:27.020]   If you have your global entry and you've got a global entry card, you can use that.
[01:02:27.020 --> 01:02:30.980]   I'll link to the TSA page that says all of the different things that are eligible.
[01:02:30.980 --> 01:02:36.500]   But just know that, as of today, if you don't have a real ID, you need one to go through security.
[01:02:36.740 --> 01:02:38.740]   This episode is brought to you by Element.
[01:02:38.740 --> 01:02:49.060]   Now, I love Element and I use it all the time because it helps anyone stay hydrated without the sugar and other dodgy ingredients in popular electrolyte and sports drinks.
[01:02:49.060 --> 01:02:55.660]   And that's important because electrolyte deficiency or imbalance can cause headaches, cramps, fatigue, brain fog, and weakness.
[01:02:55.660 --> 01:03:03.560]   In fact, Element is a zero-sugar electrolyte drink mix and sparkling electrolyte water born from the growing body of research,
[01:03:03.560 --> 01:03:08.800]   revealing that optimal health outcomes occur at sodium levels two to three times government recommendations.
[01:03:08.800 --> 01:03:13.700]   Element is formulated for anyone on a mission to restore their health through hydration
[01:03:13.700 --> 01:03:18.500]   and is perfectly suited for everyone from athletes to regular people like me
[01:03:18.500 --> 01:03:22.440]   and works if you're fasting on a keto, low-carb, or paleo diet.
[01:03:22.440 --> 01:03:28.160]   And if you're not sure if it's for you, don't worry because Element offers a no-questions-asked refund policy
[01:03:28.160 --> 01:03:30.120]   so you can try it totally risk-free.
[01:03:30.120 --> 01:03:35.900]   Get your free sample pack with any Element purchase at chrishutchins.com slash LMNT.
[01:03:35.900 --> 01:03:41.920]   This deal is only available through that link, so support the show and go to chrishutchins.com slash Element
[01:03:41.920 --> 01:03:44.980]   or click the link in the description and get hydrated.
[01:03:44.980 --> 01:03:52.640]   Last thing I want to mention before I wrap, I got a few messages from listeners about last week's episode on oral health with Dr. Mark.
[01:03:53.080 --> 01:03:59.500]   And they really came in two flavors and I just thought the nature of my personality and this show, I thought I'd address them.
[01:03:59.500 --> 01:04:10.820]   So one is about guests who pitch products and the other is about fluoride and his opinions of that and fears that the show was getting a little political.
[01:04:11.200 --> 01:04:17.100]   Well, on guests pitching their own product, it seems like everyone has something to sell, whether it's their book, their blog, their Instagram, their toothpaste, their ideas.
[01:04:17.300 --> 01:04:25.540]   So there's no escaping the fact that if I have a guest on, there's probably a thing they want to promote and that's kind of the currency in which they're willing to give up their time to come on the show.
[01:04:25.860 --> 01:04:29.760]   But what I try incredibly hard to do is, first, pick guests that I want.
[01:04:29.760 --> 01:04:32.780]   I'm not just looking at who emails me and having them on the show.
[01:04:32.780 --> 01:04:37.720]   In fact, when we wanted to find someone to come on for oral health, I asked my dentist for a recommendation.
[01:04:37.720 --> 01:04:40.900]   I cold messaged him and I tried to get him to join.
[01:04:40.900 --> 01:04:45.320]   And then two, I ask all my guests not to spend their time pitching in the episode.
[01:04:45.320 --> 01:04:47.340]   And if they do, I remove it.
[01:04:47.340 --> 01:04:51.640]   And then I give them time at the end to say, where can people find more about whatever you're talking about?
[01:04:51.640 --> 01:04:59.840]   And I also try to make sure you all know if me or any of my guests have some kind of interest or bias in whatever is being discussed.
[01:04:59.840 --> 01:05:02.180]   So I did that for Dr. Mark last week.
[01:05:02.180 --> 01:05:07.800]   The funniest thing about Dr. Mark is that he didn't even mention the name of his toothpaste at all in the entire episode.
[01:05:07.800 --> 01:05:16.260]   And we did a retake of the outro of the last question because I was like, you've talked about it, but you didn't mention what it's called in case someone wants to find it.
[01:05:16.260 --> 01:05:20.440]   So I hope you know that this show is not a platform for people to pitch and sell things.
[01:05:20.440 --> 01:05:22.380]   That's not the purpose of me having a guest on.
[01:05:22.380 --> 01:05:24.760]   I don't accept money from guests to come on.
[01:05:24.760 --> 01:05:27.620]   And almost every guest is because we sought them out.
[01:05:27.620 --> 01:05:28.860]   So I just wanted to clear that up.
[01:05:28.860 --> 01:05:31.580]   Second, I wanted to talk a little bit about fluoride.
[01:05:31.580 --> 01:05:35.680]   I understand that for some people, this is a very controversial topic.
[01:05:35.680 --> 01:05:45.240]   I don't know if I knew the extent to that going into this, but I did try my best given the limited knowledge I have to kind of push back in the interview and challenge some of those opinions.
[01:05:45.240 --> 01:05:52.720]   At the end of the day, from all my interactions with all of you, whether it's an email or in the real world, I know that you all are incredibly smart.
[01:05:52.720 --> 01:05:58.360]   And I feel like I can trust you all to do your own thinking and research if you ever hear something you might not agree with.
[01:05:58.540 --> 01:06:02.680]   I also think it's healthy for all of us to hear things that challenge our own beliefs from time to time.
[01:06:02.680 --> 01:06:08.920]   And I get that that might mean that not everyone likes every guest or everything I say or everything a guest says.
[01:06:08.920 --> 01:06:16.780]   But even if you disagree with Mark on fluoride, I would be shocked if there wasn't actually something in that episode that was a valuable takeaway for you.
[01:06:16.780 --> 01:06:22.540]   Also, don't assume that if I bring a guest on and they say something you disagree with, that that's necessarily my position at all.
[01:06:22.540 --> 01:06:27.960]   As for being political, I honestly did not think fluoride was a very politically charged topic.
[01:06:27.960 --> 01:06:31.400]   I could see where people who feel that way are coming from.
[01:06:31.400 --> 01:06:37.260]   If you've listened to the show long enough, I think you know this show is about upgrading and optimizing your life, money, and travel.
[01:06:37.260 --> 01:06:43.140]   And while we all have political thoughts and opinions that might be different, I don't think they're relevant to the purpose of this show.
[01:06:43.260 --> 01:06:45.720]   And so I do my best to avoid politics on this show.
[01:06:45.720 --> 01:06:50.160]   There are tons of places, apps, shows, social media, where you can go to have that conversation.
[01:06:50.160 --> 01:06:53.960]   This just is not a place where I'm trying to make it a part of the show.
[01:06:53.960 --> 01:07:02.940]   I hope that the episode with Mark, whether you agree or disagree with him, at least was interesting to hear and brought to light some things about oral health that I think are really valuable.
[01:07:02.940 --> 01:07:03.800]   I know it was for me.
[01:07:03.800 --> 01:07:05.080]   That's all for this episode.
[01:07:05.080 --> 01:07:10.680]   If you have questions, topics, or anything you think would be good on another episode like this, I'll be doing them monthly.
[01:07:10.940 --> 01:07:13.480]   Please send them to podcast at allthehacks.com.
[01:07:13.480 --> 01:07:15.180]   Thank you so much for listening.
[01:07:15.180 --> 01:07:16.400]   I will see you next week.

