
[00:00:00.000 --> 00:00:01.100]   I cannot rest.
[00:47:43.640 --> 00:47:44.640]   Like what would be that piece of advice?
[00:47:44.640 --> 00:47:45.640]   Hey, work on this.
[00:47:45.640 --> 00:47:47.640]   So that no matter what happens after I'm gone.
[00:47:47.640 --> 00:47:48.640]   Hmm.
[00:47:48.640 --> 00:48:02.640]   Well, um, well, I feel like I'm always talking about that in one way or another, but, um, wow.
[00:48:02.640 --> 00:48:10.640]   I think, um, the latest thing that's sort of, uh, bugging me is, um, the ability to open your Bible and bless people.
[00:48:10.640 --> 00:48:11.640]   Hmm.
[00:48:11.640 --> 00:48:33.640]   I think, um, one thing that our ministry could be, could be characterized as having solved in a way that many ministries have not solved is how to do effective ministry, um, with a lot of eager people who are willing, but who don't have the, the ability to teach Bible.
[00:48:33.640 --> 00:48:34.640]   Hmm.
[00:48:34.640 --> 00:48:35.640]   Right.
[00:48:35.640 --> 00:48:41.640]   We've leveraged the, the, the efforts of a lot of people to, to be able to church plant and go out in mission fields.
[00:48:41.640 --> 00:48:56.640]   And I think, um, what I'm sensing in the culture is that there's going to be, um, a need for informal, um, like, let's just read the Bible together.
[00:48:56.640 --> 00:48:57.640]   Mm-hmm .
[00:48:57.640 --> 00:49:08.640]   And so I think the future is going to involve a lot more of those kinds of small gatherings that are not like, okay, you are part of my discipleship group.
[00:49:08.640 --> 00:49:17.640]   But so just, um, overall Bible competency in the sense of being able to, um, draw out.
[00:49:17.640 --> 00:49:21.640]   So, so not like proclaiming and preaching the word so much.
[00:49:21.640 --> 00:49:30.640]   I think we're really strong on personal evangelism, sharing the gospel, but, um, getting people engaged in just the text of scripture.
[00:49:30.640 --> 00:49:39.640]   I think, um, you know, through years of daily devotions, you know, um, there should be some level of competence on that.
[00:49:39.640 --> 00:49:45.640]   But I think we should raise more people who actually have some training on how to lead those kinds of Bible studies.
[00:49:45.640 --> 00:49:46.640]   Yeah.
[00:49:46.640 --> 00:49:47.640]   That resonates.
[00:49:47.640 --> 00:49:53.640]   There was that article the other day about how like Bible purchases have gone up like 20% from last year or something.
[00:49:53.640 --> 00:50:02.640]   And a lot of it is among young Gen Z and first time Bible readers and like something like 60%, like want to know about the Bible or something like that.
[00:50:02.640 --> 00:50:03.640]   Yeah.
[00:50:03.640 --> 00:50:10.640]   So like the hunger's there, they might not come to church for it or like a Bible study, but if someone they know or a friend will open up the Bible with them.
[00:50:10.640 --> 00:50:11.640]   Yeah.
[00:50:11.640 --> 00:50:13.640]   It's less like come to something to receive content.
[00:50:13.640 --> 00:50:15.640]   It's more like, no, you have to be the content.
[00:50:15.640 --> 00:50:16.640]   Yeah.
[00:50:16.640 --> 00:50:17.640]   Now all of us have to be the content.
[00:50:17.640 --> 00:50:18.640]   Yeah.
[00:50:18.640 --> 00:50:31.640]   So what I would, so to, to kind of make it more concrete for everybody, I would say, um, approach your daily devotion more systematically, you know, spend a chunk of time every week or maybe 10, 15 minutes afterwards.
[00:50:31.640 --> 00:50:33.640]   And, and, and organize your thoughts.
[00:50:33.640 --> 00:50:45.640]   If somebody shared something that was interesting, write it down, capture it somewhere so that next time you go to that text, it's there and, and just, just keep sort of depositing it, depositing it somewhere.
[00:50:45.640 --> 00:50:46.640]   Yeah.
[00:50:46.640 --> 00:50:52.640]   Instead of, um, just thinking about it as an experience that's over and you, you got blessed through it and that's it, you know?
[00:50:52.640 --> 00:50:53.640]   So.
[00:50:53.640 --> 00:50:54.640]   Yeah.
[00:50:54.640 --> 00:50:58.640]   Well, on that note, I think we'll, or did you have any final questions before we-
[00:50:58.640 --> 00:51:00.640]   Um, no, I don't think so.
[00:51:00.640 --> 00:51:03.640]   Um, any thoughts for what you're going to do in retirement?
[00:51:03.640 --> 00:51:04.640]   Oh yeah.
[00:51:04.640 --> 00:51:05.640]   Yeah.
[00:51:05.640 --> 00:51:06.640]   What are you going to do once you're done here?
[00:51:06.640 --> 00:51:07.640]   I know there's probably like-
[00:51:07.640 --> 00:51:11.640]   I, I, I, you know, there's one thing I'm terrified of is rest.
[00:51:11.640 --> 00:51:12.640]   I cannot rest.
[00:51:12.640 --> 00:51:13.640]   I cannot rest.
[00:51:13.640 --> 00:51:23.640]   So, um, we have to, so retirement, um, is not that, Oh, we're, we're leaving our church or I'm have nothing to do anymore.
[00:51:23.640 --> 00:51:27.640]   And I'm going to go somewhere in Florida and golf.
[00:51:27.640 --> 00:51:48.640]   Um, it's the idea that, um, me and along with, uh, others in due time, we are going to step away from all directional, um, leadership role with respect to our, but I personally feel like I would have a great time writing children's curriculum.
[00:51:48.640 --> 00:51:59.640]   I think, I think, um, investing in our children's ministry, I think is probably one of the most important things anybody can be doing right now.
[00:51:59.640 --> 00:52:04.640]   Like if you're an X2 kids ministry, that's not, that's not babysitting.
[00:52:04.640 --> 00:52:15.640]   And I think I look, we've been searching high and low for good, um, children's ministry content and it's, it's pretty poor.
[00:52:15.640 --> 00:52:19.640]   So that's, that's something I think I would enjoy doing.
[00:52:19.640 --> 00:52:20.640]   Wow.
[00:52:20.640 --> 00:52:21.640]   Wow.
[00:52:21.640 --> 00:52:24.640]   So even after retiring, just next gen, like investing in the next.
[00:52:24.640 --> 00:52:25.640]   Yeah.
[00:52:25.640 --> 00:52:26.640]   That's, that's, that's awesome.
[00:52:26.640 --> 00:52:27.640]   Yeah.
[00:52:27.640 --> 00:52:28.640]   Yeah.
[00:52:28.640 --> 00:52:30.640]   Man, I think we can close it there.
[00:52:30.640 --> 00:52:34.640]   Um, thanks for coming on and don't forget to like subscribe and we will see you on a future episode.
[00:52:34.640 --> 00:52:35.640]   Okay.
[00:52:35.640 --> 00:52:36.640]   Thank you.

