
[00:00:00.760 --> 00:00:02.120]   Hi, I'm Tony Sager.
[00:24:49.480 --> 00:24:50.480]   I think that's a very good point.
[00:24:50.480 --> 00:24:51.480]   I think that's a very good point.
[00:24:51.480 --> 00:24:52.480]   I think that's a very good point.
[00:24:52.480 --> 00:24:53.480]   I think that's a very good point.
[00:24:53.480 --> 00:24:54.480]   I think that's a very good point.
[00:24:54.480 --> 00:24:55.480]   I think that's a very good point.
[00:24:55.480 --> 00:24:56.480]   I think that's a very good point.
[00:24:56.480 --> 00:24:57.480]   I think that's a very good point.
[00:24:57.480 --> 00:24:58.480]   I think that's a very good point.
[00:24:58.480 --> 00:24:59.480]   I think that's a very good point.
[00:24:59.480 --> 00:25:00.480]   I think that's a very good point.
[00:25:00.480 --> 00:25:01.480]   I think that's a very good point.
[00:25:01.480 --> 00:25:02.480]   I think that's a very good point.
[00:25:02.480 --> 00:25:03.480]   I think that's a very good point.
[00:25:03.480 --> 00:25:04.480]   I think that's a very good point.
[00:25:04.480 --> 00:25:05.480]   I think that's a very good point.
[00:25:05.480 --> 00:25:06.480]   I think that's a very good point.
[00:25:06.480 --> 00:25:07.480]   I think that's a very good point.
[00:25:07.480 --> 00:25:08.480]   I think that's a very good point.
[00:25:08.480 --> 00:25:09.480]   I think that's a very good point.
[00:25:09.480 --> 00:25:10.480]   I think that's a very good point.
[00:25:10.480 --> 00:25:11.480]   I think that's a very good point.
[00:25:11.480 --> 00:25:12.480]   I think that's a very good point.
[00:25:12.480 --> 00:25:13.480]   I think that's a very good point.
[00:25:13.480 --> 00:25:14.480]   I think that's a very good point.
[00:25:14.480 --> 00:25:15.480]   I think that's a very good point.
[00:25:15.480 --> 00:25:16.480]   I think that's a very good point.
[00:25:16.480 --> 00:25:17.480]   I think that's a very good point.
[00:25:17.480 --> 00:25:18.480]   I think that's a very good point.
[00:25:18.480 --> 00:25:19.480]   I think that's a very good point.
[00:25:19.480 --> 00:25:20.480]   I think that's a very good point.
[00:25:20.480 --> 00:25:21.480]   I think that's a very good point.
[00:25:21.480 --> 00:25:22.480]   I think that's a very good point.
[00:25:22.480 --> 00:25:23.480]   I think that's a very good point.
[00:25:23.480 --> 00:25:24.480]   I think that's a very good point.
[00:25:24.480 --> 00:25:25.480]   I think that's a very good point.
[00:25:25.480 --> 00:25:26.480]   I think that's a very good point.
[00:25:26.480 --> 00:25:27.480]   I think that's a very good point.
[00:25:27.480 --> 00:25:28.480]   I think that's a very good point.
[00:25:28.480 --> 00:25:29.480]   I think that's a very good point.
[00:25:29.480 --> 00:25:30.480]   I think that's a very good point.
[00:25:30.480 --> 00:25:31.480]   I think that's a very good point.
[00:25:31.480 --> 00:25:32.480]   I think that's a very good point.
[00:25:32.480 --> 00:25:33.480]   I think that's a very good point.
[00:25:33.480 --> 00:25:34.480]   I think that's a very good point.
[00:25:34.480 --> 00:25:35.480]   I think that's a very good point.
[00:25:35.480 --> 00:25:36.480]   I think that's a very good point.
[00:25:36.480 --> 00:25:37.480]   I think that's a very good point.
[00:25:37.480 --> 00:25:38.480]   I think that's a very good point.
[00:25:38.480 --> 00:25:39.480]   I think that's a very good point.
[00:25:39.480 --> 00:25:40.480]   I think that's a very good point.
[00:25:40.480 --> 00:25:41.480]   I think that's a very good point.
[00:25:41.480 --> 00:25:42.480]   I think that's a very good point.
[00:25:42.480 --> 00:25:43.480]   I think that's a very good point.
[00:25:43.480 --> 00:25:44.480]   I think that's a very good point.
[00:25:44.480 --> 00:25:45.480]   I think that's a very good point.
[00:25:45.480 --> 00:25:46.480]   I think that's a very good point.
[00:25:46.480 --> 00:25:47.480]   I think that's a very good point.
[00:25:47.480 --> 00:25:48.480]   I think that's a very good point.
[00:25:48.480 --> 00:25:49.480]   I think that's a very good point.
[00:25:49.480 --> 00:25:50.480]   I think that's a very good point.
[00:25:50.480 --> 00:25:51.480]   I think that's a very good point.
[00:25:51.480 --> 00:25:52.480]   I think that's a very good point.
[00:25:52.480 --> 00:25:53.480]   I think that's a very good point.
[00:25:53.480 --> 00:25:54.480]   I think that's a very good point.
[00:25:54.480 --> 00:25:55.480]   I think that's a very good point.
[00:25:55.480 --> 00:25:56.480]   I think that's a very good point.
[00:25:56.480 --> 00:25:57.480]   I think that's a very good point.
[00:25:57.480 --> 00:25:58.480]   I think that's a very good point.
[00:25:58.480 --> 00:25:59.480]   I think that's a very good point.
[00:25:59.480 --> 00:26:00.480]   I think that's a very good point.
[00:26:00.480 --> 00:26:01.480]   I think that's a very good point.
[00:26:01.480 --> 00:26:02.480]   I think that's a very good point.
[00:26:02.480 --> 00:26:03.480]   I think that's a very good point.
[00:26:03.480 --> 00:26:04.480]   I think that's a very good point.
[00:26:04.480 --> 00:26:05.480]   I think that's a very good point.
[00:26:05.480 --> 00:26:06.480]   I think that's a very good point.
[00:26:06.480 --> 00:26:07.480]   I think that's a very good point.
[00:26:07.480 --> 00:26:08.480]   I think that's a very good point.
[00:26:08.480 --> 00:26:09.480]   I think that's a very good point.
[00:26:09.480 --> 00:26:10.480]   I think that's a very good point.
[00:26:10.480 --> 00:26:11.480]   I think that's a very good point.
[00:26:11.480 --> 00:26:12.480]   I think that's a very good point.
[00:26:12.480 --> 00:26:13.480]   I think that's a very good point.
[00:26:13.480 --> 00:26:14.480]   I think that's a very good point.
[00:26:14.480 --> 00:26:15.480]   I think that's a very good point.
[00:26:15.480 --> 00:26:16.480]   I think that's a very good point.
[00:26:16.480 --> 00:26:17.480]   I think that's a very good point.
[00:26:17.480 --> 00:26:18.480]   I think that's a very good point.
[00:26:18.480 --> 00:26:19.480]   I think that's a very good point.
[00:26:19.480 --> 00:26:20.480]   I think that's a very good point.
[00:26:20.480 --> 00:26:21.480]   I think that's a very good point.
[00:26:21.480 --> 00:26:22.480]   I think that's a very good point.
[00:26:22.480 --> 00:26:23.480]   I think that's a very good point.
[00:26:23.480 --> 00:26:24.480]   I think that's a very good point.
[00:26:24.480 --> 00:26:25.480]   I think that's a very good point.
[00:26:25.480 --> 00:26:26.480]   I think that's a very good point.
[00:26:26.480 --> 00:26:27.480]   I think that's a very good point.
[00:26:27.480 --> 00:26:28.480]   I think that's a very good point.
[00:26:28.480 --> 00:26:29.480]   I think that's a very good point.
[00:26:29.480 --> 00:26:30.480]   I think that's a very good point.
[00:26:30.480 --> 00:26:31.480]   I think that's a very good point.
[00:26:31.480 --> 00:26:32.480]   I think that's a very good point.
[00:26:32.480 --> 00:26:33.480]   I think that's a very good point.
[00:26:33.480 --> 00:26:34.480]   I think that's a very good point.
[00:26:34.480 --> 00:26:35.480]   I think that's a very good point.
[00:26:35.480 --> 00:26:36.480]   I think that's a very good point.
[00:26:36.480 --> 00:26:37.480]   I think that's a very good point.
[00:26:37.480 --> 00:26:38.480]   I think that's a very good point.
[00:26:38.480 --> 00:26:39.480]   I think that's a very good point.
[00:26:39.480 --> 00:26:40.480]   I think that's a very good point.
[00:26:40.480 --> 00:26:41.480]   I think that's a very good point.
[00:26:41.480 --> 00:26:42.480]   I think that's a very good point.
[00:26:42.480 --> 00:26:43.480]   I think that's a very good point.
[00:26:43.480 --> 00:26:44.480]   I think that's a very good point.
[00:26:44.480 --> 00:26:45.480]   I think that's a very good point.
[00:26:45.480 --> 00:26:46.480]   I think that's a very good point.
[00:26:46.480 --> 00:26:47.480]   I think that's a very good point.
[00:26:47.480 --> 00:26:48.480]   I think that's a very good point.
[00:26:48.480 --> 00:26:49.480]   I think that's a very good point.
[00:26:49.480 --> 00:26:50.480]   I think that's a very good point.
[00:26:50.480 --> 00:26:51.480]   I think that's a very good point.
[00:26:51.480 --> 00:26:52.480]   I think that's a very good point.
[00:26:52.480 --> 00:26:53.480]   I think that's a very good point.
[00:26:53.480 --> 00:26:54.480]   I think that's a very good point.
[00:26:54.480 --> 00:26:55.480]   I think that's a very good point.
[00:26:55.480 --> 00:26:56.480]   I think that's a very good point.
[00:26:56.480 --> 00:26:57.480]   I think that's a very good point.
[00:26:57.480 --> 00:26:58.480]   I think that's a very good point.
[00:26:58.480 --> 00:26:59.480]   I think that's a very good point.
[00:26:59.480 --> 00:27:00.480]   I think that's a very good point.
[00:27:00.480 --> 00:27:01.480]   I think that's a very good point.
[00:27:01.480 --> 00:27:02.480]   I think that's a very good point.
[00:27:02.480 --> 00:27:03.480]   I think that's a very good point.
[00:27:03.480 --> 00:27:04.480]   I think that's a very good point.
[00:27:04.480 --> 00:27:05.480]   I think that's a very good point.
[00:27:05.480 --> 00:27:06.480]   I think that's a very good point.
[00:27:06.480 --> 00:27:07.480]   I think that's a very good point.
[00:27:07.480 --> 00:27:08.480]   I think that's a very good point.
[00:27:08.480 --> 00:27:09.480]   I think that's a very good point.
[00:27:09.480 --> 00:27:10.480]   I think that's a very good point.
[00:27:10.480 --> 00:27:11.480]   I think that's a very good point.
[00:27:11.480 --> 00:27:12.480]   I think that's a very good point.
[00:27:12.480 --> 00:27:13.480]   I think that's a very good point.
[00:27:13.480 --> 00:27:14.480]   I think that's a very good point.
[00:27:14.480 --> 00:27:15.480]   I think that's a very good point.
[00:27:15.480 --> 00:27:16.480]   I think that's a very good point.
[00:27:16.480 --> 00:27:17.480]   I think that's a very good point.
[00:27:17.480 --> 00:27:18.480]   I think that's a very good point.
[00:27:18.480 --> 00:27:19.480]   I think that's a very good point.
[00:27:19.480 --> 00:27:20.480]   I think that's a very good point.
[00:27:20.480 --> 00:27:21.480]   I think that's a very good point.
[00:27:21.480 --> 00:27:22.480]   I think that's a very good point.
[00:27:22.480 --> 00:27:23.480]   I think that's a very good point.
[00:27:23.480 --> 00:27:24.480]   I think that's a very good point.
[00:27:24.480 --> 00:27:25.480]   I think that's a very good point.
[00:27:25.480 --> 00:27:26.480]   I think that's a very good point.
[00:27:26.480 --> 00:27:27.480]   I think that's a very good point.
[00:27:27.480 --> 00:27:28.480]   I think that's a very good point.
[00:27:28.480 --> 00:27:29.480]   I think that's a very good point.
[00:27:29.480 --> 00:27:30.480]   I think that's a very good point.
[00:27:30.480 --> 00:27:31.480]   I think that's a very good point.
[00:27:31.480 --> 00:27:32.480]   I think that's a very good point.
[00:27:32.480 --> 00:27:33.480]   I think that's a very good point.
[00:27:33.480 --> 00:27:34.480]   I think that's a very good point.
[00:27:34.480 --> 00:27:35.480]   I think that's a very good point.
[00:27:35.480 --> 00:27:36.480]   I think that's a very good point.
[00:27:36.480 --> 00:27:37.480]   I think that's a very good point.
[00:27:37.480 --> 00:27:38.480]   I think that's a very good point.
[00:27:38.480 --> 00:27:39.480]   I think that's a very good point.
[00:27:39.480 --> 00:27:40.480]   I think that's a very good point.
[00:27:40.480 --> 00:27:41.480]   I think that's a very good point.
[00:27:41.480 --> 00:27:42.480]   I think that's a very good point.
[00:27:42.480 --> 00:27:43.480]   I think that's a very good point.
[00:27:43.480 --> 00:27:44.480]   I think that's a very good point.
[00:27:44.480 --> 00:27:45.480]   I think that's a very good point.
[00:27:45.480 --> 00:27:46.480]   I think that's a very good point.
[00:27:46.480 --> 00:27:47.480]   I think that's a very good point.
[00:27:47.480 --> 00:27:48.480]   I think that's a very good point.
[00:27:48.480 --> 00:27:49.480]   I think that's a very good point.
[00:27:49.480 --> 00:27:50.480]   I think that's a very good point.
[00:27:50.480 --> 00:27:51.480]   I think that's a very good point.
[00:27:51.480 --> 00:27:52.480]   I think that's a very good point.
[00:27:52.480 --> 00:27:53.480]   I think that's a very good point.
[00:27:53.480 --> 00:27:54.480]   I think that's a very good point.
[00:27:54.480 --> 00:27:55.480]   I think that's a very good point.
[00:27:55.480 --> 00:27:56.480]   I think that's a very good point.
[00:27:56.480 --> 00:27:57.480]   I think that's a very good point.
[00:27:57.480 --> 00:27:58.480]   I think that's a very good point.
[00:27:58.480 --> 00:27:59.480]   I think that's a very good point.
[00:27:59.480 --> 00:28:00.480]   I think that's a very good point.
[00:28:00.480 --> 00:28:01.480]   I think that's a very good point.
[00:28:01.480 --> 00:28:02.480]   I think that's a very good point.
[00:28:02.480 --> 00:28:03.480]   I think that's a very good point.
[00:28:03.480 --> 00:28:04.480]   I think that's a very good point.
[00:28:04.480 --> 00:28:05.480]   I think that's a very good point.
[00:28:05.480 --> 00:28:06.480]   I think that's a very good point.
[00:28:06.480 --> 00:28:07.480]   I think that's a very good point.
[00:28:07.480 --> 00:28:08.480]   I think that's a very good point.
[00:28:08.480 --> 00:28:09.480]   I think that's a very good point.
[00:28:09.480 --> 00:28:10.480]   I think that's a very good point.
[00:28:10.480 --> 00:28:11.480]   I think that's a very good point.
[00:28:11.480 --> 00:28:12.480]   I think that's a very good point.
[00:28:12.480 --> 00:28:13.480]   I think that's a very good point.
[00:28:13.480 --> 00:28:14.480]   I think that's a very good point.
[00:28:14.480 --> 00:28:15.480]   I think that's a very good point.
[00:28:15.480 --> 00:28:16.480]   I think that's a very good point.
[00:28:16.480 --> 00:28:17.480]   I think that's a very good point.
[00:28:17.480 --> 00:28:18.480]   I think that's a very good point.
[00:28:18.480 --> 00:28:19.480]   I think that's a very good point.
[00:28:19.480 --> 00:28:20.480]   I think that's a very good point.
[00:28:20.480 --> 00:28:21.480]   I think that's a very good point.
[00:28:21.480 --> 00:28:22.480]   I think that's a very good point.
[00:28:22.480 --> 00:28:23.480]   I think that's a very good point.
[00:28:23.480 --> 00:28:24.480]   I think that's a very good point.
[00:28:24.480 --> 00:28:25.480]   I think that's a very good point.
[00:28:25.480 --> 00:28:26.480]   I think that's a very good point.
[00:28:26.480 --> 00:28:27.480]   I think that's a very good point.
[00:28:27.480 --> 00:28:28.480]   I think that's a very good point.
[00:28:28.480 --> 00:28:29.480]   I think that's a very good point.
[00:28:29.480 --> 00:28:30.480]   I think that's a very good point.
[00:28:30.480 --> 00:28:31.480]   I think that's a very good point.
[00:28:31.480 --> 00:28:32.480]   I think that's a very good point.
[00:28:32.480 --> 00:28:33.480]   I think that's a very good point.
[00:28:33.480 --> 00:28:34.480]   I think that's a very good point.
[00:28:34.480 --> 00:28:35.480]   I think that's a very good point.
[00:28:35.480 --> 00:28:36.480]   I think that's a very good point.
[00:28:36.480 --> 00:28:37.480]   I think that's a very good point.
[00:28:37.480 --> 00:28:38.480]   I think that's a very good point.
[00:28:38.480 --> 00:28:39.480]   I think that's a very good point.
[00:28:39.480 --> 00:28:40.480]   I think that's a very good point.
[00:28:40.480 --> 00:28:41.480]   I think that's a very good point.
[00:28:41.480 --> 00:28:42.480]   I think that's a very good point.
[00:28:42.480 --> 00:28:43.480]   I think that's a very good point.
[00:28:43.480 --> 00:28:44.480]   I think that's a very good point.
[00:28:44.480 --> 00:28:45.480]   I think that's a very good point.
[00:28:45.480 --> 00:28:46.480]   I think that's a very good point.
[00:28:46.480 --> 00:28:47.480]   I think that's a very good point.
[00:28:47.480 --> 00:28:48.480]   I think that's a very good point.
[00:28:48.480 --> 00:28:49.480]   I think that's a very good point.
[00:28:49.480 --> 00:28:50.480]   I think that's a very good point.
[00:28:50.480 --> 00:28:51.480]   I think that's a very good point.
[00:28:51.480 --> 00:28:52.480]   I think that's a very good point.
[00:28:52.480 --> 00:28:53.480]   I think that's a very good point.
[00:28:53.480 --> 00:28:54.480]   I think that's a very good point.
[00:28:54.480 --> 00:28:55.480]   I think that's a very good point.
[00:28:55.480 --> 00:28:56.480]   I think that's a very good point.
[00:28:56.480 --> 00:28:57.480]   I think that's a very good point.
[00:28:57.480 --> 00:28:58.480]   I think that's a very good point.
[00:28:58.480 --> 00:28:59.480]   I think that's a very good point.
[00:28:59.480 --> 00:29:00.480]   I think that's a very good point.
[00:29:00.480 --> 00:29:01.480]   I think that's a very good point.
[00:29:01.480 --> 00:29:02.480]   I think that's a very good point.
[00:29:02.480 --> 00:29:03.480]   I think that's a very good point.
[00:29:03.480 --> 00:29:04.480]   I think that's a very good point.
[00:29:04.480 --> 00:29:05.480]   I think that's a very good point.
[00:29:05.480 --> 00:29:06.480]   I think that's a very good point.
[00:29:06.480 --> 00:29:07.480]   I think that's a very good point.
[00:29:07.480 --> 00:29:08.480]   I think that's a very good point.
[00:29:08.480 --> 00:29:09.480]   I think that's a very good point.
[00:29:09.480 --> 00:29:10.480]   I think that's a very good point.
[00:29:10.480 --> 00:29:11.480]   I think that's a very good point.
[00:29:11.480 --> 00:29:12.480]   I think that's a very good point.
[00:29:12.480 --> 00:29:13.480]   I think that's a very good point.
[00:29:13.480 --> 00:29:14.480]   I think that's a very good point.
[00:29:14.480 --> 00:29:15.480]   I think that's a very good point.
[00:29:15.480 --> 00:29:16.480]   I think that's a very good point.
[00:29:16.480 --> 00:29:17.480]   I think that's a very good point.
[00:29:17.480 --> 00:29:18.480]   I think that's a very good point.
[00:29:18.480 --> 00:29:19.480]   I think that's a very good point.
[00:29:19.480 --> 00:29:20.480]   I think that's a very good point.
[00:29:20.480 --> 00:29:21.480]   I think that's a very good point.
[00:29:21.480 --> 00:29:26.600]   Yeah, I mean, in terms of what you said about selling and school and so forth, I totally
[00:29:26.600 --> 00:29:27.600]   agree.
[00:29:27.600 --> 00:29:34.140]   And this is another aspect of, in a sense, the kind of complete insulation that people
[00:29:34.140 --> 00:29:40.420]   have from the entrepreneurial world because you don't get any exposure to the absolute
[00:29:40.420 --> 00:29:45.180]   vital necessity of selling as part of win-win negotiation in all relationships in life when
[00:29:45.180 --> 00:29:46.180]   you're in school.
[00:29:46.180 --> 00:29:47.180]   You just don't get exposed to that.
[00:29:47.180 --> 00:29:48.260]   Teachers don't need to sell.
[00:29:48.260 --> 00:29:49.520]   And I think you're right.
[00:29:49.520 --> 00:29:51.460]   That intuitively, good teachers sell.
[00:29:51.460 --> 00:29:54.860]   Just in terms of trying to find ways of persuading students.
[00:29:54.860 --> 00:29:55.860]   They're good at it.
[00:29:55.860 --> 00:29:59.000]   But not because of the way that compulsory education is set up, but just because they're
[00:29:59.000 --> 00:30:00.000]   good at it.
[00:30:00.000 --> 00:30:06.400]   But when you look at the way that selling is kind of portrayed in popular culture and
[00:30:06.400 --> 00:30:11.780]   so forth, it is portrayed as if it's immoral and if it's kind of somehow ripping people
[00:30:11.780 --> 00:30:17.900]   off when selling is actually just the active side of win-win negotiation.
[00:30:17.900 --> 00:30:21.440]   Selling is the process of persuading somebody of the benefits of what you're doing.
[00:30:21.440 --> 00:30:22.980]   And that's what selling really means.
[00:30:22.980 --> 00:30:25.680]   Of course, there are people who are shady characters who use selling to try and pursue
[00:30:25.680 --> 00:30:26.680]   fraud or so forth, but that's not inherent in the nature of what selling is.
[00:30:26.680 --> 00:30:27.680]   And the only other thing I wanted to say in terms of thinking about what you said about
[00:30:27.680 --> 00:30:28.680]   school and not learning how to sell, and the other thing that's really interesting, especially
[00:30:28.680 --> 00:30:29.680]   in terms of the subject of your podcast, is people get no exposure to finance either.
[00:30:29.680 --> 00:30:30.680]   And certainly, I think that's a very important thing.
[00:30:30.680 --> 00:30:31.680]   I think that's a very important thing.
[00:30:31.680 --> 00:30:32.680]   And I think that's a very important thing.
[00:30:32.680 --> 00:30:33.680]   And I think that's a very important thing.
[00:30:33.680 --> 00:30:34.680]   And I think that's a very important thing.
[00:30:34.680 --> 00:30:35.680]   And I think that's a very important thing.
[00:30:35.680 --> 00:30:36.680]   And I think that's a very important thing.
[00:30:36.680 --> 00:30:37.680]   And I think that's a very important thing.
[00:30:37.680 --> 00:30:38.680]   And I think that's a very important thing.
[00:30:38.680 --> 00:30:39.680]   And I think that's a very important thing.
[00:30:39.680 --> 00:30:40.680]   And I think that's a very important thing.
[00:30:40.680 --> 00:30:41.680]   And I think that's a very important thing.
[00:30:41.680 --> 00:30:42.680]   And I think that's a very important thing.
[00:30:42.680 --> 00:30:43.680]   And I think that's a very important thing.
[00:30:43.680 --> 00:30:44.680]   And I think that's a very important thing.
[00:30:44.680 --> 00:30:45.680]   And I think that's a very important thing.
[00:30:45.680 --> 00:30:46.680]   And I think that's a very important thing.
[00:30:46.680 --> 00:30:47.680]   And I think that's a very important thing.
[00:30:47.680 --> 00:30:48.680]   And I think that's a very important thing.
[00:30:48.680 --> 00:30:49.680]   And I think that's a very important thing.
[00:30:49.680 --> 00:30:50.680]   And I think that's a very important thing.
[00:30:50.680 --> 00:30:51.680]   And I think that's a very important thing.
[00:30:51.680 --> 00:30:52.680]   And I think that's a very important thing.
[00:30:52.680 --> 00:30:53.680]   And I think that's a very important thing.
[00:30:53.680 --> 00:30:54.680]   And I think that's a very important thing.
[00:30:54.680 --> 00:30:55.680]   And I think that's a very important thing.
[00:30:55.680 --> 00:30:56.680]   And I think that's a very important thing.
[00:30:56.680 --> 00:30:57.680]   And I think that's a very important thing.
[00:30:57.680 --> 00:30:58.680]   And I think that's a very important thing.
[00:30:58.680 --> 00:30:59.680]   And I think that's a very important thing.
[00:30:59.680 --> 00:31:00.680]   And I think that's a very important thing.
[00:31:00.680 --> 00:31:01.680]   And I think that's a very important thing.
[00:31:01.680 --> 00:31:02.680]   And I think that's a very important thing.
[00:31:02.680 --> 00:31:03.680]   And I think that's a very important thing.
[00:31:03.680 --> 00:31:04.680]   And I think that's a very important thing.
[00:31:04.680 --> 00:31:05.680]   And I think that's a very important thing.
[00:31:05.680 --> 00:31:06.680]   And I think that's a very important thing.
[00:31:06.680 --> 00:31:07.680]   And I think that's a very important thing.
[00:31:07.680 --> 00:31:08.680]   And I think that's a very important thing.
[00:31:08.680 --> 00:31:09.680]   And I think that's a very important thing.
[00:31:09.680 --> 00:31:10.680]   And I think that's a very important thing.
[00:31:10.680 --> 00:31:11.680]   And I think that's a very important thing.
[00:31:11.680 --> 00:31:12.680]   And I think that's a very important thing.
[00:31:12.680 --> 00:31:13.680]   And I think that's a very important thing.
[00:31:13.680 --> 00:31:14.680]   And I think that's a very important thing.
[00:31:14.680 --> 00:31:15.680]   And I think that's a very important thing.
[00:31:15.680 --> 00:31:16.680]   And I think that's a very important thing.
[00:31:16.680 --> 00:31:17.680]   And I think that's a very important thing.
[00:31:17.680 --> 00:31:18.680]   And I think that's a very important thing.
[00:31:18.680 --> 00:31:19.680]   And I think that's a very important thing.
[00:31:19.680 --> 00:31:20.680]   And I think that's a very important thing.
[00:31:20.680 --> 00:31:21.680]   And I think that's a very important thing.
[00:31:21.680 --> 00:31:22.680]   And I think that's a very important thing.
[00:31:22.680 --> 00:31:23.680]   And I think that's a very important thing.
[00:31:23.680 --> 00:31:24.680]   And I think that's a very important thing.
[00:31:24.680 --> 00:31:25.680]   And I think that's a very important thing.
[00:31:25.680 --> 00:31:26.680]   And I think that's a very important thing.
[00:31:26.680 --> 00:31:27.680]   And I think that's a very important thing.
[00:31:27.680 --> 00:31:28.680]   And I think that's a very important thing.
[00:31:28.680 --> 00:31:29.680]   And I think that's a very important thing.
[00:31:29.680 --> 00:31:30.680]   And I think that's a very important thing.
[00:31:30.680 --> 00:31:31.680]   And I think that's a very important thing.
[00:31:31.680 --> 00:31:32.680]   And I think that's a very important thing.
[00:31:32.680 --> 00:31:33.680]   And I think that's a very important thing.
[00:31:33.680 --> 00:31:34.680]   And I think that's a very important thing.
[00:31:34.680 --> 00:31:35.680]   And I think that's a very important thing.
[00:31:35.680 --> 00:31:36.680]   And I think that's a very important thing.
[00:31:36.680 --> 00:31:37.680]   And I think that's a very important thing.
[00:31:37.680 --> 00:31:38.680]   And I think that's a very important thing.
[00:31:38.680 --> 00:31:39.680]   And I think that's a very important thing.
[00:31:39.680 --> 00:31:40.680]   And I think that's a very important thing.
[00:31:40.680 --> 00:31:41.680]   And I think that's a very important thing.
[00:31:41.680 --> 00:31:42.680]   And I think that's a very important thing.
[00:31:42.680 --> 00:31:43.680]   And I think that's a very important thing.
[00:31:43.680 --> 00:31:44.680]   And I think that's a very important thing.
[00:31:44.680 --> 00:31:45.680]   And I think that's a very important thing.
[00:31:45.680 --> 00:31:46.680]   And I think that's a very important thing.
[00:31:46.680 --> 00:31:47.680]   And I think that's a very important thing.
[00:31:47.680 --> 00:31:48.680]   And I think that's a very important thing.
[00:31:48.680 --> 00:31:49.680]   And I think that's a very important thing.
[00:31:49.680 --> 00:31:50.680]   And I think that's a very important thing.
[00:31:50.680 --> 00:31:51.680]   And I think that's a very important thing.
[00:31:51.680 --> 00:31:52.680]   And I think that's a very important thing.
[00:31:52.680 --> 00:31:53.680]   And I think that's a very important thing.
[00:31:53.680 --> 00:31:54.680]   And I think that's a very important thing.
[00:31:54.680 --> 00:31:55.680]   And I think that's a very important thing.
[00:31:55.680 --> 00:31:56.680]   And I think that's a very important thing.
[00:31:56.680 --> 00:31:57.680]   And I think that's a very important thing.
[00:31:57.680 --> 00:31:58.680]   And I think that's a very important thing.
[00:31:58.680 --> 00:31:59.680]   And I think that's a very important thing.
[00:31:59.680 --> 00:32:00.680]   And I think that's a very important thing.
[00:32:00.680 --> 00:32:01.680]   And I think that's a very important thing.
[00:32:01.680 --> 00:32:02.680]   And I think that's a very important thing.
[00:32:02.680 --> 00:32:03.680]   And I think that's a very important thing.
[00:32:03.680 --> 00:32:04.680]   And I think that's a very important thing.
[00:32:04.680 --> 00:32:05.680]   And I think that's a very important thing.
[00:32:05.680 --> 00:32:06.680]   And I think that's a very important thing.
[00:32:06.680 --> 00:32:07.680]   And I think that's a very important thing.
[00:32:07.680 --> 00:32:08.680]   And I think that's a very important thing.
[00:32:08.680 --> 00:32:09.680]   And I think that's a very important thing.
[00:32:09.680 --> 00:32:10.680]   And I think that's a very important thing.
[00:32:10.680 --> 00:32:11.680]   And I think that's a very important thing.
[00:32:11.680 --> 00:32:12.680]   And I think that's a very important thing.
[00:32:12.680 --> 00:32:13.680]   And I think that's a very important thing.
[00:32:13.680 --> 00:32:14.680]   And I think that's a very important thing.
[00:32:14.680 --> 00:32:15.680]   And I think that's a very important thing.
[00:32:15.680 --> 00:32:16.680]   And I think that's a very important thing.
[00:32:16.680 --> 00:32:17.680]   And I think that's a very important thing.
[00:32:17.680 --> 00:32:18.680]   And I think that's a very important thing.
[00:32:18.680 --> 00:32:19.680]   And I think that's a very important thing.
[00:32:19.680 --> 00:32:20.680]   And I think that's a very important thing.
[00:32:20.680 --> 00:32:21.680]   And I think that's a very important thing.
[00:32:21.680 --> 00:32:22.680]   And I think that's a very important thing.
[00:32:22.680 --> 00:32:23.680]   And I think that's a very important thing.
[00:32:23.680 --> 00:32:24.680]   And I think that's a very important thing.
[00:32:24.680 --> 00:32:25.680]   And I think that's a very important thing.
[00:32:25.680 --> 00:32:26.680]   And I think that's a very important thing.
[00:32:26.680 --> 00:32:27.680]   And I think that's a very important thing.
[00:32:27.680 --> 00:32:28.680]   And I think that's a very important thing.
[00:32:28.680 --> 00:32:29.680]   And I think that's a very important thing.
[00:32:29.680 --> 00:32:30.680]   And I think that's a very important thing.
[00:32:30.680 --> 00:32:31.680]   And I think that's a very important thing.
[00:32:31.680 --> 00:32:32.680]   And I think that's a very important thing.
[00:32:32.680 --> 00:32:33.680]   And I think that's a very important thing.
[00:32:33.680 --> 00:32:34.680]   And I think that's a very important thing.
[00:32:34.680 --> 00:32:35.680]   And I think that's a very important thing.
[00:32:35.680 --> 00:32:36.680]   And I think that's a very important thing.
[00:32:36.680 --> 00:32:37.680]   And I think that's a very important thing.
[00:32:37.680 --> 00:32:38.680]   And I think that's a very important thing.
[00:32:38.680 --> 00:32:39.680]   And I think that's a very important thing.
[00:32:39.680 --> 00:32:40.680]   And I think that's a very important thing.
[00:32:40.680 --> 00:32:41.680]   And I think that's a very important thing.
[00:32:41.680 --> 00:32:42.680]   And I think that's a very important thing.
[00:32:42.680 --> 00:32:43.680]   And I think that's a very important thing.
[00:32:43.680 --> 00:32:44.680]   And I think that's a very important thing.
[00:32:44.680 --> 00:32:45.680]   And I think that's a very important thing.
[00:32:45.680 --> 00:32:46.680]   And I think that's a very important thing.
[00:32:46.680 --> 00:32:47.680]   And I think that's a very important thing.
