
[00:00:00.000 --> 00:00:04.000]   Welcome to the Latent Space Podcast, another super special edition.
[00:43:02.000 --> 00:43:08.000]   So, you know, it's, it's, it's just all really interesting and really fun speaking personally.
[00:43:08.000 --> 00:43:15.000]   But it's going to mean new nightmares when we all move to that generation and have to think about, you know, new versions of these problems.
[00:43:15.000 --> 00:43:19.000]   As you go up to larger scales, it gets quite different.
[00:43:19.000 --> 00:43:27.000]   Like right now, you know, if you're experiencing, let's say, for example, you experience a GPU failure every day, that's fine, just restart.
[00:43:27.000 --> 00:43:30.000]   If you make your thing 24 times as big, now it's once an hour.
[00:43:30.000 --> 00:43:33.000]   Now it stops being quite as easy to just restart, right?
[00:43:33.000 --> 00:43:38.000]   So now you have to kind of break, like bake in this sort of redundancy that you didn't have before.
[00:43:38.000 --> 00:43:49.000]   So I think as you go up in scale, you end up running into like a lot of really interesting problems that also inform the, the actual like design.
[00:43:49.000 --> 00:43:57.000]   Yeah, I mean, as an orchestration guy, this is why I always emphasize like very cheap storage or very fast storage so you can checkpoint more.
[00:43:57.000 --> 00:44:03.000]   But I don't think that's probably not the best solution for fast, you know, training.
[00:44:03.000 --> 00:44:08.000]   Which works fine when you're doing language and then you move to vision or video.
[00:44:08.000 --> 00:44:15.000]   And then, you know, you have multi petabyte data sets and getting, you know, cheap, fast multi petabyte storage starts to bite.
[00:44:15.000 --> 00:44:30.000]   Like I've certainly encountered issues where the literal data center where my GPUs were did not have enough, you know, object store to fit the data sets that people wanted to bring into that data center from whichever users were, were trying to bring them in.
[00:44:30.000 --> 00:44:37.000]   And then you get to a whole different world of hurt where you have to keep your data in a different region because the region is just out of storage.
[00:44:37.000 --> 00:44:40.000]   So things get fun really fast.
[00:44:40.000 --> 00:44:48.000]   Speaking of vision, Josh, actually, you know, Embu is an agents company, but you're only, you're announcing a text only model.
[00:44:48.000 --> 00:44:51.000]   Where does, where does the vision side come in?
[00:44:51.000 --> 00:45:00.000]   I think we've actually done a lot of work in the past and people can see kind of our blog posts about sort of self supervised learning and some other kind of vision related stuff in the past as well.
[00:45:00.000 --> 00:45:02.000]   So we're very familiar with, with that stuff.
[00:45:02.000 --> 00:45:08.000]   But I think our main focus right now is on kind of, as we say, coding and reasoning.
[00:45:08.000 --> 00:45:12.000]   And there, there's certainly a visual component to some problems.
[00:45:12.000 --> 00:45:17.000]   But, you know, it's not necessarily required for all problems.
[00:45:17.000 --> 00:45:25.000]   And actually we found that for most of the kind of like code writing and reasoning problems that we care about, the visual part isn't really a huge important part of it.
[00:45:25.000 --> 00:45:29.000]   Sometimes if you really need to, you can maybe describe the thing.
[00:45:29.000 --> 00:45:35.000]   There are other like, you know, multimodal models that you can use off the shelf to sort of plug in for those particular pieces that you need, right?
[00:45:35.000 --> 00:45:42.000]   Like if something is driving a browser or whatever, like you can sometimes get away with not having to have that baked into the original model.
[00:45:42.000 --> 00:45:47.000]   So our focus, you know, in a sense, we kind of do a lot across the stack.
[00:45:47.000 --> 00:45:52.000]   We're working on our own infrastructure and pre-training and RL and fine tuning and products and everything.
[00:45:52.000 --> 00:45:55.000]   But in another sense, we're very narrowly focused on the application side.
[00:45:55.000 --> 00:45:59.000]   So all of the stuff across the stack is kind of going toward like a very particular purpose.
[00:45:59.000 --> 00:46:02.000]   And so that particular purpose right now doesn't really need vision.
[00:46:02.000 --> 00:46:06.000]   So we think that people are going to make all sorts of really cool image models like Jonathan, right?
[00:46:06.000 --> 00:46:09.000]   And all sorts of interesting multimodal models into the future.
[00:46:09.000 --> 00:46:10.000]   We'll let them go do that.
[00:46:10.000 --> 00:46:11.000]   That's great.
[00:46:11.000 --> 00:46:15.000]   We'll take advantage of that, partner with those people in the future.
[00:46:15.000 --> 00:46:21.000]   And right now we're really focused on kind of like core reasoning and coding capabilities and aspects of the model.
[00:46:21.000 --> 00:46:27.000]   I wanted to go into Carbs since like that's like kind of the next layer of the stack.
[00:46:27.000 --> 00:46:34.000]   We talked about Carbs in the first episode with Kanjin, because you've actually had a blog post about it like a couple of years ago.
[00:46:34.000 --> 00:46:35.000]   Maybe let's introduce it.
[00:46:35.000 --> 00:46:37.000]   Has that been a couple of years now?
[00:46:37.000 --> 00:46:39.000]   No, it must have been at least one year.
[00:46:39.000 --> 00:46:41.000]   Hopefully it's not a couple of years.
[00:46:41.000 --> 00:46:42.000]   Sorry.
[00:46:42.000 --> 00:46:43.000]   I'm counting AI time.
[00:46:43.000 --> 00:46:44.000]   Yeah.
[00:46:44.000 --> 00:46:49.000]   I was going to say, you're making me feel really old right now.
[00:46:49.000 --> 00:46:57.000]   I count everything before the General Intelligent Rename as like, you know, prehistory and now sort of modernity, right?
[00:46:57.000 --> 00:47:05.000]   So I actually thought Carbs was more about hyperparameter optimization in a sense of like sort of parameters, hyperparam search.
[00:47:05.000 --> 00:47:18.000]   Whereas, you know, when you introduced it, especially in this blog post, it's more about scaling laws and predictability of like, are we sort of in the right ballpark before we scale things up?
[00:47:18.000 --> 00:47:21.000]   Maybe sort of recap the history of Carbs.
[00:47:21.000 --> 00:47:22.000]   Yeah.
[00:47:22.000 --> 00:47:24.000]   So it really is a little bit of both.
[00:47:24.000 --> 00:47:33.000]   So Carbs is, it's maybe a backronym, but it's for Cost-Aware Pareto Region Bayesian Search.
[00:47:33.000 --> 00:47:36.000]   So this is about technically how it works.
[00:47:36.000 --> 00:47:38.000]   But Carbs is like, you know, we like pastries and stuff.
[00:47:38.000 --> 00:47:39.000]   So great.
[00:47:39.000 --> 00:47:40.000]   Why not?
[00:47:40.000 --> 00:47:44.000]   But the point is that it's a cost-aware hyperparameter tuner.
[00:47:44.000 --> 00:47:50.000]   So most hyperparameter tuners, you kind of say, OK, here's this objective function.
[00:47:50.000 --> 00:47:54.000]   I want you to make this number as big as possible or as small as possible, whichever direction you want to go.
[00:47:54.000 --> 00:47:57.000]   So, yeah, just go make this number, you know, as small as possible.
[00:47:57.000 --> 00:48:08.000]   OK, so it'll try a bunch of different hyperparameters, a bunch of different configurations to figure out, like, how do I tweak your network and architecture, et cetera, to get the kind of best performance I possibly can.
[00:48:08.000 --> 00:48:18.000]   That's usually saying, like, you know, almost all of these hyperparameter configurations, let's say they're all going to use the same number of GPUs or the same number of nodes, so it's going to run for the same amount of time.
[00:48:18.000 --> 00:48:19.000]   So you can do that.
[00:48:19.000 --> 00:48:21.000]   You can get a number out, and that's great.
[00:48:21.000 --> 00:48:24.000]   But what Carbs does is it says, OK, actually, what if we relax that constraint?
[00:48:24.000 --> 00:48:31.000]   What if we say each of these different points, we're going to model how expensive it will be to sample this configuration.
[00:48:31.000 --> 00:48:34.000]   So what if we train with just 1/100 of the data?
[00:48:34.000 --> 00:48:35.000]   Like, how well can we do?
[00:48:35.000 --> 00:48:37.000]   What if we train with 1/10 of the data?
[00:48:37.000 --> 00:48:39.000]   What if we train with all the data?
[00:48:39.000 --> 00:48:50.000]   That way, you can understand, like, as we get more and more data, as we spend more and more compute, as we make a bigger and bigger network, how does performance change with these things that change, like, how expensive it is to even explore this data point?
[00:48:50.000 --> 00:48:58.000]   So by doing that, we can see the scaling laws for not just, you know, the scaling laws from, like, the, you know, Chantilla paper, but scaling laws for all parameters.
[00:48:58.000 --> 00:49:01.000]   We can see how does the number of layers change with this?
[00:49:01.000 --> 00:49:03.000]   How does the, you know, the learning rate change?
[00:49:03.000 --> 00:49:06.000]   How do the, like, you know, various types of regularization change?
[00:49:06.000 --> 00:49:08.000]   So you can see these nice scaling laws.
[00:49:08.000 --> 00:49:13.000]   And as you're going across costs, like, how should this be changing as you're scaling up your model?
[00:49:13.000 --> 00:49:25.000]   So that, coupled with the kind of metric that we chose, which is a very precise way of measuring performance, allowed us to really, like, hone in on parameters that worked really well and understand, like, how do we want to scale those up?
[00:49:25.000 --> 00:49:27.000]   Especially as we're changing things about the network.
[00:49:27.000 --> 00:49:30.000]   Like, one of the things that we did is we used a custom tokenizer.
[00:49:30.000 --> 00:49:34.000]   As we change this tokenizer, it changes a bunch of other things about the model.
[00:49:34.000 --> 00:49:36.000]   So how should we scale up this entirely new tokenizer?
[00:49:36.000 --> 00:49:40.000]   Like, no one has ever made a model this large with this tokenizer before.
[00:49:40.000 --> 00:49:42.000]   And so how do we want to change all these things?
[00:49:42.000 --> 00:49:47.000]   Harps kind of shows you, like, look, as you change these parameters, like, these other ones are kind of dependent on this.
[00:49:47.000 --> 00:49:49.000]   Like, this is the, these are the relationships between them.
[00:49:49.000 --> 00:49:54.000]   So you can better understand, like, okay, if I'm going to scale this up 10x or 100x, like, where do I want to be?
[00:49:54.000 --> 00:49:56.000]   You can only go so far.
[00:49:56.000 --> 00:50:01.000]   And so, you know, we did run, like, I think maybe it was like a 14b one or something like that to check.
[00:50:01.000 --> 00:50:05.000]   But, and so we had a bunch of, like, 1b, a 14b, and then a 70b.
[00:50:05.000 --> 00:50:08.000]   I don't think we had a, I think we just did, like, one at 14b.
[00:50:08.000 --> 00:50:11.000]   So you can, we get to check to, like, oh, is this on the curve?
[00:50:11.000 --> 00:50:12.000]   Like, is this where we expect it?
[00:50:12.000 --> 00:50:13.000]   It was, like, right there.
[00:50:13.000 --> 00:50:14.000]   So then, great.
[00:50:14.000 --> 00:50:16.000]   Go on to the next one.
[00:50:16.000 --> 00:50:18.000]   Yeah, I mean, that makes a lot of sense.
[00:50:18.000 --> 00:50:30.000]   I wonder if, so one of the key questions, and correct me if I'm wrong, but, like, usually people do search or do their evals just based on loss.
[00:50:30.000 --> 00:50:41.000]   But you actually evaluate based on, you know, the sort of end-state evals that people might expect, like HellaSwag and Lombata, whatever.
[00:50:41.000 --> 00:50:43.000]   What is the norm here?
[00:50:43.000 --> 00:50:44.000]   Is there a norm?
[00:50:44.000 --> 00:50:46.000]   Yeah, I don't know if it's 100%.
[00:50:46.000 --> 00:50:47.000]   I don't know.
[00:50:47.000 --> 00:50:50.000]   I only see loss on most people's reports.
[00:50:50.000 --> 00:50:56.000]   I think it's easy to, like, loss is very nice because it's very precise.
[00:50:56.000 --> 00:51:02.000]   It will tell you, like, very fine-grained differences between, like, really small changes in your hyperparameters or network architecture.
[00:51:02.000 --> 00:51:06.000]   Whereas, especially at the smaller scales, if you're looking at, like, accuracy, it's very noisy.
[00:51:06.000 --> 00:51:14.000]   Like, it might be zero or 100 or, like, you know, fluctuating by, like, 10 or 20 percentage points, which makes it really hard to tell, like, did that change actually mean anything?
[00:51:14.000 --> 00:51:17.000]   So our loss is sort of a combination of these two.
[00:51:17.000 --> 00:51:26.000]   Instead of saying, like, let's just look at perplexity, we say, let's look at perplexity on the task that we care about for multiple-choice questions, effectively.
[00:51:26.000 --> 00:51:34.000]   So we're saying, like, yes, this is formulated as a multiple-choice question, and we're going to look at the, like, you know, the loss, the perplexity for this particular answer token.
[00:51:34.000 --> 00:51:39.000]   And that ends up being something that's, like, both targeted to what you actually care about and also very precise.
[00:51:39.000 --> 00:51:43.000]   The nice thing about this, though, is that it's independent of the data that you train on.
[00:51:43.000 --> 00:51:51.000]   The other thing that's annoying about perplexity or about loss is that as you change your dataset, this is really obnoxious because now it fundamentally changes your loss, right?
[00:51:51.000 --> 00:51:53.000]   So you can't tell, like, how do I tweak my dataset?
[00:51:53.000 --> 00:51:59.000]   But because we have this held-out evaluation dataset where we're looking at perplexity, we can actually change the data mix.
[00:51:59.000 --> 00:52:11.000]   And so CARBs actually control what is the mix of data that we want to see, like how much code, you know, how much internet text, et cetera, in order to figure out what is the best optimal mix of data.
[00:52:11.000 --> 00:52:13.000]   That because we have this other metric.
[00:52:13.000 --> 00:52:15.000]   So that was one of the things that was really, really helpful.
[00:52:15.000 --> 00:52:23.000]   I think there is a trend overall about changing data mix as training goes on.
[00:52:23.000 --> 00:52:30.000]   I don't know how, you know, we're deciding not to talk about datasets in this podcast.
[00:52:30.000 --> 00:52:36.000]   But what have you observed about the changing data mix question?
[00:52:36.000 --> 00:52:44.000]   We did some experiments and we've actually talked to a bunch of researchers who are doing work here as well and looking at kind of their experiments on this.
[00:52:44.000 --> 00:52:49.000]   And we were originally pretty hopeful because it sounds like something that should work and make sense, right?
[00:52:49.000 --> 00:52:57.000]   Like, oh, cool, like maybe you would have your model, like, learn the basic features and then over time it could get really good at these complicated math problems or coding or something, right?
[00:52:57.000 --> 00:53:00.000]   But it just turns out that, like, yeah, it's just not the way it works.
[00:53:00.000 --> 00:53:04.000]   Like, oh, we've done so many experiments and you can get like a tiny, tiny little boost from this.
[00:53:04.000 --> 00:53:09.000]   But it just is not like, it's just not the important thing, at least in the experiments that we've seen.
[00:53:09.000 --> 00:53:13.000]   So, yeah, we've kind of, we're letting other people explore that more if they want.
[00:53:13.000 --> 00:53:16.000]   But that just doesn't seem like the most promising direction for us.
[00:53:16.000 --> 00:53:19.000]   We've had some surprisingly good luck with this.
[00:53:19.000 --> 00:53:21.000]   We just released a paper on it.
[00:53:21.000 --> 00:53:26.000]   The details matter a lot and it really matters what you're trying to do with the model.
[00:53:26.000 --> 00:53:30.000]   But it's been, it's been quite effective for us, depending on the setting.
[00:53:30.000 --> 00:53:34.000]   And certainly when we're thinking about domain-specific models, this helps a ton.
[00:53:34.000 --> 00:53:38.000]   You know, to a certain extent, you can always think of this as like early fine tuning.
[00:53:38.000 --> 00:53:43.000]   But yeah, I, like, there've been little glimmers of this in the literature for years.
[00:53:43.000 --> 00:53:46.000]   Like, especially, I think the Gemini 1.5 paper mentions this.
[00:53:46.000 --> 00:53:55.000]   And I don't remember whether the Llama 3 paper mentions this, but it's kind of, it's one of those, like, people have different ways to get to these endpoints.
[00:53:55.000 --> 00:54:02.000]   I think, you know, there are the architectural tricks that each lab has to mitigate loss spikes or what have you.
[00:54:02.000 --> 00:54:05.000]   And everybody's got, you know, their own bag of tricks.
[00:54:05.000 --> 00:54:08.000]   And it leads to kind of sometimes this contradictory information.
[00:54:08.000 --> 00:54:09.000]   It's not contradictory.
[00:54:09.000 --> 00:54:11.000]   People are just kind of exploring different parts of the space in some sense.
[00:54:11.000 --> 00:54:13.000]   And there are lots of ways to get a great model.
[00:54:13.000 --> 00:54:22.000]   But certainly for us within our config, and it seems like, I guess, for the folks at Google within kind of the part of the world they live in, changing the data set has helped.
[00:54:22.000 --> 00:54:27.000]   But the details matter a lot, and it's really hard to get those details right for the reasons Josh, you know, just mentioned.
[00:54:27.000 --> 00:54:34.000]   Like, there's a lot of search involved, and you essentially have to make hard choices about what parts of the space you're going to search and which ones you're going to leave be.
[00:54:34.000 --> 00:54:37.000]   And so, you know, some people have done an amazing job.
[00:54:37.000 --> 00:54:43.000]   Like, I think the, who is it, the DeepSeek folks have done an awesome job looking at, like, batch size warmup.
[00:54:43.000 --> 00:54:45.000]   And that's been really, really fruitful for them.
[00:54:45.000 --> 00:54:48.000]   You know, other people are looking really hard at things like datamix.
[00:54:48.000 --> 00:54:51.000]   But it just gets tricky to look at everything.
[00:54:51.000 --> 00:54:56.000]   Yeah, I think we've found that, like, we could get some things that looked like gains from data sets.
[00:54:56.000 --> 00:55:05.000]   But one of the things that I like about carbs is that when we applied carbs to, like, properly tune things, then a lot of those kind of evaporated.
[00:55:05.000 --> 00:55:12.000]   Whereas, like, if we just tune these other parameters, actually, we can get almost the same gains without having to do this more complicated thing.
[00:55:12.000 --> 00:55:22.000]   So, at least in the experiment, in the settings that we've, like, in the particular metrics that we care about, we haven't seen these kind of, like, pan out or scale up in quite the same way, but not to rule it out.
[00:55:22.000 --> 00:55:32.000]   And I think you're right, Jonathan, that there probably are a lot of, like, details that go into, like, exactly what is the metric, exactly what is the data set, exactly which, like, what schedule are we using for this.
[00:55:32.000 --> 00:55:35.000]   And I certainly wouldn't rule it out working.
[00:55:35.000 --> 00:55:38.000]   Quick question about emergence.
[00:55:38.000 --> 00:55:43.000]   Doesn't emergence throw a spanner into the theory of carbs?
[00:55:43.000 --> 00:55:56.000]   Ah, so there is a paper of which I really liked and I think informed a little bit of how we thought about this, which is "Are Emergent Properties of Language Models a Mirage?"
[00:55:56.000 --> 00:56:10.000]   And I think if you look at that paper, it actually makes a relatively compelling case that, in fact, you know, this emergent behavior that you're seeing is not really emergent behavior, but is really a function of the evaluation metrics that we're using.
[00:56:10.000 --> 00:56:17.000]   So, if you look at accuracy as a metric, what's happening is that accuracy is actually going up continually over training, but it's in log scale.
[00:56:17.000 --> 00:56:22.000]   So it starts out at 0.001%, 0.1, 0.1, 10.
[00:56:22.000 --> 00:56:26.000]   Only when you're going between 10 and 90 do you see this happen, right?
[00:56:26.000 --> 00:56:31.000]   When you go from 1 in, you know, 1,000 getting right to 1 in 1,000 getting wrong, like, there's many orders of magnitude happening here.
[00:56:31.000 --> 00:56:35.000]   So when you're looking at this in perplexity, then you just see this nice straight line.
[00:56:35.000 --> 00:56:37.000]   And so that's actually what carbs is exploiting.
[00:56:37.000 --> 00:56:46.000]   Like, since we're, since our metric is in this kind of, like, perplexity log space, like, you can see, like, oh, it's just, like, getting better as you make it bigger in this nice, very predictable way.
[00:56:46.000 --> 00:56:49.000]   So that, and that is exactly what we saw.
[00:56:49.000 --> 00:56:54.000]   Like, these things were really, really bad at, you know, predicting the multiple choice answer, just always guess A.
[00:56:54.000 --> 00:56:56.000]   Okay, it's so terrible at it.
[00:56:56.000 --> 00:56:59.000]   But it was like learning to be less confident about that.
[00:56:59.000 --> 00:57:00.000]   Yeah.
[00:57:00.000 --> 00:57:06.000]   One trick I saw from one of the papers recently was just, like, just randomize the order of the multiple choice questions.
[00:57:06.000 --> 00:57:18.000]   And if you, if that hits the performance a lot, then they're just basically memorizing the test set, which makes a lot of sense.
[00:57:18.000 --> 00:57:24.000]   Yeah, this is, I mean, you know, I completely agree with what Josh said.
[00:57:24.000 --> 00:57:31.000]   I think the, you know, my bigger lesson is that anything can look however you want it to look if you put it in a log scale to a certain extent.
[00:57:31.000 --> 00:57:35.000]   And we love our log scales in deep learning for various reasons.
[00:57:35.000 --> 00:57:40.000]   Everything looks very clean on a log scale until everything looks very flat on a log scale.
[00:57:40.000 --> 00:57:41.000]   I don't know.
[00:57:41.000 --> 00:57:44.000]   I, like, log scales always mix me up.
[00:57:44.000 --> 00:57:45.000]   That's all I can say.
[00:57:45.000 --> 00:57:46.000]   Great.
[00:57:46.000 --> 00:57:50.000]   I think the last thing I was going to mention on Carves.
[00:57:50.000 --> 00:57:55.000]   Oh, well, I mean, let's just kind of go right into evals because I think that's going to be the sort of crowd favorite.
[00:57:55.000 --> 00:58:04.000]   So Carves, we already mentioned, you know, leans heavily on the sort of end evals that we would typically eval LMs on.
[00:58:04.000 --> 00:58:06.000]   Except that you had to make your own.
[00:58:06.000 --> 00:58:13.000]   There are a lot of documented problems with many of the common evals out there and you fixed all of them, it sounds like.
[00:58:13.000 --> 00:58:23.000]   I don't know about fixed all of them, but I think in the same way that we like to dig into the infrastructure and hardware and understand, like, what actually is going wrong?
[00:58:23.000 --> 00:58:28.000]   Like, what is the actual error on this machine with this GPU and why did that happen and how do we fix it?
[00:58:28.000 --> 00:58:30.000]   We take the same approach to the evaluations.
[00:58:30.000 --> 00:58:41.000]   So when we looked at the evaluations and actually looked at the data sets, you know, what we did is like, OK, if we're going to be, you know, evaluating natural language understanding and reasoning, like, let's look at all the data sets that are out there.
[00:58:41.000 --> 00:58:46.000]   Let's actually look at a bunch of the examples and say, like, is this a good data set that we should use for evaluation?
[00:58:46.000 --> 00:58:50.000]   That's kind of how we selected the evaluation data set that we had.
[00:58:50.000 --> 00:58:59.000]   And then when we looked at the actual examples in there, we noticed, like, a lot of these are very messy, like some of them messy to the point of, like, incoherence and some of the ones that we didn't choose.
[00:58:59.000 --> 00:59:03.000]   But even the ones that we chose, like, people tried pretty hard on these data sets.
[00:59:03.000 --> 00:59:06.000]   They did try and clean them, but there's just a lot of data points in there.
[00:59:06.000 --> 00:59:08.000]   And it's just easy to make mistakes, right?
[00:59:08.000 --> 00:59:11.000]   And so, you know, it's not that they have 100 people looking at every question.
[00:59:11.000 --> 00:59:13.000]   Like, that's just way too expensive.
[00:59:13.000 --> 00:59:15.000]   So you end up with questions that just don't make sense.
[00:59:15.000 --> 00:59:16.000]   Somebody didn't really see this.
[00:59:16.000 --> 00:59:19.000]   Somebody just clicked the wrong box for the answer.
[00:59:19.000 --> 00:59:22.000]   Or the question makes sense in your head when you write it.
[00:59:22.000 --> 00:59:23.000]   We've often seen this.
[00:59:23.000 --> 00:59:24.000]   It's not even like malice or incompetence.
[00:59:24.000 --> 00:59:26.000]   It's really just like, you know, you write this, you write it.
[00:59:26.000 --> 00:59:27.000]   You're like, this makes sense to me.
[00:59:27.000 --> 00:59:29.000]   You show it to another person, like, that makes sense.
[00:59:29.000 --> 00:59:31.000]   You show it to a third person, they're like, this makes no sense at all.
[00:59:31.000 --> 00:59:34.000]   It's because you're kind of, you know, using a different meaning of the word.
[00:59:34.000 --> 00:59:36.000]   And then when they say that, you're like, oh, wow, you're right.
[00:59:36.000 --> 00:59:38.000]   That is actually really confusing.
[00:59:38.000 --> 00:59:40.000]   It's easy for things to kind of make sense in our own head.
[00:59:40.000 --> 00:59:50.000]   So what we did for the evaluations is really dug into the details of each of these data sets and tried to ask, like, what makes a good question?
[00:59:50.000 --> 00:59:51.000]   What makes a good answer?
[00:59:51.000 --> 00:59:53.000]   Like, what does it mean for it to be ambiguous?
[00:59:53.000 --> 01:00:02.000]   We had a whole, like, we looked at lots of data, broke this down, asked lots of people about all these different questions to build a model of this and help us kind of clean these data sets.
[01:00:02.000 --> 01:00:04.000]   That was sort of one big piece of it.
[01:00:04.000 --> 01:00:10.000]   A second big piece was making sure that our data that we're training on is not data that we're testing on.
[01:00:10.000 --> 01:00:23.000]   So there we kind of took a step back and said, like, OK, well, let's just reproduce, you know, 500 to 1,000 examples for every single one of these data sets ourselves and just make sure that this data is definitely not in the, you know, the training set.
[01:00:23.000 --> 01:00:24.000]   So we did that.
[01:00:24.000 --> 01:00:33.000]   And then we're able to, like, now be confident about, like, our performance of our model and also performance of other open source and other closed source models.
[01:00:33.000 --> 01:00:35.000]   Yeah, there's a lot there.
[01:00:35.000 --> 01:00:40.000]   You had 11, I don't know how many data sets.
[01:00:40.000 --> 01:00:41.000]   I think so.
[01:00:41.000 --> 01:00:42.000]   One, two.
[01:00:42.000 --> 01:00:43.000]   Yeah.
[01:00:43.000 --> 01:00:46.000]   Anyone you want to call out in particular to dive deeper on?
[01:00:46.000 --> 01:00:50.000]   Some of these are very famous, like Hubble Swag, you know, Grand.
[01:00:50.000 --> 01:00:52.000]   Some are less famous, like Race.
[01:00:52.000 --> 01:00:53.000]   I don't know if...
[01:00:53.000 --> 01:00:55.000]   Race is a great data set.
[01:00:55.000 --> 01:00:56.000]   Yeah.
[01:00:56.000 --> 01:00:57.000]   Yeah.
[01:00:57.000 --> 01:01:01.000]   Just, you know, anything that's interesting you want to call out on specific data sets?
[01:01:01.000 --> 01:01:04.000]   I think there are a few asterisks in there.
[01:01:04.000 --> 01:01:07.000]   You know, definitely read the whole paper as you're looking at some of these.
[01:01:07.000 --> 01:01:10.000]   Like, the GSM8K one is a little bit weird.
[01:01:10.000 --> 01:01:15.000]   I think one that was kind of funny was, like, low performance on ethics from some of the more recent models.
[01:01:15.000 --> 01:01:22.000]   I think that was a little bit funny because the models, you know, I think there was a reaction to, like, oh, no, like, you know, the models are saying bad things.
[01:01:22.000 --> 01:01:23.000]   So they went way, way in the other direction.
[01:01:23.000 --> 01:01:29.000]   And now, like, on the ethics data set, it's always like, this is totally unethical, even though it's really fine.
[01:01:29.000 --> 01:01:33.000]   So they've just been tuned to, you know, make sure they don't make any PR disasters.
[01:01:33.000 --> 01:01:35.000]   I thought that was a little bit funny.
[01:01:35.000 --> 01:01:41.000]   Not to say that it's necessarily like a flaw of the model, but just kind of like, you know, political or tuning opinion.
[01:01:41.000 --> 01:01:43.000]   I think the main takeaway...
[01:01:43.000 --> 01:01:44.000]   To fix...
[01:01:44.000 --> 01:01:53.000]   Oh, I was just going to say the main takeaway from any of the, like, actual performance is, like, once you fix these ambiguous examples, a lot of these benchmarks are really saturated.
[01:01:53.000 --> 01:02:05.000]   Like, I think it's important to look at, like, you know, like, when you're talking about performance on ANLI or race or pool queue or something, like, what you're really talking about is, like, performance on questions that make no sense.
[01:02:05.000 --> 01:02:09.000]   Like, it's just like, did it guess the answer in this, like, really weird scenario?
[01:02:09.000 --> 01:02:11.000]   Like, those are the ones that are left.
[01:02:11.000 --> 01:02:15.000]   Like, when you look at the performance on the ones that actually make sense to everyone, all the models agree.
[01:02:15.000 --> 01:02:16.000]   We agree.
[01:02:16.000 --> 01:02:20.000]   Like, everyone's on the same page, which I think is kind of a really interesting result.
[01:02:20.000 --> 01:02:33.000]   The question then becomes, you know, what are the new, like, set of evals that would be like the next frontier that often embeds with it your idea of what reasoning is?
[01:02:33.000 --> 01:02:36.000]   Because obviously you're super interested in reasoning.
[01:02:36.000 --> 01:02:41.000]   And yeah, I mean, like, where does this, where does the state of evals go from here?
[01:02:41.000 --> 01:02:47.000]   This work and this blog post is talking mostly about the public evaluations and the things that we can release.
[01:02:47.000 --> 01:02:49.000]   We do have our own internal evaluations.
[01:02:49.000 --> 01:02:59.000]   For example, one of them that we are releasing is the code understanding evaluation, which is about predicting, you know, what will this variable be or asking questions about code, et cetera.
[01:02:59.000 --> 01:03:03.000]   And that is one of the early benchmarks that we made that we can release.
[01:03:03.000 --> 01:03:09.000]   We can partly release it because we can generate an almost infinite amount of this data because these are programmatically generated.
[01:03:09.000 --> 01:03:14.000]   And so, you know, we're not really worried about there being like corruption in the kind of the training or test set.
[01:03:14.000 --> 01:03:17.000]   So that makes it a little bit easier for us.
[01:03:17.000 --> 01:03:21.000]   But I think it's, you know, we have built other data sets as well that we can't release.
[01:03:21.000 --> 01:03:25.000]   Some of them, you know, for example, because they maybe use other open source code.
[01:03:25.000 --> 01:03:27.000]   And so we can't redistribute it necessarily.
[01:03:27.000 --> 01:03:34.000]   Other ones, because, you know, that's I think evaluations and data are like a core important part of, you know, the business.
[01:03:34.000 --> 01:03:41.000]   And I think we take evaluations very seriously and are spending a lot of effort in terms of like, what exactly do we make as part of the evaluation set?
[01:03:41.000 --> 01:03:42.000]   How do you evaluate these things?
[01:03:42.000 --> 01:03:45.000]   We've done a lot of other stuff, you know, since these evaluations.
[01:03:45.000 --> 01:03:50.000]   But I think a lot around like code understanding for us, since that's our main focus.
[01:03:50.000 --> 01:03:54.000]   And it's a nice like place to explore reasoning as well.
[01:03:54.000 --> 01:04:01.000]   It sounds like you talk a little bit about like code understanding as like sort of variable level, like sort of very micro context.
[01:04:01.000 --> 01:04:04.000]   Is there a sense of like larger code context as well?
[01:04:04.000 --> 01:04:05.000]   I don't know what I mean by that, by the way.
[01:04:05.000 --> 01:04:16.000]   It's mostly just like if I told the senior engineer to go look at a code base, they would understand at a broad level the architecture, but also the design decisions and be able to tell me that.
[01:04:16.000 --> 01:04:21.000]   I don't know if that's useful or not, but I mean, that's useful to me as someone who might be working with them.
[01:04:21.000 --> 01:04:22.000]   Yeah.
[01:04:22.000 --> 01:04:28.000]   This particular data set is like the more low level code understanding, like just literally what happens in this code.
[01:04:28.000 --> 01:04:31.000]   And this is mostly because, you know, this is part of the CARBS tuning metric, etc.
[01:04:31.000 --> 01:04:34.000]   Like we care about the low scale version of this as well.
[01:04:34.000 --> 01:04:37.000]   We want smaller scale models to be able to do something on this.
[01:04:37.000 --> 01:04:38.000]   And so that's kind of the focus for this.
[01:04:38.000 --> 01:04:41.000]   And hopefully this is more useful for other people.
[01:04:41.000 --> 01:04:44.000]   But yes, those other questions are also quite interesting.
[01:04:44.000 --> 01:04:48.000]   They get a lot harder to evaluate, like, is this a good architecture or not?
[01:04:48.000 --> 01:04:51.000]   Like you and I could probably debate for a while on, you know, different architectures.
