
[00:00:00.000 --> 00:00:24.420]   Okay, thank you for coming bright and early, 9:00 a.m. at the start of the conference,
[01:00:36.720 --> 01:00:41.720]   And if you remember that co-occurrence matrix, moves has been used in a lot of sentences.
[01:00:41.720 --> 01:00:48.720]   In some sentences, moves was used to describe rabbits, right, or cheetahs, or animals or things
[01:00:48.720 --> 01:00:49.720]   that moved fast.
[01:00:49.720 --> 01:00:54.720]   So there's some other point in this embedding space that we don't have yet that represents
[01:00:54.720 --> 01:00:56.720]   moves in a fast context.
[01:00:56.720 --> 01:01:01.720]   And then moves was used in some sentences to describe slugs or penguins.
[01:01:01.720 --> 01:01:04.720]   And so moves in that case was implying slow.
[01:01:04.720 --> 01:01:09.720]   But the embedding for moves, unfortunately, has to capture all of those meanings together.
[01:01:09.720 --> 01:01:12.720]   But now that we know quick is here, we can change that.
[01:01:12.720 --> 01:01:19.720]   We can say, oh, I'm going to shift the position of moves from the regular generic version of moves
[01:01:19.720 --> 01:01:22.720]   to the moves fast.
[01:01:22.720 --> 01:01:24.720]   So I've kind of disambiguated the word.
[01:01:24.720 --> 01:01:27.720]   I've shifted its position in space to capture its meaning.
[01:01:27.720 --> 01:01:30.720]   I'm not going to go through all the steps of attention.
[01:01:30.720 --> 01:01:37.720]   But I think the most salient part of attention to see is step seven.
[01:01:37.720 --> 01:01:40.720]   It's the most famous thing that people usually show.
[01:01:44.720 --> 01:01:45.720]   move right here.
[01:01:45.720 --> 01:01:49.720]   So you can see it says Mike is quick on the horizontal.
[01:01:49.720 --> 01:01:51.720]   And then Mike is quick, period.
[01:01:51.720 --> 01:01:53.720]   He moves on the vertical.
[01:01:53.720 --> 01:02:00.720]   So what this is is you can see how much relevance or attention each word is paying to every other
[01:02:00.720 --> 01:02:01.720]   word.
[01:02:01.720 --> 01:02:03.720]   And by the way, what you're seeing here is just the first head.
[01:02:03.720 --> 01:02:04.720]   There are multiple of these heads.
[01:02:04.720 --> 01:02:09.720]   So if you scroll this to the right, 64 spaces, you'll see another matrix that looks like this.
[01:02:09.720 --> 01:02:11.720]   And there's a couple of things to notice.
[01:02:11.720 --> 01:02:17.720]   The biggest thing to notice here is that the upper triangle is all zeros.
[01:02:17.720 --> 01:02:25.720]   And that's because in transformers like GPT-2 and decoder-based transformers, we have this rule
[01:02:25.720 --> 01:02:27.720]   that no token can look forward.
[01:02:27.720 --> 01:02:29.720]   They can only look at the tokens before it.
[01:02:29.720 --> 01:02:30.720]   Those are the ones that can influence it.
[01:02:30.720 --> 01:02:35.720]   And then the other key property is each of these values, each row, sums up to one.
[01:02:35.720 --> 01:02:39.720]   So you can think about the percentage of attention each word is paying to the other tokens.
[01:02:39.720 --> 01:02:43.720]   So here, for example, moves, 16% of its attention.
[01:02:43.720 --> 01:02:50.720]   Here in the first head of, in this case, the last block is paying 16% of its attention to the
[01:02:50.720 --> 01:02:55.720]   word Mike, 23% of its attention to is, and so forth.
[01:02:55.720 --> 01:02:59.720]   Okay, next up, the multilayer perceptron.
[01:02:59.720 --> 01:03:04.720]   Okay, so now this is the second major operation inside each block or layer.
[01:03:04.720 --> 01:03:09.720]   And the reason I want to cover this in a little more detail is I want to explain what neural network is.
[01:03:09.720 --> 01:03:12.720]   And it helps give a little more understanding to how the model actually learns.
[01:03:12.720 --> 01:03:14.720]   The key algorithm called backpropagation.
[01:03:14.720 --> 01:03:20.720]   So if you haven't seen a neural network before, it is a computational model inspired by the human brain.
[01:03:20.720 --> 01:03:23.720]   It is not a direct mimic or simulation of how the brain works.
[01:03:23.720 --> 01:03:26.720]   Inside the brain, we have these things called neurons.
[01:03:26.720 --> 01:03:29.720]   These neurons are all connected to each other.
[01:03:29.720 --> 01:03:31.720]   And you've got a bunch of connections incoming from other neurons.
[01:03:31.720 --> 01:03:34.720]   And you've got a bunch of connections outgoing to other neurons.
[01:03:34.720 --> 01:03:39.720]   And then in between, you have this axon right here.
[01:03:39.720 --> 01:03:44.720]   And the axon has an all or nothing activation behavior.
[01:03:44.720 --> 01:03:52.720]   If there's a sufficient amount of pattern of input that shows up, the axon will activate and it will send a signal out to its output.
[01:03:52.720 --> 01:04:00.720]   But if the activation doesn't have enough meet some threshold, you'll have these failed initiations and no signal will be sent to the output.
[01:04:00.720 --> 01:04:01.720]   It will be completely silent.
[01:04:01.720 --> 01:04:06.720]   As far as the other output neurons connected, this neuron is not firing.
[01:04:06.720 --> 01:04:08.720]   The signal wasn't getting through.
[01:04:08.720 --> 01:04:15.720]   And so we model this mathematically with this diagram where we've got a bunch of inputs, x1 through xn.
[01:04:15.720 --> 01:04:16.720]   And these are just numbers.
[01:04:16.720 --> 01:04:18.720]   These will be our embedding dimension numbers.
[01:04:18.720 --> 01:04:23.720]   And then we've got another series of numbers called weights, w1, w2 through wn.
[01:04:23.720 --> 01:04:30.720]   And we're simply multiplying the x's times the w's, adding them together, adding an additional number called a bias term.
[01:04:30.720 --> 01:04:33.720]   And then we put it through an activation function.
[01:04:33.720 --> 01:04:37.720]   And this activation function is designed to roughly mimic what happens in the brain.
[01:04:37.720 --> 01:04:48.720]   The easiest one to understand is this one, ReLU, which is basically saying when I multiply and add all the inputs coming in against their weights, if the result is negative, then I do nothing.
[01:04:48.720 --> 01:04:49.720]   It comes out as zero.
[01:04:49.720 --> 01:04:52.720]   If it's positive, then I just pass it through as is.
[01:04:52.720 --> 01:04:56.720]   And there's a whole zoo of these activation functions.
[01:04:56.720 --> 01:05:04.720]   So then what we do is we take these neurons and we stitch them together into a network of neurons, hence an artificial neural network.
[01:05:04.720 --> 01:05:07.720]   Now there's a lot of ways you can stitch these together.
[01:05:07.720 --> 01:05:14.720]   In the case of transformers in GPT-2, we do it in a pattern called the multilayer perceptron.
[01:05:14.720 --> 01:05:22.720]   You will also see it referred to as a fully connected network and a feed forward neural network or just simply the neural network.
[01:05:22.720 --> 01:05:24.720]   It is called by all these terms.
[01:05:24.720 --> 01:05:27.720]   These are not directly identical terms, but they all overlap.
[01:05:27.720 --> 01:05:33.720]   And the way the MLP pattern looks is you have your neurons arranged in these columns.
[01:05:33.720 --> 01:05:34.720]   of neurons.
[01:05:34.720 --> 01:05:36.720]   And these are called layers.
[01:05:36.720 --> 01:05:40.720]   And each layer in the multilayer perceptron has a node.
[01:05:40.720 --> 01:05:46.720]   And nodes in each layer are fully connected to every other node in its preceding input, but no other.
[01:05:46.720 --> 01:05:50.720]   So this node right here can see all of its input nodes.
[01:05:50.720 --> 01:05:51.720]   It's all connected to all of them.
[01:05:51.720 --> 01:05:53.720]   But it cannot talk to any of these directly.
[01:05:53.720 --> 01:05:57.720]   Everything that it gets is mediated through this intermediate layer between it.
[01:05:57.720 --> 01:06:03.720]   And these layers between the input and the output are simply just called hidden layers.
[01:06:03.720 --> 01:06:10.720]   The last thing maybe you should know as background on this is that neural networks can be more efficient to write as a matrix multiplication.
[01:06:10.720 --> 01:06:13.720]   So this process, we've got two neurons with a set of weights.
[01:06:13.720 --> 01:06:19.720]   So w11 times x1, w21 times x2 plus b.
[01:06:19.720 --> 01:06:27.720]   This can be written as a matrix multiplication where you just separate all the weights into one matrix, all the inputs into one matrix, and all the biases into one matrix.
[01:06:27.720 --> 01:06:36.720]   And then you can write it as this large w times x plus b equals the representation of the same thing of running a bunch of these neurons together.
[01:06:36.720 --> 01:06:45.720]   If you don't know your matrix multiplication, I like this website, which has a nice interactive visual demonstration of what matrix multiplication looks like.
[01:06:45.720 --> 01:06:53.720]   So you hit this, and then you keep going through step, and you can kind of convince yourself that what I showed here matches what's on that web page.
[01:06:53.720 --> 01:07:04.720]   So the key property, though, and why MLPs are so important is that they are universal, trainable approximators to any function purely from its input and output.
[01:07:04.720 --> 01:07:09.720]   With enough neurons, an MLP can approximate almost any function.
[01:07:10.720 --> 01:07:13.720]   So let's just take a simple example like a parabola.
[01:07:13.720 --> 01:07:18.720]   And we're going to imagine we're going to use a simple neural network with a ReLU activation to try and approximate it.
[01:07:18.720 --> 01:07:22.720]   We'll have one input node, one output, because we have an x going into a y.
[01:07:22.720 --> 01:07:25.720]   And then let's just use two nodes in our hidden layer.
[01:07:25.720 --> 01:07:27.720]   And those two nodes will use a ReLU activation.
[01:07:27.720 --> 01:07:32.720]   Well, without doing the math, you can kind of imagine, just by matching shapes, how you might do this.
[01:07:32.720 --> 01:07:39.720]   I'll take the ReLU, and I can take this part of the ReLU, and I can match it to the right half of my parabola.
[01:07:39.720 --> 01:07:45.720]   And then I can take another ReLU, I can flip it, and then I can match it to the left half.
[01:07:45.720 --> 01:07:49.720]   And then I can add them together, and I've got some kind of approximation to my parabola,
[01:07:49.720 --> 01:07:52.720]   at least on this domain of x that we're looking at.
[01:07:52.720 --> 01:07:56.720]   And that's what I've done in this example here.
[01:07:56.720 --> 01:08:06.720]   which, let's see if the Wi-Fi behaves for us.
[01:08:06.720 --> 01:08:07.720]   There we go.
[01:08:07.720 --> 01:08:12.720]   So here you can actually do this simple neural network, and you can try to match it to a parabola,
[01:08:12.720 --> 01:08:14.720]   and you can interactively move this.
[01:08:14.720 --> 01:08:18.720]   And you can see, and this is a measure of error up here, called mean square error.
[01:08:18.720 --> 01:08:21.720]   And you can try and see how good you can get your level of error.
[01:08:21.720 --> 01:08:22.720]   And you can see the action here.
[01:08:22.720 --> 01:08:28.720]   We're basically changing the different line pieces that we're using that are made out of ReLUs
[01:08:28.720 --> 01:08:30.720]   to try and match this parabola.
[01:08:30.720 --> 01:08:36.720]   This can kind of give you a feel for what the model is actually trying to do when it's trying to match a function.
[01:08:36.720 --> 01:08:43.720]   And you can think of this like more neurons means more lines, which means a better approximation.
[01:08:43.720 --> 01:08:46.720]   So with eight neurons, the parabola looks like this.
[01:08:46.720 --> 01:08:48.720]   With 20 neurons, it looks like this.
[01:08:48.720 --> 01:08:52.720]   And with 200 neurons, you can barely tell the difference, at least at this scale.
[01:08:52.720 --> 01:08:57.720]   But the other key thing is that we don't have to use trial and error to find this out,
[01:08:57.720 --> 01:08:59.720]   especially once you get 200 neurons.
[01:08:59.720 --> 01:09:01.720]   Imagine doing what I was doing with that fiddling.
[01:09:01.720 --> 01:09:04.720]   Oh, so this is a theorem.
[01:09:04.720 --> 01:09:07.720]   With enough neurons that you can approximate almost any function.
[01:09:07.720 --> 01:09:09.720]   It's called the universal approximation theorem.
[01:09:09.720 --> 01:09:13.720]   But the key thing is you combine that with a special algorithm called backpropagation,
[01:09:13.720 --> 01:09:20.720]   which lets us learn any function purely from its inputs and outputs without having to twiddle those knobs.
[01:09:20.720 --> 01:09:22.720]   It'll do it for us.
[01:09:22.720 --> 01:09:29.720]   And that's important because what we're going to ask this multilayer perceptron to do is the core mechanism job of a transformer,
[01:09:29.720 --> 01:09:31.720]   which is I'm going to give it a word.
[01:09:31.720 --> 01:09:33.720]   I'm going to give it the embedding of a token.
[01:09:33.720 --> 01:09:37.720]   And I'm going to ask it, predict what the embedding of the next token is.
[01:09:37.720 --> 01:09:39.720]   I don't know what that function is.
[01:09:39.720 --> 01:09:41.720]   But I can grab text on the internet.
[01:09:41.720 --> 01:09:42.720]   And I can grab one word.
[01:09:42.720 --> 01:09:44.720]   And I can grab the word that comes after it.
[01:09:44.720 --> 01:09:45.720]   And I can give it to the perceptron.
[01:09:45.720 --> 01:09:49.720]   And I can say, learn from this input and output what that mapping function is.
[01:09:49.720 --> 01:09:50.720]   As crazy as it might be.
[01:09:50.720 --> 01:09:53.720]   And what will happen is backpropagation will look at the input.
[01:09:53.720 --> 01:09:57.720]   It'll look at the output we got from the model when it was initially randomized.
[01:09:57.720 --> 01:10:01.720]   It'll look at the ground truth from what came pulled from the internet.
[01:10:01.720 --> 01:10:07.720]   And it will look at how we need to adjust the parameters and weights to change the perceptron to get more accurate at making that prediction.
[01:10:07.720 --> 01:10:13.720]   And after enough iterations, it'll get better and better and actually begin to start matching the function.
[01:10:13.720 --> 01:10:24.720]   The canonical analogy to understand what's happening in backpropagation, also known as, for our purposes, gradient descent, is a lost hiker trying to get down a foggy mountain.
[01:10:24.720 --> 01:10:27.720]   And you're at the top of this foggy mountain as a hiker.
[01:10:27.720 --> 01:10:28.720]   I've actually been in this situation.
[01:10:28.720 --> 01:10:31.720]   And you can't see any of the landscape.
[01:10:31.720 --> 01:10:34.720]   So you don't know which direction to get off the mountain.
[01:10:34.720 --> 01:10:38.720]   Well, the one thing you can do is you can look down at the ground.
[01:10:38.720 --> 01:10:46.720]   And you can say, oh, whichever way is going down, that's going to be the area towards getting off the mountain.
[01:10:46.720 --> 01:10:48.720]   By the way, actually, in real life, I have tried this.
[01:10:48.720 --> 01:10:49.720]   It does not work.
[01:10:49.720 --> 01:10:51.720]   This is how I got lost.
[01:10:51.720 --> 01:10:58.720]   So this is a hiker representing -- the hiker in this analogy represents the model parameters.
[01:10:58.720 --> 01:11:04.720]   It's in some space, but we don't know where to move the model parameters to get the least amount of error.
[01:11:04.720 --> 01:11:06.720]   And the mountain represents the error.
[01:11:06.720 --> 01:11:13.720]   It represents how wrong we are at the current position of where the hiker is or where the parameters are.
[01:11:13.720 --> 01:11:20.720]   And the mountain is foggy because we can tell the amount of error when I give it an input and it makes a prediction for the next token and we compare it.
[01:11:20.720 --> 01:11:21.720]   We can say, oh, it's wrong.
[01:11:21.720 --> 01:11:26.720]   But we don't know how to shift the model parameters to get lower error.
[01:11:26.720 --> 01:11:28.720]   But calculus will give us that slope.
[01:11:28.720 --> 01:11:31.720]   It will tell us where the elevation is going down.
[01:11:31.720 --> 01:11:35.720]   It won't tell us what the whole mountain looks like, but it will just say where you are standing right now.
[01:11:35.720 --> 01:11:39.720]   Go in this direction and you'll decrease the amount of error you've got.
[01:11:39.720 --> 01:11:46.720]   And you use that to find your way down the mountain, so to speak, of the parameters and find a minima.
[01:11:46.720 --> 01:11:49.720]   So that brings us to the MLP stage.
[01:11:49.720 --> 01:11:53.720]   It's steps 13, 14, and 15 in the model.
[01:11:53.720 --> 01:11:58.720]   So let's go back here.
[01:11:58.720 --> 01:12:02.720]   So you can see all the formulas here.
[01:12:02.720 --> 01:12:06.720]   What I'm going to do is I'm going to show you them in slide form.
[01:12:06.720 --> 01:12:11.720]   And I'm going to graphically show what's happening in the GPT-2 MLP stage.
[01:12:11.720 --> 01:12:15.720]   So GPT-2's MLP has only one hidden layer.
[01:12:15.720 --> 01:12:20.720]   The input layer right here has 768 of these X inputs.
[01:12:20.720 --> 01:12:21.720]   Why?
[01:12:21.720 --> 01:12:23.720]   Because we're going to give it an embedding.
[01:12:23.720 --> 01:12:25.720]   We're going to say, here's the embedding predicted.
[01:12:25.720 --> 01:12:31.720]   So I'm going to give it 768 numbers of the preceding token that I want it to predict afterwards.
[01:12:31.720 --> 01:12:36.720]   And then its output layer is 768 numbers for the predicted embedding token.
[01:12:36.720 --> 01:12:37.720]   So input and output are 768.
[01:12:37.720 --> 01:12:39.720]   They are our embedding dimension.
[01:12:39.720 --> 01:12:42.720]   And then it's got one hidden layer, which is bigger.
[01:12:42.720 --> 01:12:47.720]   This ratio of four times the embedding dimension turns out to be empirically useful and lots of models do it.
[01:12:47.720 --> 01:12:51.720]   But I don't know if you could figure that out just from first principles.
[01:12:51.720 --> 01:12:53.720]   It's kind of empirically been determined.
[01:12:53.720 --> 01:12:58.720]   And we have three steps here for applying our weights and bias.
[01:12:58.720 --> 01:13:02.720]   Applying our activation function, which in this case is the gelu activation function.
[01:13:02.720 --> 01:13:05.720]   And then we project that back down to our embedding dimension.
[01:13:05.720 --> 01:13:07.720]   So you can think of it this way.
[01:13:07.720 --> 01:13:10.720]   We take our embeddings from a previous step.
[01:13:10.720 --> 01:13:13.720]   And then what we're doing is we're taking those embedding values.
[01:13:13.720 --> 01:13:18.720]   And we're going to send each embedding value into its position inside the MLP.
[01:13:18.720 --> 01:13:21.720]   And then we run it through the model.
[01:13:21.720 --> 01:13:28.720]   And then these are now the embedding values that come out are the embedding values of the predicted token.
[01:13:28.720 --> 01:13:33.720]   And then we take the next token in our prompt and then run it through the MLP again.
[01:13:33.720 --> 01:13:38.720]   In practice, you do this in parallel, but conceptually you can think of it this way as happening one after the other.
[01:13:38.720 --> 01:13:45.720]   Okay, so what's happening in these three steps is really just a combination of matrix, add, and multiply.
[01:13:45.720 --> 01:13:50.720]   So we take the result of our previous step, which is step 12, which I have not gone into.
[01:13:50.720 --> 01:13:55.720]   And then we have some learned weight matrix, which you see is MLP FC weights.
[01:13:55.720 --> 01:13:57.720]   That's how they decided to name it.
[01:13:57.720 --> 01:13:59.720]   And we multiply those.
[01:13:59.720 --> 01:14:01.720]   So here's our matrix multiply.
[01:14:01.720 --> 01:14:04.720]   And then we add it to another bias matrix.
[01:14:04.720 --> 01:14:12.720]   So written as matrix multiplication, step 13 is just step 12 times some weight matrix plus some learned bias matrix.
[01:14:12.720 --> 01:14:17.720]   Then we apply a GELU activation function, which I showed the diagram earlier.
[01:14:17.720 --> 01:14:19.720]   The details are not really important.
[01:14:19.720 --> 01:14:25.720]   And then we then do our projection, which is the remaining step to get down to the 768.
[01:14:25.720 --> 01:14:29.720]   So we take the result of the previous step, which was the activation function.
[01:14:29.720 --> 01:14:34.720]   We apply a different learned weight matrix, a new set of weights that gets learned.
[01:14:34.720 --> 01:14:37.720]   And that's due with a matrix multiply and then another matrix add.
[01:14:37.720 --> 01:14:48.720]   So step 15 is just step 14 times some weight matrix plus some projection matrix.
[01:14:48.720 --> 01:14:55.720]   Before we leave backpropagation, you might remember that I talked about how embeddings are learned by the model.
[01:14:55.720 --> 01:14:59.720]   Both the token and in the case of GPT-2, they started learning the position embeddings.
[01:14:59.720 --> 01:15:04.720]   So the key thing I want you to remember is that backpropagation is a generic optimization algorithm.
[01:15:04.720 --> 01:15:07.720]   It is not just for the weights and biases of the MLP.
[01:15:07.720 --> 01:15:10.720]   It can be used for other parts of the transformer too.
[01:15:10.720 --> 01:15:11.720]   And in fact, it is.
[01:15:11.720 --> 01:15:12.720]   It's used for the token embeddings.
[01:15:12.720 --> 01:15:14.720]   It's used for position embeddings.
[01:15:14.720 --> 01:15:17.720]   It's used for all the parameters and attention, the queries, keys, and values.
[01:15:17.720 --> 01:15:20.720]   If you've heard that term, all use backpropagation.
[01:15:20.720 --> 01:15:25.720]   Even other parts, layer normalization and the like, use backpropagation to get optimized.
[01:15:25.720 --> 01:15:30.720]   And the analogy I want you to think about is backpropagation and optimizing a model this
[01:15:30.720 --> 01:15:33.720]   way is like a chef imitating a dish.
[01:15:33.720 --> 01:15:38.720]   If you remember those cooking shows, they tell the chef, here are your ingredients.
[01:15:38.720 --> 01:15:39.720]   Here's the final dish.
[01:15:39.720 --> 01:15:40.720]   And you've got to taste it.
[01:15:40.720 --> 01:15:42.720]   And maybe we give you some tools that you've got to use.
[01:15:42.720 --> 01:15:43.720]   And you've got to make this dish.
[01:15:43.720 --> 01:15:46.720]   And then they have them compete against somebody else.
[01:15:46.720 --> 01:15:48.720]   We kind of do the same thing with the model.
[01:15:48.720 --> 01:15:50.720]   We basically give it some input text.
[01:15:50.720 --> 01:15:52.720]   We tell it, here's the next token afterwards.
[01:15:52.720 --> 01:15:53.720]   We want you to imitate it.
[01:15:53.720 --> 01:15:56.720]   And then we define the steps in the architecture.
[01:15:56.720 --> 01:15:58.720]   We want you to do attention, then MP.
[01:15:58.720 --> 01:16:00.720]   And then you, the chef, backpropagation.
[01:16:00.720 --> 01:16:05.720]   Decide how much to mix of each ingredient at each step to get the desired output.
[01:16:05.720 --> 01:16:06.720]   Okay.
[01:16:06.720 --> 01:16:07.720]   Iteration.
[01:16:07.720 --> 01:16:08.720]   How are we doing on time?
[01:16:08.720 --> 01:16:09.720]   Okay.
[01:16:09.720 --> 01:16:10.720]   Good.
[01:16:10.720 --> 01:16:14.720]   So, I've got this in our simplified diagram, which is 12x.
[01:16:14.720 --> 01:16:19.720]   Which represents that what happens is we run attention and we run the perceptron.
[01:16:19.720 --> 01:16:25.720]   But we ask the model to continue to refine iteratively its prediction for what the next model is.
[01:16:25.720 --> 01:16:28.720]   It has all the tokens talk to each other.
[01:16:28.720 --> 01:16:29.720]   It makes the next token prediction.
[01:16:29.720 --> 01:16:31.720]   And then it does it again and again and again.
[01:16:31.720 --> 01:16:34.720]   So, it goes through each of these steps.
[01:16:34.720 --> 01:16:37.720]   In the case of GPT2 small, it's 12 times.
[01:16:37.720 --> 01:16:41.720]   In the case of your modern state-of-the-art model, it's going to be many more times than
[01:16:41.720 --> 01:16:42.720]   that.
[01:16:42.720 --> 01:16:47.720]   The key thing I want you to remember though is that each block is performing identical operations,
[01:16:47.720 --> 01:16:49.720]   but the weights are different.
[01:16:49.720 --> 01:16:51.720]   Each one has different parameters.
[01:16:51.720 --> 01:16:54.720]   And you can see this if you look at the code here.
[01:16:54.720 --> 01:16:58.720]   You see, for example, here we're grabbing the weights of, in this case, the MLP.
[01:16:58.720 --> 01:17:01.720]   And you see that it's got MLP_C.
[01:17:01.720 --> 01:17:02.720]   This is just the name for that stage.
[01:17:02.720 --> 01:17:05.720]   But the key thing I want you to pay attention to is this H11.
[01:17:05.720 --> 01:17:08.720]   That basically is saying hidden block or hidden layer.
[01:17:08.720 --> 01:17:12.720]   This is grabbing the hidden layer MLP.
[01:17:12.720 --> 01:17:13.720]   Sorry.
[01:17:13.720 --> 01:17:17.720]   The MLP's weight matrix for the 11th layer.
[01:17:17.720 --> 01:17:21.720]   If we were doing it for the first block, it would say H0.
[01:17:21.720 --> 01:17:26.720]   So, inside the implementation of this code, we go to the iteration step.
[01:17:26.720 --> 01:17:32.720]   All this kind of messy code is doing is it's grabbing the DOM objects for the blocks.
[01:17:32.720 --> 01:17:34.720]   And then it's going into each of the formulas.
[01:17:34.720 --> 01:17:36.720]   And it's doing a string replace.
[01:17:36.720 --> 01:17:40.720]   And it's just changing that H value to each one for every iteration.
[01:17:40.720 --> 01:17:45.720]   And then reruns the entire set again, just to simulate what would actually be happening in a model.
[01:17:45.720 --> 01:17:46.720]   OK.
[01:17:46.720 --> 01:17:49.720]   Last step is the language head.
[01:17:49.720 --> 01:17:56.720]   So, this is when we finally get to take our predicted token embedding and turn it back into a token.
[01:17:56.720 --> 01:18:01.720]   So, what we do is we take the last MLP's of the last block.
[01:18:01.720 --> 01:18:10.720]   So, this one here, we got our most refined prediction for what the token embedding is.
[01:18:10.720 --> 01:18:13.720]   And then we're going to turn that into a token.
[01:18:13.720 --> 01:18:17.720]   So, it's going to go through an operation called layer norm, which we haven't gone through in detail.
[01:18:17.720 --> 01:18:21.720]   But what we get out of this step is the embedding of the predicted next token.
[01:18:21.720 --> 01:18:23.720]   This is what it's saying the next token is going to be.
[01:18:23.720 --> 01:18:25.720]   But it's represented as 768 numbers.
[01:18:25.720 --> 01:18:27.720]   It's not represented as a token.
[01:18:27.720 --> 01:18:28.720]   So, if you translate it back.
[01:18:28.720 --> 01:18:31.720]   So, the way we're going to do this is we're going to go back to that matrix we had.
[01:18:31.720 --> 01:18:32.720]   Right?
[01:18:32.720 --> 01:18:35.720]   Our dictionary of tokens to embeddings, model_wte.
[01:18:35.720 --> 01:18:41.720]   And we're going to take that and we're going to multiply it times our predicted next token.
[01:18:41.720 --> 01:18:43.720]   And we get this matrix here.
[01:18:43.720 --> 01:18:47.720]   So, one thing to remember, it's very helpful to somebody to think about the dimensions of these things.
[01:18:47.720 --> 01:18:52.720]   So, our token embeddings was 50,257 tall.
[01:18:52.720 --> 01:18:55.720]   It represents a row for every one of our vocabulary.
[01:18:55.720 --> 01:19:01.720]   And then it's 768 dimensions wide for the embeddings for each dimension, embeddings for each token.
[01:19:01.720 --> 01:19:07.720]   And when we multiply it times this column, which is 768 dimensions representing embedding,
[01:19:07.720 --> 01:19:14.720]   what we're basically doing is we're getting this, which is a column of 50,257, but only one wide.
[01:19:14.720 --> 01:19:20.720]   Each one of those, right, is a dot product of the predicted embedding against one of the known token embeddings.
[01:19:20.720 --> 01:19:29.720]   What we have is 50,000 scores for how similar the embedding we got is to each of the embeddings in our dictionary of tokens.
[01:19:29.720 --> 01:19:32.720]   So, you can think of these as they're called logits or logits.
[01:19:32.720 --> 01:19:34.720]   They are really token scores.
[01:19:34.720 --> 01:19:39.720]   How close is the embedding we got to our dictionary of tokens that we have?
[01:19:39.720 --> 01:19:44.720]   And so, the more similar a prediction in a token, the higher that entry.
[01:19:44.720 --> 01:19:49.720]   To turn this into a probability distribution, we have a problem because these are just numbers.
[01:19:49.720 --> 01:19:52.720]   A probability distribution has to sum up to one.
[01:19:52.720 --> 01:19:59.720]   So, then we put it through a special normalization operation called a softmax, and that will make sure they all sum to one.
[01:19:59.720 --> 01:20:02.720]   And then we can interpret this as entirely a probability distribution.
[01:20:02.720 --> 01:20:11.720]   Each one of those normalized token scores will then basically represent the probability of that token in the representation.
[01:20:11.720 --> 01:20:16.720]   So, you can see that here.
[01:20:16.720 --> 01:20:19.720]   So, here are our logits, right here.
[01:20:19.720 --> 01:20:31.720]   And so, the logit, you know, for this negative 135.9 represents a score of some kind of the similarity of the very first token in our dictionary
[01:20:31.720 --> 01:20:34.720]   against whatever this predicted embedding was.
[01:20:34.720 --> 01:20:41.720]   And then, the code for predicted token is not actually doing what's doing a probability distribution.
[01:20:41.720 --> 01:20:44.720]   It's doing what is called greedy sampling.
[01:20:44.720 --> 01:20:45.720]   It's temperature zero.
[01:20:45.720 --> 01:20:48.720]   It always picks the highest probability token.
[01:20:48.720 --> 01:20:55.720]   And that is done so that when you're using this, you can compare it against the same GPT-2 you'd get from OpenAI's code,
[01:20:55.720 --> 01:20:57.720]   or from Hugging Face Transformers.
[01:20:57.720 --> 01:21:00.720]   You can compare like for like, and you'll get the same result.
[01:21:00.720 --> 01:21:05.720]   In fact, if you-- do I still have this up?
[01:21:05.720 --> 01:21:06.720]   Yeah, right here.
[01:21:06.720 --> 01:21:09.720]   If I do, Mike is quick.
[01:21:09.720 --> 01:21:11.720]   He moves.
[01:21:11.720 --> 01:21:14.720]   So, this is using Hugging Face Transformers.
[01:21:14.720 --> 01:21:18.720]   We might have an issue if we've got network being slow.
[01:21:18.720 --> 01:21:19.720]   Let's see.
[01:21:19.720 --> 01:21:20.720]   So, we've entered the prompt.
[01:21:20.720 --> 01:21:22.720]   Yeah, the network's being a little slow.
[01:21:22.720 --> 01:21:23.720]   We'll come back to this guy.
[01:21:23.720 --> 01:21:25.720]   It will give us the same value of quickly.
[01:21:25.720 --> 01:21:30.720]   Now, there are other ways to sample than just simply taking a-- running a random number generator
[01:21:30.720 --> 01:21:32.720]   and using the probability distribution.
[01:21:32.720 --> 01:21:37.720]   One of those is called top K, which is you say, I don't want the really unlikely words.
[01:21:37.720 --> 01:21:38.720]   Right?
[01:21:38.720 --> 01:21:39.720]   If it's Mike is quick, he moves.
[01:21:39.720 --> 01:21:41.720]   I don't want to accidentally end up with haircut.
[01:21:41.720 --> 01:21:43.720]   You know, even if it's 1% of the time.
[01:21:43.720 --> 01:21:48.720]   So, what you do is you define a cutoff and you say, okay, the top 10 tokens, give me those.
[01:21:48.720 --> 01:21:50.720]   And then you renormalize the probability.
[01:21:50.720 --> 01:21:55.720]   Another way is called nucleus or top P sampling, which is instead of saying, give me just 10
[01:21:55.720 --> 01:22:01.720]   tokens, just give me as many tokens as it takes to get 80% or 90% total probability.
[01:22:01.720 --> 01:22:07.720]   So, I get most of the likely tokens and then I renormalize to those 90%.
[01:22:07.720 --> 01:22:08.720]   Okay.
[01:22:08.720 --> 01:22:10.720]   Let's see how we're doing on time.
[01:22:10.720 --> 01:22:11.720]   Okay.
[01:22:11.720 --> 01:22:12.720]   Great.
[01:22:12.720 --> 01:22:14.720]   So, lastly, actually, did this come back?
[01:22:14.720 --> 01:22:15.720]   Yes.
[01:22:15.720 --> 01:22:16.720]   Came back.
