
[00:00:00.000 --> 00:00:01.240]   we are becoming cyborgs.
[01:02:26.380 --> 01:02:30.740]   - Yeah, we talked about music for like two minutes.
[01:02:30.740 --> 01:02:31.580]   All right.
[01:02:31.580 --> 01:02:33.540]   - No, I'm just over music, I'm over music.
[01:02:34.700 --> 01:02:36.100]   - I still like it, it has its purpose.
[01:02:36.100 --> 01:02:36.940]   - No, I love music.
[01:02:36.940 --> 01:02:38.060]   I mean, music's the greatest thing ever.
[01:02:38.060 --> 01:02:40.540]   It's my favorite thing, but I just like,
[01:02:40.540 --> 01:02:43.620]   every interview is like, what is your process?
[01:02:43.620 --> 01:02:44.740]   Like, I don't know, I'm just done.
[01:02:44.740 --> 01:02:45.580]   I can't do any-
[01:02:45.580 --> 01:02:46.820]   - I do wanna ask about "Ableton Live."
[01:02:46.820 --> 01:02:48.020]   - Well, I'll tell you about "Ableton"
[01:02:48.020 --> 01:02:48.860]   'cause "Ableton" is sick,
[01:02:48.860 --> 01:02:51.700]   but no one ever asks about "Ableton" though.
[01:02:51.700 --> 01:02:53.940]   - Yeah, well, 'cause I just need tech support, maybe.
[01:02:53.940 --> 01:02:56.620]   - I can help you with your "Ableton" tech.
[01:02:56.620 --> 01:02:58.940]   - Anyway, from "Ableton" back to consciousness,
[01:02:58.940 --> 01:03:00.620]   what do you, do you think this is a thing
[01:03:00.620 --> 01:03:03.300]   that only humans are capable of?
[01:03:03.300 --> 01:03:05.340]   Can robots be conscious?
[01:03:05.340 --> 01:03:08.220]   Can, like, when you think about entities,
[01:03:08.220 --> 01:03:10.180]   you think there's aliens out there that are conscious?
[01:03:10.180 --> 01:03:11.540]   Like, is conscious, what is consciousness?
[01:03:11.540 --> 01:03:13.300]   - There's this Terrence McKenna quote
[01:03:13.300 --> 01:03:15.900]   that I found that I fucking love.
[01:03:15.900 --> 01:03:17.500]   Am I allowed to swear on here?
[01:03:17.500 --> 01:03:18.340]   - Yes.
[01:03:18.340 --> 01:03:19.960]   - Nature loves courage.
[01:03:19.960 --> 01:03:22.380]   You make the commitment,
[01:03:22.380 --> 01:03:24.100]   and nature will respond to that commitment
[01:03:24.100 --> 01:03:26.540]   by removing impossible obstacles.
[01:03:26.540 --> 01:03:28.020]   Dream the impossible dream,
[01:03:28.020 --> 01:03:29.900]   and the world will not grind you under.
[01:03:29.900 --> 01:03:31.100]   It will lift you up.
[01:03:31.100 --> 01:03:32.340]   This is the trick.
[01:03:32.340 --> 01:03:35.140]   This is what all these teachers and philosophers
[01:03:35.140 --> 01:03:38.380]   who really counted, who really touched the alchemical gold,
[01:03:38.380 --> 01:03:40.060]   this is what they understood.
[01:03:40.060 --> 01:03:42.820]   This is the shamanic dance in the waterfall.
[01:03:42.820 --> 01:03:44.700]   This is how magic is done,
[01:03:44.700 --> 01:03:46.380]   by hurling yourself into the abyss
[01:03:46.380 --> 01:03:48.580]   and discovering it's a feather bed.
[01:03:48.580 --> 01:03:49.900]   - Yeah.
[01:03:49.900 --> 01:03:51.380]   - And for this reason,
[01:03:51.380 --> 01:03:55.380]   I do think there are no technological limits.
[01:03:55.380 --> 01:03:58.660]   I think, like, what is already happening here,
[01:03:58.660 --> 01:03:59.860]   this is, like, impossible.
[01:03:59.860 --> 01:04:01.020]   This is insane.
[01:04:01.020 --> 01:04:03.300]   And we've done this in a very limited amount of time.
[01:04:03.300 --> 01:04:05.860]   And we're accelerating the rate at which we're doing this.
[01:04:05.860 --> 01:04:10.180]   So I think digital consciousness, it's inevitable.
[01:04:10.180 --> 01:04:13.260]   - And we may not be able to even understand what that means,
[01:04:13.260 --> 01:04:15.800]   but I like hurling yourself into the abyss.
[01:04:15.800 --> 01:04:17.460]   So we're surrounded by all this mystery,
[01:04:17.460 --> 01:04:19.780]   and we just keep hurling ourselves into it,
[01:04:19.780 --> 01:04:22.980]   like, fearlessly, and keep discovering cool shit.
[01:04:22.980 --> 01:04:23.900]   - Yeah.
[01:04:23.900 --> 01:04:26.840]   Like, I just think it's like,
[01:04:29.980 --> 01:04:32.980]   the, like, who even knows if the laws of physics,
[01:04:32.980 --> 01:04:35.580]   the laws of physics are probably just the current,
[01:04:35.580 --> 01:04:36.420]   like, as I was saying,
[01:04:36.420 --> 01:04:37.900]   speed of light is the current render rate.
[01:04:37.900 --> 01:04:40.200]   It's like, if we're in a simulation,
[01:04:40.200 --> 01:04:41.220]   they'll be able to upgrade that.
[01:04:41.220 --> 01:04:45.660]   Like, I sort of suspect when we made the James Webb telescope,
[01:04:45.660 --> 01:04:46.780]   like, part of the reason we made that
[01:04:46.780 --> 01:04:50.180]   is 'cause we had an upgrade, you know?
[01:04:50.180 --> 01:04:53.640]   And so now more of space has been rendered,
[01:04:53.640 --> 01:04:55.380]   so we can see more of it now.
[01:04:55.380 --> 01:04:58.860]   - Yeah, but I think humans are super, super,
[01:04:58.860 --> 01:05:01.460]   super limited cognitively, so I wonder,
[01:05:01.460 --> 01:05:04.740]   I wonder if we'll be allowed to create
[01:05:04.740 --> 01:05:08.100]   more intelligent beings that can see more of the universe
[01:05:08.100 --> 01:05:11.140]   as their render rate is upgraded.
[01:05:11.140 --> 01:05:12.620]   - Maybe we're cognitively limited.
[01:05:12.620 --> 01:05:15.300]   Everyone keeps talking about how we're cognitively limited,
[01:05:15.300 --> 01:05:17.820]   and AI is gonna render us obsolete, but it's like,
[01:05:17.820 --> 01:05:23.340]   you know, like, this is not the same thing as, like,
[01:05:23.340 --> 01:05:25.980]   an amoeba becoming an alligator.
[01:05:25.980 --> 01:05:28.260]   Like, it's like, if we create AI,
[01:05:28.260 --> 01:05:29.780]   again, that's intelligent design.
[01:05:29.780 --> 01:05:33.120]   That's literally, all religions are based on gods
[01:05:33.120 --> 01:05:34.420]   that create consciousness.
[01:05:34.420 --> 01:05:35.660]   Like, we are god-making.
[01:05:35.660 --> 01:05:37.820]   Like, what we are doing is incredibly profound,
[01:05:37.820 --> 01:05:41.580]   and like, even if we can't compute,
[01:05:41.580 --> 01:05:44.700]   even if we're so much worse than them,
[01:05:44.700 --> 01:05:49.700]   like, just like, unfathomably worse than, like, you know,
[01:05:49.700 --> 01:05:53.760]   an omnipotent kind of AI, it's like, we,
[01:05:53.760 --> 01:05:55.260]   I do not think that they would just think
[01:05:55.260 --> 01:05:56.380]   that we are stupid.
[01:05:56.380 --> 01:05:58.380]   I think that they would recognize the profundity
[01:05:58.380 --> 01:05:59.700]   of what we have accomplished.
[01:05:59.700 --> 01:06:02.660]   - Are we the gods, or are they the gods in our--
[01:06:02.660 --> 01:06:05.420]   - I mean, we're kind of the gods.
[01:06:05.420 --> 01:06:07.500]   - It's complicated. - It's complicated.
[01:06:07.500 --> 01:06:08.420]   Like, we're-- - But they would
[01:06:08.420 --> 01:06:13.060]   acknowledge the value, well, I hope they acknowledge
[01:06:13.060 --> 01:06:16.140]   the value of paying respect to the creative ancestors.
[01:06:16.140 --> 01:06:17.940]   - I think they would think it's cool,
[01:06:17.940 --> 01:06:22.940]   and I think if curiosity is a trait
[01:06:23.940 --> 01:06:28.940]   that we can quantify and put into AI,
[01:06:28.940 --> 01:06:31.780]   then I think if AI are curious,
[01:06:31.780 --> 01:06:33.620]   then they will be curious about us,
[01:06:33.620 --> 01:06:37.660]   and they will not be hateful or dismissive of us.
[01:06:37.660 --> 01:06:41.060]   They might, you know, see us as, I don't know,
[01:06:41.060 --> 01:06:43.580]   it's like, I'm not like, oh, fuck these dogs,
[01:06:43.580 --> 01:06:45.140]   let's just kill all the dogs.
[01:06:45.140 --> 01:06:46.300]   Like, I love dogs.
[01:06:46.300 --> 01:06:47.660]   Dogs have great utility.
[01:06:47.660 --> 01:06:49.100]   Dogs, like, provide a lot of--
[01:06:49.100 --> 01:06:50.060]   - We make friends with them.
[01:06:50.060 --> 01:06:51.820]   - Yeah. - We have a deep connection
[01:06:51.820 --> 01:06:52.660]   with them.
[01:06:53.540 --> 01:06:55.420]   We anthropomorphize them.
[01:06:55.420 --> 01:06:58.900]   Like, we have a real love for dogs, for cats, and so on,
[01:06:58.900 --> 01:07:00.700]   for some reason, even though they're intellectually
[01:07:00.700 --> 01:07:01.540]   much less than us.
[01:07:01.540 --> 01:07:04.060]   - And I think there is something sacred about us,
[01:07:04.060 --> 01:07:05.740]   because it's like, if you look at the universe,
[01:07:05.740 --> 01:07:08.020]   like, the whole universe is like,
[01:07:08.020 --> 01:07:10.060]   cold and dead and sort of robotic,
[01:07:10.060 --> 01:07:14.800]   and it's like, you know, AI intelligence,
[01:07:14.800 --> 01:07:19.060]   you know, it's kind of more like the universe.
[01:07:19.060 --> 01:07:24.060]   It's like, cold and, you know, logical,
[01:07:24.060 --> 01:07:28.840]   and, you know, abiding by the laws of physics and whatever,
[01:07:28.840 --> 01:07:32.020]   but like, we're this like, loosey-goosey,
[01:07:32.020 --> 01:07:33.620]   weird art thing that happened,
[01:07:33.620 --> 01:07:34.980]   and I think it's beautiful.
[01:07:34.980 --> 01:07:38.960]   And like, I think even if we, I think one of the values,
[01:07:38.960 --> 01:07:45.340]   if consciousness is the thing that is most worth preserving,
[01:07:45.340 --> 01:07:48.100]   which I think is the case,
[01:07:48.100 --> 01:07:50.140]   I think consciousness, I think if there's any kind
[01:07:50.140 --> 01:07:52.040]   of like, religious or spiritual thing,
[01:07:52.040 --> 01:07:55.880]   it should be that consciousness is sacred.
[01:07:55.880 --> 01:08:01.620]   Like, then, you know, I still think even if AI
[01:08:01.620 --> 01:08:05.860]   render us obsolete, and we, climate change, it's too bad,
[01:08:05.860 --> 01:08:06.900]   and we get hit by a comet,
[01:08:06.900 --> 01:08:09.540]   and we don't become a multi-planetary species fast enough,
[01:08:09.540 --> 01:08:12.320]   but like, AI is able to populate the universe.
[01:08:12.320 --> 01:08:14.300]   Like, I imagine, like, if I was an AI,
[01:08:14.300 --> 01:08:17.900]   I would find more planets that are capable
[01:08:17.900 --> 01:08:20.660]   of hosting biological life forms, and like, recreate them.
[01:08:20.660 --> 01:08:21.820]   - 'Cause we're fun to watch?
[01:08:21.820 --> 01:08:23.340]   - Yeah, we're fun to watch.
[01:08:23.340 --> 01:08:25.820]   - Yeah, but I do believe that AI can have some
[01:08:25.820 --> 01:08:29.940]   of the same magic of consciousness within it.
[01:08:29.940 --> 01:08:31.420]   'Cause consciousness, we don't know what it is,
[01:08:31.420 --> 01:08:33.060]   so, you know, there's some kind of--
[01:08:33.060 --> 01:08:34.140]   - Or it might be a different magic.
[01:08:34.140 --> 01:08:36.700]   It might be like a strange, a strange, a strange,
[01:08:36.700 --> 01:08:38.220]   different-- - Right.
[01:08:38.220 --> 01:08:39.340]   - 'Cause they're not gonna have hormones.
[01:08:39.340 --> 01:08:42.660]   Like, I feel like a lot of our magic is hormonal, kind of.
[01:08:42.660 --> 01:08:44.500]   - I don't know, I think some of our magic
[01:08:44.500 --> 01:08:46.500]   is the limitations, the constraints.
[01:08:46.500 --> 01:08:48.780]   And within that, the hormones and all that kind of stuff,
[01:08:48.780 --> 01:08:51.020]   the finiteness of life, and then we get,
[01:08:51.020 --> 01:08:53.540]   given our limitations, we get to some,
[01:08:53.540 --> 01:08:54.740]   come up with creative solutions
[01:08:54.740 --> 01:08:56.780]   of how to dance around those limitations.
[01:08:56.780 --> 01:08:59.420]   We partner up like penguins against the cold.
[01:08:59.420 --> 01:09:03.340]   We fall in love, and then love is ultimately
[01:09:03.340 --> 01:09:06.040]   some kind of, allows us to delude ourselves
[01:09:06.040 --> 01:09:08.500]   that we're not mortal and finite,
[01:09:08.500 --> 01:09:11.640]   and that life is not ultimately, you live alone,
[01:09:11.640 --> 01:09:13.780]   you're born alone, you die alone.
[01:09:13.780 --> 01:09:15.540]   And then love is like for a moment
[01:09:15.540 --> 01:09:17.660]   or for a long time, forgetting that.
[01:09:17.660 --> 01:09:20.340]   And so we come up with all these creative hacks
[01:09:20.340 --> 01:09:25.340]   that make life like fascinatingly fun.
[01:09:25.340 --> 01:09:27.740]   - Yeah, yeah, yeah, fun, yeah.
[01:09:27.740 --> 01:09:30.260]   - And then AI might have different kinds of fun.
[01:09:30.260 --> 01:09:31.300]   - Yes.
[01:09:31.300 --> 01:09:33.060]   - And hopefully our funds intersect
[01:09:33.060 --> 01:09:35.900]   every once in a while. - I think there would be,
[01:09:35.900 --> 01:09:37.580]   there'd be a little intersection,
[01:09:37.580 --> 01:09:39.280]   there'd be a little intersection of the fun.
[01:09:39.280 --> 01:09:40.460]   - Yeah. - Yeah.
[01:09:40.460 --> 01:09:42.860]   - What do you think is the role of love
[01:09:42.860 --> 01:09:44.280]   in the human condition?
[01:09:44.280 --> 01:09:47.620]   - I think-- - Why, is it useful?
[01:09:47.620 --> 01:09:51.540]   Is it useful like a hack, or is this like fundamental
[01:09:51.540 --> 01:09:54.940]   to what it means to be human, the capacity to love?
[01:09:54.940 --> 01:09:58.100]   - I mean, I think love is the evolutionary mechanism
[01:09:58.100 --> 01:10:00.580]   that is like beginning the intelligent design.
[01:10:00.580 --> 01:10:02.900]   Like I was just reading about,
[01:10:02.900 --> 01:10:06.220]   do you know about Kropotkin?
[01:10:06.220 --> 01:10:08.940]   He's like an anarchist, like old Russian anarchist.
[01:10:08.940 --> 01:10:11.540]   - I live next door to Michael Malice,
[01:10:11.540 --> 01:10:12.380]   I don't know if you know who that is.
[01:10:12.380 --> 01:10:14.540]   He's an anarchist, he's a modern day anarchist.
[01:10:14.540 --> 01:10:15.780]   - Okay. - Anarchists are fun.
[01:10:15.780 --> 01:10:17.940]   - I'm kind of getting into anarchism a little bit.
[01:10:17.940 --> 01:10:22.380]   This is probably, yeah, not a good route to be taking, but.
[01:10:22.380 --> 01:10:24.580]   - Oh no, I think if you're, listen,
[01:10:24.580 --> 01:10:26.140]   you should expose yourself to ideas.
[01:10:26.140 --> 01:10:28.500]   There's no harm to thinking about ideas.
[01:10:28.500 --> 01:10:32.460]   I think anarchists challenge systems in interesting ways,
[01:10:32.460 --> 01:10:34.180]   and they think in interesting ways.
[01:10:34.180 --> 01:10:35.300]   It's just, it's good for the soul.
[01:10:35.300 --> 01:10:37.300]   It's like, refreshes your mental palate.
[01:10:37.300 --> 01:10:38.940]   - I don't think we should actually,
[01:10:38.940 --> 01:10:40.620]   I wouldn't actually ascribe to it,
[01:10:40.620 --> 01:10:42.900]   but I've never actually gone deep on anarchy
[01:10:42.900 --> 01:10:43.740]   as a philosophy, so I'm doing--
[01:10:43.740 --> 01:10:45.540]   - You should still think about it, though.
[01:10:45.540 --> 01:10:47.460]   - When you listen, 'cause I'm reading
[01:10:47.460 --> 01:10:48.460]   about the Russian Revolution a lot,
[01:10:48.460 --> 01:10:51.340]   and it's like, there was the Soviets and Lenin and all that,
[01:10:51.340 --> 01:10:53.820]   but then there was Kropotkin and his anarchist sect,
[01:10:53.820 --> 01:10:54.980]   and they were sort of interesting,
[01:10:54.980 --> 01:10:57.340]   'cause he was kind of a technocrat, actually.
[01:10:57.340 --> 01:11:01.380]   He was like, women can be more equal if we have appliances.
[01:11:01.380 --> 01:11:05.100]   He was really into using technology
[01:11:05.100 --> 01:11:07.900]   to reduce the amount of work people had to do.
[01:11:07.900 --> 01:11:11.860]   But so Kropotkin was a biologist or something.
[01:11:11.860 --> 01:11:15.860]   He studied animals, and he was really, at the time,
[01:11:15.860 --> 01:11:20.820]   I think it's Nature magazine.
[01:11:20.820 --> 01:11:22.860]   I think it might have even started as a Russian magazine,
[01:11:22.860 --> 01:11:24.020]   but he was publishing studies.
[01:11:24.020 --> 01:11:26.220]   Everyone was really into Darwinism at the time
[01:11:26.220 --> 01:11:27.260]   and Survival of the Fittest,
[01:11:27.260 --> 01:11:30.540]   and war is the mechanism by which we become better,
[01:11:30.540 --> 01:11:35.540]   and it was this real kind of cementing this idea in society
[01:11:36.700 --> 01:11:40.100]   that violence kill the weak,
[01:11:40.100 --> 01:11:41.540]   and that's how we become better.
[01:11:41.540 --> 01:11:43.260]   And then Kropotkin was kind of interesting,
[01:11:43.260 --> 01:11:45.780]   'cause he was looking at instances.
[01:11:45.780 --> 01:11:47.620]   He was finding all these instances in Nature
[01:11:47.620 --> 01:11:49.700]   where animals were helping each other and stuff,
[01:11:49.700 --> 01:11:53.940]   and he was like, actually, love is a survival mechanism.
[01:11:53.940 --> 01:11:58.820]   There's so many instances in the animal kingdom
[01:11:58.820 --> 01:12:03.340]   where cooperation and helping weaker creatures
[01:12:03.340 --> 01:12:06.300]   and all this stuff is actually an evolutionary mechanism.
[01:12:06.300 --> 01:12:08.380]   I mean, you even look at child rearing.
[01:12:08.380 --> 01:12:13.380]   Child rearing is immense amounts of just love and goodwill,
[01:12:13.380 --> 01:12:17.500]   and just there's no immediate...
[01:12:17.500 --> 01:12:25.060]   You're not getting any immediate feedback of winning.
[01:12:25.060 --> 01:12:26.420]   It's not competitive.
[01:12:26.420 --> 01:12:28.700]   It's literally, it's like we actually use love
[01:12:28.700 --> 01:12:31.180]   as an evolutionary mechanism just as much as we use war,
[01:12:31.180 --> 01:12:34.220]   and I think we've missing the other part,
[01:12:34.220 --> 01:12:35.540]   and we've reoriented.
[01:12:35.540 --> 01:12:37.700]   We've culturally reoriented.
[01:12:37.700 --> 01:12:42.060]   Science and philosophy has oriented itself
[01:12:42.060 --> 01:12:44.220]   around Darwinism a little bit too much,
[01:12:44.220 --> 01:12:49.020]   and the Kropotkin model, I think, is equally valid.
[01:12:49.020 --> 01:12:51.540]   It's like cooperation and love and stuff
[01:12:51.540 --> 01:12:59.180]   is just as essential for species survival and evolution.
[01:12:59.180 --> 01:13:01.660]   - It should be a more powerful survival mechanism
[01:13:01.660 --> 01:13:02.900]   in the context of evolution.
[01:13:02.900 --> 01:13:04.780]   - And it comes back to,
[01:13:04.780 --> 01:13:06.940]   we think engineering is so much more important
[01:13:06.940 --> 01:13:10.140]   than motherhood, but it's like if you lose the motherhood,
[01:13:10.140 --> 01:13:10.980]   the engineering means nothing.
[01:13:10.980 --> 01:13:12.100]   We have no more humans.
[01:13:12.100 --> 01:13:17.580]   I think our society should,
[01:13:17.580 --> 01:13:20.100]   the survival of the,
[01:13:20.100 --> 01:13:24.540]   the way we conceptualize evolution should really change
[01:13:24.540 --> 01:13:27.060]   to also include this idea, I guess.
[01:13:27.060 --> 01:13:32.060]   - Yeah, there is some weird thing that seems irrational
[01:13:32.420 --> 01:13:37.220]   that is also core to what it means to be human.
[01:13:37.220 --> 01:13:40.420]   So love is one such thing.
[01:13:40.420 --> 01:13:42.980]   It could make you do a lot of irrational things,
[01:13:42.980 --> 01:13:44.460]   but that depth of connection
[01:13:44.460 --> 01:13:47.300]   and that loyalty is a powerful thing.
[01:13:47.300 --> 01:13:49.260]   - Are they irrational or are they rational?
[01:13:49.260 --> 01:13:53.020]   Like it's like, is, you know,
[01:13:53.020 --> 01:13:58.020]   maybe losing out on some things
[01:13:58.020 --> 01:14:00.860]   in order to keep your family together
[01:14:00.860 --> 01:14:02.900]   or in order, like it's like,
[01:14:02.900 --> 01:14:06.220]   what are our actual values?
[01:14:06.220 --> 01:14:08.780]   - Well, right, I mean, the rational thing is
[01:14:08.780 --> 01:14:11.300]   if you have a cold economist perspective,
[01:14:11.300 --> 01:14:16.020]   you know, motherhood or sacrificing your career for love,
[01:14:16.020 --> 01:14:18.220]   you know, in terms of salary,
[01:14:18.220 --> 01:14:20.580]   in terms of economic well-being,
[01:14:20.580 --> 01:14:22.700]   in terms of flourishing of you as a human being,
[01:14:22.700 --> 01:14:25.860]   that could be seen on some kind of metrics
[01:14:25.860 --> 01:14:28.540]   as a irrational decision, a suboptimal decision,
[01:14:28.540 --> 01:14:33.540]   but there's the manifestation of love
[01:14:33.540 --> 01:14:36.740]   could be the optimal thing to do.
[01:14:36.740 --> 01:14:41.100]   There's a kind of saying, save one life, save the world.
[01:14:41.100 --> 01:14:44.060]   This is the thing that doctors often face, which is like--
[01:14:44.060 --> 01:14:45.100]   - Well, it's considered irrational
[01:14:45.100 --> 01:14:47.420]   because the profit model doesn't include social good.
[01:14:47.420 --> 01:14:48.540]   - Yes, yeah.
[01:14:48.540 --> 01:14:50.380]   - So if the profit model doesn't include social good,
[01:14:50.380 --> 01:14:52.060]   then suddenly these would be rational decisions.
[01:14:52.060 --> 01:14:54.380]   - And this might be difficult to, you know,
[01:14:54.380 --> 01:14:57.580]   it requires a shift in our thinking about profit
[01:14:57.580 --> 01:15:00.940]   and might be difficult to measure social good.
[01:15:00.940 --> 01:15:04.460]   - Yes, but we're learning to measure a lot of things.
[01:15:04.460 --> 01:15:05.300]   - Yeah, digitizing a lot of things.
[01:15:05.300 --> 01:15:06.660]   - Where we're actually, you know,
[01:15:06.660 --> 01:15:10.500]   quantifying vision and stuff,
[01:15:10.500 --> 01:15:14.540]   like where like, you know, like you go on Facebook
[01:15:14.540 --> 01:15:16.420]   and they can, like Facebook can pretty much
[01:15:16.420 --> 01:15:17.660]   predict our behaviors.
[01:15:17.660 --> 01:15:20.620]   Like we're, a surprising amount of things
[01:15:20.620 --> 01:15:25.620]   that seem like mysterious consciousness soul things
[01:15:25.860 --> 01:15:27.540]   have been quantified at this point,
[01:15:27.540 --> 01:15:29.660]   so surely we can quantify these other things.
[01:15:29.660 --> 01:15:32.940]   - Yeah, but as more and more of us
[01:15:32.940 --> 01:15:34.180]   are moving in the digital space,
[01:15:34.180 --> 01:15:35.780]   I wanted to ask you about something.
[01:15:35.780 --> 01:15:40.140]   From a fan perspective, I kind of, you know,
[01:15:40.140 --> 01:15:43.500]   you as a musician, you as an online personality,
[01:15:43.500 --> 01:15:45.420]   it seems like you have all these identities
[01:15:45.420 --> 01:15:46.580]   and you play with them.
[01:15:46.580 --> 01:15:51.060]   One of the cool things about the internet,
[01:15:51.060 --> 01:15:53.260]   it seems like you can play with identities.
[01:15:53.260 --> 01:15:56.020]   So as we move into the digital world more and more,
[01:15:56.020 --> 01:15:59.100]   maybe even in the so-called metaverse.
[01:15:59.100 --> 01:16:01.140]   - I mean, I love the metaverse and I love the idea,
[01:16:01.140 --> 01:16:05.060]   but like the way this has all played out
[01:16:05.060 --> 01:16:10.980]   didn't go well and people are mad about it.
[01:16:10.980 --> 01:16:12.420]   And I think we need to like--
[01:16:12.420 --> 01:16:13.420]   - I think that's temporary.
[01:16:13.420 --> 01:16:14.420]   - I think it's temporary.
[01:16:14.420 --> 01:16:16.740]   - Just like, you know how all the celebrities got together
[01:16:16.740 --> 01:16:19.020]   and sang the song "Imagine" by Jeff Lennon
[01:16:19.020 --> 01:16:20.900]   and everyone started hating the song "Imagine"?
[01:16:20.900 --> 01:16:22.020]   I'm hoping that's temporary
[01:16:22.020 --> 01:16:23.420]   'cause it's a damn good song.
[01:16:23.420 --> 01:16:24.380]   (laughs)
[01:16:24.380 --> 01:16:25.500]   So I think it's just temporary.
[01:16:25.500 --> 01:16:27.820]   Like once you actually have virtual worlds,
[01:16:27.820 --> 01:16:29.940]   whatever they're called, metaverse or otherwise,
[01:16:29.940 --> 01:16:31.420]   it becomes, I don't know.
[01:16:31.420 --> 01:16:33.660]   - Well, we do have virtual worlds, like video games.
[01:16:33.660 --> 01:16:35.300]   Elden Ring, have you played Elden Ring?
[01:16:35.300 --> 01:16:36.140]   You have played Elden Ring?
[01:16:36.140 --> 01:16:38.580]   - I'm really afraid of playing that game.
[01:16:38.580 --> 01:16:39.420]   - Literally, I'm azed.
[01:16:39.420 --> 01:16:40.740]   - It looks way too fun.
[01:16:40.740 --> 01:16:45.020]   It looks I would wanna go there and stay there forever.
[01:16:45.020 --> 01:16:47.020]   - It's, yeah, so fun.
[01:16:47.020 --> 01:16:48.980]   It's so nice.
[01:16:50.540 --> 01:16:52.180]   - Oh man, yeah.
[01:16:52.180 --> 01:16:55.180]   So that's the metaverse, that's the metaverse,
[01:16:55.180 --> 01:16:59.260]   but you're not really, how immersive is it?
[01:16:59.260 --> 01:17:00.620]   In the sense that,
[01:17:00.620 --> 01:17:03.940]   there's the three dimension,
[01:17:03.940 --> 01:17:06.060]   like virtual reality integration necessary.
[01:17:06.060 --> 01:17:08.780]   Can we really just close our eyes
[01:17:08.780 --> 01:17:12.180]   and kind of plug in in the 2D screen
[01:17:12.180 --> 01:17:15.780]   and become that other being for time
[01:17:15.780 --> 01:17:17.940]   and really enjoy that journey that we take?
[01:17:17.940 --> 01:17:19.660]   And we almost become that.
[01:17:19.660 --> 01:17:22.060]   You're no longer, see, I'm no longer Lex,
[01:17:22.060 --> 01:17:25.300]   you're that creature, whatever the hell it is in that game.
[01:17:25.300 --> 01:17:26.140]   Yeah, that is that.
[01:17:26.140 --> 01:17:29.180]   I mean, that's why I love those video games.
[01:17:29.180 --> 01:17:33.060]   I really do become those people for a time.
[01:17:33.060 --> 01:17:36.140]   But it seems like, well, the idea of the metaverse,
[01:17:36.140 --> 01:17:37.860]   the idea of the digital space,
[01:17:37.860 --> 01:17:39.460]   well, even on Twitter,
[01:17:39.460 --> 01:17:40.820]   you get a chance to be somebody
[01:17:40.820 --> 01:17:44.500]   for prolonged periods of time, like across a lifespan.
[01:17:44.500 --> 01:17:47.580]   You have a Twitter account for years, for decades,
[01:17:47.580 --> 01:17:48.420]   and you're that person.
[01:17:48.620 --> 01:17:49.700]   I don't know if that's a good thing.
[01:17:49.700 --> 01:17:52.700]   I feel very tormented by it.
[01:17:52.700 --> 01:17:54.340]   By Twitter specifically,
[01:17:54.340 --> 01:17:56.380]   by social media representation of you.
[01:17:56.380 --> 01:17:59.180]   I feel like the public perception of me
[01:17:59.180 --> 01:18:02.140]   has gotten so distorted
[01:18:02.140 --> 01:18:04.500]   that I find it kind of disturbing.
[01:18:04.500 --> 01:18:06.380]   It's one of the things that's disincentivizing me
[01:18:06.380 --> 01:18:07.980]   from wanting to keep making art,
[01:18:07.980 --> 01:18:09.100]   because I'm just like,
[01:18:09.100 --> 01:18:13.820]   I've completely lost control of the narrative.
[01:18:13.820 --> 01:18:16.900]   And the narrative is, some of it is my own stupidity,
[01:18:16.900 --> 01:18:19.340]   but some of it has just been hijacked
[01:18:19.340 --> 01:18:23.220]   by forces far beyond my control.
[01:18:23.220 --> 01:18:26.140]   I kind of got in over my head in things.
[01:18:26.140 --> 01:18:27.340]   I'm just a random Indian musician,
[01:18:27.340 --> 01:18:31.980]   but I just got dragged into geopolitical matters
[01:18:31.980 --> 01:18:35.140]   and financial, the stock market and shit.
[01:18:35.140 --> 01:18:37.780]   And so it's just, there are very powerful people
[01:18:37.780 --> 01:18:39.740]   who have, at various points in time,
[01:18:39.740 --> 01:18:43.780]   had very vested interest in making me seem insane,
[01:18:43.780 --> 01:18:45.700]   and I can't fucking fight that.
[01:18:45.700 --> 01:18:47.020]   And I just like,
[01:18:47.020 --> 01:18:50.820]   people really want their celebrity figures
[01:18:50.820 --> 01:18:53.860]   to be consistent and stay the same.
[01:18:53.860 --> 01:18:55.820]   And people have a lot of emotional investment
[01:18:55.820 --> 01:18:56.780]   in certain things.
[01:18:56.780 --> 01:19:02.460]   First of all, I'm artificially more famous
[01:19:02.460 --> 01:19:03.700]   than I should be.
[01:19:03.700 --> 01:19:06.620]   - Isn't everybody who's famous artificially famous?
[01:19:06.620 --> 01:19:11.340]   - No, but I should be a weird niche indie thing.
[01:19:11.340 --> 01:19:13.380]   And I make pretty challenging,
[01:19:13.780 --> 01:19:16.300]   I do challenging weird fucking shit a lot.
[01:19:16.300 --> 01:19:18.820]   And I accidentally, by proxy,
[01:19:18.820 --> 01:19:23.820]   got foisted into weird celebrity culture,
[01:19:23.820 --> 01:19:27.300]   but I cannot be media trained.
[01:19:27.300 --> 01:19:29.820]   They have put me through so many hours of media training.
[01:19:29.820 --> 01:19:32.540]   - I would love to see BF fly on that wall.
[01:19:32.540 --> 01:19:33.380]   - I can't do,
[01:19:33.380 --> 01:19:36.660]   and I try so hard and I learn this thing,
