
[00:00:00.000 --> 00:00:05.360]   With the biggest wealth transfer in history underway, how people think about money has never
[00:45:40.420 --> 00:45:46.820]   account at Merrill Lynch, and it can only be opened up by ink signature, paper application. Business brokerage
[00:45:46.820 --> 00:45:51.300]   accounts live in like the 1980s version of opening a brokerage account. And I was like,
[00:45:51.300 --> 00:45:56.100]   this, it took eight tries and three weeks to open the account. And I was like, oh my gosh,
[00:45:56.100 --> 00:45:58.740]   like if that's what it was like for consumers, it was hard.
[00:45:58.740 --> 00:46:03.700]   A lot of people see this behavior and they worry about the downsides. Like what happens when people
[00:46:03.700 --> 00:46:08.180]   go in to buy the dip and the stock market keeps going down and we get an actual financial crisis
[00:46:08.180 --> 00:46:13.380]   situation? Then what's going to happen? That'll be interesting. But I do think the fact that so many
[00:46:13.380 --> 00:46:17.300]   people are more comfortable with the risk these days probably does open us up to the fact of we
[00:46:17.300 --> 00:46:23.860]   could just have more mini booms and busts and people might just have to get comfortable with this much
[00:46:23.860 --> 00:46:28.820]   faster volatility hitting the markets on a regular basis. We talked a lot about these mindset shifts.
[00:46:28.820 --> 00:46:33.940]   You've written a lot about demographic changes and how much does that change the investment landscape
[00:46:33.940 --> 00:46:39.140]   going forward? We've never had a generation as large and as wealthy as the baby boomers that
[00:46:39.140 --> 00:46:42.020]   are going to live for as long as they do. So I think they're going to screw up a lot of
[00:46:42.020 --> 00:46:45.700]   historical relationships in the years ahead. I think that part of it is going to be
[00:46:45.700 --> 00:46:51.060]   going to be bizarre. But then they have the offsetting millennials, right, that are just as
[00:46:51.060 --> 00:46:57.220]   big as they are. We're getting into middle age these days, right? So that shift, I think,
[00:46:57.220 --> 00:47:02.900]   is interesting. I've just been having talked with people that I think the need for financial advice
[00:47:02.900 --> 00:47:07.860]   in the years ahead is going to be greater than anything we've ever seen. Because again, you have
[00:47:07.860 --> 00:47:12.180]   all these people who did the DIY thing and saved and invested and they did just fine on their own.
[00:47:12.180 --> 00:47:18.660]   And then they realize in retirement, okay, now I'm really on my own. I'm in the water with no life raft.
[00:47:18.660 --> 00:47:24.020]   I don't have any income coming in anymore. I'm just living on this portfolio. I have to think about taxes
[00:47:24.020 --> 00:47:28.900]   and withdrawal rates and what happens to my family in estate planning. And God forbid,
[00:47:28.900 --> 00:47:32.260]   something should happen to me. I'm the one who's been dealing with the finances.
[00:47:32.260 --> 00:47:35.300]   What happens to my spouse or my kids if something should happen to me? And so
[00:47:35.300 --> 00:47:39.540]   I think the need for financial advice is going to be greater than ever in the years ahead.
[00:47:39.540 --> 00:47:44.340]   And I also wonder how much of that burden is going to fall on financial advisors and how much
[00:47:44.340 --> 00:47:47.620]   AI is going to pick up the slack. A lot of the conversations we've been having lately is
[00:47:47.620 --> 00:47:53.060]   are people going to trust these LLMs to be their financial advisor in the years ahead?
[00:47:53.060 --> 00:47:58.020]   I was just talking with a business coach. Like is the future of coaching? Is the future of therapy?
[00:47:58.020 --> 00:48:04.580]   These roles where it's a person with a lot of knowledge that can talk to you. And you know,
[00:48:04.580 --> 00:48:08.660]   I always told people that when I was doing financial planning, like a big component of it
[00:48:08.660 --> 00:48:14.100]   is about the conversation. It's not always just, you know, the numbers and the advice.
[00:48:14.100 --> 00:48:19.620]   I don't know the answer to that question, but I think it will certainly be amazing for
[00:48:19.620 --> 00:48:25.620]   people who otherwise wouldn't have the assets to qualify for a human to spend time with them.
[00:48:25.620 --> 00:48:28.900]   Like they now have the ability to have conversations about their money.
[00:48:28.900 --> 00:48:33.060]   It's already starting, but it'll probably get so much better in a few years of like
[00:48:33.060 --> 00:48:37.700]   that knowledge also includes their portfolio, their savings rates, all those kinds of things.
[00:48:37.700 --> 00:48:42.340]   It's going to be an interesting time for advice across all aspects of our life.
[00:48:42.340 --> 00:48:47.380]   Yes. My thinking is, especially if it just becomes a commodity where everyone has access to it,
[00:48:47.380 --> 00:48:50.740]   I think wealthy people are still going to go, well, I'm not going to do the same thing that
[00:48:50.740 --> 00:48:53.940]   everyone else is doing. There's certain wealthy people will be able to build their own model and
[00:48:53.940 --> 00:48:59.140]   have their personal, you know, AI financial advisor. But I think most wealthy people are going to go,
[00:48:59.140 --> 00:49:02.420]   I'm not going to trust a robot. I still need a person there with their hands in a steering wheel.
[00:49:02.420 --> 00:49:06.740]   And again, like you said, someone with, with empathy and can, and I trust and I have faith in them.
[00:49:06.740 --> 00:49:11.460]   But for the people on the lower end of the spectrum, who maybe didn't meet wealth management
[00:49:11.460 --> 00:49:15.460]   minimums in these things, and maybe you've gone to robo advisors and that sort of thing in the past,
[00:49:15.460 --> 00:49:19.620]   or just target date funds. I do think that the advice for them is going to open up is going to be
[00:49:19.620 --> 00:49:24.260]   wonderful. And I think that it's just going to help that behavior even more. And like you said,
[00:49:24.260 --> 00:49:28.260]   if you can upload your whole financial life into there and say like, what am I missing here?
[00:49:28.260 --> 00:49:33.540]   Because I get that question a lot from people like, Hey, I started saving. I got it all automated.
[00:49:33.540 --> 00:49:38.020]   We're going to have a kid. Like, what's the next step? What should I be doing now? And I think if you
[00:49:38.020 --> 00:49:43.620]   have a, this LLM that can do that for you, I think it's going to be very helpful to a lot of people.
[00:49:43.620 --> 00:49:47.380]   Yeah. I mean, I've used it to walk through financial decisions and personal decisions now,
[00:49:47.380 --> 00:49:52.420]   even when it doesn't have all the data. But when you give it data, it's wild. We didn't talk at all
[00:49:52.420 --> 00:49:56.980]   about investment advice. At least my traditional strategy has always been low cost, passive,
[00:49:56.980 --> 00:50:02.580]   diversified index funds for actually the portfolio construction. Do you think that kind of advice
[00:50:02.580 --> 00:50:08.260]   changes? Or is that still where you think most people probably should be investing?
[00:50:08.260 --> 00:50:15.060]   It's funny. When I first started blogging, this is back in 2013, I think. There was still kind of an
[00:50:15.060 --> 00:50:21.380]   active versus passive debate. And there was a lot of writing on it. And I almost think that that debate is
[00:50:21.380 --> 00:50:28.660]   just dead now. Because I think the numbers have gotten so bad that if you look at the historical
[00:50:28.660 --> 00:50:36.020]   10, 15, 20 years, it's like 95% of professional money managers lose out to an index fund. And
[00:50:36.020 --> 00:50:40.820]   part of that maybe is just the environment because we've had these really big tech stocks that have
[00:50:40.820 --> 00:50:46.260]   carried the day. And it's really hard to beat if you have seven to 10 stocks that are carrying the
[00:50:46.260 --> 00:50:50.900]   weight for almost the entire stock market performance. But you'd hear for years, just wait until it's an
[00:50:50.900 --> 00:50:56.660]   active stock picker game, stock pickers market again. And that never really seems to happen.
[00:50:56.660 --> 00:51:03.540]   And so I think that's another big leap forward for people is just they have realized that I was a
[00:51:03.540 --> 00:51:06.580]   sucker at the poker table. I'm not going to sit at this table anymore. I'm going to go this other
[00:51:06.580 --> 00:51:11.780]   table that's much easier and it's much cheaper and it's more tax efficient. And they still may pick
[00:51:11.780 --> 00:51:17.300]   stocks in their Robinhood account and have this side pocket or sidecar, right? Where I'm going to
[00:51:17.300 --> 00:51:21.460]   take 10 or 15% of my portfolio and I'm going to go nuts and I'm going to trade crypto and I'm going to
[00:51:21.460 --> 00:51:26.420]   buy and sell individual stocks. But the other stuff is on autopilot. And I do think for the vast
[00:51:26.420 --> 00:51:32.420]   majority of people, that is still the best way to do it. And I think the individual investor has just
[00:51:32.420 --> 00:51:38.420]   never had it better than they have it today. As low as costs are and zero dollar commissions and
[00:51:38.420 --> 00:51:43.780]   automation and all these things. I was having a conversation recently with someone about health and
[00:51:43.780 --> 00:51:49.220]   wealth and how the personal finance analogy has always been health and wealth are kind of similar
[00:51:49.220 --> 00:51:52.900]   because you know what you're supposed to do, but it's hard to actually follow through with that
[00:51:52.900 --> 00:51:59.220]   advice. But with health, you have to choose your meal every day, right? And you have to actually
[00:51:59.220 --> 00:52:04.260]   force yourself to eat right. And you have to force yourself to go to the gym. With your finances,
[00:52:04.260 --> 00:52:09.140]   you can automate a lot of good decisions ahead of time and really take yourself out of the equation.
[00:52:09.140 --> 00:52:14.260]   The fact that if you're willing to do the heavy lifting upfront and create those decisions and make
[00:52:14.260 --> 00:52:19.940]   all that automation part of it, it's never been easier to take your bad self out of the equation.
[00:52:19.940 --> 00:52:24.820]   This episode is brought to you by delete me. And if you prefer not to have your identity stolen or have
[00:52:24.820 --> 00:52:29.300]   your phone number, home address, or email showing up all over the internet, you really need to check
[00:52:29.300 --> 00:52:34.260]   out delete me this year. Unfortunately, there's hundreds of data brokers online that are constantly
[00:52:34.260 --> 00:52:39.540]   sharing and selling your personal info and keeping track of all of them is like playing whack-a-mole.
[00:52:39.540 --> 00:52:43.700]   But fortunately, if you go to them one by one, you can get them to remove your data.
[00:52:43.700 --> 00:52:49.860]   However, that process can take hours and hours to do yourself. I know I tried it two years ago and
[00:52:49.860 --> 00:52:55.140]   after spending more than 10 hours and not even getting close to finishing, I gave up and started
[00:52:55.140 --> 00:53:00.420]   using delete me and I haven't looked back. Since then I've signed up my entire family because delete
[00:53:00.420 --> 00:53:05.060]   me will not just find and remove your personal info from hundreds of data broker websites.
[00:53:05.060 --> 00:53:10.980]   They'll continuously scan for new data that shows up, which sadly happens all the time and get that
[00:53:10.980 --> 00:53:16.900]   removed as well. On average, they find and remove over 2000 pieces of personal info for a customer
[00:53:16.900 --> 00:53:22.340]   in their first two years. And to date, they've done over a hundred million data removals for customers.
[00:53:22.340 --> 00:53:28.820]   So if you want your personal information removed from the web, go to chrishutchins.com/deleteme and get
[00:53:28.820 --> 00:53:35.300]   20% off a plan for you or your entire family. Again, that's chrishutchins.com/deleteme or click
[00:53:35.300 --> 00:53:39.460]   the link in the description. And when you talk about automation, the things that come to mind for me are
[00:53:39.460 --> 00:53:44.580]   just kind of like automated recurring deposits, robo-advisors. Are there other types of automation
[00:53:44.580 --> 00:53:45.380]   you're thinking of?
[00:53:45.380 --> 00:53:50.100]   So now, you know, tax loss harvesting, I think is one in the last 10 years that I think didn't really
[00:53:50.100 --> 00:53:54.260]   exist for a lot of individuals before. I think the biggest ones for most people are just the
[00:53:54.260 --> 00:53:59.460]   contributions, the rebalancing, the asset allocation, and just setting it and forgetting it. There's other
[00:53:59.460 --> 00:54:03.300]   stuff on the margins, I guess. But as long as you have those ones, you're doing better than the majority of
[00:54:03.300 --> 00:54:10.420]   the investing population. Yeah. Amazing how much I find people that really like to think about money
[00:54:10.420 --> 00:54:14.660]   actually don't think about their portfolio that much. I might spend a lot of time in spreadsheets.
[00:54:14.660 --> 00:54:19.140]   I know you do too. Like we've got our charts and models, but I'm usually not thinking like,
[00:54:19.140 --> 00:54:25.140]   do I need to tweak my allocation to something? I'm thinking more, am I contributing enough?
[00:54:25.140 --> 00:54:29.300]   Should I be spending a different amount? Where is that spending going? How are the returns going?
[00:54:29.300 --> 00:54:33.860]   How is my 529 looking? And all that kind of stuff. So I'm in the investment committee for our wealth
[00:54:33.860 --> 00:54:38.740]   management firm. And we don't make allocation decisions for our clients based on we think rates
[00:54:38.740 --> 00:54:43.380]   are going to go higher or inflation is going to go lower. We're basing it off of risk and reward, right?
[00:54:43.380 --> 00:54:48.260]   Are rates high enough where you're being compensated for the risk you're taking? Or are rates too low
[00:54:48.260 --> 00:54:51.860]   and you're not being compensated? So don't take any risk there. Most of the decisions that we have
[00:54:51.860 --> 00:54:56.100]   with clients is not based on the market itself and the market changes, although sometimes it is,
[00:54:56.100 --> 00:55:00.020]   but it's more on life events. And do you have something going on in your life that would
[00:55:00.020 --> 00:55:04.420]   necessitate a change? Has your risk profile changed because you're retiring or because
[00:55:04.420 --> 00:55:08.500]   you're receiving an inheritance or because your kids are going to college or you have a wedding coming
[00:55:08.500 --> 00:55:15.540]   up? And it tends to be those life events that make it for an allocation change or change your saving
[00:55:15.540 --> 00:55:17.940]   habits or spending habits than the market itself.
[00:55:17.940 --> 00:55:22.820]   I wanted to try this new thing and you brought this up. So this idea of advice swapping on topics
[00:55:22.820 --> 00:55:28.500]   that have nothing to do with the core topic at hand. And so the question I had for you is you're
[00:55:28.500 --> 00:55:33.300]   further along than me in the parenting journey. When I read what you write and hear what you talk
[00:55:33.300 --> 00:55:38.980]   about, I feel as a kindred spirit to your attitude towards money and life and enjoying things in the
[00:55:38.980 --> 00:55:45.540]   moment, any advice for me being, you know, five to 10 years behind you in the, in the parenting
[00:55:45.540 --> 00:55:52.660]   life game? Yeah. Our oldest is 11. Now we have twins that are eight. Um, good luck with travel sports.
[00:55:52.660 --> 00:55:57.380]   That's one of them. This is something I did was not totally unprepared for. I grew up playing on school
[00:55:57.380 --> 00:56:03.540]   teams and, and rec leagues. And I never realized how professionalized sports are from a very young age.
[00:56:03.540 --> 00:56:10.580]   Now, uh, we have two girls who are in travel soccer and I can't believe how, you know, their sponsors
[00:56:10.580 --> 00:56:15.540]   involved and there's all these jerseys that you have to buy and it's traveling and it's every weekend
[00:56:15.540 --> 00:56:22.340]   and, and it's not cheap. So, uh, travel sports is certainly one of them. The interesting thing is,
[00:56:22.340 --> 00:56:27.060]   is that I, you know, people always say like, how do you teach your kids about money? I think at an early
[00:56:27.060 --> 00:56:32.180]   age, especially I've tried to bring up conversations. I think most of it is really just the actions that you
[00:56:32.180 --> 00:56:36.260]   have and not really what you're telling your kids. I think they're going to, they don't want to hear
[00:56:36.260 --> 00:56:40.420]   from you yet. Obviously they're going to maybe want to hear from you when they're older, but I think
[00:56:40.420 --> 00:56:46.820]   it's just really setting the right examples is what I've realized for a lot of different things for
[00:56:46.820 --> 00:56:50.740]   them. I try to bring my kids. I mean, they're, they're three and four, right? Like I'm trying to
[00:56:50.740 --> 00:56:55.220]   bring them along the journey of like, Hey, we're going to go drop these cans off at recycling.
[00:56:55.220 --> 00:56:58.500]   And then we make a little bit of money and then we can use that money to go buy a book,
[00:56:58.500 --> 00:57:03.220]   you know, like little, little drops of like how the world works around money.
[00:57:03.220 --> 00:57:06.500]   But I'm certainly not trying to teach them as much as show them.
[00:57:06.500 --> 00:57:09.380]   And we've still been, we've trying to teach them with cash. And it's interesting,
[00:57:09.380 --> 00:57:15.220]   they get a lot of cash gifts for birthdays and holidays and such. And because we're really
[00:57:15.220 --> 00:57:20.340]   moving towards this cashless society where it's everything you buy it online or you tap a credit card
[00:57:20.340 --> 00:57:26.180]   or you pay with your phone. And so money to them, isn't going to mean as much as it did to us.
[00:57:26.180 --> 00:57:30.900]   And so I think having cash be part of the deal where they're saving and all my kids have piggy banks
[00:57:30.900 --> 00:57:37.780]   and still work with cash. And we try to help them save that money. It's, it's harder to have those
[00:57:37.780 --> 00:57:42.980]   conversations because money in a lot of ways is just out of sight, out of mind now. And it's so much
[00:57:42.980 --> 00:57:48.500]   easier to spend than it was. And I think that's a really difficult part of it is just teaching them.
[00:57:48.500 --> 00:57:52.980]   Because when you had a lot of cash back in the day and you spent, you could literally see
[00:57:52.980 --> 00:57:57.300]   it getting smaller and you really felt it. And it's hard to feel those spending decisions anymore.
[00:57:57.300 --> 00:58:00.820]   I've had times where we bought something, was there ice cream? And my wife will be like,
[00:58:00.820 --> 00:58:05.140]   how much was that? And I'm like, I don't know. It's on the screen, you tap your phone, you hit the,
[00:58:05.140 --> 00:58:10.820]   you know, tip button, and then you walk away. And it's like, it's so simple that there have been
[00:58:10.820 --> 00:58:14.740]   moments where I was like, I couldn't tell you whether it was 12 or $15. Maybe that's,
[00:58:14.740 --> 00:58:18.180]   that's good that I'm not thinking about the pennies in the sense, you know, but also
[00:58:18.180 --> 00:58:23.620]   I, it's not even in front of you. Like it would be if I had to count out the cash and get the change
[00:58:23.620 --> 00:58:27.060]   and all that. And on the travel sports thing, it's funny. Cause I think I've gotten emails
[00:58:27.060 --> 00:58:32.260]   from so many people on different ones. Like the first time I got an email, someone said, Hey,
[00:58:32.260 --> 00:58:36.980]   if you've never taken your daughter's ice skating, don't do it because my daughter is now a competitive
[00:58:36.980 --> 00:58:41.460]   ice skater. We travel all around the country. Do not let her touch the ice. And then I was like,
[00:58:41.460 --> 00:58:45.060]   Oh, okay. So no ice skating. And then the next one's like travel soccer. Okay. Don't let them
[00:58:45.060 --> 00:58:50.180]   touch a soccer ball. It's like, turns out that every sport seems to have been created in a competitive
[00:58:50.180 --> 00:58:55.060]   way. Uh, more than I remember as a kid, this is the life we live now. And yeah, I complain about,
[00:58:55.060 --> 00:58:59.460]   but it's also very fun. Like, um, my wife and I always say, like, what else would we be doing on
[00:58:59.460 --> 00:59:03.780]   the weekends anyway? You know, we, we have our summers open. There's no travel sports in the summer.
[00:59:03.780 --> 00:59:07.860]   They do some camps and stuff, but honestly, it's very fun. And that's how you get new friends with
[00:59:07.860 --> 00:59:12.660]   the parents. And, um, I know people complain about it and it's fun to, you know, joke about
[00:59:12.660 --> 00:59:16.580]   it, but it is really fun. Okay. What, what, what was yours?
[00:59:16.580 --> 00:59:20.660]   Okay. So I listened to your podcast with Tim Ferriss, where you went into, you went into some
[00:59:20.660 --> 00:59:27.300]   like your very deep Jedi point stuff. And, um, the, the gold bar one killed me. I can't believe you're
[00:59:27.300 --> 00:59:31.620]   going to Costco and buying gold bars and you're buying a million dollars worth of, of gift cards on
[00:59:31.620 --> 00:59:35.700]   Amazon. And so I listened to Patrick O'Shaughnessy and invest like the best. And he has like the world's
[00:59:35.700 --> 00:59:39.220]   greatest venture capital investor on there or a really good stock picker. And he'll be like,
[00:59:39.220 --> 00:59:43.140]   his whole thing is like, this is who you're up against. And that's you for me with when it comes
[00:59:43.140 --> 00:59:47.860]   to points. Um, so I wanted to give you my point strategy and I wanted you to critique me a little
[00:59:47.860 --> 00:59:54.580]   bit because I, I would, I'm what I would consider a dabbler. I, I like to use the point system to my
[00:59:54.580 --> 01:00:00.420]   advantage. I think that I'm being compensated in some way, but I don't go nearly as deep as you,
[01:00:00.420 --> 01:00:08.340]   right. I'm very surface level. And so I'd say every 24 months or so I will get a new card because
[01:00:08.340 --> 01:00:12.900]   I want to get the bonus for it. I know we're going to be spending money on a vacation or my wife wants
[01:00:12.900 --> 01:00:17.060]   new furniture and we're going to be spending enough to hit the limit. And so I'll just do it all in one
[01:00:17.060 --> 01:00:23.540]   fell swoop and we'll get the a hundred thousand point bonus or 60,000 point bonus. But I think that
[01:00:23.540 --> 01:00:29.940]   the inflation has been so high in these where you don't get as much bang for the buck that I used to
[01:00:29.940 --> 01:00:34.020]   save all my points. And I was interesting listening to Tim Ferriss talk about he's got like 15 million
[01:00:34.020 --> 01:00:38.420]   points. I was wondering how much has been inflated away by the value that he could have gotten if he
[01:00:38.420 --> 01:00:44.820]   would have just spent them along the way, because my strategy now is every month I get them, I take it out
[01:00:44.820 --> 01:00:51.060]   and I do it. I just get it in cash. I don't wait. I don't save it for anything else besides my airline
[01:00:51.060 --> 01:00:57.780]   miles for my main credit cards. I just take the cash every month because I feel like the points aren't
[01:00:57.780 --> 01:01:02.740]   worth what they used to be. If you had to back the envelope, what would the inflation rate be on points
[01:01:02.740 --> 01:01:07.220]   for the last 10 years? It's pretty high, right? I would say it's been pretty high. I remember one
[01:01:07.220 --> 01:01:12.980]   specific moment, which was my wife and I did our honeymoon to the Seychelles in business class.
[01:01:12.980 --> 01:01:20.980]   And I seem to remember somewhere around like 120,000 points round trip. And now that trip would be like
[01:01:20.980 --> 01:01:25.460]   200,000 points or something like I'm going to get the numbers wrong. I could probably go back and look at
[01:01:25.460 --> 01:01:30.580]   them. But I would say there are a lot of things that in the last 10 years cost twice as much to do,
[01:01:30.580 --> 01:01:36.340]   which is a meaningful change. Now, how much has travel costs? Like, is that flight twice as much
[01:01:36.340 --> 01:01:44.820]   now? I haven't done that math either. Maybe I should. I think we're in an interesting place today in 2025,
[01:01:44.820 --> 01:01:50.340]   because I can't remember it was what branch of government investigated a couple airlines and said,
[01:01:50.340 --> 01:01:55.060]   hey, you guys are devaluing your points. We're going to do an investigation. So I think that probably for
[01:01:55.060 --> 01:02:02.180]   the next one to three years, you probably won't see point devaluation for US airlines, just because
[01:02:02.180 --> 01:02:07.140]   there's like an investigation into these airlines for this practice. And if they were going to do it,
[01:02:07.140 --> 01:02:12.180]   this would not be the ideal time to do it in the middle of this whole thing. Now, international airlines,
[01:02:12.180 --> 01:02:19.620]   different story. I think that the difference in value, there's kind of, let's put it at like three
[01:02:19.620 --> 01:02:25.060]   tiers. There's the like, I am only going to redeem my points at these like incredible values. But it
[01:02:25.060 --> 01:02:31.140]   means that I either have to travel in a way that maybe isn't how I want or wait a really long time.
[01:02:31.140 --> 01:02:36.100]   And I'm like, I like doing that. Not everyone does. I wouldn't encourage anyone to do that.
[01:02:36.100 --> 01:02:41.940]   I think the taking your points and using them for travel, right? Like if you have a chase FI reserve,
[01:02:41.940 --> 01:02:46.820]   you can use it to buy flights and hotels in the portal at one and a half cents. I think doing that
[01:02:46.820 --> 01:02:52.020]   is probably a good way to cash out your points. That's better than taking the statement credit at
[01:02:52.260 --> 01:02:57.140]   one cent or something like that. My thing that I think I told Tim was you've got these points.
[01:02:57.140 --> 01:03:03.780]   Anytime you're traveling, I would go see there's so many tools that do this now award tool points.
[01:03:03.780 --> 01:03:07.700]   Yeah. Is there a way I can get more than one and a half cents booking the trip that I want?
[01:03:07.700 --> 01:03:12.740]   No, let's use the one and a half cents. That's the like, I just want to get the easy solution
[01:03:12.740 --> 01:03:17.940]   that gives me good return. And if you're getting one and a half or more cents on a card, that's earning
[01:03:17.940 --> 01:03:22.660]   three X points on travel and dining. You know, you're getting four and a half percent back.
[01:03:22.660 --> 01:03:30.260]   That's pretty competitive with cash back. That said, I think there's a good argument the other way,
[01:03:30.260 --> 01:03:33.220]   which is like out of sight, out of mind, get cash back.
[01:03:33.220 --> 01:03:37.540]   It's like the simple strategy. That's where I've landed. It's like the indexing of points.
[01:03:37.540 --> 01:03:42.180]   And so I would say if you don't want to play the signup bonus, welcome bonus game,
[01:03:42.180 --> 01:03:46.500]   Coinbase just announced this card. That's like, okay, if you hold some Bitcoin at Coinbase,
[01:03:46.500 --> 01:03:50.420]   and they didn't say how much, I don't think it's just another 4% card, right? The Smart League card
[01:03:50.420 --> 01:03:56.980]   was 4%. Before it got retired, the US bank altitude reserve was effectively like a four and a half
[01:03:56.980 --> 01:04:03.460]   percent on travel and mobile wallet, which is like a lot of our purchases. Now, if you can afford to move
[01:04:03.460 --> 01:04:10.180]   $100,000 into a brokerage or bank account at Bank of America, like you can get three and a half
[01:04:10.180 --> 01:04:17.140]   percent back on travel and dining and 2.6 to 5% back on everything. And if you use those points
[01:04:17.140 --> 01:04:23.700]   to book travel, you add 25% boost. So now you're looking at like, I think it's like 3.2 on everything,
[01:04:23.700 --> 01:04:31.140]   4.4 on travel and dining. It's a pretty compelling alternative to points. If you're not willing to
[01:04:31.140 --> 01:04:37.700]   dabble in this other thing, if you are right, like, then I'm typically having points be worth
[01:04:37.700 --> 01:04:43.300]   3 to 6 cents, and it blows everything out of the water. And so if my points are going to be worth
[01:04:43.300 --> 01:04:48.260]   three times more, right? If points are worth 5 cents, I'm getting 3x, that's 15% back. That's way,
[01:04:48.260 --> 01:04:53.220]   way better. And I think I've worked that muscle to a point that it doesn't feel like a lot of stress,
[01:04:53.860 --> 01:04:59.380]   because I know, hey, we're going to have something booked. It's going to all work out. I'm comfortable
[01:04:59.380 --> 01:05:02.820]   saying we were going to go to Europe in summer. We don't know which weeks, and I just know something
[01:05:02.820 --> 01:05:07.460]   will pop up and we'll make it work. I'm going to wait for my AI assistant to do this all for me,
[01:05:07.460 --> 01:05:12.020]   I think. You know, I have one more question for you. After listening to the Tim Ferriss podcast,
[01:05:12.020 --> 01:05:17.940]   how much of this is a game to you versus how much you care about the monetary benefits? Because a lot
[01:05:17.940 --> 01:05:22.980]   of it, I feel like, for me, like following the markets, I don't really buy and sell individual
[01:05:22.980 --> 01:05:26.580]   stocks that much. I just love following the markets because I think it's so interesting.
[01:05:26.580 --> 01:05:31.460]   Is that the points game for you as well? Yeah. I get a lot of dopamine out of it. It's fun.
[01:05:31.460 --> 01:05:38.340]   And I've created a content place to talk about that thing. And so I think the only two things I'll say
[01:05:38.340 --> 01:05:44.900]   that put a stronger push in both directions. So one, points are always on sale. And so if you have cash
[01:05:44.900 --> 01:05:51.300]   back, you can still go to those same tools and be like, "Hey, is there some world where I want a flight
[01:05:51.300 --> 01:05:55.780]   that's three grand, but I can book it for the points equivalent of $500?" And like,
[01:05:55.780 --> 01:06:01.940]   you could just maybe go buy that, those points for $700. Even if you bought them for $1,000,
[01:06:01.940 --> 01:06:07.380]   you know, it's such a good deal. So you can play the cashback game and get the arbitrage that you get
[01:06:07.380 --> 01:06:11.620]   from points being able to have outsized value, even without having them because you just go buy them.
[01:06:11.620 --> 01:06:18.100]   The other side is what you said. Every 24 months, you open up a card. The average return of a top 20
[01:06:18.100 --> 01:06:23.940]   signup bonus, meaning like pick the 20 best welcome offers right now is about 16.7%.
[01:06:23.940 --> 01:06:30.100]   So you are better off always working on your welcome bonus than doing anything else, cashback
[01:06:30.100 --> 01:06:37.140]   points. Even if you use those points in the worst way, I think that you would probably have no negative,
[01:06:37.140 --> 01:06:41.940]   if not a positive impact on your credit score of you and your partner or your wife or your husband,
[01:06:41.940 --> 01:06:46.020]   whoever's listening, opening up a card every quarter instead of every two years.
[01:06:46.020 --> 01:06:46.580]   And so like,
[01:06:46.580 --> 01:06:50.980]   people find that overhead really stressful. And I laugh because they're like, "Oh,
[01:06:50.980 --> 01:06:53.860]   it's so stressful to open up a card every quarter." And I'm like, "Okay."
[01:06:54.820 --> 01:06:59.780]   But if you actually look at the difference between getting 16% back in like four, like it's pretty
[01:06:59.780 --> 01:07:05.300]   meaningful. And that's what I do. And I just keep one or two automatic payments on those cards to keep
[01:07:05.300 --> 01:07:09.860]   them open because it, like you said, it's part of your credit. So that would be my advice is like,
[01:07:09.860 --> 01:07:15.460]   whenever you see a bonus, why not go for it? Otherwise, for your personality, it's like you can
[01:07:15.460 --> 01:07:21.220]   almost just shift all to a high cashback card. And maybe there's categories where you're like, "Well,
[01:07:21.220 --> 01:07:26.660]   I've got a 5X flights card, a 3X travel card." Great. Get the points. Like, great deal. But I would
[01:07:26.660 --> 01:07:30.660]   hang on to them. And if you're booking a family trip, use one of these easy tools and be like,
[01:07:30.660 --> 01:07:34.820]   "Is there an amazing way to get a great deal here?" Or maybe you're like, "We don't really
[01:07:34.820 --> 01:07:40.580]   care where we go. We want to go on a fun spring break." Great. Go to this pointy daydream explorer.
[01:07:40.580 --> 01:07:46.340]   Where in the world can we go for an incredible experience?" But I don't know. That's my advice.
[01:07:46.340 --> 01:07:49.540]   I wasn't aware of those websites either. So I will be bookmarking those now too.
[01:07:49.540 --> 01:07:53.860]   Yeah. They make it so easy. That's the joy of the points game for someone who doesn't
[01:07:53.860 --> 01:07:58.420]   want to go down the rabbit hole is it's never been easier to have something like Google Flights.
[01:07:58.420 --> 01:08:04.900]   In fact, go download the PointsPath extension and it'll just layer on points deals to Google Flights.
[01:08:04.900 --> 01:08:05.780]   Oh, wow. Okay.
[01:08:05.780 --> 01:08:08.980]   It's like, I'm searching for a flight and it's like, "Aero, use your points."
[01:08:08.980 --> 01:08:12.980]   See, bring it all full circle. It's never been better to be an individual investor or a points person.
[01:08:12.980 --> 01:08:15.780]   Yeah. Yeah. It's never been better to be alive.
[01:08:15.780 --> 01:08:17.060]   That's right.
[01:08:17.060 --> 01:08:22.420]   All right. This has been great. I really appreciate you joining. Until the next time.

