
[00:00:00.000 --> 00:00:07.060]   But I'm cleverly going to use this as it's a sort of metaphor for our longer discussion today.
[00:55:45.760 --> 00:55:53.280]   know either of those numbers. Like I, I, uh, I know what right thing right now
[00:55:53.280 --> 00:55:58.800]   did in its first week because my publisher sent me those numbers and now we're three months out.
[00:55:58.800 --> 00:56:07.840]   I couldn't tell you even within 30 or 40% what that number is. And I don't know if I know what our,
[00:56:07.840 --> 00:56:15.520]   I definitely don't know what our daily or total audience is for daily stoic. I just know
[00:56:16.240 --> 00:56:24.400]   that I make this stuff and that the reach is pretty big. I, I, I try, I try not to think too
[00:56:24.400 --> 00:56:30.560]   much about those. Like you're talking about sort of a deep life to me, it's a really shallow life. If
[00:56:31.360 --> 00:56:37.760]   you're waking up every day and stressing whether the number is here or here or here, you know what I
[00:56:37.760 --> 00:56:44.880]   mean? Like the, the, the, I'm not saying I live in a bubble, uh, cause that's a, that's not good either.
[00:56:44.880 --> 00:56:54.400]   Um, but, but I try to insulate myself from statistics and metrics to a degree that it
[00:56:54.400 --> 00:56:59.920]   allows me to just focus on making what I think is good. Do you privilege books in your thinking at all?
[00:56:59.920 --> 00:57:04.400]   Or do you really have a unified thinking of ideas to people? There's different.
[00:57:04.400 --> 00:57:11.200]   I mean, to me, ultimately books are the most important and powerful medium to interact with
[00:57:11.200 --> 00:57:17.520]   someone. So like, you know, you could have, uh, uh, an Instagram reel that does 10 million views
[00:57:17.520 --> 00:57:24.880]   and that would probably have a fraction of the impact that selling a thousand, that a thousand
[00:57:24.880 --> 00:57:31.920]   people reading a book would have. So, so ultimately I, yeah, ultimately all I care about is, is writing
[00:57:31.920 --> 00:57:41.040]   books that I'm proud of and that, that those books are finding, you know, their audience. Um, and yeah,
[00:57:41.040 --> 00:57:48.800]   what I'm not, I'm not saying, I'm not chasing social media engagement at the expense of, you know,
[00:57:48.800 --> 00:57:53.040]   book sales. That's for sure. I mean, what, what I think is innovative about your model and I've
[00:57:53.040 --> 00:57:59.440]   seen this up close. Um, and I don't think people, most people are there yet. Uh, is this, uh, tell
[00:57:59.440 --> 00:58:05.840]   me if I have this wrong, but the way you think about things is, um, you are a producer of ideas
[00:58:05.840 --> 00:58:10.080]   that are valuable, right? You've, you've developed the skill and this is what you've done. There's so
[00:58:10.080 --> 00:58:14.880]   many hours in the day that you can productively do that. And sort of the, the insight you had is,
[00:58:14.880 --> 00:58:20.080]   okay, um, how do we take those ideas and get them to as many people as possible? Well, there's
[00:58:21.200 --> 00:58:26.480]   lots of different channels. And I think the channel overlap piece is one of the more, um,
[00:58:26.480 --> 00:58:31.280]   innovative that, you know, if I'm there doing your podcast, you'll tell your team,
[00:58:31.280 --> 00:58:38.000]   Hey, clip minute, this minute, that minute, that, uh, turn those into, get that into a content for
[00:58:38.000 --> 00:58:43.920]   this daily email newsletter. Your podcast is using what's going out in the email newsletter,
[00:58:43.920 --> 00:58:47.280]   except for when you do the interviews, which goes back and feeds into the newsletter,
[00:58:47.280 --> 00:58:52.320]   your books get sort of it's ideas. You've talked about those ideas go back. Um, and it reminds me
[00:58:52.320 --> 00:58:56.800]   almost of like the innovations and licensing deals that, you know, people figured out in the seventies
[00:58:56.800 --> 00:59:02.960]   or eighties, like we have this IP that's valuable. Uh, well, it could be on lunch boxes and, uh, on
[00:59:02.960 --> 00:59:10.720]   stickers and in toys. I don't think most creatives are there yet. I think they think about channels as
[00:59:10.720 --> 00:59:16.880]   independent endeavors, you know, yes, I write licensing stuff to yourself. So, so it's like,
[00:59:16.880 --> 00:59:22.960]   I write a book that has a bunch of ideas in it. And then, uh, instead of waiting for somebody on
[00:59:22.960 --> 00:59:29.520]   YouTube to read that book and rip it off into a bunch of different videos, I make videos about all
[00:59:29.520 --> 00:59:38.000]   those ideas in the books instead of waiting for someone to take one idea from, you know, uh, something
[00:59:38.000 --> 00:59:43.040]   I said and turn that into a, an Instagram reel. I want to make that. And then, yeah, I think a lot
[00:59:43.040 --> 00:59:50.080]   about how do I get efficiency. So like I had a talk in Brazil on Friday now as a big, you know, it's like
[00:59:50.080 --> 00:59:56.320]   a disruptive thing, right? Like I had to get on a plane. I had to take two red eyes. I flew to another
[00:59:56.320 --> 01:00:02.640]   country. I gave a large talk, but you know, that talk was filmed and then I had to do a Q and a after
[01:00:02.640 --> 01:00:10.800]   and that Q and a was recorded. And so, you know, that talk will become 15 clips that, um,
[01:00:10.800 --> 01:00:18.560]   that Q and a will become a Q and a podcast episode. So I, I try to think about, I try to think about how do
[01:00:18.560 --> 01:00:23.920]   I use this stuff in all the different mediums. And I, I, um, I think Gary Vaynerchuk is kind of
[01:00:23.920 --> 01:00:28.960]   the guy that's pioneered a lot of this, the idea of like, Hey, each one of these platforms has its
[01:00:28.960 --> 01:00:34.000]   own kind of unique audience and its own kind of unique language. And your job is to figure out how
[01:00:34.000 --> 01:00:40.720]   to participate. You don't have to, but do you want to see that audience to someone else? Do you want to,
[01:00:40.720 --> 01:00:46.080]   you know, miss out on that chance? Now I, I also happen to subscribe to a lot of the things you talk
[01:00:46.080 --> 01:00:52.080]   about, which is like, how do you personally set up your life? So like, I don't spend a lot of time on
[01:00:52.080 --> 01:01:00.240]   social media. I see social media primarily as a push medium. And I, the reason I have a team,
[01:01:00.240 --> 01:01:05.840]   could I do a lot of it myself? Probably would it be more profitable? You know, if I was more involved,
[01:01:05.840 --> 01:01:12.560]   probably, but it would also quality of life, there'd be a quality of life reduction. Cause I think a lot
[01:01:12.560 --> 01:01:18.080]   of these mediums are not super healthy for the individual, but it would also just take me away
[01:01:18.080 --> 01:01:22.480]   from the things that only really I can do, which is write the books that I write.
[01:01:22.480 --> 01:01:28.560]   Yeah. Um, I love this way of thinking. Yeah. I mean, I've been thinking about it. There's
[01:01:28.560 --> 01:01:33.600]   also this theory out there that you need a certain level of ubiquity before you can get big growth.
[01:01:33.600 --> 01:01:39.280]   Right. Um, it's when people kind of know who you are, that then when you have the right idea,
[01:01:39.280 --> 01:01:42.960]   that's right timed, you get explosions. If they don't know where you are, it's hard for,
[01:01:42.960 --> 01:01:47.280]   it's that like, well, yeah, I know Ryan Hall and I have seen some of his stuff that then allows,
[01:01:47.280 --> 01:01:51.280]   would you do something that time's right for that growth to happen? This is what I think about like
[01:01:51.280 --> 01:01:58.320]   your pandemic years. Right. I mean, I see 2016 through 2019, this, you kind of start launching
[01:01:58.320 --> 01:02:03.280]   a strategy daily stoic, you build up these audiences into the hundreds of thousands, kind of somewhat
[01:02:03.280 --> 01:02:07.120]   painstakingly. Right. Yeah. And then there's like a three year period and everything jumps to
[01:02:07.120 --> 01:02:12.320]   millions. Right. Um, you can't go from 50,000 to millions,
[01:02:12.320 --> 01:02:16.400]   but like you can go from 600. And in other words, like you were out there, right? Like
[01:02:16.400 --> 01:02:21.360]   once there's a bit of a ubiquity for your ideas, you've defined yourself in the mind of a lot of
[01:02:21.360 --> 01:02:27.120]   people. Now it's much more easy when they see a Ryan holiday book. Like I know exactly who that is.
[01:02:27.120 --> 01:02:31.840]   And now the fact that the topic is what I'm interested in, I'm super excited to buy. Right.
[01:02:31.840 --> 01:02:37.040]   Like if Steven Spielberg does a movie on a topic I'm interested in, like I'm a hundred percent
[01:02:37.040 --> 01:02:41.680]   going to go see that where that same topic, if I don't know. So, I mean, there's an interesting curve.
[01:02:41.680 --> 01:02:46.000]   And I think there's a lesson there as well is that, you know, your, your, your audience grew
[01:02:46.000 --> 01:02:52.000]   and then it exploded. Um, but you can't skip the, the growth, unless you're pure algorithmic,
[01:02:52.000 --> 01:02:55.520]   like sure on YouTube, you could do this. Like if you're in a purely algorithmic medium, it's possible,
[01:02:55.520 --> 01:03:00.960]   but that's a really, um, low touch audience anyways, but like your email newsletters, et cetera.
[01:03:00.960 --> 01:03:05.840]   There are definitely things that just take off like a rocket ship. I think you see this in music,
[01:03:05.840 --> 01:03:11.440]   right. There's the kind of musician that, that writes a handful of huge singles that just sort
[01:03:11.440 --> 01:03:16.800]   of break out. This is like lightning in a bottle. This is a magical thing. And maybe you're that artist
[01:03:16.800 --> 01:03:22.640]   and maybe you're not. I happen to be more a fan. Like I'm a, I'm a heavy metal fan. I'm wearing an
[01:03:22.640 --> 01:03:29.440]   Iron Maiden shirt. Iron Maiden is a band that's basically never been on the radio, but 50 years in 40
[01:03:29.440 --> 01:03:34.640]   plus years in they're like bigger than they've ever been. It was this sort of very slow and steady
[01:03:34.640 --> 01:03:40.880]   multi-generational thing. And they kind of just do like Iron Maiden makes Iron Maiden music.
[01:03:40.880 --> 01:03:46.160]   Like I heard their manager once said, um, uh, someone said, you know, you're one of my heroes
[01:03:46.160 --> 01:03:50.560]   in the music business. And he said, I'm not in the music business. He said, I'm in the iron
[01:03:50.560 --> 01:03:56.000]   fucking Maiden business. And this idea of like Iron Maiden makes Iron Maiden music and they make it for
[01:03:56.000 --> 01:04:01.840]   Iron Maiden fans. And you kind of know what you're going to get, but they've done it so long
[01:04:01.840 --> 01:04:08.080]   that you start to get into that idea of like compounding returns. So it's not exactly exponential,
[01:04:08.080 --> 01:04:17.280]   but it is like linear in a, in a very powerful way. Right. And, and, um, you just kind of do what you
[01:04:17.280 --> 01:04:22.320]   do and you do it for your people. And there are going to be moments that sort of punctuate it. Like,
[01:04:22.320 --> 01:04:27.120]   yeah, the pandemic was a big growth thing, but it's not like, it's not like we quadrupled in size
[01:04:27.120 --> 01:04:33.520]   overnight. It was like, oh, you know, the list grew by 25% this year instead of 10%.
[01:04:33.520 --> 01:04:34.400]   Right.
[01:04:34.400 --> 01:04:40.960]   But we've kind of just daily Stoic has just been this very steady, consistent thing that gets bigger
[01:04:40.960 --> 01:04:46.880]   and bigger. I like, look, you and I both know people who have put up videos that have done tens,
[01:04:46.880 --> 01:04:51.760]   hundreds of millions of views. Probably the most that any of my things have ever done is a couple
[01:04:51.760 --> 01:04:58.880]   million views, which is a lot. If your stuff is currently doing nothing, but if you're Mr. Beast,
[01:04:58.880 --> 01:05:05.680]   that's disaster comparatively, nothing. So I, I kind of just make a lot of stuff. I make it in a
[01:05:05.680 --> 01:05:11.680]   lot of different mediums and I, I, I do what I am excited and interested in about. And it's built this
[01:05:11.680 --> 01:05:20.000]   kind of, you know, this, this, uh, this idea of a flywheel and it, yeah, it can become quite large,
[01:05:20.880 --> 01:05:25.600]   but where, again, where your stuff has been helpful for me is like, could it be bigger?
[01:05:25.600 --> 01:05:33.040]   I probably, um, will it be bigger in the future? I would say yes, but I, I would like it to be bigger
[01:05:33.040 --> 01:05:43.360]   sustainably and not at the expense of my deep kind of thinking and the, the pleasure of doing,
[01:05:43.360 --> 01:05:48.880]   doing the thing. Like if, if, if you told me daily Stoic could, could quadruple in size,
[01:05:48.880 --> 01:05:54.720]   but I wouldn't be able to write any more books or write them at the level. And, and with the time
[01:05:54.720 --> 01:05:59.360]   that I currently do it, I would not take that trade. Well, I love that model. I know we're
[01:05:59.360 --> 01:06:04.240]   out of time here. We both have, uh, we have school pickup. We have school pickups. Speaking of the deep
[01:06:04.240 --> 01:06:07.600]   life, we're, we're, we're honestly, we're mainly chauffeurs. Let's be honest about this.
[01:06:07.600 --> 01:06:13.840]   Yeah. But I, to me, I was saying that like a rich life is being able to pick your kids up from school.
[01:06:13.840 --> 01:06:19.120]   There's a version of that. That's that's not rich, I guess, but there's a version of like having the
[01:06:19.120 --> 01:06:25.440]   ability to do it and wanting to do it is a wonderful thing. Yeah. Well, Ryan, thank you. I, I mean,
[01:06:25.440 --> 01:06:28.560]   I'm going to, I'm going to do a big summary of this for the listeners. I think there's some,
[01:06:28.560 --> 01:06:33.680]   some great thoughts in here. I think there's lessons from your story. I think there's lessons from your
[01:06:33.680 --> 01:06:37.280]   new book, which everyone should check out the full series. I think it really helps
[01:06:37.280 --> 01:06:41.920]   build that code. Um, and I love your specific, just because it matters to me because we're in
[01:06:41.920 --> 01:06:45.440]   the same world. I love your specific story about how you think about growing audience,
[01:06:45.440 --> 01:06:50.720]   doing something Iron Maiden style as opposed, I don't know what the alternative would be Carly
[01:06:50.720 --> 01:06:56.480]   Jepsen style. I'm trying to think of like recent wonders. Anyways, Ryan, always a pleasure,
[01:06:56.480 --> 01:06:59.680]   uh, and we'll talk soon. All right. Have a good drive.

