
[00:00:00.000 --> 00:00:02.000]   And we're live.
[00:59:07.000 --> 00:59:15.000]   But basically, a data set returns two things. It returns X and Y.
[00:59:15.000 --> 00:59:23.000]   So your Y is the label. Your X is either if you're doing image classification, it's image.
[00:59:23.000 --> 00:59:32.000]   If you're doing test classification, it's text. If you're doing basically table of data, I mean, this is the part that you use to predict the label.
[00:59:32.000 --> 00:59:39.000]   So in this case, then, this is what a data set returns. It returns these two items.
[00:59:39.000 --> 00:59:44.000]   So anything that can return these two things, you can think of that as a data set.
[00:59:44.000 --> 00:59:54.000]   So I can just go and I can have a look at my train. So you can see how the train, remember, had 4009 items.
[00:59:54.000 --> 00:59:58.000]   I can just grab the first item from that train and I can call it X and Y.
[00:59:58.000 --> 01:00:04.000]   And if you see what it is returning, it's actually returning the same thing.
[01:00:04.000 --> 01:00:11.000]   It's returning an F name of this. It's returning the label and it's returning an is valid.
[01:00:11.000 --> 01:00:18.000]   And these are the two same things. So what's happening underneath in Fast.ai, when you called this function,
[01:00:18.000 --> 01:00:22.000]   you didn't really tell Fast.ai how to split this, what to do with this.
[01:00:22.000 --> 01:00:28.000]   You just passed in an item. And then Fast.ai, what it does is internally, because the data set has to return two things,
[01:00:28.000 --> 01:00:33.000]   because it doesn't know how to make your X or it doesn't know how to make your Y.
[01:00:33.000 --> 01:00:38.000]   It returns both of them as the same. That's what Fast.ai does.
[01:00:38.000 --> 01:00:46.000]   But what we really care about, remember, for the X, we care about this file name, because then that's the image.
[01:00:46.000 --> 01:00:50.000]   That's where the image sits. Right. So for my X, I actually want an image.
[01:00:50.000 --> 01:00:55.000]   So I could actually go in and I could say my X, I could say the file name.
[01:00:55.000 --> 01:01:01.000]   This is again, I'm just using pandas or I'm just kind of this is just a row of a pandas data frame.
[01:01:01.000 --> 01:01:05.000]   So I can just go X file name, which returns the file name to me.
[01:01:05.000 --> 01:01:11.000]   And I can just say for my Y, I can just I care about the label. Right.
[01:01:11.000 --> 01:01:16.000]   So right now, these X and Y are the same thing. They're the same row.
[01:01:16.000 --> 01:01:22.000]   But I can extract the important information that I need. So for my X, I need the file name for my Y.
[01:01:22.000 --> 01:01:28.000]   I need the labels. Right. In Python, there's something called as a lambda.
[01:01:28.000 --> 01:01:37.000]   What is a lambda? A lambda. If I want to define a function like F of O, that returns O plus one.
[01:01:37.000 --> 01:01:46.000]   And I do F of X for X in range five.
[01:01:46.000 --> 01:02:08.000]   If I do something like that. If I do something like that, then you can see how.
[01:02:08.000 --> 01:02:18.000]   My NP that arranges just a list of five elements, zero, one, two, three, four, and I'm just calling this function for each of the elements.
[01:02:18.000 --> 01:02:23.000]   So now the returned list is one, two, three, four, five, which is one item.
[01:02:23.000 --> 01:02:36.000]   Sorry, one unit added to all of them. Instead of like defining a function like this in Python, you could say lambda O, O plus one.
[01:02:36.000 --> 01:02:47.000]   For O. I've just made some small error.
[01:02:47.000 --> 01:02:54.000]   What have I done? I'm just trying to figure this out.
[01:02:54.000 --> 01:02:59.000]   Anyway, leave that for me. I think that's a I've just made some syntax error. I'm really sorry for that.
[01:02:59.000 --> 01:03:10.000]   But basically the main idea is you can define a function by passing in some item. You can just define a function and you can say, okay, that's my input and that's my output.
[01:03:10.000 --> 01:03:19.000]   So I can just say that's my input and that's my output.
[01:03:19.000 --> 01:03:32.000]   I know. So I could just call my lambda O, O plus one. And I'm just trying to fix that error because and then I can just go.
[01:03:32.000 --> 01:03:43.000]   Yeah, this time it works. So basically, instead of like writing my function as define F of O and then you return O plus one,
[01:03:43.000 --> 01:03:52.000]   I can just define my function using lambda in Python and I can just say my input is something called O and my output is just O plus one.
[01:03:52.000 --> 01:03:59.000]   So that's my function. And then I can call this function for all of my elements in my list.
[01:03:59.000 --> 01:04:07.000]   So that's just what lambda does. Lambda is just a really easy and concise way of writing a function in Python.
[01:04:07.000 --> 01:04:18.000]   Okay. So now basically then we can say from the row, remember what this data block is going to receive are the two same rows, right?
[01:04:18.000 --> 01:04:28.000]   X and Y are the same. So I can just say whatever goes in to my X or like from X, what I want you to do is I want you to extract the F name.
[01:04:28.000 --> 01:04:36.000]   Right. So you're going to get the row as the input and you're going to output row F name or the file name, basically.
[01:04:36.000 --> 01:04:44.000]   So I can just say lambda row, row F name, which means the input is row and the output is the F name column of that row.
[01:04:44.000 --> 01:04:52.000]   Similarly for Y, I can say my input because it's going to be the same row. I can say my input is row and my output is row labels.
[01:04:52.000 --> 01:04:59.000]   So now when I call my data set, we're just defining how to get the X and Y in our data block.
[01:04:59.000 --> 01:05:10.000]   Now when I call my data sets on this, you can see how it returns the file name for my X and it returns the label for my Y.
[01:05:10.000 --> 01:05:20.000]   And I could have gotten my, like you can check all these different elements of my train and you can see how some images have more than one labels.
[01:05:20.000 --> 01:05:28.000]   So that's like the basic idea of using lambdas in here. But you could have also done the same thing in a more verbose way,
[01:05:28.000 --> 01:05:35.000]   which means you can define your get X and you can define your get Y. And then in data blocks, you're just saying, OK,
[01:05:35.000 --> 01:05:42.000]   the way you get X from the inputs is you're going to get a row, every row, and then you just return row file name.
[01:05:42.000 --> 01:05:49.000]   And you're going to do, you're going to return the row labels or like that's the column that you're going to return for my Y.
[01:05:49.000 --> 01:05:55.000]   So I can do the same thing and then you can see how that kind of returns the same thing that we want.
[01:05:55.000 --> 01:06:03.000]   So instead of just using lambdas like this, I can just define the functions.
[01:06:03.000 --> 01:06:07.000]   It's usually better to define the functions and not use lambdas.
[01:06:07.000 --> 01:06:13.000]   The reason for that is when you're trying to pickle it or when you're trying to basically save your data block,
[01:06:13.000 --> 01:06:20.000]   this kind of way you'll be able to save your data block to a file much easily than when you're defining lambdas.
[01:06:20.000 --> 01:06:26.000]   So that's just something if you ever feel like you're getting some weird saving errors or like it says,
[01:06:26.000 --> 01:06:31.000]   oh, I can't find this or Python complains about like I can't save data block,
[01:06:31.000 --> 01:06:36.000]   then that's the reason why you might have used lambda somewhere.
[01:06:36.000 --> 01:06:44.000]   OK, so now we have a training in a way like the train now returns my file name and my Y returns labels,
[01:06:44.000 --> 01:06:48.000]   but we're still not ready. Like we're still not ready.
[01:06:48.000 --> 01:06:55.000]   This is not something that can be fed to a model. A model accepts an image and it accepts a label.
[01:06:55.000 --> 01:06:59.000]   So my label is not like it's not trained.
[01:06:59.000 --> 01:07:02.000]   Like right now it's just a TV monitor or like it's a string.
[01:07:02.000 --> 01:07:08.000]   The model doesn't know what to do with it. So we need to further define what what's going to happen.
[01:07:08.000 --> 01:07:13.000]   And to convert this into an image. First, we need to provide the full path.
[01:07:13.000 --> 01:07:19.000]   So remember. All our files that we downloaded were in this point.
[01:07:19.000 --> 01:07:24.000]   And then if I go path/train, that's the folder where all of these images are.
[01:07:24.000 --> 01:07:45.000]   So I can just say. If I just import if I want to open this image 0024.jpg, I have to provide the full path.
[01:07:45.000 --> 01:07:50.000]   So that's how that image will be opened. You have to have the full path to the file.
[01:07:50.000 --> 01:07:57.000]   So then that way, what you do is now your X, instead of just being the file name, becomes the full path.
[01:07:57.000 --> 01:08:04.000]   So I'm just showing you right now we're not learning anything about we're not learning anything about multilabel classification.
[01:08:04.000 --> 01:08:12.000]   We're just seeing the steps it takes to create a data block for a multilabel classification pipeline.
[01:08:12.000 --> 01:08:15.000]   Or basically when you're doing multilabel classification.
[01:08:15.000 --> 01:08:22.000]   And when specifically you have your file name labels and is valid in a data frame, in a pandas data frame.
[01:08:22.000 --> 01:08:27.000]   So until now, we've just worked with folders or like all images have been in different folders.
[01:08:27.000 --> 01:08:34.000]   But we haven't really looked at this example of like, how does this work when you have your data frame?
[01:08:34.000 --> 01:08:40.000]   So we're just looking. We're just learning fast AI right now. We're not learning multilabel classification so far.
[01:08:40.000 --> 01:08:47.000]   OK, so I can just say now return my full basically my path.
[01:08:47.000 --> 01:08:52.000]   And remember when we were looking at, let's see if I have an example. Here it is.
[01:08:52.000 --> 01:08:59.000]   When we were looking at the labels for an image that had more than one category in them, then they were space limited.
[01:08:59.000 --> 01:09:06.000]   Or basically they were separated by space. So what I need to do is I need to split them by space.
[01:09:06.000 --> 01:09:15.000]   So if I update my getX and getY like that, then you can see now my X is returning that whole image path.
[01:09:15.000 --> 01:09:21.000]   And my Y is now a label. So let's see if I can find one with more than one label. Yes, there it is.
[01:09:21.000 --> 01:09:29.000]   So instead of now being motorbike, person, car as one string, if I go and I check this, it's now a list of three items.
[01:09:29.000 --> 01:09:32.000]   That's much easier for us to work with.
[01:09:32.000 --> 01:09:37.000]   Because then what we can do is we can convert each of these into a number that can then be fed to a model.
[01:09:37.000 --> 01:09:41.000]   So that's why there's some extra steps when you're working with multilabel classification.
[01:09:41.000 --> 01:09:48.000]   But the reason why I split this is because you need to know that there's like three items in this rather than if you didn't split it,
[01:09:48.000 --> 01:09:52.000]   then each string would be a different length or like all these different things.
[01:09:52.000 --> 01:10:00.000]   So that's just I'm just trying to give you an intuition or provide some background into why you have to do all of these steps.
[01:10:00.000 --> 01:10:08.000]   So now I can just so now I'm returning my path and I'm returning like my labels as a list in data block.
[01:10:08.000 --> 01:10:12.000]   Remember, we've already used image block and multi category block.
[01:10:12.000 --> 01:10:22.000]   What fast AI does is it takes this first item and it passes it through the image block and it takes the second item and it passes that through the multi category block.
[01:10:22.000 --> 01:10:29.000]   So in fast AI when you're doing multilabel classification, remember, the blocks are like a tuple or they're like a list
[01:10:29.000 --> 01:10:33.000]   where the first block is for your X and your second block is for your Y.
[01:10:33.000 --> 01:10:38.000]   And because we're doing multilabel classification and the first thing is an image or path to an image,
[01:10:38.000 --> 01:10:44.000]   the first block is image block and the second block is multi category block.
[01:10:44.000 --> 01:10:50.000]   So I can just do that. And now if I say data sets on train zero, see what the first thing is.
[01:10:50.000 --> 01:11:00.000]   My first thing now is an image. So if I extract the first item from this, see how that's an image.
[01:11:00.000 --> 01:11:10.000]   And if I extract the basically my Y. See how that's been converted into something like this.
[01:11:10.000 --> 01:11:20.000]   So they were about say. In this data set, we have about 20 categories that we're trying to classify.
[01:11:20.000 --> 01:11:25.000]   And each column represents a category because you're doing multilabel classification.
[01:11:25.000 --> 01:11:34.000]   Then have a look at this example. Some because you're going to have rows where it's going to be a dog and a chair or like a sofa and a chair.
[01:11:34.000 --> 01:11:39.000]   In that case, you're going to have multiple places where this category or this number is going to be one.
[01:11:39.000 --> 01:11:44.000]   In this case, because we only have an image of a dog, I believe that's why this is one.
[01:11:44.000 --> 01:11:55.000]   If I go for my second item in my data set. See how that is one at multiple places, which means there's two objects in this.
[01:11:55.000 --> 01:12:01.000]   So let's have a look at the image. So that's right. Maybe they're trying to classify a person and a class.
[01:12:01.000 --> 01:12:06.000]   I'm not exactly sure what those categories are right now, but you don't have to worry about either.
[01:12:06.000 --> 01:12:09.000]   I'm just trying to tell you the process. So like this is what's going on.
[01:12:09.000 --> 01:12:16.000]   This is why this has been converted into like a one hot encoded is what this is called.
[01:12:16.000 --> 01:12:24.000]   So whenever you see every category being represented as a column of its own, that is what is called as one hot encoded.
[01:12:24.000 --> 01:12:36.000]   So let me try and explain that a little bit. So say until now, you've only looked at things like cat, dog and horse.
[01:12:36.000 --> 01:12:41.000]   Right. So you could have your wise if it's an image of a cat, you could say it's zero.
[01:12:41.000 --> 01:12:45.000]   If it's an image of a dog, you could say one. And if it's an image of a horse, you could say two.
[01:12:45.000 --> 01:12:51.000]   And you could have your whole labels that way, like one, two, zero, one, two, two, one.
[01:12:51.000 --> 01:13:01.000]   So that becomes your label. Right. And another way to do it would be you could just make it one at the spot where it is and everything else is zero.
[01:13:01.000 --> 01:13:08.000]   Or like this could be zero one zero and this could be zero zero one because this one is an image of a horse.
[01:13:08.000 --> 01:13:16.000]   So that means that's one. So when you represent categories like this, where each category becomes its own column,
[01:13:16.000 --> 01:13:26.000]   this way of representing categories is called one hot encoding.
[01:13:26.000 --> 01:13:38.000]   And the reason why you have to do one hot encoding in multilabel classification and you don't have to do it when you're doing classification is because you can have multiple labels per image.
[01:13:38.000 --> 01:13:46.000]   Right. So your images are like this list. Right. Still like a list. And this could be a horse and a cat.
[01:13:46.000 --> 01:13:51.000]   Maybe this is just a cat and this is a dog. And this is again a horse, cat and dog. Right.
[01:13:51.000 --> 01:13:59.000]   So if you represented all of these as numbers, then this could be say one and two. This is zero. This is three.
[01:13:59.000 --> 01:14:04.000]   So horse is one. Cat is two. And this is three. So that's how you could represent this.
[01:14:04.000 --> 01:14:12.000]   But what's going to if you did a hot encode, but what's going to happen is like these length of these items are going to be different.
[01:14:12.000 --> 01:14:20.000]   So this is length two. This is length one, one and three. And this won't work because PyTorch expects your labels to be of the same length.
[01:14:20.000 --> 01:14:34.000]   So how do you fix that is your horse becomes horse, cat, dog. Basically, each becomes a row. Zero, one, two.
[01:14:34.000 --> 01:14:46.000]   I've labeled them wrong. So let's say in this case, my horse was zero, cat one, cat one, dog is two, horse zero, cat one and dog two.
[01:14:46.000 --> 01:14:55.000]   Let's say that's the labels. So this won't work. But what you could do is you could instead, when you're trying to represent this, you could say, OK, horse, yes.
[01:14:55.000 --> 01:15:02.000]   Cat. Is he present? Dog is not. Or you could say horse is for the second image.
[01:15:02.000 --> 01:15:10.000]   You could say horse is not present. Cat is present. Dog is not. In this case, you could say horse not present. Cat not present. Dog is yes.
[01:15:10.000 --> 01:15:19.000]   But see how now you're still representing this -- sorry. One second.
[01:15:19.000 --> 01:15:25.000]   You're still representing all of this information. But now the lengths of your labels are still the same.
[01:15:25.000 --> 01:15:31.000]   So this is what will work with PyTorch. And this is why you have to do all of these steps of one hot encoding.
[01:15:31.000 --> 01:15:39.000]   But by the time you've reached this point, we are now ready. So this is your train data set ready so far.
[01:15:39.000 --> 01:15:48.000]   So let me just have a look at some quick questions in case there are any in the report.
[01:15:48.000 --> 01:15:59.000]   Yes, thanks, Kevin. I kind of messed that up. But you're defining a function and then calling in the item. Thanks for that.
[01:15:59.000 --> 01:16:09.000]   Do you think pandas will ever be brought into the Python Native Library? I'm not sure. To be honest, it's something I use in my daily basis.
[01:16:09.000 --> 01:16:17.000]   But you're kind of surprised it isn't native. I am, too. I'm really surprised. But I guess it's its own package, which is very well supported.
[01:16:17.000 --> 01:16:26.000]   So those are just the questions. I guess there's no more questions for multilabel classification that we're doing so far.
[01:16:26.000 --> 01:16:37.000]   We will kind of wrap up until this point, until we reach binary cross entropy today.
[01:16:37.000 --> 01:16:43.000]   So we're going to look at binary cross entropy next. But right now, then, see how now you've converted everything.
[01:16:43.000 --> 01:16:50.000]   Like this is how you've kind of now made your labels look like this.
[01:16:50.000 --> 01:16:56.000]   What if you want to find, if you have labels like this, what if you want to find what labels for this are?
[01:16:56.000 --> 01:17:02.000]   In Python, or sorry, in PyTorch, you have something called a torch.where.
[01:17:02.000 --> 01:17:10.000]   So let's see my data sets. If I grab my data sets.train and I grab the first item of my data set, then this becomes my image.
[01:17:10.000 --> 01:17:17.000]   This becomes my label. And I want to see where is this label basically one or which categories are there.
[01:17:17.000 --> 01:17:26.000]   So if I just try and break this up, this is what something you should be doing on your own as well when you're trying to experiment things.
[01:17:26.000 --> 01:17:32.000]   You want to understand what this does is you break it up. So you do like this, data sets.train.
[01:17:32.000 --> 01:17:40.000]   So it's telling me at this index is where it is true, or basically that's the place where this category is one.
[01:17:40.000 --> 01:17:47.000]   So then you could say torch.where at this point.
[01:17:47.000 --> 01:17:53.000]   And it will return the index. It will say, OK, that's the index number 11.
[01:17:53.000 --> 01:18:01.000]   So you could actually basically torch.where just returns the index of all the places where things are.
[01:18:01.000 --> 01:18:10.000]   Oh, it expects things to be tensor, not list. One second.
[01:18:10.000 --> 01:18:16.000]   Right. So it just returns the indexes of things where things are true and it won't return the index of things where things are false.
[01:18:16.000 --> 01:18:21.000]   If I made that true as well, it's going to say at index zero, at index one, index two, things are true.
[01:18:21.000 --> 01:18:27.000]   And if all were false, it shouldn't return anything.
[01:18:27.000 --> 01:18:32.000]   So it's saying, OK, there's no place or there's no index in this list where things are true.
[01:18:32.000 --> 01:18:38.000]   So that's what we're doing. We're just finding give me the indexes of the places where my category is one.
[01:18:38.000 --> 01:18:47.000]   And it says, OK. The index where the thing is one is basically index 11.
[01:18:47.000 --> 01:18:52.000]   And then my data sets or my train data set has something called as a bocap.
[01:18:52.000 --> 01:18:59.000]   So this what it does is I remember we started with labels like this.
[01:18:59.000 --> 01:19:04.000]   We started with TV monitor. We started with train. Basically, they were strings.
[01:19:04.000 --> 01:19:09.000]   And because and we started with labels like motorbike, person and car.
[01:19:09.000 --> 01:19:15.000]   And because PyTorch or like your deep learning models can't accept strings, they need to be converted to numbers.
[01:19:15.000 --> 01:19:21.000]   So what happened underneath what PyTorch did is it created a list like this.
[01:19:21.000 --> 01:19:25.000]   Everywhere it saw airplane, that's what became one and everywhere it saw.
[01:19:25.000 --> 01:19:33.000]   So basically, all of these are like different indexes. So your TV monitor in this is your final index in your bocap.
[01:19:33.000 --> 01:19:38.000]   Which is, I guess, would be the 19th index. So that's what's happening underneath.
[01:19:38.000 --> 01:19:49.000]   So you can in this bocap, then you can pass that index and you can say, OK, the category or like the category for this.
[01:19:49.000 --> 01:19:56.000]   The category for my label, that's one hard encoded this way is a dog.
[01:19:56.000 --> 01:20:05.000]   That's the we're getting to the final bits now. So until now, we've been able to convert everything and we've been able to use every column.
[01:20:05.000 --> 01:20:11.000]   But if you remember, my data frame also had this column called is valid.
[01:20:11.000 --> 01:20:33.000]   So if we don't pass a splitter, which is if we don't pass this and we just do something like this.
[01:20:33.000 --> 01:20:43.000]   I'm just not using the splitter and I'm trying to show you something. One second, please.
[01:20:43.000 --> 01:20:56.000]   So if I just do something like this and I don't use my splitter, then what it does is it's actually going to randomly split my data set into train and validation.
[01:20:56.000 --> 01:21:05.000]   But what we and you can see how 80 percent of that goes into training and basically 20 percent of that goes into valid.
[01:21:05.000 --> 01:21:13.000]   But then what's happening is like we want to split things by this column, which is the df is valid.
[01:21:13.000 --> 01:21:27.000]   So what we can do is we want to split things by this column. So what we can do is we can have the indexes.
[01:21:27.000 --> 01:21:36.000]   Of every row where this is basically my training set, because if it's valid is true, that means it's not the training set.
[01:21:36.000 --> 01:21:43.000]   It means it's the validation set. So we could have the list of indexes everywhere this is false because that becomes your training set.
[01:21:43.000 --> 01:21:51.000]   And then we could also have a list of indexes everywhere it is true that becomes your validation set.
[01:21:51.000 --> 01:21:56.000]   So when you have your list of indexes like this, your train and val, this is what it is doing.
[01:21:56.000 --> 01:22:08.000]   It's basically just returning indexes. And then when you pass that into your splitter, which is your list of two indexes, it will divide your training and validation set that way.
[01:22:08.000 --> 01:22:20.000]   So now if I do that. One second, I just want to show you. This and I want to show you the length of.
[01:22:20.000 --> 01:22:33.000]   My train and length of my valid. So you can see how now I should expect 2500 in my train and 2510 basically 2510 in my valid.
[01:22:33.000 --> 01:22:42.000]   So let's check that and see if the length of my training and validation sets are that.
[01:22:42.000 --> 01:22:50.000]   I keep calling it well, it should be valid. So there it is. So now that has worked. So basically we've been able to split our data set using this column.
[01:22:50.000 --> 01:22:55.000]   So what a splitter. So these are all things we're just going deeper and deeper into fast AI.
[01:22:55.000 --> 01:23:03.000]   So now you know exactly what splitter is. Now you know what the blocks are used for. Now you know what getX and getY are.
[01:23:03.000 --> 01:23:09.000]   And splitter is then just providing an indexes that that's the way how you split your models.
[01:23:09.000 --> 01:23:17.000]   And then finally, this is everything together. So now we can create our data block by passing in my image block multi category block.
[01:23:17.000 --> 01:23:26.000]   I can pass in my splitter, my getX function that returns the file name, my get sorry the path to my file, my getY that returns the label.
[01:23:26.000 --> 01:23:33.000]   And then something else I want to do is just because I want all of my images to be of the same size in fast AI.
[01:23:33.000 --> 01:23:40.000]   Remember, we've already looked at item transforms. We've already looked at batch transforms. So I can just pass in an item transform.
[01:23:40.000 --> 01:23:46.000]   And now I can say DLs.showBatch and that will work. It will say this is my image.
[01:23:46.000 --> 01:23:51.000]   I want to do showBatch again because I want to find an example where there's two labels.
[01:23:51.000 --> 01:23:57.000]   And there it is a chair in person in this one. Bus here, cat here. We can look at more examples.
[01:23:57.000 --> 01:24:07.000]   So dog in person in this image. So right now, that's it. We've been able to now create our data loader for multi-label classification.
[01:24:07.000 --> 01:24:15.000]   We will look at how things how we will train this in our next session next week.
[01:24:15.000 --> 01:24:23.000]   We will look at how the loss needs to change between multi-label classification and standard single label classification.
[01:24:23.000 --> 01:24:30.000]   So that's next week. Let me see if I have some questions. How to read a downloaded zip file of images?
[01:24:30.000 --> 01:24:39.000]   You can just use Untar Data. Untar Data will unzip it for you. And you should be able to basically get a path.
[01:24:39.000 --> 01:24:43.000]   So yeah, try Untar Data for that.
[01:24:43.000 --> 01:24:49.000]   All right. Then in terms of homework or things you can do this week is please read until this point.
[01:24:49.000 --> 01:24:55.000]   Read the PetBreeze chapter. See if you can find good points. Try and experiment with learning rate finder experiment,
[01:24:55.000 --> 01:24:58.000]   with transfer learning experiment, with all of these different things.
[01:24:58.000 --> 01:25:05.000]   And then when you're doing multi-label, then read until this point that you can construct your own data blocks.
[01:25:05.000 --> 01:25:11.000]   But this is the point where now you can start experimenting and playing around with different data sets.
[01:25:11.000 --> 01:25:17.000]   But that's something we will talk about next week. We will talk about a little bit about Kaggle
[01:25:17.000 --> 01:25:22.000]   and how when we finish this chapter, then you should be able to pick up different data sets
[01:25:22.000 --> 01:25:27.000]   and you should be able to experiment with Kaggle. So we'll talk about that next week.
[01:25:27.000 --> 01:25:31.000]   So let me see if there's any questions. No more questions. Cool.
[01:25:31.000 --> 01:25:36.000]   Everybody, thank you very much for meeting us today.
[01:25:36.000 --> 01:25:41.000]   Again, apologies for the technical difficulties, but that should be fixed by next week.
[01:25:41.000 --> 01:25:50.000]   Thanks, Angelica, for setting the YouTube live link for us today. And thanks, Ravi, for pointing that out to us.
[01:25:50.000 --> 01:25:52.000]   So thanks, everybody. See you next week.
[01:25:52.000 --> 01:25:57.000]   [END]
[01:25:57.000 --> 01:26:02.000]   [END]
[01:26:02.000 --> 01:26:07.000]   [END]
[01:26:07.000 --> 01:26:12.000]   Thank you.

