
[00:00:00.000 --> 00:00:05.400]   Hey, everybody, welcome to the all in podcast. I'm your moderator for the week Dave Friedberg
[00:49:14.400 --> 00:49:19.680]   Messi is not an athlete in this deal. I think going back to a theme that we've talked about a lot is
[00:49:19.680 --> 00:49:22.280]   He is this
[00:49:22.280 --> 00:49:25.720]   Ultimate penultimate whatever. He's an elite content creator
[00:49:25.720 --> 00:49:29.160]   He's the equity who is now creating
[00:49:29.160 --> 00:49:35.960]   Incredible who will come to the United States to create this incredible content that will move viewership move merchandise
[00:49:35.960 --> 00:49:41.440]   And he's gonna monetize that so it's effectively like becoming the Jordan brand
[00:49:41.840 --> 00:49:45.880]   Getting a piece of Netflix all in one. He has the equity in those businesses basically
[00:49:45.880 --> 00:49:52.240]   Yeah, there's a subtle point Schmott's making in the deal. You have the person who's responsible for distribution
[00:49:52.240 --> 00:49:56.240]   so this would be the same as like the NBA on ABC ESPN or TNT and
[00:49:56.240 --> 00:50:01.880]   TNT or ESPN saying you know what you're so important LeBron James to play in this or Steph Curry
[00:50:01.880 --> 00:50:05.960]   We're gonna give you a piece of the subscriptions to ESPN
[00:50:06.120 --> 00:50:12.320]   So Apple is giving him rev share on their Apple TV League pass for MLS
[00:50:12.320 --> 00:50:16.480]   That's nuts like and this is I think it goes back to the live
[00:50:16.480 --> 00:50:21.840]   Deal with PGA, which is people are looking at these sports leagues and saying let's get creative
[00:50:21.840 --> 00:50:27.440]   It goes back to a different one. The the NBA just signed a new collective bargaining agreement that they're gonna ratify
[00:50:27.440 --> 00:50:35.160]   I always thought that the real thing that the NBA Players Association should be asking for equity was equity
[00:50:35.200 --> 00:50:40.920]   Yeah, and that equity could be phantom equity and the teams because it's clear that in the absence of the players
[00:50:40.920 --> 00:50:47.920]   There's no viewership and there's no appreciation in the value of those franchises. And so the idea that LeBron
[00:50:47.920 --> 00:50:51.360]   You know Steph Dre KD
[00:50:51.360 --> 00:50:59.720]   Don't own a huge piece of the underlying equity gains that they're creating in the period in which their players is pretty crazy now
[00:51:00.120 --> 00:51:07.640]   the ownership their perspective is while we translate that in terms of rev share, but it's really not true because if you look at the
[00:51:07.640 --> 00:51:13.720]   Kager the IRR of the franchise values versus the K gring of the salaries. They're not equivalent
[00:51:13.720 --> 00:51:17.160]   Yeah, so I just think it has huge implications
[00:51:17.160 --> 00:51:21.120]   to all the professional sports leagues because these big stars
[00:51:21.120 --> 00:51:25.720]   Should be asking their agents and their managers. How do I do a deal like Messi?
[00:51:25.720 --> 00:51:32.600]   I am the ultimate content creator in my league. The dynamics are changing it will it will no longer be an employee
[00:51:32.600 --> 00:51:36.360]   Capital labor situation, but capital is merging with labor
[00:51:36.360 --> 00:51:43.000]   Bravo and labor labor is basically becoming the equity in the equation and they are going to pursue the business just like
[00:51:43.000 --> 00:51:49.200]   And we're and by the way, the reason we see it happening so much is because of the social media age and it's really incredible
[00:51:49.200 --> 00:51:53.800]   It's but it wasn't like that. I know you have more to say we all have more to say
[00:51:53.800 --> 00:51:58.600]   I just want to highlight I need to go I have to go to a kindergarten graduation. Congratulations
[00:51:58.600 --> 00:52:05.080]   Congrats close to chef you I love you guys. I'll see you later. Adios. Congrats. Thank God. Bye. Well, what's really interesting?
[00:52:05.080 --> 00:52:10.200]   Chamath to your point about the CBA is they're gonna make these huge salaries
[00:52:10.200 --> 00:52:13.440]   They're not gonna give them the equity as part of
[00:52:13.440 --> 00:52:15.800]   their
[00:52:15.800 --> 00:52:17.800]   Five-year deal they make the money
[00:52:17.800 --> 00:52:22.800]   They then have the ability to invest in a team so you can be LeBron and you could be investing in the Knicks
[00:52:22.800 --> 00:52:27.040]   Maybe if somebody wanted to sell a percentage of it, you can invest in any NBA team
[00:52:27.040 --> 00:52:30.200]   Any sports betting team any sports betting?
[00:52:30.200 --> 00:52:32.400]   I actually think there's a simpler way to do this
[00:52:32.400 --> 00:52:35.400]   Which is it's it's I think it's fair to say that when you join a team
[00:52:35.400 --> 00:52:41.840]   It's like joining a company and you can create shadow equity and that shadow equity says you came in at this point
[00:52:41.840 --> 00:52:48.520]   Right you left at this point here was the Delta of the value and I think a good agent should be
[00:52:48.720 --> 00:52:54.000]   Negotiating on behalf of a player most players will not get that much a few basis points of that value
[00:52:54.000 --> 00:52:59.440]   Yeah, but the idea that a LeBron James can go to a Miami and double the franchise value double
[00:52:59.440 --> 00:53:04.880]   Yeah, right from you know, one or style it or Steph Steph steps a better
[00:53:04.880 --> 00:53:10.880]   Okay, great stuff comes in at 480 million and is now 5.3 billion. So that's a 10x thing plus of value
[00:53:10.880 --> 00:53:13.680]   You know is step responsible for 10 or 15 percent
[00:53:14.240 --> 00:53:20.240]   Should a billion dollars of that go to Steph Dre and clay. I think you can make a great claim that it could yeah
[00:53:20.240 --> 00:53:22.440]   Absolutely put them on the map. So yeah
[00:53:22.440 --> 00:53:28.080]   It would be and it would be pretty easy to do and what this might do is keep people on the same team longer
[00:53:28.080 --> 00:53:30.600]   Which is what fans want exactly why people moving around?
[00:53:30.600 --> 00:53:35.120]   That's a great point and private companies like Cargill or Koch Industries
[00:53:35.120 --> 00:53:41.120]   They have these shadow equity programs that they've had for years for decades that they've run on behalf of their employees
[00:53:41.120 --> 00:53:43.120]   So we know how to run
[00:53:44.120 --> 00:53:45.160]   phantom
[00:53:45.160 --> 00:53:48.040]   phantom equity programs in private businesses and
[00:53:48.040 --> 00:53:54.080]   I just think the leadership of the NBA Players Association the NFL Players Association is
[00:53:54.080 --> 00:53:56.720]   Right now still lacking the sophistication
[00:53:56.720 --> 00:54:04.960]   To understand this well enough to then propose when the next time it is to to negotiate this kind of a deal
[00:54:04.960 --> 00:54:09.880]   But when you see things like this messy deal, I think it's a game changer
[00:54:09.880 --> 00:54:14.040]   It is a game changer and I think for sports, I don't know if you saw
[00:54:14.040 --> 00:54:19.080]   Adam Silver gave you know a little press conference with the finals and everything
[00:54:19.080 --> 00:54:21.440]   He was talking about the J. Murrah Moran situation with the guns
[00:54:21.440 --> 00:54:23.200]   It's just a lot of like topics coming up
[00:54:23.200 --> 00:54:29.760]   But one of the topics that was probably under appreciated was he was talking about the bundle the cable bundles going away
[00:54:29.760 --> 00:54:36.560]   And that people can't watch like the TNT a NBA on TNT, whatever that is with, you know, Charles Barkley, etc
[00:54:36.560 --> 00:54:37.720]   and
[00:54:37.720 --> 00:54:39.720]   He wants that to be available for free
[00:54:39.720 --> 00:54:41.840]   So he's gonna challenge people in the new TV deal
[00:54:41.840 --> 00:54:43.320]   If you want to have the NBA
[00:54:43.320 --> 00:54:48.680]   You have to have it available to every because the number of people who can see NBA games has been going down
[00:54:48.680 --> 00:54:55.560]   I have a question for you because you think more people do you think more people would pay for a subscription to watch the Knicks?
[00:54:55.560 --> 00:54:56.440]   games
[00:54:56.440 --> 00:54:59.760]   Wherever they happen to be all over the world or a subscription to watch Steph Curry
[00:54:59.760 --> 00:55:04.880]   No matter what team he plays on hmm, the old generations are loyal to the teams the new generations well to players
[00:55:04.880 --> 00:55:12.320]   So it's a generational miracle numerical question, which one's great. It's probably a jump ball right now, but it will eventually be they'll follow the players
[00:55:12.320 --> 00:55:19.400]   Because this new generation follows players like our kids like I don't think Ron from I've seen to take I think you could probably sell
[00:55:19.400 --> 00:55:24.360]   A few hundred thousand subscriptions to the Knicks and I think you'd sell mid millions for stuff
[00:55:24.360 --> 00:55:31.720]   What's gonna happen now is I think they're going to they just want this to be ad based and to directly subscribe
[00:55:31.720 --> 00:55:35.240]   So I directly subscribe to the NBA I get every game for $200 a year with no ads
[00:55:35.240 --> 00:55:37.880]   You know what? You know what we should do. I actually have a great idea
[00:55:37.880 --> 00:55:42.960]   What we should do is we go we should what live did to the PGA we should do to the NBA. Let's get together
[00:55:42.960 --> 00:55:51.600]   20 billion dollars. Let's start a competitive NBA League where we give the players all there is a structured phantom equity plan
[00:55:51.600 --> 00:55:57.080]   Pay these guys a hundred million bucks a year get all the big guys to come everybody else will come
[00:55:57.080 --> 00:55:59.160]   And just blow the whole thing wide open
[00:55:59.160 --> 00:56:04.640]   By the way, that's the blueprint now if you want to really compete with the with the NFL or the NBA or the NHL
[00:56:04.640 --> 00:56:08.440]   This is what you should do put together 20 or 30 billion, which is not that much money and
[00:56:08.440 --> 00:56:09.920]   Go for it
[00:56:09.920 --> 00:56:12.640]   You only need to get a couple of stars to blow it up
[00:56:12.640 --> 00:56:15.880]   And if you give stars the equity in the league, they'll convince all the other players to come
[00:56:15.880 --> 00:56:20.640]   I'll give let's give sacks some red meat here you sacks. I'll give you a little red meat. You want Tucker on Twitter
[00:56:20.640 --> 00:56:24.240]   There's your red meat choices as we wrap you want Tucker on Twitter?
[00:56:24.240 --> 00:56:26.920]   you want a
[00:56:27.120 --> 00:56:31.080]   Russian controlled dam being destroyed for a major flood or
[00:56:31.080 --> 00:56:35.880]   Do you want Chris Christie joining the race? Which red meat would you like?
[00:56:35.880 --> 00:56:38.680]   Which red meat we put in front of crazy hair
[00:56:38.680 --> 00:56:43.040]   Well, I mean what's happening Ukraine is really the big news this week. I mean
[00:56:43.040 --> 00:56:47.560]   offensive has well the Ukrainian counteroffensive has started in earnest and
[00:56:47.560 --> 00:56:51.720]   Yes in conjunction with that you're at the destruction of that major dam
[00:56:51.720 --> 00:56:56.400]   Which it's not clear who did it. I mean both sides are pointing the finger at each other
[00:56:56.720 --> 00:56:58.720]   so and there are
[00:56:58.720 --> 00:57:06.440]   Reasonable arguments for why either side may have done it in terms of who benefits it seems to benefit the Ukrainians more because
[00:57:06.440 --> 00:57:12.120]   the destruction of the dam washed out a bunch of Russian defensive fortifications and
[00:57:12.120 --> 00:57:16.480]   villages of Russian speakers on the other hand
[00:57:16.480 --> 00:57:20.080]   The Russians were in control of the dam
[00:57:20.080 --> 00:57:26.400]   So it would have been easier for them to carry it out if they had wanted to we just don't know but I think you
[00:57:26.400 --> 00:57:32.160]   Know events have now moved beyond that and we are now probably in the third or fourth day of the Ukrainian counteroffensive
[00:57:32.160 --> 00:57:34.480]   of course has not been officially declared, but there is
[00:57:34.480 --> 00:57:37.560]   major major fighting happening now where
[00:57:37.560 --> 00:57:40.800]   Ukrainian armored divisions are seeking to
[00:57:40.800 --> 00:57:46.000]   you know penetrate Russian defensive lines around Zaporizhzhia and
[00:57:46.000 --> 00:57:51.840]   So the long-awaited Ukrainian counteroffensive has certainly begun. How does the?
[00:57:52.800 --> 00:57:58.800]   The dam relate to the Nord Stream pipeline because these are both situations where people are like who actually did it
[00:57:58.800 --> 00:58:01.600]   What's their motivation and let's face it. These are
[00:58:01.600 --> 00:58:04.520]   chaotic actors at times and
[00:58:04.520 --> 00:58:08.480]   Figuring out who has the motivation to do these things
[00:58:08.480 --> 00:58:16.200]   Seems like a leveling up kind of game because you can't put it past either party in some cases, but in the case of Nord Stream
[00:58:16.200 --> 00:58:21.680]   People saying hey, it was the Ukraine, but then there's this argument that the Ukraine's not capable of doing it
[00:58:21.680 --> 00:58:24.960]   Or maybe it was sanctioned by the US or the West and then executed by Ukraine
[00:58:24.960 --> 00:58:28.520]   But where do you wind up with all these so on Nord Stream?
[00:58:28.520 --> 00:58:36.360]   We're now on our third cover story the CIA sourcing their stenographers at the Washington Post have now claimed that it was six
[00:58:36.360 --> 00:58:39.560]   Ukrainian dudes in a yacht who blew up Nord Stream
[00:58:39.560 --> 00:58:45.560]   No, seriously, and if you look at this boat, I'll put a photo of the boat on the screen. It's it's pretty silly
[00:58:45.560 --> 00:58:51.040]   It's a 10 great. Yeah, the Ukrainians do not have a Navy and they certainly don't have Navy SEALs
[00:58:51.040 --> 00:58:57.560]   I don't believe they have the capability to by the way that this destruction of Nord Stream Nord Stream was this huge
[00:58:57.560 --> 00:59:00.280]   underwater steel and concrete
[00:59:00.280 --> 00:59:03.000]   Structure, it's not that deep though
[00:59:03.000 --> 00:59:08.920]   Cuz it's only a hundred fifty or two hundred feet deep at the lower points deep enough and it took a lot of explosives
[00:59:08.920 --> 00:59:15.320]   So they had to know what they were doing. So I dove 120 feet once so it's but the point is that when when Nord Stream
[00:59:15.320 --> 00:59:16.960]   was first destroyed
[00:59:16.960 --> 00:59:22.040]   The media rushed out to say well the Russians did it even though the Russians had no motive to do it
[00:59:22.040 --> 00:59:25.280]   It was their own is their pipeline. They could just turn it off if they wanted to
[00:59:25.280 --> 00:59:30.360]   But this is what we hear is that every time something destructive happens, it's the Russians did it
[00:59:30.360 --> 00:59:32.920]   Why would they attack themselves because they're so crazy?
[00:59:32.920 --> 00:59:39.320]   We heard this with Nord Stream when Belgorod which is a Russian district just across the border from Ukraine was attacked
[00:59:39.320 --> 00:59:44.480]   It was claimed that the Russians did it. These were Russian insurgents. No, that's pretty silly
[00:59:44.600 --> 00:59:50.480]   It was Ukrainians dressed in Russian uniforms and just recently when there were drone attacks on Moscow
[00:59:50.480 --> 00:59:55.720]   We were also told that oh, it wasn't Ukrainians who did it was Russian dissidents or something, which again makes no sense
[00:59:55.720 --> 00:59:58.360]   so this is not to say that
[00:59:58.360 --> 01:00:01.960]   The Russians didn't blow up that dam is just to say that
[01:00:01.960 --> 01:00:06.800]   Whenever the story is rushed out that the Russians did something highly destructive you have to
[01:00:06.800 --> 01:00:12.400]   We need to see some evidence here and we just don't know it's just hard to know the fog of war is thick
[01:00:13.240 --> 01:00:15.880]   All right. What did you think of Tucker's first?
[01:00:15.880 --> 01:00:22.200]   Show it's getting sued but he got the tweet got at least like 90 million views
[01:00:22.200 --> 01:00:24.480]   Which means the video probably got 10% of that or something
[01:00:24.480 --> 01:00:30.040]   So probably video yesterday was at 17 million views or something like that. So I'm sure it's more today
[01:00:30.040 --> 01:00:35.160]   So no, he's getting huge distribution through Twitter arguably. It's more distribution
[01:00:35.160 --> 01:00:39.280]   It's almost certainly more distribution than they got through Fox Fox was 3 million, right?
[01:00:39.280 --> 01:00:43.320]   Yeah, that's how many viewers he gets on Fox. Yeah. Well Fox is half of that now because they've
[01:00:43.320 --> 01:00:46.880]   They've attracted so much viewership after Tucker left
[01:00:46.880 --> 01:00:52.960]   But look the only thing that I think Tucker got through Fox was access to frankly a viewership base
[01:00:52.960 --> 01:00:59.520]   That's not very online. There are a lot of old people who watch Fox who just aren't on social media. That's it though
[01:00:59.520 --> 01:01:03.480]   Everybody else can see it on Twitter and he's getting more distribution on Twitter
[01:01:03.480 --> 01:01:06.600]   Super distribution is the way to go
[01:01:06.600 --> 01:01:08.680]   He's gonna get
[01:01:08.680 --> 01:01:15.960]   25 million people and of course monetizing it is the hard part because Fox is subscription revenue and everything else is
[01:01:15.960 --> 01:01:21.480]   He's creating a list, you know, he advertised the website Tucker Carlson calm at the end of his
[01:01:21.480 --> 01:01:27.120]   Video and you can go there and sign up for you subscribe direct and get it on his website
[01:01:27.120 --> 01:01:31.360]   I don't think he's monetizing it yet, but you can sign up for alerts and so forth
[01:01:31.360 --> 01:01:36.280]   So he's clearly creating a list of some kind. That's probably because he yeah with his
[01:01:36.800 --> 01:01:40.720]   Contract is still getting paid. And so he's like, yeah daily wire is the model
[01:01:40.720 --> 01:01:46.640]   I mean, they they have got well over a hundred million in revenue. I understand and they have a massive subscription business
[01:01:46.640 --> 01:01:49.080]   So there's a clear path there. All right. Hey listen for the
[01:01:49.080 --> 01:01:51.840]   world's greatest moderator
[01:01:51.840 --> 01:01:54.760]   living in the Bay Area David Friedberg and
[01:01:54.760 --> 01:02:00.560]   the dictator himself Chamath Palihapitiya and the architect hosting any number of
[01:02:01.280 --> 01:02:07.840]   Fundraisers for any number of politicians David Sachs the rain man. I am the world's greatest moderator taking a week off
[01:02:07.840 --> 01:02:15.320]   We'll see you next week. Oh and enjoy some Q&A here from the live angels summit hundred people in Napa. Thanks for coming besties
[01:02:15.320 --> 01:02:19.640]   I appreciate you. Love your voice during the event. Love you besties. See you next time. Bye. Bye. Bye. Bye
[01:02:19.640 --> 01:02:23.160]   All right, welcome to a baptism
[01:02:23.160 --> 01:02:27.360]   John the Baptist
[01:02:27.480 --> 01:02:31.320]   Are you ready to accept Christ freeberg into your soul I
[01:02:31.320 --> 01:02:35.200]   Honestly have no idea what I'm doing here. I've I
[01:02:35.200 --> 01:02:42.240]   Have no idea who these people are or what this is or why you're all wearing white. I
[01:02:42.240 --> 01:02:47.800]   Mean seriously, I'm sure you're very nice people, but I have no idea what this is
[01:02:47.800 --> 01:02:54.880]   Have you seen the wicker man? Jake? I was like we're taping an episode in Napa and I'm like what on a you know off day
[01:02:56.880 --> 01:03:03.240]   Monday are you okay, buddy? Yeah, you low blood sugar. Yeah, actually I do bring us like a cheese plate or something
[01:03:03.240 --> 01:03:07.400]   Guacamole and chips
[01:03:07.400 --> 01:03:11.840]   Please but honestly like I didn't sign up for this. I thought we I
[01:03:11.840 --> 01:03:18.800]   Thought we disagreed to a podcast and somehow we've been roped into doing some dog and pony show for
[01:03:18.800 --> 01:03:25.040]   By the way, is that true these are a bunch of your LPS as well
[01:03:25.040 --> 01:03:27.040]   You just have never met them
[01:03:27.040 --> 01:03:31.920]   Literally, okay, I'll drink it. Yes. Yes, sir
[01:03:31.920 --> 01:03:38.040]   Literally, someone's like Jake out. I'm with this incredible endowment. We're incredibly successful. I'm like, oh, that's great. Yes, you heard
[01:03:38.040 --> 01:03:42.000]   I'm raising a fund. They're like no no, no, no. No, um, we heard sax is gonna be here
[01:03:42.000 --> 01:03:45.940]   I'm like, yeah, you want to meet him invest in front? Oh, no, we've invested in all his funds. We just never met him
[01:03:45.940 --> 01:03:50.120]   And so wow, that's one way
[01:03:52.320 --> 01:03:55.560]   Two things they've never seen sacks and a distribution
[01:03:55.560 --> 01:04:04.120]   Fucking decision, whoever you are. You're a real fucking genius back there
[01:04:04.120 --> 01:04:09.040]   Except for the fun we already paid back. Oh
[01:04:09.040 --> 01:04:14.640]   My god, I lost control of it in the first 90 seconds
[01:04:14.640 --> 01:04:19.400]   Why should tonight be any different except for the five-year-old fun? That's already fully returned
[01:04:22.080 --> 01:04:23.520]   So
[01:04:23.520 --> 01:04:28.800]   Welcome to the angel summit. These are my besties. We do a podcast called all in we thought we'd do it live
[01:04:28.800 --> 01:04:30.280]   this is the
[01:04:30.280 --> 01:04:33.440]   Fourth time we've ever appeared on stage together
[01:04:33.440 --> 01:04:39.000]   The first two times were at freeberg's LP conference in the Presidio. Yeah, I
[01:04:39.000 --> 01:04:41.800]   Resented that one, too
[01:04:41.800 --> 01:04:46.600]   Coming out to see humans
[01:04:47.480 --> 01:04:49.480]   Came out in his mask. He took his gloves off
[01:04:49.480 --> 01:04:52.600]   It was very uncomfortable for him, but he eased into a seat
[01:04:52.600 --> 01:04:55.960]   And then of course we did the all-in summit last year in Miami and
[01:04:55.960 --> 01:04:59.400]   This is the fourth time. So it's great to be out here
[01:04:59.400 --> 01:05:01.440]   We have a couple of news items on the docket
[01:05:01.440 --> 01:05:06.880]   We could start with or we can go right to Q&A with these many audience members who have a lot of questions
[01:05:06.880 --> 01:05:08.880]   What would you gentlemen like to do?
[01:05:08.880 --> 01:05:11.160]   Chamath has a few words. He'd like to say go ahead
[01:05:11.160 --> 01:05:16.000]   Chamath is drunk by the way, he texted us
[01:05:16.640 --> 01:05:21.800]   You can see that grin on his face. That's the Chamath grin. He gives when he decided
[01:05:21.800 --> 01:05:29.200]   That he would not have LPS and he would just invest his own money he does not care
[01:05:29.200 --> 01:05:36.640]   So it's the gloves are off. Let's do Q&A Jay Levy's is sacks. What's the path for DeSantis to win the nomination?
[01:05:36.640 --> 01:05:40.480]   And get the base of Trump Oh red meat. Oh good
[01:05:41.640 --> 01:05:47.840]   Here we go. I think the path basically is he has to win Iowa and or New Hampshire. It's just that simple
[01:05:47.840 --> 01:05:54.720]   But keep in mind that Trump did not win Iowa last or in 2016 Ted Cruz did
[01:05:54.720 --> 01:05:59.480]   Iowa tends to be more religious. I think Santas is trying to
[01:05:59.480 --> 01:06:03.800]   outflank Trump on the right actually on certain issues and
[01:06:03.800 --> 01:06:10.400]   So he's on the ground there campaigning. I for I understand he's generating a lot of interest and enthusiasm
[01:06:11.400 --> 01:06:15.320]   And he's gonna keep plugging away at it. I think he's gonna out hustle Trump
[01:06:15.320 --> 01:06:21.000]   I'm not saying he's gonna win but I think he's gonna work harder and the path would be that over the next
[01:06:21.000 --> 01:06:28.640]   What is it like nine months that Trump's style and message which is admittedly much more entertaining than DeSantis
[01:06:28.640 --> 01:06:32.320]   but kind of fatiguing whether that kind of gets old and
[01:06:32.320 --> 01:06:39.680]   DeSantis is more like disciplined messaging people just kind of wake up and say, you know what like I don't really want to go back to
[01:06:39.680 --> 01:06:41.680]   the chaos of
[01:06:41.680 --> 01:06:44.040]   the whole Trump show at this seems like
[01:06:44.040 --> 01:06:46.680]   better to me so
[01:06:46.680 --> 01:06:52.840]   That's basically what I think has to happen is Trump fatigue has to set in and people realize that there's a different
[01:06:52.840 --> 01:06:55.400]   Was that CNN Town Hall a sign that?
[01:06:55.400 --> 01:07:02.560]   Some group of people find him incredibly entertaining and the media themselves want him back because it's great for ratings
[01:07:02.560 --> 01:07:05.240]   I'll uh Mencken on session or
[01:07:06.480 --> 01:07:10.480]   Is it a sign that like my god, that's so fucking exhausting like you're saying sacks
[01:07:10.480 --> 01:07:11.040]   What do you think?
[01:07:11.040 --> 01:07:17.640]   I think that the the base like the town hall because it was Trump walking into the lion's den
[01:07:17.640 --> 01:07:23.400]   Standing up to the mainstream media, which is what they like, but I don't think it did anything to help him in the general
[01:07:23.400 --> 01:07:25.360]   because I think that
[01:07:25.360 --> 01:07:26.960]   viewers who
[01:07:26.960 --> 01:07:33.280]   Don't like Trump or aren't entertained by Trump. I mean, there's nothing there to really grab on to I don't think so
[01:07:33.880 --> 01:07:37.920]   But but look I think your point about who does the media want to get the Republican nomination?
[01:07:37.920 --> 01:07:41.200]   Definitely Trump because he's good for ratings
[01:07:41.200 --> 01:07:44.200]   And it really is that simple and they think they can beat him
[01:07:44.200 --> 01:07:48.480]   So right now the Biden people the Trump people and the media all
[01:07:48.480 --> 01:07:57.000]   want Trump over to Santas and that is why like to Santa's is getting dispatched by everybody right now is because
[01:07:57.000 --> 01:08:00.360]   You know, everyone's kind of aligned on this
[01:08:00.360 --> 01:08:05.720]   but the minute that Trump gets the nomination is all gonna turn the media all of a sudden is gonna turn on Trump and
[01:08:05.720 --> 01:08:10.920]   Then we're gonna see what the real campaign is gonna be a Santa's is in show business as they said on secession
[01:08:10.920 --> 01:08:15.960]   Was that the quote you show business? He's box office. He's not box. Yeah, just add this is a box office
[01:08:15.960 --> 01:08:22.480]   He's a somebody who actually can execute right, right, but also that's that's why he'd be a good move for Republicans
[01:08:22.480 --> 01:08:25.920]   I think is because he doesn't give the Democrats as much to work with. Yeah
[01:08:25.920 --> 01:08:31.160]   All right, entertaining, but he gives his enemies so much to work with. All right, another question from the back
[01:08:31.160 --> 01:08:33.440]   Go ahead stand up. Tell us your name. Yeah
[01:08:33.440 --> 01:08:36.160]   Sal Dacher from Boston and
[01:08:36.160 --> 01:08:41.320]   The question is much less exciting
[01:08:41.320 --> 01:08:48.600]   regarding sort of in the problem of bank bank runs and bank insurance by the Fed and
[01:08:48.600 --> 01:08:53.920]   bailing out, you know average people bailing out wealthy people I
[01:08:55.560 --> 01:08:57.640]   Have heard a lot of solutions about this I've been
[01:08:57.640 --> 01:09:00.280]   So careers and banking for a while
[01:09:00.280 --> 01:09:05.840]   the idea of having senior management and the board have direct liability
[01:09:05.840 --> 01:09:09.800]   If the feds have to step in to rescue the bank
[01:09:09.800 --> 01:09:13.080]   Do you think that that could be a step in the right direction in?
[01:09:13.080 --> 01:09:19.400]   Preventing banks from taking risks. They really shouldn't have taken I mean the 2008 disaster
[01:09:19.400 --> 01:09:21.760]   The subprime crisis could have been addressed with this
[01:09:21.760 --> 01:09:27.120]   I think this crisis with SVP could have been addressed with management just having a lot more to lose
[01:09:27.120 --> 01:09:31.400]   Okay, so let me just first take issue with the terminology of bailout
[01:09:31.400 --> 01:09:37.680]   I know that's what everyone calls it a bailout in my mind is when the shareholders of the bondholders of the bank get bailed out
[01:09:37.680 --> 01:09:45.680]   By taxpayers that happened in 2008. It did not happen here here. The question was whether depositors get made whole or not. I
[01:09:45.680 --> 01:09:48.200]   Personally don't consider that a bailout
[01:09:48.200 --> 01:09:54.360]   I understand that there are people who do but it is a slightly different issue as to the bank management, you know
[01:09:54.360 --> 01:09:58.720]   You're talking about like a strict liability standard here that
[01:09:58.720 --> 01:10:05.960]   I mean basically you're talking about piercing the corporate veil and making the bank executives and their
[01:10:05.960 --> 01:10:08.480]   directors liable for
[01:10:08.480 --> 01:10:10.120]   mismanagement of the bank and
[01:10:10.120 --> 01:10:11.840]   That is that's a pretty high bar
[01:10:11.840 --> 01:10:16.520]   That's a really high bar and the problem with it is that I would never serve on the board of a bank
[01:10:16.520 --> 01:10:20.120]   I mean, I probably wouldn't anyway, but if you told me that I could be
[01:10:20.120 --> 01:10:22.840]   liable piercing the bow
[01:10:22.840 --> 01:10:27.000]   Right, we have a thing called the business judgment rule, you know in
[01:10:27.000 --> 01:10:32.480]   Delaware where if directors and officers of the company perform
[01:10:32.480 --> 01:10:39.240]   Their job in a good faith way making the best decisions they can and it goes wrong
[01:10:39.240 --> 01:10:43.560]   They're not typically liable for that. Maybe the corporation's liable if they're not personally liable
[01:10:44.080 --> 01:10:46.080]   I'd look if you did that
[01:10:46.080 --> 01:10:52.560]   the managers wouldn't invest the cash in anything because they wouldn't want to take any risk of loss and
[01:10:52.560 --> 01:10:57.080]   In order to operate the business which has a bunch of people working there and a bunch of banks that they got to operate
[01:10:57.080 --> 01:10:58.720]   They're gonna charge you a fee to hold your money for you
[01:10:58.720 --> 01:11:03.840]   And so what happens is interest rates turn negative and you basically have to pay someone to hold your money for you
[01:11:03.840 --> 01:11:07.080]   And that's what's a little bit messed up about the way the banking system works today
[01:11:07.080 --> 01:11:12.200]   Is you're effectively giving a money manager the right to invest your money for you. They take your money
[01:11:12.200 --> 01:11:17.120]   they pay you a low interest rate may go invested in high interest rate stuff by taking on risk with your capital and
[01:11:17.120 --> 01:11:21.560]   Ultimately, they can take losses on that and if you want it to make them liable for those losses
[01:11:21.560 --> 01:11:27.240]   They're not going to take that risk and the bank is gonna have to change its business model from being an arbitrage business
[01:11:27.240 --> 01:11:31.480]   To being a service fee business and they're gonna have to figure out other ways to charge you service fees
[01:11:31.480 --> 01:11:36.720]   Including charging you to hold your money in order to make money and that's what a lot of the banks are now doing first
[01:11:36.720 --> 01:11:42.080]   Republic and others have now proclaimed that they're gonna start charging a lot more service fees to hold your money and they're gonna start taking
[01:11:42.080 --> 01:11:44.440]   A lot less risk, so we're already headed in that direction
[01:11:44.440 --> 01:11:48.720]   But that's fundamentally what I think would let's take another question from the audience
[01:11:48.720 --> 01:11:52.600]   Good evening. I'm Lisa song Sutton, Las Vegas, Nevada
[01:11:52.600 --> 01:11:58.000]   I'm GP in the veteran fund as investors you all invest in entrepreneurs
[01:11:58.000 --> 01:12:04.480]   Theoretically support American entrepreneurship. What role if any do you think VCS should have in?
[01:12:04.480 --> 01:12:09.360]   shaping advocating supporting conservative economic policy in the country
[01:12:09.360 --> 01:12:11.600]   Shemot
[01:12:11.600 --> 01:12:13.600]   zero
[01:12:13.600 --> 01:12:19.560]   I think that we have to know the role that you're doing if you're a venture investor
[01:12:19.560 --> 01:12:23.440]   which is you're buying a deep out of the money option and
[01:12:23.440 --> 01:12:28.280]   I think that you want to motivate the people that you are partnering with
[01:12:28.280 --> 01:12:32.040]   to take really thoughtful but outsized risks and
[01:12:32.040 --> 01:12:35.720]   So I don't think there's a lot of room for
[01:12:36.960 --> 01:12:39.200]   Conservativism I do think that there's room for
[01:12:39.200 --> 01:12:46.520]   misallocation of capital and I think that there's people that can help guide that but the reality is that when you start a company
