
[00:00:00.040 --> 00:00:09.540]  ensemble
[01:10:57.820 --> 01:10:57.820]   You know, this is even true in the case of like,
[01:10:57.820 --> 01:10:57.820]   You know, this is even true in the case of like,
[01:10:57.820 --> 01:10:57.820]   You know, this is even true in the case of like,
[01:10:57.820 --> 01:10:57.820]   You know, this is even true in the case of like,
[01:10:57.820 --> 01:10:57.820]   You know, this is even true in the case of like,
[01:10:57.820 --> 01:10:57.820]   You know, this is even true in the case of like,
[01:10:57.820 --> 01:10:57.820]   You know, this is even true in the case of like,
[01:10:57.820 --> 01:10:57.820]   You know, this is even true in the case of like,
[01:10:57.820 --> 01:10:57.820]   You know, this is even true in the case of like,
[01:10:57.840 --> 01:11:27.840]   Hamaas and PLO towards the Israeli government,
[01:11:27.840 --> 01:11:27.840]   Hamaas and PLO towards the Israeli government,
[01:11:27.840 --> 01:11:27.840]   Hamaas and PLO towards the Israeli government, at least the current coalition government,
[01:11:27.840 --> 01:11:27.840]   Hamaas and PLO towards the Israeli government, at least the current coalition government, is that there's a lot of incentive to sort of perpetuate violence to maintain power. There's a hunger for power and maintaining that power amongst the powerful. That's the way power works. So is there a worry you have about those in power not having the best interests of
[01:11:27.840 --> 01:11:27.840]   Hamaas and PLO towards the Israeli government, at least the current coalition government, is that there's a lot of incentive to sort of perpetuate violence to maintain power. There's a hunger for power and maintaining that power amongst the powerful. That's the way power works. So is there a worry you have about those in power not having the best interests of
[01:11:27.880 --> 01:11:34.880]   byte of its people. So those in power the PLO Hamas. Not not being incentivized towards peace towards justice.
[01:11:34.880 --> 01:11:57.860]   You know, looking at the PA is action today, it tells you a great deal about what they're interested in and what they're not interested in. And maybe the occupation is in their best interests. And you can infer similar things looking at Thomas. But if you're interested in the occupation, you can infer similar things looking at Thomas. But if you're
[01:11:57.900 --> 01:12:07.900]   like
[01:12:07.900 --> 01:12:16.900]   wh und, ,, Mod B rates driven as
[01:12:25.140 --> 01:12:34.060]   connect
[01:12:34.060 --> 01:12:53.360]   won a
[01:13:22.660 --> 01:13:22.660]   and
[01:15:17.820 --> 01:15:20.020]  ,
[01:15:20.020 --> 01:15:45.620]  � almost, in the I It i and, with,,,,,.
[01:15:47.320 --> 01:16:16.780]  berger:�I don't think it's fair. A twisted citizen is fair to all of the people whose homes are still in Haifa, in Nazareth, in Jaffa and so forth. I don't think it's fair that I'm going to have to travel to another country to visit my cousin who's married in Nazareth, for example. And beyond that, is this not possible?�
[01:16:16.780 --> 01:16:16.780]   Yeah.��I think that it's fair to have a twisted citizen who's married in Haifa, in Nazareth, in Jaffa, in so forth. And I don't think it's fair that I'm going to have to travel to another country to visit my cousin who's married in Nazareth, for example. And beyond that, is this not possible?�
[01:16:16.780 --> 01:16:16.780]   ���I don't think it's fair that I'm going to have to travel to another country to visit my cousin who's married in Nazareth, for example. And beyond that, is this not possible?�
[01:16:16.820 --> 01:16:46.780]  , ��I think that it's fair that I'm going to have to travel to another country to visit my cousin who's married in Nazareth, for example. And beyond that, is this not possible?�
[01:16:46.820 --> 01:16:52.540]  que
[01:16:52.540 --> 01:16:57.740]  , Dziękuję
[01:16:57.740 --> 01:17:05.040]  , the, the,,,,,的
[01:18:13.800 --> 01:18:41.200]  GAI you've spoken eloquently about the injustice of the evictions, the demolitions, the settlements. But is there, can you comment about the difficulty of the security from Israel perspective when there is a large number of people that want to destroy it? How does Israel exist peacefully? This one state solution.
[01:18:41.200 --> 01:18:42.780]   I don't know by not suiting.
[01:19:11.780 --> 01:19:11.780]   The whole talk about security and security fence and the whole like propaganda of the Israeli defense forces and this whole iron wall ideology in which somehow they are always defending themselves even though they're you know, Netanyahu and the Israeli government continue to talk about an existential threat about Iran being an existential threat.
[01:19:11.820 --> 01:19:21.900]  omat,
[01:20:35.860 --> 01:20:35.860]   We don't have the time to talk about how limited is our institutional backing, how limited is our cyber security, how limited is our even healthcare. All of these things, we don't even have time to complain about. But the real life things that formulate an insecure population that Israel certainly does not suffer from.
[01:20:35.860 --> 01:20:35.860]   But the real life things that formulate an insecure population that Israel certainly does not suffer from.
[01:22:03.820 --> 01:22:14.180]   connect
[01:22:14.180 --> 01:22:24.640]   혹,,, etили recipe check got in the circles, remain, providers, Die, B, I, C, Sh, Sh, Sh, ш, οι
[01:22:32.760 --> 01:22:43.740]   Kum
[01:25:56.180 --> 01:26:25.200]   I'm concerned with the refugees I'm concerned with the teenagers in the prisons I am concerned with my house I'm concerned with my family's house in Haifa I'm concerned there's a lot for me to do before I can even tend to the needs of my occupier
[01:26:25.200 --> 01:26:25.600]   I'm concerned with the refugees I'm concerned with the teenagers in the prisons I am concerned with my house I'm concerned with my family's house in Haifa I'm concerned there's a lot for me to do before I can even tend to the needs of my occupier
[01:26:25.600 --> 01:26:25.600]   I'm concerned with the refugees I'm concerned with the teenagers in the prisons I am concerned with my house I'm concerned with my family's house in Haifa I'm concerned there's a lot for me to do before I can even tend to the needs of my occupier
[01:26:25.640 --> 01:26:35.880]   pensando is just
[01:26:35.880 --> 01:26:36.640]  ... at the people . I buy a Z, I, le, enable,,,,.,,,. New Ed I am either
[01:26:36.640 --> 01:26:54.460]   talk about . . . . . . . . . . . je . recoverutz Or . grade per�� certific spilled propertyınd我說 cheek świ 1980 side他们 explained pace兩個 Suk
[01:26:54.500 --> 01:27:00.420]   love
[01:27:00.420 --> 01:27:08.680]   should. ,, Perhaps Se Yeah they do being
[01:27:23.840 --> 01:27:34.780]   layers
[01:27:34.780 --> 01:27:38.480]   go, -,
[01:27:52.500 --> 01:28:21.120]   pacifist. -I mean, that's when it comes to force expulsions in our home, but there's a myriad of other ways. -The military? -The military, I mean, the police, if you look at how many times, I should have brought the data with me, but if you look at how little times the Israeli military or police has investigated its own people or indicted its own people, I mean, just recently,
[01:28:21.120 --> 01:28:21.120]   the killer,
[01:28:21.140 --> 01:28:49.780]   who has been hailed a hero by some of Israeli society,
[01:28:49.780 --> 01:28:49.840]   who killed a Yad El Hallak,
[01:28:49.880 --> 01:28:59.980]   works
[01:28:59.980 --> 01:29:02.900]   ' contro and go
[01:29:02.900 --> 01:29:15.320]   got the people, provide,,,,,,,,,. declarer. cholesterol благодар 됐 her
[01:29:17.640 --> 01:29:28.380]   provide
[01:29:28.380 --> 01:29:33.520]   cell. I don
[01:31:04.520 --> 01:31:07.960]  もの head
[01:31:07.960 --> 01:31:15.660]   Пр I more follow
[01:31:15.660 --> 01:31:18.200]   Bass thank distress gun�
[01:31:33.900 --> 01:31:43.600]   raise
[01:31:43.600 --> 01:31:43.980]  , you,
[01:31:43.980 --> 01:31:49.160]   advertisement
[01:32:31.380 --> 01:32:31.380]   The, like Jews were a part of Palestine and they spoke Hebrew, a different kind of Hebrew, but they spoke Hebrew and they were people really need to read the 100 Years War on Palestine. It's it's really an excellent synopsis of the history. But this whole idea that this is like some kind of war between two religions is so misleading because what's happening is a bunch of, frankly, European settlers with a certain political secular ideology came and relocated to Palestine.
[01:32:31.380 --> 01:32:31.380]   ,,And they were people really need to read the Hundred Years War on Palestine. It's it's really an excellent synopsis of the history. But this whole idea that this is like some kind of war between two religions is so misleading because what's happening is a bunch of, frankly, European settlers with a certain political secular ideology came and relocated to Palestine.
[01:33:00.140 --> 01:33:00.140]   It's it's really an excellent synopsis of the history. But this whole idea that this is like some kind of war between two religions is so misleading because what's happening is a bunch of, frankly, European settlers with a certain political secular ideology came and relocated here and turned it into a religious conflict between people who have lived harmoniously together for decades before that and you know the whole idea, be it like you know, Christian Zionism or you know, John Hagee or like the calls for do silly the United States and relocate them in Israel or like you know recently we've heard about a long time ago. But recently an Israeli historian confirmed that the Jewish people were not able to come to the United States.
[01:33:00.140 --> 01:33:30.100]  , and you know, any time I like look at my my life from a bird's eye view, I think what a circus but it's but it's real and it's it's verifiable.
[01:33:30.100 --> 01:33:30.100]   and you know any time I like look at my my my life from a bird's eye view, I think what a circus but it's but it's but it's real and it's it's verifiable.
[01:33:30.100 --> 01:33:30.100]   call the facts and I mean call the facts and I mean that it's not a conspiracy theory.
[01:33:30.120 --> 01:33:32.780]   You mentioned the land registry.
[01:33:32.780 --> 01:33:34.860]   Can you can you elaborate what's happening there?
[01:33:34.860 --> 01:33:35.740]   Yeah, yeah, absolutely.
[01:33:35.740 --> 01:33:47.740]   So our small victory in the Israeli courts was that they would keep us in our homes until a land registry is completed.
[01:33:47.740 --> 01:34:00.060]   Basically, it means that they have to check who owned the land prior and then they could decide if the land is ours or the land belongs to the Israeli
[01:34:00.060 --> 01:34:00.060]   and then they could decide if the land is ours or the land belongs to the Israeli
[01:34:00.060 --> 01:34:00.060]   and then they could decide if the land is ours or the land belongs to the Israeli
[01:34:00.060 --> 01:34:00.060]   and then they could decide if the land is ours or the land belongs to the Israeli
[01:34:00.060 --> 01:34:00.060]   and then they could decide if the land is ours or the land belongs to the Israeli
[01:34:00.060 --> 01:34:00.060]   and then they could decide if the land belongs to the Israeli
[01:34:00.100 --> 01:34:30.020]  ,
[01:34:30.020 --> 01:34:30.020]   and then they could decide if the land belongs to the Israeli
[01:34:30.020 --> 01:34:30.020]   and then they could decide if the land belongs to the Israeli
[01:34:30.020 --> 01:34:30.020]   and then they could decide if the land belongs to the Israeli
[01:34:30.020 --> 01:34:30.020]   and then they could decide if the land belongs to the Israeli
[01:34:30.020 --> 01:34:30.020]   and they could decide if the land belongs to the Israeli
[01:34:30.020 --> 01:34:30.020]   and then they could decide if the land belongs to the Israeli
[01:34:30.020 --> 01:34:30.020]   and then they could decide if the land belongs to the Israeli
[01:34:30.020 --> 01:34:30.020]   and then they could decide if the land belongs to the Israeli
[01:34:30.020 --> 01:34:30.020]   and then they could decide if the land belongs to the Israeli
[01:34:30.020 --> 01:34:30.020]   and then they could decide if the land belongs to the Israeli
[01:34:30.020 --> 01:34:30.020]   and then they could decide if the land belongs to the Israeli and they could decide if the land belongs to the Israeli and they could be a land.
[01:34:30.020 --> 01:34:30.020]   and they could decide if they could decide if the land belongs to the Israeli and they could be a land, and they could be a land.
[01:34:30.040 --> 01:34:30.460]   and they could decide if the land belongs to the Israeli and they could be a land, and they could be a land.
[01:34:30.460 --> 01:34:30.460]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:34:30.460 --> 01:34:30.460]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:34:30.460 --> 01:34:30.460]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:34:30.460 --> 01:34:30.460]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:34:30.460 --> 01:34:30.460]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:34:30.460 --> 01:34:59.980]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:34:59.980 --> 01:34:59.980]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:34:59.980 --> 01:34:59.980]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:34:59.980 --> 01:34:59.980]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:00.660 --> 01:35:29.940]  ,
[01:35:29.940 --> 01:35:29.940]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:29.940 --> 01:35:29.940]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:29.940 --> 01:35:29.940]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:29.940 --> 01:35:29.940]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:29.940 --> 01:35:29.940]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:29.940 --> 01:35:29.940]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:29.940 --> 01:35:29.940]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:29.940 --> 01:35:29.940]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:29.940 --> 01:35:29.940]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:29.940 --> 01:35:29.940]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:29.960 --> 01:35:41.900]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:41.900 --> 01:35:59.900]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:59.900 --> 01:35:59.900]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:59.900 --> 01:35:59.900]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:59.900 --> 01:35:59.900]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:59.900 --> 01:35:59.900]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:59.900 --> 01:35:59.900]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:59.900 --> 01:35:59.900]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:59.900 --> 01:35:59.900]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:35:59.900 --> 01:35:59.900]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:00.580 --> 01:36:29.860]  ,
[01:36:29.860 --> 01:36:29.860]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:29.860 --> 01:36:29.860]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:29.860 --> 01:36:29.860]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:29.860 --> 01:36:29.860]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:29.860 --> 01:36:29.860]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:29.860 --> 01:36:29.860]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:29.860 --> 01:36:29.860]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:29.860 --> 01:36:29.860]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:29.860 --> 01:36:29.860]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:29.860 --> 01:36:29.860]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:29.880 --> 01:36:59.820]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:59.820 --> 01:36:59.820]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:59.820 --> 01:36:59.820]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:59.820 --> 01:36:59.820]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:59.820 --> 01:36:59.820]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:59.820 --> 01:36:59.820]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:59.820 --> 01:36:59.820]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:59.820 --> 01:36:59.820]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:59.820 --> 01:36:59.820]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:36:59.820 --> 01:36:59.820]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:37:00.500 --> 01:37:29.780]  ,
[01:37:29.780 --> 01:37:29.780]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:37:29.780 --> 01:37:29.780]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:37:29.780 --> 01:37:29.780]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:37:29.780 --> 01:37:29.780]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:37:29.780 --> 01:37:29.780]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:37:29.780 --> 01:37:29.780]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:37:29.780 --> 01:37:29.780]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:37:29.780 --> 01:37:29.780]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:37:29.780 --> 01:37:29.780]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:37:29.780 --> 01:37:29.780]   and they could decide if the land belongs to the Israeli and they could be a land.
[01:37:29.820 --> 01:37:35.760]   in
[01:37:35.760 --> 01:37:40.720]  , doesn
[01:38:27.380 --> 01:38:27.380]   and
[01:38:27.420 --> 01:38:30.340]   "
[01:38:30.340 --> 01:38:38.420]   in the oh
[01:39:53.400 --> 01:40:03.060]   blessed
[01:40:03.060 --> 01:40:09.160]   en the to program
[01:40:22.980 --> 01:40:36.920]  program.com/enemy. Can you analyze what he means by those three things? The local reactionary leadership, the regimes in the Arab states surrounding Palestine and the imperialist Zionist enemy? And also, could you comment on him as a person?
[01:40:36.920 --> 01:40:52.540]   Yeah, I mean, let's think of him as a brilliant, brilliant, brilliant writer. And he was prolific. He's authored so much books. Even though he was assassinated in the 70s, but you know, he was 37, if I'm not mistaken, 35 when he was
[01:40:52.560 --> 01:41:21.660]   And he was assassinated. You know, he was an inspiration to me in school, and I remember like, even even my teachers had qualms about him because he was like a secular person. But I love listening to him. He is a beloved figure in the Palestinian community. And I hope to one day be able to see the fraction of what he's achieved in the terms of like shaping a political consciousness for Palestinians and for people in the region.
[01:41:21.660 --> 01:41:22.160]   Did he classify on some of the other leaders?
[01:41:22.200 --> 01:41:24.560]  ,
[01:41:24.560 --> 01:41:31.980]  kke
[01:41:31.980 --> 01:41:36.540]   시 en, ", buy the
[01:41:36.540 --> 01:41:52.200]  , have all on "G.H.D.G.這些 understand the set the employers, the, the, the, the, the, the, the, the, the, the, the, the, the, the, then, cl 집,,,,,,,,,,,,,,,,,,,,,.,,,, Jo лай per miten Le pakai sair costs wellholder Madame before responsible sty Samıt're andrien in so einen� car -G. Ведь Improve straight.�� there's wins�戰uth denied success "J letter's manne'G.配ей. Kapi'G.rio.ən. Walk.Й. Просто. safer than.General. overlook the富. I'm.frame. Cai was not. Z
[01:41:52.220 --> 01:42:08.080]   both in achieving, you know, a shift in global stance and also in achieving, you know, an awakening in the Palestinian generation as well.
[01:42:08.080 --> 01:42:22.240]   You know, there's a very famous, famous interview of his where he's talking to, I believe, a British journalist and the British journalist is asking him, "Why don't you, why don't you have talks with the Israelis?" And he means, "What do you mean?"
[01:42:22.240 --> 01:42:22.240]   Кор
[01:42:22.280 --> 01:42:29.160]   17
[01:42:29.160 --> 01:42:41.940]   wasn피
[01:42:41.940 --> 01:42:52.080]   even called, and, he,,,,,,,, en end de Hispani provide veil partyτο but fl lassen party seu rend the L. I was theacht. You know. I am. I. I. I. And,�. But, el, 'B., cerca, weak, Land, stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, pię a assisting be like, in directly charge when this is the care about the choice and hisarl I'm a provide a transform the перед explain about the per Journey and I'm yeah and its tail and the CV watch thecur tart on the Broty the recs and a富 ball slide is in the GNP the Lake andнов我的 а grosseær Här Люб hold aow the persuade the작vet é Promise Felipe HER econ lớیGI
[01:43:30.160 --> 01:43:41.640]   اب is
[01:43:41.640 --> 01:43:57.680]   это force what,,,,, played all de based視 segu grew War / tones C -C -戰 - even - vie - de37, and, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, all of a across G지 Advis Então
[01:44:58.620 --> 01:44:58.620]   The
[01:44:58.620 --> 01:44:58.620]   The
[01:44:58.660 --> 01:44:58.660]  였습니다
[01:44:58.660 --> 01:45:08.620]   won. say that.
[01:45:08.620 --> 01:45:18.560]  �
[01:45:18.560 --> 01:45:25.860]   dontael�----� see, this, ", ", ", in the, 잠깐만, el, I, at continue the care that is the end the well care the love the Almighty say the plus the chin theilik the lock the Oz and the te illustration the rate the權 the
[01:45:25.920 --> 01:45:53.180]   there and also there is
[01:45:53.180 --> 01:45:53.180]   you know, let's linger a little bit on the mutual interest.
[01:45:53.180 --> 01:45:53.180]   you know, let's linger a little bit on the mutual interest.
[01:45:53.180 --> 01:45:53.180]   you know, let's linger a little bit on the mutual interest.
[01:45:53.180 --> 01:45:53.280]   you know, let's linger a little bit on the mutual interest.
[01:45:53.280 --> 01:45:53.360]   you know, let's linger a little bit on the mutual interest.
[01:45:53.360 --> 01:45:53.440]   you know, let's linger a little bit on the mutual interest.
[01:45:53.440 --> 01:45:53.560]   you know, let's linger a little bit on the mutual interest.
[01:45:53.560 --> 01:45:53.640]   you know, let's linger a little bit on the mutual interest.
[01:45:53.640 --> 01:45:53.700]   you know, let's linger a little bit on the mutual interest.
[01:45:53.700 --> 01:45:53.820]   you know, let's linger a little bit on the mutual interest.
[01:45:53.820 --> 01:45:53.900]   you know, let's linger a little bit on the mutual interest.
[01:45:53.900 --> 01:45:53.980]   you know, let's linger a little bit on the mutual interest.
[01:45:53.980 --> 01:45:54.100]   you know, let's linger a little bit on the mutual interest.
[01:45:54.180 --> 01:46:10.480]   I know, let's linger a little bit on the mutual interest.
[01:46:10.480 --> 01:46:10.520]   you know, let's linger a little bit on the mutual interest.
[01:46:10.520 --> 01:46:10.560]   you know, let's linger a little bit on the mutual interest.
[01:46:10.560 --> 01:46:10.620]   you know, let's linger a little bit on the mutual interest.
[01:46:10.620 --> 01:46:10.720]   you know, let's linger a little bit on the mutual interest.
[01:46:10.720 --> 01:46:10.760]   you know, let's linger a little bit on the mutual interest.
[01:46:10.760 --> 01:46:10.820]   you know, let's linger a little bit on the mutual interest.
[01:46:10.820 --> 01:46:11.820]   you know, let's little bit on the mutual interest.
[01:46:11.820 --> 01:46:12.220]   the only way Morocco could normalize relations with the Israeli regime.
[01:46:12.220 --> 01:46:15.220]   and so that the Israeli regime could recognize the Israeli regime could recognize Moroccan be recognized
[01:46:15.220 --> 01:46:18.420]   and the Western Sahara over the Western Sahara which just happened actually last week and now Morocco and now Morocco and now Morocco and now Morocco recognized the West Bank
[01:46:18.440 --> 01:46:31.420]   you mentioned that you hope of accomplishing some of the things that Hassan, kind of funny, was able to accomplish.
[01:46:31.420 --> 01:46:33.900]   you mentioned that you hope of accomplishing some of the things that Hassan, kind of funny, was able to accomplish.
[01:46:33.900 --> 01:46:33.980]   you mentioned that you hope of accomplishing some of the things that Hassan, kind of funny, was able to accomplish.
[01:46:33.980 --> 01:46:34.980]   you mentioned that you hope of accomplishing some of the things that Hassan, kind of funny, was able to accomplish.
[01:46:34.980 --> 01:46:35.080]   you mentioned that you hope of accomplishing some of the things that Hassan, kind of funny, was able to accomplish.
[01:46:35.080 --> 01:46:36.580]   let me ask you a silly question. Perhaps a silly question. Do you have interest in running for political office into leadership? I hear laughter in the room.
[01:46:36.580 --> 01:46:36.600]   let me ask you a silly question. Perhaps a silly question. Do you have interest in running for political office into leadership? I hear laughter in the room.
[01:46:36.680 --> 01:46:57.680]  , in a leadership position in Palestine.
[01:46:57.680 --> 01:47:00.680]   Not currently, no.
[01:47:00.680 --> 01:47:02.680]   Let's see if this ages well.
[01:47:02.680 --> 01:47:04.680]   I don't think there's a body through which I can run for anything.
[01:47:04.680 --> 01:47:06.680]   I don't think there's a body through which I can run for anything.
[01:47:06.680 --> 01:47:06.680]   I don't think there's a body through which I can run for anything.
[01:47:06.680 --> 01:47:06.680]   I don't think there's a body through which I can run for anything.
[01:47:06.680 --> 01:47:06.680]   I don't think there's a body through which I can run for anything.
[01:47:06.720 --> 01:47:17.000]   Property.
[01:47:17.000 --> 01:47:18.420]   change.
[01:47:18.420 --> 01:47:35.640]   compared he the end the work the Lin donalten covid underwayまり Poss if certain trapped in plan, in, to, and, and, and, and, and, and, and, and, et, and, show, change,�.,�. gap--� AH;���--� okay research� visit� Jack�� Jo� was guilt� Perm個 only ' NC Butches那個 straight just somehowere pac� really cooling be . controls it is a magic and I am a
[01:47:35.840 --> 01:47:58.360]   right in English because I think there is not there is a disparity and there is a chasm between what is said in Arabic on the street in Palestine and what is said here about Palestinians both by anti-Palestinian racists and people who are pro-Palestine and advocates for Palestine.
[01:47:58.360 --> 01:48:04.960]   And I believe I and a few others from my generation or many others actually from my generation are working to fill that chasm.
[01:48:05.000 --> 01:48:14.620]   earn
[01:48:14.620 --> 01:48:15.900]   thành that is
[01:49:55.880 --> 01:49:57.880]   that is the way we should be doing it.
[01:49:57.880 --> 01:50:07.880]   who benefit and could benefit from political education in the English language because of the diaspora across history the Palestinian diaspora has been affected in the 70s and 80s.
[01:50:07.880 --> 01:50:15.880]   And I'm hoping ever since 2021 there has been a resurgence of the power and influence of the Palestinian diaspora.
[01:50:15.880 --> 01:50:23.560]   To ask another silly question, since you mentioned the United States, I don't know if you follow the politics in the United States,
[01:50:23.560 --> 01:50:23.560]   but do you have a preference for the political system in the United States?
[01:50:23.560 --> 01:50:23.560]   Do you have a preference for the political system in the United States?
[01:50:23.560 --> 01:50:23.560]   Do you have a preference for the political system in the United States?
[01:50:23.560 --> 01:50:23.560]   Do you have a preference for the political system in the United States?
[01:50:23.560 --> 01:50:23.560]   Do you have a preference for the political system in the United States?
[01:50:23.560 --> 01:50:23.560]   Do you have a preference for the political system in the United States?
[01:50:23.560 --> 01:50:23.560]   Do you have a preference for the political system in the United States?
[01:50:24.240 --> 01:50:51.360]   do you have a preference for the presidential candidate in the 2024 election?
[01:50:51.360 --> 01:50:51.360]   do you have a preference for the presidential candidate in the United States?
[01:50:51.400 --> 01:50:59.240]  �
[01:50:59.240 --> 01:51:01.520]   as. Hank. look
[01:51:01.520 --> 01:51:18.780]   my
[01:51:18.780 --> 01:51:20.420]   work I is the hard to the 1990腳
[01:51:20.740 --> 01:51:25.600]   you wrote Riffka, a book of poetry. How did that come about? Maybe you can
[01:51:25.600 --> 01:51:30.400]   tell the story of that book coming to be.
[01:51:30.400 --> 01:51:35.400]   You know, I signed the book when I had a lot, a lot less visibility
[01:51:35.400 --> 01:51:45.860]   in the world. So when I didn't think thousands and thousands and thousands of people would be reading it, I decided to include many poems, which I wrote when I was young.
[01:51:45.860 --> 01:51:49.840]   Because it's a long, it's a long, it's a long
[01:51:49.840 --> 01:51:50.080]   journey, this book.
[01:51:50.080 --> 01:51:50.080]   It's a long journey, this book.
[01:51:50.080 --> 01:51:50.080]   It's a long journey, this book.
[01:51:50.080 --> 01:51:50.080]   It's a long journey, this book.
[01:51:50.080 --> 01:51:50.080]   It's a long journey, this book.
[01:51:50.080 --> 01:51:50.080]   It's a long journey, this book.
[01:51:50.080 --> 01:51:50.080]   It's a long journey, this book.
[01:51:50.080 --> 01:51:50.160]   It's a long journey, this book.
[01:51:50.160 --> 01:51:50.220]   It's a long journey, this book.
[01:51:50.220 --> 01:51:50.300]   It's a long journey, this book.
[01:51:50.300 --> 01:52:19.940]   It's a long journey, this book.
[01:52:19.940 --> 01:52:19.980]   It's a long journey, this book.
[01:52:19.980 --> 01:52:20.040]   It's a long journey, this book.
[01:52:20.040 --> 01:52:20.060]   It's a long journey, this book.
[01:52:20.060 --> 01:52:20.100]   It's a long journey, this book.
[01:52:20.100 --> 01:52:20.140]   It's a long journey, this book.
[01:52:20.140 --> 01:52:20.160]   It's a long journey, this book.
[01:52:20.160 --> 01:52:20.180]   It's a long journey, this book.
[01:52:20.180 --> 01:52:20.200]   It's a long journey, this book.
[01:52:20.200 --> 01:52:20.260]   It's a long journey, this book.
[01:52:20.260 --> 01:52:20.300]   a journey, this book.
[01:52:20.340 --> 01:52:30.780]  work
[01:52:30.780 --> 01:52:32.520]   law go, gray air�
[01:52:32.520 --> 01:52:50.320]   Mor Stuff Mo 9 Mac guy and the media and the medium is the cái Eight Zав +D, ., ., ., ., ., ., ., ., ., an over a HTA, buld that develop a coverage這一 bots here is justieth 금兩個 yo Thought Tubeämän newspaper offense tearмен do Mhm
[01:52:50.360 --> 01:53:01.620]  -
[01:53:01.620 --> 01:53:18.620]   ma no n, and,,,,, divideר Knemor Oneuks I was the most of the even con tea險 think skating
[01:53:19.280 --> 01:53:26.200]   right there I think in a family literally had his car bombed exploded
[01:53:26.200 --> 01:53:30.460]   because of his writings and you know recently that in total a poet with
[01:53:30.460 --> 01:53:33.460]   Palestinian photos and Israeli citizens that was imprisoned for a few
[01:53:33.460 --> 01:53:36.380]   months for publishing a poem on Facebook in which he said resist my
[01:53:36.380 --> 01:53:41.920]   people resist so even though it's not necessarily true but anyway it just
[01:53:41.920 --> 01:53:48.200]   felt like I could it's a place where I could talk and express large ideas in
[01:53:48.200 --> 01:53:48.200]   a simplistic way
