
[00:00:00.000 --> 00:00:08.380]   and you see that manifest itself on D-Day, where you've got 6,939 vessels, of which there are 1,213
[01:36:10.120 --> 01:36:15.040]   of April, you know, as he's sort of taking out the pistol from his holster on his sofa in the,
[01:36:15.040 --> 01:36:21.380]   in the Führer bunk and going, you know, so out of 1st of September, 1939, still backing yourself on
[01:36:21.380 --> 01:36:27.280]   that one. I mean, he might have a different view. The guy's insane and full of blunder. So he probably
[01:36:27.280 --> 01:36:28.960]   would have said, yeah, do it all over again.
[01:36:28.960 --> 01:36:30.220]   Yeah. I'm sure he would have done it as well.
[01:36:30.220 --> 01:36:35.480]   Conquest. Poland was not a mistake. So the union was not a mistake.
[01:36:35.480 --> 01:36:35.780]   No.
[01:36:35.780 --> 01:36:36.920]   It's just some of the tactics.
[01:36:36.920 --> 01:36:39.260]   Other people I was let down by, by people not being strong enough.
[01:36:39.260 --> 01:36:41.120]   Yeah. The Prussian generals are all.
[01:36:41.120 --> 01:36:44.660]   Yeah. Yeah. Of course. That's exactly what he'd say. It wasn't my fault.
[01:36:44.660 --> 01:36:52.100]   He might have quietly done some different decisions about Barbarossa. Maybe the timing would be
[01:36:52.100 --> 01:36:52.420]   different.
[01:36:52.960 --> 01:36:55.820]   Maybe that all out central for us rather than kind of splitting it through.
[01:36:55.820 --> 01:36:56.260]   Yeah. Yeah.
[01:36:56.260 --> 01:37:02.480]   But he was very sure. It seems like maybe you can correct me that Britain and France would still
[01:37:02.480 --> 01:37:05.800]   carry on with appeasement even after he invaded Poland.
[01:37:05.800 --> 01:37:12.580]   Absolutely. He, he was completely convinced by it. There was clearly a kind of sort of 10 to 15%
[01:37:12.580 --> 01:37:20.240]   level of doubt, but what the heck I'm going to do it anyway. He was just, he ratcheted himself up
[01:37:20.240 --> 01:37:26.380]   into such a laver of, of kind of, this is the moment I have to do it now. This is fate. I'm 50.
[01:37:26.380 --> 01:37:31.180]   And, and, you know, I could be taken out by an assassin's bullet. I've got this important life
[01:37:31.180 --> 01:37:35.200]   work that I've got to do. We've got to get on with it now. There could be no more delay. This is
[01:37:35.200 --> 01:37:39.560]   my mission. You know, this is our mission of the German people and either the German people have got
[01:37:39.560 --> 01:37:45.120]   the will and the, and the spirit to be able to pull it off. Or, you know, I was wrong. And, and
[01:37:45.120 --> 01:37:49.480]   therefore, you know, we don't deserve to be a thousand year, right? We don't deserve to be the
[01:37:49.480 --> 01:37:54.600]   master race. Black or white. I saw them either or that's same all the time.
[01:37:54.600 --> 01:38:00.840]   So can you tell the story of the Molotov ribbon trope packed in 1939? So they make an agreement,
[01:38:00.840 --> 01:38:07.220]   Nazi Germany, the Soviet union. And that leads us just like you mentioned in a matter of days,
[01:38:07.220 --> 01:38:11.580]   how compact everything is. It's just really, really fascinating.
[01:38:11.580 --> 01:38:17.380]   It's a beautiful summer in Europe, summer of 1939, you know, it's one of these glorious summers that
[01:38:17.380 --> 01:38:23.700]   sort of never rains. It's just sunshine, sunny day after sunny day. It's kind of, you know,
[01:38:23.700 --> 01:38:30.700]   it's like that sort of golden summer of 1914 as well, you know, where sky always seems to be blue,
[01:38:30.700 --> 01:38:36.240]   fluffy white clouds, everyone's sort of, you know, but this sort of the storm clouds of war to use that
[01:38:36.240 --> 01:38:42.800]   cliche are kind of brewing. The Russians have, have reached out to Britain and France and said,
[01:38:42.800 --> 01:38:48.160]   come on, come on over, let's negotiate, you know, let's see what we can do. Um, and there is just
[01:38:48.160 --> 01:38:55.980]   no stomach for that at all. I mean, if ever there is a, I think a mistake that's Britain and France
[01:38:55.980 --> 01:39:03.640]   should have been a bit more into real politics and than they were that it's such an opportunity
[01:39:03.640 --> 01:39:10.840]   to, to, to ensure that you, to snooker the third Reich and, and they don't take it. Um, because,
[01:39:10.840 --> 01:39:16.820]   you know, in many ways they see the westward spread of communism in exactly the same way that the Nazis
[01:39:16.820 --> 01:39:22.280]   see the threat of the westward spread of communism as something that's every bit as repellent as
[01:39:22.280 --> 01:39:29.760]   Nazism and, and they don't want to be getting into bed with these guys. Um, of course they kind of have
[01:39:29.760 --> 01:39:37.240]   to kind of change tack on that one in summer of 1941 and, you know, in very quick order. Um, and that's
[01:39:37.240 --> 01:39:40.660]   the whole point about Churchill appeasing Stalin. I mean, you know, it's all very well people saying,
[01:39:40.660 --> 01:39:44.580]   well, you know, Churchill wouldn't have appeased Hitler in 1930s, but he does appease, he appeases all
[01:39:44.580 --> 01:39:51.840]   the time. Um, and they miss that opportunity and the, and the, the French and British delegation is
[01:39:51.840 --> 01:39:58.360]   third tier commanders generals going over. It's, it's a, it's a, yeah, it's a shit show. I mean,
[01:39:58.360 --> 01:40:03.420]   yeah, excuse my French, but I mean, it's just, it's, it's, it's a nonsense that they're not ready for it.
[01:40:03.420 --> 01:40:10.320]   They're not prepared. The British guy, um, Admiral Drax doesn't have any authority. Um, the whole thing's
[01:40:10.320 --> 01:40:13.880]   a complete joke. It's not, it's never going to get anywhere. You tell the story of this quite
[01:40:13.880 --> 01:40:20.960]   beautifully, actually. Uh, again, it's such a human story. I mean, the, it seems like the Stalin and
[01:40:20.960 --> 01:40:27.100]   Soviet, they've already made up their mind, but I don't think they have. I think what they, I mean,
[01:40:27.100 --> 01:40:33.560]   you described quite well that they value in-person meeting. Yes. So like Chamberlain should have just
[01:40:33.560 --> 01:40:42.000]   gone to Moscow. Yeah. Get on a plane. Like it, I, it's such a, uh, maybe it's a simplistic notion,
[01:40:42.000 --> 01:40:46.860]   but that could have changed the trajectory of human history right there. I really think it could have
[01:40:46.860 --> 01:40:51.420]   done. I think that was, I think that's, I think that's much more grievous mistake than, than the
[01:40:51.420 --> 01:41:00.240]   Munich. Why are leaders so hesitant to meet? I, I I'm told now by a bunch of diplomats that no,
[01:41:00.240 --> 01:41:05.360]   no, no, no, no, no. There's a process, you know, at first you have to have these diplomats meet and
[01:41:05.360 --> 01:41:12.580]   they have to draft a bunch of stuff. And I sometimes have the simplistic notion, like why not, why not
[01:41:12.580 --> 01:41:20.400]   meet? Why not meet? Like, I think there is a human element there. Um, of course, especially when there's
[01:41:20.400 --> 01:41:29.260]   this force that is Hitler. Well, yes. And because we humans, we like to interact and, and you like to
[01:41:29.260 --> 01:41:35.660]   see people in three dimensions and, you know, I'm sure it's why you always quite rightly insist on
[01:41:35.660 --> 01:41:40.000]   doing your podcast face-to-face because you want to get the cut of someone's jib and you want to be
[01:41:40.000 --> 01:41:45.540]   able to see them and you want to see the intonation in their expression and the whites of their eyes and
[01:41:45.540 --> 01:41:49.140]   all that kind of stuff. And that just does, does make a difference of course, because you know,
[01:41:49.140 --> 01:41:53.800]   we're fundamentally animals and we kind of, we, we want to be sizing people up and it's much easier
[01:41:53.800 --> 01:42:00.420]   to do that when you're a few feet away from each other than it is on a video screen or through the
[01:42:00.420 --> 01:42:06.540]   prism of someone else. Yeah. But there's also just, you see the, the humanity in, in others. It's so
[01:42:06.540 --> 01:42:11.100]   much easier. You see this in social media. It's so much easier to talk shit about others
[01:42:11.100 --> 01:42:17.720]   when you're not with them. Yes. And like military conflict is the extreme version of that. Yeah.
[01:42:17.720 --> 01:42:23.020]   You can construct these narratives that they're not human, that they're evil, that they're, you can
[01:42:23.020 --> 01:42:29.680]   construct a communist ideology, all of these, you can project onto them the worst possible
[01:42:29.680 --> 01:42:35.580]   version of what, uh, of a human. But when you meet them, you're like, Oh,
[01:42:35.580 --> 01:42:39.900]   they are just a person. They're just a person. Well, it's the world's great tragedy that, that,
[01:42:39.900 --> 01:42:43.060]   that it's only a few people that want to go to war and the vast majority want to live happily,
[01:42:43.060 --> 01:42:47.900]   contented lives, getting on with their neighbors. I mean, it has been ever thus. It's just,
[01:42:47.900 --> 01:42:53.880]   it is those few that kind of ruin it for everybody else. But, but, but anyway, to go back to Leningrad,
[01:42:53.880 --> 01:43:02.180]   um, back in August, 1939, they go half cock. They're disrespectful to Soviet Union as a result of
[01:43:02.180 --> 01:43:07.980]   that. Um, it gets nowhere. Had they been able to put on a really, really firm offer there and then
[01:43:07.980 --> 01:43:14.620]   to the Soviet Union, Soviet Union would have, would have probably come in. I mean, the big thing is,
[01:43:14.620 --> 01:43:19.820]   is that the Soviet Union said, this is a big stumbling block. The Soviet Union said, yeah,
[01:43:19.820 --> 01:43:24.540]   but we want to be able to march through Poland if we get threatened by Germany.
[01:43:25.660 --> 01:43:28.820]   Both the British and the French just smell a massive rat there. They're basically saying,
[01:43:28.820 --> 01:43:34.220]   you know, if they agree to that, what they're, what they fear is that Soviet Union will just march
[01:43:34.220 --> 01:43:38.860]   into Poland and go, yeah, but you said we could and take it, which they unquestionably would have
[01:43:38.860 --> 01:43:43.740]   done, but it would have stopped the world war properly. They're willing to appease Hitler.
[01:43:43.740 --> 01:43:47.280]   They're not willing to appease Stalin in that situation. Well, they're not willing to appease
[01:43:47.280 --> 01:43:50.640]   anybody by that stage. That's the point. Well, they appeased Hitler.
[01:43:51.360 --> 01:43:56.200]   There's a now, there's a bottom line, you know, which is, which is Poland, you know,
[01:43:56.200 --> 01:44:00.440]   so it's changed. That's right. Right. But anyway, the bottom line is they don't,
[01:44:00.440 --> 01:44:05.560]   you know, there is a, there is a, a reluctance on the part of French and British to negotiate
[01:44:05.560 --> 01:44:11.160]   with the Soviet Union because they're communists. Don't like them. Don't trust them. Worry about
[01:44:11.160 --> 01:44:15.580]   what they're going to do with Poland and they're going to be, you know, jumping out of the fire into
[01:44:15.580 --> 01:44:20.660]   the kind of water and it doesn't come off. And as a consequence of that, Soviet Union
[01:44:20.660 --> 01:44:28.620]   continued to pursue more hardly, you know, um, more, more vociferously the opportunities that the, um,
[01:44:28.620 --> 01:44:37.340]   that the Germans are offering, which is the split of Poland because Soviet Union wants that part of
[01:44:37.340 --> 01:44:41.960]   Poland back in its own sphere of influence and it doesn't want to go to war just yet.
[01:44:42.500 --> 01:44:47.540]   And the agreement that they won't attack each other, essentially. Yeah. Do you think Stalin
[01:44:47.540 --> 01:44:48.740]   actually believed that?
[01:44:48.740 --> 01:44:52.400]   No, he believed it in the same way that Hitler believed it, that it was a cynical kind of,
[01:44:52.400 --> 01:44:58.820]   you know, convenient bit of real politic for now. I mean, I think, I think Soviet Union was as
[01:44:58.820 --> 01:45:02.560]   determined to get rid of the Nazis as the Nazis were determined to get rid of the Soviet Union. I think
[01:45:02.560 --> 01:45:08.740]   whoever fired first was not, not decided at that point, but I do think that from the moment that
[01:45:08.740 --> 01:45:12.520]   Hitler takes power in 1933, a conflict between Soviet Union and Nazi Germany is inevitable.
[01:45:12.520 --> 01:45:17.140]   Yeah. So you, either direction you think it's inevitable. Yeah. I think, I think there's,
[01:45:17.140 --> 01:45:22.540]   yeah, there's a huge amount of evidence for that. Stalin probably wanted it, what, like in 42, 43?
[01:45:22.540 --> 01:45:23.060]   Yeah.
[01:45:23.060 --> 01:45:24.280]   Something like that.
[01:45:24.400 --> 01:45:27.480]   Yeah. And, you know, they're doing exercises and stuff and building out. He's not ready yet
[01:45:27.480 --> 01:45:31.300]   because he knows he's done the purges and he's got to get his, his army, you know, he's got to get his
[01:45:31.300 --> 01:45:35.540]   armed forces back into shape and all the rest of it. But, you know, so they have this incredibly
[01:45:35.540 --> 01:45:40.780]   cynical agreement, but at that point, you know, Hitler's hands are untied. You know, he no longer
[01:45:40.780 --> 01:45:46.700]   has to worry about, about the threat from Soviet Union. Um, he's got carte blanche to go into Poland and
[01:45:46.700 --> 01:45:50.220]   he doesn't believe that France and Britain are going to go to war over Poland. He's wrong about that,
[01:45:50.220 --> 01:45:54.260]   obviously, but, but, but France and Britain, despite going to war with him, still do nothing.
[01:45:54.260 --> 01:45:56.560]   So, you know, he's got a way of it.
[01:45:56.560 --> 01:46:01.940]   Who was Churchill and how did Churchill come to power at this moment?
[01:46:01.940 --> 01:46:07.700]   Well, Churchill is this absolutely towering figure in British politics. You know, he's been,
[01:46:07.700 --> 01:46:12.800]   you know, he's first a minister in the kind of noughties of the 20th century and the first years
[01:46:12.800 --> 01:46:18.520]   of, of the 20th century. Um, first of the liberals, then of the conservatives. He's a former chancellor,
[01:46:18.520 --> 01:46:27.740]   um, um, of this checker. Um, he's a towering figure, but he's been in the wilderness because
[01:46:27.740 --> 01:46:33.540]   he's out of favor with the Stanley Baldwin government. Um, he's out of favor with, with,
[01:46:33.540 --> 01:46:39.300]   with Chamberlain, but he is this towering figure and he has been very outspoken as a backbencher,
[01:46:39.300 --> 01:46:42.100]   which basically means, you know, you're not a minister. You're not in the cabinet. You're just
[01:46:42.100 --> 01:46:46.200]   an ordinary member of parliament, but obviously you're an ordinary member of parliament, but you're
[01:46:46.200 --> 01:46:50.940]   also an ordinary member of parliament who has had ministries of state, uh, and who is this
[01:46:50.940 --> 01:46:55.400]   towering figure. So he's listened to in a way that other backbenchers aren't. Um, and he has been
[01:46:55.400 --> 01:46:59.660]   saying, you know, we need to stand up to the dictators. We need to do this. Um, we need to
[01:46:59.660 --> 01:47:05.260]   rearm more, more heavily, uh, and blah, blah, blah. So when war is declared, he's brought back into
[01:47:05.260 --> 01:47:12.640]   the Admiralty, um, and charge of the Navy, which is Britain's senior service. And, um, suddenly he's
[01:47:12.640 --> 01:47:18.740]   there. And what happens is Britain doesn't really do anything. It's very difficult working with France
[01:47:18.740 --> 01:47:22.580]   because France is so politically fractured that they can't make any decisions when you can't make
[01:47:22.580 --> 01:47:28.380]   any decisions. You're just impotent. Um, and so Churchill first mentions going into Norway,
[01:47:28.380 --> 01:47:32.860]   mining the leads. So, um, the idea is that you're making life very difficult for the Germans to get
[01:47:32.860 --> 01:47:37.340]   iron ore out of Sweden. Their main, their main source of iron ore is up in the Northern part of Sweden
[01:47:37.340 --> 01:47:42.400]   in the Arctic circle and then goes on a railway through Northern tip of Norway and then gets
[01:47:42.400 --> 01:47:50.480]   shipped down the, um, West coast of Norway into Germany, into the Baltic. So, uh, Churchill suggests
[01:47:50.480 --> 01:47:56.340]   in September, 1939, why don't we mine the leads, which are the leads are these passageways, um, out of
[01:47:56.340 --> 01:48:01.940]   the fjords and the, in the North into the, uh, into the North sea. Why don't we mine those and stop the
[01:48:01.940 --> 01:48:06.280]   Germans from, from, from, um, um, taking this? Everyone goes, well, yeah, that's quite a good idea, but they
[01:48:06.280 --> 01:48:11.020]   can't decide. And French are nervous that if they do that, the Germans will retaliate and bomb France and
[01:48:11.020 --> 01:48:17.700]   all this kind of stuff. So no decision is made until kind of April, 19, 1940. They go up to start mining the
[01:48:17.700 --> 01:48:23.060]   leads on exactly the same day that the Germans invade Denmark and Norway. And so they're, they're
[01:48:23.060 --> 01:48:28.660]   caught off guards. And at that moment, really, it's seen as a failure of Chamberlain's government. And there is a
[01:48:28.660 --> 01:48:34.040]   kind of, uh, a mounting realization that no matter how good he was or competent he was as a peacetime
[01:48:34.040 --> 01:48:37.640]   prime minister, he's not a wartime prime minister. You know, he's not served in the armed forces
[01:48:37.640 --> 01:48:43.140]   himself. He doesn't really understand it. It needs a different set of hands. And, um, his government
[01:48:43.140 --> 01:48:49.360]   falls on the 9th of May. It becomes inevitable that he's going to have to resign. And the obvious
[01:48:49.360 --> 01:48:53.480]   person to take his place is Lord Halifax, who is in the house of Lords, but you can still be a prime
[01:48:53.480 --> 01:48:59.700]   minister. And, um, he is without question, the most respected politician in the country. He's,
[01:48:59.700 --> 01:49:08.040]   um, uh, former Viceroy of India. He's seen as incredibly safe pair of hands, man of resolute
[01:49:08.040 --> 01:49:15.300]   sound judgment, et cetera, et cetera. Um, but he doesn't want to take it. He feels physically ill at
[01:49:15.300 --> 01:49:19.940]   the prospect. Doesn't want this responsibility. He's also not really a military man. He's got a slightly
[01:49:19.940 --> 01:49:25.540]   sort of withered hand, which has prevented him from doing military service. And he just blanches
[01:49:25.540 --> 01:49:30.320]   at this moment. And that really leaves only one other figure that could possibly take on this
[01:49:30.320 --> 01:49:37.800]   position and that's Churchill. So when Chamberlain resigns on the 9th of May and Halifax says,
[01:49:37.800 --> 01:49:42.620]   it's, it's not for me. Um, the only person who's going to slip into that position is Churchill and he
[01:49:42.620 --> 01:49:48.360]   becomes prime minister and he accepts it gladly. He feels like it is his mission in life. This is his
[01:49:48.360 --> 01:49:52.180]   moment. Come of the outcome of the man, but he comes with a huge amount of baggage. I mean,
[01:49:52.180 --> 01:49:56.500]   you know, he's known as a man who drinks too much, who's whose judgment hasn't always been great. You
[01:49:56.500 --> 01:50:01.780]   know, he was chancellor during the time of the general strike 1926, you know, he backed Edward
[01:50:01.780 --> 01:50:06.960]   the eighth over the, uh, monarchy crisis when the King wanted to marry Wallace Simpson, the divorcee
[01:50:06.960 --> 01:50:11.160]   Catholic divorcee, et cetera, et cetera. So, you know, his judgment has been brought into question.
[01:50:11.160 --> 01:50:15.900]   You know, he is the man who was, he came up with the idea of the Gallipoli campaign, which was,
[01:50:15.960 --> 01:50:20.340]   you know, an ignominious failure, blah, blah, blah. So there are issues over him. You know,
[01:50:20.340 --> 01:50:26.340]   he is seen as a hothead and a man who doesn't have the kind of sound judgment of Halifax. So the jury is,
[01:50:26.340 --> 01:50:31.000]   is very much out. And I think it's, again, it's one of those things where you have to put yourself
[01:50:31.000 --> 01:50:36.820]   in, you have to look at this through the prism of what people were thinking in May, 1940. Yes,
[01:50:36.820 --> 01:50:44.940]   he, he was considered a towering politician, but he is seen also as a loose cannon and by no means the
[01:50:44.940 --> 01:50:52.700]   right person in this hour of darkness. And it is coincidental that the 10th of May, 1940, when he
[01:50:52.700 --> 01:50:57.940]   takes over as prime minister, becomes prime minister, not for an election, but by default of a new
[01:50:57.940 --> 01:51:03.600]   nationalist government. So no longer a conservative company government, but a nationalist cross-party
[01:51:03.600 --> 01:51:10.560]   coalition government for the duration of the war, which includes, you know, members of the Liberal
[01:51:10.560 --> 01:51:17.920]   Party and also the Labour Party, as well as conservatives, that it is by no means certain
[01:51:17.920 --> 01:51:23.320]   that he's going to be able to deliver the goods. And it is also coincidentally the same day that the
[01:51:23.320 --> 01:51:28.720]   Germans launched Case Yellow, Operation Yellow, the invasion of the low countries in France.
[01:51:28.720 --> 01:51:36.560]   Democrats. So these are tumultuous events to put it mildly. And it is also the case that,
[01:51:36.560 --> 01:51:43.280]   you know, only a couple of weeks before, um, Paul Reynaud has taken over as prime minister of yet
[01:51:43.280 --> 01:51:51.680]   another coalition government in France from, from Deladier. So political turmoil is very much the watchword
[01:51:51.680 --> 01:51:57.280]   at this time for the, uh, for the Western democracies, just at the moment that the Germans are making their
[01:51:57.280 --> 01:52:02.080]   kind of, you know, their hammer strike into the West, this might be a good moment to bring up
[01:52:02.080 --> 01:52:11.600]   this idea that has been circulating recently brought up by Daryl Cooper, who hyperbolically
[01:52:11.600 --> 01:52:18.480]   stated that Churchill was the quote, chief villain of, uh, the second world war to give a good faith
[01:52:18.480 --> 01:52:23.200]   interpretation of that. I believe he meant that Churchill forced Hitler to escalate the expansion
[01:52:23.200 --> 01:52:28.720]   of Nazi Germany beyond Poland into a global war. So Churchill is the one that turned
[01:52:28.720 --> 01:52:38.160]   this narrow war, Czechoslovakia, Austria, Poland into a global one. Um,
[01:52:38.160 --> 01:52:44.000]   is that accurate? No, I don't think it is. I mean, not least because the decisions over
[01:52:44.000 --> 01:52:48.240]   Poland were made by Chamberlain's government, not when Churchill was out of government. So, you know,
[01:52:48.240 --> 01:52:53.120]   Churchill wasn't even involved in that decision making process at the time. No, I don't think so.
[01:52:53.120 --> 01:52:58.640]   I mean, again, I go back to kind of Britain's position in the world in 1939.
[01:52:58.640 --> 01:53:04.560]   If you say we are going to defend the sovereignty of Poland and then you don't,
[01:53:04.560 --> 01:53:10.640]   that is, that looks really bad globally. You know, Britain's prestige would plummet,
[01:53:10.640 --> 01:53:16.640]   would lead to all sorts of problems. Um, you are saying that you're giving carte blanche to dictators to
[01:53:16.640 --> 01:53:22.400]   just run amok and take whatever territory they want. You are risking the future upheaval of the global
[01:53:22.400 --> 01:53:30.480]   order, um, away from democracies into the hands of dictators. You know, in the West, people believe
[01:53:30.480 --> 01:53:37.040]   in democracy and believe in advancement of, of, um, freedoms of people. It's just, you know, to, uh,
[01:53:37.040 --> 01:53:42.560]   to echo the words of Roosevelt in August, 1941, you know, that they're aspiring to world, um,
[01:53:43.360 --> 01:53:52.880]   free of want and fear. Now, obviously there's still some issues with the form that, uh, democracy takes
[01:53:52.880 --> 01:53:57.040]   in the night, 1930s. It's not democratic for everyone. You know, try saying that if you're in
[01:53:57.040 --> 01:54:03.760]   Nigeria or, uh, or, or India or whatever. Um, or if you're, uh, you know, in the black Southern states
[01:54:03.760 --> 01:54:09.440]   of United States, but the aspirations are there. And I think that's, that's, that's an important
[01:54:09.440 --> 01:54:14.320]   distinction. And I think by saying that, that Churchill is the chief warmonger of the second
[01:54:14.320 --> 01:54:18.640]   world war, I think is, is ludicrous. You know, it's the same thing about, about the bombing,
[01:54:18.640 --> 01:54:22.720]   you know, the, the, the detractors of strategic air campaign always go, yeah, but you know,
[01:54:22.720 --> 01:54:27.360]   Germans had the Holocaust, but, but weren't the, weren't the allies just as bad to killing all
[01:54:27.360 --> 01:54:31.760]   those civilians? It's like, no, because the moment Hitler stopped the war, the bombing would stop.
[01:54:31.760 --> 01:54:36.640]   You know, the moment the war stopped in Hitler's favor, the killing would continue and be accelerated.
[01:54:36.640 --> 01:54:42.160]   So the, the thing you mentioned initially is this sort of the idealist perspective of,
[01:54:42.160 --> 01:54:52.960]   well, Britain can't allow sort of, uh, this warmonger to break all these pacts and be undemocratic,
[01:54:52.960 --> 01:55:00.000]   you know, um, murder a large number of people and do
[01:55:00.880 --> 01:55:07.680]   conquest of territory. Okay. That's idealistic. But if we look at the realist perspective,
[01:55:07.680 --> 01:55:16.160]   what decisions would minimize the amount of suffering on the continent in the next 50 years?
[01:55:16.160 --> 01:55:25.360]   So one of the arguments that he's making, I happen to disagree with it, to put it mildly, is that
[01:55:26.080 --> 01:55:33.600]   Churchill increased the amount of suffering. So Churchill, Churchill's presence and decisions.
[01:55:33.600 --> 01:55:38.800]   So we're not talking about idealistic perspective. We're talking about realists, like the reality of
[01:55:38.800 --> 01:55:45.280]   the war, of Stalin, of, of Hitler, of Churchill, of, uh, of France and FDR.
[01:55:48.240 --> 01:55:57.280]   Did Churchill drag Hitler into a world war? Did he force Hitler to invade Soviet Union? Did he force
[01:55:57.280 --> 01:56:02.960]   Hitler to then invade, uh, attack Britain?
[01:56:02.960 --> 01:56:07.840]   Well, no, because, because Hitler was always going to invade the Soviet Union if, unless, unless the
[01:56:07.840 --> 01:56:15.200]   Soviet Union invaded Germany first. So that was always going to happen. Um, no one asked Hitler to
[01:56:15.200 --> 01:56:20.640]   invade the low countries and Norway and Denmark and attack Britain. Um,
[01:56:23.520 --> 01:56:30.080]   he does that of course, because he's not given a free hand in Poland, but there's no question that
[01:56:30.080 --> 01:56:35.920]   Hitler would have also wanted to subdue France or certainly turn France from a democracy into a
[01:56:35.920 --> 01:56:39.200]   totalitarian state as well. I'm absolutely certain about that.
[01:56:39.200 --> 01:56:43.600]   So I think there's pretty definitive evidence. I mean, it's obvious from everything he said,
[01:56:43.600 --> 01:56:48.400]   from everything he's written, from everything, everywhere that he was going to invade the Soviet
[01:56:48.400 --> 01:56:56.480]   Union, uh, no matter what. Yeah. And France, most likely. Yes. Also, he would have done a deal with
[01:56:56.480 --> 01:57:05.200]   Britain. Britain could have existed. So actually there is a, is there, there is a possible reality.
[01:57:05.200 --> 01:57:10.080]   I don't know. Maybe you can correct me on this where Hitler basically takes all of Europe except
[01:57:10.080 --> 01:57:13.600]   Britain. Yes. But then he would have got so strong that he would have then turned on Britain as well,
[01:57:13.600 --> 01:57:18.400]   you know, because he would, you know, the fear is that if you let him do this and then,
[01:57:18.400 --> 01:57:22.240]   then he gets greedy. He wants the next one. Then he wants the next one. Then he wants the next one.
[01:57:22.240 --> 01:57:26.880]   And you know, then he wants to take over the whole world. And you know, that is, that is the fear of
[01:57:26.880 --> 01:57:31.920]   the British. That is the fear of the Americans. That's the fear of President Roosevelt. He's got a
[01:57:31.920 --> 01:57:37.920]   very, we haven't even touched on this yet, but he has a very difficult, uh, um, case on his hands because
[01:57:39.200 --> 01:57:47.760]   he's come into power also in January, 1933, um, as president of the United States on an isolationist
[01:57:47.760 --> 01:57:52.800]   ticket with a retrenching, with a kind of sort of, you know, step away from the European old order.
[01:57:52.800 --> 01:57:58.080]   It's time for the Europeans sat on their own. Um, it all sounds very familiar right now. Um, and,
[01:57:58.080 --> 01:58:05.440]   and suddenly he's got to do this gargantuan political vault fast, um, and prepare the nation for
[01:58:05.440 --> 01:58:09.840]   war because he also fears like Churchill fears like most like Chamberlain feared as well.
[01:58:09.840 --> 01:58:17.600]   Um, the, that Hitler's designs are not purely on Eastern Europe and the Liebens from there,
[01:58:17.600 --> 01:58:22.960]   but would get ever bigger. And I don't, I don't doubt that they're right. I think if he'd prevailed
[01:58:22.960 --> 01:58:28.080]   in the Soviet Union, you know, he'd always wanted more, you know, because his whole concept is the
[01:58:28.080 --> 01:58:33.840]   master race, you know? Yeah. I think, I think it should be said if we measure human suffering,
[01:58:35.040 --> 01:58:39.280]   if there was not Britain on the other side, if it was not a two front war,
[01:58:39.280 --> 01:58:45.040]   that the chances of Hitler succeeding in the Soviet Union is much higher or at least a more
[01:58:45.040 --> 01:58:52.320]   prolonged war and there would be more dead and more enslaved and more tortured and all of this.
[01:58:52.320 --> 01:58:56.480]   Yes. And, and ditto if you, you know, if the, if the allies hadn't gone involved against Imperial
[01:58:56.480 --> 01:59:03.440]   Japan, you know, it would have been, would have been catastrophic. I mean, 20 to 30 million Chinese dead
[01:59:03.440 --> 01:59:09.200]   anyway, you know, with American and British intervention and it wasn't going to be in China
[01:59:09.200 --> 01:59:15.360]   without that. I mean, and elsewhere, you know, because, because the reason why Japan invades
[01:59:15.360 --> 01:59:25.920]   French Indochina now Vietnam, um, and Hong Kong and, um, and Malaya and Singapore and, uh, and so on
[01:59:25.920 --> 01:59:32.720]   and Burma is because it's not winning in China and it needs more resources because it's resource poor
[01:59:32.720 --> 01:59:40.240]   and America has cut off the tap. So it's going into these countries to, to get what it needs.
[01:59:40.240 --> 01:59:45.360]   It's rubber and oil and natural resources and oils, precious oils and all the rest of it.
[01:59:46.000 --> 01:59:50.320]   And if it had been unchecked, it would have done so. And then it would have absolutely
[01:59:50.320 --> 01:59:55.600]   built up its strength and overrun the whole of China with even more deaths. So,
[01:59:55.600 --> 02:00:00.640]   you know, I, I, I think there is, I think the, one of the interesting things about the second world war
[02:00:00.640 --> 02:00:06.480]   is, is lots of wars and why people get involved in them are extremely questionable. But I think there is
[02:00:06.480 --> 02:00:14.000]   a moral crusade to, to the allies and what they're doing that I think is entirely justified.
[02:00:14.000 --> 02:00:18.240]   What I think is interesting also is that as the war progresses,
[02:00:18.240 --> 02:00:23.600]   you know, if the allies are supposed to be on the force of the good, how come they're doing so much bad?
[02:00:23.600 --> 02:00:29.520]   And at what point is doing bad stopping you from doing good? And at what point are you doing good,
[02:00:29.520 --> 02:00:35.680]   but also doing bad at the same time, such as destruction of cities, um, destruction of
[02:00:35.680 --> 02:00:42.480]   monasteries on outcrops in Southern Italy, you know, destruction of killing of lots of civilians,
[02:00:42.480 --> 02:00:49.840]   et cetera, et cetera. You know, these are, these are difficult questions to, to answer sometimes.
[02:00:49.840 --> 02:00:56.320]   They're also incredibly interesting. And I think that moral component starts to blur a little bit by
[02:00:56.320 --> 02:01:01.840]   kind of middle of the war by 1943. You know, it's, it's kind of easy to have a, a fairly, uh,
[02:01:01.840 --> 02:01:06.720]   cut and dry, um, war in North Africa, in the deserts of North Africa, where, you know,
[02:01:06.720 --> 02:01:10.400]   the only people getting in the way are, are a few sort of Bedouin tribesmen or something.
